frame,top,bottom,court,net,ball,pos,type
116240,"[[985.0358276367188, 477.2669982910156], [987.9105834960938, 472.97137451171875], [980.7236938476562, 472.97137451171875], [993.6599731445312, 475.83514404296875], [974.9743041992188, 475.83514404296875], [999.409423828125, 495.88134765625], [964.9127197265625, 501.6088562011719], [1022.4072265625, 511.6319580078125], [944.7896118164062, 527.382568359375], [1019.5325317382812, 501.6088562011719], [941.9149780273438, 533.1100463867188], [993.6599731445312, 545.9969482421875], [972.0995483398438, 547.4287719726562], [996.5347290039062, 587.521240234375], [974.9743041992188, 590.385009765625], [999.409423828125, 619.0224609375], [974.9743041992188, 630.4774780273438]]","[[808.49169921875, 634.1329956054688], [812.7601928710938, 628.3687744140625], [804.2232666015625, 628.3687744140625], [798.531982421875, 632.6919555664062], [819.8743286132812, 631.2508544921875], [787.1494140625, 661.51318359375], [834.1025390625, 657.1900024414062], [772.9210815429688, 700.4218139648438], [861.1361083984375, 687.4522094726562], [781.4580078125, 722.0377197265625], [865.4046020507812, 693.2164916992188], [794.263427734375, 732.1251831054688], [822.7199096679688, 732.1251831054688], [797.1090698242188, 781.1212158203125], [814.1829833984375, 794.0907592773438], [798.531982421875, 830.1173095703125], [798.531982421875, 844.5278930664062]]","[[674, 575], [1245, 575], [613, 738], [1307, 738], [498, 1007], [1420, 1007]]","[[552, 533], [552, 738], [1370, 738], [1370, 533]]","[962, 504]",None,None
116241,"[[984.4147338867188, 477.9210205078125], [988.7303466796875, 473.6019287109375], [980.09912109375, 473.6019287109375], [994.4844970703125, 475.0416259765625], [975.7833862304688, 476.4813537597656], [1000.2387084960938, 495.1974182128906], [967.152099609375, 498.0768127441406], [1021.8169555664062, 512.4738159179688], [954.2052001953125, 516.7929077148438], [1020.3783569335938, 502.39593505859375], [944.1353759765625, 535.509033203125], [993.0459594726562, 545.5869140625], [972.9063720703125, 548.46630859375], [997.3616333007812, 585.8984985351562], [975.7833862304688, 588.7779541015625], [998.8002319335938, 619.0115966796875], [974.3448486328125, 629.0895385742188]]","[[808.6424560546875, 637.4951171875], [812.9449462890625, 631.7492065429688], [804.3399047851562, 631.7492065429688], [798.6031494140625, 633.1856689453125], [820.1158447265625, 631.7492065429688], [788.5639038085938, 661.9150390625], [834.4577026367188, 660.4785766601562], [772.7879028320312, 702.1361694335938], [854.5362548828125, 680.589111328125], [779.958740234375, 725.11962890625], [864.5755004882812, 694.9537963867188], [795.7347412109375, 733.7384643554688], [824.41845703125, 733.7384643554688], [797.1689453125, 782.5783081054688], [815.8132934570312, 794.0701293945312], [798.6031494140625, 828.5452880859375], [800.0372924804688, 840.0370483398438]]","[[674, 575], [1245, 575], [613, 738], [1307, 738], [498, 1007], [1420, 1007]]","[[552, 533], [552, 738], [1370, 738], [1370, 533]]","[956, 506]",None,None
116242,"[[984.4708251953125, 477.3269348144531], [987.3109741210938, 474.45623779296875], [980.2106323242188, 474.45623779296875], [994.411376953125, 474.45623779296875], [974.5303344726562, 475.8916015625], [1000.0916748046875, 494.5510559082031], [967.429931640625, 497.4217529296875], [1022.8129272460938, 511.775146484375], [954.6492919921875, 511.775146484375], [1010.0321655273438, 498.8570556640625], [956.0693359375, 526.1286010742188], [994.411376953125, 546.2233276367188], [973.1102294921875, 546.2233276367188], [998.6715698242188, 586.4129028320312], [974.5303344726562, 587.8482666015625], [998.6715698242188, 617.990478515625], [974.5303344726562, 629.4732055664062]]","[[808.0936279296875, 636.5806884765625], [810.9608154296875, 632.2613525390625], [802.3592529296875, 632.2613525390625], [796.6248779296875, 633.7011108398438], [818.1287231445312, 632.2613525390625], [788.0233154296875, 665.3762817382812], [835.3317260742188, 661.0569458007812], [772.2538452148438, 704.2503051757812], [858.2691650390625, 685.533203125], [776.5546264648438, 725.8470458984375], [866.8707275390625, 699.9309692382812], [798.0584716796875, 735.9254760742188], [828.1637573242188, 734.4857177734375], [796.6248779296875, 779.118896484375], [819.5623168945312, 794.9564208984375], [798.0584716796875, 825.1918334960938], [803.7928466796875, 841.0294799804688]]","[[674, 575], [1245, 575], [613, 738], [1307, 738], [498, 1007], [1420, 1007]]","[[552, 533], [552, 738], [1370, 738], [1370, 533]]","[950, 510]",None,None
116243,"[[983.8773803710938, 477.3614196777344], [988.186767578125, 474.4913024902344], [979.5679931640625, 474.4913024902344], [993.9326782226562, 474.4913024902344], [975.258544921875, 475.9263610839844], [999.678466796875, 494.58203125], [966.6397705078125, 497.4521484375], [1022.6619873046875, 511.80267333984375], [953.7116088867188, 511.80267333984375], [1009.7337036132812, 498.88720703125], [956.58447265625, 526.1531982421875], [993.9326782226562, 544.8088989257812], [973.8221435546875, 546.2439575195312], [998.2420654296875, 586.4254150390625], [975.258544921875, 587.8604736328125], [998.2420654296875, 617.9966430664062], [975.258544921875, 629.47705078125]]","[[807.4456787109375, 637.161865234375], [811.761962890625, 632.8395385742188], [801.6907348632812, 632.8395385742188], [797.37451171875, 634.2802734375], [818.9557495117188, 632.8395385742188], [788.7420043945312, 665.9777221679688], [834.7819213867188, 660.2145385742188], [771.47705078125, 704.8790283203125], [859.2406005859375, 686.1488037109375], [775.7932739257812, 725.0501098632812], [867.8731079101562, 700.5567016601562], [798.8131713867188, 735.1356811523438], [827.5881958007812, 735.1356811523438], [795.9357299804688, 779.8002319335938], [818.9557495117188, 794.2081298828125], [797.37451171875, 827.3463745117188], [804.5682373046875, 838.8726806640625]]","[[674, 575], [1245, 575], [613, 738], [1307, 738], [498, 1007], [1420, 1007]]","[[552, 533], [552, 738], [1370, 738], [1370, 533]]","[950, 510]",None,None
116244,"[[983.851806640625, 477.439697265625], [988.1478271484375, 474.56365966796875], [980.9879150390625, 474.56365966796875], [993.8757934570312, 476.001708984375], [975.2599487304688, 476.001708984375], [1001.0357666015625, 494.696044921875], [966.66796875, 497.5720520019531], [1023.947509765625, 513.3903198242188], [956.6441040039062, 516.2664184570312], [1012.4916381835938, 500.4481201171875], [950.9160766601562, 533.522705078125], [993.8757934570312, 545.0269165039062], [973.8279418945312, 545.0269165039062], [999.603759765625, 585.2916259765625], [975.2599487304688, 588.1676635742188], [999.603759765625, 618.3662109375], [975.2599487304688, 628.432373046875]]","[[807.3046875, 638.1738891601562], [811.5869750976562, 632.4279174804688], [803.0224609375, 633.8643798828125], [797.3126831054688, 636.7373657226562], [817.2967529296875, 632.4279174804688], [790.175537109375, 665.4674682617188], [834.4259643554688, 659.721435546875], [770.19140625, 702.8165283203125], [864.4020385742188, 689.8880615234375], [773.0462646484375, 727.2371215820312], [871.5392456054688, 715.7450561523438], [800.1676025390625, 737.2926635742188], [831.5711059570312, 734.4196166992188], [795.88525390625, 778.9512329101562], [825.861328125, 793.3163452148438], [797.3126831054688, 827.7923583984375], [810.1595458984375, 833.5384521484375]]","[[674, 575], [1245, 575], [613, 738], [1307, 738], [498, 1007], [1420, 1007]]","[[552, 533], [552, 738], [1370, 738], [1370, 533]]","[945, 514]",None,None
116245,"[[983.710205078125, 479.06494140625], [988.00146484375, 474.7706298828125], [980.849365234375, 474.7706298828125], [993.72314453125, 476.20208740234375], [975.1276245117188, 476.20208740234375], [1000.8753051757812, 494.8106689453125], [966.5451049804688, 497.67352294921875], [1016.6099853515625, 509.125], [960.8233642578125, 517.7135620117188], [1013.7491455078125, 500.53643798828125], [959.3929443359375, 529.1650390625], [995.1536254882812, 544.9107666015625], [973.6972045898438, 546.3422241210938], [999.4448852539062, 583.5593872070312], [976.5580444335938, 586.4222412109375], [998.0144653320312, 617.9136962890625], [975.1276245117188, 627.9336547851562]]","[[807.4440307617188, 636.4512939453125], [811.7608642578125, 632.1262817382812], [803.1271362304688, 632.1262817382812], [797.371337890625, 636.4512939453125], [817.5166625976562, 633.5679321289062], [788.7376098632812, 668.1677856445312], [836.2230834960938, 659.517822265625], [770.03125, 704.2093505859375], [866.4411010742188, 688.35107421875], [770.03125, 724.3926391601562], [873.6358642578125, 715.7426147460938], [804.5661010742188, 738.8092041015625], [834.7841186523438, 734.4842529296875], [795.932373046875, 779.1757202148438], [834.7841186523438, 790.708984375], [798.810302734375, 826.7505493164062], [814.6387939453125, 828.1921997070312]]","[[674, 575], [1245, 575], [613, 738], [1307, 738], [498, 1007], [1420, 1007]]","[[552, 533], [552, 738], [1370, 738], [1370, 533]]","[939, 519]",None,None
116246,"[[985.2470703125, 479.3125], [989.5042724609375, 476.432373046875], [982.4089965820312, 476.432373046875], [995.180419921875, 477.8724365234375], [978.1519165039062, 479.3125], [1002.275634765625, 495.15325927734375], [968.2185668945312, 499.4734802246094], [1016.466064453125, 509.553955078125], [961.1234130859375, 522.5145874023438], [1023.5612182617188, 519.6343994140625], [958.2853393554688, 548.435791015625], [996.5994262695312, 545.5556640625], [975.3138427734375, 545.5556640625], [1000.8565673828125, 584.4376220703125], [978.1519165039062, 587.3176879882812], [999.4375610351562, 617.5591430664062], [975.3138427734375, 629.0797119140625]]","[[807.3223266601562, 640.42431640625], [810.1882934570312, 634.6754150390625], [803.0234985351562, 636.1126708984375], [797.2918090820312, 638.987060546875], [818.7859497070312, 634.6754150390625], [790.1270141601562, 669.1687622070312], [835.9813232421875, 660.54541015625], [772.931640625, 697.9132080078125], [870.3720092773438, 689.2899169921875], [768.6328125, 722.3460083007812], [874.6707763671875, 715.1598510742188], [808.7553100585938, 738.1554565429688], [840.2801513671875, 733.8438110351562], [797.2918090820312, 778.3976440429688], [844.5789794921875, 787.02099609375], [800.1576538085938, 831.5748901367188], [821.65185546875, 821.5143432617188]]","[[674, 575], [1245, 575], [613, 738], [1307, 738], [498, 1007], [1420, 1007]]","[[552, 533], [552, 738], [1370, 738], [1370, 533]]","[932, 527]",None,None
116247,"[[985.2332763671875, 482.8836669921875], [989.5419311523438, 480.0213317871094], [982.36083984375, 480.0213317871094], [995.286865234375, 480.0213317871094], [978.0521240234375, 481.4524841308594], [1003.9043579101562, 495.76409912109375], [969.4347534179688, 502.9198913574219], [1016.8303833007812, 511.50689697265625], [962.2536010742188, 528.6808471679688], [1025.44775390625, 524.3873291015625], [962.2536010742188, 537.2677612304688], [996.7232055664062, 547.2859497070312], [975.1796875, 548.7171020507812], [1002.4680786132812, 581.6338500976562], [978.0521240234375, 585.9273071289062], [998.159423828125, 617.412841796875], [975.1796875, 628.8621826171875]]","[[810.3126831054688, 637.348388671875], [813.1921997070312, 633.0311279296875], [805.9935302734375, 633.0311279296875], [798.794921875, 640.2265625], [820.3908081054688, 637.348388671875], [791.5962524414062, 671.886474609375], [837.66748046875, 661.8128051757812], [771.4401245117188, 707.8635864257812], [872.220947265625, 689.1554565429688], [770.0003662109375, 722.25439453125], [877.9797973632812, 713.6199340820312], [811.75244140625, 739.5234985351562], [844.8661499023438, 735.2061767578125], [797.3551635742188, 778.3788452148438], [854.9442749023438, 778.3788452148438], [800.2346801757812, 834.503173828125], [830.4688720703125, 817.2340698242188]]","[[674, 575], [1245, 575], [613, 738], [1307, 738], [498, 1007], [1420, 1007]]","[[552, 533], [552, 738], [1370, 738], [1370, 533]]","[924, 537]",None,None
116248,"[[987.6103515625, 483.95849609375], [990.4833984375, 481.0875549316406], [983.3007202148438, 481.0875549316406], [996.2295532226562, 482.5230407714844], [978.9910278320312, 483.95849609375], [1004.848876953125, 496.8778991699219], [970.371826171875, 504.0553283691406], [1017.7777099609375, 514.103759765625], [961.7525024414062, 529.8941040039062], [1026.39697265625, 524.1521606445312], [961.7525024414062, 541.3779907226562], [997.6661376953125, 549.9909057617188], [977.5545654296875, 549.9909057617188], [1004.848876953125, 587.3135375976562], [980.4276123046875, 585.8779907226562], [996.2295532226562, 620.3297119140625], [974.6814575195312, 630.3781127929688]]","[[810.8237915039062, 640.9912109375], [813.6868896484375, 635.2536010742188], [805.09765625, 636.68798828125], [822.2760009765625, 638.1224365234375], [822.2760009765625, 639.5568237304688], [795.076904296875, 673.9822387695312], [839.4544067382812, 662.507080078125], [777.8984985351562, 699.80126953125], [875.2427368164062, 686.8917846679688], [770.740966796875, 719.8827514648438], [880.9688720703125, 711.2764282226562], [816.5499267578125, 738.5298461914062], [848.0436401367188, 734.2266845703125], [796.5084838867188, 780.1272583007812], [863.7904663085938, 767.2177124023438], [799.3715209960938, 833.1997680664062], [842.3175659179688, 818.8558959960938]]","[[674, 575], [1245, 575], [613, 738], [1307, 738], [498, 1007], [1420, 1007]]","[[552, 533], [552, 738], [1370, 738], [1370, 533]]","[917, 549]",bottom,short service
116249,"[[987.6235961914062, 483.9623718261719], [990.5018920898438, 481.0908508300781], [983.3062133789062, 481.0908508300781], [996.2584228515625, 482.526611328125], [978.9888305664062, 483.9623718261719], [1003.4540405273438, 496.88421630859375], [970.3541870117188, 504.06304931640625], [1017.8453369140625, 514.1133422851562], [961.7193603515625, 529.90673828125], [1026.47998046875, 524.1636352539062], [961.7193603515625, 541.392822265625], [997.697509765625, 550.00732421875], [977.5498046875, 550.00732421875], [1004.8931884765625, 587.3370971679688], [980.427978515625, 585.9013671875], [996.2584228515625, 620.3595581054688], [974.6715698242188, 630.4098510742188]]","[[810.8117065429688, 641.06787109375], [813.67529296875, 635.3314819335938], [805.08447265625, 636.7655639648438], [822.2660522460938, 638.19970703125], [822.2660522460938, 639.6337890625], [795.061767578125, 674.0517578125], [839.4478149414062, 662.5791015625], [777.8800659179688, 699.865234375], [875.2429809570312, 686.95849609375], [770.7210693359375, 719.9423828125], [880.9702758789062, 711.337890625], [816.5389404296875, 738.5855102539062], [848.0386352539062, 734.283203125], [796.49365234375, 780.1738891601562], [863.7885131835938, 767.26708984375], [799.357177734375, 833.2349853515625], [842.3114624023438, 818.8941040039062]]","[[674, 575], [1245, 575], [613, 738], [1307, 738], [498, 1007], [1420, 1007]]","[[552, 533], [552, 738], [1370, 738], [1370, 533]]","[917, 549]",None,None
