frame,top,bottom,court,net,ball,pos,type
23171,"[[1083.7960205078125, 321.84027099609375], [1086.6700439453125, 318.9766845703125], [1080.921875, 318.9766845703125], [1092.418212890625, 321.84027099609375], [1076.6107177734375, 320.40850830078125], [1099.6033935546875, 341.88531494140625], [1070.8626708984375, 337.5899353027344], [1106.78857421875, 361.9303283691406], [1047.8699951171875, 337.5899353027344], [1103.91455078125, 384.8388977050781], [1049.3070068359375, 331.8627624511719], [1090.981201171875, 387.7025146484375], [1073.7366943359375, 387.7025146484375], [1088.1070556640625, 423.4971923828125], [1076.6107177734375, 422.0653991699219], [1085.2330322265625, 454.99652099609375], [1078.0478515625, 444.9739990234375]]","[[955.1013793945312, 568.5833740234375], [953.6707763671875, 561.3766479492188], [953.6707763671875, 562.8179931640625], [952.240234375, 565.70068359375], [943.6566772460938, 559.935302734375], [940.7954711914062, 581.5554809570312], [930.7813720703125, 584.4381713867188], [959.3931884765625, 558.4939575195312], [939.3648681640625, 608.9409790039062], [975.129638671875, 536.873779296875], [972.2685546875, 611.8236694335938], [907.8919067382812, 649.2986450195312], [920.7672119140625, 653.6226806640625], [917.906005859375, 698.3043212890625], [927.920166015625, 706.952392578125], [917.906005859375, 750.1927490234375], [915.044921875, 766.0474853515625]]","[[710, 411], [1202, 411], [646, 611], [1268, 611], [505, 968], [1394, 968]]","[[586, 425], [586, 611], [1326, 611], [1326, 425]]","[1043, 462]",None,None
23172,"[[1084.105712890625, 321.32366943359375], [1086.9261474609375, 318.46002197265625], [1081.2852783203125, 318.46002197265625], [1092.567138671875, 321.32366943359375], [1077.0545654296875, 319.891845703125], [1099.6181640625, 341.3692626953125], [1071.4136962890625, 338.505615234375], [1106.6693115234375, 361.41485595703125], [1047.4398193359375, 337.07379150390625], [1103.848876953125, 384.3240966796875], [1051.6705322265625, 334.2101135253906], [1091.15673828125, 387.18780517578125], [1072.8238525390625, 387.18780517578125], [1086.9261474609375, 424.41534423828125], [1077.0545654296875, 421.5516662597656], [1085.515869140625, 454.48370361328125], [1078.4647216796875, 444.4609069824219]]","[[958.7144165039062, 571.7388305664062], [957.28369140625, 563.1290893554688], [957.28369140625, 565.9990234375], [952.9915771484375, 565.9990234375], [952.9915771484375, 565.9990234375], [940.115234375, 578.91357421875], [931.531005859375, 581.7835083007812], [958.7144165039062, 557.3892211914062], [940.115234375, 609.0477294921875], [975.8828735351562, 538.7348022460938], [971.5907592773438, 617.657470703125], [904.3475952148438, 649.2265625], [914.362548828125, 653.5314331054688], [915.793212890625, 696.5801391601562], [927.2388916015625, 709.4947509765625], [917.2239379882812, 749.673583984375], [915.793212890625, 768.3280639648438]]","[[710, 411], [1202, 411], [646, 611], [1268, 611], [505, 968], [1394, 968]]","[[586, 425], [586, 611], [1326, 611], [1326, 425]]","[974, 436]",None,None
23173,"[[1083.857421875, 321.4936828613281], [1086.7315673828125, 318.6172180175781], [1080.983154296875, 318.6172180175781], [1092.479736328125, 321.4936828613281], [1076.6719970703125, 320.0554504394531], [1099.6650390625, 340.190673828125], [1070.923828125, 337.3142395019531], [1108.2874755859375, 360.325927734375], [1049.3677978515625, 337.3142395019531], [1103.976318359375, 384.7758483886719], [1053.6790771484375, 334.437744140625], [1091.042724609375, 387.6523132324219], [1073.7979736328125, 387.6523132324219], [1088.1685791015625, 422.1698303222656], [1076.6719970703125, 422.1698303222656], [1085.29443359375, 455.2491149902344], [1078.109130859375, 443.7433166503906]]","[[963.0598754882812, 568.7914428710938], [958.7645263671875, 564.467041015625], [951.6055908203125, 560.142578125], [960.1962890625, 567.3500366210938], [945.87841796875, 561.5841064453125], [943.0148315429688, 580.3233032226562], [932.9923706054688, 581.7647705078125], [961.6281127929688, 552.9351806640625], [940.1512451171875, 609.1528930664062], [981.6731567382812, 538.5203857421875], [973.0824584960938, 625.0091552734375], [902.9248657226562, 649.5142822265625], [915.8109130859375, 653.8386840820312], [914.379150390625, 697.0830688476562], [927.2651977539062, 707.1734008789062], [917.2427368164062, 751.8593139648438], [915.8109130859375, 767.7155151367188]]","[[710, 411], [1202, 411], [646, 611], [1268, 611], [505, 968], [1394, 968]]","[[586, 425], [586, 611], [1326, 611], [1326, 425]]","[905, 411]",None,None
23174,"[[1084.3609619140625, 320.9385070800781], [1087.1859130859375, 318.0643310546875], [1081.535888671875, 318.0643310546875], [1092.8360595703125, 320.9385070800781], [1075.8858642578125, 319.5014343261719], [1099.898681640625, 341.0578918457031], [1071.6483154296875, 338.1836853027344], [1108.373779296875, 361.1772766113281], [1050.4605712890625, 336.7466125488281], [1104.13623046875, 384.17083740234375], [1054.6981201171875, 335.30950927734375], [1091.423583984375, 387.0450439453125], [1073.0609130859375, 387.0450439453125], [1087.1859130859375, 422.9725036621094], [1077.29833984375, 422.9725036621094], [1084.3609619140625, 456.0257873535156], [1078.7109375, 444.52899169921875]]","[[951.3543090820312, 569.310546875], [954.1943969726562, 564.99560546875], [961.2947387695312, 567.8721923828125], [957.0345458984375, 569.310546875], [949.9342651367188, 566.4339599609375], [945.6740112304688, 583.6936645507812], [934.3134765625, 583.6936645507812], [961.2947387695312, 564.99560546875], [941.4138793945312, 612.4598388671875], [979.755615234375, 537.667724609375], [971.2352294921875, 632.59619140625], [898.8119506835938, 644.1027221679688], [914.4326171875, 651.2942504882812], [913.0125732421875, 698.758544921875], [928.63330078125, 707.388427734375], [917.272705078125, 749.0994262695312], [915.8526611328125, 769.2357788085938]]","[[710, 411], [1202, 411], [646, 611], [1268, 611], [505, 968], [1394, 968]]","[[586, 425], [586, 611], [1326, 611], [1326, 425]]","[922, 438]",None,None
23175,"[[1084.27490234375, 321.4191589355469], [1087.1212158203125, 317.10223388671875], [1081.4285888671875, 317.10223388671875], [1092.8140869140625, 319.9801940917969], [1077.1590576171875, 318.54119873046875], [1099.929931640625, 340.12579345703125], [1071.4661865234375, 337.2478332519531], [1108.4691162109375, 361.7103576660156], [1050.1185302734375, 337.2478332519531], [1104.199462890625, 384.73388671875], [1054.3880615234375, 334.3699035644531], [1091.390869140625, 387.61181640625], [1072.889404296875, 387.61181640625], [1087.1212158203125, 423.5860900878906], [1077.1590576171875, 422.1471252441406], [1084.27490234375, 456.6824035644531], [1078.5821533203125, 443.731689453125]]","[[954.4514770507812, 569.122314453125], [957.2915649414062, 564.8126220703125], [955.8715209960938, 563.3760375976562], [957.2915649414062, 573.4319458007812], [960.131591796875, 573.4319458007812], [943.0911254882812, 583.4878540039062], [935.9909057617188, 584.9244384765625], [948.771240234375, 569.122314453125], [941.6710815429688, 616.5286254882812], [972.9119873046875, 645.259765625], [968.6519165039062, 643.8232421875], [896.2296752929688, 640.9501342773438], [914.6902465820312, 651.0059814453125], [910.4301147460938, 695.5391845703125], [928.8906860351562, 708.4682006835938], [917.5303955078125, 750.1283569335938], [916.1103515625, 764.493896484375]]","[[710, 411], [1202, 411], [646, 611], [1268, 611], [505, 968], [1394, 968]]","[[586, 425], [586, 611], [1326, 611], [1326, 425]]","[939, 465]",None,None
23176,"[[1083.7325439453125, 320.2908020019531], [1086.5860595703125, 317.4097595214844], [1080.8792724609375, 317.4097595214844], [1092.2928466796875, 320.2908020019531], [1076.59912109375, 318.85028076171875], [1099.4261474609375, 339.0177307128906], [1070.8924560546875, 336.13665771484375], [1107.986328125, 360.625732421875], [1048.0654296875, 336.13665771484375], [1103.706298828125, 383.67425537109375], [1053.7720947265625, 333.255615234375], [1090.8660888671875, 387.995849609375], [1073.745849609375, 386.5553283691406], [1088.0126953125, 422.5686340332031], [1076.59912109375, 422.5686340332031], [1085.1593017578125, 454.2603454589844], [1078.02587890625, 444.1766662597656]]","[[959.1577758789062, 579.5301513671875], [960.58642578125, 575.2274169921875], [962.0151977539062, 576.6616821289062], [947.7281494140625, 568.05615234375], [960.58642578125, 575.2274169921875], [924.8690795898438, 580.9644165039062], [937.7273559570312, 588.1358032226562], [930.5838012695312, 621.1237182617188], [943.4420776367188, 626.8607177734375], [970.58740234375, 655.5458984375], [969.1586303710938, 655.5458984375], [897.7238159179688, 645.506103515625], [914.8682250976562, 651.2431030273438], [909.1533813476562, 697.139404296875], [930.5838012695312, 705.7449340820312], [916.296875, 748.7727661132812], [916.296875, 764.5496215820312]]","[[710, 411], [1202, 411], [646, 611], [1268, 611], [505, 968], [1394, 968]]","[[586, 425], [586, 611], [1326, 611], [1326, 425]]","[957, 492]",None,None
23177,"[[1084.00830078125, 320.8221435546875], [1086.841796875, 317.951416015625], [1081.175048828125, 317.951416015625], [1092.508544921875, 320.8221435546875], [1076.9249267578125, 319.38677978515625], [1099.592041015625, 339.4816589355469], [1071.2581787109375, 336.6109313964844], [1108.0921630859375, 361.0118408203125], [1048.591064453125, 336.6109313964844], [1103.842041015625, 383.9773864746094], [1054.2578125, 333.7402648925781], [1091.091796875, 386.84808349609375], [1072.6748046875, 386.84808349609375], [1086.841796875, 422.7318115234375], [1075.50830078125, 421.2964172363281], [1085.425048828125, 454.3094482421875], [1078.341552734375, 444.26202392578125]]","[[959.9714965820312, 582.8052368164062], [954.2842407226562, 567.0186157226562], [961.393310546875, 577.0646362304688], [948.596923828125, 569.888916015625], [959.9714965820312, 575.6295166015625], [925.8477172851562, 581.3700561523438], [938.6441650390625, 589.9808959960938], [930.1132202148438, 620.118896484375], [944.3314819335938, 628.7297973632812], [971.3460693359375, 655.9974975585938], [969.9242553710938, 654.5623168945312], [897.4112548828125, 643.0812377929688], [915.8949584960938, 653.127197265625], [908.785888671875, 696.1814575195312], [930.1132202148438, 706.2274780273438], [917.3168334960938, 749.2817993164062], [917.3168334960938, 762.1981201171875]]","[[710, 411], [1202, 411], [646, 611], [1268, 611], [505, 968], [1394, 968]]","[[586, 425], [586, 611], [1326, 611], [1326, 425]]","[974, 519]",None,None
23178,"[[1084.0382080078125, 319.4029541015625], [1086.864501953125, 316.53521728515625], [1081.2119140625, 316.53521728515625], [1092.5172119140625, 319.4029541015625], [1076.972412109375, 319.4029541015625], [1099.5830078125, 339.4772644042969], [1071.3197021484375, 335.1756286621094], [1108.06201171875, 360.9854431152344], [1050.122314453125, 338.04339599609375], [1103.822509765625, 383.927490234375], [1054.36181640625, 332.3078918457031], [1091.10400390625, 386.7952880859375], [1072.73291015625, 386.7952880859375], [1086.864501953125, 422.6422424316406], [1075.5592041015625, 421.2083435058594], [1085.451416015625, 454.18756103515625], [1078.385498046875, 444.1504211425781]]","[[959.960693359375, 579.9840087890625], [961.3965454101562, 574.2305908203125], [959.960693359375, 574.2305908203125], [947.0377807617188, 568.4772338867188], [949.9095458984375, 569.9155883789062], [922.6280517578125, 582.8606567382812], [938.422607421875, 592.9290771484375], [932.6791381835938, 564.1621704101562], [944.1661376953125, 637.517822265625], [970.01171875, 663.4080810546875], [968.5758666992188, 663.4080810546875], [898.21826171875, 647.5862426757812], [916.8845825195312, 656.2163696289062], [908.2694091796875, 696.4900512695312], [931.2432250976562, 703.6817626953125], [916.8845825195312, 749.7089233398438], [916.8845825195312, 762.6539916992188]]","[[710, 411], [1202, 411], [646, 611], [1268, 611], [505, 968], [1394, 968]]","[[586, 425], [586, 611], [1326, 611], [1326, 425]]","[991, 546]",None,None
23179,"[[1083.412841796875, 320.2566833496094], [1087.68505859375, 315.9494934082031], [1080.564697265625, 315.9494934082031], [1093.3814697265625, 318.8209533691406], [1076.29248046875, 317.3852233886719], [1100.5018310546875, 338.9211730957031], [1072.0201416015625, 336.0497131347656], [1107.6221923828125, 360.45709228515625], [1050.658935546875, 338.9211730957031], [1104.7740478515625, 383.42877197265625], [1053.5072021484375, 331.7425231933594], [1090.533203125, 389.1716613769531], [1072.0201416015625, 386.30023193359375], [1086.260986328125, 423.6291809082031], [1074.868408203125, 422.1934509277344], [1084.8369140625, 455.2152404785156], [1077.716552734375, 443.7294006347656]]","[[958.359619140625, 580.290283203125], [961.22265625, 574.5537719726562], [956.9281616210938, 571.685546875], [948.3389282226562, 567.3831176757812], [949.7703857421875, 567.3831176757812], [922.5711669921875, 583.1585083007812], [941.1812133789062, 600.3679809570312], [926.8658447265625, 561.6466674804688], [942.6127319335938, 643.3916015625], [969.8118896484375, 667.771728515625], [969.8118896484375, 669.205810546875], [898.2351684570312, 647.6939697265625], [918.2766723632812, 656.2987670898438], [906.8244018554688, 699.3223876953125], [934.0235595703125, 703.624755859375], [916.8450927734375, 748.08251953125], [918.2766723632812, 759.5554809570312]]","[[710, 411], [1202, 411], [646, 611], [1268, 611], [505, 968], [1394, 968]]","[[586, 425], [586, 611], [1326, 611], [1326, 425]]","[1009, 574]",None,None
23180,"[[1084.2071533203125, 319.5581970214844], [1087.0404052734375, 315.263916015625], [1081.373779296875, 315.263916015625], [1092.70703125, 318.12677001953125], [1077.123779296875, 316.6953430175781], [1099.790283203125, 338.1667175292969], [1071.457275390625, 335.30389404296875], [1108.2901611328125, 359.6380920410156], [1050.20751953125, 339.59814453125], [1104.0401611328125, 382.5408935546875], [1053.040771484375, 332.4410400390625], [1089.8736572265625, 388.2666015625], [1071.457275390625, 385.40374755859375], [1085.623779296875, 422.62078857421875], [1072.8740234375, 421.1893615722656], [1084.2071533203125, 455.5435791015625], [1078.54052734375, 442.6607666015625]]","[[959.0537109375, 578.16259765625], [961.9113159179688, 573.8502807617188], [960.482421875, 573.8502807617188], [947.6232299804688, 566.6630859375], [961.9113159179688, 575.2877197265625], [917.6182861328125, 586.7872314453125], [941.9080200195312, 599.72412109375], [919.047119140625, 563.7882690429688], [944.765625, 642.84716796875], [969.0553588867188, 662.9712524414062], [967.62646484375, 662.9712524414062], [897.614990234375, 652.9092407226562], [919.047119140625, 657.2215576171875], [907.6166381835938, 700.3446044921875], [934.7639770507812, 703.219482421875], [916.1895141601562, 747.7799682617188], [923.33349609375, 754.9671020507812]]","[[710, 411], [1202, 411], [646, 611], [1268, 611], [505, 968], [1394, 968]]","[[586, 425], [586, 611], [1326, 611], [1326, 425]]","[1012, 587]",None,None
