frame,top,bottom,court,net,ball,pos,type
95090,"[[1066.4920654296875, 347.52001953125], [1069.3714599609375, 343.20458984375], [1063.6126708984375, 343.20458984375], [1075.130126953125, 344.64306640625], [1060.7332763671875, 346.0815124511719], [1083.768310546875, 359.0278015136719], [1057.85400390625, 359.0278015136719], [1105.363525390625, 373.41253662109375], [1037.698486328125, 356.1508483886719], [1088.0872802734375, 370.53558349609375], [1029.060302734375, 360.4662780761719], [1079.44921875, 402.1819763183594], [1060.7332763671875, 400.7435302734375], [1076.56982421875, 435.266845703125], [1057.85400390625, 433.8283996582031], [1079.44921875, 481.2980041503906], [1062.1729736328125, 462.5978698730469]]","[[907.8038940429688, 580.2172241210938], [912.091064453125, 574.4653930664062], [903.5167846679688, 574.4653930664062], [896.3714599609375, 577.34130859375], [917.8073120117188, 574.4653930664062], [894.9424438476562, 608.9765625], [934.9558715820312, 597.4727783203125], [879.222900390625, 629.1080322265625], [967.8240356445312, 596.0348510742188], [884.9390869140625, 614.7284545898438], [949.2463989257812, 597.4727783203125], [912.091064453125, 673.68505859375], [937.8140258789062, 669.3711547851562], [907.8038940429688, 725.451904296875], [929.23974609375, 692.3786010742188], [907.8038940429688, 781.5325927734375], [927.8106079101562, 739.8314819335938]]","[[712, 419], [1199, 419], [646, 611], [1270, 611], [504, 964], [1392, 964]]","[[588, 427], [588, 611], [1325, 611], [1325, 427]]","[917, 504]",None,None
95091,"[[1066.4908447265625, 347.5166320800781], [1069.3702392578125, 343.200927734375], [1063.611572265625, 343.200927734375], [1075.12890625, 344.6394958496094], [1060.732177734375, 346.0780334472656], [1083.76708984375, 359.0251159667969], [1057.8529052734375, 359.0251159667969], [1105.362060546875, 373.4107666015625], [1037.6973876953125, 356.14801025390625], [1088.0860595703125, 370.5335998535156], [1029.059326171875, 360.46368408203125], [1079.447998046875, 402.1820373535156], [1060.732177734375, 400.7434387207031], [1076.5687255859375, 435.2689208984375], [1057.8529052734375, 433.83038330078125], [1079.447998046875, 481.302978515625], [1062.171875, 462.6016540527344]]","[[907.8096923828125, 580.2830200195312], [912.0927124023438, 574.5249633789062], [903.5266723632812, 574.5249633789062], [896.3882446289062, 577.4039916992188], [917.8034057617188, 574.5249633789062], [894.9606323242188, 609.0730590820312], [934.9354858398438, 597.5570068359375], [879.2562255859375, 629.2261352539062], [967.77197265625, 596.1175537109375], [884.9669189453125, 614.8310546875], [949.2122192382812, 597.5570068359375], [912.0927124023438, 673.8507080078125], [937.790771484375, 669.5322265625], [907.8096923828125, 725.6728515625], [929.2247924804688, 692.5642700195312], [907.8096923828125, 781.8134765625], [927.7971801757812, 740.06787109375]]","[[712, 419], [1199, 419], [646, 611], [1270, 611], [504, 964], [1392, 964]]","[[588, 427], [588, 611], [1325, 611], [1325, 427]]","[917, 504]",None,None
95092,"[[1066.4365234375, 347.3968811035156], [1069.3125, 343.10186767578125], [1063.560302734375, 343.10186767578125], [1075.064697265625, 344.5335388183594], [1060.684326171875, 345.9652099609375], [1083.6929931640625, 358.850341796875], [1057.8082275390625, 358.850341796875], [1105.263671875, 374.5987854003906], [1036.2374267578125, 357.41864013671875], [1088.0072021484375, 370.3037414550781], [1029.0472412109375, 360.2820129394531], [1079.37890625, 401.8006896972656], [1060.684326171875, 401.8006896972656], [1076.5028076171875, 436.1609802246094], [1057.8082275390625, 433.297607421875], [1079.37890625, 480.5429992675781], [1062.122314453125, 461.93115234375]]","[[907.4591674804688, 580.1846313476562], [911.7500610351562, 574.4489135742188], [904.5986938476562, 574.4489135742188], [896.01708984375, 575.8828125], [917.4710083007812, 574.4489135742188], [894.5868530273438, 607.4293823242188], [937.4946899414062, 597.391845703125], [881.7145385742188, 627.50439453125], [964.6696166992188, 595.9578857421875], [884.5750122070312, 613.1651000976562], [948.9368286132812, 595.9578857421875], [913.1802978515625, 673.3902587890625], [940.355224609375, 669.0885009765625], [907.4591674804688, 723.5779418945312], [928.9131469726562, 692.0314331054688], [907.4591674804688, 780.9352416992188], [927.4828491210938, 739.3512573242188]]","[[712, 419], [1199, 419], [646, 611], [1270, 611], [504, 964], [1392, 964]]","[[588, 427], [588, 611], [1325, 611], [1325, 427]]","[917, 504]",None,None
95093,"[[1066.2801513671875, 347.8857116699219], [1069.1328125, 343.590576171875], [1063.4276123046875, 343.590576171875], [1074.837890625, 345.02227783203125], [1060.574951171875, 345.02227783203125], [1083.395751953125, 359.3393859863281], [1057.722412109375, 357.90765380859375], [1104.7901611328125, 373.65643310546875], [1034.9017333984375, 357.90765380859375], [1087.674560546875, 370.7929992675781], [1027.770263671875, 360.77105712890625], [1079.1168212890625, 403.7222900390625], [1060.574951171875, 400.8588562011719], [1077.6905517578125, 436.6515808105469], [1057.722412109375, 433.78814697265625], [1079.1168212890625, 481.0345153808594], [1062.0013427734375, 460.9906311035156]]","[[908.3968505859375, 579.1070556640625], [912.6968383789062, 573.352783203125], [904.0968627929688, 574.7913208007812], [896.9302368164062, 576.2299194335938], [918.4302368164062, 573.352783203125], [895.496826171875, 606.4395141601562], [937.0635986328125, 596.3696899414062], [879.7301635742188, 625.1407470703125], [970.0302734375, 589.1768798828125], [884.0302124023438, 612.1937866210938], [948.5302734375, 593.4925537109375], [912.6968383789062, 674.051513671875], [939.9302368164062, 669.7359008789062], [906.9635620117188, 724.4009399414062], [928.4635620117188, 694.1912841796875], [906.9635620117188, 780.5044555664062], [927.0302124023438, 740.2249755859375]]","[[712, 419], [1199, 419], [646, 611], [1270, 611], [504, 964], [1392, 964]]","[[588, 427], [588, 611], [1325, 611], [1325, 427]]","[917, 504]",None,None
95094,"[[1065.7152099609375, 347.80853271484375], [1070.0123291015625, 343.4984436035156], [1062.8504638671875, 344.9351501464844], [1074.3094482421875, 344.9351501464844], [1059.9857177734375, 344.9351501464844], [1082.903564453125, 357.8654479980469], [1057.1209716796875, 357.8654479980469], [1104.3890380859375, 373.6691589355469], [1032.770751953125, 357.8654479980469], [1088.633056640625, 370.7957458496094], [1028.4737548828125, 360.7388610839844], [1078.6064453125, 403.8398742675781], [1061.4180908203125, 400.9664611816406], [1077.174072265625, 436.88397216796875], [1057.1209716796875, 434.0105895996094], [1078.6064453125, 479.9849853515625], [1061.4180908203125, 461.3078918457031]]","[[909.2622680664062, 578.3681030273438], [913.536865234375, 574.0587158203125], [904.9877319335938, 574.0587158203125], [897.8633422851562, 576.931640625], [919.236328125, 572.6222534179688], [896.4385375976562, 607.0974731445312], [936.3345947265625, 597.0421752929688], [879.3401489257812, 624.3350219726562], [971.9561157226562, 584.114013671875], [885.0396118164062, 609.9703979492188], [949.1583251953125, 591.2963256835938], [913.536865234375, 673.1748657226562], [939.184326171875, 670.3018798828125], [907.83740234375, 724.8875732421875], [929.2102661132812, 694.7218017578125], [907.83740234375, 780.9097290039062], [927.7854614257812, 739.2522583007812]]","[[712, 419], [1199, 419], [646, 611], [1270, 611], [504, 964], [1392, 964]]","[[588, 427], [588, 611], [1325, 611], [1325, 427]]","[917, 504]",None,None
95095,"[[1066.36865234375, 347.83233642578125], [1069.207275390625, 343.5323791503906], [1063.530029296875, 343.5323791503906], [1074.884521484375, 344.9656982421875], [1059.272216796875, 344.9656982421875], [1083.4002685546875, 357.8655700683594], [1056.43359375, 357.8655700683594], [1103.2705078125, 373.6320495605469], [1033.724853515625, 357.8655700683594], [1089.0775146484375, 369.33209228515625], [1028.047607421875, 360.7322082519531], [1079.1424560546875, 403.7317199707031], [1060.6915283203125, 400.8650817871094], [1077.7230224609375, 436.697998046875], [1056.43359375, 432.39801025390625], [1079.1424560546875, 479.697509765625], [1062.11083984375, 461.0643615722656]]","[[908.9424438476562, 578.8193969726562], [913.2152709960938, 573.0830078125], [906.0939331054688, 573.0830078125], [898.9725341796875, 575.951171875], [918.9124755859375, 573.0830078125], [896.1240234375, 606.0673217773438], [936.0037231445312, 596.028564453125], [883.3054809570312, 617.5401611328125], [968.7620849609375, 583.1217041015625], [886.1539916992188, 608.935546875], [947.39794921875, 590.2921752929688], [914.6395263671875, 674.904296875], [941.7008056640625, 669.1679077148438], [907.5181884765625, 725.0978393554688], [930.306640625, 693.547607421875], [907.5181884765625, 782.4619750976562], [927.4580688476562, 739.4389038085938]]","[[712, 419], [1199, 419], [646, 611], [1270, 611], [504, 964], [1392, 964]]","[[588, 427], [588, 611], [1325, 611], [1325, 427]]","[917, 504]",bottom,short service
95096,"[[1066.7088623046875, 346.2979736328125], [1069.560791015625, 343.433349609375], [1063.85693359375, 343.433349609375], [1073.8387451171875, 344.86566162109375], [1059.5789794921875, 344.86566162109375], [1082.3946533203125, 357.7564392089844], [1056.72705078125, 357.7564392089844], [1103.7843017578125, 373.5118408203125], [1031.0594482421875, 359.1887512207031], [1089.5245361328125, 367.7825927734375], [1028.20751953125, 360.6210632324219], [1079.5426025390625, 402.1579895019531], [1061.0050048828125, 399.29339599609375], [1078.11669921875, 436.5334167480469], [1056.72705078125, 433.66876220703125], [1079.5426025390625, 480.9349365234375], [1061.0050048828125, 462.3149719238281]]","[[909.81982421875, 579.5390625], [912.669677734375, 573.79248046875], [905.5449829101562, 575.2291259765625], [899.8452758789062, 576.665771484375], [919.7943725585938, 573.79248046875], [896.9953002929688, 605.3988647460938], [936.8936767578125, 596.7789306640625], [887.020751953125, 614.0188598632812], [949.7180786132812, 586.7223510742188], [887.020751953125, 605.3988647460938], [948.293212890625, 588.1589965820312], [914.0946655273438, 674.3584594726562], [941.1685180664062, 667.1751708984375], [906.969970703125, 723.2047729492188], [929.7689819335938, 693.0349731445312], [906.969970703125, 780.6710815429688], [928.3440551757812, 737.5713500976562]]","[[712, 419], [1199, 419], [646, 611], [1270, 611], [504, 964], [1392, 964]]","[[588, 427], [588, 611], [1325, 611], [1325, 427]]","[917, 504]",None,None
95097,"[[1066.7589111328125, 346.21112060546875], [1069.6251220703125, 343.3447265625], [1063.892578125, 343.3447265625], [1073.924560546875, 344.7779235839844], [1059.5931396484375, 344.7779235839844], [1082.5233154296875, 357.67669677734375], [1056.7269287109375, 357.67669677734375], [1104.0203857421875, 373.4418640136719], [1030.9305419921875, 359.10992431640625], [1089.68896484375, 367.7090759277344], [1028.064208984375, 360.5430908203125], [1079.656982421875, 402.1058044433594], [1061.0262451171875, 399.23944091796875], [1076.790771484375, 436.5025329589844], [1056.7269287109375, 433.63616943359375], [1079.656982421875, 480.931640625], [1061.0262451171875, 462.3000793457031]]","[[909.6746826171875, 579.2560424804688], [913.9462890625, 573.4944458007812], [906.8270263671875, 574.934814453125], [899.707763671875, 576.375244140625], [919.6416015625, 573.4944458007812], [896.860107421875, 605.1831665039062], [936.7276611328125, 596.540771484375], [886.8931884765625, 613.8255615234375], [949.542236328125, 586.4580078125], [885.4693603515625, 605.1831665039062], [948.118408203125, 587.8984375], [913.9462890625, 674.3223266601562], [940.999267578125, 667.120361328125], [906.8270263671875, 723.2958984375], [929.6085205078125, 693.0475463867188], [906.8270263671875, 780.911865234375], [928.1846923828125, 737.6998901367188]]","[[712, 419], [1199, 419], [646, 611], [1270, 611], [504, 964], [1392, 964]]","[[588, 427], [588, 611], [1325, 611], [1325, 427]]","[917, 504]",None,None
95098,"[[1065.236083984375, 347.00341796875], [1068.0841064453125, 344.1221008300781], [1062.38818359375, 344.1221008300781], [1073.77978515625, 344.1221008300781], [1059.5404052734375, 344.1221008300781], [1082.323486328125, 357.0880432128906], [1055.2685546875, 355.64739990234375], [1103.6827392578125, 372.935302734375], [1029.6373291015625, 359.9693603515625], [1089.4432373046875, 368.6133117675781], [1028.21337890625, 359.9693603515625], [1079.4755859375, 400.307861328125], [1060.9642333984375, 397.426513671875], [1078.0516357421875, 436.3243103027344], [1055.2685546875, 432.0023498535156], [1079.4755859375, 479.5441589355469], [1060.9642333984375, 462.2562255859375]]","[[910.9864501953125, 578.8302001953125], [913.8364868164062, 574.5130004882812], [906.7113037109375, 574.5130004882812], [901.0111694335938, 575.9520874023438], [920.961669921875, 571.6348266601562], [896.7359619140625, 606.172607421875], [938.0621948242188, 597.5382080078125], [888.185791015625, 610.4898681640625], [963.7129516601562, 581.7083740234375], [886.7606811523438, 606.172607421875], [949.4625244140625, 587.4646606445312], [913.8364868164062, 675.2481689453125], [940.9122924804688, 669.4918823242188], [908.1362915039062, 724.1766967773438], [929.511962890625, 693.9561157226562], [908.1362915039062, 781.7396850585938], [928.0869140625, 737.1283569335938]]","[[712, 419], [1199, 419], [646, 611], [1270, 611], [504, 964], [1392, 964]]","[[588, 427], [588, 611], [1325, 611], [1325, 427]]","[917, 504]",None,None
95099,"[[1066.4462890625, 346.7120056152344], [1069.3001708984375, 342.39111328125], [1063.5924072265625, 343.8314208984375], [1073.5810546875, 343.8314208984375], [1059.3115234375, 343.8314208984375], [1082.1427001953125, 356.7940979003906], [1055.0306396484375, 353.9134826660156], [1103.546875, 372.6373596191406], [1037.9073486328125, 356.7940979003906], [1090.704345703125, 368.31646728515625], [1027.9188232421875, 361.114990234375], [1079.288818359375, 398.56268310546875], [1060.738525390625, 397.1224060058594], [1077.86181640625, 434.57012939453125], [1055.0306396484375, 431.6895446777344], [1079.288818359375, 479.2193603515625], [1059.3115234375, 460.4954833984375]]","[[911.1361694335938, 577.9877319335938], [915.4205322265625, 573.6868286132812], [908.2798461914062, 575.1204833984375], [901.13916015625, 575.1204833984375], [921.1331176757812, 572.253173828125], [898.282958984375, 605.226806640625], [939.6988525390625, 596.625], [889.714111328125, 609.5277099609375], [962.5490112304688, 582.2886352539062], [889.714111328125, 605.226806640625], [948.2676391601562, 588.023193359375], [913.992431640625, 674.0413818359375], [941.1270141601562, 669.740478515625], [908.2798461914062, 724.2186889648438], [929.701904296875, 694.1123046875], [908.2798461914062, 781.5640869140625], [928.2737426757812, 738.5550537109375]]","[[712, 419], [1199, 419], [646, 611], [1270, 611], [504, 964], [1392, 964]]","[[588, 427], [588, 611], [1325, 611], [1325, 427]]","[917, 504]",None,None
