frame,top,bottom,court,net,ball,pos,type
91918,"[[904.5428466796875, 447.1938781738281], [907.3941650390625, 442.88140869140625], [901.6917114257812, 442.88140869140625], [917.3734741210938, 438.5688781738281], [901.6917114257812, 440.00640869140625], [933.0552368164062, 455.8188781738281], [908.8197021484375, 461.5688781738281], [931.629638671875, 468.75640869140625], [900.2659912109375, 470.1938781738281], [901.6917114257812, 464.4438781738281], [880.307373046875, 477.38140869140625], [943.0345458984375, 520.5064086914062], [923.075927734375, 520.5064086914062], [935.906494140625, 573.6939086914062], [925.9271850585938, 570.8189086914062], [935.906494140625, 616.8189086914062], [930.2039184570312, 611.0689086914062]]","[[1089.812744140625, 650.5037231445312], [1076.857421875, 644.7616577148438], [1102.76806640625, 643.326171875], [1078.296875, 647.6327514648438], [1102.76806640625, 644.7616577148438], [1066.7808837890625, 677.7783203125], [1117.162841796875, 673.4718017578125], [1049.5072021484375, 717.9725341796875], [1154.5894775390625, 693.5689086914062], [1069.659912109375, 710.794921875], [1143.0736083984375, 666.2943115234375], [1076.857421875, 762.47314453125], [1107.08642578125, 763.9086303710938], [1082.6153564453125, 828.5064697265625], [1104.20751953125, 829.94189453125], [1086.9337158203125, 887.3621826171875], [1098.4495849609375, 891.6686401367188]]","[[634, 516], [1275, 516], [583, 712], [1335, 712], [484, 1010], [1429, 1010]]","[[510, 492], [510, 712], [1410, 712], [1410, 492]]","[872, 517]",None,None
91919,"[[905.325927734375, 449.5326843261719], [908.1813354492188, 445.2301025390625], [902.4705200195312, 445.2301025390625], [918.1752319335938, 440.927490234375], [902.4705200195312, 443.7958984375], [933.8800048828125, 458.13787841796875], [908.1813354492188, 461.0062561035156], [931.0245971679688, 471.045654296875], [898.1873168945312, 473.9140319824219], [901.0427856445312, 466.7430419921875], [879.627197265625, 481.0849914550781], [943.8739013671875, 521.2424926757812], [923.885986328125, 522.6766967773438], [936.7354125976562, 575.7420043945312], [926.7415161132812, 575.7420043945312], [935.3077392578125, 620.2020874023438], [931.0245971679688, 613.0311279296875]]","[[1089.1781005859375, 650.5125732421875], [1076.3656005859375, 644.7520141601562], [1103.414306640625, 643.3118286132812], [1077.7891845703125, 647.6322631835938], [1101.99072265625, 644.7520141601562], [1066.4002685546875, 676.4351196289062], [1116.226806640625, 672.1146850585938], [1049.3167724609375, 718.1993408203125], [1154.66455078125, 693.7168579101562], [1069.2474365234375, 716.7591552734375], [1143.275634765625, 666.3541259765625], [1076.3656005859375, 761.403564453125], [1107.6851806640625, 764.2838745117188], [1082.06005859375, 829.09033203125], [1103.414306640625, 830.530517578125], [1086.3309326171875, 886.6961059570312], [1099.1434326171875, 891.0165405273438]]","[[634, 516], [1275, 516], [583, 712], [1335, 712], [484, 1010], [1429, 1010]]","[[510, 492], [510, 712], [1410, 712], [1410, 492]]","[872, 517]",None,None
91920,"[[904.7955932617188, 451.3238830566406], [907.6533203125, 445.5941467285156], [901.9380493164062, 445.5941467285156], [917.6551513671875, 442.72930908203125], [900.5091552734375, 444.1617431640625], [931.9434814453125, 459.9184265136719], [909.0821533203125, 461.350830078125], [929.0857543945312, 474.2426452636719], [899.080322265625, 475.675048828125], [900.5091552734375, 467.08050537109375], [877.6478271484375, 482.8371887207031], [944.802978515625, 521.5126342773438], [923.3704833984375, 522.945068359375], [936.22998046875, 574.5123291015625], [926.2280883789062, 574.5123291015625], [934.8011474609375, 618.91748046875], [931.9434814453125, 613.187744140625]]","[[1089.7203369140625, 650.3681640625], [1095.4798583984375, 643.1722412109375], [1102.6793212890625, 643.1722412109375], [1078.201171875, 648.9290161132812], [1102.6793212890625, 644.6114501953125], [1068.121826171875, 676.2735595703125], [1117.0782470703125, 673.3951416015625], [1049.4031982421875, 719.4490966796875], [1153.07568359375, 693.5438232421875], [1056.6026611328125, 720.8883056640625], [1142.996337890625, 667.638427734375], [1076.76123046875, 762.624755859375], [1106.9990234375, 764.0639038085938], [1082.520751953125, 828.8273315429688], [1104.1192626953125, 830.2664794921875], [1086.8404541015625, 887.833984375], [1098.359619140625, 889.273193359375]]","[[634, 516], [1275, 516], [583, 712], [1335, 712], [484, 1010], [1429, 1010]]","[[510, 492], [510, 712], [1410, 712], [1410, 492]]","[872, 517]",None,None
91921,"[[904.6915283203125, 451.61846923828125], [907.5525512695312, 444.4140930175781], [901.83056640625, 445.8550109863281], [917.5659790039062, 441.5323791503906], [900.4000854492188, 444.4140930175781], [931.8709716796875, 460.26373291015625], [908.9830932617188, 461.70458984375], [929.010009765625, 474.6724853515625], [898.9695434570312, 474.6724853515625], [900.4000854492188, 467.4681091308594], [877.51220703125, 483.3177185058594], [944.745361328125, 522.2213134765625], [924.7184448242188, 525.1030883789062], [936.1624755859375, 574.0927734375], [926.1489868164062, 575.5336303710938], [934.7319946289062, 620.2007446289062], [931.8709716796875, 612.996337890625]]","[[1089.713623046875, 650.4451293945312], [1095.469970703125, 643.2473754882812], [1085.3963623046875, 644.6869506835938], [1078.200927734375, 649.005615234375], [1102.6654052734375, 644.6869506835938], [1068.12744140625, 676.357177734375], [1117.05615234375, 673.47802734375], [1049.4193115234375, 719.5437622070312], [1154.4722900390625, 693.6318359375], [1056.61474609375, 720.9833374023438], [1142.959716796875, 666.2802734375], [1076.7618408203125, 762.7304077148438], [1106.982666015625, 764.169921875], [1082.5181884765625, 828.9498901367188], [1104.1044921875, 828.9498901367188], [1086.83544921875, 886.5320434570312], [1098.34814453125, 889.4111938476562]]","[[634, 516], [1275, 516], [583, 712], [1335, 712], [484, 1010], [1429, 1010]]","[[510, 492], [510, 712], [1410, 712], [1410, 492]]","[872, 517]",None,None
91922,"[[904.5226440429688, 452.0970764160156], [907.36962890625, 447.78314208984375], [901.6756591796875, 447.78314208984375], [917.333984375, 443.4692077636719], [898.8287353515625, 446.3451843261719], [930.1453247070312, 459.28692626953125], [907.36962890625, 466.4767761230469], [928.7218017578125, 475.1046447753906], [898.8287353515625, 475.1046447753906], [898.8287353515625, 467.9147644042969], [877.4765014648438, 486.6084289550781], [945.8035888671875, 523.9957275390625], [924.4513549804688, 523.9957275390625], [935.8392333984375, 572.8868408203125], [927.29833984375, 574.3247680664062], [934.415771484375, 620.3399047851562], [931.5687866210938, 613.1500854492188]]","[[1089.20068359375, 650.8455810546875], [1096.3221435546875, 643.667724609375], [1084.927978515625, 645.103271484375], [1077.8065185546875, 647.9744262695312], [1102.0194091796875, 645.103271484375], [1066.412109375, 676.6858520507812], [1116.26220703125, 672.3790893554688], [1049.3206787109375, 719.7529296875], [1153.2938232421875, 693.9126586914062], [1056.442138671875, 721.1885375976562], [1141.8995361328125, 666.6368408203125], [1074.9578857421875, 761.3844604492188], [1107.716552734375, 762.820068359375], [1082.079345703125, 828.8563232421875], [1103.443603515625, 830.2918090820312], [1086.3521728515625, 886.2791137695312], [1099.1707763671875, 889.1502075195312]]","[[634, 516], [1275, 516], [583, 712], [1335, 712], [484, 1010], [1429, 1010]]","[[510, 492], [510, 712], [1410, 712], [1410, 492]]","[872, 517]",None,None
91923,"[[901.8873901367188, 453.6864013671875], [904.7498168945312, 449.38433837890625], [900.4561767578125, 449.38433837890625], [916.1995239257812, 446.51629638671875], [900.4561767578125, 449.38433837890625], [930.51171875, 462.2904968261719], [904.7498168945312, 469.4606018066406], [927.6492919921875, 476.6307067871094], [900.4561767578125, 476.6307067871094], [900.4561767578125, 470.8946533203125], [880.4190673828125, 488.10284423828125], [946.2551879882812, 525.3873291015625], [926.2180786132812, 525.3873291015625], [936.236572265625, 571.2759399414062], [926.2180786132812, 572.7098999023438], [936.236572265625, 617.1644897460938], [930.51171875, 611.428466796875]]","[[1089.027099609375, 651.6299438476562], [1094.74462890625, 644.4524536132812], [1083.3095703125, 645.887939453125], [1077.5921630859375, 647.3234252929688], [1101.8916015625, 645.887939453125], [1066.1571044921875, 677.4689331054688], [1116.185302734375, 673.1624145507812], [1049.004638671875, 719.098388671875], [1153.3489990234375, 694.6948852539062], [1056.1514892578125, 720.533935546875], [1143.3433837890625, 667.42041015625], [1076.1627197265625, 760.7278442382812], [1106.1796875, 763.5988159179688], [1081.8802490234375, 828.1963500976562], [1103.3209228515625, 829.6318359375], [1086.1683349609375, 885.6162719726562], [1099.03271484375, 889.9227294921875]]","[[634, 516], [1275, 516], [583, 712], [1335, 712], [484, 1010], [1429, 1010]]","[[510, 492], [510, 712], [1410, 712], [1410, 492]]","[872, 517]",None,None
91924,"[[902.9356689453125, 454.49066162109375], [904.3571166992188, 450.1942138671875], [900.0928344726562, 450.1942138671875], [915.7286987304688, 447.3299255371094], [897.2498779296875, 448.7620849609375], [929.943115234375, 463.0835266113281], [905.778564453125, 465.9478454589844], [929.943115234375, 478.8371887207031], [900.0928344726562, 478.8371887207031], [898.67138671875, 470.2442932128906], [880.1925659179688, 490.29437255859375], [947.0004272460938, 523.2338256835938], [927.1002197265625, 523.2338256835938], [938.4718017578125, 573.3590087890625], [924.2573852539062, 569.0625610351562], [935.6288452148438, 619.1878051757812], [929.943115234375, 609.1627197265625]]","[[1090.244140625, 649.2544555664062], [1097.3790283203125, 640.6107788085938], [1084.5361328125, 643.4920043945312], [1077.401123046875, 646.3732299804688], [1101.6600341796875, 644.9326171875], [1065.985107421875, 678.066650390625], [1115.9300537109375, 673.7448120117188], [1048.8612060546875, 718.4037475585938], [1153.031982421875, 693.9133911132812], [1058.85009765625, 721.2849731445312], [1143.04296875, 667.982421875], [1075.97412109375, 761.6220703125], [1105.9410400390625, 761.6220703125], [1081.68212890625, 827.89013671875], [1103.0870361328125, 830.771484375], [1085.963134765625, 886.9552001953125], [1098.8060302734375, 889.83642578125]]","[[634, 516], [1275, 516], [583, 712], [1335, 712], [484, 1010], [1429, 1010]]","[[510, 492], [510, 712], [1410, 712], [1410, 492]]","[872, 517]",None,None
91925,"[[901.457763671875, 456.42022705078125], [904.3251953125, 452.0966796875], [898.59033203125, 452.0966796875], [915.7947998046875, 449.2143249511719], [897.1566162109375, 450.6554870605469], [930.1318359375, 465.0674133300781], [904.3251953125, 466.5085754394531], [930.1318359375, 479.4792785644531], [900.0240478515625, 479.4792785644531], [901.457763671875, 472.27337646484375], [881.3859252929688, 493.8912048339844], [948.77001953125, 527.0386352539062], [927.2645263671875, 528.4797973632812], [938.734130859375, 574.5978393554688], [924.3970336914062, 574.5978393554688], [935.8666381835938, 619.2747802734375], [928.6981811523438, 607.7453002929688]]","[[1090.3883056640625, 647.892578125], [1097.573974609375, 640.6925048828125], [1086.076904296875, 642.1325073242188], [1077.4542236328125, 646.4525146484375], [1100.4482421875, 645.0125122070312], [1065.9571533203125, 678.1328735351562], [1116.256591796875, 673.8128051757812], [1048.711669921875, 718.4532470703125], [1152.184814453125, 693.9730224609375], [1055.897216796875, 721.333251953125], [1143.56201171875, 668.052734375], [1076.0169677734375, 761.6536254882812], [1106.1966552734375, 763.0936889648438], [1081.7655029296875, 827.894287109375], [1103.322509765625, 829.3342895507812], [1086.076904296875, 886.934814453125], [1099.0111083984375, 889.8148803710938]]","[[634, 516], [1275, 516], [583, 712], [1335, 712], [484, 1010], [1429, 1010]]","[[510, 492], [510, 712], [1410, 712], [1410, 492]]","[872, 517]",None,None
91926,"[[900.8078002929688, 459.1787109375], [902.2301635742188, 453.4272155761719], [899.3853759765625, 454.8650817871094], [913.6093139648438, 450.5514221191406], [899.3853759765625, 453.4272155761719], [929.255615234375, 467.8060302734375], [902.2301635742188, 470.6817932128906], [933.5228271484375, 480.7469482421875], [897.9630737304688, 482.1848449707031], [902.2301635742188, 474.9954528808594], [879.4719848632812, 500.8773193359375], [950.5914916992188, 529.635009765625], [927.8331909179688, 529.635009765625], [940.634765625, 577.0851440429688], [922.1436767578125, 578.5230102539062], [934.9451293945312, 620.2216186523438], [927.8331909179688, 607.2807006835938]]","[[1090.0970458984375, 646.2199096679688], [1097.25634765625, 640.4566040039062], [1085.8013916015625, 640.4566040039062], [1077.210205078125, 646.2199096679688], [1101.552001953125, 644.7791137695312], [1065.755126953125, 677.9182739257812], [1115.8707275390625, 673.5957641601562], [1048.57275390625, 718.2615356445312], [1151.6676025390625, 693.7673950195312], [1058.5958251953125, 721.1432495117188], [1143.076416015625, 667.8323974609375], [1075.7781982421875, 761.4864501953125], [1107.279541015625, 764.3682250976562], [1081.5057373046875, 829.2056274414062], [1104.415771484375, 830.646484375], [1085.8013916015625, 885.3980712890625], [1098.688232421875, 889.7205810546875]]","[[634, 516], [1275, 516], [583, 712], [1335, 712], [484, 1010], [1429, 1010]]","[[510, 492], [510, 712], [1410, 712], [1410, 492]]","[872, 517]",None,None
91927,"[[899.9964599609375, 460.20989990234375], [902.8690795898438, 454.4573974609375], [898.5601806640625, 455.8955383300781], [912.9232177734375, 451.58111572265625], [899.9964599609375, 454.4573974609375], [930.158935546875, 467.4005432128906], [904.305419921875, 474.5911865234375], [933.0315551757812, 481.7818298339844], [898.5601806640625, 481.7818298339844], [902.8690795898438, 474.5911865234375], [879.8881225585938, 500.4775085449219], [950.267333984375, 529.2401123046875], [928.7225952148438, 530.67822265625], [940.213134765625, 578.136474609375], [922.9774169921875, 575.2601928710938], [935.9041748046875, 618.4041137695312], [927.286376953125, 606.8990478515625]]","[[1091.1451416015625, 646.3422241210938], [1096.8974609375, 639.139892578125], [1085.3929443359375, 642.0208129882812], [1076.7646484375, 647.78271484375], [1101.2115478515625, 643.4613037109375], [1066.6982421875, 676.5919799804688], [1115.592041015625, 673.7110595703125], [1048.003662109375, 719.8059692382812], [1152.9813232421875, 693.8775634765625], [1056.6319580078125, 721.2463989257812], [1142.9150390625, 667.94921875], [1075.32666015625, 763.0199584960938], [1106.9637451171875, 764.4603271484375], [1081.078857421875, 829.2813110351562], [1104.087646484375, 830.7218017578125], [1085.3929443359375, 886.8999633789062], [1098.33544921875, 891.2213134765625]]","[[634, 516], [1275, 516], [583, 712], [1335, 712], [484, 1010], [1429, 1010]]","[[510, 492], [510, 712], [1410, 712], [1410, 492]]","[872, 517]",None,None
