frame,top,bottom,court,net,ball,pos,type
58418,"[[1107.840087890625, 450.1165771484375], [1112.157470703125, 445.8233337402344], [1103.5225830078125, 445.8233337402344], [1117.9140625, 447.25439453125], [1097.76611328125, 445.8233337402344], [1122.2314453125, 462.99627685546875], [1090.5703125, 458.7030334472656], [1136.6229248046875, 484.46246337890625], [1066.10498046875, 464.4273681640625], [1125.1097412109375, 501.63543701171875], [1071.8614501953125, 461.565185546875], [1115.0357666015625, 515.9462280273438], [1094.8876953125, 514.51513671875], [1109.2791748046875, 553.154296875], [1099.2052001953125, 556.0164794921875], [1106.40087890625, 593.2245483398438], [1103.5225830078125, 590.3623657226562]]","[[964.7616577148438, 674.775146484375], [964.7616577148438, 671.9061279296875], [964.7616577148438, 670.4716186523438], [943.447998046875, 666.1681518554688], [961.9197998046875, 671.9061279296875], [932.0806884765625, 676.2096557617188], [949.131591796875, 693.4237060546875], [946.2898559570312, 717.810302734375], [947.7107543945312, 717.810302734375], [976.1289672851562, 733.58984375], [976.1289672851562, 733.58984375], [910.76708984375, 740.7623901367188], [924.9761352539062, 749.369384765625], [924.9761352539062, 790.9700317382812], [930.6597900390625, 795.2734985351562], [932.0806884765625, 832.5706176757812], [923.5552978515625, 839.7431640625]]","[[684, 558], [1235, 558], [638, 746], [1277, 746], [564, 1015], [1345, 1015]]","[[579, 560], [579, 746], [1336, 746], [1336, 560]]","[975, 662]",None,None
58419,"[[1107.0634765625, 449.5760803222656], [1111.317626953125, 445.27496337890625], [1104.2274169921875, 445.27496337890625], [1116.9896240234375, 448.14239501953125], [1097.1373291015625, 446.70867919921875], [1122.6617431640625, 463.9130554199219], [1091.4652099609375, 458.17828369140625], [1136.842041015625, 485.4186096191406], [1065.9407958984375, 465.3468017578125], [1125.497802734375, 501.18927001953125], [1070.1949462890625, 463.9130554199219], [1114.153564453125, 516.9599609375], [1095.71923828125, 515.5263061523438], [1109.8995361328125, 552.802490234375], [1099.973388671875, 555.669921875], [1107.0634765625, 592.9461059570312], [1104.2274169921875, 590.0787353515625]]","[[962.0447387695312, 676.7666625976562], [964.8980102539062, 671.0299682617188], [964.8980102539062, 671.0299682617188], [944.9251098632812, 663.8590698242188], [963.4713745117188, 671.0299682617188], [932.0853881835938, 678.2008666992188], [950.6316528320312, 693.976806640625], [947.7783813476562, 718.3578491210938], [949.2050170898438, 716.9236450195312], [974.8844604492188, 737.0021362304688], [976.3110961914062, 737.0021362304688], [909.2590942382812, 739.8704833984375], [924.9521484375, 748.4755859375], [923.5255126953125, 790.0667114257812], [933.5120239257812, 794.3692626953125], [932.0853881835938, 831.6578979492188], [924.9521484375, 838.8287353515625]]","[[684, 558], [1235, 558], [638, 746], [1277, 746], [564, 1015], [1345, 1015]]","[[579, 560], [579, 746], [1336, 746], [1336, 560]]","[975, 665]",None,None
58420,"[[1107.9930419921875, 448.5081787109375], [1112.2803955078125, 444.20245361328125], [1103.7056884765625, 444.20245361328125], [1117.996826171875, 447.0729064941406], [1097.9892578125, 445.6376647949219], [1122.2841796875, 462.8606262207031], [1090.8436279296875, 457.11962890625], [1136.5753173828125, 484.3893127441406], [1066.5487060546875, 464.29583740234375], [1125.1424560546875, 500.177001953125], [1070.8360595703125, 462.8606262207031], [1113.7095947265625, 517.39990234375], [1095.131103515625, 514.5294189453125], [1109.422119140625, 551.8457641601562], [1097.9892578125, 553.281005859375], [1106.56396484375, 592.0326538085938], [1103.7056884765625, 589.162109375]]","[[966.5635986328125, 674.2720947265625], [966.5635986328125, 671.40673828125], [966.5635986328125, 671.40673828125], [947.9539184570312, 664.2431640625], [965.132080078125, 671.40673828125], [933.6388549804688, 677.1375122070312], [952.2484741210938, 692.8972778320312], [919.3237915039062, 704.3589477539062], [950.8170166015625, 720.1187133789062], [975.1527099609375, 741.609375], [975.1527099609375, 741.609375], [909.3031616210938, 738.743896484375], [925.0498046875, 748.7728271484375], [920.7552490234375, 787.4559326171875], [933.6388549804688, 793.186767578125], [930.7758178710938, 831.869873046875], [923.6183471679688, 839.033447265625]]","[[684, 558], [1235, 558], [638, 746], [1277, 746], [564, 1015], [1345, 1015]]","[[579, 560], [579, 746], [1336, 746], [1336, 560]]","[976, 668]",None,None
58421,"[[1107.5980224609375, 447.6308288574219], [1111.9083251953125, 444.76837158203125], [1104.7244873046875, 444.76837158203125], [1117.6553955078125, 446.1996154785156], [1097.540771484375, 446.1996154785156], [1123.4024658203125, 463.37432861328125], [1090.35693359375, 457.6494445800781], [1136.333251953125, 484.84271240234375], [1065.9320068359375, 464.8055419921875], [1126.2760009765625, 500.5862121582031], [1070.2423095703125, 463.37432861328125], [1114.7818603515625, 517.7609252929688], [1096.10400390625, 514.8984375], [1109.0347900390625, 552.1103515625], [1098.9775390625, 554.9727783203125], [1106.1612548828125, 592.1846313476562], [1103.2877197265625, 587.8909301757812]]","[[962.9307250976562, 679.63671875], [964.3565063476562, 676.75537109375], [965.7822875976562, 673.8740234375], [948.6731567382812, 665.2299194335938], [964.3565063476562, 672.433349609375], [935.8412475585938, 675.314697265625], [952.950439453125, 695.4843139648438], [920.1578369140625, 704.1283569335938], [951.524658203125, 721.4165649414062], [972.9110717773438, 744.4674682617188], [972.9110717773438, 744.4674682617188], [911.6033325195312, 738.7047119140625], [925.8609008789062, 745.908203125], [920.1578369140625, 786.247314453125], [934.4154663085938, 792.0101318359375], [925.8609008789062, 825.1458129882812], [927.2866821289062, 833.7898559570312]]","[[684, 558], [1235, 558], [638, 746], [1277, 746], [564, 1015], [1345, 1015]]","[[579, 560], [579, 746], [1336, 746], [1336, 560]]","[976, 670]",None,None
58422,"[[1107.6162109375, 446.8879699707031], [1111.8905029296875, 442.59197998046875], [1103.342041015625, 442.59197998046875], [1117.58935546875, 445.4559326171875], [1097.64306640625, 445.4559326171875], [1123.288330078125, 462.6398010253906], [1090.5194091796875, 456.9118347167969], [1136.1109619140625, 484.11962890625], [1066.2989501953125, 465.5038146972656], [1126.1376953125, 499.87152099609375], [1071.9979248046875, 462.6398010253906], [1114.7398681640625, 517.0553588867188], [1094.793701171875, 514.19140625], [1109.0408935546875, 551.423095703125], [1097.64306640625, 552.8550415039062], [1106.1915283203125, 591.5187377929688], [1103.342041015625, 588.65478515625]]","[[965.9925537109375, 679.1643676757812], [967.412353515625, 673.4252319335938], [967.412353515625, 673.4252319335938], [950.375244140625, 664.8164672851562], [965.9925537109375, 673.4252319335938], [933.3380126953125, 673.4252319335938], [953.2147216796875, 696.3818969726562], [944.6961669921875, 676.2947998046875], [954.634521484375, 725.0777587890625], [971.671630859375, 748.0344848632812], [971.671630859375, 748.0344848632812], [909.2021484375, 737.9909057617188], [926.2392578125, 746.5996704101562], [919.1405029296875, 786.7738647460938], [936.1776123046875, 791.0782470703125], [926.2392578125, 824.0785522460938], [930.49853515625, 831.2525024414062]]","[[684, 558], [1235, 558], [638, 746], [1277, 746], [564, 1015], [1345, 1015]]","[[579, 560], [579, 746], [1336, 746], [1336, 560]]","[977, 669]",None,None
58423,"[[1107.5902099609375, 447.1288757324219], [1111.8599853515625, 442.8123474121094], [1104.74365234375, 442.8123474121094], [1117.55322265625, 445.6900329589844], [1097.627197265625, 444.2511901855469], [1123.246337890625, 462.95611572265625], [1090.5108642578125, 457.2007751464844], [1136.055908203125, 483.0998840332031], [1066.31494140625, 464.39495849609375], [1126.0928955078125, 500.365966796875], [1070.5848388671875, 462.95611572265625], [1114.7066650390625, 516.1931762695312], [1094.7806396484375, 514.7543334960938], [1109.0135498046875, 550.725341796875], [1097.627197265625, 553.60302734375], [1106.1668701171875, 591.0128173828125], [1103.3204345703125, 588.1351318359375]]","[[965.6895141601562, 679.7073974609375], [967.1217651367188, 673.9423828125], [967.1217651367188, 673.9423828125], [949.9340209960938, 663.853515625], [965.6895141601562, 672.5010986328125], [932.7462768554688, 673.9423828125], [954.23095703125, 695.5613403320312], [944.2047119140625, 676.8248901367188], [954.23095703125, 724.3866577148438], [972.85107421875, 748.8881225585938], [972.85107421875, 748.8881225585938], [908.3968505859375, 737.3579711914062], [925.5846557617188, 746.005615234375], [919.8554077148438, 786.3609619140625], [937.043212890625, 790.684814453125], [927.0170288085938, 825.2750854492188], [931.3139038085938, 831.0401611328125]]","[[684, 558], [1235, 558], [638, 746], [1277, 746], [564, 1015], [1345, 1015]]","[[579, 560], [579, 746], [1336, 746], [1336, 560]]","[977, 669]",None,None
58424,"[[1107.17626953125, 446.36236572265625], [1111.4503173828125, 443.4903564453125], [1104.3270263671875, 443.4903564453125], [1117.1488037109375, 446.36236572265625], [1098.62841796875, 444.9263916015625], [1122.847412109375, 462.1584777832031], [1090.08056640625, 456.4144592285156], [1135.6693115234375, 483.6986083984375], [1067.2861328125, 463.5945129394531], [1125.69677734375, 499.4947204589844], [1071.56005859375, 462.1584777832031], [1114.299560546875, 516.726806640625], [1095.7791748046875, 513.8547973632812], [1108.6009521484375, 549.7550048828125], [1097.2037353515625, 554.0630493164062], [1107.17626953125, 591.3992919921875], [1102.90234375, 588.5272216796875]]","[[964.765625, 680.5579223632812], [966.19873046875, 677.6787109375], [969.0648193359375, 673.3599853515625], [949.002197265625, 664.7225341796875], [966.19873046875, 673.3599853515625], [931.8057250976562, 673.3599853515625], [954.734375, 699.2725219726562], [920.3413696289062, 669.041259765625], [954.734375, 729.5037231445312], [969.0648193359375, 752.5370483398438], [970.497802734375, 753.9766845703125], [907.444091796875, 738.1412353515625], [927.506591796875, 746.7787475585938], [918.9083862304688, 787.0870361328125], [937.5379028320312, 789.9661865234375], [926.0735473632812, 825.955810546875], [931.8057250976562, 828.8350219726562]]","[[684, 558], [1235, 558], [638, 746], [1277, 746], [564, 1015], [1345, 1015]]","[[579, 560], [579, 746], [1336, 746], [1336, 560]]","[977, 677]",None,None
58425,"[[1106.3682861328125, 445.836669921875], [1110.638671875, 441.5122985839844], [1103.5211181640625, 441.5122985839844], [1116.3326416015625, 444.3952331542969], [1097.8271484375, 442.9537353515625], [1123.4501953125, 461.6925354003906], [1090.709716796875, 457.36822509765625], [1136.2615966796875, 483.3142395019531], [1066.5103759765625, 464.575439453125], [1124.8736572265625, 499.17010498046875], [1072.2042236328125, 461.6925354003906], [1114.9091796875, 515.0260009765625], [1094.980224609375, 515.0260009765625], [1107.791748046875, 549.6207275390625], [1096.4036865234375, 552.5036010742188], [1107.791748046875, 591.422607421875], [1102.09765625, 577.0081787109375]]","[[965.13330078125, 678.2366333007812], [966.5662841796875, 673.9256591796875], [967.9991455078125, 672.4887084960938], [949.3709716796875, 662.4297485351562], [966.5662841796875, 672.4887084960938], [930.7428588867188, 671.0516967773438], [957.9685668945312, 701.2285766601562], [909.2488403320312, 671.0516967773438], [956.5357055664062, 734.2793579101562], [927.8770141601562, 669.6146850585938], [967.9991455078125, 760.145263671875], [907.8158569335938, 741.4642944335938], [930.7428588867188, 748.6492919921875], [919.2794189453125, 788.8851318359375], [937.9075317382812, 790.3220825195312], [926.4440307617188, 826.2468872070312], [930.7428588867188, 826.2468872070312]]","[[684, 558], [1235, 558], [638, 746], [1277, 746], [564, 1015], [1345, 1015]]","[[579, 560], [579, 746], [1336, 746], [1336, 560]]","[975, 686]",None,None
58426,"[[1106.00537109375, 445.22003173828125], [1110.27294921875, 440.9169616699219], [1103.16015625, 440.9169616699219], [1115.963134765625, 443.7856750488281], [1097.4700927734375, 442.351318359375], [1123.075927734375, 460.9978942871094], [1090.3572998046875, 456.69482421875], [1137.3013916015625, 482.5130920410156], [1066.1739501953125, 465.3009033203125], [1125.9208984375, 496.85662841796875], [1071.8642578125, 462.4322204589844], [1114.54052734375, 516.9375], [1094.625, 514.0687866210938], [1108.8504638671875, 551.3619384765625], [1094.625, 551.3619384765625], [1106.00537109375, 592.9580688476562], [1104.582763671875, 572.877197265625]]","[[965.28125, 675.6849975585938], [951.0747680664062, 655.5069580078125], [968.12255859375, 668.4785766601562], [948.2333984375, 661.2721557617188], [965.28125, 669.9198608398438], [926.9237670898438, 669.9198608398438], [958.177978515625, 697.3043212890625], [904.193359375, 672.8024291992188], [956.75732421875, 733.3364868164062], [921.2410888671875, 671.3611450195312], [966.701904296875, 757.83837890625], [911.2965698242188, 739.1016235351562], [934.0269775390625, 749.1907348632812], [918.3998413085938, 789.5467529296875], [938.2889404296875, 790.9879760742188], [926.9237670898438, 825.5789184570312], [929.7650146484375, 825.5789184570312]]","[[684, 558], [1235, 558], [638, 746], [1277, 746], [564, 1015], [1345, 1015]]","[[579, 560], [579, 746], [1336, 746], [1336, 560]]","[977, 695]",None,None
58427,"[[1106.189697265625, 443.8509826660156], [1110.448486328125, 440.9794921875], [1103.3504638671875, 440.9794921875], [1116.1268310546875, 442.41522216796875], [1097.6719970703125, 440.9794921875], [1123.224853515625, 459.6441955566406], [1090.573974609375, 456.772705078125], [1137.4207763671875, 482.61614990234375], [1066.44091796875, 465.3871765136719], [1124.6444091796875, 495.5378723144531], [1072.1192626953125, 461.0799560546875], [1114.707275390625, 515.6383056640625], [1094.8328857421875, 512.766845703125], [1107.6092529296875, 551.5320434570312], [1093.4132080078125, 550.0962524414062], [1106.189697265625, 591.73291015625], [1104.77001953125, 571.6324462890625]]","[[952.1007080078125, 652.1643676757812], [952.1007080078125, 652.1643676757812], [964.82763671875, 667.9852905273438], [946.4442749023438, 659.3556518554688], [963.4134521484375, 667.9852905273438], [928.0609130859375, 672.3001098632812], [956.343017578125, 690.9974975585938], [904.0211791992188, 673.73828125], [957.757080078125, 725.5159301757812], [919.5762939453125, 669.4235229492188], [966.24169921875, 748.5281982421875], [915.3340454101562, 739.8985595703125], [936.5455322265625, 745.6516723632812], [919.5762939453125, 788.799560546875], [939.373779296875, 787.361328125], [932.30322265625, 830.5093383789062], [929.4750366210938, 821.8797607421875]]","[[684, 558], [1235, 558], [638, 746], [1277, 746], [564, 1015], [1345, 1015]]","[[579, 560], [579, 746], [1336, 746], [1336, 560]]","[977, 707]",None,None
