frame,top,bottom,court,net,ball,pos,type
14674,"[[899.9393920898438, 454.5416259765625], [901.359130859375, 450.2306213378906], [897.10009765625, 450.2306213378906], [914.1361694335938, 447.3566589355469], [898.5197143554688, 450.2306213378906], [928.3328857421875, 464.6005859375], [905.6181030273438, 471.7854919433594], [926.9132080078125, 478.970458984375], [899.9393920898438, 481.8444519042969], [897.10009765625, 467.47454833984375], [880.06396484375, 490.4664306640625], [946.7886352539062, 526.3911743164062], [925.4935913085938, 526.3911743164062], [938.2706298828125, 575.2489624023438], [924.0739135742188, 573.8119506835938], [934.0115966796875, 619.795654296875], [929.7526245117188, 609.7366943359375]]","[[1149.9219970703125, 642.4312133789062], [1124.326171875, 632.3817138671875], [1151.3438720703125, 633.8173828125], [1125.7481689453125, 636.6885986328125], [1149.9219970703125, 636.6885986328125], [1112.9501953125, 665.4013061523438], [1158.453857421875, 663.9656982421875], [1110.1063232421875, 704.1633911132812], [1192.58154296875, 676.8863525390625], [1159.8758544921875, 666.8369140625], [1171.2518310546875, 666.8369140625], [1117.2161865234375, 748.6680297851562], [1145.6558837890625, 748.6680297851562], [1125.7481689453125, 803.22216796875], [1152.7659912109375, 813.2716064453125], [1127.170166015625, 864.954345703125], [1137.1240234375, 873.568115234375]]","[[639, 515], [1273, 515], [578, 713], [1336, 713], [479, 1006], [1431, 1006]]","[[514, 492], [514, 713], [1399, 713], [1399, 492]]","[1194, 221]",None,None
14675,"[[898.9945068359375, 456.16229248046875], [900.4188232421875, 451.8651123046875], [897.5702514648438, 451.8651123046875], [911.8133544921875, 449.0003356933594], [897.5702514648438, 453.2974853515625], [928.905029296875, 466.1889953613281], [903.2674560546875, 477.6481018066406], [928.905029296875, 477.6481018066406], [897.5702514648438, 484.8100280761719], [898.9945068359375, 466.1889953613281], [877.6298217773438, 497.7015075683594], [947.4210815429688, 527.7816772460938], [927.4807739257812, 527.7816772460938], [938.8751831054688, 575.0504760742188], [921.7835083007812, 575.0504760742188], [934.602294921875, 618.0221557617188], [927.4807739257812, 607.9954223632812]]","[[1149.727294921875, 641.4319458007812], [1122.66455078125, 632.811279296875], [1151.1517333984375, 632.811279296875], [1125.51318359375, 637.1216430664062], [1148.302978515625, 637.1216430664062], [1112.6939697265625, 664.4202880859375], [1156.84912109375, 664.4202880859375], [1109.84521484375, 704.64990234375], [1192.4581298828125, 678.7879638671875], [1159.6978759765625, 667.2938232421875], [1169.6683349609375, 667.2938232421875], [1116.967041015625, 749.1898193359375], [1145.4542236328125, 749.1898193359375], [1125.51318359375, 803.7871704101562], [1154.0003662109375, 813.8445434570312], [1125.51318359375, 862.6947631835938], [1136.9080810546875, 872.7521362304688]]","[[639, 515], [1273, 515], [578, 713], [1336, 713], [479, 1006], [1431, 1006]]","[[514, 492], [514, 713], [1399, 713], [1399, 492]]","[1194, 250]",None,None
14676,"[[896.9347534179688, 459.02764892578125], [899.7991333007812, 454.70452880859375], [894.0704345703125, 456.14556884765625], [911.2564697265625, 451.82244873046875], [894.0704345703125, 456.14556884765625], [928.4424438476562, 467.67388916015625], [901.2312622070312, 476.3201599121094], [931.3068237304688, 477.7611999511719], [895.5026245117188, 486.4074401855469], [899.7991333007812, 463.35076904296875], [878.3165893554688, 500.81793212890625], [948.4928588867188, 526.7567138671875], [928.4424438476562, 528.19775390625], [941.33203125, 574.3111572265625], [921.2816162109375, 574.3111572265625], [934.1712036132812, 618.9835205078125], [925.5781860351562, 606.01416015625]]","[[1148.085693359375, 642.6181030273438], [1122.5096435546875, 632.536376953125], [1150.927490234375, 633.9766235351562], [1125.3514404296875, 635.4168701171875], [1148.085693359375, 636.8571166992188], [1111.142578125, 665.662109375], [1156.611083984375, 664.2218017578125], [1109.7216796875, 704.548828125], [1192.1334228515625, 680.0645751953125], [1131.03515625, 730.4733276367188], [1169.3990478515625, 667.1023559570312], [1116.826171875, 747.75634765625], [1145.2440185546875, 747.75634765625], [1125.3514404296875, 803.926025390625], [1155.190185546875, 811.1272583007812], [1125.3514404296875, 862.976318359375], [1138.1395263671875, 871.6177978515625]]","[[639, 515], [1273, 515], [578, 713], [1336, 713], [479, 1006], [1431, 1006]]","[[514, 492], [514, 713], [1399, 713], [1399, 492]]","[1194, 279]",None,None
14677,"[[896.98291015625, 459.1273498535156], [899.8450927734375, 453.3914489746094], [894.1206665039062, 456.2593994140625], [911.2939453125, 451.9574279785156], [894.1206665039062, 456.2593994140625], [928.4671630859375, 467.7312927246094], [901.2761840820312, 476.335205078125], [931.3294067382812, 477.7691955566406], [895.5517578125, 486.3731384277344], [899.8450927734375, 463.4293212890625], [876.9474487304688, 500.7129821777344], [948.5026245117188, 526.5247192382812], [928.4671630859375, 529.3927612304688], [941.3471069335938, 575.2803344726562], [921.3116455078125, 575.2803344726562], [934.1915893554688, 618.2999267578125], [925.60498046875, 606.8280639648438]]","[[1148.80078125, 641.6614990234375], [1122.9083251953125, 633.0328979492188], [1150.2392578125, 634.4710083007812], [1124.3468017578125, 634.4710083007812], [1148.80078125, 635.9091186523438], [1111.4005126953125, 664.6710205078125], [1157.431640625, 664.6710205078125], [1108.5235595703125, 704.937744140625], [1193.3934326171875, 680.4901123046875], [1130.1007080078125, 730.823486328125], [1170.3778076171875, 666.1091918945312], [1115.7159423828125, 748.0806884765625], [1145.923828125, 749.5187377929688], [1125.7852783203125, 804.1663818359375], [1155.9931640625, 811.3568725585938], [1125.7852783203125, 863.1283569335938], [1137.29296875, 873.1950073242188]]","[[639, 515], [1273, 515], [578, 713], [1336, 713], [479, 1006], [1431, 1006]]","[[514, 492], [514, 713], [1399, 713], [1399, 492]]","[1193, 321]",None,None
14678,"[[895.8876953125, 462.6900939941406], [898.752685546875, 456.9571838378906], [894.4552612304688, 458.390380859375], [910.212646484375, 454.0906982421875], [895.8876953125, 458.390380859375], [927.4025268554688, 468.42303466796875], [901.61767578125, 479.8888854980469], [934.56494140625, 478.45562744140625], [891.5902709960938, 494.2211608886719], [900.1852416992188, 461.2568359375], [877.2653198242188, 507.1202697753906], [951.7548217773438, 530.0519409179688], [928.8349609375, 531.4851684570312], [941.7274169921875, 578.7817993164062], [921.6725463867188, 577.3485717773438], [934.56494140625, 620.3455200195312], [923.10498046875, 607.4464111328125]]","[[1149.3729248046875, 640.8126831054688], [1122.2205810546875, 630.7197265625], [1150.802001953125, 633.6034545898438], [1125.078857421875, 636.4871215820312], [1147.94384765625, 636.4871215820312], [1110.7880859375, 666.7658081054688], [1155.0892333984375, 663.8821411132812], [1109.359130859375, 705.695556640625], [1192.2449951171875, 681.1842041015625], [1163.66357421875, 668.2076416015625], [1167.9508056640625, 666.7658081054688], [1116.50439453125, 746.067138671875], [1145.085693359375, 747.5089721679688], [1125.078857421875, 803.7407836914062], [1157.9473876953125, 809.5081787109375], [1125.078857421875, 862.8563232421875], [1137.9403076171875, 871.50732421875]]","[[639, 515], [1273, 515], [578, 713], [1336, 713], [479, 1006], [1431, 1006]]","[[514, 492], [514, 713], [1399, 713], [1399, 492]]","[1192, 363]",None,None
14679,"[[898.2811889648438, 463.69146728515625], [901.1470947265625, 456.5301208496094], [895.415283203125, 459.3946533203125], [911.177734375, 455.0978698730469], [895.415283203125, 459.3946533203125], [929.8060302734375, 469.4205017089844], [901.1470947265625, 482.31085205078125], [942.70263671875, 482.31085205078125], [891.1163940429688, 499.4980163574219], [901.1470947265625, 459.3946533203125], [875.3539428710938, 515.2529296875], [951.3003540039062, 532.4400024414062], [928.373046875, 535.3045654296875], [945.5685424804688, 582.5692138671875], [921.2083740234375, 579.7047119140625], [932.6719970703125, 621.2402954101562], [918.342529296875, 606.9176635742188]]","[[1146.554931640625, 640.0930786132812], [1122.14013671875, 632.88818359375], [1149.42724609375, 632.88818359375], [1123.5762939453125, 634.3291625976562], [1147.9912109375, 634.3291625976562], [1112.0869140625, 666.0307006835938], [1156.608154296875, 664.5897216796875], [1109.214599609375, 704.9371337890625], [1191.076171875, 681.8814697265625], [1165.22509765625, 670.3536376953125], [1170.9698486328125, 667.4716796875], [1116.3955078125, 746.7255249023438], [1146.554931640625, 749.6075439453125], [1125.012451171875, 804.36474609375], [1159.48046875, 808.6876831054688], [1125.012451171875, 862.00390625], [1139.3741455078125, 869.208740234375]]","[[639, 515], [1273, 515], [578, 713], [1336, 713], [479, 1006], [1431, 1006]]","[[514, 492], [514, 713], [1399, 713], [1399, 492]]","[1192, 405]",None,None
14680,"[[899.28955078125, 462.1977844238281], [902.1591186523438, 456.444091796875], [899.28955078125, 456.444091796875], [912.2024536132812, 455.00567626953125], [896.4199829101562, 459.3209228515625], [929.4196166992188, 469.389892578125], [902.1591186523438, 485.2125244140625], [950.9410400390625, 476.58197021484375], [892.11572265625, 503.9119873046875], [900.7243041992188, 456.444091796875], [876.3333740234375, 521.1730346679688], [952.3757934570312, 534.1188354492188], [929.4196166992188, 536.9956665039062], [946.63671875, 585.9019775390625], [922.2457275390625, 580.1482543945312], [935.1586303710938, 617.5471801757812], [916.5067138671875, 604.6013793945312]]","[[1148.468505859375, 638.912353515625], [1121.485595703125, 631.7364501953125], [1149.888671875, 633.171630859375], [1124.325927734375, 636.0420532226562], [1147.04833984375, 636.0420532226562], [1111.5445556640625, 664.7457275390625], [1155.5693359375, 664.7457275390625], [1108.7041015625, 704.930908203125], [1189.653076171875, 683.4031982421875], [1164.0902099609375, 669.05126953125], [1182.55224609375, 669.05126953125], [1115.804931640625, 749.4217529296875], [1145.6282958984375, 750.8568725585938], [1124.325927734375, 803.9588012695312], [1159.8297119140625, 809.6995239257812], [1124.325927734375, 862.8014526367188], [1139.9476318359375, 869.9773559570312]]","[[639, 515], [1273, 515], [578, 713], [1336, 713], [479, 1006], [1431, 1006]]","[[514, 492], [514, 713], [1399, 713], [1399, 492]]","[1192, 444]",None,None
14681,"[[900.6554565429688, 461.79364013671875], [903.5125122070312, 457.4783935546875], [897.7984008789062, 457.4783935546875], [912.083740234375, 454.6015930175781], [897.7984008789062, 460.3552551269531], [930.65478515625, 467.54730224609375], [900.6554565429688, 486.2466125488281], [957.7969970703125, 471.8625183105469], [893.5127563476562, 512.1380004882812], [944.9401245117188, 476.1777648925781], [877.7988891601562, 533.7141723632812], [953.5113525390625, 532.2757568359375], [929.2261962890625, 538.0294189453125], [946.3687133789062, 581.1817016601562], [924.9406127929688, 578.3048706054688], [934.9403076171875, 620.018798828125], [916.369384765625, 601.3194580078125]]","[[1147.6041259765625, 636.7658081054688], [1121.8521728515625, 632.4405517578125], [1149.0347900390625, 632.4405517578125], [1123.2828369140625, 636.7658081054688], [1147.6041259765625, 636.7658081054688], [1110.406982421875, 667.0429077148438], [1154.757568359375, 667.0429077148438], [1107.5455322265625, 703.0870971679688], [1187.6627197265625, 684.3441772460938], [1150.4654541015625, 694.4365234375], [1157.6187744140625, 688.6694946289062], [1116.129638671875, 750.6654663085938], [1144.742919921875, 750.6654663085938], [1124.713623046875, 804.0108642578125], [1160.4801025390625, 811.2196655273438], [1124.713623046875, 864.5651245117188], [1140.4508056640625, 868.8903198242188]]","[[639, 515], [1273, 515], [578, 713], [1336, 713], [479, 1006], [1431, 1006]]","[[514, 492], [514, 713], [1399, 713], [1399, 492]]","[1192, 484]",None,None
14682,"[[902.6224365234375, 461.88153076171875], [904.0473022460938, 454.7135314941406], [899.7726440429688, 459.0143127441406], [914.0213623046875, 448.9791564941406], [899.7726440429688, 459.0143127441406], [933.9692993164062, 459.0143127441406], [902.6224365234375, 486.2526550292969], [963.8914184570312, 467.61590576171875], [896.9229736328125, 514.924560546875], [956.76708984375, 470.4830627441406], [884.0992431640625, 540.7293090820312], [953.9174194335938, 530.694091796875], [928.2698364257812, 536.4285278320312], [948.2179565429688, 576.5692138671875], [926.8450927734375, 573.7020263671875], [935.3942260742188, 618.1434936523438], [933.9692993164062, 622.4442749023438]]","[[1136.383544921875, 625.496826171875], [1120.5655517578125, 632.7000732421875], [1147.887451171875, 634.1406860351562], [1122.0035400390625, 637.02197265625], [1146.449462890625, 637.02197265625], [1110.4996337890625, 668.7162475585938], [1153.639404296875, 668.7162475585938], [1109.0616455078125, 704.7323608398438], [1186.7132568359375, 688.88525390625], [1160.829345703125, 671.5975341796875], [1183.8372802734375, 677.3600463867188], [1116.2515869140625, 750.8329467773438], [1145.011474609375, 750.8329467773438], [1124.8795166015625, 807.0181274414062], [1160.829345703125, 812.7807006835938], [1124.8795166015625, 866.0846557617188], [1140.697509765625, 868.9658813476562]]","[[639, 515], [1273, 515], [578, 713], [1336, 713], [479, 1006], [1431, 1006]]","[[514, 492], [514, 713], [1399, 713], [1399, 492]]","[1192, 482]",None,None
14683,"[[902.284423828125, 460.7953796386719], [903.7222900390625, 455.04388427734375], [899.4085693359375, 456.48175048828125], [913.78759765625, 449.29241943359375], [900.8464965820312, 457.91961669921875], [932.4802856445312, 459.3575134277344], [902.284423828125, 486.67706298828125], [962.676025390625, 467.9847412109375], [896.5328979492188, 515.4345092773438], [955.486572265625, 470.8605041503906], [883.591796875, 541.3162231445312], [954.0486450195312, 531.2510986328125], [928.1665649414062, 537.0025634765625], [946.8592529296875, 578.7008666992188], [926.7286987304688, 572.9494018554688], [935.3560791015625, 617.5233764648438], [916.6633911132812, 600.2689208984375]]","[[1140.7030029296875, 643.63427734375], [1120.650146484375, 633.567626953125], [1147.86474609375, 635.0057373046875], [1122.08251953125, 636.44384765625], [1146.4324951171875, 637.8818969726562], [1110.623779296875, 668.0819702148438], [1153.5941162109375, 668.0819702148438], [1109.19140625, 705.4725341796875], [1186.5382080078125, 688.21533203125], [1160.755859375, 672.3963012695312], [1183.6734619140625, 678.148681640625], [1116.35302734375, 750.0535278320312], [1145.0001220703125, 751.49169921875], [1124.9471435546875, 806.1393432617188], [1160.755859375, 811.8917236328125], [1124.9471435546875, 865.101318359375], [1140.7030029296875, 867.9775390625]]","[[639, 515], [1273, 515], [578, 713], [1336, 713], [479, 1006], [1431, 1006]]","[[514, 492], [514, 713], [1399, 713], [1399, 492]]","[1192, 478]",None,None
