frame,top,bottom,court,net,ball,pos,type
44617,"[[1082.058837890625, 464.6665954589844], [1084.8990478515625, 461.7843322753906], [1077.798828125, 461.7843322753906], [1091.9991455078125, 463.2254638671875], [1073.538818359375, 463.2254638671875], [1099.0992431640625, 483.4010925292969], [1072.11865234375, 479.0777587890625], [1100.519287109375, 512.2234497070312], [1049.3983154296875, 486.2833251953125], [1083.47900390625, 499.25335693359375], [1070.6986083984375, 473.3132629394531], [1093.419189453125, 536.722412109375], [1077.798828125, 536.722412109375], [1086.3189697265625, 577.07373046875], [1080.638916015625, 579.9559326171875], [1087.739013671875, 628.9539184570312], [1099.0992431640625, 611.6604614257812]]","[[966.9170532226562, 641.6317749023438], [965.48828125, 640.1905517578125], [966.9170532226562, 637.3081665039062], [941.2005004882812, 634.4257202148438], [962.6309204101562, 640.1905517578125], [928.34228515625, 648.8378295898438], [951.2013549804688, 661.8086547851562], [951.2013549804688, 632.9844970703125], [948.343994140625, 690.6328735351562], [974.0604858398438, 632.9844970703125], [976.9179077148438, 707.9273071289062], [899.7684326171875, 716.5745849609375], [921.1987915039062, 723.7805786132812], [916.9127197265625, 772.7816772460938], [928.34228515625, 782.8701171875], [922.62744140625, 818.9003295898438], [918.3414306640625, 828.98876953125]]","[[658, 590], [1252, 590], [602, 754], [1313, 754], [497, 1020], [1417, 1020]]","[[537, 546], [537, 754], [1374, 754], [1374, 546]]","[982, 632]",None,None
44618,"[[1081.776123046875, 464.5072021484375], [1086.0447998046875, 460.2102966308594], [1078.9302978515625, 460.2102966308594], [1093.1593017578125, 461.642578125], [1074.66162109375, 461.642578125], [1098.8509521484375, 483.1269226074219], [1073.23876953125, 478.8300476074219], [1100.2738037109375, 511.772705078125], [1049.0494384765625, 485.99151611328125], [1083.1990966796875, 498.8821105957031], [1070.3929443359375, 475.9654846191406], [1093.1593017578125, 536.1216430664062], [1076.08447265625, 536.1216430664062], [1087.4677734375, 579.0902709960938], [1078.9302978515625, 580.5225830078125], [1088.890625, 629.2203369140625], [1098.8509521484375, 610.6005859375]]","[[966.5452270507812, 645.6241455078125], [966.5452270507812, 641.302490234375], [967.9853515625, 639.8619384765625], [943.5035400390625, 634.0996704101562], [965.1050415039062, 641.302490234375], [930.5426025390625, 648.5053100585938], [952.1442260742188, 662.910888671875], [952.1442260742188, 628.3374633789062], [949.263916015625, 690.281494140625], [973.7457275390625, 629.7780151367188], [978.0660400390625, 713.3304443359375], [898.8602905273438, 717.652099609375], [919.0217895507812, 723.4143676757812], [916.1415405273438, 772.3933715820312], [931.982666015625, 781.0367431640625], [923.3421020507812, 818.4913330078125], [919.0217895507812, 828.5751953125]]","[[658, 590], [1252, 590], [602, 754], [1313, 754], [497, 1020], [1417, 1020]]","[[537, 546], [537, 754], [1374, 754], [1374, 546]]","[982, 632]",None,None
44619,"[[1081.77001953125, 464.4004821777344], [1086.041259765625, 460.10064697265625], [1078.9224853515625, 460.10064697265625], [1093.1600341796875, 461.533935546875], [1074.6512451171875, 461.533935546875], [1098.85498046875, 483.0330505371094], [1073.2275390625, 478.7332458496094], [1100.27880859375, 511.6986083984375], [1049.0238037109375, 485.89959716796875], [1083.1937255859375, 498.7991027832031], [1070.3800048828125, 475.86669921875], [1093.1600341796875, 536.0642700195312], [1076.0750732421875, 536.0642700195312], [1087.4649658203125, 579.0626220703125], [1078.9224853515625, 580.4959106445312], [1088.8887939453125, 629.227294921875], [1098.85498046875, 610.5947265625]]","[[967.1913452148438, 645.6536254882812], [967.1913452148438, 641.3292236328125], [967.1913452148438, 641.3292236328125], [942.96533203125, 634.1218872070312], [964.3411865234375, 641.3292236328125], [930.1398315429688, 648.53662109375], [951.5157470703125, 662.9513549804688], [951.5157470703125, 628.35595703125], [950.0906372070312, 690.3394165039062], [972.8914794921875, 631.2388916015625], [978.5917358398438, 713.4030151367188], [898.78857421875, 717.7274780273438], [918.7393188476562, 723.4933471679688], [915.8892211914062, 772.5034790039062], [932.9898681640625, 782.5938720703125], [924.4395751953125, 818.6307373046875], [918.7393188476562, 828.7210693359375]]","[[658, 590], [1252, 590], [602, 754], [1313, 754], [497, 1020], [1417, 1020]]","[[537, 546], [537, 754], [1374, 754], [1374, 546]]","[982, 632]",None,None
44620,"[[1081.6837158203125, 461.83477783203125], [1085.95751953125, 458.95977783203125], [1078.8345947265625, 457.5223083496094], [1093.0804443359375, 460.3973083496094], [1074.560791015625, 460.3973083496094], [1100.2032470703125, 483.3970642089844], [1073.1363525390625, 477.6471252441406], [1101.6279296875, 510.7093200683594], [1050.343017578125, 486.2720642089844], [1084.532958984375, 497.77191162109375], [1071.7117919921875, 471.8971862792969], [1093.0804443359375, 536.5840454101562], [1077.4100341796875, 535.1465454101562], [1087.382080078125, 579.7086181640625], [1077.4100341796875, 579.7086181640625], [1088.806640625, 628.5831298828125], [1097.3541259765625, 609.8958129882812]]","[[967.1250610351562, 647.6832275390625], [967.1250610351562, 641.9451293945312], [967.1250610351562, 641.9451293945312], [945.6720581054688, 633.3379516601562], [965.6948852539062, 641.9451293945312], [931.3701171875, 649.1177978515625], [951.3928833007812, 664.8976440429688], [934.2305297851562, 677.8084106445312], [951.3928833007812, 692.1537475585938], [972.8458862304688, 713.6717529296875], [978.5665893554688, 716.5408325195312], [899.9058227539062, 715.1062622070312], [918.4983520507812, 722.2789306640625], [915.637939453125, 773.922119140625], [934.2305297851562, 778.2257080078125], [924.2191162109375, 815.5235595703125], [921.3587646484375, 826.999755859375]]","[[658, 590], [1252, 590], [602, 754], [1313, 754], [497, 1020], [1417, 1020]]","[[537, 546], [537, 754], [1374, 754], [1374, 546]]","[984, 635]",None,None
44621,"[[1082.4962158203125, 461.76715087890625], [1086.77587890625, 457.4502258300781], [1079.6431884765625, 457.4502258300781], [1092.4820556640625, 458.88922119140625], [1075.363525390625, 458.88922119140625], [1099.6148681640625, 481.9127197265625], [1073.93701171875, 477.5957946777344], [1102.4678955078125, 509.2530822753906], [1049.685791015625, 486.2296447753906], [1085.349365234375, 497.74139404296875], [1072.510498046875, 473.2789001464844], [1093.90869140625, 536.593505859375], [1076.7901611328125, 535.154541015625], [1088.2025146484375, 578.3236083984375], [1076.7901611328125, 578.3236083984375], [1089.6290283203125, 628.6875], [1096.76171875, 608.5419311523438]]","[[966.8621826171875, 650.868408203125], [968.2984008789062, 645.1322631835938], [968.2984008789062, 645.1322631835938], [946.755615234375, 636.528076171875], [965.426025390625, 645.1322631835938], [930.9576416015625, 649.434326171875], [953.9365844726562, 666.6426391601562], [936.7023315429688, 680.9829711914062], [953.9365844726562, 695.3232421875], [938.1384887695312, 744.0802001953125], [976.91552734375, 721.1357421875], [899.361572265625, 715.3995971679688], [920.904296875, 722.5697631835938], [915.1595458984375, 772.7607421875], [935.26611328125, 775.6288452148438], [922.3405151367188, 820.0836791992188], [926.6490478515625, 817.215576171875]]","[[658, 590], [1252, 590], [602, 754], [1313, 754], [497, 1020], [1417, 1020]]","[[537, 546], [537, 754], [1374, 754], [1374, 546]]","[984, 641]",None,None
44622,"[[1083.923095703125, 460.392822265625], [1088.2222900390625, 456.07415771484375], [1081.0570068359375, 456.07415771484375], [1093.95458984375, 458.9532775878906], [1075.3245849609375, 458.9532775878906], [1101.1199951171875, 480.54656982421875], [1073.8916015625, 474.788330078125], [1102.5531005859375, 509.3376159667969], [1050.96240234375, 486.3047790527344], [1085.356201171875, 496.38165283203125], [1072.45849609375, 473.3487854003906], [1093.95458984375, 536.6891479492188], [1078.1907958984375, 535.2495727539062], [1088.2222900390625, 578.4362182617188], [1072.45849609375, 574.1174926757812], [1089.6553955078125, 628.820556640625], [1096.82080078125, 607.2272338867188]]","[[966.6632080078125, 652.6724243164062], [968.0925903320312, 646.9347534179688], [969.5220336914062, 646.9347534179688], [948.0803833007812, 636.8939208984375], [968.0925903320312, 645.5003662109375], [930.927001953125, 649.8035888671875], [955.2276611328125, 668.4508666992188], [918.06201171875, 645.5003662109375], [955.2276611328125, 697.1390380859375], [938.07421875, 741.6056518554688], [976.6693725585938, 728.6959228515625], [899.4791870117188, 715.7863159179688], [922.350341796875, 724.3927612304688], [913.7736206054688, 773.16259765625], [936.644775390625, 774.596923828125], [922.350341796875, 817.629150390625], [928.068115234375, 816.1947631835938]]","[[658, 590], [1252, 590], [602, 754], [1313, 754], [497, 1020], [1417, 1020]]","[[537, 546], [537, 754], [1374, 754], [1374, 546]]","[984, 649]",None,None
44623,"[[1085.3995361328125, 458.039794921875], [1088.240966796875, 455.1678771972656], [1081.137451171875, 455.1678771972656], [1093.923828125, 456.6038513183594], [1076.8753662109375, 458.039794921875], [1101.0274658203125, 479.5791320800781], [1074.033935546875, 475.2712707519531], [1103.868896484375, 509.7342224121094], [1051.3023681640625, 488.19488525390625], [1083.9788818359375, 495.3746643066406], [1051.3023681640625, 488.19488525390625], [1095.3446044921875, 537.0173950195312], [1078.2960205078125, 534.1455078125], [1088.240966796875, 578.66015625], [1071.1923828125, 575.7882080078125], [1089.6617431640625, 628.9185791015625], [1096.765380859375, 607.3792724609375]]","[[968.1077270507812, 652.0956420898438], [969.5316162109375, 646.3585205078125], [969.5316162109375, 646.3585205078125], [948.17333984375, 634.8843994140625], [968.1077270507812, 643.489990234375], [929.662841796875, 646.3585205078125], [955.2927856445312, 669.306884765625], [904.032958984375, 646.3585205078125], [958.1405639648438, 702.2951049804688], [941.053955078125, 741.0205078125], [975.2271728515625, 735.283447265625], [901.1852416992188, 715.20361328125], [925.3911743164062, 723.8092041015625], [914.0001831054688, 774.0087890625], [936.7822875976562, 776.8773193359375], [922.5433959960938, 815.6026611328125], [929.662841796875, 812.7340698242188]]","[[658, 590], [1252, 590], [602, 754], [1313, 754], [497, 1020], [1417, 1020]]","[[537, 546], [537, 754], [1374, 754], [1374, 546]]","[984, 658]",None,None
44624,"[[1086.5565185546875, 457.46832275390625], [1089.4359130859375, 453.1446533203125], [1082.2373046875, 453.1446533203125], [1095.1947021484375, 456.027099609375], [1077.918212890625, 456.027099609375], [1102.393310546875, 479.0866394042969], [1075.038818359375, 474.76300048828125], [1103.8328857421875, 507.9110412597656], [1050.5638427734375, 490.6164245605469], [1082.2373046875, 492.0576477050781], [1050.5638427734375, 490.6164245605469], [1096.6343994140625, 535.2943115234375], [1079.35791015625, 533.8530883789062], [1087.9962158203125, 577.0897216796875], [1070.7197265625, 575.6484985351562], [1089.4359130859375, 627.532470703125], [1096.6343994140625, 607.3553466796875]]","[[969.0807495117188, 647.8701171875], [950.41796875, 623.4940185546875], [970.5162963867188, 643.5684814453125], [947.5467529296875, 630.6634521484375], [966.2095336914062, 643.5684814453125], [927.4484252929688, 639.266845703125], [961.9027709960938, 673.6801147460938], [895.8652954101562, 647.8701171875], [959.0315551757812, 706.6596069335938], [913.0924682617188, 640.70068359375], [971.951904296875, 736.7713012695312], [904.4788818359375, 718.1307373046875], [930.3195190429688, 728.1679077148438], [913.0924682617188, 775.4862670898438], [937.4976196289062, 776.920166015625], [923.1416015625, 818.5029907226562], [928.884033203125, 812.7673950195312]]","[[658, 590], [1252, 590], [602, 754], [1313, 754], [497, 1020], [1417, 1020]]","[[537, 546], [537, 754], [1374, 754], [1374, 546]]","[984, 673]",None,None
44625,"[[1085.69140625, 456.2121887207031], [1089.9344482421875, 453.3325500488281], [1082.86279296875, 453.3325500488281], [1095.591796875, 456.2121887207031], [1078.6197509765625, 456.2121887207031], [1102.66357421875, 479.2488708496094], [1075.7911376953125, 474.92950439453125], [1104.077880859375, 508.04473876953125], [1050.3328857421875, 490.7672424316406], [1082.86279296875, 492.2070007324219], [1050.3328857421875, 490.7672424316406], [1095.591796875, 535.4008178710938], [1080.0340576171875, 533.9609985351562], [1088.5201416015625, 577.1548461914062], [1070.1337890625, 574.2752075195312], [1088.5201416015625, 627.547607421875], [1097.0062255859375, 607.3905029296875]]","[[969.2296752929688, 647.9120483398438], [952.1881713867188, 623.4955444335938], [969.2296752929688, 643.6032104492188], [947.9278564453125, 630.6768188476562], [966.389404296875, 643.6032104492188], [926.6260986328125, 639.29443359375], [960.7089233398438, 673.7647705078125], [895.3834228515625, 647.9120483398438], [957.86865234375, 706.798828125], [909.5845947265625, 640.730712890625], [972.0698852539062, 736.9603271484375], [903.9041137695312, 718.2889404296875], [930.8864135742188, 726.906494140625], [913.844970703125, 775.7394409179688], [937.9869995117188, 775.7394409179688], [923.7857666015625, 818.827392578125], [929.4662475585938, 813.082275390625]]","[[658, 590], [1252, 590], [602, 754], [1313, 754], [497, 1020], [1417, 1020]]","[[537, 546], [537, 754], [1374, 754], [1374, 546]]","[984, 675]",None,None
44626,"[[1086.018798828125, 457.238037109375], [1090.3013916015625, 454.3674011230469], [1083.1636962890625, 454.3674011230469], [1097.4390869140625, 457.238037109375], [1078.881103515625, 457.238037109375], [1103.149169921875, 480.2031555175781], [1076.026123046875, 474.46185302734375], [1106.0042724609375, 510.3448791503906], [1060.3231201171875, 488.8150939941406], [1084.5911865234375, 495.99163818359375], [1053.185546875, 490.2503967285156], [1096.011474609375, 536.1806030273438], [1080.30859375, 533.3099975585938], [1087.4464111328125, 576.3695678710938], [1070.31591796875, 574.9342041015625], [1088.8739013671875, 628.041015625], [1096.011474609375, 607.946533203125]]","[[967.2891845703125, 642.6127319335938], [958.6570434570312, 626.766845703125], [967.2891845703125, 641.1721801757812], [945.7089233398438, 629.6478881835938], [964.4118041992188, 638.2911376953125], [924.1284790039062, 639.731689453125], [960.0958251953125, 667.1018676757812], [892.477294921875, 649.8154296875], [958.6570434570312, 704.555908203125], [903.98681640625, 641.1721801757812], [971.6053466796875, 731.9260864257812], [906.8641967773438, 717.5206909179688], [934.1994018554688, 724.723388671875], [914.0577392578125, 775.1422119140625], [937.0767822265625, 775.1422119140625], [922.6898803710938, 818.3583984375], [929.8832397460938, 812.5962524414062]]","[[658, 590], [1252, 590], [602, 754], [1313, 754], [497, 1020], [1417, 1020]]","[[537, 546], [537, 754], [1374, 754], [1374, 546]]","[984, 684]",None,None
