frame,top,bottom,court,net,ball,pos,type
50995,"[[823.0160522460938, 481.34295654296875], [825.8670654296875, 477.04486083984375], [820.1649780273438, 477.04486083984375], [832.9945678710938, 478.4775695800781], [813.0374755859375, 477.04486083984375], [838.6965942382812, 497.1025390625], [808.7609252929688, 492.8044738769531], [851.526123046875, 524.3236694335938], [794.5059204101562, 514.2947998046875], [827.2926025390625, 517.1602172851562], [793.0804443359375, 504.2659912109375], [840.1220703125, 548.6793823242188], [818.7394409179688, 548.6793823242188], [832.9945678710938, 587.362060546875], [825.8670654296875, 590.2274169921875], [828.7180786132812, 626.044677734375], [837.2711181640625, 613.1504516601562]]","[[964.6370239257812, 649.3961181640625], [968.9447631835938, 645.0857543945312], [960.3292236328125, 645.0857543945312], [951.7136840820312, 649.3961181640625], [974.6884155273438, 647.9593505859375], [947.406005859375, 679.5686645507812], [989.0477294921875, 670.9479370117188], [915.8156127929688, 685.3157958984375], [996.227294921875, 669.5111694335938], [907.2001342773438, 672.384765625], [907.2001342773438, 672.384765625], [978.9962158203125, 752.8447875976562], [1004.8427734375, 748.534423828125], [989.0477294921875, 810.3162841796875], [981.8680419921875, 783.017333984375], [1009.1505737304688, 864.9142456054688], [989.0477294921875, 834.74169921875]]","[[678, 570], [1237, 570], [618, 739], [1309, 739], [498, 1014], [1418, 1014]]","[[554, 532], [554, 739], [1372, 739], [1372, 532]]","[864, 581]",bottom,short service
50996,"[[823.3289184570312, 482.9712219238281], [827.6314697265625, 478.658935546875], [820.4606323242188, 478.658935546875], [833.3681030273438, 480.0963439941406], [814.723876953125, 480.0963439941406], [843.4072875976562, 498.7829284667969], [808.9872436523438, 497.3454895019531], [856.3148193359375, 526.0940551757812], [794.6455078125, 514.5946044921875], [831.9338989257812, 521.7817993164062], [806.118896484375, 531.84375], [840.5390014648438, 551.9677124023438], [817.5922241210938, 551.9677124023438], [836.2364501953125, 587.9034423828125], [824.7630615234375, 592.2156982421875], [826.197265625, 626.7139282226562], [834.8023071289062, 618.08935546875]]","[[965.3421020507812, 648.1736450195312], [968.21630859375, 643.849365234375], [959.5936279296875, 643.849365234375], [950.9710693359375, 649.614990234375], [973.9647216796875, 648.1736450195312], [948.0968627929688, 678.4432983398438], [989.7728881835938, 669.7948608398438], [913.6063232421875, 684.208984375], [995.5213623046875, 671.2362670898438], [906.4207763671875, 669.7948608398438], [907.8578491210938, 672.6776123046875], [978.2760620117188, 751.9553833007812], [1002.7068481445312, 747.6312255859375], [986.898681640625, 808.1705932617188], [979.713134765625, 782.22509765625], [1008.455322265625, 864.3857421875], [988.3358154296875, 834.1160278320312]]","[[678, 570], [1237, 570], [618, 739], [1309, 739], [498, 1014], [1418, 1014]]","[[554, 532], [554, 739], [1372, 739], [1372, 532]]","[855, 559]",None,None
50997,"[[826.4893188476562, 481.33880615234375], [829.347412109375, 478.4596862792969], [822.2020874023438, 478.4596862792969], [835.0637817382812, 481.33880615234375], [816.48583984375, 479.8992614746094], [843.63818359375, 500.05322265625], [809.3404541015625, 498.6136169433594], [857.9288940429688, 525.9653930664062], [796.4788818359375, 521.646728515625], [840.780029296875, 525.9653930664062], [799.3369750976562, 538.9215698242188], [839.3510131835938, 556.1963500976562], [817.9149169921875, 557.6359252929688], [836.4927978515625, 589.306396484375], [825.060302734375, 596.5042114257812], [825.060302734375, 628.1746826171875], [832.2056274414062, 612.3394775390625]]","[[962.2889404296875, 647.5362548828125], [966.5645751953125, 641.7696533203125], [956.5880737304688, 641.7696533203125], [950.88720703125, 647.5362548828125], [972.265380859375, 646.0946044921875], [948.036865234375, 676.3692626953125], [989.3679809570312, 669.1610107421875], [912.406494140625, 685.0191040039062], [997.9192504882812, 676.3692626953125], [906.7056274414062, 670.6026611328125], [906.7056274414062, 669.1610107421875], [976.5410766601562, 751.3349609375], [1000.7697143554688, 747.0100708007812], [985.0923461914062, 807.5592651367188], [979.3914794921875, 783.05126953125], [1007.895751953125, 863.7835083007812], [990.793212890625, 832.0672607421875]]","[[678, 570], [1237, 570], [618, 739], [1309, 739], [498, 1014], [1418, 1014]]","[[554, 532], [554, 739], [1372, 739], [1372, 532]]","[847, 542]",None,None
50998,"[[828.8071899414062, 482.52056884765625], [831.6663208007812, 476.7811279296875], [824.5184936523438, 476.7811279296875], [837.3845825195312, 479.6508483886719], [818.80029296875, 479.6508483886719], [845.9619750976562, 499.7388916015625], [810.2229614257812, 502.6086120605469], [860.2576293945312, 524.1314697265625], [798.786376953125, 529.8709106445312], [845.9619750976562, 528.43603515625], [808.7932739257812, 558.568115234375], [841.67333984375, 555.6983642578125], [818.80029296875, 555.6983642578125], [835.9550170898438, 591.56982421875], [824.5184936523438, 598.744140625], [824.5184936523438, 630.3109741210938], [833.095947265625, 617.3972778320312]]","[[959.9225463867188, 645.6707153320312], [964.2383422851562, 639.9052124023438], [954.1681518554688, 641.3465576171875], [949.852294921875, 645.6707153320312], [971.4313354492188, 644.2293701171875], [945.5364990234375, 674.4983520507812], [988.6946411132812, 667.2914428710938], [911.0098876953125, 687.4707641601562], [998.764892578125, 683.1466064453125], [905.2554931640625, 673.0569458007812], [905.2554931640625, 673.0569458007812], [974.3086547851562, 749.4501342773438], [998.764892578125, 745.1259765625], [980.0630493164062, 808.5466918945312], [977.1858520507812, 779.7191162109375], [1003.0806884765625, 860.4364013671875], [988.6946411132812, 807.1053466796875]]","[[678, 570], [1237, 570], [618, 739], [1309, 739], [498, 1014], [1418, 1014]]","[[554, 532], [554, 739], [1372, 739], [1372, 532]]","[841, 532]",None,None
50999,"[[828.805908203125, 482.5029296875], [831.6651000976562, 476.7627868652344], [824.51708984375, 476.7627868652344], [837.383544921875, 479.63287353515625], [818.7986450195312, 479.63287353515625], [845.9612426757812, 499.72332763671875], [810.2210083007812, 502.5933837890625], [860.25732421875, 524.118896484375], [798.7841186523438, 529.8590698242188], [845.9612426757812, 528.4240112304688], [808.7913818359375, 558.5597534179688], [841.67236328125, 555.6896362304688], [818.7986450195312, 555.6896362304688], [835.9539794921875, 591.5654907226562], [824.51708984375, 598.7406616210938], [824.51708984375, 630.3114013671875], [833.0947265625, 617.3961181640625]]","[[959.8867797851562, 645.6512451171875], [964.2013549804688, 639.8892211914062], [954.1338500976562, 641.3297119140625], [949.8192749023438, 645.6512451171875], [971.3923950195312, 644.210693359375], [945.5045776367188, 674.461181640625], [988.65087890625, 667.2586669921875], [910.987548828125, 687.4255981445312], [998.7183837890625, 683.1041259765625], [905.2347412109375, 673.0206298828125], [905.2347412109375, 673.0206298828125], [974.268798828125, 749.3670043945312], [998.7183837890625, 745.0454711914062], [980.0216674804688, 808.4273071289062], [977.1452026367188, 779.6173706054688], [1003.0330200195312, 860.2852172851562], [988.65087890625, 808.4273071289062]]","[[678, 570], [1237, 570], [618, 739], [1309, 739], [498, 1014], [1418, 1014]]","[[554, 532], [554, 739], [1372, 739], [1372, 532]]","[836, 522]",None,None
51000,"[[830.0450439453125, 480.0789794921875], [832.9056396484375, 477.21551513671875], [827.1845092773438, 477.21551513671875], [838.6267700195312, 480.0789794921875], [820.0330810546875, 480.0789794921875], [848.6387329101562, 498.6917419433594], [811.4513549804688, 502.9869689941406], [864.371826171875, 524.4631958007812], [801.4393920898438, 528.7584228515625], [850.0689697265625, 524.4631958007812], [802.8696899414062, 545.939453125], [841.4873046875, 557.3934326171875], [817.1724853515625, 558.8251342773438], [838.6267700195312, 593.1871337890625], [817.1724853515625, 596.0505981445312], [825.7542114257812, 630.41259765625], [824.3239135742188, 613.2316284179688]]","[[959.9243774414062, 644.0054931640625], [964.1986083984375, 639.701904296875], [955.650146484375, 639.701904296875], [948.5263671875, 644.0054931640625], [971.3223266601562, 641.1364135742188], [945.6769409179688, 672.6962890625], [988.4193115234375, 665.5236206054688], [907.2086181640625, 692.7798461914062], [998.392578125, 692.7798461914062], [904.359130859375, 676.9998779296875], [904.359130859375, 678.4344482421875], [974.171875, 748.7269287109375], [996.9678344726562, 740.11962890625], [968.4728393554688, 803.2393798828125], [982.7203979492188, 783.1558227539062], [996.9678344726562, 854.8828125], [989.8441162109375, 817.5847778320312]]","[[678, 570], [1237, 570], [618, 739], [1309, 739], [498, 1014], [1418, 1014]]","[[554, 532], [554, 739], [1372, 739], [1372, 532]]","[830, 513]",None,None
51001,"[[831.7720947265625, 481.19342041015625], [834.620361328125, 476.8905944824219], [827.4996337890625, 476.8905944824219], [840.3170166015625, 478.3248596191406], [821.802978515625, 479.7591552734375], [850.2861328125, 498.40484619140625], [814.68212890625, 501.2734069824219], [867.3760375976562, 521.3533935546875], [804.7130126953125, 528.5247802734375], [853.1344604492188, 524.2219848632812], [806.13720703125, 545.7362060546875], [843.1653442382812, 557.21044921875], [817.530517578125, 558.644775390625], [838.8928833007812, 595.9361572265625], [816.1063232421875, 595.9361572265625], [824.6512451171875, 630.3590087890625], [821.802978515625, 614.5818481445312]]","[[959.8456420898438, 642.4725341796875], [962.70068359375, 638.1637573242188], [955.5631103515625, 639.5999755859375], [948.4256591796875, 642.4725341796875], [969.838134765625, 641.0361938476562], [942.7156372070312, 671.1976928710938], [986.9681396484375, 665.45263671875], [908.4556884765625, 697.0503540039062], [998.3880615234375, 699.9228515625], [904.1732177734375, 689.8690795898438], [904.1732177734375, 689.8690795898438], [969.838134765625, 747.3193969726562], [994.1055908203125, 743.0106201171875], [959.8456420898438, 803.3335571289062], [982.6856689453125, 786.0984497070312], [986.9681396484375, 846.4213256835938], [991.2506103515625, 834.9312133789062]]","[[678, 570], [1237, 570], [618, 739], [1309, 739], [498, 1014], [1418, 1014]]","[[554, 532], [554, 739], [1372, 739], [1372, 532]]","[825, 504]",None,None
51002,"[[831.7642211914062, 480.51025390625], [836.023681640625, 477.636962890625], [828.924560546875, 477.636962890625], [841.7030029296875, 479.0736083984375], [823.245361328125, 480.51025390625], [851.6417236328125, 497.75], [816.146240234375, 502.0599365234375], [872.9390869140625, 519.2996215820312], [806.20751953125, 529.356201171875], [855.9011840820312, 525.0462646484375], [804.7876586914062, 542.2860107421875], [844.5426025390625, 556.6524047851562], [821.8255615234375, 558.0890502929688], [841.7030029296875, 596.8784790039062], [817.5661010742188, 589.6952514648438], [826.0850219726562, 629.9213256835938], [823.245361328125, 629.9213256835938]]","[[959.30029296875, 642.1049194335938], [962.1627197265625, 636.3392944335938], [955.0065307617188, 636.3392944335938], [944.9879150390625, 640.6635131835938], [967.8876953125, 640.6635131835938], [939.2630004882812, 670.933349609375], [983.63134765625, 663.7261962890625], [907.7757568359375, 704.0859375], [997.9436645507812, 691.1132202148438], [906.3445434570312, 699.76171875], [997.9436645507812, 715.6173706054688], [966.4564819335938, 744.4456787109375], [992.21875, 741.5628662109375], [950.712890625, 800.6611328125], [980.768798828125, 783.364013671875], [975.0438842773438, 842.4622802734375], [990.7875366210938, 836.696533203125]]","[[678, 570], [1237, 570], [618, 739], [1309, 739], [498, 1014], [1418, 1014]]","[[554, 532], [554, 739], [1372, 739], [1372, 532]]","[821, 497]",None,None
51003,"[[831.4083862304688, 480.0615539550781], [835.6672973632812, 475.7509765625], [828.5691528320312, 475.7509765625], [842.765380859375, 477.1878356933594], [822.8906860351562, 478.62469482421875], [854.1223754882812, 495.8670349121094], [818.6318359375, 500.1776123046875], [876.8362426757812, 515.983154296875], [808.6944580078125, 526.0411987304688], [871.1577758789062, 510.2356872558594], [811.53369140625, 540.4097900390625], [845.6046142578125, 556.2152709960938], [822.8906860351562, 556.2152709960938], [842.765380859375, 597.8843383789062], [821.4710693359375, 597.8843383789062], [825.7299194335938, 629.495361328125], [815.7926635742188, 613.6898803710938]]","[[956.627197265625, 640.8067626953125], [960.8988037109375, 635.06591796875], [952.3556518554688, 636.5010986328125], [943.8124389648438, 640.8067626953125], [965.17041015625, 639.3715209960938], [939.5408935546875, 669.5107421875], [982.2567138671875, 665.205078125], [921.0307006835938, 693.9091186523438], [997.9191284179688, 693.9091186523438], [906.7921142578125, 709.6962890625], [999.3429565429688, 721.1778564453125], [962.3226318359375, 745.5762329101562], [989.3759765625, 741.2706909179688], [943.8124389648438, 798.6786499023438], [980.8328247070312, 782.8914184570312], [962.3226318359375, 844.60498046875], [989.3759765625, 837.4290161132812]]","[[678, 570], [1237, 570], [618, 739], [1309, 739], [498, 1014], [1418, 1014]]","[[554, 532], [554, 739], [1372, 739], [1372, 532]]","[817, 491]",None,None
51004,"[[837.09814453125, 474.58990478515625], [839.9541625976562, 470.2684326171875], [832.8140869140625, 470.2684326171875], [845.6663208007812, 473.1494140625], [825.6740112304688, 474.58990478515625], [855.6624145507812, 491.87591552734375], [819.9619750976562, 499.07843017578125], [871.3705444335938, 503.3999328613281], [812.8218994140625, 525.0074462890625], [872.798583984375, 501.9594421386719], [815.6779174804688, 542.29345703125], [847.0942993164062, 552.3770141601562], [824.2460327148438, 552.3770141601562], [844.23828125, 597.032470703125], [825.6740112304688, 597.032470703125], [825.6740112304688, 628.7235107421875], [814.2499389648438, 618.6400146484375]]","[[954.612548828125, 641.17822265625], [957.4722290039062, 635.439453125], [950.3229370117188, 635.439453125], [941.7437133789062, 642.6129150390625], [963.191650390625, 639.7435302734375], [937.4541015625, 671.3068237304688], [980.35009765625, 665.5680541992188], [921.7255859375, 698.5660400390625], [997.5084228515625, 700.000732421875], [907.4269409179688, 718.6517333984375], [998.9382934570312, 728.6946411132812], [958.9021606445312, 743.0415649414062], [987.4993896484375, 741.6068725585938], [940.3137817382812, 798.9946899414062], [980.35009765625, 783.2130126953125], [948.8930053710938, 860.6865234375], [990.359130859375, 836.2966918945312]]","[[678, 570], [1237, 570], [618, 739], [1309, 739], [498, 1014], [1418, 1014]]","[[554, 532], [554, 739], [1372, 739], [1372, 532]]","[814, 485]",None,None
