frame,top,bottom,court,net,ball,pos,type
111584,"[[1082.1849365234375, 377.0875549316406], [1085.031494140625, 371.3380126953125], [1077.9150390625, 371.3380126953125], [1092.1478271484375, 371.3380126953125], [1073.645263671875, 371.3380126953125], [1107.803955078125, 390.02410888671875], [1066.5289306640625, 385.7119445800781], [1130.5762939453125, 411.5851135253906], [1049.4495849609375, 404.3981018066406], [1110.650390625, 408.7103271484375], [1039.486572265625, 427.3964538574219], [1103.5340576171875, 441.7704162597656], [1083.608154296875, 441.7704162597656], [1096.4176025390625, 486.3297424316406], [1086.4547119140625, 483.4549255371094], [1099.2642822265625, 539.5133666992188], [1093.5711669921875, 517.9524536132812]]","[[923.9320678710938, 549.2252197265625], [908.1651611328125, 544.9141845703125], [975.5328369140625, 592.3355102539062], [909.5985717773438, 546.3511962890625], [933.965576171875, 543.4771728515625], [896.6983642578125, 582.2764282226562], [954.032470703125, 566.4692993164062], [888.0982055664062, 611.0166015625], [985.56640625, 572.2174072265625], [890.96484375, 613.890625], [972.6661987304688, 592.3355102539062], [916.7652587890625, 668.4970092773438], [951.1658325195312, 665.6229858398438], [908.1651611328125, 725.9773559570312], [945.4324340820312, 720.2293701171875], [912.4652099609375, 787.768798828125], [938.265625, 777.709716796875]]","[[678, 458], [1240, 458], [619, 662], [1306, 662], [517, 997], [1402, 997]]","[[554, 465], [554, 662], [1368, 662], [1368, 465]]","[957, 398]",None,None
111585,"[[1081.74560546875, 377.8037414550781], [1084.5875244140625, 373.4835205078125], [1077.482666015625, 373.4835205078125], [1091.6925048828125, 373.4835205078125], [1073.2196044921875, 373.4835205078125], [1108.7442626953125, 392.2045593261719], [1067.5357666015625, 386.4442138671875], [1131.47998046875, 413.8057556152344], [1047.641845703125, 408.04541015625], [1110.165283203125, 409.48553466796875], [1039.1160888671875, 428.20660400390625], [1104.4813232421875, 441.16729736328125], [1084.5875244140625, 441.16729736328125], [1097.3763427734375, 485.8098449707031], [1086.0084228515625, 482.9296875], [1098.79736328125, 540.532958984375], [1093.1134033203125, 517.4916381835938]]","[[924.1746215820312, 550.6069946289062], [908.427734375, 544.83984375], [974.2785034179688, 592.4188842773438], [909.8593139648438, 546.2816772460938], [934.1954345703125, 543.3980712890625], [896.9754638671875, 582.3263549804688], [954.2369384765625, 566.4666748046875], [888.38623046875, 611.162109375], [985.7307739257812, 573.6755981445312], [891.249267578125, 614.0457153320312], [972.8469848632812, 592.4188842773438], [917.0169677734375, 668.833740234375], [951.3739013671875, 665.9501342773438], [908.427734375, 726.5052490234375], [945.647705078125, 720.7380981445312], [911.2908935546875, 787.0604248046875], [937.0584716796875, 781.2932739257812]]","[[678, 458], [1240, 458], [619, 662], [1306, 662], [517, 997], [1402, 997]]","[[554, 465], [554, 662], [1368, 662], [1368, 465]]","[957, 397]",None,None
111586,"[[1082.19677734375, 378.95562744140625], [1085.0439453125, 374.63104248046875], [1077.9259033203125, 374.63104248046875], [1092.1619873046875, 374.63104248046875], [1073.6551513671875, 374.63104248046875], [1107.8216552734375, 393.3708801269531], [1066.537109375, 387.6047668457031], [1130.599365234375, 413.5522155761719], [1046.606689453125, 409.2276306152344], [1110.6689453125, 409.2276306152344], [1039.48876953125, 427.96746826171875], [1103.5509033203125, 442.3826904296875], [1083.620361328125, 442.3826904296875], [1096.432861328125, 485.6285095214844], [1085.0439453125, 481.3038635253906], [1099.280029296875, 540.4064331054688], [1092.1619873046875, 517.342041015625]]","[[907.6649169921875, 548.6380004882812], [909.1029663085938, 545.7584228515625], [973.814208984375, 593.2708129882812], [910.5409545898438, 547.1981811523438], [934.9874267578125, 544.3186645507812], [897.5987548828125, 581.7526245117188], [953.681884765625, 565.9152221679688], [888.9705810546875, 610.5480346679688], [985.3184814453125, 573.1140747070312], [894.72265625, 614.8673706054688], [973.814208984375, 593.2708129882812], [916.2930908203125, 668.1387939453125], [950.8058471679688, 666.6990356445312], [907.6649169921875, 727.1693725585938], [946.49169921875, 721.4102783203125], [910.5409545898438, 784.7601928710938], [937.863525390625, 780.4408569335938]]","[[678, 458], [1240, 458], [619, 662], [1306, 662], [517, 997], [1402, 997]]","[[554, 465], [554, 662], [1368, 662], [1368, 465]]","[957, 396]",None,None
111587,"[[1080.9344482421875, 379.0650634765625], [1083.8017578125, 374.7683410644531], [1078.0670166015625, 374.7683410644531], [1090.97021484375, 374.7683410644531], [1073.765869140625, 374.7683410644531], [1106.7408447265625, 393.3874816894531], [1066.597412109375, 387.65850830078125], [1131.1136474609375, 416.30328369140625], [1050.8267822265625, 406.2776184082031], [1109.6082763671875, 410.5743408203125], [1039.357177734375, 427.76123046875], [1103.87353515625, 443.5158386230469], [1083.8017578125, 442.0836181640625], [1096.705078125, 487.915283203125], [1085.2354736328125, 483.6185607910156], [1099.5723876953125, 539.4758911132812], [1090.97021484375, 515.1278686523438]]","[[908.1961059570312, 548.6719360351562], [908.1961059570312, 545.7925415039062], [974.4492797851562, 591.8630981445312], [909.6363525390625, 547.2322387695312], [935.5615844726562, 544.3528442382812], [898.1140747070312, 581.78515625], [954.2853393554688, 567.3881225585938], [889.4723510742188, 610.5792846679688], [985.9716796875, 573.14697265625], [892.3529052734375, 613.4586791992188], [974.4492797851562, 591.8630981445312], [916.8378295898438, 669.6071166992188], [951.40478515625, 665.2880249023438], [908.1961059570312, 725.755615234375], [945.6436157226562, 721.4364624023438], [912.5169677734375, 787.662841796875], [937.0018920898438, 780.46435546875]]","[[678, 458], [1240, 458], [619, 662], [1306, 662], [517, 997], [1402, 997]]","[[554, 465], [554, 662], [1368, 662], [1368, 465]]","[958, 395]",None,None
111588,"[[1079.6611328125, 379.4698486328125], [1083.9393310546875, 375.14825439453125], [1076.8089599609375, 375.14825439453125], [1091.06982421875, 375.14825439453125], [1072.5306396484375, 373.707763671875], [1106.756591796875, 392.4346008300781], [1066.826416015625, 386.6725158691406], [1131.0, 415.4830627441406], [1048.287353515625, 408.2803955078125], [1109.6087646484375, 411.1614685058594], [1038.3048095703125, 429.8883361816406], [1103.9044189453125, 442.85308837890625], [1083.9393310546875, 441.41259765625], [1096.7740478515625, 486.0689697265625], [1085.365478515625, 483.1878967285156], [1099.626220703125, 539.3685302734375], [1091.06982421875, 516.320068359375]]","[[907.0620727539062, 548.5487670898438], [908.4949951171875, 545.669677734375], [974.40673828125, 593.1743774414062], [909.9277954101562, 547.1092529296875], [935.7194213867188, 544.2301635742188], [898.46484375, 581.6581420898438], [955.779541015625, 567.2627563476562], [888.434814453125, 610.4488525390625], [985.8697509765625, 573.0208740234375], [895.5991821289062, 614.7674560546875], [974.40673828125, 593.1743774414062], [917.0921020507812, 668.0303344726562], [951.4808959960938, 666.5908203125], [908.4949951171875, 727.0513305664062], [945.7494506835938, 721.293212890625], [911.3606567382812, 784.6328125], [937.1522827148438, 780.314208984375]]","[[678, 458], [1240, 458], [619, 662], [1306, 662], [517, 997], [1402, 997]]","[[554, 465], [554, 662], [1368, 662], [1368, 465]]","[958, 394]",None,None
111589,"[[1079.4066162109375, 379.2985534667969], [1083.69482421875, 374.9791564941406], [1076.5478515625, 374.9791564941406], [1090.8419189453125, 374.9791564941406], [1072.259521484375, 373.5393371582031], [1106.5654296875, 392.2568054199219], [1066.5418701171875, 386.4975891113281], [1130.865478515625, 415.293701171875], [1049.3890380859375, 408.09466552734375], [1110.853759765625, 410.9742736816406], [1037.95361328125, 429.6917724609375], [1103.7066650390625, 444.08984375], [1083.69482421875, 441.210205078125], [1096.5595703125, 487.2840270996094], [1085.124267578125, 482.9645690917969], [1099.4183349609375, 540.5568237304688], [1090.8419189453125, 516.0801391601562]]","[[907.47265625, 548.6179809570312], [908.9022216796875, 545.745849609375], [973.2342529296875, 593.13525390625], [910.3318481445312, 547.1819458007812], [934.635009765625, 544.309814453125], [898.89501953125, 581.6469116210938], [954.6494750976562, 565.8504638671875], [888.8878173828125, 611.8037719726562], [986.1007080078125, 573.0306396484375], [896.0358276367188, 614.6758422851562], [973.2342529296875, 593.13525390625], [916.0501708984375, 667.8093872070312], [950.3606567382812, 666.3733520507812], [907.47265625, 728.1231689453125], [946.0718383789062, 722.3789672851562], [910.3318481445312, 785.5647583007812], [937.4942626953125, 779.8206787109375]]","[[678, 458], [1240, 458], [619, 662], [1306, 662], [517, 997], [1402, 997]]","[[554, 465], [554, 662], [1368, 662], [1368, 465]]","[958, 393]",None,None
111590,"[[1079.0330810546875, 378.7743835449219], [1083.33447265625, 374.4711608886719], [1076.16552734375, 374.4711608886719], [1090.5032958984375, 374.4711608886719], [1073.2978515625, 374.4711608886719], [1106.275146484375, 393.11834716796875], [1066.12890625, 387.3807678222656], [1132.083251953125, 416.0687255859375], [1048.9234619140625, 407.4623107910156], [1110.576416015625, 410.33111572265625], [1037.453125, 430.4126892089844], [1104.84130859375, 441.88787841796875], [1084.7681884765625, 441.88787841796875], [1096.238525390625, 486.3542175292969], [1084.7681884765625, 482.051025390625], [1100.5399169921875, 539.4268798828125], [1089.069580078125, 515.0421752929688]]","[[908.0054931640625, 548.5693969726562], [908.0054931640625, 545.6901245117188], [973.664794921875, 593.1974487304688], [909.4329223632812, 547.1297607421875], [935.1256713867188, 545.6901245117188], [898.0138549804688, 581.6804809570312], [956.5362548828125, 567.2843627929688], [889.4495849609375, 610.4727783203125], [987.9385375976562, 574.482421875], [893.7317504882812, 613.3519897460938], [973.664794921875, 591.7578125], [916.5697631835938, 669.4970092773438], [950.8267211914062, 665.1781005859375], [908.0054931640625, 725.6419677734375], [946.5446166992188, 721.3230590820312], [912.28759765625, 787.5453491210938], [937.9803466796875, 780.3472900390625]]","[[678, 458], [1240, 458], [619, 662], [1306, 662], [517, 997], [1402, 997]]","[[554, 465], [554, 662], [1368, 662], [1368, 465]]","[959, 392]",None,None
111591,"[[1079.41064453125, 379.5937805175781], [1082.2744140625, 375.28900146484375], [1075.11474609375, 373.8540954589844], [1090.8660888671875, 375.28900146484375], [1072.2509765625, 373.8540954589844], [1106.6173095703125, 392.5080261230469], [1066.523193359375, 386.7683410644531], [1130.9600830078125, 415.4666442871094], [1049.3399658203125, 406.857177734375], [1109.4810791015625, 409.72698974609375], [1037.884521484375, 429.8158264160156], [1103.75341796875, 442.7300720214844], [1085.1383056640625, 441.2951965332031], [1096.59375, 487.21246337890625], [1085.1383056640625, 482.90771484375], [1099.4576416015625, 540.3043823242188], [1089.4342041015625, 514.4759521484375]]","[[928.4027099609375, 555.2540283203125], [908.2522583007812, 545.2031860351562], [934.1600341796875, 545.2031860351562], [909.6915893554688, 546.6390380859375], [935.5993041992188, 543.7673950195312], [898.177001953125, 582.5347900390625], [955.749755859375, 566.7406616210938], [888.1017456054688, 608.3796997070312], [988.8541259765625, 572.4840087890625], [893.8590087890625, 609.8155517578125], [971.582275390625, 595.457275390625], [918.3274536132812, 668.6845703125], [951.4318237304688, 665.8128662109375], [908.2522583007812, 726.1177368164062], [945.674560546875, 721.8101806640625], [912.5701904296875, 786.4225463867188], [938.4779052734375, 780.6792602539062]]","[[678, 458], [1240, 458], [619, 662], [1306, 662], [517, 997], [1402, 997]]","[[554, 465], [554, 662], [1368, 662], [1368, 465]]","[959, 391]",None,None
111592,"[[1079.006103515625, 378.7975158691406], [1083.3233642578125, 374.48419189453125], [1076.1280517578125, 374.48419189453125], [1090.5185546875, 374.48419189453125], [1071.8109130859375, 373.0464172363281], [1104.908935546875, 391.73748779296875], [1064.61572265625, 387.4241943359375], [1130.811767578125, 414.7419128417969], [1047.34716796875, 408.9908142089844], [1109.22607421875, 408.9908142089844], [1038.7130126953125, 427.6818542480469], [1103.469970703125, 442.05963134765625], [1084.7623291015625, 442.05963134765625], [1096.274658203125, 486.6306457519531], [1084.7623291015625, 482.31732177734375], [1099.15283203125, 539.8283081054688], [1089.0794677734375, 513.9483642578125]]","[[907.1031494140625, 547.3842163085938], [908.5302124023438, 545.9430541992188], [909.9573974609375, 545.9430541992188], [909.9573974609375, 547.3842163085938], [935.6464233398438, 545.9430541992188], [899.96728515625, 581.9722290039062], [955.6267700195312, 567.560546875], [888.5499267578125, 606.4719848632812], [989.8787841796875, 570.44287109375], [892.8314208984375, 605.0308227539062], [972.7527465820312, 593.5015258789062], [918.5204467773438, 669.88330078125], [951.3452758789062, 667.0009765625], [908.5302124023438, 727.5299072265625], [945.6366577148438, 721.7651977539062], [911.3845825195312, 786.61767578125], [938.5007934570312, 779.411865234375]]","[[678, 458], [1240, 458], [619, 662], [1306, 662], [517, 997], [1402, 997]]","[[554, 465], [554, 662], [1368, 662], [1368, 465]]","[959, 390]",None,None
111593,"[[1078.8458251953125, 378.395263671875], [1083.1588134765625, 374.08935546875], [1075.970458984375, 374.08935546875], [1090.346923828125, 375.5246887207031], [1071.657470703125, 374.08935546875], [1106.1611328125, 392.74822998046875], [1064.4693603515625, 387.00701904296875], [1130.6011962890625, 414.2777099609375], [1048.6551513671875, 407.1012268066406], [1109.036376953125, 409.9718322753906], [1037.154052734375, 430.06597900390625], [1103.285888671875, 442.9836730957031], [1084.596435546875, 440.1130676269531], [1096.0975341796875, 487.4779052734375], [1084.596435546875, 481.7366943359375], [1100.4105224609375, 540.5839233398438], [1088.9093017578125, 513.3132934570312]]","[[907.5709228515625, 548.3300170898438], [909.0027465820312, 545.4561157226562], [910.4346923828125, 545.4561157226562], [910.4346923828125, 546.89306640625], [934.7763061523438, 545.4561157226562], [900.41162109375, 581.37939453125], [954.822265625, 565.5731811523438], [888.956787109375, 602.9334106445312], [989.1869506835938, 569.8839721679688], [972.004638671875, 598.62255859375], [973.4365234375, 597.1856079101562], [917.5939331054688, 669.0321655273438], [951.9586181640625, 666.1583251953125], [909.0027465820312, 727.9463500976562], [946.2311401367188, 722.1986083984375], [911.8665161132812, 788.2974243164062], [939.0718383789062, 779.6759033203125]]","[[678, 458], [1240, 458], [619, 662], [1306, 662], [517, 997], [1402, 997]]","[[554, 465], [554, 662], [1368, 662], [1368, 465]]","[960, 389]",None,None
