frame,top,bottom,court,net,ball,pos,type
120959,"[[984.5286865234375, 376.9268493652344], [988.8085327148438, 372.6044921875], [981.675537109375, 372.6044921875], [994.5148315429688, 375.4860534667969], [973.1160278320312, 374.0452575683594], [998.7946166992188, 399.9794921875], [963.1298217773438, 395.6571044921875], [1007.3541259765625, 420.1505126953125], [948.8638916015625, 415.8281555175781], [1008.78076171875, 441.7623291015625], [950.2905883789062, 443.2031555175781], [988.8085327148438, 453.28863525390625], [967.4096069335938, 453.28863525390625], [990.2350463867188, 489.3083801269531], [971.6893920898438, 490.74920654296875], [984.5286865234375, 518.1241455078125], [973.1160278320312, 536.8544311523438]]","[[808.404052734375, 583.594970703125], [802.7008056640625, 580.722412109375], [805.5524291992188, 579.2861938476562], [782.7392578125, 579.2861938476562], [805.5524291992188, 580.722412109375], [768.4810791015625, 599.3938598632812], [814.1073608398438, 603.7026977539062], [741.3905029296875, 616.6290893554688], [855.4560546875, 626.6829833984375], [745.6680297851562, 615.19287109375], [854.0303344726562, 612.3203125], [758.5003662109375, 678.3885498046875], [785.5909423828125, 681.2611694335938], [781.3134765625, 727.2216186523438], [779.8876342773438, 741.5843505859375], [784.1651000976562, 774.6184692382812], [762.77783203125, 797.5986938476562]]","[[672, 456], [1240, 456], [616, 662], [1301, 662], [522, 980], [1400, 980]]","[[550, 464], [550, 662], [1374, 662], [1374, 464]]","[950, 443]",None,None
120960,"[[984.458251953125, 377.70098876953125], [988.697998046875, 373.3819885253906], [980.2183837890625, 373.3819885253906], [992.937744140625, 376.26129150390625], [973.1521606445312, 374.8216552734375], [998.5908203125, 399.29583740234375], [961.845947265625, 394.97686767578125], [1007.0704345703125, 419.4510498046875], [947.71337890625, 416.57171630859375], [1007.0704345703125, 442.48553466796875], [949.1265869140625, 442.48553466796875], [987.2847290039062, 455.4424743652344], [966.0858154296875, 452.5631408691406], [990.1112670898438, 489.9942321777344], [970.3255615234375, 492.87353515625], [984.458251953125, 517.3477172851562], [974.5653686523438, 538.9425659179688]]","[[805.483154296875, 584.7255249023438], [804.0447998046875, 578.974609375], [805.483154296875, 580.412353515625], [782.4697265625, 578.974609375], [805.483154296875, 580.412353515625], [768.08642578125, 599.1027221679688], [815.551513671875, 604.8535766601562], [740.7579956054688, 617.7930297851562], [852.9483032226562, 624.981689453125], [746.5113525390625, 613.4799194335938], [852.9483032226562, 610.6044921875], [759.4564208984375, 681.052734375], [785.3463745117188, 682.490478515625], [779.5931396484375, 729.9352416992188], [779.5931396484375, 739.999267578125], [783.9080810546875, 775.9423217773438], [762.3330688476562, 798.9458618164062]]","[[672, 456], [1240, 456], [616, 662], [1301, 662], [522, 980], [1400, 980]]","[[550, 464], [550, 662], [1374, 662], [1374, 464]]","[949, 443]",None,None
120961,"[[983.3721923828125, 377.2962646484375], [987.6487426757812, 372.98944091796875], [980.5210571289062, 372.98944091796875], [991.9254760742188, 375.86065673828125], [971.9677124023438, 374.425048828125], [997.6276245117188, 400.2659606933594], [960.563232421875, 395.95916748046875], [1006.1810302734375, 420.3644714355469], [947.7332763671875, 414.6220397949219], [1006.1810302734375, 443.3341979980469], [949.1588745117188, 440.4629821777344], [987.6487426757812, 454.8190612792969], [966.2655029296875, 453.3834228515625], [989.0743408203125, 492.14483642578125], [970.5421142578125, 493.5804443359375], [984.7976684570312, 517.9857788085938], [973.393310546875, 538.084228515625]]","[[805.269775390625, 585.1171875], [802.4185180664062, 580.7946166992188], [805.269775390625, 580.7946166992188], [782.4594116210938, 579.3536987304688], [805.269775390625, 580.7946166992188], [766.77734375, 599.5260009765625], [813.8236694335938, 603.8485717773438], [739.6900634765625, 616.8164672851562], [852.3161010742188, 625.4617309570312], [745.3926391601562, 613.9347534179688], [852.3161010742188, 609.6121215820312], [758.2235107421875, 677.3333129882812], [785.3107299804688, 683.0968017578125], [779.608154296875, 730.6456909179688], [779.608154296875, 740.73193359375], [783.8851318359375, 776.7537231445312], [762.5003662109375, 796.926025390625]]","[[672, 456], [1240, 456], [616, 662], [1301, 662], [522, 980], [1400, 980]]","[[550, 464], [550, 662], [1374, 662], [1374, 464]]","[948, 443]",None,None
120962,"[[982.733154296875, 376.10223388671875], [987.049560546875, 371.8065185546875], [979.8554077148438, 371.8065185546875], [991.3660888671875, 376.10223388671875], [971.2224731445312, 374.67034912109375], [998.5602416992188, 400.4447021484375], [959.7117919921875, 396.14898681640625], [1004.3154907226562, 421.92340087890625], [946.7623901367188, 411.8999938964844], [1004.3154907226562, 444.8339538574219], [948.2012329101562, 439.1062927246094], [987.049560546875, 456.28924560546875], [965.4671630859375, 453.4254150390625], [989.9271850585938, 489.2231750488281], [969.7836303710938, 492.0870056152344], [985.6107788085938, 517.8613891601562], [974.10009765625, 539.3400268554688]]","[[804.96533203125, 585.4910278320312], [803.539794921875, 581.177734375], [804.96533203125, 581.177734375], [782.158447265625, 579.739990234375], [803.539794921875, 581.177734375], [765.0532836914062, 599.8685913085938], [813.5178833007812, 604.181884765625], [739.3954467773438, 615.6839599609375], [852.0044555664062, 624.3104858398438], [743.6717529296875, 614.2461547851562], [852.0044555664062, 608.4951171875], [757.9260864257812, 677.5075073242188], [785.00927734375, 683.258544921875], [779.3074951171875, 730.7045288085938], [779.3074951171875, 740.7688598632812], [783.5838623046875, 776.7128295898438], [762.2023315429688, 796.8413696289062]]","[[672, 456], [1240, 456], [616, 662], [1301, 662], [522, 980], [1400, 980]]","[[550, 464], [550, 662], [1374, 662], [1374, 464]]","[948, 443]",None,None
120963,"[[982.7227783203125, 376.5230407714844], [987.0419311523438, 372.2015686035156], [979.8433837890625, 372.2015686035156], [991.3610229492188, 375.08258056640625], [971.2051391601562, 375.08258056640625], [998.5595092773438, 401.011474609375], [959.6875610351562, 395.24951171875], [1004.3182983398438, 421.17840576171875], [946.730224609375, 412.535400390625], [1004.3182983398438, 444.2263488769531], [948.169921875, 438.4643249511719], [987.0419311523438, 455.7502746582031], [965.4463500976562, 452.8692932128906], [989.9213256835938, 488.88165283203125], [969.7655029296875, 491.7626647949219], [985.6022338867188, 517.6915283203125], [974.0845336914062, 539.2990112304688]]","[[807.5451049804688, 582.97802734375], [803.26318359375, 581.54150390625], [804.6904296875, 580.1050415039062], [781.8532104492188, 578.6685180664062], [804.6904296875, 581.54150390625], [766.152587890625, 600.2158813476562], [811.8270874023438, 603.0888671875], [739.033447265625, 616.0172729492188], [851.792236328125, 624.6361694335938], [743.3153686523438, 614.5807495117188], [851.792236328125, 605.9618530273438], [757.5886840820312, 677.7862548828125], [784.7078857421875, 683.5322265625], [778.9985961914062, 730.9363403320312], [778.9985961914062, 740.9918212890625], [783.280517578125, 775.467529296875], [761.8706665039062, 798.4512939453125]]","[[672, 456], [1240, 456], [616, 662], [1301, 662], [522, 980], [1400, 980]]","[[550, 464], [550, 662], [1374, 662], [1374, 464]]","[947, 443]",None,None
120964,"[[981.903564453125, 376.400390625], [986.2197265625, 372.10015869140625], [977.58740234375, 372.10015869140625], [990.535888671875, 374.96697998046875], [970.393798828125, 374.96697998046875], [997.7294311523438, 400.76861572265625], [960.3228149414062, 395.0349426269531], [1003.484375, 422.2699890136719], [944.4969482421875, 412.23602294921875], [1003.484375, 445.20477294921875], [945.9356689453125, 438.03765869140625], [986.2197265625, 456.6721496582031], [964.6389770507812, 453.8052978515625], [990.535888671875, 486.7740478515625], [968.9551391601562, 491.0743408203125], [986.2197265625, 515.4425659179688], [973.2713012695312, 538.3773193359375]]","[[807.8020629882812, 583.170654296875], [802.0416259765625, 581.7308349609375], [804.921875, 580.2910766601562], [780.4398803710938, 578.8512573242188], [803.4818115234375, 581.7308349609375], [766.0386962890625, 600.4481201171875], [810.682373046875, 601.887939453125], [738.676513671875, 616.2858276367188], [852.44580078125, 624.9246215820312], [742.9968872070312, 614.8460693359375], [851.005615234375, 604.7675170898438], [757.3980102539062, 678.1968994140625], [784.76025390625, 683.9560546875], [780.4398803710938, 730.0293579101562], [778.9996948242188, 741.5476684570312], [783.320068359375, 774.662841796875], [761.7183837890625, 797.699462890625]]","[[672, 456], [1240, 456], [616, 662], [1301, 662], [522, 980], [1400, 980]]","[[550, 464], [550, 662], [1374, 662], [1374, 464]]","[946, 442]",None,None
120965,"[[981.3760375976562, 375.2703857421875], [985.6864013671875, 370.9712219238281], [977.065673828125, 370.9712219238281], [989.9966430664062, 375.2703857421875], [969.8817749023438, 373.83734130859375], [995.7437744140625, 398.1991882324219], [958.3876953125, 393.9000244140625], [1004.3643798828125, 418.26190185546875], [942.5830688476562, 411.0966491699219], [1002.9276123046875, 442.6237487792969], [945.4566650390625, 438.3246154785156], [985.6864013671875, 454.0881652832031], [964.134765625, 454.0881652832031], [991.4334716796875, 485.61529541015625], [968.445068359375, 491.34747314453125], [987.1231079101562, 515.7093505859375], [972.75537109375, 535.7720336914062]]","[[807.3207397460938, 583.0867309570312], [801.5628662109375, 578.7637329101562], [804.4417724609375, 578.7637329101562], [781.4100952148438, 578.7637329101562], [804.4417724609375, 580.2047729492188], [765.5758056640625, 598.9378662109375], [813.0786743164062, 603.2609252929688], [738.2255859375, 617.6710205078125], [851.9447631835938, 624.8760986328125], [745.4229736328125, 613.3479614257812], [850.5053100585938, 604.7019653320312], [756.9388427734375, 678.1934814453125], [784.2890625, 683.95751953125], [778.5311279296875, 727.1878662109375], [778.5311279296875, 741.5980224609375], [782.849609375, 776.1822509765625], [762.69677734375, 796.3564453125]]","[[672, 456], [1240, 456], [616, 662], [1301, 662], [522, 980], [1400, 980]]","[[550, 464], [550, 662], [1374, 662], [1374, 464]]","[945, 442]",None,None
120966,"[[980.4052124023438, 375.5298767089844], [984.7017822265625, 371.22235107421875], [976.108642578125, 371.22235107421875], [988.998291015625, 375.5298767089844], [968.9478149414062, 372.6581726074219], [994.72705078125, 397.06744384765625], [957.4903564453125, 394.19573974609375], [1003.3201293945312, 417.1691589355469], [940.3041381835938, 411.4258117675781], [1001.887939453125, 441.5783996582031], [943.1685180664062, 437.2708740234375], [984.7017822265625, 451.6292419433594], [963.2190551757812, 453.0650939941406], [991.8626708984375, 481.7818298339844], [967.515625, 491.83270263671875], [987.5661010742188, 514.80615234375], [973.2442626953125, 536.3436889648438]]","[[806.7008056640625, 580.0619506835938], [800.9559936523438, 575.7586669921875], [805.2645874023438, 577.193115234375], [779.4131469726562, 577.193115234375], [802.3922119140625, 580.0619506835938], [765.05126953125, 598.70947265625], [812.445556640625, 603.0127563476562], [737.7636108398438, 617.3570556640625], [852.6588745117188, 627.3980102539062], [743.5083618164062, 613.0537109375], [851.2227172851562, 615.922607421875], [756.4340209960938, 679.0372924804688], [783.7216796875, 681.9061279296875], [782.2855224609375, 727.8077392578125], [779.4131469726562, 739.283203125], [783.7216796875, 775.143798828125], [762.1788940429688, 798.0946044921875]]","[[672, 456], [1240, 456], [616, 662], [1301, 662], [522, 980], [1400, 980]]","[[550, 464], [550, 662], [1374, 662], [1374, 464]]","[945, 442]",None,None
120967,"[[979.2179565429688, 374.09814453125], [983.47900390625, 369.788330078125], [974.9569702148438, 368.3516845703125], [987.739990234375, 374.09814453125], [967.855224609375, 371.22491455078125], [994.8416748046875, 397.08404541015625], [957.9129638671875, 392.7742004394531], [1003.3636474609375, 418.63330078125], [936.6078491210938, 411.4502258300781], [999.1027221679688, 444.492431640625], [940.868896484375, 434.43609619140625], [986.3196411132812, 451.675537109375], [963.5942993164062, 450.2388916015625], [993.42138671875, 483.2811584472656], [966.4349365234375, 491.90081787109375], [989.1603393554688, 514.88671875], [973.53662109375, 536.43603515625]]","[[804.5175170898438, 580.80859375], [780.1170654296875, 572.1973876953125], [804.5175170898438, 576.5029907226562], [780.1170654296875, 576.5029907226562], [803.0821533203125, 579.3734130859375], [762.893310546875, 599.4662475585938], [808.8233642578125, 600.9014892578125], [737.0576782226562, 618.1239013671875], [851.8828735351562, 626.7351684570312], [742.7988891601562, 613.8182983398438], [851.8828735351562, 618.1239013671875], [755.716796875, 678.4024658203125], [782.9876708984375, 681.2728881835938], [781.5524291992188, 727.1994018554688], [778.6818237304688, 741.5514526367188], [782.9876708984375, 774.5610961914062], [761.4580078125, 800.394775390625]]","[[672, 456], [1240, 456], [616, 662], [1301, 662], [522, 980], [1400, 980]]","[[550, 464], [550, 662], [1374, 662], [1374, 464]]","[944, 442]",None,None
120968,"[[978.5276489257812, 371.9784851074219], [982.782958984375, 367.6594543457031], [974.2723388671875, 367.6594543457031], [988.456787109375, 371.9784851074219], [968.5985717773438, 370.5387878417969], [994.1305541992188, 396.4529113769531], [957.2510375976562, 390.6942138671875], [1002.6411743164062, 419.4876403808594], [934.5559692382812, 407.97027587890625], [998.3858642578125, 442.52239990234375], [940.229736328125, 431.0050354003906], [987.0382690429688, 448.28106689453125], [964.3432006835938, 448.28106689453125], [992.7120971679688, 485.7125549316406], [967.18017578125, 491.47125244140625], [988.456787109375, 514.5059814453125], [972.8538818359375, 537.5407104492188]]","[[803.5652465820312, 578.9126586914062], [779.2186279296875, 570.3035888671875], [803.5652465820312, 574.6080932617188], [779.2186279296875, 576.04296875], [802.133056640625, 578.9126586914062], [762.0326538085938, 599.00048828125], [810.72607421875, 601.8701782226562], [737.6859741210938, 616.2185668945312], [850.826416015625, 626.2625122070312], [744.8468017578125, 611.9140625], [849.3942260742188, 621.9580078125], [756.3040161132812, 677.9169311523438], [783.5150756835938, 680.78662109375], [780.6506958007812, 726.70166015625], [777.7864379882812, 741.050048828125], [783.5150756835938, 776.921142578125], [762.0326538085938, 798.44384765625]]","[[672, 456], [1240, 456], [616, 662], [1301, 662], [522, 980], [1400, 980]]","[[550, 464], [550, 662], [1374, 662], [1374, 464]]","[943, 442]",None,None
