frame,top,bottom,court,net,ball,pos,type
18022,"[[795.373779296875, 307.3404541015625], [799.638427734375, 303.02783203125], [791.109130859375, 303.02783203125], [803.903076171875, 304.4653625488281], [785.4229736328125, 304.4653625488281], [815.2754516601562, 321.7159118652344], [784.0014038085938, 321.7159118652344], [830.9125366210938, 346.1541442871094], [768.3643188476562, 328.90362548828125], [812.432373046875, 349.02923583984375], [769.785888671875, 341.8415222167969], [815.2754516601562, 377.7801513671875], [795.373779296875, 377.7801513671875], [811.0108032226562, 418.0313720703125], [799.638427734375, 416.59381103515625], [812.432373046875, 455.40753173828125], [809.5892333984375, 442.46966552734375]]","[[972.9229736328125, 520.9471435546875], [972.9229736328125, 516.6367797851562], [972.9229736328125, 516.6367797851562], [985.7708740234375, 516.6367797851562], [998.6187744140625, 513.76318359375], [984.3433227539062, 542.4990844726562], [1014.3217163085938, 541.0623168945312], [971.4954223632812, 576.982177734375], [992.9085693359375, 566.9246215820312], [940.0894775390625, 611.4652709960938], [965.7852783203125, 549.6830444335938], [997.1912231445312, 633.0172729492188], [1020.0319213867188, 627.2700805664062], [988.6259155273438, 697.6730346679688], [1004.3289184570312, 689.05224609375], [998.6187744140625, 766.6392822265625], [1008.6115112304688, 756.5817260742188]]","[[649, 410], [1224, 410], [564, 606], [1316, 606], [393, 988], [1502, 988]]","[[500, 385], [500, 606], [1389, 606], [1389, 385]]","[930, 548]",None,None
18023,"[[796.410400390625, 307.57916259765625], [799.2864990234375, 301.8373107910156], [792.0962524414062, 301.8373107910156], [805.0387573242188, 303.27276611328125], [786.3440551757812, 303.27276611328125], [815.1051025390625, 321.9336853027344], [784.9059448242188, 321.9336853027344], [830.9237060546875, 346.33642578125], [767.6493530273438, 329.1109619140625], [812.22900390625, 349.20733642578125], [769.08740234375, 342.0300598144531], [815.1051025390625, 377.9164123535156], [794.972412109375, 376.48095703125], [810.7909545898438, 418.10919189453125], [799.2864990234375, 415.23828125], [812.22900390625, 453.9955139160156], [809.3528442382812, 443.9473571777344]]","[[973.9695434570312, 519.4985961914062], [975.4014892578125, 513.7372436523438], [975.4014892578125, 513.7372436523438], [986.8568725585938, 515.1775512695312], [999.744140625, 513.7372436523438], [985.4249267578125, 539.6636352539062], [1014.0633544921875, 539.6636352539062], [971.105712890625, 572.7918701171875], [994.0164184570312, 567.0303955078125], [936.7396240234375, 611.6814575195312], [965.3780517578125, 549.7461547851562], [996.8803100585938, 630.4060668945312], [1019.791015625, 627.525390625], [986.8568725585938, 695.22216796875], [1006.9037475585938, 688.0203857421875], [996.8803100585938, 765.7996826171875], [1009.767578125, 760.0382080078125]]","[[649, 410], [1224, 410], [564, 606], [1316, 606], [393, 988], [1502, 988]]","[[500, 385], [500, 606], [1389, 606], [1389, 385]]","[932, 547]",None,None
18024,"[[796.1305541992188, 307.84771728515625], [798.9913940429688, 302.1192932128906], [791.839111328125, 302.1192932128906], [804.7132568359375, 303.5513916015625], [786.1173095703125, 303.5513916015625], [814.7265014648438, 322.16876220703125], [784.686767578125, 322.16876220703125], [830.4615478515625, 346.5145568847656], [767.5213012695312, 330.76141357421875], [811.8656005859375, 349.3787536621094], [770.3822021484375, 343.65032958984375], [814.7265014648438, 376.5887451171875], [794.7000122070312, 376.5887451171875], [810.4351806640625, 418.1197814941406], [798.9913940429688, 415.25555419921875], [811.8656005859375, 455.3544921875], [810.4351806640625, 442.4655456542969]]","[[976.6227416992188, 518.962646484375], [976.6227416992188, 513.198486328125], [976.6227416992188, 513.198486328125], [986.5814208984375, 513.198486328125], [1002.2308349609375, 513.198486328125], [985.1587524414062, 539.1371459960938], [1015.0348510742188, 540.5781860351562], [968.0867309570312, 573.7221069335938], [993.6947631835938, 567.9579467773438], [935.3652954101562, 605.4249267578125], [962.3960571289062, 550.66552734375], [996.5401611328125, 631.3635864257812], [1020.7255249023438, 627.04052734375], [985.1587524414062, 694.769287109375], [1007.9215087890625, 687.5641479492188], [996.5401611328125, 762.4981079101562], [1009.3441162109375, 756.7339477539062]]","[[649, 410], [1224, 410], [564, 606], [1316, 606], [393, 988], [1502, 988]]","[[500, 385], [500, 606], [1389, 606], [1389, 385]]","[934, 545]",None,None
18025,"[[796.1281127929688, 307.8451232910156], [798.9886474609375, 302.11627197265625], [791.8370971679688, 302.11627197265625], [804.7099609375, 303.5484924316406], [786.1157836914062, 303.5484924316406], [814.7221069335938, 322.167236328125], [784.685546875, 322.167236328125], [830.4556884765625, 346.5148620605469], [767.5216674804688, 330.7605285644531], [811.8615112304688, 349.3793029785156], [770.38232421875, 343.6504211425781], [814.7221069335938, 376.5913391113281], [794.69775390625, 376.5913391113281], [810.4312133789062, 418.12548828125], [798.9886474609375, 415.2610778808594], [811.8615112304688, 455.363037109375], [810.4312133789062, 442.4731140136719]]","[[976.614501953125, 518.8829956054688], [976.614501953125, 513.120849609375], [976.614501953125, 513.120849609375], [986.5838623046875, 513.120849609375], [1002.25, 513.120849609375], [985.15966796875, 539.0504760742188], [1015.0677490234375, 540.4910278320312], [968.0693359375, 573.6233520507812], [993.7047729492188, 567.8612060546875], [935.3128051757812, 605.3151245117188], [962.37255859375, 550.5747680664062], [996.5532836914062, 631.2446899414062], [1020.7645874023438, 626.9231567382812], [985.15966796875, 694.6282958984375], [1007.9468383789062, 688.8661499023438], [996.5532836914062, 762.33349609375], [1009.3709716796875, 758.0118408203125]]","[[649, 410], [1224, 410], [564, 606], [1316, 606], [393, 988], [1502, 988]]","[[500, 385], [500, 606], [1389, 606], [1389, 385]]","[937, 544]",None,None
18026,"[[796.1263427734375, 307.8545227050781], [798.9871826171875, 302.12603759765625], [791.835205078125, 302.12603759765625], [804.7086791992188, 303.55816650390625], [786.1135864257812, 303.55816650390625], [816.15185546875, 322.1758117675781], [784.6832885742188, 322.1758117675781], [830.4557495117188, 346.5219421386719], [767.5184936523438, 330.7685852050781], [811.8606567382812, 349.38623046875], [770.3793334960938, 343.6576843261719], [814.721435546875, 376.59661865234375], [794.6959838867188, 376.59661865234375], [810.4302368164062, 418.1282653808594], [798.9871826171875, 415.2640075683594], [811.8606567382812, 455.3635559082031], [810.4302368164062, 442.4744567871094]]","[[978.5960693359375, 517.3092651367188], [978.5960693359375, 511.5667419433594], [980.0342407226562, 511.5667419433594], [987.22509765625, 513.0023803710938], [1004.4832153320312, 513.0023803710938], [984.3488159179688, 538.84375], [1017.4267578125, 540.2793579101562], [962.7761840820312, 574.7345581054688], [977.1578979492188, 568.9920043945312], [929.6981811523438, 607.7540283203125], [954.1470947265625, 554.6356811523438], [995.8541870117188, 629.2885131835938], [1021.7412719726562, 624.9816284179688], [984.3488159179688, 692.456298828125], [1008.7977294921875, 689.5850219726562], [995.8541870117188, 759.930908203125], [1008.7977294921875, 758.495361328125]]","[[649, 410], [1224, 410], [564, 606], [1316, 606], [393, 988], [1502, 988]]","[[500, 385], [500, 606], [1389, 606], [1389, 385]]","[930, 551]",None,None
18027,"[[795.2803344726562, 306.7006530761719], [799.542236328125, 300.9596252441406], [791.018310546875, 302.3948669433594], [805.224853515625, 303.83013916015625], [785.3357543945312, 303.83013916015625], [815.16943359375, 322.4885559082031], [782.4944458007812, 318.1827697753906], [830.7966918945312, 346.8880310058594], [768.287841796875, 329.66485595703125], [812.3281860351562, 349.758544921875], [769.70849609375, 342.5822448730469], [815.16943359375, 377.0285949707031], [795.2803344726562, 377.0285949707031], [810.9075317382812, 417.2159423828125], [799.542236328125, 415.78070068359375], [812.3281860351562, 454.5328063964844], [809.48681640625, 443.0506896972656]]","[[981.77001953125, 518.0567016601562], [981.77001953125, 510.8572692871094], [981.77001953125, 512.2971801757812], [988.94140625, 510.8572692871094], [1006.1528930664062, 512.2971801757812], [983.2042236328125, 538.215087890625], [1019.0614013671875, 539.655029296875], [960.2557373046875, 577.092041015625], [971.72998046875, 567.0128784179688], [925.8328247070312, 611.6492919921875], [945.912841796875, 555.4937744140625], [994.6785888671875, 630.3678588867188], [1020.4957275390625, 627.4880981445312], [983.2042236328125, 693.722900390625], [1010.4557495117188, 687.9633178710938], [994.6785888671875, 758.517822265625], [1009.021484375, 758.517822265625]]","[[649, 410], [1224, 410], [564, 606], [1316, 606], [393, 988], [1502, 988]]","[[500, 385], [500, 606], [1389, 606], [1389, 385]]","[919, 560]",None,None
18028,"[[795.62255859375, 306.6391296386719], [798.5004272460938, 300.89971923828125], [791.305908203125, 302.3345642089844], [804.2559814453125, 303.7694091796875], [785.55029296875, 303.7694091796875], [815.7672119140625, 322.4226379394531], [784.111328125, 320.9877624511719], [830.15625, 346.8152770996094], [768.283447265625, 329.5969543457031], [812.889404296875, 349.68499755859375], [769.7222900390625, 343.945556640625], [814.3282470703125, 378.38226318359375], [795.62255859375, 376.9473571777344], [810.0115966796875, 418.55841064453125], [799.9392700195312, 417.12353515625], [811.450439453125, 455.86480712890625], [810.0115966796875, 442.9510498046875]]","[[983.1380615234375, 516.0564575195312], [984.5773315429688, 510.2908020019531], [984.5773315429688, 511.732177734375], [991.7739868164062, 511.732177734375], [1010.485107421875, 513.1736450195312], [983.1380615234375, 539.1190795898438], [1020.5603637695312, 540.5604858398438], [958.6694946289062, 578.0372314453125], [1020.5603637695312, 579.4786376953125], [924.1258544921875, 612.631103515625], [945.7156982421875, 560.740234375], [993.2132568359375, 629.9281005859375], [1020.5603637695312, 628.4866943359375], [980.2593383789062, 693.3502807617188], [1009.0458374023438, 689.0260620117188], [994.652587890625, 758.2139282226562], [1009.0458374023438, 759.6552734375]]","[[649, 410], [1224, 410], [564, 606], [1316, 606], [393, 988], [1502, 988]]","[[500, 385], [500, 606], [1389, 606], [1389, 385]]","[911, 574]",None,None
18029,"[[796.3773193359375, 306.8665466308594], [799.2037353515625, 302.5555419921875], [792.1378173828125, 302.5555419921875], [804.8563842773438, 303.9925537109375], [786.485107421875, 303.9925537109375], [814.7485961914062, 321.23663330078125], [783.6587524414062, 321.23663330078125], [830.2935791015625, 347.102783203125], [768.1138305664062, 329.8586730957031], [813.3353881835938, 348.539794921875], [769.5269775390625, 342.791748046875], [814.7485961914062, 377.2799377441406], [794.964111328125, 377.2799377441406], [810.5090942382812, 417.51617431640625], [799.2037353515625, 416.0791320800781], [811.9223022460938, 454.8783874511719], [809.0958862304688, 443.3822937011719]]","[[986.888671875, 518.2411499023438], [986.888671875, 511.0613098144531], [986.888671875, 511.0613098144531], [992.63720703125, 511.0613098144531], [1014.1940307617188, 512.4972534179688], [982.5772705078125, 538.3445434570312], [1022.81689453125, 544.0884399414062], [961.0203857421875, 571.3717041015625], [1017.068359375, 577.1155395507812], [930.8406982421875, 598.655029296875], [950.96044921875, 565.6278686523438], [991.2000732421875, 631.68212890625], [1019.9426879882812, 628.8101806640625], [978.2659301757812, 693.4285278320312], [1009.8827514648438, 690.5565185546875], [994.0742797851562, 756.61083984375], [1009.8827514648438, 758.0467529296875]]","[[649, 410], [1224, 410], [564, 606], [1316, 606], [393, 988], [1502, 988]]","[[500, 385], [500, 606], [1389, 606], [1389, 385]]","[903, 584]",None,None
18030,"[[796.14794921875, 305.62371826171875], [798.9884033203125, 301.31744384765625], [791.8872680664062, 301.31744384765625], [804.66943359375, 304.1883239746094], [786.2062377929688, 302.7528991699219], [816.0313110351562, 322.8488464355469], [783.3657836914062, 319.9779968261719], [830.2337646484375, 347.2510986328125], [767.7431030273438, 330.0259704589844], [813.1908569335938, 348.6865234375], [769.163330078125, 342.94482421875], [814.611083984375, 377.3950500488281], [794.7277221679688, 377.3950500488281], [810.3504028320312, 419.0224304199219], [798.9884033203125, 414.7161560058594], [811.7706298828125, 453.47265625], [808.9301147460938, 443.4247131347656]]","[[988.0265502929688, 516.3243408203125], [989.461669921875, 510.5704040527344], [990.8968505859375, 510.5704040527344], [995.202392578125, 510.5704040527344], [1016.730224609375, 513.4473876953125], [982.2857666015625, 539.340087890625], [1023.9061279296875, 543.6555786132812], [962.193115234375, 565.2328491210938], [1015.2951049804688, 576.7407836914062], [932.0541381835938, 592.5640869140625], [933.4894409179688, 591.1256103515625], [990.8968505859375, 629.9647216796875], [1019.6005859375, 628.5262451171875], [975.1098022460938, 693.2581176757812], [1009.5543212890625, 690.3811645507812], [992.33203125, 756.551513671875], [1009.5543212890625, 757.9899291992188]]","[[649, 410], [1224, 410], [564, 606], [1316, 606], [393, 988], [1502, 988]]","[[500, 385], [500, 606], [1389, 606], [1389, 385]]","[896, 594]",None,None
18031,"[[796.1232299804688, 305.3458557128906], [798.9588012695312, 301.02862548828125], [791.869873046875, 301.02862548828125], [804.6299438476562, 303.9067687988281], [786.1987915039062, 303.9067687988281], [815.9722290039062, 322.61480712890625], [783.3631591796875, 321.1757507324219], [830.1500854492188, 348.5182800292969], [767.767578125, 329.81024169921875], [813.1365966796875, 348.5182800292969], [769.185302734375, 342.761962890625], [814.5545043945312, 377.2999267578125], [794.7055053710938, 377.2999267578125], [810.3010864257812, 419.03326416015625], [798.9588012695312, 414.7160339355469], [811.7188720703125, 453.57122802734375], [808.88330078125, 443.4976806640625]]","[[987.9494018554688, 516.3435668945312], [989.3833618164062, 510.5806579589844], [990.8173828125, 510.5806579589844], [995.119384765625, 510.5806579589844], [1016.62939453125, 513.4620971679688], [982.21337890625, 539.3954467773438], [1023.7993774414062, 543.7176513671875], [962.1373901367188, 565.3287353515625], [1015.1953735351562, 576.8546752929688], [932.0233764648438, 592.7027587890625], [933.4573974609375, 591.2620239257812], [990.8173828125, 630.1619262695312], [1019.4974975585938, 627.280517578125], [975.0433959960938, 692.11376953125], [1009.4594116210938, 689.2322998046875], [993.6854858398438, 756.947021484375], [1009.4594116210938, 758.3876953125]]","[[649, 410], [1224, 410], [564, 606], [1316, 606], [393, 988], [1502, 988]]","[[500, 385], [500, 606], [1389, 606], [1389, 385]]","[890, 604]",None,None
