frame,top,bottom,court,net,ball,pos,type
82845,"[[922.1013793945312, 309.03253173828125], [924.9719848632812, 306.15350341796875], [917.7955932617188, 303.27447509765625], [930.7130737304688, 301.8349914550781], [916.3603515625, 303.27447509765625], [939.32470703125, 314.79058837890625], [916.3603515625, 317.6695861816406], [946.5010986328125, 334.94366455078125], [900.5723266601562, 343.5807189941406], [900.5723266601562, 369.4918518066406], [900.5723266601562, 369.4918518066406], [940.7599487304688, 359.4153137207031], [922.1013793945312, 362.2943115234375], [949.3716430664062, 399.7215270996094], [920.6661376953125, 401.1610412597656], [919.2308959960938, 437.1487731933594], [919.2308959960938, 437.1487731933594]]","[[1152.7803955078125, 579.3404541015625], [1144.16650390625, 573.5948486328125], [1147.037841796875, 575.03125], [1144.16650390625, 575.03125], [1165.7012939453125, 577.904052734375], [1131.24560546875, 606.6322021484375], [1174.3153076171875, 606.6322021484375], [1118.32470703125, 641.1058959960938], [1174.3153076171875, 639.6695556640625], [1109.710693359375, 675.5797119140625], [1158.5230712890625, 639.6695556640625], [1134.1168212890625, 674.1432495117188], [1164.265625, 674.1432495117188], [1131.24560546875, 717.2354736328125], [1164.265625, 727.290283203125], [1131.24560546875, 760.3275756835938], [1162.8299560546875, 783.3101806640625]]","[[723, 401], [1197, 401], [663, 599], [1262, 599], [520, 978], [1399, 978]]","[[604, 425], [604, 599], [1326, 599], [1326, 425]]","[926, 446]",None,None
82846,"[[922.41552734375, 304.9432373046875], [925.2406005859375, 300.6351318359375], [918.177734375, 300.6351318359375], [932.303466796875, 300.6351318359375], [915.3526000976562, 302.0711669921875], [940.7788696289062, 313.5594177246094], [913.9401245117188, 317.8675231933594], [946.4290771484375, 336.5359802246094], [902.6395874023438, 342.2801208496094], [901.2269897460938, 366.6927185058594], [901.2269897460938, 366.6927185058594], [940.7788696289062, 359.5125427246094], [922.41552734375, 362.3846130371094], [949.2542724609375, 396.8494567871094], [921.0029296875, 401.15753173828125], [945.0166015625, 427.00616455078125], [919.59033203125, 439.9304504394531]]","[[1154.5789794921875, 582.83837890625], [1146.052490234375, 575.6699829101562], [1150.3157958984375, 577.1036987304688], [1146.052490234375, 577.1036987304688], [1168.789794921875, 578.5372924804688], [1133.2626953125, 608.6444702148438], [1175.895263671875, 608.6444702148438], [1120.4730224609375, 641.618896484375], [1175.895263671875, 640.1852416992188], [1110.525390625, 677.4607543945312], [1160.2633056640625, 641.618896484375], [1136.10498046875, 674.5933837890625], [1165.9476318359375, 676.0270385742188], [1133.2626953125, 719.0372314453125], [1164.5264892578125, 729.0729370117188], [1130.4205322265625, 760.6137084960938], [1163.10546875, 783.5524291992188]]","[[723, 401], [1197, 401], [663, 599], [1262, 599], [520, 978], [1399, 978]]","[[604, 425], [604, 599], [1326, 599], [1326, 425]]","[926, 446]",None,None
82847,"[[925.8587036132812, 301.92608642578125], [928.6874389648438, 297.620849609375], [920.201171875, 299.0559387207031], [934.3450927734375, 299.0559387207031], [918.7867431640625, 300.49102783203125], [940.0026245117188, 313.4067687988281], [915.9579467773438, 316.27691650390625], [945.6600952148438, 334.9329528808594], [901.8140869140625, 342.1083679199219], [901.8140869140625, 366.5047302246094], [901.8140869140625, 367.9398498535156], [940.0026245117188, 359.329345703125], [921.6156005859375, 360.764404296875], [948.4888916015625, 395.2063903808594], [920.201171875, 400.9466857910156], [944.2457885742188, 426.7781677246094], [920.201171875, 438.2588195800781]]","[[1157.0023193359375, 584.259521484375], [1148.490234375, 577.0901489257812], [1152.7462158203125, 578.5240478515625], [1148.490234375, 578.5240478515625], [1171.189208984375, 579.9578857421875], [1134.3033447265625, 610.0691528320312], [1178.28271484375, 610.0691528320312], [1120.116455078125, 645.9158935546875], [1183.9573974609375, 631.5772094726562], [1111.6043701171875, 678.8948974609375], [1162.677001953125, 645.9158935546875], [1137.1407470703125, 677.4609985351562], [1166.93310546875, 677.4609985351562], [1132.8846435546875, 720.47705078125], [1165.514404296875, 729.0802612304688], [1130.04736328125, 760.6254272460938], [1162.677001953125, 786.43505859375]]","[[723, 401], [1197, 401], [663, 599], [1262, 599], [520, 978], [1399, 978]]","[[604, 425], [604, 599], [1326, 599], [1326, 425]]","[926, 446]",None,None
82848,"[[926.0308227539062, 301.48736572265625], [930.276123046875, 297.1865234375], [923.2005615234375, 298.6201477050781], [935.9366455078125, 298.6201477050781], [918.9552001953125, 300.05377197265625], [941.59716796875, 312.95623779296875], [916.1249389648438, 315.82342529296875], [945.8424682617188, 334.4603271484375], [901.9736938476562, 341.62835693359375], [938.7669067382812, 321.5578918457031], [901.9736938476562, 367.4333190917969], [940.1820068359375, 357.3980407714844], [921.7854614257812, 360.2652587890625], [947.257568359375, 394.67181396484375], [921.7854614257812, 400.40625], [944.4274291992188, 424.777587890625], [920.3703002929688, 439.1136474609375]]","[[1159.1875, 585.3150634765625], [1150.6435546875, 578.1061401367188], [1153.4915771484375, 579.5479125976562], [1150.6435546875, 580.9896850585938], [1173.4273681640625, 580.9896850585938], [1136.40380859375, 611.267333984375], [1179.1231689453125, 611.267333984375], [1122.1640625, 645.8703002929688], [1179.1231689453125, 642.9867553710938], [1112.1961669921875, 679.0315551757812], [1162.035400390625, 642.9867553710938], [1137.8277587890625, 677.5897827148438], [1167.7314453125, 680.4733276367188], [1132.1318359375, 720.843505859375], [1166.307373046875, 730.93603515625], [1129.283935546875, 761.213623046875], [1163.45947265625, 785.72412109375]]","[[723, 401], [1197, 401], [663, 599], [1262, 599], [520, 978], [1399, 978]]","[[604, 425], [604, 599], [1326, 599], [1326, 425]]","[926, 446]",None,None
82849,"[[927.16455078125, 300.54229736328125], [929.9783325195312, 297.6813049316406], [924.350830078125, 296.2508239746094], [935.6058349609375, 297.6813049316406], [920.130126953125, 299.1117858886719], [942.6402587890625, 313.4167175292969], [917.31640625, 316.2777099609375], [945.4540405273438, 333.4436340332031], [904.6544189453125, 343.4570617675781], [938.4196166992188, 321.99969482421875], [901.8406982421875, 367.7754211425781], [941.2333984375, 357.7619934082031], [922.9439697265625, 359.1924743652344], [946.8609008789062, 393.5242919921875], [921.5369873046875, 400.6767272949219], [942.6402587890625, 423.5645751953125], [920.130126953125, 437.8695068359375]]","[[1159.5233154296875, 584.4930419921875], [1152.3516845703125, 578.7596435546875], [1153.7860107421875, 578.7596435546875], [1152.3516845703125, 580.1929931640625], [1175.3011474609375, 583.0596923828125], [1136.5738525390625, 611.7266235351562], [1181.03857421875, 613.1599731445312], [1122.23046875, 646.126953125], [1181.03857421875, 647.560302734375], [1113.6243896484375, 679.0939331054688], [1163.826416015625, 656.160400390625], [1138.0081787109375, 679.0939331054688], [1168.1295166015625, 679.0939331054688], [1132.2708740234375, 722.0943603515625], [1166.695068359375, 732.1278076171875], [1129.402099609375, 763.6614379882812], [1163.826416015625, 785.1616821289062]]","[[723, 401], [1197, 401], [663, 599], [1262, 599], [520, 978], [1399, 978]]","[[604, 425], [604, 599], [1326, 599], [1326, 425]]","[926, 446]",None,None
82850,"[[928.2230224609375, 299.7669982910156], [931.0702514648438, 296.9062194824219], [925.3758544921875, 296.9062194824219], [936.7645874023438, 296.9062194824219], [921.1051025390625, 299.7669982910156], [942.458984375, 312.6404724121094], [918.2578735351562, 316.931640625], [948.1533203125, 334.09625244140625], [906.869140625, 344.10894775390625], [941.035400390625, 322.6531677246094], [902.5983276367188, 366.9951171875], [941.035400390625, 356.982421875], [923.9523315429688, 358.4128112792969], [945.3062133789062, 394.17242431640625], [922.5286254882812, 399.8939514160156], [941.035400390625, 424.2105407714844], [921.1051025390625, 438.514404296875]]","[[1162.55126953125, 587.4146118164062], [1152.484619140625, 578.8006591796875], [1155.3607177734375, 578.8006591796875], [1152.484619140625, 581.6719970703125], [1175.494140625, 583.107666015625], [1138.1036376953125, 611.8209838867188], [1181.24658203125, 613.256591796875], [1123.72265625, 647.7125854492188], [1189.8751220703125, 639.0985717773438], [1115.093994140625, 679.2971801757812], [1176.932373046875, 662.0692749023438], [1139.541748046875, 680.7328491210938], [1169.7418212890625, 682.1685180664062], [1132.3511962890625, 720.9314575195312], [1166.8656005859375, 733.8524780273438], [1129.4749755859375, 764.0014038085938], [1163.9893798828125, 785.5364379882812]]","[[723, 401], [1197, 401], [663, 599], [1262, 599], [520, 978], [1399, 978]]","[[604, 425], [604, 599], [1326, 599], [1326, 425]]","[926, 446]",None,None
82851,"[[928.2149047851562, 299.7323913574219], [931.0631713867188, 296.8717346191406], [925.3666381835938, 296.8717346191406], [936.759765625, 298.30206298828125], [921.09423828125, 299.7323913574219], [942.456298828125, 312.60528564453125], [918.2459716796875, 316.8962707519531], [948.1528930664062, 334.0601501464844], [906.8528442382812, 344.0724182128906], [941.0322265625, 322.6175537109375], [902.5805053710938, 366.95758056640625], [941.0322265625, 356.9453125], [923.9425659179688, 358.3756408691406], [945.3046264648438, 394.13372802734375], [922.5183715820312, 399.85504150390625], [941.0322265625, 424.1705017089844], [921.09423828125, 438.4737243652344]]","[[1162.55224609375, 587.41796875], [1152.48583984375, 578.80419921875], [1155.362060546875, 578.80419921875], [1152.48583984375, 581.6754760742188], [1175.4947509765625, 583.111083984375], [1138.1053466796875, 611.8237915039062], [1181.2469482421875, 613.2593994140625], [1123.724853515625, 647.714599609375], [1189.875244140625, 639.100830078125], [1115.096435546875, 679.298583984375], [1176.9327392578125, 662.0709838867188], [1139.5433349609375, 680.7342529296875], [1169.742431640625, 682.1697998046875], [1132.35302734375, 720.9319458007812], [1166.866455078125, 733.8526611328125], [1129.47705078125, 764.0010375976562], [1163.990234375, 785.5355224609375]]","[[723, 401], [1197, 401], [663, 599], [1262, 599], [520, 978], [1399, 978]]","[[604, 425], [604, 599], [1326, 599], [1326, 425]]","[926, 446]",None,None
82852,"[[928.982666015625, 300.0564880371094], [931.8388671875, 295.7484130859375], [924.6983032226562, 297.1844177246094], [937.55126953125, 297.1844177246094], [921.8421630859375, 298.6204833984375], [944.6917724609375, 312.9808349609375], [920.4140014648438, 315.8529052734375], [948.97607421875, 334.5213623046875], [907.5609741210938, 343.1375732421875], [940.4075317382812, 321.5970458984375], [903.2767333984375, 366.1141662597656], [941.8355712890625, 357.4979553222656], [924.6983032226562, 358.9339904785156], [944.6917724609375, 391.9627990722656], [923.2702026367188, 399.1429748535156], [941.8355712890625, 424.9916076660156], [920.4140014648438, 439.3520202636719]]","[[1162.26123046875, 586.1484375], [1153.6900634765625, 578.9400634765625], [1156.547119140625, 580.3817749023438], [1153.6900634765625, 581.8234252929688], [1176.5465087890625, 584.706787109375], [1137.9761962890625, 612.0985107421875], [1182.2606201171875, 614.9818725585938], [1125.1195068359375, 646.6986694335938], [1190.831787109375, 640.9319458007812], [1116.54833984375, 678.4154663085938], [1177.97509765625, 665.4403686523438], [1139.40478515625, 681.298828125], [1169.4039306640625, 681.298828125], [1132.26220703125, 721.6656494140625], [1166.546875, 734.6406860351562], [1129.4051513671875, 767.7991333007812], [1163.6898193359375, 786.5409545898438]]","[[723, 401], [1197, 401], [663, 599], [1262, 599], [520, 978], [1399, 978]]","[[604, 425], [604, 599], [1326, 599], [1326, 425]]","[926, 446]",None,None
82853,"[[929.366943359375, 299.1419982910156], [930.7833862304688, 296.2665100097656], [925.1176147460938, 296.2665100097656], [936.4491577148438, 297.7042541503906], [922.28466796875, 299.1419982910156], [946.3643798828125, 312.08154296875], [920.8682250976562, 316.39471435546875], [949.197265625, 333.6474609375], [909.5365600585938, 343.7115478515625], [940.698486328125, 320.7078857421875], [903.8707885742188, 365.2774658203125], [943.5314331054688, 356.6510925292969], [925.1176147460938, 359.52655029296875], [944.9478759765625, 392.59429931640625], [923.7011108398438, 396.9075012207031], [940.698486328125, 425.6620178222656], [920.8682250976562, 437.163818359375]]","[[1153.982177734375, 585.546875], [1153.982177734375, 579.809814453125], [1155.406982421875, 579.809814453125], [1153.982177734375, 582.6783447265625], [1176.77880859375, 585.546875], [1139.734375, 611.3634643554688], [1182.4779052734375, 615.6661987304688], [1125.4864501953125, 647.2197875976562], [1185.3275146484375, 655.8253173828125], [1116.937744140625, 678.7734375], [1178.2034912109375, 673.036376953125], [1139.734375, 681.6419067382812], [1169.65478515625, 683.076171875], [1131.1856689453125, 723.2352905273438], [1166.8052978515625, 734.7093505859375], [1129.7608642578125, 773.4342651367188], [1163.9556884765625, 786.3424682617188]]","[[723, 401], [1197, 401], [663, 599], [1262, 599], [520, 978], [1399, 978]]","[[604, 425], [604, 599], [1326, 599], [1326, 425]]","[926, 446]",None,None
82854,"[[929.1857299804688, 299.8178405761719], [932.0185546875, 295.5011901855469], [924.9364624023438, 296.9400634765625], [937.6842651367188, 296.9400634765625], [923.52001953125, 299.8178405761719], [947.5991821289062, 311.32891845703125], [920.6871337890625, 315.64556884765625], [950.4320068359375, 331.4732971191406], [909.3558349609375, 342.984375], [943.3499755859375, 321.4010925292969], [903.6901245117188, 366.0065002441406], [943.3499755859375, 357.3731994628906], [926.3528442382812, 358.8121032714844], [944.7664184570312, 390.4674987792969], [923.52001953125, 399.100830078125], [940.5170288085938, 425.000732421875], [920.6871337890625, 439.38958740234375]]","[[1155.3360595703125, 586.4795532226562], [1153.9176025390625, 580.721435546875], [1155.3360595703125, 580.721435546875], [1155.3360595703125, 585.0399780273438], [1176.6129150390625, 586.4795532226562], [1138.3145751953125, 612.39111328125], [1182.2867431640625, 616.7096557617188], [1125.5484619140625, 648.3793334960938], [1186.5421142578125, 654.1375122070312], [1118.4561767578125, 678.6094970703125], [1185.1236572265625, 678.6094970703125], [1139.7330322265625, 682.9281005859375], [1169.5206298828125, 684.36767578125], [1129.8038330078125, 723.2349853515625], [1166.6837158203125, 734.751220703125], [1129.8038330078125, 776.49755859375], [1163.8468017578125, 788.0138549804688]]","[[723, 401], [1197, 401], [663, 599], [1262, 599], [520, 978], [1399, 978]]","[[604, 425], [604, 599], [1326, 599], [1326, 425]]","[926, 446]",None,None
