frame,top,bottom,court,net,ball,pos,type
46186,"[[1063.0029296875, 438.798828125], [1067.2999267578125, 435.93170166015625], [1060.13818359375, 434.4981384277344], [1074.4615478515625, 438.798828125], [1054.408935546875, 435.93170166015625], [1083.055419921875, 461.73583984375], [1041.5179443359375, 457.4351501464844], [1094.51416015625, 493.2742004394531], [1017.168212890625, 478.9385681152344], [1088.7847900390625, 494.707763671875], [1025.76220703125, 491.84063720703125], [1073.0291748046875, 520.5118408203125], [1048.6795654296875, 520.5118408203125], [1074.4615478515625, 562.0851440429688], [1044.382568359375, 567.8193969726562], [1084.48779296875, 603.658447265625], [1064.4351806640625, 559.218017578125]]","[[928.8128051757812, 607.1494750976562], [931.67724609375, 604.27734375], [924.51611328125, 602.84130859375], [915.922607421875, 602.84130859375], [940.270751953125, 602.84130859375], [903.0325317382812, 628.6904907226562], [954.5930786132812, 632.9987182617188], [878.6844482421875, 658.8479614257812], [974.6444702148438, 664.5922241210938], [887.2778930664062, 632.9987182617188], [987.53466796875, 678.952880859375], [921.651611328125, 707.6742553710938], [951.7286376953125, 707.6742553710938], [910.1937255859375, 778.0415649414062], [947.431884765625, 749.3202514648438], [924.51611328125, 848.408935546875], [947.431884765625, 808.198974609375]]","[[645, 520], [1267, 520], [586, 709], [1328, 709], [502, 994], [1423, 994]]","[[516, 494], [516, 709], [1404, 709], [1404, 494]]","[949, 470]",None,None
46187,"[[1063.78662109375, 439.0624084472656], [1068.0440673828125, 436.1858825683594], [1059.5291748046875, 434.74761962890625], [1075.1397705078125, 439.0624084472656], [1053.8525390625, 436.1858825683594], [1083.6546630859375, 462.07464599609375], [1041.080322265625, 457.7598876953125], [1093.5887451171875, 492.27825927734375], [1016.9547729492188, 477.8955993652344], [1079.397216796875, 503.78436279296875], [1025.4696044921875, 492.27825927734375], [1073.720703125, 519.6052856445312], [1049.5950927734375, 519.6052856445312], [1072.301513671875, 562.7532348632812], [1045.3377685546875, 568.5062866210938], [1083.6546630859375, 601.58642578125], [1063.78662109375, 559.876708984375]]","[[928.3721313476562, 606.74169921875], [932.650390625, 603.8624267578125], [924.0938720703125, 602.4228515625], [915.5372924804688, 600.9832763671875], [939.78076171875, 602.4228515625], [902.7025146484375, 628.3358154296875], [954.0416870117188, 634.0941772460938], [878.4590454101562, 660.0071411132812], [971.15478515625, 660.0071411132812], [888.441650390625, 634.0941772460938], [988.267822265625, 680.16162109375], [922.6677856445312, 708.9537353515625], [951.1895751953125, 707.51416015625], [911.259033203125, 778.0548706054688], [948.3373413085938, 749.2626953125], [924.0938720703125, 848.5955200195312], [946.9113159179688, 808.2865600585938]]","[[645, 520], [1267, 520], [586, 709], [1328, 709], [502, 994], [1423, 994]]","[[516, 494], [516, 709], [1404, 709], [1404, 494]]","[950, 470]",None,None
46188,"[[1062.42529296875, 439.2388916015625], [1066.7176513671875, 436.36761474609375], [1058.1329345703125, 434.9320373535156], [1072.44091796875, 439.2388916015625], [1052.4097900390625, 436.36761474609375], [1079.5948486328125, 462.2086486816406], [1039.5325927734375, 457.90179443359375], [1093.90283203125, 492.3564453125], [1016.639892578125, 478.0003662109375], [1076.7332763671875, 502.4057312011719], [1023.7938232421875, 492.3564453125], [1069.5792236328125, 523.9398803710938], [1042.3941650390625, 523.9398803710938], [1072.44091796875, 564.136962890625], [1038.101806640625, 569.87939453125], [1083.88720703125, 601.4628295898438], [1060.9945068359375, 568.4437866210938]]","[[926.1929321289062, 609.8909301757812], [930.4961547851562, 605.5802001953125], [923.3241577148438, 604.1432495117188], [914.7177124023438, 605.5802001953125], [937.6681518554688, 607.01708984375], [901.8081665039062, 632.8814697265625], [954.8809814453125, 637.1922607421875], [881.7265014648438, 668.8043212890625], [972.09375, 668.8043212890625], [884.5953369140625, 658.7459106445312], [983.5690307617188, 688.9210815429688], [921.8897705078125, 709.037841796875], [952.0121459960938, 706.1640625], [908.9801635742188, 780.883544921875], [947.7089233398438, 744.960693359375], [923.3241577148438, 849.8552856445312], [950.5777587890625, 812.4955444335938]]","[[645, 520], [1267, 520], [586, 709], [1328, 709], [502, 994], [1423, 994]]","[[516, 494], [516, 709], [1404, 709], [1404, 494]]","[954, 467]",None,None
46189,"[[1058.7923583984375, 439.9495544433594], [1063.0546875, 435.6524353027344], [1055.95068359375, 435.6524353027344], [1068.738037109375, 439.9495544433594], [1048.8466796875, 438.5171813964844], [1075.842041015625, 464.2998046875], [1036.0594482421875, 458.5703125], [1092.8917236328125, 491.51483154296875], [1013.3265380859375, 477.1911315917969], [1085.7877197265625, 488.65008544921875], [1020.4306030273438, 494.3795166015625], [1064.4755859375, 523.0269165039062], [1037.480224609375, 523.0269165039062], [1073.0003662109375, 565.9979248046875], [1027.5345458984375, 568.8626708984375], [1082.946044921875, 601.80712890625], [1050.2674560546875, 573.1597900390625]]","[[927.25537109375, 612.645263671875], [914.367431640625, 605.4484252929688], [922.9593505859375, 605.4484252929688], [915.7994384765625, 606.8878173828125], [938.711181640625, 608.3272094726562], [902.9115600585938, 637.1145629882812], [953.0310668945312, 637.1145629882812], [884.2958374023438, 675.9774169921875], [973.078857421875, 675.9774169921875], [882.86376953125, 657.265625], [983.1027221679688, 696.1285400390625], [922.9593505859375, 709.0828247070312], [953.0310668945312, 709.0828247070312], [907.20751953125, 781.0511474609375], [947.3031005859375, 745.0670166015625], [921.5274047851562, 847.2620239257812], [954.4630126953125, 814.1566162109375]]","[[645, 520], [1267, 520], [586, 709], [1328, 709], [502, 994], [1423, 994]]","[[516, 494], [516, 709], [1404, 709], [1404, 494]]","[956, 467]",None,None
46190,"[[1053.1370849609375, 441.22979736328125], [1057.436279296875, 436.9092102050781], [1050.2708740234375, 435.4690246582031], [1064.6016845703125, 439.7895812988281], [1044.5384521484375, 438.34942626953125], [1071.76708984375, 464.27288818359375], [1031.6407470703125, 458.5120849609375], [1088.9642333984375, 490.1963195800781], [1011.5775146484375, 475.7944030761719], [1070.3341064453125, 503.1580505371094], [1018.742919921875, 500.27764892578125], [1060.302490234375, 526.2011108398438], [1033.0738525390625, 524.7608642578125], [1071.76708984375, 563.6460571289062], [1018.742919921875, 565.0862426757812], [1083.2318115234375, 602.53125], [1034.5068359375, 582.3685913085938]]","[[928.45068359375, 611.4365844726562], [932.7452392578125, 604.236572265625], [922.7246704101562, 604.236572265625], [915.5671997070312, 608.5565795898438], [938.4712524414062, 608.5565795898438], [904.1151733398438, 638.7968139648438], [952.7863159179688, 638.7968139648438], [886.9370727539062, 680.5570678710938], [975.6903686523438, 679.1170654296875], [881.2110595703125, 670.4769897460938], [982.8478393554688, 700.7172241210938], [922.7246704101562, 710.7973022460938], [952.7863159179688, 709.3572998046875], [905.546630859375, 782.7977905273438], [947.060302734375, 746.797607421875], [922.7246704101562, 847.5982055664062], [958.5123291015625, 811.5980224609375]]","[[645, 520], [1267, 520], [586, 709], [1328, 709], [502, 994], [1423, 994]]","[[516, 494], [516, 709], [1404, 709], [1404, 494]]","[960, 470]",None,None
46191,"[[1048.479248046875, 441.1802978515625], [1052.7431640625, 436.8548889160156], [1045.6365966796875, 435.4130859375], [1058.4283447265625, 439.7384948730469], [1039.951416015625, 438.2967224121094], [1066.9561767578125, 462.8074035644531], [1027.15966796875, 458.48199462890625], [1085.43310546875, 487.3180847167969], [1007.261474609375, 474.3418273925781], [1082.590576171875, 487.3180847167969], [1010.10400390625, 495.9689025878906], [1055.5858154296875, 521.92138671875], [1025.7384033203125, 521.92138671875], [1069.798828125, 563.7337646484375], [1010.10400390625, 556.5247192382812], [1082.590576171875, 601.220703125], [1018.6318969726562, 592.5698852539062]]","[[926.9493408203125, 612.6088256835938], [914.0677490234375, 606.8687744140625], [921.22412109375, 603.998779296875], [914.0677490234375, 608.3037719726562], [938.3995971679688, 608.3037719726562], [905.4800415039062, 638.4389038085938], [954.143798828125, 638.4389038085938], [892.5984497070312, 682.9241943359375], [974.1817626953125, 678.619140625], [878.2855834960938, 680.0541381835938], [982.76953125, 703.0142822265625], [925.5180053710938, 714.494384765625], [955.5750122070312, 708.7543334960938], [908.342529296875, 783.374755859375], [945.5560302734375, 750.3695678710938], [922.6553955078125, 847.9500732421875], [964.1627197265625, 810.639892578125]]","[[645, 520], [1267, 520], [586, 709], [1328, 709], [502, 994], [1423, 994]]","[[516, 494], [516, 709], [1404, 709], [1404, 494]]","[962, 474]",None,None
46192,"[[1041.7193603515625, 438.7718505859375], [1045.9913330078125, 434.4689025878906], [1038.871337890625, 434.4689025878906], [1053.111328125, 438.7718505859375], [1033.17529296875, 435.9031982421875], [1060.2313232421875, 461.7210998535156], [1020.3593139648438, 457.4181213378906], [1081.5914306640625, 484.6703186035156], [1000.4232788085938, 471.7613830566406], [1078.743408203125, 486.1046142578125], [1001.8472900390625, 497.5792236328125], [1047.4154052734375, 524.8314819335938], [1017.5112915039062, 521.9628295898438], [1067.3514404296875, 563.5582275390625], [1001.8472900390625, 553.5179443359375], [1083.015380859375, 602.2850952148438], [1001.8472900390625, 603.7193603515625]]","[[925.9341430664062, 609.3257446289062], [913.0110473632812, 602.1299438476562], [921.6264038085938, 603.569091796875], [914.4468994140625, 605.0082397460938], [937.4212036132812, 605.0082397460938], [905.8316040039062, 635.2305297851562], [953.2159423828125, 635.2305297851562], [897.21630859375, 678.4051513671875], [976.1902465820312, 675.52685546875], [875.6779174804688, 679.8442993164062], [981.933837890625, 702.8707885742188], [927.3699951171875, 715.8231811523438], [956.0877685546875, 714.384033203125], [913.0110473632812, 782.0242919921875], [946.0365600585938, 758.997802734375], [924.4981689453125, 849.66455078125], [966.1390380859375, 816.5640869140625]]","[[645, 520], [1267, 520], [586, 709], [1328, 709], [502, 994], [1423, 994]]","[[516, 494], [516, 709], [1404, 709], [1404, 494]]","[965, 478]",None,None
46193,"[[1041.72216796875, 438.7731018066406], [1045.9942626953125, 434.4700012207031], [1038.8740234375, 434.4700012207031], [1053.114501953125, 438.7731018066406], [1033.1778564453125, 435.9043884277344], [1060.2347412109375, 461.722900390625], [1020.361328125, 457.4197998046875], [1081.5955810546875, 484.6726379394531], [1000.424560546875, 471.7633972167969], [1078.7474365234375, 486.10699462890625], [1001.8485717773438, 497.5819091796875], [1047.4183349609375, 524.8347778320312], [1017.51318359375, 521.966064453125], [1067.3551025390625, 563.5625610351562], [1001.8485717773438, 553.52197265625], [1083.0196533203125, 602.290283203125], [1001.8485717773438, 603.724609375]]","[[925.9298095703125, 609.326171875], [913.0066528320312, 602.1306762695312], [921.6220703125, 603.5697021484375], [914.4425048828125, 605.0088500976562], [937.4171142578125, 605.0088500976562], [905.8270874023438, 635.2299194335938], [953.2120971679688, 635.2299194335938], [897.211669921875, 678.40283203125], [976.1865234375, 675.5245971679688], [875.673095703125, 679.8418579101562], [981.9301147460938, 702.867431640625], [927.3656616210938, 715.8193359375], [956.0838012695312, 714.3801879882812], [913.0066528320312, 782.0177612304688], [946.0325317382812, 758.9922485351562], [924.4939575195312, 849.6553344726562], [966.13525390625, 816.55615234375]]","[[645, 520], [1267, 520], [586, 709], [1328, 709], [502, 994], [1423, 994]]","[[516, 494], [516, 709], [1404, 709], [1404, 494]]","[969, 482]",None,None
46194,"[[1035.587646484375, 435.80145263671875], [1039.90185546875, 432.9317321777344], [1032.7113037109375, 431.4968566894531], [1045.6544189453125, 435.80145263671875], [1026.9588623046875, 434.3665771484375], [1052.844970703125, 461.629150390625], [1012.57763671875, 454.4548034667969], [1080.1693115234375, 488.8917541503906], [992.4439697265625, 468.80352783203125], [1077.2930908203125, 487.45684814453125], [993.8820190429688, 491.7615051269531], [1039.90185546875, 521.893798828125], [1009.7013549804688, 519.0241088867188], [1061.4737548828125, 560.6353759765625], [992.4439697265625, 553.4609985351562], [1081.607421875, 600.8118286132812], [985.2532958984375, 606.55126953125]]","[[911.6609497070312, 600.0242919921875], [911.6609497070312, 595.7120361328125], [914.5133666992188, 595.7120361328125], [913.087158203125, 600.0242919921875], [935.9065551757812, 600.0242919921875], [908.80859375, 628.7726440429688], [953.0210571289062, 627.335205078125], [900.2513427734375, 673.3325805664062], [975.84033203125, 670.457763671875], [874.57958984375, 676.2074584960938], [981.5452270507812, 702.0809936523438], [931.6279296875, 712.1428833007812], [958.7258911132812, 704.955810546875], [918.7919921875, 779.7014770507812], [945.8900146484375, 761.01513671875], [924.496826171875, 847.2601928710938], [965.8568725585938, 818.5117797851562]]","[[645, 520], [1267, 520], [586, 709], [1328, 709], [502, 994], [1423, 994]]","[[516, 494], [516, 709], [1404, 709], [1404, 494]]","[973, 480]",None,None
46195,"[[1029.1549072265625, 435.07183837890625], [1033.4405517578125, 432.18939208984375], [1024.869384765625, 430.7481689453125], [1039.15478515625, 435.07183837890625], [1019.1551513671875, 433.630615234375], [1046.2974853515625, 461.0138244628906], [1003.4412231445312, 456.6901550292969], [1062.011474609375, 481.19085693359375], [984.8701171875, 463.896240234375], [1074.868408203125, 491.2794494628906], [986.2987060546875, 489.8382263183594], [1030.58349609375, 521.5450439453125], [1000.5841064453125, 521.5450439453125], [1053.440185546875, 556.1343383789062], [986.2987060546875, 556.1343383789062], [1077.7254638671875, 597.9298095703125], [969.1561889648438, 605.1358642578125]]","[[908.4956665039062, 594.4280395507812], [909.9223022460938, 591.5465087890625], [935.6007080078125, 590.105712890625], [911.348876953125, 592.9872436523438], [935.6007080078125, 592.9872436523438], [907.0691528320312, 621.802978515625], [949.8665771484375, 623.2437133789062], [899.936279296875, 667.9080200195312], [974.118408203125, 663.585693359375], [877.1109619140625, 670.7896118164062], [981.2512817382812, 701.0460205078125], [937.0272827148438, 703.9276123046875], [961.2791748046875, 696.7236938476562], [924.1881103515625, 771.6444702148438], [945.5867919921875, 752.914306640625], [927.041259765625, 846.565185546875], [969.838623046875, 819.1903076171875]]","[[645, 520], [1267, 520], [586, 709], [1328, 709], [502, 994], [1423, 994]]","[[516, 494], [516, 709], [1404, 709], [1404, 494]]","[978, 479]",None,None
