frame,top,bottom,court,net,ball,pos,type
15512,"[[959.8178100585938, 330.9265441894531], [962.6697998046875, 326.6277160644531], [958.3919067382812, 328.0606689453125], [969.7998046875, 326.6277160644531], [968.373779296875, 325.1947326660156], [976.9296875, 340.9571838378906], [976.9296875, 339.52423095703125], [982.6336059570312, 349.5549011230469], [952.6879272460938, 335.2253723144531], [942.7060546875, 325.1947326660156], [938.4281005859375, 322.328857421875], [992.615478515625, 388.2445068359375], [986.91162109375, 389.6774597167969], [991.1895141601562, 435.53179931640625], [985.485595703125, 431.2329406738281], [992.615478515625, 475.6543273925781], [988.3375854492188, 467.0566711425781]]","[[832.1943359375, 590.3263549804688], [830.761962890625, 586.0043334960938], [830.761962890625, 584.5636596679688], [809.2766723632812, 586.0043334960938], [830.761962890625, 586.0043334960938], [797.81787109375, 610.4956665039062], [823.6001586914062, 610.4956665039062], [803.5471801757812, 643.6309814453125], [847.9501953125, 633.5463256835938], [820.7354125976562, 653.7156372070312], [853.6796264648438, 629.2243041992188], [793.520751953125, 683.9696655273438], [815.006103515625, 688.2916870117188], [812.141357421875, 734.3930053710938], [815.006103515625, 747.3590087890625], [815.006103515625, 774.731689453125], [796.385498046875, 802.1043701171875]]","[[724, 395], [1198, 395], [664, 598], [1263, 598], [520, 985], [1399, 985]]","[[602, 424], [602, 598], [1322, 598], [1322, 424]]","[932, 313]",None,None
15513,"[[959.7694702148438, 335.5910949707031], [962.6248779296875, 331.2668762207031], [956.9140014648438, 332.7082824707031], [969.7634887695312, 331.2668762207031], [971.191162109375, 331.2668762207031], [978.3296508789062, 344.23956298828125], [976.9019775390625, 341.35675048828125], [982.6128540039062, 351.44659423828125], [962.6248779296875, 341.35675048828125], [948.3477783203125, 335.5910949707031], [941.2091674804688, 331.2668762207031], [995.4622802734375, 391.8060302734375], [986.89599609375, 391.8060302734375], [992.6068725585938, 436.48968505859375], [985.46826171875, 433.6068420410156], [994.0345458984375, 475.4076843261719], [988.3236694335938, 466.7592468261719]]","[[831.72607421875, 588.8577880859375], [831.72607421875, 583.1123657226562], [830.3006591796875, 584.5487670898438], [808.9192504882812, 587.42138671875], [828.875244140625, 587.42138671875], [797.515869140625, 610.403076171875], [824.5989379882812, 611.8394165039062], [800.36669921875, 642.0028076171875], [847.40576171875, 634.821044921875], [827.4498291015625, 607.5303344726562], [855.9583129882812, 627.6392822265625], [793.2395629882812, 685.0933837890625], [814.6209106445312, 687.9660034179688], [811.7700805664062, 736.802001953125], [817.4718627929688, 745.4201049804688], [814.6209106445312, 772.7108154296875], [797.515869140625, 801.4378662109375]]","[[724, 395], [1198, 395], [664, 598], [1263, 598], [520, 985], [1399, 985]]","[[602, 424], [602, 598], [1322, 598], [1322, 424]]","[930, 319]",None,None
15514,"[[952.5193481445312, 338.0224914550781], [955.3634033203125, 333.7129211425781], [953.94140625, 335.1494445800781], [966.7396240234375, 330.8398742675781], [966.7396240234375, 330.8398742675781], [976.6939086914062, 346.64166259765625], [973.849853515625, 349.5146789550781], [980.9600219726562, 350.95123291015625], [936.8770141601562, 340.8955383300781], [963.8955688476562, 343.7685852050781], [943.9871215820312, 340.8955383300781], [996.602294921875, 392.61041259765625], [988.0701293945312, 394.0469665527344], [995.1802978515625, 434.2696533203125], [985.22607421875, 428.5235595703125], [993.7582397460938, 477.3653259277344], [988.0701293945312, 464.4366149902344]]","[[830.7738037109375, 588.4019165039062], [827.919677734375, 585.5260009765625], [829.3467407226562, 585.5260009765625], [807.9403076171875, 585.5260009765625], [829.3467407226562, 585.5260009765625], [796.5234375, 609.97119140625], [823.6383056640625, 609.97119140625], [799.377685546875, 643.0440673828125], [847.8990478515625, 632.9784545898438], [827.919677734375, 608.5332641601562], [855.0345458984375, 627.2266235351562], [792.2421875, 684.7446899414062], [813.6486206054688, 686.1826171875], [810.79443359375, 735.0730590820312], [820.7841186523438, 740.8248291015625], [812.2215576171875, 769.5839233398438], [797.9505004882812, 801.2188110351562]]","[[724, 395], [1198, 395], [664, 598], [1263, 598], [520, 985], [1399, 985]]","[[602, 424], [602, 598], [1322, 598], [1322, 424]]","[926, 327]",None,None
15515,"[[955.5509033203125, 342.7137756347656], [958.41552734375, 339.853759765625], [955.5509033203125, 341.28375244140625], [965.5769653320312, 336.9937438964844], [967.00927734375, 334.1336975097656], [974.1707153320312, 349.86383056640625], [972.7384643554688, 352.7238464355469], [982.764404296875, 352.7238464355469], [958.41552734375, 352.7238464355469], [967.00927734375, 347.0038146972656], [944.0926513671875, 352.7238464355469], [998.5195922851562, 391.33416748046875], [988.4935913085938, 392.76416015625], [995.655029296875, 432.8044738769531], [982.764404296875, 428.5144348144531], [994.2227172851562, 475.7048034667969], [988.4935913085938, 465.6947326660156]]","[[830.601806640625, 588.7440185546875], [826.3007202148438, 587.3036499023438], [829.1680908203125, 584.4229736328125], [806.22900390625, 587.3036499023438], [827.7344360351562, 587.3036499023438], [796.193115234375, 610.34912109375], [821.9996337890625, 610.34912109375], [800.4942016601562, 642.03662109375], [847.8062133789062, 633.3945922851562], [823.4332885742188, 610.34912109375], [856.4083251953125, 624.7525024414062], [793.32568359375, 685.246826171875], [813.3974609375, 686.6871337890625], [811.9638061523438, 731.337646484375], [823.4332885742188, 738.5393676757812], [811.9638061523438, 765.9058227539062], [797.6268310546875, 800.4739990234375]]","[[724, 395], [1198, 395], [664, 598], [1263, 598], [520, 985], [1399, 985]]","[[602, 424], [602, 598], [1322, 598], [1322, 424]]","[922, 336]",None,None
15516,"[[953.7775268554688, 345.01434326171875], [956.6220092773438, 342.1399230957031], [953.7775268554688, 342.1399230957031], [963.7332153320312, 340.7027282714844], [963.7332153320312, 339.2655029296875], [973.6887817382812, 353.6375427246094], [975.1110229492188, 349.325927734375], [955.1997680664062, 372.32122802734375], [955.1997680664062, 375.19561767578125], [952.3553466796875, 355.07476806640625], [953.7775268554688, 353.6375427246094], [1000.7110595703125, 395.31646728515625], [990.7554931640625, 396.7536926269531], [996.4443969726562, 434.12103271484375], [982.22216796875, 429.80938720703125], [995.0222778320312, 474.3627624511719], [987.9110717773438, 464.30230712890625]]","[[829.5161743164062, 590.3436889648438], [826.6373901367188, 586.0284423828125], [828.0767822265625, 586.0284423828125], [806.4861450195312, 586.0284423828125], [828.0767822265625, 586.0284423828125], [796.4105224609375, 610.4815063476562], [822.3192749023438, 611.9198608398438], [797.8499145507812, 643.5650634765625], [846.78857421875, 634.9345703125], [823.7586669921875, 609.0430908203125], [856.8641967773438, 624.8656616210938], [792.0924682617188, 685.279052734375], [812.2435913085938, 685.279052734375], [810.8043212890625, 732.7467651367188], [823.7586669921875, 741.3772583007812], [812.2435913085938, 768.7071533203125], [799.2892456054688, 798.9138793945312]]","[[724, 395], [1198, 395], [664, 598], [1263, 598], [520, 985], [1399, 985]]","[[602, 424], [602, 598], [1322, 598], [1322, 424]]","[919, 344]",None,None
15517,"[[953.6549072265625, 344.5804443359375], [956.501708984375, 341.7196350097656], [953.6549072265625, 341.7196350097656], [963.6187133789062, 340.28924560546875], [965.0421142578125, 338.85882568359375], [973.5825805664062, 353.1628723144531], [975.0059814453125, 350.30206298828125], [955.0783081054688, 371.7581481933594], [955.0783081054688, 374.6189270019531], [952.2313842773438, 356.023681640625], [953.6549072265625, 353.1628723144531], [1000.6273193359375, 396.07501220703125], [990.6634521484375, 396.07501220703125], [996.3570556640625, 434.6958923339844], [982.123046875, 430.4046936035156], [994.9336547851562, 474.7472229003906], [987.8165893554688, 464.7344055175781]]","[[830.6356201171875, 587.76318359375], [827.7783203125, 584.8929443359375], [827.7783203125, 583.4578247070312], [806.3480224609375, 587.76318359375], [827.7783203125, 587.76318359375], [794.9185791015625, 610.7249755859375], [822.0635375976562, 610.7249755859375], [797.7759399414062, 643.7324829101562], [846.3511352539062, 635.121826171875], [823.4921875, 610.7249755859375], [854.92333984375, 625.0760498046875], [792.0611572265625, 685.3507080078125], [813.491455078125, 686.7858276367188], [812.062744140625, 731.2742309570312], [823.4921875, 739.8849487304688], [812.062744140625, 765.7168579101562], [797.7759399414062, 800.1595458984375]]","[[724, 395], [1198, 395], [664, 598], [1263, 598], [520, 985], [1399, 985]]","[[602, 424], [602, 598], [1322, 598], [1322, 424]]","[915, 353]",None,None
15518,"[[954.856201171875, 346.8700256347656], [956.2822265625, 343.99639892578125], [954.856201171875, 346.8700256347656], [964.8383178710938, 341.1227722167969], [964.8383178710938, 339.68597412109375], [974.820556640625, 351.1804504394531], [971.968505859375, 355.49090576171875], [984.8026733398438, 361.2381286621094], [971.968505859375, 372.7326354980469], [974.820556640625, 374.1694030761719], [960.5603637695312, 378.4798583984375], [1000.4889526367188, 391.4111328125], [990.5067138671875, 392.8479309082031], [996.2108154296875, 428.7682189941406], [979.0985717773438, 430.2050476074219], [994.7847900390625, 473.309326171875], [987.6547241210938, 461.8148498535156]]","[[827.6973876953125, 591.74169921875], [827.6973876953125, 585.9754028320312], [827.6973876953125, 585.9754028320312], [803.6143798828125, 587.4169921875], [826.2807006835938, 587.4169921875], [793.6978149414062, 613.3653564453125], [822.0308227539062, 613.3653564453125], [797.9478149414062, 646.5216674804688], [844.6971435546875, 637.8721923828125], [824.8640747070312, 609.0406494140625], [854.6137084960938, 626.339599609375], [792.2811889648438, 685.4442749023438], [812.1142578125, 686.8858642578125], [810.6975708007812, 733.016357421875], [824.8640747070312, 738.78271484375], [812.1142578125, 766.1727294921875], [799.3643798828125, 797.887451171875]]","[[724, 395], [1198, 395], [664, 598], [1263, 598], [520, 985], [1399, 985]]","[[602, 424], [602, 598], [1322, 598], [1322, 424]]","[912, 361]",None,None
15519,"[[962.5789794921875, 348.9439697265625], [962.5789794921875, 343.17828369140625], [962.5789794921875, 343.17828369140625], [965.4278564453125, 341.7368469238281], [968.2767944335938, 340.2954406738281], [978.2481079101562, 350.3853759765625], [971.1257934570312, 356.15106201171875], [995.3416137695312, 357.59246826171875], [973.9746704101562, 380.6551818847656], [992.4927368164062, 369.12384033203125], [982.5215454101562, 377.7723388671875], [1001.03955078125, 390.7451171875], [988.2192993164062, 395.06939697265625], [999.6150512695312, 429.6634826660156], [978.2481079101562, 429.6634826660156], [995.3416137695312, 474.3475036621094], [985.3704223632812, 461.3747253417969]]","[[827.5450439453125, 589.8702392578125], [824.667236328125, 588.4324340820312], [826.1060791015625, 586.9945678710938], [803.0839233398438, 588.4324340820312], [826.1060791015625, 588.4324340820312], [793.0116577148438, 612.8755493164062], [821.7894287109375, 612.8755493164062], [795.889404296875, 644.5078125], [841.9338989257812, 640.1943359375], [823.2283935546875, 609.9998779296875], [853.445068359375, 625.8160400390625], [793.0116577148438, 687.6427612304688], [813.1561279296875, 689.0806274414062], [808.8394775390625, 733.6533813476562], [827.5450439453125, 739.4046630859375], [813.1561279296875, 766.7234497070312], [800.2060546875, 798.3558349609375]]","[[724, 395], [1198, 395], [664, 598], [1263, 598], [520, 985], [1399, 985]]","[[602, 424], [602, 598], [1322, 598], [1322, 424]]","[908, 370]",None,None
15520,"[[956.9188842773438, 346.2554016113281], [958.3359985351562, 341.9658508300781], [955.5018310546875, 344.8255615234375], [965.4212646484375, 339.10614013671875], [958.3359985351562, 346.2554016113281], [982.426025390625, 346.2554016113281], [968.2554321289062, 360.553955078125], [1003.6820068359375, 356.264404296875], [969.6724853515625, 389.1510314941406], [999.4307861328125, 369.133056640625], [968.2554321289062, 390.58087158203125], [1002.2649536132812, 387.7211608886719], [986.67724609375, 393.4405822753906], [1000.847900390625, 432.0466613769531], [976.7578125, 430.6167907714844], [993.7625732421875, 476.3720703125], [985.2601928710938, 462.07354736328125]]","[[825.6085205078125, 593.9345092773438], [824.1847534179688, 589.6276245117188], [824.1847534179688, 588.1920776367188], [801.4046020507812, 589.6276245117188], [824.1847534179688, 589.6276245117188], [792.8619384765625, 612.5975952148438], [821.3372192382812, 616.9044799804688], [797.13330078125, 647.0525512695312], [841.2698974609375, 642.7456665039062], [819.9134521484375, 616.9044799804688], [851.2362670898438, 631.2606811523438], [791.438232421875, 688.685546875], [812.7946166992188, 688.685546875], [809.9471435546875, 734.6254272460938], [828.4559936523438, 740.367919921875], [812.7946166992188, 769.080322265625], [799.9807739257812, 796.357177734375]]","[[724, 395], [1198, 395], [664, 598], [1263, 598], [520, 985], [1399, 985]]","[[602, 424], [602, 598], [1322, 598], [1322, 424]]","[905, 379]",None,None
15521,"[[959.9275512695312, 345.1856384277344], [961.3631591796875, 340.8891296386719], [958.491943359375, 343.75347900390625], [968.5413208007812, 338.0247802734375], [959.9275512695312, 345.1856384277344], [985.7688598632812, 345.1856384277344], [967.105712890625, 363.8039245605469], [1007.30322265625, 356.6430358886719], [964.234375, 385.28656005859375], [1001.5606689453125, 368.1004638671875], [952.7493896484375, 396.74395751953125], [1001.5606689453125, 402.47265625], [984.3331298828125, 402.47265625], [998.689453125, 442.5735778808594], [977.1550903320312, 435.4126892089844], [992.9468994140625, 476.94580078125], [984.3331298828125, 461.1918640136719]]","[[824.8956298828125, 594.7003784179688], [823.46484375, 590.3870849609375], [824.8956298828125, 588.9493408203125], [800.57177734375, 590.3870849609375], [823.46484375, 590.3870849609375], [791.9869384765625, 613.3911743164062], [820.6032104492188, 617.7044067382812], [797.7101440429688, 649.3350219726562], [837.7730102539062, 646.45947265625], [816.310791015625, 659.3992919921875], [849.219482421875, 634.9574584960938], [790.5560913085938, 689.5921630859375], [812.018310546875, 691.0299072265625], [809.15673828125, 735.6002807617188], [829.1880493164062, 742.7890014648438], [813.4491577148438, 772.9818725585938], [800.57177734375, 795.9859619140625]]","[[724, 395], [1198, 395], [664, 598], [1263, 598], [520, 985], [1399, 985]]","[[602, 424], [602, 598], [1322, 598], [1322, 424]]","[904, 390]",None,None
