frame,top,bottom,court,net,ball,pos,type
51541,"[[939.0931396484375, 326.06085205078125], [940.5245361328125, 321.7371520996094], [936.2303466796875, 324.6195983886719], [946.25, 323.1783752441406], [931.936279296875, 326.06085205078125], [956.2695922851562, 331.8257751464844], [930.5048828125, 339.03192138671875], [976.308837890625, 339.03192138671875], [926.2107543945312, 353.4442443847656], [967.7205810546875, 359.20916748046875], [926.2107543945312, 369.29779052734375], [959.1323852539062, 367.8565673828125], [943.38720703125, 369.29779052734375], [957.7009887695312, 405.3285827636719], [943.38720703125, 402.44610595703125], [954.8381958007812, 437.0356750488281], [944.818603515625, 412.5347595214844]]","[[1074.4228515625, 551.1075439453125], [1078.662353515625, 551.1075439453125], [1085.7283935546875, 559.7470703125], [1063.1173095703125, 562.6268310546875], [1085.7283935546875, 562.6268310546875], [1054.63818359375, 584.2255859375], [1094.20751953125, 587.1054077148438], [1056.0513916015625, 608.7041625976562], [1118.2318115234375, 608.7041625976562], [1105.5130615234375, 592.8651123046875], [1115.4053955078125, 591.4251708984375], [1064.530517578125, 649.0218505859375], [1088.5548095703125, 651.9016723632812], [1068.7701416015625, 687.8995971679688], [1089.9678955078125, 693.6592407226562], [1070.183349609375, 723.8974609375], [1087.1416015625, 739.7365112304688]]","[[759, 361], [1168, 361], [697, 561], [1228, 561], [540, 984], [1382, 984]]","[[638, 399], [638, 561], [1282, 561], [1282, 399]]","[930, 377]",None,None
51542,"[[940.1292114257812, 325.8143615722656], [941.5648193359375, 321.50201416015625], [935.8223266601562, 322.9394836425781], [945.8716430664062, 321.50201416015625], [932.9511108398438, 325.8143615722656], [957.3565673828125, 333.0016174316406], [931.5155029296875, 337.3139953613281], [976.01953125, 341.6263427734375], [927.2086791992188, 350.25103759765625], [968.8414306640625, 360.313232421875], [927.2086791992188, 366.0630187988281], [960.227783203125, 361.75067138671875], [944.43603515625, 363.1881103515625], [957.3565673828125, 401.99932861328125], [941.5648193359375, 400.5618896484375], [955.9209594726562, 437.9356689453125], [945.8716430664062, 412.0614929199219]]","[[1073.73388671875, 550.4513549804688], [1079.48291015625, 550.4513549804688], [1086.66943359375, 559.069580078125], [1063.6728515625, 561.9423828125], [1085.2320556640625, 563.3787231445312], [1055.0491943359375, 584.9242553710938], [1093.855712890625, 587.7969970703125], [1056.4864501953125, 607.9061279296875], [1118.28955078125, 607.9061279296875], [1105.35400390625, 592.1060791015625], [1115.4149169921875, 592.1060791015625], [1065.110107421875, 650.9972534179688], [1088.1065673828125, 650.9972534179688], [1069.4219970703125, 688.3427734375], [1090.981201171875, 694.0882568359375], [1069.4219970703125, 724.2520141601562], [1086.66943359375, 740.0520629882812]]","[[759, 361], [1168, 361], [697, 561], [1228, 561], [540, 984], [1382, 984]]","[[638, 399], [638, 561], [1282, 561], [1282, 399]]","[931, 375]",None,None
51543,"[[940.1129150390625, 325.68560791015625], [941.54833984375, 321.37078857421875], [935.806640625, 322.80908203125], [945.8546142578125, 321.37078857421875], [932.9357299804688, 325.68560791015625], [957.3380737304688, 332.876953125], [931.5003051757812, 337.1917419433594], [975.9985961914062, 341.5065612792969], [927.194091796875, 351.574462890625], [968.8214721679688, 360.2040710449219], [927.194091796875, 365.9571228027344], [960.2088623046875, 361.642333984375], [944.4191284179688, 363.0805969238281], [957.3380737304688, 401.9138488769531], [941.54833984375, 400.4755859375], [955.9026489257812, 437.8705749511719], [945.8546142578125, 411.98175048828125]]","[[1074.6383056640625, 551.7752685546875], [1078.8814697265625, 550.3370361328125], [1085.953369140625, 558.9666748046875], [1063.3231201171875, 561.8432006835938], [1084.5389404296875, 563.2815551757812], [1054.8367919921875, 584.855712890625], [1094.4398193359375, 587.7322387695312], [1056.251220703125, 607.8681640625], [1118.4844970703125, 607.8681640625], [1105.7550048828125, 592.047119140625], [1115.65576171875, 592.047119140625], [1064.7374267578125, 651.0164794921875], [1088.7822265625, 651.0164794921875], [1068.980712890625, 688.4118041992188], [1090.1966552734375, 694.1648559570312], [1070.3951416015625, 724.3687744140625], [1087.3677978515625, 740.1897583007812]]","[[759, 361], [1168, 361], [697, 561], [1228, 561], [540, 984], [1382, 984]]","[[638, 399], [638, 561], [1282, 561], [1282, 399]]","[933, 374]",None,None
51544,"[[940.0208129882812, 323.2813720703125], [941.4345092773438, 318.9933166503906], [935.7797241210938, 320.4226989746094], [947.0892944335938, 318.9933166503906], [932.9522705078125, 323.2813720703125], [956.9852294921875, 331.85748291015625], [931.5386352539062, 336.1455383300781], [971.1221313476562, 340.4335632324219], [927.2974853515625, 346.1509704589844], [978.190673828125, 354.7270812988281], [925.8838500976562, 354.7270812988281], [958.39892578125, 369.02056884765625], [944.2619018554688, 369.02056884765625], [956.9852294921875, 404.7542724609375], [942.84814453125, 403.324951171875], [955.5714721679688, 437.6293029785156], [945.6755981445312, 413.33038330078125]]","[[1074.1146240234375, 550.3878173828125], [1079.8079833984375, 550.3878173828125], [1086.924560546875, 559.0223388671875], [1064.1514892578125, 561.9005126953125], [1085.5013427734375, 563.339599609375], [1055.6114501953125, 583.48681640625], [1094.041259765625, 586.364990234375], [1055.6114501953125, 607.9512329101562], [1118.23779296875, 607.9512329101562], [1105.4278564453125, 592.1212768554688], [1116.814453125, 592.1212768554688], [1064.1514892578125, 651.1238403320312], [1088.347900390625, 651.1238403320312], [1069.8447265625, 687.1009521484375], [1089.771240234375, 694.29638671875], [1069.8447265625, 723.078125], [1086.924560546875, 740.34716796875]]","[[759, 361], [1168, 361], [697, 561], [1228, 561], [540, 984], [1382, 984]]","[[638, 399], [638, 561], [1282, 561], [1282, 399]]","[935, 373]",None,None
51545,"[[940.2230834960938, 320.0157470703125], [943.0676879882812, 317.1366271972656], [937.37841796875, 318.5762023925781], [947.3345947265625, 318.5762023925781], [933.111572265625, 320.0157470703125], [957.2907104492188, 331.53228759765625], [930.2669067382812, 334.4114074707031], [971.5137329101562, 341.6092529296875], [924.5776977539062, 351.68621826171875], [980.0475463867188, 354.56536865234375], [927.4223022460938, 343.0487976074219], [957.2907104492188, 370.40057373046875], [941.6453247070312, 371.8401184082031], [957.2907104492188, 404.9501953125], [943.0676879882812, 403.5105895996094], [954.4461059570312, 436.6206359863281], [944.489990234375, 413.5875549316406]]","[[1074.640625, 550.1810302734375], [1078.9012451171875, 550.1810302734375], [1071.80029296875, 550.1810302734375], [1064.699462890625, 561.6505126953125], [1086.002197265625, 561.6505126953125], [1056.17822265625, 583.1558837890625], [1094.5233154296875, 586.0232543945312], [1054.758056640625, 607.5286254882812], [1118.6666259765625, 610.39599609375], [1103.0445556640625, 591.7579956054688], [1117.2464599609375, 593.1917114257812], [1064.699462890625, 650.539306640625], [1088.842529296875, 650.539306640625], [1068.9599609375, 687.8152465820312], [1090.2628173828125, 693.5499877929688], [1070.380126953125, 723.657470703125], [1087.4224853515625, 739.4281005859375]]","[[759, 361], [1168, 361], [697, 561], [1228, 561], [540, 984], [1382, 984]]","[[638, 399], [638, 561], [1282, 561], [1282, 399]]","[950, 347]",top,long service
51546,"[[940.7740478515625, 318.4245910644531], [943.6246948242188, 314.1359558105469], [937.9232788085938, 315.56549072265625], [947.9007568359375, 315.56549072265625], [935.0726318359375, 318.4245910644531], [959.3035278320312, 329.8609924316406], [932.2218627929688, 332.7200927734375], [972.1316528320312, 342.7269287109375], [925.0951538085938, 345.5860290527344], [980.6837158203125, 355.5928955078125], [926.5205688476562, 339.86785888671875], [956.4528198242188, 367.029296875], [940.7740478515625, 365.5997314453125], [957.8782348632812, 405.6271057128906], [942.1993408203125, 404.1975402832031], [955.0274658203125, 437.0771789550781], [943.6246948242188, 414.20440673828125]]","[[1074.5762939453125, 549.5851440429688], [1078.820556640625, 549.5851440429688], [1088.7236328125, 558.18994140625], [1066.0880126953125, 562.4923706054688], [1085.8941650390625, 562.4923706054688], [1056.184814453125, 584.0044555664062], [1095.7972412109375, 586.8727416992188], [1054.7701416015625, 606.9506225585938], [1118.432861328125, 611.2531127929688], [1070.3321533203125, 589.740966796875], [1117.0181884765625, 594.0433959960938], [1064.6732177734375, 649.974853515625], [1088.7236328125, 651.408935546875], [1068.91748046875, 687.2623901367188], [1090.1383056640625, 694.43310546875], [1070.3321533203125, 723.1159057617188], [1087.308837890625, 740.3255004882812]]","[[759, 361], [1168, 361], [697, 561], [1228, 561], [540, 984], [1382, 984]]","[[638, 399], [638, 561], [1282, 561], [1282, 399]]","[962, 327]",None,None
51547,"[[942.5411376953125, 317.12445068359375], [943.9734497070312, 312.814697265625], [938.2443237304688, 314.2513122558594], [948.2701416015625, 314.2513122558594], [935.3798828125, 315.6878662109375], [958.2959594726562, 328.61712646484375], [932.5153198242188, 330.0537109375], [972.6185913085938, 341.5463562011719], [923.9218139648438, 342.98297119140625], [979.7799072265625, 355.9122009277344], [926.7863159179688, 338.6732177734375], [955.4315185546875, 365.9682922363281], [941.10888671875, 365.9682922363281], [958.2959594726562, 403.3194274902344], [941.10888671875, 401.8828430175781], [955.4315185546875, 437.7973937988281], [942.5411376953125, 411.93890380859375]]","[[1073.0643310546875, 551.4221801757812], [1063.14111328125, 558.6159057617188], [1070.229248046875, 551.4221801757812], [1064.5587158203125, 561.493408203125], [1087.2406005859375, 561.493408203125], [1056.052978515625, 584.5132446289062], [1097.1639404296875, 587.3906860351562], [1048.96484375, 610.4105834960938], [1118.42822265625, 610.4105834960938], [1068.8115234375, 606.0943603515625], [1117.0106201171875, 596.023193359375], [1064.5587158203125, 649.256591796875], [1088.658203125, 650.6953735351562], [1068.8115234375, 688.1026000976562], [1090.0758056640625, 693.8575439453125], [1068.8115234375, 722.6323852539062], [1085.822998046875, 741.3359985351562]]","[[759, 361], [1168, 361], [697, 561], [1228, 561], [540, 984], [1382, 984]]","[[638, 399], [638, 561], [1282, 561], [1282, 399]]","[975, 311]",None,None
51548,"[[941.8487548828125, 315.7109069824219], [944.706298828125, 311.42095947265625], [938.9912719726562, 312.8509521484375], [948.9925537109375, 314.2809143066406], [936.1337280273438, 315.7109069824219], [958.9938354492188, 328.5807800292969], [931.8475341796875, 328.5807800292969], [971.8525390625, 342.8806457519531], [924.7037963867188, 342.8806457519531], [978.996337890625, 360.0404968261719], [927.561279296875, 337.16070556640625], [956.1362915039062, 362.90045166015625], [940.4199829101562, 362.90045166015625], [957.5650634765625, 404.3700866699219], [938.9912719726562, 402.9400939941406], [956.1362915039062, 437.259765625], [940.4199829101562, 411.52001953125]]","[[1075.7337646484375, 552.4048461914062], [1081.413818359375, 552.4048461914062], [1070.0537109375, 552.4048461914062], [1064.3736572265625, 562.4942016601562], [1087.09375, 562.4942016601562], [1057.273681640625, 585.5556640625], [1097.0338134765625, 586.9970092773438], [1047.333740234375, 610.0584106445312], [1118.3338623046875, 611.499755859375], [1051.5936279296875, 595.64501953125], [1118.3338623046875, 608.6170654296875], [1065.793701171875, 650.4159545898438], [1088.5137939453125, 653.298583984375], [1070.0537109375, 689.3320922851562], [1089.9337158203125, 693.6560668945312], [1070.0537109375, 722.48291015625], [1082.833740234375, 741.2202758789062]]","[[759, 361], [1168, 361], [697, 561], [1228, 561], [540, 984], [1382, 984]]","[[638, 399], [638, 561], [1282, 561], [1282, 399]]","[980, 302]",None,None
51549,"[[942.4434814453125, 315.3332214355469], [943.87548828125, 312.46734619140625], [939.5792846679688, 313.9002990722656], [949.6036987304688, 313.9002990722656], [935.283203125, 313.9002990722656], [959.6281127929688, 328.2297058105469], [932.4190673828125, 329.66265869140625], [972.5167236328125, 343.9920654296875], [923.82666015625, 343.9920654296875], [978.2449340820312, 358.321533203125], [926.6907958984375, 338.26031494140625], [955.33203125, 364.05328369140625], [939.5792846679688, 364.05328369140625], [958.1961059570312, 404.17572021484375], [938.1472778320312, 402.7427673339844], [955.33203125, 437.13336181640625], [941.0114135742188, 411.3404541015625]]","[[1075.7232666015625, 552.368896484375], [1081.408447265625, 552.368896484375], [1070.0379638671875, 552.368896484375], [1064.352783203125, 562.4593505859375], [1087.0936279296875, 562.4593505859375], [1057.2462158203125, 585.5233154296875], [1097.042724609375, 586.9647827148438], [1047.297119140625, 610.0287475585938], [1118.3623046875, 611.47021484375], [1051.56103515625, 595.61376953125], [1118.3623046875, 608.5872192382812], [1065.7740478515625, 650.3905639648438], [1088.514892578125, 653.2735595703125], [1070.0379638671875, 689.3109741210938], [1089.936279296875, 693.6354370117188], [1070.0379638671875, 722.46533203125], [1082.8297119140625, 741.2047729492188]]","[[759, 361], [1168, 361], [697, 561], [1228, 561], [540, 984], [1382, 984]]","[[638, 399], [638, 561], [1282, 561], [1282, 399]]","[984, 300]",None,None
51550,"[[942.6978149414062, 314.63507080078125], [945.5510864257812, 311.7515563964844], [939.8446044921875, 311.7515563964844], [949.8310546875, 311.7515563964844], [935.564697265625, 313.19329833984375], [958.3908081054688, 327.6108703613281], [931.2847290039062, 327.6108703613281], [972.6572875976562, 344.9119567871094], [922.7249755859375, 343.4701843261719], [978.36376953125, 363.65478515625], [925.5781860351562, 337.7031555175781], [955.5376586914062, 362.2130432128906], [939.8446044921875, 362.2130432128906], [956.9642944335938, 402.5822448730469], [935.564697265625, 401.1405029296875], [955.5376586914062, 435.74267578125], [938.41796875, 411.2328186035156]]","[[1074.537841796875, 553.8241577148438], [1080.2613525390625, 553.8241577148438], [1070.2452392578125, 553.8241577148438], [1064.5218505859375, 563.882568359375], [1087.4156494140625, 562.4456787109375], [1057.367431640625, 586.873291015625], [1097.4317626953125, 588.3101806640625], [1045.9205322265625, 612.7378540039062], [1116.0330810546875, 612.7378540039062], [1065.95263671875, 606.9901733398438], [1117.4639892578125, 612.7378540039062], [1065.95263671875, 652.9715576171875], [1088.8465576171875, 652.9715576171875], [1071.6761474609375, 688.89453125], [1091.708251953125, 696.0791015625], [1068.814453125, 723.3805541992188], [1080.2613525390625, 736.3128662109375]]","[[759, 361], [1168, 361], [697, 561], [1228, 561], [540, 984], [1382, 984]]","[[638, 399], [638, 561], [1282, 561], [1282, 399]]","[992, 291]",None,None
