frame,top,bottom,court,net,ball,pos,type
96522,"[[821.3609619140625, 355.2500915527344], [824.1942749023438, 349.487548828125], [817.111083984375, 350.92816162109375], [828.4441528320312, 352.3688049316406], [812.8612060546875, 353.8094482421875], [838.360595703125, 372.5378112792969], [804.3613891601562, 375.4190979003906], [848.2769775390625, 392.7068176269531], [795.8615112304688, 405.672607421875], [858.1934204101562, 408.55389404296875], [812.8612060546875, 408.55389404296875], [832.6940307617188, 427.2822570800781], [811.444580078125, 427.2822570800781], [838.360595703125, 469.06085205078125], [814.27783203125, 480.58599853515625], [828.4441528320312, 502.1956481933594], [817.111083984375, 528.127197265625]]","[[1011.3796997070312, 575.6585083007812], [985.6397705078125, 561.2852783203125], [1009.94970703125, 571.3465576171875], [988.499755859375, 568.4718627929688], [1007.0897827148438, 574.22119140625], [971.33984375, 587.1570434570312], [1007.0897827148438, 605.8422241210938], [974.1998291015625, 568.4718627929688], [1012.8096923828125, 641.7752075195312], [1018.5296630859375, 673.3963012695312], [1018.5296630859375, 673.3963012695312], [955.6099243164062, 664.7723388671875], [981.349853515625, 669.0843505859375], [969.9098510742188, 720.827880859375], [992.789794921875, 720.827880859375], [981.349853515625, 769.6967163085938], [985.6397705078125, 772.5714111328125]]","[[676, 453], [1247, 453], [618, 664], [1302, 664], [519, 993], [1406, 993]]","[[549, 464], [549, 664], [1370, 664], [1370, 464]]","[1014, 551]",None,None
96523,"[[820.5781860351562, 354.4708251953125], [823.40673828125, 350.1681823730469], [816.3353271484375, 350.1681823730469], [829.0639038085938, 351.6023864746094], [812.0924072265625, 353.03662109375], [838.9640502929688, 371.68145751953125], [803.6066284179688, 374.5498962402344], [848.864013671875, 394.62896728515625], [796.5350952148438, 404.66851806640625], [857.3499145507812, 407.5369567871094], [814.9209594726562, 406.10272216796875], [831.8925170898438, 426.1818542480469], [812.0924072265625, 427.61602783203125], [838.9640502929688, 470.64263916015625], [814.9209594726562, 480.68218994140625], [829.0639038085938, 502.1954650878906], [816.3353271484375, 526.5772094726562]]","[[1010.8621826171875, 578.4092407226562], [1010.8621826171875, 574.084716796875], [1009.4229736328125, 574.084716796875], [987.8347778320312, 565.4357299804688], [1006.5444946289062, 574.084716796875], [969.1250610351562, 582.7337646484375], [1005.1052856445312, 604.3563232421875], [972.0034790039062, 569.7601928710938], [1016.6190185546875, 640.39404296875], [1026.693603515625, 670.6657104492188], [1026.693603515625, 670.6657104492188], [954.7328491210938, 664.899658203125], [980.638671875, 669.2241821289062], [969.1250610351562, 719.6769409179688], [993.5916748046875, 721.1184692382812], [979.199462890625, 770.129638671875], [986.3955688476562, 773.0126953125]]","[[676, 453], [1247, 453], [618, 664], [1302, 664], [519, 993], [1406, 993]]","[[549, 464], [549, 664], [1370, 664], [1370, 464]]","[1006, 532]",None,None
96524,"[[820.827392578125, 353.84588623046875], [823.6624145507812, 349.5252380371094], [816.574951171875, 350.9654235839844], [827.9149169921875, 352.4056701660156], [812.3224487304688, 352.4056701660156], [837.83740234375, 371.12860107421875], [803.8174438476562, 375.4492492675781], [847.7598876953125, 394.1721496582031], [795.3125, 405.6939392089844], [857.682373046875, 408.5743408203125], [815.157470703125, 405.6939392089844], [832.1674194335938, 425.8570556640625], [812.3224487304688, 428.7375183105469], [840.67236328125, 470.50396728515625], [815.157470703125, 480.58551025390625], [829.3323974609375, 502.1888732910156], [816.574951171875, 526.6726684570312]]","[[1011.1660766601562, 578.1526489257812], [1011.1660766601562, 573.8500366210938], [1011.1660766601562, 573.8500366210938], [988.2526245117188, 565.244873046875], [1008.3018798828125, 575.2842407226562], [968.203369140625, 581.0210571289062], [1006.8698120117188, 605.40234375], [978.22802734375, 572.4158325195312], [1021.1907348632812, 641.2572021484375], [1031.21533203125, 672.8095092773438], [1031.21533203125, 672.8095092773438], [955.3145141601562, 664.204345703125], [979.6600341796875, 669.9411010742188], [968.203369140625, 718.7037963867188], [992.5489501953125, 721.5721435546875], [978.22802734375, 768.900634765625], [988.2526245117188, 768.900634765625]]","[[676, 453], [1247, 453], [618, 664], [1302, 664], [519, 993], [1406, 993]]","[[549, 464], [549, 664], [1370, 664], [1370, 464]]","[998, 513]",None,None
96525,"[[820.8005981445312, 353.98779296875], [823.63330078125, 349.6711730957031], [816.5513916015625, 349.6711730957031], [827.8823852539062, 352.5489196777344], [812.3023071289062, 352.5489196777344], [837.7969970703125, 371.2543029785156], [803.8040771484375, 375.5709228515625], [847.7116088867188, 394.27630615234375], [795.305908203125, 405.7873229980469], [857.626220703125, 408.66510009765625], [815.1350708007812, 405.7873229980469], [832.1315307617188, 425.93157958984375], [812.3023071289062, 427.3704833984375], [840.6296997070312, 470.5367126464844], [815.1350708007812, 479.16998291015625], [829.2987670898438, 502.1919860839844], [816.5513916015625, 526.6528930664062]]","[[1011.1697998046875, 578.6552734375], [1011.1697998046875, 574.3319091796875], [1011.1697998046875, 572.8908081054688], [988.2844848632812, 565.685302734375], [1008.30908203125, 574.3319091796875], [968.2598266601562, 580.0963134765625], [1005.4484252929688, 604.5951538085938], [978.2721557617188, 572.8908081054688], [1021.1820678710938, 642.0639038085938], [1032.6246337890625, 673.7682495117188], [1031.1943359375, 673.7682495117188], [955.3868408203125, 663.6804809570312], [981.1328735351562, 669.4449462890625], [968.2598266601562, 719.8836669921875], [992.5755004882812, 721.3247680664062], [978.2721557617188, 768.8812866210938], [988.2844848632812, 768.8812866210938]]","[[676, 453], [1247, 453], [618, 664], [1302, 664], [519, 993], [1406, 993]]","[[549, 464], [549, 664], [1370, 664], [1370, 464]]","[991, 494]",None,None
96526,"[[820.2518920898438, 352.9433288574219], [823.1206665039062, 348.6192321777344], [815.9488525390625, 350.0605773925781], [828.8580932617188, 351.501953125], [811.6456909179688, 352.9433288574219], [837.4642944335938, 371.6810607910156], [803.0394897460938, 376.0051574707031], [847.5048828125, 393.3015441894531], [795.86767578125, 406.2737731933594], [857.54541015625, 407.7151794433594], [815.9488525390625, 404.8324279785156], [833.1612548828125, 426.4529113769531], [811.6456909179688, 427.8942565917969], [841.7673950195312, 471.1351623535156], [814.5144653320312, 479.7833557128906], [830.29248046875, 501.4038391113281], [817.3832397460938, 527.348388671875]]","[[1013.170166015625, 576.56103515625], [1011.7493286132812, 575.1265869140625], [1011.7493286132812, 573.692138671875], [987.5947875976562, 566.5198974609375], [1008.9075317382812, 576.56103515625], [967.7028198242188, 580.8643798828125], [1006.0658569335938, 605.2499389648438], [956.3359375, 579.429931640625], [1021.6951904296875, 641.1110229492188], [1033.06201171875, 675.5377197265625], [1033.06201171875, 676.97216796875], [954.9151000976562, 664.0621337890625], [980.490478515625, 668.3655395507812], [967.7028198242188, 720.0054931640625], [993.2781372070312, 721.43994140625], [977.6488037109375, 770.2110595703125], [989.015625, 770.2110595703125]]","[[676, 453], [1247, 453], [618, 664], [1302, 664], [519, 993], [1406, 993]]","[[549, 464], [549, 664], [1370, 664], [1370, 464]]","[983, 475]",None,None
96527,"[[819.6890258789062, 353.0129089355469], [823.9439697265625, 348.7037658691406], [815.4340209960938, 348.7037658691406], [828.198974609375, 351.5765075683594], [811.1790771484375, 351.5765075683594], [838.127197265625, 371.6858215332031], [804.0875244140625, 374.5585632324219], [846.6371459960938, 393.2314758300781], [795.5775756835938, 407.5953063964844], [856.5653686523438, 409.03167724609375], [816.8524169921875, 403.2861633300781], [832.4539184570312, 424.83184814453125], [812.5974731445312, 426.2682189941406], [843.8004760742188, 470.7959289550781], [815.4340209960938, 477.97784423828125], [831.03564453125, 502.39630126953125], [816.8524169921875, 528.2510986328125]]","[[1013.77392578125, 576.8673706054688], [987.9028930664062, 562.4530639648438], [1012.336669921875, 572.5430908203125], [987.9028930664062, 566.7774047851562], [1009.4620971679688, 576.8673706054688], [966.34375, 582.633056640625], [1008.0247802734375, 607.1373291015625], [944.7846069335938, 582.633056640625], [1020.9603271484375, 643.1730346679688], [953.4083251953125, 584.0745239257812], [1032.45849609375, 679.208740234375], [953.4083251953125, 667.6773071289062], [982.15380859375, 669.1187744140625], [967.7810668945312, 716.6859130859375], [992.2147827148438, 721.0101928710938], [977.842041015625, 768.5772705078125], [990.7774658203125, 765.6945190429688]]","[[676, 453], [1247, 453], [618, 664], [1302, 664], [519, 993], [1406, 993]]","[[549, 464], [549, 664], [1370, 664], [1370, 464]]","[975, 456]",None,None
96528,"[[820.1881103515625, 352.7698059082031], [823.0535278320312, 348.46099853515625], [815.8900146484375, 348.46099853515625], [828.7843017578125, 351.3335266113281], [811.5919189453125, 351.3335266113281], [837.3805541992188, 371.4412841796875], [802.9957275390625, 375.75006103515625], [847.409423828125, 394.42156982421875], [795.832275390625, 405.9117126464844], [857.438232421875, 410.2205505371094], [814.4573364257812, 405.9117126464844], [833.0823974609375, 423.1469421386719], [813.0245971679688, 424.58319091796875], [844.5440063476562, 469.1075134277344], [817.32275390625, 474.8525695800781], [831.6497192382812, 502.1416931152344], [817.32275390625, 527.9945068359375]]","[[1012.7147827148438, 576.0394287109375], [985.541748046875, 561.65234375], [1011.28466796875, 571.7233276367188], [986.971923828125, 567.4072265625], [1008.4243774414062, 576.0394287109375], [965.5194702148438, 581.7942504882812], [1006.9942016601562, 606.252197265625], [938.3464965820312, 584.671630859375], [1017.0052490234375, 646.535888671875], [951.2179565429688, 583.23291015625], [1025.586181640625, 678.1873168945312], [955.5084228515625, 666.677734375], [982.6814575195312, 669.5551147460938], [968.3798217773438, 719.9097290039062], [991.2623901367188, 719.9097290039062], [976.9608154296875, 768.8256225585938], [991.2623901367188, 764.509521484375]]","[[676, 453], [1247, 453], [618, 664], [1302, 664], [519, 993], [1406, 993]]","[[549, 464], [549, 664], [1370, 664], [1370, 464]]","[968, 437]",None,None
96529,"[[819.0745239257812, 353.30682373046875], [823.3743286132812, 348.9815368652344], [816.2080078125, 350.42327880859375], [827.6741333007812, 350.42327880859375], [811.908203125, 351.86505126953125], [837.7069702148438, 372.0496826171875], [803.30859375, 374.9332275390625], [846.3065795898438, 393.67608642578125], [794.708984375, 405.210205078125], [856.3394165039062, 409.5354919433594], [814.7747192382812, 405.210205078125], [833.4071655273438, 423.9530944824219], [813.3414306640625, 423.9530944824219], [846.3065795898438, 468.6476135253906], [817.6412353515625, 475.8564453125], [833.4071655273438, 500.3663635253906], [817.6412353515625, 527.7598266601562]]","[[1009.6027221679688, 575.3639526367188], [986.5848388671875, 558.0682983398438], [1009.6027221679688, 571.0400390625], [986.5848388671875, 563.83349609375], [1008.1640625, 572.4813232421875], [963.5670166015625, 582.5704345703125], [1008.1640625, 607.0726318359375], [934.794677734375, 586.8944091796875], [1011.0413208007812, 650.3117065429688], [950.6194458007812, 584.0117797851562], [1016.7957763671875, 680.5791015625], [956.3739624023438, 666.166015625], [985.146240234375, 670.4899291992188], [969.3214721679688, 718.052978515625], [990.9007568359375, 718.052978515625], [977.953125, 769.9398193359375], [990.9007568359375, 765.615966796875]]","[[676, 453], [1247, 453], [618, 664], [1302, 664], [519, 993], [1406, 993]]","[[549, 464], [549, 664], [1370, 664], [1370, 464]]","[960, 418]",None,None
96530,"[[819.72314453125, 353.9430236816406], [822.575439453125, 349.62261962890625], [816.8709106445312, 349.62261962890625], [828.280029296875, 351.0627746582031], [811.166259765625, 352.5028991699219], [836.8369140625, 372.6647644042969], [804.0355834960938, 375.5450134277344], [846.8198852539062, 394.2667236328125], [795.4786987304688, 405.7878112792969], [858.22900390625, 412.98846435546875], [812.5924682617188, 404.3476867675781], [832.5584716796875, 423.06939697265625], [814.0185546875, 424.509521484375], [849.672119140625, 470.59375], [819.72314453125, 474.9141540527344], [835.4107055664062, 500.8365478515625], [816.8709106445312, 528.1990356445312]]","[[1005.8299560546875, 573.3307495117188], [985.76953125, 558.9766235351562], [1005.8299560546875, 567.589111328125], [985.76953125, 563.2828369140625], [1005.8299560546875, 570.4598999023438], [965.7090454101562, 586.2493896484375], [1004.3970947265625, 602.0389404296875], [931.3197021484375, 589.1202392578125], [1004.3970947265625, 640.7950439453125], [947.0814819335938, 577.636962890625], [1005.8299560546875, 673.8094482421875], [959.9774780273438, 666.6323852539062], [987.2024536132812, 670.9386596679688], [970.0076904296875, 719.7426147460938], [991.5010986328125, 718.3071899414062], [978.6051025390625, 768.5465698242188], [990.0681762695312, 765.6757202148438]]","[[676, 453], [1247, 453], [618, 664], [1302, 664], [519, 993], [1406, 993]]","[[549, 464], [549, 664], [1370, 664], [1370, 464]]","[953, 399]",None,None
96531,"[[819.7194213867188, 353.8932800292969], [822.5687866210938, 349.5806884765625], [816.8701171875, 349.5806884765625], [828.2674560546875, 351.0182189941406], [811.1714477539062, 353.8932800292969], [836.8154296875, 372.58111572265625], [804.0481567382812, 375.4561462402344], [846.7880859375, 394.14398193359375], [795.5001220703125, 405.64422607421875], [858.1854248046875, 412.8318176269531], [814.020751953125, 404.2066955566406], [832.54150390625, 424.33203125], [814.020751953125, 424.33203125], [849.6375122070312, 471.7704162597656], [819.7194213867188, 476.0829772949219], [835.3908081054688, 500.5209045410156], [816.8701171875, 527.8339233398438]]","[[1006.1380004882812, 573.6687622070312], [986.2474975585938, 559.25390625], [1006.1380004882812, 567.90283203125], [986.2474975585938, 563.578369140625], [1006.1380004882812, 569.3442993164062], [964.9363403320312, 586.6422119140625], [1004.71728515625, 602.49853515625], [930.83837890625, 589.525146484375], [1003.2965087890625, 639.977294921875], [947.8873901367188, 576.5517578125], [1006.1380004882812, 673.1314697265625], [959.2533569335938, 665.924072265625], [987.6682739257812, 671.6900024414062], [970.6193237304688, 719.2591552734375], [991.9305419921875, 717.8176879882812], [979.1438598632812, 769.7112426757812], [989.0890502929688, 765.3868408203125]]","[[676, 453], [1247, 453], [618, 664], [1302, 664], [519, 993], [1406, 993]]","[[549, 464], [549, 664], [1370, 664], [1370, 464]]","[945, 380]",None,None
