frame,top,bottom,court,net,ball,pos,type
102970,"[[859.5597534179688, 477.9479064941406], [863.8461303710938, 472.2138366699219], [855.2733154296875, 473.6473388671875], [869.561279296875, 475.08087158203125], [849.5582275390625, 475.08087158203125], [878.1340942382812, 496.5836486816406], [840.9854125976562, 492.2830810546875], [890.9932250976562, 513.785888671875], [822.4110717773438, 499.45068359375], [896.7083740234375, 526.6875610351562], [816.6958618164062, 506.6183166503906], [872.4188842773438, 545.3233032226562], [852.4157104492188, 545.3233032226562], [868.1324462890625, 582.5947875976562], [853.8445434570312, 585.4618530273438], [872.4188842773438, 628.4674072265625], [859.5597534179688, 616.999267578125]]","[[955.7804565429688, 620.8125], [954.3576049804688, 615.0515747070312], [955.7804565429688, 615.0515747070312], [958.6262817382812, 617.9320678710938], [982.8157958984375, 613.611328125], [952.9346313476562, 646.7366943359375], [1002.736572265625, 635.21484375], [933.013916015625, 676.9816284179688], [1018.3886108398438, 655.3781127929688], [927.3221435546875, 702.9058227539062], [1002.736572265625, 665.4597778320312], [984.2387084960938, 725.9495239257812], [1009.85107421875, 720.1885986328125], [979.969970703125, 780.6784057617188], [995.6220092773438, 769.1565551757812], [998.4678344726562, 851.249755859375], [991.3533325195312, 831.0865478515625]]","[[679, 578], [1246, 578], [611, 740], [1308, 740], [492, 1015], [1418, 1015]]","[[544, 534], [544, 740], [1368, 740], [1368, 534]]","[902, 617]",None,None
102971,"[[859.09619140625, 479.6590576171875], [863.4051513671875, 473.8939514160156], [854.7871704101562, 473.8939514160156], [869.1505126953125, 475.33526611328125], [849.0418090820312, 476.7765197753906], [877.7685546875, 496.9542541503906], [841.860107421875, 494.0716857910156], [890.695556640625, 514.2493896484375], [823.1876831054688, 499.8367614746094], [895.004638671875, 527.2208251953125], [816.0059814453125, 507.0430908203125], [873.4595336914062, 544.5159912109375], [851.9144287109375, 545.957275390625], [867.7141723632812, 581.9888916015625], [854.7871704101562, 586.3126831054688], [872.023193359375, 628.109375], [859.09619140625, 616.5792846679688]]","[[955.5695190429688, 620.2443237304688], [954.1317138671875, 614.4886474609375], [955.5695190429688, 614.4886474609375], [957.00732421875, 617.366455078125], [982.8883056640625, 613.0496826171875], [954.1317138671875, 646.1450805664062], [1003.0178833007812, 634.6336669921875], [928.2507934570312, 686.4351806640625], [1017.3963012695312, 654.7786865234375], [926.81298828125, 702.263427734375], [997.2666625976562, 661.973388671875], [984.326171875, 726.7252807617188], [1010.20703125, 722.408447265625], [980.0126953125, 779.9657592773438], [994.3909301757812, 768.454345703125], [998.7044677734375, 851.912353515625], [991.5153198242188, 830.3283081054688]]","[[679, 578], [1246, 578], [611, 740], [1308, 740], [492, 1015], [1418, 1015]]","[[544, 534], [544, 740], [1368, 740], [1368, 534]]","[902, 617]",None,None
102972,"[[859.3579711914062, 479.2972106933594], [863.6527709960938, 473.5655822753906], [855.0632934570312, 473.5655822753906], [869.3790893554688, 474.9985046386719], [847.9054565429688, 476.431396484375], [877.9684448242188, 496.4920349121094], [842.1791381835938, 493.626220703125], [890.8526611328125, 513.6868286132812], [825.000244140625, 499.3578186035156], [895.1473999023438, 528.0159301757812], [816.4108276367188, 507.9552307128906], [873.6737670898438, 545.2107543945312], [852.2001342773438, 545.2107543945312], [867.947509765625, 582.4661865234375], [853.6317138671875, 583.8990478515625], [872.2421875, 626.8861694335938], [859.3579711914062, 616.8558349609375]]","[[954.4149169921875, 618.7691040039062], [954.4149169921875, 613.0164794921875], [954.4149169921875, 613.0164794921875], [957.2877197265625, 617.3309326171875], [983.142822265625, 613.0164794921875], [952.978515625, 646.093994140625], [1003.2523803710938, 634.5887451171875], [927.1234130859375, 686.3623046875], [1017.6163330078125, 654.7229614257812], [925.68701171875, 702.1820068359375], [996.0703735351562, 661.9136962890625], [983.142822265625, 725.1925048828125], [1008.9979248046875, 722.316162109375], [978.8336181640625, 779.84228515625], [994.6339721679688, 768.3370971679688], [993.1976318359375, 841.6829223632812], [993.1976318359375, 822.9869995117188]]","[[679, 578], [1246, 578], [611, 740], [1308, 740], [492, 1015], [1418, 1015]]","[[544, 534], [544, 740], [1368, 740], [1368, 534]]","[902, 617]",None,None
102973,"[[859.2709350585938, 479.0455322265625], [862.1508178710938, 474.722412109375], [854.9511108398438, 474.722412109375], [869.3504638671875, 476.1634521484375], [849.1913452148438, 476.1634521484375], [877.9901733398438, 496.338134765625], [840.5517578125, 493.4560546875], [890.9496459960938, 513.6307983398438], [823.2723999023438, 500.66131591796875], [895.2694091796875, 528.0413208007812], [816.07275390625, 507.8665771484375], [873.6703491210938, 542.4517822265625], [852.0712890625, 545.3338623046875], [867.9105834960938, 582.8012084960938], [853.5111694335938, 587.1243896484375], [872.2304077148438, 628.9148559570312], [860.7108764648438, 617.386474609375]]","[[954.4639282226562, 618.3416748046875], [954.4639282226562, 612.5824584960938], [954.4639282226562, 612.5824584960938], [957.3441162109375, 616.90185546875], [981.8258056640625, 611.1427001953125], [953.0238647460938, 644.2582397460938], [1001.9871215820312, 632.73974609375], [924.221923828125, 688.8922119140625], [1017.8281860351562, 652.8970336914062], [924.221923828125, 701.8505249023438], [997.6668701171875, 661.535888671875], [983.265869140625, 726.3272094726562], [1009.1876220703125, 722.0077514648438], [978.9456176757812, 779.60009765625], [994.78662109375, 768.0816040039062], [996.2267456054688, 847.27099609375], [991.9064331054688, 827.1136474609375]]","[[679, 578], [1246, 578], [611, 740], [1308, 740], [492, 1015], [1418, 1015]]","[[544, 534], [544, 740], [1368, 740], [1368, 534]]","[902, 617]",None,None
102974,"[[858.0910034179688, 478.924560546875], [862.4055786132812, 474.61474609375], [855.214599609375, 474.61474609375], [868.1583251953125, 476.05133056640625], [849.4618530273438, 476.05133056640625], [876.787353515625, 496.1639709472656], [840.8327026367188, 493.2907409667969], [891.1692504882812, 513.4033813476562], [823.574462890625, 500.47381591796875], [895.4838256835938, 527.76953125], [816.3834838867188, 507.6568908691406], [872.472900390625, 543.5723266601562], [852.3382568359375, 545.0089111328125], [868.1583251953125, 583.7975463867188], [853.7764282226562, 586.6707763671875], [872.472900390625, 628.3326416015625], [859.5291748046875, 618.2763061523438]]","[[953.7523803710938, 618.6187133789062], [953.7523803710938, 612.8582763671875], [955.178955078125, 612.8582763671875], [956.6055908203125, 617.1786499023438], [982.28466796875, 611.4181518554688], [952.3257446289062, 644.5409545898438], [1002.2573852539062, 633.0199584960938], [923.7933349609375, 689.1846923828125], [1017.9501953125, 653.1817016601562], [925.2200317382812, 705.0260620117188], [997.9775390625, 661.8224487304688], [983.7113037109375, 726.6278686523438], [1009.3905029296875, 722.3075561523438], [978.0048217773438, 779.912353515625], [995.1243286132812, 768.3914184570312], [996.5509033203125, 849.0382080078125], [993.6976928710938, 821.6759033203125]]","[[679, 578], [1246, 578], [611, 740], [1308, 740], [492, 1015], [1418, 1015]]","[[544, 534], [544, 740], [1368, 740], [1368, 534]]","[902, 617]",None,None
102975,"[[859.430419921875, 479.3398742675781], [862.30859375, 475.02288818359375], [855.11328125, 475.02288818359375], [869.5037841796875, 476.46185302734375], [849.3570556640625, 476.46185302734375], [878.1381225585938, 496.6079406738281], [840.7227172851562, 493.7298889160156], [891.089599609375, 513.8759765625], [822.0150756835938, 500.9249267578125], [895.4067993164062, 528.2659912109375], [816.2588500976562, 508.11993408203125], [873.821044921875, 542.656005859375], [852.2352294921875, 545.5340576171875], [868.0647583007812, 582.9481201171875], [853.6742553710938, 587.26513671875], [870.94287109375, 628.9962768554688], [859.430419921875, 617.4842529296875]]","[[955.0068969726562, 620.00830078125], [953.5804443359375, 612.81005859375], [955.0068969726562, 611.3704223632812], [957.85986328125, 615.6893310546875], [982.1094970703125, 611.3704223632812], [953.5804443359375, 643.0426635742188], [1002.0798950195312, 631.5254516601562], [923.6249389648438, 684.7924194335938], [1019.197265625, 648.80126953125], [923.6249389648438, 696.3096313476562], [997.8004760742188, 660.3184204101562], [982.1094970703125, 725.1025390625], [1009.2120361328125, 720.7835693359375], [977.8301391601562, 778.3695068359375], [994.947509765625, 768.2919311523438], [994.947509765625, 843.1536254882812], [992.0946655273438, 825.8778686523438]]","[[679, 578], [1246, 578], [611, 740], [1308, 740], [492, 1015], [1418, 1015]]","[[544, 534], [544, 740], [1368, 740], [1368, 534]]","[902, 617]",None,None
102976,"[[858.2028198242188, 479.10467529296875], [862.4920654296875, 474.81085205078125], [853.9134521484375, 474.81085205078125], [868.2111206054688, 476.24212646484375], [848.1945190429688, 476.24212646484375], [878.219482421875, 497.71112060546875], [841.0455932617188, 493.4173278808594], [892.5170288085938, 513.4550170898438], [822.4588012695312, 500.57366943359375], [896.8062744140625, 527.7677001953125], [816.73974609375, 507.72998046875], [872.5004272460938, 543.5115966796875], [852.4837646484375, 544.94287109375], [868.2111206054688, 583.5870361328125], [853.9134521484375, 586.4495239257812], [872.5004272460938, 627.9562377929688], [859.632568359375, 617.9373779296875]]","[[954.2117309570312, 616.6292724609375], [954.2117309570312, 609.4288330078125], [954.2117309570312, 609.4288330078125], [957.07958984375, 613.7491455078125], [981.4561157226562, 609.4288330078125], [954.2117309570312, 641.1106567382812], [1002.9647827148438, 631.0300903320312], [932.7030639648438, 662.7118530273438], [1020.1717529296875, 642.5507202148438], [921.2317504882812, 687.1932983398438], [997.2291870117188, 629.5899658203125], [981.4561157226562, 723.1953735351562], [1007.2665405273438, 718.8750610351562], [977.1543579101562, 776.4783935546875], [992.9273681640625, 766.3977661132812], [990.0595703125, 834.0816040039062], [992.9273681640625, 822.56103515625]]","[[679, 578], [1246, 578], [611, 740], [1308, 740], [492, 1015], [1418, 1015]]","[[544, 534], [544, 740], [1368, 740], [1368, 534]]","[902, 617]",None,None
102977,"[[858.7265014648438, 480.1561584472656], [862.999755859375, 475.8401184082031], [854.453369140625, 475.8401184082031], [868.6973266601562, 477.2787780761719], [848.7557373046875, 477.2787780761719], [877.2437133789062, 497.42022705078125], [841.6336669921875, 494.54290771484375], [898.6097412109375, 514.684326171875], [821.6920776367188, 501.7362976074219], [894.3365478515625, 529.0711059570312], [815.9945068359375, 508.9296569824219], [872.9705810546875, 544.8965454101562], [853.0288696289062, 544.8965454101562], [867.27294921875, 583.7407836914062], [853.0288696289062, 586.6181030273438], [871.5460815429688, 628.3397216796875], [858.7265014648438, 616.830322265625]]","[[954.5175170898438, 615.968994140625], [954.5175170898438, 608.7916259765625], [955.948974609375, 610.2271118164062], [955.948974609375, 611.6625366210938], [980.2847900390625, 607.3560791015625], [951.6544189453125, 643.2432250976562], [1003.1889038085938, 630.3238525390625], [933.0448608398438, 659.0335083007812], [1020.3671264648438, 638.936767578125], [918.7296752929688, 684.8721923828125], [997.462890625, 627.452880859375], [978.8532104492188, 722.1947021484375], [1004.6204833984375, 717.8883056640625], [974.5586547851562, 779.614013671875], [993.1683349609375, 769.5656127929688], [988.8738403320312, 834.1624145507812], [993.1683349609375, 821.2429809570312]]","[[679, 578], [1246, 578], [611, 740], [1308, 740], [492, 1015], [1418, 1015]]","[[544, 534], [544, 740], [1368, 740], [1368, 534]]","[902, 617]",None,None
102978,"[[858.6883544921875, 479.91412353515625], [862.9739379882812, 475.605224609375], [854.4027709960938, 477.04156494140625], [868.68798828125, 477.04156494140625], [848.6886596679688, 478.47784423828125], [877.2590942382812, 498.5860900878906], [841.5460205078125, 494.27716064453125], [900.115478515625, 514.3853759765625], [824.4037475585938, 501.4586486816406], [894.4014282226562, 531.6209716796875], [815.8326416015625, 508.6401672363281], [872.9735717773438, 543.1114501953125], [852.9742431640625, 544.5477294921875], [867.2594604492188, 583.327880859375], [852.9742431640625, 587.6367797851562], [871.5450439453125, 627.8531494140625], [858.6883544921875, 616.3627319335938]]","[[963.218017578125, 614.4783935546875], [953.1959838867188, 607.2711181640625], [956.0593872070312, 608.7125854492188], [956.0593872070312, 608.7125854492188], [980.3988037109375, 605.8297119140625], [951.7642211914062, 638.9832153320312], [1003.3065185546875, 628.8930053710938], [914.5392456054688, 670.6952514648438], [1020.4873046875, 637.541748046875], [915.9710083007812, 673.5781860351562], [994.7161254882812, 628.8930053710938], [978.9671020507812, 722.5877685546875], [1003.3065185546875, 718.2633666992188], [973.2401733398438, 780.24609375], [991.8526611328125, 770.1558837890625], [987.5574951171875, 832.1385498046875], [994.7161254882812, 816.2825317382812]]","[[679, 578], [1246, 578], [611, 740], [1308, 740], [492, 1015], [1418, 1015]]","[[544, 534], [544, 740], [1368, 740], [1368, 534]]","[902, 617]",None,None
102979,"[[859.210205078125, 481.54180908203125], [862.0704345703125, 477.2309875488281], [854.9197998046875, 477.2309875488281], [869.2210083007812, 478.6679382324219], [847.769287109375, 478.6679382324219], [876.3715209960938, 498.7850646972656], [840.6187133789062, 494.4742736816406], [899.2533569335938, 514.5913696289062], [824.887451171875, 501.6589660644531], [894.9630126953125, 531.834716796875], [814.8766479492188, 511.717529296875], [873.5112915039062, 543.3302001953125], [852.0596923828125, 544.7671508789062], [867.7908325195312, 582.1275634765625], [852.0596923828125, 586.4383544921875], [872.0812377929688, 629.5465087890625], [859.210205078125, 616.6140747070312]]","[[956.7454833984375, 611.3748779296875], [953.8961181640625, 605.6251831054688], [956.7454833984375, 605.6251831054688], [955.3207397460938, 607.0626220703125], [979.5398559570312, 605.6251831054688], [952.4714965820312, 637.2484741210938], [1000.9097900390625, 628.6239013671875], [914.0057983398438, 664.5594482421875], [1018.005615234375, 638.6858520507812], [915.4304809570312, 663.1220703125], [993.7864990234375, 627.1865234375], [975.2659301757812, 720.618896484375], [1000.9097900390625, 717.7440795898438], [970.991943359375, 776.6783447265625], [990.9371337890625, 769.4911499023438], [986.6631469726562, 832.7377319335938], [995.2111206054688, 814.05126953125]]","[[679, 578], [1246, 578], [611, 740], [1308, 740], [492, 1015], [1418, 1015]]","[[544, 534], [544, 740], [1368, 740], [1368, 534]]","[902, 617]",None,None
