frame,top,bottom,court,net,ball,pos,type
41711,"[[990.7686767578125, 463.8173828125], [995.035888671875, 459.4923400878906], [986.5015258789062, 459.4923400878906], [999.3031616210938, 462.3757019042969], [979.3894653320312, 460.9339904785156], [1006.4151000976562, 484.0011291503906], [968.01025390625, 479.67608642578125], [1019.216796875, 505.6265869140625], [940.9844970703125, 492.65130615234375], [1020.6392211914062, 527.2520141601562], [956.6309814453125, 517.16015625], [995.035888671875, 543.1106567382812], [970.85498046875, 543.1106567382812], [1002.14794921875, 582.0364990234375], [973.6998291015625, 587.80322265625], [1004.9927978515625, 615.1954956054688], [976.5446166992188, 633.9375]]","[[806.1819458007812, 641.027587890625], [804.748779296875, 636.7044677734375], [804.748779296875, 636.7044677734375], [780.3858642578125, 638.1455078125], [803.3157348632812, 638.1455078125], [764.6216430664062, 665.5255126953125], [804.748779296875, 659.7612915039062], [741.6918334960938, 695.7875366210938], [820.5131225585938, 685.7001953125], [770.3540649414062, 692.9054565429688], [840.5767211914062, 695.7875366210938], [761.75537109375, 734.6959838867188], [788.9845581054688, 734.6959838867188], [778.9527587890625, 780.8095703125], [793.283935546875, 799.5433349609375], [780.3858642578125, 832.6875], [774.6533813476562, 860.0674438476562]]","[[680, 583], [1239, 583], [618, 737], [1308, 737], [497, 1021], [1418, 1021]]","[[544, 533], [544, 737], [1370, 737], [1370, 533]]","[1005, 534]",None,None
41712,"[[990.7525024414062, 463.7453918457031], [995.02734375, 459.4412841796875], [986.4776000976562, 459.4412841796875], [999.3023071289062, 462.3106994628906], [979.3527221679688, 460.8759765625], [1006.4271850585938, 483.83123779296875], [967.9530029296875, 479.5271301269531], [1019.2518310546875, 505.3517761230469], [940.878662109375, 492.4394836425781], [1020.6768188476562, 526.872314453125], [956.5532836914062, 516.8294067382812], [995.02734375, 542.654052734375], [970.802978515625, 542.654052734375], [1002.1522216796875, 581.3909912109375], [973.6528930664062, 587.1298217773438], [1005.002197265625, 615.8239135742188], [976.5028686523438, 634.4750366210938]]","[[805.6722412109375, 641.5452880859375], [805.6722412109375, 635.7982788085938], [805.6722412109375, 635.7982788085938], [779.9544677734375, 638.6717529296875], [802.814697265625, 638.6717529296875], [764.238037109375, 664.5333862304688], [805.6722412109375, 660.2230834960938], [744.2354125976562, 693.2684936523438], [821.3885498046875, 687.521484375], [771.3818969726562, 693.2684936523438], [839.9625244140625, 694.7052612304688], [761.3805541992188, 737.8079223632812], [789.955810546875, 733.4976806640625], [778.5256958007812, 779.473876953125], [794.2420654296875, 799.5885009765625], [781.3831787109375, 831.1970825195312], [775.668212890625, 859.9321899414062]]","[[680, 583], [1239, 583], [618, 737], [1308, 737], [497, 1021], [1418, 1021]]","[[544, 533], [544, 737], [1370, 737], [1370, 533]]","[1005, 534]",None,None
41713,"[[990.192626953125, 462.0810852050781], [994.4575805664062, 457.78399658203125], [985.9276123046875, 457.78399658203125], [998.7225952148438, 460.6487121582031], [978.8192749023438, 460.6487121582031], [1004.4093017578125, 482.1341857910156], [966.024169921875, 479.26947021484375], [1015.7826538085938, 497.89019775390625], [940.4341430664062, 492.1607666015625], [1021.4693603515625, 510.781494140625], [953.2291259765625, 513.646240234375], [994.4575805664062, 540.8611450195312], [970.2891845703125, 540.8611450195312], [1001.56591796875, 582.3997192382812], [974.5542602539062, 586.6968383789062], [1004.4093017578125, 613.9117431640625], [977.3975219726562, 635.397216796875]]","[[805.8567504882812, 642.1544799804688], [802.97900390625, 636.3997192382812], [804.4179077148438, 636.3997192382812], [779.957275390625, 637.83837890625], [802.97900390625, 637.83837890625], [764.1298217773438, 665.1736450195312], [807.2955932617188, 660.8575439453125], [741.1080932617188, 695.3862915039062], [820.2453002929688, 686.7540893554688], [769.8853149414062, 693.9475708007812], [840.3893432617188, 695.3862915039062], [762.6909790039062, 734.2311401367188], [790.0292358398438, 734.2311401367188], [778.5183715820312, 780.2694091796875], [794.3458251953125, 798.972412109375], [779.957275390625, 830.623779296875], [774.2017822265625, 860.8363647460938]]","[[680, 583], [1239, 583], [618, 737], [1308, 737], [497, 1021], [1418, 1021]]","[[544, 533], [544, 737], [1370, 737], [1370, 533]]","[1005, 534]",None,None
41714,"[[987.78759765625, 461.1789245605469], [992.0699462890625, 456.8637390136719], [984.9326782226562, 456.8637390136719], [997.77978515625, 459.7405090332031], [977.7953491210938, 459.7405090332031], [1004.9171142578125, 482.7547302246094], [964.9482421875, 479.8779296875], [1019.191650390625, 512.9608764648438], [940.6815185546875, 491.3850402832031], [1006.3445434570312, 530.2214965820312], [952.1011352539062, 512.9608764648438], [994.9248657226562, 540.2902221679688], [970.6580810546875, 543.1669921875], [1000.6347045898438, 582.0034790039062], [973.5130615234375, 587.7570190429688], [1003.4895629882812, 613.6480102539062], [976.367919921875, 633.785400390625]]","[[805.7135620117188, 641.8372802734375], [802.8519897460938, 637.5263061523438], [805.7135620117188, 636.08935546875], [779.9592895507812, 637.5263061523438], [802.8519897460938, 637.5263061523438], [764.2205810546875, 664.8287353515625], [807.1444091796875, 660.517822265625], [741.3279418945312, 695.0050659179688], [820.021484375, 686.3832397460938], [769.9437255859375, 693.568115234375], [841.4833984375, 697.8789672851562], [761.3590087890625, 735.2401123046875], [789.9749145507812, 735.2401123046875], [778.5285034179688, 781.2230834960938], [795.697998046875, 799.9036254882812], [781.3900756835938, 832.953857421875], [775.6669311523438, 858.8193359375]]","[[680, 583], [1239, 583], [618, 737], [1308, 737], [497, 1021], [1418, 1021]]","[[544, 533], [544, 737], [1370, 737], [1370, 533]]","[1005, 534]",None,None
41715,"[[986.2593994140625, 460.75994873046875], [990.5396728515625, 457.877685546875], [981.9791259765625, 457.877685546875], [996.2467651367188, 459.3188171386719], [976.2720947265625, 457.877685546875], [1003.380615234375, 480.93585205078125], [963.43115234375, 480.93585205078125], [1017.6482543945312, 508.31744384765625], [943.4564208984375, 489.5826416015625], [1016.2214965820312, 506.8763122558594], [953.4437866210938, 518.4053955078125], [991.9664916992188, 538.581298828125], [969.1382446289062, 540.0224609375], [1001.9537963867188, 583.2564697265625], [973.4185180664062, 586.1387939453125], [1004.807373046875, 614.9614868164062], [976.2720947265625, 635.1373901367188]]","[[805.1621704101562, 641.8342895507812], [779.3839721679688, 636.0810546875], [805.1621704101562, 636.0810546875], [780.8161010742188, 637.5193481445312], [803.7300415039062, 637.5193481445312], [765.062744140625, 664.8471069335938], [808.0263671875, 661.9705200195312], [740.716796875, 695.0513916015625], [822.3475952148438, 690.7365112304688], [767.9270629882812, 693.6130981445312], [842.3972778320312, 702.242919921875], [762.1985473632812, 739.6387939453125], [789.4088134765625, 739.6387939453125], [779.3839721679688, 781.3495483398438], [796.5693969726562, 800.04736328125], [780.8161010742188, 827.3751220703125], [775.0875854492188, 860.4559936523438]]","[[680, 583], [1239, 583], [618, 737], [1308, 737], [497, 1021], [1418, 1021]]","[[544, 533], [544, 737], [1370, 737], [1370, 533]]","[1001, 521]",top,short service
41716,"[[985.6016235351562, 461.540771484375], [989.9043579101562, 457.2211608886719], [982.7332153320312, 455.78131103515625], [994.2071533203125, 458.6610107421875], [975.56201171875, 458.6610107421875], [1001.3782348632812, 480.25885009765625], [964.0880737304688, 478.8190002441406], [1012.8521728515625, 494.6574401855469], [944.0087890625, 490.337890625], [1012.8521728515625, 500.4168701171875], [945.4429931640625, 514.8154296875], [992.7728271484375, 539.2930297851562], [969.8250122070312, 539.2930297851562], [1001.3782348632812, 583.9285888671875], [972.6934814453125, 588.2481689453125], [1004.2467651367188, 614.1655883789062], [976.9962158203125, 634.3236083984375]]","[[805.8334350585938, 641.4782104492188], [798.66064453125, 637.1604614257812], [805.8334350585938, 637.1604614257812], [781.4461669921875, 637.1604614257812], [804.39892578125, 637.1604614257812], [764.2315673828125, 665.945556640625], [808.7025146484375, 663.0670776367188], [738.4097900390625, 696.169921875], [824.4825439453125, 694.7306518554688], [739.84423828125, 696.169921875], [841.6970825195312, 709.1231689453125], [761.3624877929688, 740.7867431640625], [790.0534057617188, 740.7867431640625], [778.5770263671875, 779.6465454101562], [797.2261352539062, 799.796142578125], [778.5770263671875, 828.581298828125], [777.1424560546875, 857.3663330078125]]","[[680, 583], [1239, 583], [618, 737], [1308, 737], [497, 1021], [1418, 1021]]","[[544, 533], [544, 737], [1370, 737], [1370, 533]]","[999, 510]",None,None
41717,"[[986.9855346679688, 460.43853759765625], [989.8616333007812, 457.57208251953125], [982.6715087890625, 456.1388854980469], [994.1756591796875, 457.57208251953125], [974.0433349609375, 457.57208251953125], [998.4896850585938, 479.0704345703125], [963.9772338867188, 479.0704345703125], [1008.5558471679688, 491.969482421875], [943.8449096679688, 490.5362548828125], [1011.4319458007812, 499.13555908203125], [951.0350341796875, 524.93359375], [992.7376708984375, 539.2658081054688], [969.729248046875, 540.6990356445312], [1001.3657836914062, 582.2625732421875], [974.0433349609375, 586.562255859375], [1002.8037719726562, 613.79345703125], [976.9193725585938, 635.2918701171875]]","[[803.3910522460938, 643.27490234375], [779.197509765625, 636.0991821289062], [804.814208984375, 636.0991821289062], [780.6206665039062, 637.5343627929688], [803.3910522460938, 637.5343627929688], [763.5429077148438, 666.2372436523438], [810.5067138671875, 666.2372436523438], [737.92626953125, 696.3753051757812], [826.161376953125, 697.8104248046875], [764.966064453125, 693.5050048828125], [840.3928833007812, 713.5970458984375], [762.1198120117188, 742.2999267578125], [792.005859375, 742.2999267578125], [777.7744140625, 776.7434692382812], [794.8521118164062, 802.5760498046875], [780.6206665039062, 828.4086303710938], [776.3512573242188, 858.5467529296875]]","[[680, 583], [1239, 583], [618, 737], [1308, 737], [497, 1021], [1418, 1021]]","[[544, 533], [544, 737], [1370, 737], [1370, 533]]","[994, 510]",None,None
41718,"[[987.0203857421875, 461.6361999511719], [989.8597412109375, 457.3143615722656], [982.7613525390625, 457.3143615722656], [994.118896484375, 458.75494384765625], [974.2432250976562, 457.3143615722656], [999.797607421875, 478.9236145019531], [962.8857421875, 480.3642578125], [1008.315673828125, 491.8891906738281], [944.4298095703125, 489.0079650878906], [1011.1550903320312, 500.53289794921875], [952.9478759765625, 529.3452758789062], [992.6991577148438, 540.8702392578125], [969.984130859375, 540.8702392578125], [1001.21728515625, 581.20751953125], [974.2432250976562, 584.0887451171875], [1004.0565795898438, 615.7823486328125], [977.0826416015625, 634.5104370117188]]","[[804.9996337890625, 641.1222534179688], [779.3555908203125, 633.9234008789062], [804.9996337890625, 638.2427368164062], [779.3555908203125, 638.2427368164062], [803.5750122070312, 638.2427368164062], [763.6842041015625, 667.0379638671875], [809.273681640625, 664.158447265625], [735.19091796875, 697.27294921875], [826.3696899414062, 698.7127075195312], [735.19091796875, 695.8331909179688], [840.6163330078125, 713.1103515625], [762.2595825195312, 743.3453979492188], [792.1776123046875, 741.9055786132812], [776.5062255859375, 776.4598999023438], [795.0269165039062, 803.8153076171875], [780.7802124023438, 829.7311401367188], [776.5062255859375, 858.5263671875]]","[[680, 583], [1239, 583], [618, 737], [1308, 737], [497, 1021], [1418, 1021]]","[[544, 533], [544, 737], [1370, 737], [1370, 533]]","[992, 510]",None,None
41719,"[[984.621826171875, 459.08233642578125], [988.939208984375, 456.2113037109375], [980.3045654296875, 456.2113037109375], [993.2565307617188, 457.6468505859375], [973.1090087890625, 456.2113037109375], [999.012939453125, 479.1798400878906], [963.0352783203125, 479.1798400878906], [1007.6476440429688, 490.6640930175781], [941.4486083984375, 489.2285461425781], [1010.5258178710938, 499.2773132324219], [937.1312866210938, 496.4062194824219], [991.8173828125, 539.4722290039062], [970.2308349609375, 540.9077758789062], [1001.8912353515625, 582.5382080078125], [973.1090087890625, 586.8448486328125], [1001.8912353515625, 614.1199340820312], [977.4263916015625, 635.6529541015625]]","[[792.9296264648438, 641.433349609375], [778.6505126953125, 634.2518920898438], [805.7808227539062, 635.6881713867188], [780.0784301757812, 638.560791015625], [804.3528442382812, 637.12451171875], [762.9435424804688, 664.4140625], [810.0645141601562, 664.4140625], [737.2412109375, 694.5761108398438], [827.1994018554688, 698.885009765625], [760.0877075195312, 690.2672729492188], [841.478515625, 711.8116455078125], [762.9435424804688, 741.9738159179688], [792.9296264648438, 744.8463745117188], [775.794677734375, 776.4447631835938], [792.9296264648438, 805.170654296875], [784.3621215820312, 831.0238647460938], [775.794677734375, 856.8770751953125]]","[[680, 583], [1239, 583], [618, 737], [1308, 737], [497, 1021], [1418, 1021]]","[[544, 533], [544, 737], [1370, 737], [1370, 533]]","[986, 510]",None,None
41720,"[[983.9464721679688, 456.169677734375], [988.2604370117188, 451.8498840332031], [979.6324462890625, 451.8498840332031], [992.5745239257812, 456.169677734375], [972.4423217773438, 454.729736328125], [996.8885498046875, 476.32855224609375], [960.9382934570312, 477.7684631347656], [1006.9546508789062, 492.16766357421875], [940.8062133789062, 490.7277526855469], [1009.8306274414062, 499.3672790527344], [937.9301147460938, 518.0863037109375], [991.1365356445312, 538.2451782226562], [969.5663452148438, 541.125], [1001.2025756835938, 580.0028686523438], [973.8804321289062, 584.3226318359375], [1001.2025756835938, 614.5609741210938], [976.7564086914062, 633.2799682617188]]","[[791.4376220703125, 639.8385620117188], [797.1408081054688, 632.6586303710938], [804.2699584960938, 632.6586303710938], [780.0311279296875, 634.0946655273438], [802.8440551757812, 634.0946655273438], [762.9213256835938, 662.814208984375], [812.8247680664062, 664.2501831054688], [734.4050903320312, 688.6618041992188], [831.3603515625, 697.2776489257812], [734.4050903320312, 688.6618041992188], [844.1926879882812, 703.0215454101562], [764.34716796875, 743.2288818359375], [795.715087890625, 743.2288818359375], [774.327880859375, 773.3844604492188], [794.2892456054688, 803.5399169921875], [774.327880859375, 787.7442016601562], [777.1795043945312, 855.235107421875]]","[[680, 583], [1239, 583], [618, 737], [1308, 737], [497, 1021], [1418, 1021]]","[[544, 533], [544, 737], [1370, 737], [1370, 533]]","[980, 504]",None,None
