frame,top,bottom,court,net,ball,pos,type
34556,"[[822.1400756835938, 380.8407897949219], [823.5735473632812, 373.64019775390625], [817.8397827148438, 375.080322265625], [829.3072509765625, 375.080322265625], [813.5394287109375, 377.9605712890625], [842.208251953125, 393.80181884765625], [809.2390747070312, 392.3616943359375], [857.97607421875, 415.40350341796875], [794.9046630859375, 399.562255859375], [860.843017578125, 439.8854675292969], [792.037841796875, 406.7628479003906], [840.7747802734375, 445.6459045410156], [819.273193359375, 445.6459045410156], [843.6416625976562, 475.8883056640625], [810.6725463867188, 477.32843017578125], [847.9420166015625, 509.01092529296875], [822.1400756835938, 506.1307067871094]]","[[939.0609741210938, 579.0332641601562], [939.0609741210938, 574.7278442382812], [940.4930419921875, 573.292724609375], [940.4930419921875, 577.5980834960938], [959.1106567382812, 577.5980834960938], [940.4930419921875, 606.30078125], [974.8640747070312, 601.995361328125], [920.443359375, 640.7439575195312], [986.3211059570312, 632.1331787109375], [898.9613647460938, 640.7439575195312], [943.3573608398438, 637.8736572265625], [959.1106567382812, 675.1870727539062], [980.5926513671875, 669.4465942382812], [941.9251708984375, 723.9816284179688], [976.296142578125, 708.1951293945312], [941.9251708984375, 779.9517822265625], [986.3211059570312, 762.730224609375]]","[[718, 427], [1197, 427], [654, 638], [1264, 638], [541, 995], [1375, 995]]","[[595, 458], [595, 638], [1314, 638], [1314, 458]]","[791, 467]",None,None
34557,"[[819.3123168945312, 375.0921936035156], [822.1727905273438, 370.7794494628906], [815.0215454101562, 370.7794494628906], [829.323974609375, 372.217041015625], [812.1610717773438, 375.0921936035156], [843.62646484375, 396.6559143066406], [809.300537109375, 393.7807312011719], [857.928955078125, 416.7820739746094], [794.998046875, 402.4062194824219], [859.3591918945312, 438.34576416015625], [792.1375732421875, 406.7189636230469], [845.0567016601562, 442.65850830078125], [823.60302734375, 442.65850830078125], [842.1962280273438, 472.84771728515625], [812.1610717773438, 478.5980224609375], [850.7777099609375, 518.8502807617188], [822.1727905273438, 507.3496398925781]]","[[935.2772827148438, 579.4871215820312], [935.2772827148438, 578.0458984375], [936.7153930664062, 578.0458984375], [936.7153930664062, 580.9283447265625], [956.847900390625, 578.0458984375], [936.7153930664062, 606.870361328125], [971.228271484375, 601.1055297851562], [923.77294921875, 638.5772705078125], [985.6085815429688, 635.69482421875], [895.0122680664062, 645.7833862304688], [897.8883056640625, 644.3422241210938], [955.4097900390625, 677.4903564453125], [978.4183959960938, 673.1666259765625], [935.2772827148438, 729.3743896484375], [974.1043090820312, 704.8735961914062], [938.1533813476562, 791.3469848632812], [984.1705932617188, 761.081298828125]]","[[718, 427], [1197, 427], [654, 638], [1264, 638], [541, 995], [1375, 995]]","[[595, 458], [595, 638], [1314, 638], [1314, 458]]","[791, 467]",None,None
34558,"[[821.2525634765625, 378.4061584472656], [824.1146850585938, 374.11083984375], [816.959228515625, 374.11083984375], [831.2702026367188, 376.9743347167969], [812.6659545898438, 378.4061584472656], [844.1499633789062, 397.0191650390625], [809.8037719726562, 394.1556396484375], [857.02978515625, 417.06402587890625], [796.9239501953125, 402.74627685546875], [857.02978515625, 437.1088562011719], [788.3373413085938, 409.9051513671875], [844.1499633789062, 444.2677307128906], [824.1146850585938, 444.2677307128906], [842.7188720703125, 474.3349609375], [812.6659545898438, 478.6302795410156], [852.736572265625, 521.58349609375], [822.68359375, 505.833984375]]","[[931.5474243164062, 584.1373291015625], [931.5474243164062, 581.2674560546875], [931.5474243164062, 581.2674560546875], [932.9754028320312, 582.7024536132812], [951.5389404296875, 581.2674560546875], [932.9754028320312, 607.0966186523438], [967.2465209960938, 604.2266845703125], [921.5516967773438, 638.66552734375], [982.9541625976562, 638.66552734375], [894.4203491210938, 648.710205078125], [975.8143310546875, 663.0597534179688], [950.1109619140625, 680.2791748046875], [972.9583740234375, 675.9743041992188], [931.5474243164062, 729.0675048828125], [968.6744995117188, 704.67333984375], [937.25927734375, 795.0753173828125], [984.382080078125, 762.0714721679688]]","[[718, 427], [1197, 427], [654, 638], [1264, 638], [541, 995], [1375, 995]]","[[595, 458], [595, 638], [1314, 638], [1314, 458]]","[791, 467]",None,None
34559,"[[820.6028442382812, 380.71112060546875], [823.4509887695312, 376.413818359375], [816.3306884765625, 377.8462219238281], [831.9953002929688, 379.2786865234375], [814.9066772460938, 380.71112060546875], [844.8117065429688, 399.33258056640625], [812.0585327148438, 397.9001770019531], [859.05224609375, 417.9540710449219], [799.2420654296875, 406.49468994140625], [854.7800903320312, 438.0079650878906], [783.5775146484375, 412.2243957519531], [846.2357788085938, 448.034912109375], [826.299072265625, 448.034912109375], [844.8117065429688, 482.41302490234375], [813.4825439453125, 480.9806213378906], [853.3560180664062, 525.3856811523438], [824.875, 506.76422119140625]]","[[925.549072265625, 583.571044921875], [926.9727783203125, 579.2496337890625], [928.3965454101562, 580.6900634765625], [928.3965454101562, 583.571044921875], [948.32861328125, 580.6900634765625], [928.3965454101562, 608.0589599609375], [963.9895629882812, 606.6184692382812], [918.4305419921875, 639.7491455078125], [979.6505737304688, 641.1896362304688], [894.2272338867188, 654.15380859375], [976.8031005859375, 668.5584106445312], [944.0574951171875, 678.6416625976562], [968.2608032226562, 677.2012329101562], [929.8203125, 731.9388427734375], [965.4132690429688, 706.010498046875], [936.9388427734375, 795.3193969726562], [982.4979858398438, 759.3077392578125]]","[[718, 427], [1197, 427], [654, 638], [1264, 638], [541, 995], [1375, 995]]","[[595, 458], [595, 638], [1314, 638], [1314, 458]]","[791, 467]",bottom,short service
34560,"[[822.811767578125, 383.3999328613281], [825.6744384765625, 380.5215759277344], [819.948974609375, 381.9607849121094], [832.8313598632812, 380.5215759277344], [815.6549072265625, 383.3999328613281], [845.713623046875, 400.6700134277344], [815.6549072265625, 399.2308044433594], [860.0272827148438, 419.37921142578125], [802.7725219726562, 404.98748779296875], [851.4390869140625, 439.5276184082031], [817.0862426757812, 389.1566162109375], [850.0076904296875, 452.4801940917969], [829.9685668945312, 449.60186767578125], [844.2822265625, 482.7027893066406], [812.7921142578125, 482.7027893066406], [854.3017578125, 530.1954956054688], [827.1058349609375, 508.60791015625]]","[[922.9302978515625, 583.8212890625], [922.9302978515625, 579.4982299804688], [924.3619995117188, 580.9392700195312], [924.3619995117188, 583.8212890625], [944.4052734375, 580.9392700195312], [924.3619995117188, 608.3186645507812], [961.5851440429688, 606.8776245117188], [917.2036743164062, 637.1390380859375], [977.3334350585938, 641.4620971679688], [894.297119140625, 657.3133544921875], [974.4701538085938, 670.282470703125], [941.5419311523438, 678.9286499023438], [964.4484252929688, 677.4876098632812], [928.6569213867188, 732.2463989257812], [958.7218017578125, 706.3080444335938], [935.8152465820312, 795.6512451171875], [978.76513671875, 758.1847534179688]]","[[718, 427], [1197, 427], [654, 638], [1264, 638], [541, 995], [1375, 995]]","[[595, 458], [595, 638], [1314, 638], [1314, 458]]","[791, 467]",None,None
34561,"[[822.8494873046875, 383.4162902832031], [825.710205078125, 380.5405578613281], [819.9887084960938, 381.9784240722656], [832.8621215820312, 380.5405578613281], [815.6976318359375, 383.4162902832031], [845.7354125976562, 400.6707458496094], [815.6976318359375, 399.2328796386719], [860.0390625, 419.3630676269531], [802.8242797851562, 404.9843444824219], [851.4568481445312, 439.49322509765625], [815.6976318359375, 389.1678161621094], [850.0264892578125, 452.4340515136719], [830.0013427734375, 449.558349609375], [844.3049926757812, 484.06719970703125], [812.8369140625, 482.6293640136719], [854.317626953125, 530.0790405273438], [827.1405639648438, 508.5110168457031]]","[[922.9871215820312, 585.0113525390625], [922.9871215820312, 580.708984375], [924.4177856445312, 580.708984375], [924.4177856445312, 583.5772094726562], [944.4474487304688, 580.708984375], [924.4177856445312, 607.9577026367188], [961.61572265625, 606.5235595703125], [917.2643432617188, 636.6405639648438], [977.3533325195312, 642.3771362304688], [892.942626953125, 658.1527709960938], [974.491943359375, 669.6259155273438], [941.5860595703125, 679.6649169921875], [964.4771118164062, 678.2307739257812], [928.7098388671875, 732.728271484375], [958.7543334960938, 706.9136352539062], [935.8633422851562, 795.8306274414062], [978.7839965820312, 758.5428466796875]]","[[718, 427], [1197, 427], [654, 638], [1264, 638], [541, 995], [1375, 995]]","[[595, 458], [595, 638], [1314, 638], [1314, 458]]","[791, 467]",None,None
34562,"[[823.6026000976562, 388.933349609375], [826.4415893554688, 384.6178283691406], [820.7635498046875, 386.05633544921875], [834.9585571289062, 386.05633544921875], [817.9246215820312, 388.933349609375], [847.7339477539062, 404.75677490234375], [817.9246215820312, 406.1952819824219], [863.3483276367188, 422.0187072753906], [806.5686645507812, 409.072265625], [851.992431640625, 439.2806701660156], [817.9246215820312, 397.5643005371094], [853.4119262695312, 456.54266357421875], [832.1195068359375, 453.6656188964844], [844.8949584960938, 485.31256103515625], [812.2467041015625, 483.8740539550781], [854.8313598632812, 531.3444213867188], [829.280517578125, 508.3284912109375]]","[[920.8308715820312, 584.929443359375], [919.4067993164062, 580.60498046875], [920.8308715820312, 580.60498046875], [920.8308715820312, 582.0464477539062], [940.7685546875, 580.60498046875], [920.8308715820312, 607.9934692382812], [957.8580932617188, 606.552001953125], [912.2861328125, 636.8235473632812], [974.9475708007812, 641.1480712890625], [893.7725219726562, 658.4461059570312], [973.5233764648438, 669.9780883789062], [937.92041015625, 678.6271362304688], [960.706298828125, 677.1856079101562], [927.9514770507812, 731.9627075195312], [956.4339599609375, 706.0156860351562], [935.0720825195312, 795.3887939453125], [973.5233764648438, 757.9097290039062]]","[[718, 427], [1197, 427], [654, 638], [1264, 638], [541, 995], [1375, 995]]","[[595, 458], [595, 638], [1314, 638], [1314, 458]]","[791, 467]",None,None
34563,"[[824.0890502929688, 393.56365966796875], [826.9337158203125, 389.2720947265625], [821.244384765625, 390.7026062011719], [836.8901977539062, 390.7026062011719], [818.399658203125, 393.56365966796875], [846.8465576171875, 409.2994384765625], [818.399658203125, 409.2994384765625], [862.4923095703125, 420.74365234375], [805.5985717773438, 415.02154541015625], [852.5359497070312, 440.77099609375], [792.7974853515625, 415.02154541015625], [856.802978515625, 457.93731689453125], [835.4678344726562, 456.50677490234375], [845.4241943359375, 486.5478210449219], [812.7103271484375, 485.1173095703125], [855.3806762695312, 532.3246459960938], [832.6231689453125, 508.0057678222656]]","[[916.6665649414062, 584.7064819335938], [915.2457885742188, 578.9671020507812], [915.2457885742188, 580.4019775390625], [916.6665649414062, 583.2716674804688], [936.5565795898438, 581.8368530273438], [913.8251342773438, 609.0989379882812], [953.605224609375, 606.229248046875], [908.1422729492188, 642.1004028320312], [972.0745849609375, 642.1004028320312], [892.5143432617188, 663.6231079101562], [972.0745849609375, 670.79736328125], [932.2944946289062, 679.4064331054688], [956.4467163085938, 676.5367431640625], [923.7701416015625, 733.9306640625], [953.605224609375, 708.1033935546875], [935.1359252929688, 795.6290893554688], [967.8124389648438, 756.8882446289062]]","[[718, 427], [1197, 427], [654, 638], [1264, 638], [541, 995], [1375, 995]]","[[595, 458], [595, 638], [1314, 638], [1314, 458]]","[791, 467]",None,None
34564,"[[825.4348754882812, 395.8001708984375], [829.712646484375, 391.509033203125], [822.5830688476562, 392.9394226074219], [839.6939697265625, 392.9394226074219], [821.1571655273438, 395.8001708984375], [849.67529296875, 412.9647216796875], [821.1571655273438, 412.9647216796875], [861.0824584960938, 422.9773864746094], [804.04638671875, 414.3951110839844], [853.9529418945312, 437.28118896484375], [782.6577758789062, 411.53436279296875], [859.6566162109375, 460.16729736328125], [838.2680053710938, 458.7369079589844], [845.3975830078125, 485.91412353515625], [815.4535522460938, 485.91412353515625], [855.37890625, 531.6863403320312], [835.4161987304688, 507.3698425292969]]","[[908.8182983398438, 587.1558227539062], [910.2430419921875, 582.8331909179688], [911.6678466796875, 582.8331909179688], [913.092529296875, 585.7149658203125], [933.0388793945312, 582.8331909179688], [908.8182983398438, 608.7689819335938], [950.1357421875, 605.8872680664062], [903.119384765625, 643.3500366210938], [968.6573486328125, 643.3500366210938], [888.8720092773438, 672.1675415039062], [968.6573486328125, 672.1675415039062], [930.189453125, 680.8128051757812], [954.4099731445312, 676.4901733398438], [915.9420776367188, 734.125244140625], [948.7110595703125, 708.189453125], [928.7646484375, 794.6419677734375], [962.9584350585938, 758.6200561523438]]","[[718, 427], [1197, 427], [654, 638], [1264, 638], [541, 995], [1375, 995]]","[[595, 458], [595, 638], [1314, 638], [1314, 458]]","[791, 467]",None,None
34565,"[[830.3405151367188, 399.2690124511719], [834.6537475585938, 394.95806884765625], [827.4649658203125, 396.3950500488281], [841.8424682617188, 396.3950500488281], [824.5895385742188, 399.2690124511719], [850.468994140625, 415.07568359375], [824.5895385742188, 415.07568359375], [837.5291748046875, 436.6302490234375], [808.7742309570312, 416.51263427734375], [853.344482421875, 438.06719970703125], [787.2080078125, 409.3277893066406], [860.533203125, 459.6217346191406], [838.967041015625, 459.6217346191406], [847.5934448242188, 485.48724365234375], [817.4007568359375, 488.36114501953125], [856.219970703125, 532.9072265625], [838.967041015625, 505.60479736328125]]","[[906.1159057617188, 589.8102416992188], [906.1159057617188, 585.508056640625], [927.5935668945312, 584.0740356445312], [907.5477294921875, 589.8102416992188], [927.5935668945312, 586.942138671875], [903.2521362304688, 615.6232299804688], [947.639404296875, 611.3211059570312], [894.6610717773438, 654.3427734375], [964.8216552734375, 647.1724853515625], [884.6381225585938, 681.5897827148438], [966.2534790039062, 675.8535766601562], [927.5935668945312, 683.0238647460938], [953.3668212890625, 680.15576171875], [906.1159057617188, 734.6498413085938], [943.3438720703125, 705.96875], [923.2980346679688, 793.4461059570312], [959.09423828125, 757.5947875976562]]","[[718, 427], [1197, 427], [654, 638], [1264, 638], [541, 995], [1375, 995]]","[[595, 458], [595, 638], [1314, 638], [1314, 458]]","[791, 467]",None,None
