frame,top,bottom,court,net,ball,pos,type
119401,"[[852.592041015625, 336.2271423339844], [855.41552734375, 331.9076843261719], [848.3568115234375, 331.9076843261719], [861.0625, 330.4678649902344], [844.12158203125, 330.4678649902344], [866.7094116210938, 347.7456970214844], [841.298095703125, 340.5466003417969], [873.7681884765625, 372.2226257324219], [825.7689819335938, 343.4262390136719], [854.0037841796875, 363.5837097167969], [824.357177734375, 346.3058776855469], [863.8860473632812, 390.9402770996094], [848.3568115234375, 390.9402770996094], [859.6507568359375, 425.49591064453125], [855.41552734375, 426.9357604980469], [858.239013671875, 464.3710632324219], [865.2977294921875, 449.9728698730469]]","[[967.8504028320312, 571.9226684570312], [969.2769775390625, 567.6171264648438], [967.8504028320312, 567.6171264648438], [972.1301879882812, 569.0523071289062], [992.1021728515625, 566.1819458007812], [976.4098510742188, 593.4505615234375], [1006.367919921875, 587.7098388671875], [974.9832763671875, 632.2007446289062], [996.3818359375, 619.2839965820312], [963.5707397460938, 665.2101440429688], [960.717529296875, 602.0617065429688], [992.1021728515625, 662.3397216796875], [1019.20703125, 659.4693603515625], [990.6755981445312, 712.5714721679688], [1023.4867553710938, 715.4418334960938], [992.1021728515625, 764.23828125], [1029.1929931640625, 768.5439453125]]","[[721, 403], [1200, 403], [660, 602], [1262, 602], [523, 976], [1396, 976]]","[[604, 425], [604, 602], [1326, 602], [1326, 425]]","[116, 489]",None,None
119402,"[[852.77880859375, 335.6761779785156], [855.6002807617188, 331.3818664550781], [848.5465698242188, 331.3818664550781], [861.2431030273438, 331.3818664550781], [844.314453125, 331.3818664550781], [866.8860473632812, 347.12774658203125], [841.4929809570312, 339.97052001953125], [873.9396362304688, 372.8937072753906], [824.5643920898438, 344.26483154296875], [854.1895141601562, 362.8736267089844], [824.5643920898438, 347.12774658203125], [864.0645751953125, 391.5025329589844], [848.5465698242188, 391.5025329589844], [858.4216918945312, 425.857177734375], [855.6002807617188, 427.28863525390625], [858.4216918945312, 464.5061950683594], [865.4752807617188, 450.1917419433594]]","[[968.37109375, 572.1943359375], [968.37109375, 567.8934326171875], [968.37109375, 567.8934326171875], [971.2500610351562, 567.8934326171875], [991.4026489257812, 566.4597778320312], [977.0079345703125, 593.6991577148438], [1007.23681640625, 587.9645385742188], [974.1289672851562, 630.9740600585938], [968.37109375, 602.301025390625], [961.1737060546875, 666.8153686523438], [952.5369262695312, 598.0001220703125], [992.8421020507812, 662.514404296875], [1020.1920776367188, 659.6470947265625], [991.4026489257812, 712.6921997070312], [1023.0709228515625, 715.5594482421875], [992.8421020507812, 764.3035888671875], [1028.828857421875, 768.6045532226562]]","[[721, 403], [1200, 403], [660, 602], [1262, 602], [523, 976], [1396, 976]]","[[604, 425], [604, 602], [1326, 602], [1326, 425]]","[118, 489]",None,None
119403,"[[852.7647094726562, 335.5185546875], [855.583984375, 331.216552734375], [848.5357055664062, 331.216552734375], [861.2225952148438, 331.216552734375], [844.3067626953125, 331.216552734375], [866.8612670898438, 346.9905090332031], [841.4874877929688, 339.820556640625], [873.9095458984375, 372.8024597167969], [824.5715942382812, 344.1225280761719], [854.17431640625, 362.7644958496094], [824.5715942382812, 346.9905090332031], [864.0419921875, 391.4444274902344], [848.5357055664062, 391.4444274902344], [859.8129272460938, 425.8603515625], [855.583984375, 427.2943420410156], [858.4033203125, 464.57830810546875], [865.4515380859375, 450.23834228515625]]","[[968.7685546875, 572.2532348632812], [968.7685546875, 567.9492797851562], [968.7685546875, 567.9492797851562], [971.6351318359375, 567.9492797851562], [991.7012939453125, 566.5145874023438], [975.9349975585938, 593.773193359375], [1006.0341796875, 588.0345458984375], [974.501708984375, 629.6398315429688], [967.3352661132812, 600.9465942382812], [961.6019897460938, 665.5064697265625], [953.0022583007812, 598.0772094726562], [993.1345825195312, 662.6371459960938], [1020.3671875, 659.767822265625], [990.2679443359375, 712.850341796875], [1023.2337646484375, 715.7196655273438], [991.7012939453125, 764.498291015625], [1028.967041015625, 768.80224609375]]","[[721, 403], [1200, 403], [660, 602], [1262, 602], [523, 976], [1396, 976]]","[[604, 425], [604, 602], [1326, 602], [1326, 425]]","[116, 491]",None,None
119404,"[[852.2348022460938, 335.10748291015625], [856.55078125, 330.8013000488281], [849.3576049804688, 330.8013000488281], [860.8666381835938, 330.8013000488281], [845.0416259765625, 330.8013000488281], [868.0599365234375, 348.0260009765625], [840.7257080078125, 339.41363525390625], [873.8145141601562, 372.4275817871094], [824.9005737304688, 343.7198181152344], [873.8145141601562, 389.65228271484375], [823.4619750976562, 348.0260009765625], [863.7439575195312, 391.087646484375], [847.9188842773438, 391.087646484375], [859.4280395507812, 425.5370178222656], [855.112060546875, 425.5370178222656], [857.9893798828125, 464.2925109863281], [865.1826171875, 449.9386291503906]]","[[967.6911010742188, 572.1912231445312], [969.1290893554688, 567.8836059570312], [967.6911010742188, 567.8836059570312], [972.0050659179688, 569.3194580078125], [990.698974609375, 566.44775390625], [976.3190307617188, 593.7290649414062], [1006.5169067382812, 586.5498046875], [970.5670776367188, 633.9331665039062], [970.5670776367188, 602.34423828125], [959.0631103515625, 668.3937377929688], [953.3111572265625, 599.4725341796875], [992.136962890625, 661.2144165039062], [1019.4588623046875, 656.9068603515625], [990.698974609375, 712.9053955078125], [1023.7728271484375, 714.3412475585938], [992.136962890625, 764.5963134765625], [1029.52490234375, 768.9038696289062]]","[[721, 403], [1200, 403], [660, 602], [1262, 602], [523, 976], [1396, 976]]","[[604, 425], [604, 602], [1326, 602], [1326, 425]]","[118, 491]",None,None
119405,"[[852.6300659179688, 334.5279541015625], [855.4977416992188, 331.6490173339844], [849.7622680664062, 331.6490173339844], [861.2332763671875, 331.6490173339844], [845.460693359375, 330.2095642089844], [868.402587890625, 347.4830627441406], [841.1590576171875, 340.2857666015625], [874.1380615234375, 373.39324951171875], [825.386474609375, 344.6041259765625], [874.1380615234375, 390.6667175292969], [825.386474609375, 347.4830627441406], [865.5347900390625, 390.6667175292969], [848.328369140625, 390.6667175292969], [859.79931640625, 425.2136535644531], [855.4977416992188, 426.65313720703125], [858.365478515625, 465.5184631347656], [865.5347900390625, 449.6844177246094]]","[[967.5213623046875, 571.7349853515625], [968.943359375, 567.4301147460938], [967.5213623046875, 567.4301147460938], [971.7872314453125, 571.7349853515625], [991.6943969726562, 565.9952392578125], [976.052978515625, 593.2590942382812], [1007.3357543945312, 587.5193481445312], [968.943359375, 632.00244140625], [976.052978515625, 616.2180786132812], [956.1458129882812, 663.5711669921875], [950.4580688476562, 601.8687133789062], [993.1163330078125, 662.13623046875], [1020.1332397460938, 657.8314208984375], [990.2723999023438, 712.359130859375], [1024.3990478515625, 715.2289428710938], [991.6943969726562, 764.0169067382812], [1028.6649169921875, 771.191650390625]]","[[721, 403], [1200, 403], [660, 602], [1262, 602], [523, 976], [1396, 976]]","[[604, 425], [604, 602], [1326, 602], [1326, 425]]","[228, 514]",None,None
119406,"[[852.0535278320312, 335.8793640136719], [856.295654296875, 331.5702819824219], [849.225341796875, 331.5702819824219], [861.9519653320312, 330.1339416503906], [844.9830322265625, 330.1339416503906], [869.0223999023438, 348.806640625], [842.1549072265625, 340.1884765625], [873.2645263671875, 373.22479248046875], [825.18603515625, 344.49755859375], [857.7097778320312, 364.60662841796875], [825.18603515625, 348.806640625], [864.7800903320312, 390.461181640625], [849.225341796875, 390.461181640625], [859.123779296875, 423.49749755859375], [854.8816528320312, 424.933837890625], [857.7097778320312, 465.1519775390625], [864.7800903320312, 449.3520202636719]]","[[967.06103515625, 571.431884765625], [968.4830932617188, 567.1183471679688], [967.06103515625, 567.1183471679688], [969.9052124023438, 571.431884765625], [991.2364501953125, 565.6805419921875], [974.1715087890625, 594.4370727539062], [1006.87939453125, 587.2479248046875], [967.06103515625, 628.94482421875], [974.1715087890625, 616.00439453125], [951.4181518554688, 659.1390991210938], [949.9960327148438, 601.6261596679688], [991.2364501953125, 660.5769653320312], [1018.2560424804688, 657.7012939453125], [989.8143920898438, 712.338623046875], [1023.9444580078125, 715.2142333984375], [992.6585693359375, 764.1002197265625], [1029.6326904296875, 771.289306640625]]","[[721, 403], [1200, 403], [660, 602], [1262, 602], [523, 976], [1396, 976]]","[[604, 425], [604, 602], [1326, 602], [1326, 425]]","[339, 538]",None,None
119407,"[[853.9241333007812, 336.4730224609375], [856.7435302734375, 330.71197509765625], [851.1046752929688, 332.1522216796875], [862.3823852539062, 330.71197509765625], [846.8755493164062, 330.71197509765625], [868.021240234375, 347.9950866699219], [842.6464233398438, 340.7937927246094], [873.6600341796875, 372.47943115234375], [825.7298583984375, 345.11456298828125], [875.06982421875, 389.76251220703125], [825.7298583984375, 347.9950866699219], [865.2017822265625, 391.2027587890625], [849.6950073242188, 392.64306640625], [860.97265625, 424.3287048339844], [855.3338012695312, 425.7689514160156], [858.1532592773438, 464.6558837890625], [865.2017822265625, 450.2533264160156]]","[[966.17822265625, 571.7109375], [967.6060180664062, 570.2764282226562], [967.6060180664062, 570.2764282226562], [970.4614868164062, 571.7109375], [991.8779907226562, 567.4072875976562], [971.8892822265625, 596.09814453125], [1007.5833129882812, 586.056396484375], [966.17822265625, 627.6580200195312], [967.6060180664062, 600.4017333984375], [947.6173095703125, 654.914306640625], [947.6173095703125, 609.009033203125], [991.8779907226562, 660.6524658203125], [1019.0054321289062, 653.4797973632812], [990.4501953125, 712.2960205078125], [1023.2886962890625, 713.7305297851562], [991.8779907226562, 765.3740234375], [1028.999755859375, 769.6776733398438]]","[[721, 403], [1200, 403], [660, 602], [1262, 602], [523, 976], [1396, 976]]","[[604, 425], [604, 602], [1326, 602], [1326, 425]]","[449, 561]",None,None
119408,"[[853.980712890625, 336.2151794433594], [856.8197021484375, 331.9067077636719], [851.141845703125, 333.3428649902344], [862.4974975585938, 330.4705505371094], [846.8833618164062, 330.4705505371094], [869.5949096679688, 349.1405334472656], [842.625, 341.95977783203125], [875.272705078125, 372.1189880371094], [822.7525024414062, 353.4490051269531], [875.272705078125, 389.35284423828125], [827.0109252929688, 349.1405334472656], [866.7559204101562, 390.78900146484375], [849.7223510742188, 392.22515869140625], [861.0780639648438, 422.3843994140625], [855.4002685546875, 426.69281005859375], [858.2391357421875, 464.0328369140625], [865.3364868164062, 449.6712646484375]]","[[966.4141845703125, 572.8218994140625], [966.4141845703125, 569.939453125], [966.4141845703125, 569.939453125], [970.6829223632812, 571.380615234375], [990.6041259765625, 565.6157836914062], [973.5288696289062, 595.8814697265625], [1009.1022338867188, 585.7928466796875], [963.5682983398438, 623.2646484375], [970.6829223632812, 614.6173095703125], [945.070068359375, 646.3241577148438], [957.8765258789062, 604.5287475585938], [990.6041259765625, 662.1776123046875], [1017.639892578125, 657.8539428710938], [989.18115234375, 711.17919921875], [1023.3316040039062, 715.5028686523438], [992.0269775390625, 764.5043334960938], [1029.0233154296875, 770.2693481445312]]","[[721, 403], [1200, 403], [660, 602], [1262, 602], [523, 976], [1396, 976]]","[[604, 425], [604, 602], [1326, 602], [1326, 425]]","[560, 585]",None,None
119409,"[[853.9968872070312, 336.2846374511719], [856.8324584960938, 331.97796630859375], [851.161376953125, 331.97796630859375], [862.5034790039062, 330.54241943359375], [846.907958984375, 330.54241943359375], [869.5922241210938, 349.2046813964844], [842.65478515625, 340.59130859375], [875.2633056640625, 372.17364501953125], [822.8060302734375, 353.5113525390625], [875.2633056640625, 389.40032958984375], [827.0592651367188, 349.2046813964844], [866.7567138671875, 390.8358459472656], [849.7435302734375, 392.2714538574219], [861.0856323242188, 422.4181823730469], [855.4146118164062, 426.724853515625], [858.2501220703125, 464.04937744140625], [865.3390502929688, 449.69378662109375]]","[[966.3904418945312, 573.9948120117188], [966.3904418945312, 569.6935424804688], [966.3904418945312, 569.6935424804688], [970.6585083007812, 571.1273193359375], [990.575927734375, 565.3922119140625], [973.5037841796875, 595.5012817382812], [1009.0706787109375, 585.4649658203125], [963.545166015625, 624.1766357421875], [970.6585083007812, 614.1402587890625], [945.0503540039062, 645.68310546875], [957.8543701171875, 604.1038818359375], [990.575927734375, 661.4545288085938], [1017.6066284179688, 657.1531982421875], [989.1531982421875, 711.63623046875], [1023.2974243164062, 714.5037841796875], [991.9985961914062, 764.685546875], [1028.988037109375, 770.4205932617188]]","[[721, 403], [1200, 403], [660, 602], [1262, 602], [523, 976], [1396, 976]]","[[604, 425], [604, 602], [1326, 602], [1326, 425]]","[670, 608]",None,None
119410,"[[854.7244873046875, 336.4088439941406], [857.5947265625, 333.538330078125], [851.8543090820312, 333.538330078125], [863.3352661132812, 332.10302734375], [847.5488891601562, 332.10302734375], [869.0757446289062, 349.3261413574219], [843.2435302734375, 342.14984130859375], [874.8162841796875, 373.72552490234375], [823.1517333984375, 359.3729553222656], [874.8162841796875, 400.99542236328125], [826.02197265625, 352.1966552734375], [866.2055053710938, 392.3838806152344], [850.4191284179688, 393.81915283203125], [860.4649658203125, 425.394775390625], [856.15966796875, 428.2653503417969], [857.5947265625, 464.1467590332031], [866.2055053710938, 451.22943115234375]]","[[966.5449829101562, 574.3993530273438], [966.5449829101562, 570.0777587890625], [966.5449829101562, 570.0777587890625], [970.829833984375, 571.5182495117188], [990.8257446289062, 565.756103515625], [973.6864013671875, 594.5669555664062], [1009.393310546875, 585.9237060546875], [959.403564453125, 619.0562133789062], [966.5449829101562, 608.972412109375], [939.40771484375, 636.3427734375], [942.2642211914062, 632.0211181640625], [989.3974609375, 662.2725219726562], [1017.9630737304688, 657.950927734375], [989.3974609375, 712.6915893554688], [1022.247802734375, 714.1321411132812], [992.2539672851562, 764.55126953125], [1029.3892822265625, 770.3134155273438]]","[[721, 403], [1200, 403], [660, 602], [1262, 602], [523, 976], [1396, 976]]","[[604, 425], [604, 602], [1326, 602], [1326, 425]]","[781, 632]",None,None
