frame,top,bottom,court,net,ball,pos,type
118848,"[[872.1780395507812, 314.6670837402344], [873.5931396484375, 310.3665771484375], [867.9325561523438, 311.8000793457031], [877.8385620117188, 310.3665771484375], [862.2720336914062, 311.8000793457031], [883.4991455078125, 318.9676208496094], [855.1962890625, 323.2681579589844], [906.1414794921875, 323.2681579589844], [839.6296997070312, 336.16973876953125], [904.726318359375, 341.90374755859375], [850.9508056640625, 346.20428466796875], [879.2537841796875, 354.8053283691406], [862.2720336914062, 356.23883056640625], [886.3294067382812, 379.17498779296875], [863.6871337890625, 384.90899658203125], [886.3294067382812, 402.111083984375], [862.2720336914062, 417.87969970703125]]","[[1013.4417114257812, 541.5745849609375], [1006.3350219726562, 537.2559204101562], [1012.0203247070312, 538.6954345703125], [992.1216430664062, 538.6954345703125], [1010.5990600585938, 541.5745849609375], [977.908203125, 554.5306396484375], [1010.5990600585938, 563.1680297851562], [958.0095825195312, 544.4537353515625], [1014.8630981445312, 570.3658447265625], [982.1722412109375, 692.7286987304688], [1020.5484008789062, 571.805419921875], [969.3802490234375, 613.552734375], [990.7003173828125, 620.7505493164062], [976.4869384765625, 653.8604736328125], [1004.9136352539062, 678.3330078125], [980.7509765625, 692.7286987304688], [994.9642944335938, 730.1572875976562]]","[[770, 353], [1174, 353], [703, 557], [1238, 557], [553, 987], [1388, 987]]","[[650, 397], [650, 557], [1299, 557], [1299, 397]]","[893, 412]",None,None
118849,"[[871.64990234375, 314.37298583984375], [874.5299682617188, 310.05322265625], [868.77001953125, 311.4931640625], [878.8499145507812, 311.4931640625], [863.0100708007812, 311.4931640625], [883.1697998046875, 318.6927490234375], [855.8101196289062, 323.01251220703125], [906.2095947265625, 323.01251220703125], [839.9702758789062, 335.9718017578125], [904.7697143554688, 341.7314758300781], [850.0501708984375, 346.0512390136719], [878.8499145507812, 354.6907653808594], [863.0100708007812, 357.57061767578125], [886.0498657226562, 379.16943359375], [863.0100708007812, 386.3690185546875], [887.4898681640625, 402.2081298828125], [863.0100708007812, 418.0472717285156]]","[[1001.4720458984375, 537.876953125], [1005.7289428710938, 536.4393920898438], [1011.40478515625, 537.876953125], [992.9583129882812, 537.876953125], [1011.40478515625, 540.7520751953125], [977.3497924804688, 555.1276245117188], [1009.9857788085938, 562.3153076171875], [956.0655517578125, 543.6271362304688], [1014.24267578125, 569.5030517578125], [981.606689453125, 693.1325073242188], [1021.33740234375, 572.3782348632812], [968.8360595703125, 616.9422607421875], [991.539306640625, 621.2549438476562], [977.3497924804688, 654.3186645507812], [1004.3099365234375, 677.3194580078125], [981.606689453125, 693.1325073242188], [995.7962646484375, 730.5089111328125]]","[[770, 353], [1174, 353], [703, 557], [1238, 557], [553, 987], [1388, 987]]","[[650, 397], [650, 557], [1299, 557], [1299, 397]]","[893, 412]",None,None
118850,"[[871.7177734375, 312.5876159667969], [874.566162109375, 309.7057189941406], [867.4451293945312, 309.7057189941406], [877.4146118164062, 309.7057189941406], [863.1725463867188, 311.14666748046875], [883.1114501953125, 318.3514099121094], [856.0514526367188, 322.67425537109375], [905.8987426757812, 322.67425537109375], [840.3851318359375, 337.083740234375], [905.8987426757812, 339.96563720703125], [850.3546142578125, 345.72943115234375], [878.8388061523438, 354.3750915527344], [863.1725463867188, 357.25701904296875], [887.3840942382812, 378.8712158203125], [863.1725463867188, 386.07598876953125], [887.3840942382812, 403.36737060546875], [863.1725463867188, 419.2177734375]]","[[999.8443603515625, 537.33984375], [1004.1515502929688, 535.8980712890625], [1011.330322265625, 537.33984375], [992.6655883789062, 537.33984375], [1009.89453125, 540.2232055664062], [976.8724365234375, 554.6403198242188], [1009.89453125, 561.8489379882812], [955.3363037109375, 543.106689453125], [1015.6375122070312, 569.0574951171875], [982.6154174804688, 693.0447998046875], [1014.2017822265625, 551.7569580078125], [969.6937866210938, 615.1922607421875], [991.2298583984375, 620.9591674804688], [976.8724365234375, 654.1185302734375], [1004.1515502929688, 677.1859130859375], [981.1796875, 693.0447998046875], [995.5370483398438, 730.529296875]]","[[770, 353], [1174, 353], [703, 557], [1238, 557], [553, 987], [1388, 987]]","[[650, 397], [650, 557], [1299, 557], [1299, 397]]","[893, 412]",None,None
118851,"[[871.6681518554688, 313.5423278808594], [873.0924072265625, 309.243408203125], [867.3953857421875, 309.243408203125], [877.3651123046875, 309.243408203125], [863.12255859375, 310.6763916015625], [883.0621337890625, 317.84124755859375], [856.0014038085938, 322.14019775390625], [905.8501586914062, 323.57318115234375], [840.3345947265625, 336.4699401855469], [905.8501586914062, 340.76885986328125], [850.3043823242188, 346.500732421875], [878.7894287109375, 355.0986022949219], [863.12255859375, 356.5315856933594], [887.3348388671875, 378.0262145996094], [863.12255859375, 385.1910705566406], [887.3348388671875, 402.38677978515625], [863.12255859375, 418.14947509765625]]","[[1012.8446044921875, 541.2553100585938], [1004.2869262695312, 535.5139770507812], [1011.4183959960938, 536.9493408203125], [992.8766479492188, 536.9493408203125], [1009.9921264648438, 541.2553100585938], [977.1876220703125, 555.6084594726562], [1009.9921264648438, 562.7850341796875], [955.7933959960938, 544.1259155273438], [1014.2708740234375, 569.961669921875], [981.4664916992188, 693.39892578125], [1014.2708740234375, 552.7378540039062], [970.0562133789062, 615.8917846679688], [991.450439453125, 620.19775390625], [977.1876220703125, 654.6453247070312], [1004.2869262695312, 677.6104125976562], [981.4664916992188, 693.39892578125], [994.302978515625, 730.7171630859375]]","[[770, 353], [1174, 353], [703, 557], [1238, 557], [553, 987], [1388, 987]]","[[650, 397], [650, 557], [1299, 557], [1299, 397]]","[893, 412]",None,None
118852,"[[871.4060668945312, 312.1891174316406], [874.280517578125, 307.9011535644531], [868.531494140625, 309.3304748535156], [878.59228515625, 309.3304748535156], [862.7825317382812, 310.7597961425781], [884.3413696289062, 317.9064025878906], [857.0335083007812, 322.1943664550781], [905.9000854492188, 323.6236877441406], [839.7864379882812, 336.4875793457031], [905.9000854492188, 340.7755432128906], [851.2845458984375, 346.4928283691406], [880.0296020507812, 355.0687561035156], [862.7825317382812, 356.4980773925781], [887.2158203125, 379.36724853515625], [864.2197265625, 385.0845031738281], [887.2158203125, 402.2363586425781], [862.7825317382812, 417.9588928222656]]","[[1012.1798706054688, 541.7026977539062], [1003.5767822265625, 534.5040893554688], [1010.7460327148438, 537.383544921875], [992.1058349609375, 538.8232421875], [1009.3121948242188, 541.7026977539062], [976.3334350585938, 556.0999755859375], [1009.3121948242188, 563.2986450195312], [953.3916015625, 543.1424560546875], [1016.4814453125, 567.6178588867188], [982.06884765625, 692.8743896484375], [1013.61376953125, 547.4616088867188], [970.5979614257812, 615.1289672851562], [992.1058349609375, 620.8878784179688], [976.3334350585938, 654.0016479492188], [1003.5767822265625, 677.037353515625], [980.635009765625, 692.8743896484375], [994.9735717773438, 731.7470703125]]","[[770, 353], [1174, 353], [703, 557], [1238, 557], [553, 987], [1388, 987]]","[[650, 397], [650, 557], [1299, 557], [1299, 397]]","[893, 412]",None,None
118853,"[[871.4802856445312, 312.3018493652344], [874.3568725585938, 308.0041809082031], [868.6035766601562, 309.43670654296875], [878.6717529296875, 308.0041809082031], [862.8504028320312, 310.8692932128906], [884.425048828125, 318.03204345703125], [857.09716796875, 322.3297119140625], [905.9995727539062, 323.76226806640625], [839.8374633789062, 336.6552429199219], [905.9995727539062, 339.5203552246094], [851.343994140625, 346.68310546875], [880.110107421875, 355.2784118652344], [862.8504028320312, 356.7109680175781], [887.3016357421875, 379.6318359375], [864.2886352539062, 385.3620300292969], [887.3016357421875, 402.55267333984375], [862.8504028320312, 418.3107604980469]]","[[1012.2409057617188, 541.134521484375], [1002.3099365234375, 533.9560546875], [1010.8221435546875, 536.8274536132812], [990.9603271484375, 538.2631225585938], [1009.4035034179688, 541.134521484375], [976.7732543945312, 555.4915161132812], [1007.9848022460938, 562.6699829101562], [952.6553344726562, 542.5702514648438], [1016.4970092773438, 566.97705078125], [981.0293579101562, 693.318359375], [1022.171875, 554.0557861328125], [969.6797485351562, 615.7907104492188], [992.3790893554688, 620.0977783203125], [976.7732543945312, 653.1188354492188], [1003.7286987304688, 676.0899658203125], [981.0293579101562, 693.318359375], [995.2164306640625, 730.646484375]]","[[770, 353], [1174, 353], [703, 557], [1238, 557], [553, 987], [1388, 987]]","[[650, 397], [650, 557], [1299, 557], [1299, 397]]","[893, 412]",None,None
118854,"[[870.3773193359375, 310.0586242675781], [873.2412109375, 307.1819152832031], [867.5133056640625, 307.1819152832031], [877.5372924804688, 307.1819152832031], [863.2173461914062, 310.0586242675781], [884.6971435546875, 317.2504577636719], [856.057373046875, 321.5655822753906], [906.177001953125, 323.0039367675781], [840.3055419921875, 335.9492492675781], [906.177001953125, 341.7027282714844], [850.3294677734375, 346.017822265625], [880.4011840820312, 356.0863952636719], [863.2173461914062, 357.5247497558594], [887.5611572265625, 380.53863525390625], [864.6493530273438, 384.8537292480469], [887.5611572265625, 402.1141357421875], [861.7853393554688, 417.9361877441406]]","[[1010.4591064453125, 540.9329833984375], [1003.3721923828125, 533.7607421875], [1009.0416870117188, 536.6295776367188], [990.61572265625, 538.0640258789062], [1007.6243286132812, 540.9329833984375], [976.4419555664062, 555.2775268554688], [1009.0416870117188, 562.4497680664062], [952.3464965820312, 542.367431640625], [1016.1286010742188, 566.7531127929688], [952.3464965820312, 546.6707763671875], [1021.7981567382812, 553.843017578125], [970.7724609375, 614.090087890625], [992.0331420898438, 619.827880859375], [976.4419555664062, 652.8203735351562], [1003.3721923828125, 675.7716064453125], [980.694091796875, 692.9850463867188], [994.8678588867188, 731.71533203125]]","[[770, 353], [1174, 353], [703, 557], [1238, 557], [553, 987], [1388, 987]]","[[650, 397], [650, 557], [1299, 557], [1299, 397]]","[893, 412]",None,None
118855,"[[871.5042724609375, 311.3856506347656], [872.938720703125, 307.0768127441406], [867.2008666992188, 307.0768127441406], [878.6766967773438, 307.0768127441406], [862.8974609375, 309.94940185546875], [884.41455078125, 317.1308288574219], [857.1595458984375, 321.4396667480469], [905.9317016601562, 322.8759460449219], [841.3803100585938, 335.8025207519531], [905.9317016601562, 341.54766845703125], [851.4215698242188, 345.85650634765625], [880.1111450195312, 355.9105224609375], [862.8974609375, 355.9105224609375], [887.2835083007812, 380.3273620605469], [864.3319091796875, 384.63623046875], [887.2835083007812, 403.30792236328125], [862.8974609375, 417.6707763671875]]","[[998.084228515625, 537.2675170898438], [1002.3688354492188, 534.3897705078125], [1009.5098876953125, 535.82861328125], [989.5149536132812, 537.2675170898438], [1008.0816650390625, 538.7063598632812], [975.2328491210938, 554.5338745117188], [1010.9381103515625, 561.7281494140625], [950.953369140625, 541.5841064453125], [1016.6509399414062, 564.6058349609375], [949.5250854492188, 545.900634765625], [1020.935546875, 553.094970703125], [970.9482421875, 613.527099609375], [992.3713989257812, 619.2825317382812], [976.6610717773438, 653.815185546875], [1003.7970581054688, 673.959228515625], [982.3739013671875, 694.103271484375], [995.227783203125, 730.0747680664062]]","[[770, 353], [1174, 353], [703, 557], [1238, 557], [553, 987], [1388, 987]]","[[650, 397], [650, 557], [1299, 557], [1299, 397]]","[893, 412]",None,None
118856,"[[871.512451171875, 309.9820861816406], [874.3499755859375, 305.6943664550781], [868.6748657226562, 307.12359619140625], [878.6063842773438, 307.12359619140625], [862.999755859375, 308.5528564453125], [885.7003173828125, 317.1282653808594], [855.9058227539062, 321.41595458984375], [906.9821166992188, 324.2744140625], [843.13671875, 335.70831298828125], [905.5633544921875, 342.8544921875], [850.2306518554688, 345.71295166015625], [881.4439086914062, 355.71759033203125], [862.999755859375, 355.71759033203125], [887.119140625, 380.01458740234375], [864.4185180664062, 384.3022766113281], [887.119140625, 402.8823547363281], [861.5809326171875, 418.6039123535156]]","[[997.116943359375, 534.6053466796875], [1002.806396484375, 533.1680908203125], [991.427490234375, 533.1680908203125], [990.0051879882812, 536.0425415039062], [1007.073486328125, 537.4797973632812], [975.7816162109375, 554.7265625], [1009.9181518554688, 559.0382080078125], [951.6016235351562, 543.2286987304688], [1014.1852416992188, 563.3499145507812], [938.8004150390625, 547.5404052734375], [1019.8746948242188, 553.289306640625], [971.5145874023438, 613.6529541015625], [992.8499145507812, 617.9646606445312], [977.2039794921875, 653.8954467773438], [1002.806396484375, 672.5794067382812], [981.4710693359375, 694.1378784179688], [995.6946411132812, 731.505859375]]","[[770, 353], [1174, 353], [703, 557], [1238, 557], [553, 987], [1388, 987]]","[[650, 397], [650, 557], [1299, 557], [1299, 397]]","[893, 412]",None,None
118857,"[[871.51513671875, 309.99298095703125], [874.352783203125, 305.70526123046875], [868.677490234375, 307.1344909667969], [878.6092529296875, 307.1344909667969], [863.0023193359375, 308.5637512207031], [885.703369140625, 317.1392517089844], [855.908203125, 321.4270324707031], [906.985595703125, 324.2855529785156], [843.1387939453125, 335.7195739746094], [905.5667724609375, 342.8658447265625], [850.23291015625, 345.724365234375], [881.4468994140625, 355.7291259765625], [863.0023193359375, 355.7291259765625], [887.1221923828125, 380.0264587402344], [864.4210815429688, 384.3142395019531], [887.1221923828125, 402.89453125], [861.58349609375, 418.6163330078125]]","[[998.052978515625, 534.6904907226562], [1002.3692626953125, 533.2538452148438], [992.2977294921875, 533.2538452148438], [989.4202270507812, 534.6904907226562], [1008.12451171875, 537.5639038085938], [976.4710083007812, 554.8040771484375], [1009.5632934570312, 559.1141357421875], [950.57275390625, 543.3106079101562], [1013.8796997070312, 563.4241333007812], [939.0624389648438, 547.6206665039062], [1021.0736694335938, 553.3673706054688], [970.7159423828125, 613.7080688476562], [992.2977294921875, 618.01806640625], [976.4710083007812, 653.9351806640625], [1003.8081665039062, 672.612060546875], [982.2261962890625, 694.1622924804688], [995.1754150390625, 731.5160522460938]]","[[770, 353], [1174, 353], [703, 557], [1238, 557], [553, 987], [1388, 987]]","[[650, 397], [650, 557], [1299, 557], [1299, 397]]","[894, 412]",None,None
