frame,top,bottom,court,net,ball,pos,type
48409,"[[930.5385131835938, 352.84588623046875], [934.8460083007812, 348.5241394042969], [926.231201171875, 348.5241394042969], [940.5892333984375, 349.9647216796875], [919.0520629882812, 351.4053039550781], [950.6399536132812, 377.335693359375], [906.1297607421875, 377.335693359375], [957.8189697265625, 410.4690246582031], [886.0285034179688, 397.5038146972656], [954.9473266601562, 443.60235595703125], [867.3629760742188, 417.6719665527344], [942.0250244140625, 434.9588623046875], [916.1804809570312, 433.518310546875], [957.8189697265625, 482.4980163574219], [897.5149536132812, 476.7356872558594], [973.6129150390625, 530.037109375], [881.7210083007812, 519.953125]]","[[1107.1285400390625, 578.3803100585938], [1092.9132080078125, 568.3328247070312], [1100.0208740234375, 574.0742797851562], [1094.334716796875, 572.638916015625], [1121.34375, 572.638916015625], [1081.541015625, 605.6519775390625], [1135.5589599609375, 608.522705078125], [1050.2674560546875, 638.6651000976562], [1136.9805908203125, 644.406494140625], [1071.59033203125, 620.0055541992188], [1075.8548583984375, 622.876220703125], [1091.49169921875, 691.7730712890625], [1127.02978515625, 690.3377685546875], [1092.9132080078125, 750.6224975585938], [1127.02978515625, 750.6224975585938], [1121.34375, 802.295166015625], [1138.402099609375, 785.0709228515625]]","[[629, 459], [1261, 459], [556, 670], [1347, 670], [416, 1016], [1485, 1016]]","[[482, 436], [482, 670], [1423, 670], [1423, 436]]","[1059, 407]",None,None
48410,"[[932.3917236328125, 357.0675964355469], [936.6663818359375, 352.7564697265625], [928.1170654296875, 352.7564697265625], [942.3658447265625, 354.1935119628906], [919.5678100585938, 354.1935119628906], [952.3399658203125, 377.1861877441406], [908.1688232421875, 377.1861877441406], [960.8892822265625, 408.8011474609375], [888.2205200195312, 397.3048095703125], [959.4644165039062, 438.9790344238281], [871.1220092773438, 417.4234313964844], [946.6405029296875, 437.5419921875], [919.5678100585938, 436.1049499511719], [959.4644165039062, 483.52740478515625], [901.0443725585938, 476.3421630859375], [973.713134765625, 530.9497680664062], [888.2205200195312, 520.8905029296875]]","[[1099.81494140625, 559.0455322265625], [1089.8427734375, 564.7855224609375], [1095.5411376953125, 557.6105346679688], [1091.267333984375, 567.655517578125], [1118.334716796875, 569.0905151367188], [1079.87060546875, 603.5304565429688], [1131.1561279296875, 604.9655151367188], [1045.68017578125, 629.3604736328125], [1126.88232421875, 637.970458984375], [1044.255615234375, 625.0554809570312], [1068.4737548828125, 615.010498046875], [1089.8427734375, 691.0654296875], [1124.0330810546875, 688.1954956054688], [1092.69189453125, 751.3353881835938], [1119.75927734375, 745.5953979492188], [1121.183837890625, 800.1253051757812], [1134.00537109375, 782.9053344726562]]","[[629, 459], [1261, 459], [556, 670], [1347, 670], [416, 1016], [1485, 1016]]","[[482, 436], [482, 670], [1423, 670], [1423, 436]]","[1059, 418]",None,None
48411,"[[931.7606811523438, 358.53533935546875], [936.045654296875, 352.7918701171875], [927.4757690429688, 352.7918701171875], [943.187255859375, 355.6636047363281], [920.3341674804688, 355.6636047363281], [953.1854248046875, 378.6374816894531], [910.3359375, 378.6374816894531], [963.1836547851562, 410.2265625], [890.3395385742188, 398.7396240234375], [966.040283203125, 438.9439697265625], [873.1997680664062, 418.841796875], [950.3287963867188, 437.508056640625], [923.1907958984375, 436.0721740722656], [958.898681640625, 480.5841064453125], [904.6226806640625, 470.53302001953125], [973.181884765625, 530.8394775390625], [900.3377685546875, 517.9166870117188]]","[[1087.162353515625, 564.8433227539062], [1087.162353515625, 563.4047241210938], [1090.03564453125, 559.0888061523438], [1088.59912109375, 564.8433227539062], [1114.45751953125, 566.2819213867188], [1078.54296875, 597.9315795898438], [1125.9501953125, 600.808837890625], [1039.755126953125, 622.38818359375], [1102.96484375, 615.195068359375], [1032.572265625, 597.9315795898438], [1081.4161376953125, 616.6336669921875], [1090.03564453125, 688.5647583007812], [1121.6405029296875, 685.6875], [1091.47216796875, 751.864013671875], [1110.147705078125, 733.1619873046875], [1115.89404296875, 795.022705078125], [1130.260009765625, 779.1978759765625]]","[[629, 459], [1261, 459], [556, 670], [1347, 670], [416, 1016], [1485, 1016]]","[[482, 436], [482, 670], [1423, 670], [1423, 436]]","[1063, 427]",None,None
48412,"[[934.7671508789062, 358.218994140625], [937.6243896484375, 353.9005126953125], [929.0525512695312, 355.3399963378906], [943.3388671875, 355.3399963378906], [921.9094848632812, 355.3399963378906], [953.3392944335938, 378.37200927734375], [911.9090576171875, 378.37200927734375], [966.1969604492188, 408.6014709472656], [893.3369140625, 397.08544921875], [970.4827880859375, 438.83087158203125], [873.3361206054688, 417.2384338378906], [953.3392944335938, 435.9518737792969], [924.7667236328125, 435.9518737792969], [960.482421875, 482.015869140625], [909.0518188476562, 469.0603332519531], [973.3400268554688, 530.958740234375], [913.337646484375, 512.2453002929688]]","[[1095.3231201171875, 550.0355834960938], [1083.9124755859375, 560.0818481445312], [1086.76513671875, 554.3411254882812], [1085.3387451171875, 561.5170288085938], [1109.586669921875, 564.3873901367188], [1075.3543701171875, 594.526123046875], [1120.997314453125, 597.396484375], [1031.1378173828125, 613.1834716796875], [1118.1446533203125, 634.7111206054688], [1025.432373046875, 593.0910034179688], [1025.432373046875, 593.0910034179688], [1089.6177978515625, 686.3775024414062], [1118.1446533203125, 683.5072021484375], [1089.6177978515625, 749.525390625], [1103.8812255859375, 727.9976806640625], [1116.71826171875, 796.8862915039062], [1126.70263671875, 779.6641845703125]]","[[629, 459], [1261, 459], [556, 670], [1347, 670], [416, 1016], [1485, 1016]]","[[482, 436], [482, 670], [1423, 670], [1423, 436]]","[1063, 439]",None,None
48413,"[[934.6471557617188, 358.14813232421875], [937.5087890625, 355.2700500488281], [930.3546142578125, 355.2700500488281], [943.2320556640625, 355.2700500488281], [921.7695922851562, 356.7090759277344], [953.2479248046875, 378.2949523925781], [911.7537231445312, 378.2949523925781], [966.12548828125, 408.51519775390625], [893.1528930664062, 398.4417724609375], [970.41796875, 438.7353820800781], [873.1211547851562, 417.1495361328125], [953.2479248046875, 435.8572998046875], [924.6312255859375, 435.8572998046875], [960.402099609375, 481.90716552734375], [908.89208984375, 468.9556579589844], [973.2796020507812, 530.8351440429688], [913.1845703125, 512.1273803710938]]","[[1095.3221435546875, 550.040771484375], [1083.91162109375, 560.0867309570312], [1086.7642822265625, 554.34619140625], [1085.337890625, 561.5219116210938], [1109.5853271484375, 564.3922119140625], [1075.353759765625, 594.5301513671875], [1120.9959716796875, 597.400390625], [1031.1378173828125, 613.1869506835938], [1118.1431884765625, 634.7140502929688], [1025.4324951171875, 593.094970703125], [1025.4324951171875, 593.094970703125], [1089.616943359375, 686.3790893554688], [1118.1431884765625, 683.5087890625], [1089.616943359375, 749.5252075195312], [1103.8800048828125, 727.9981079101562], [1116.7169189453125, 796.8848876953125], [1126.701171875, 779.6630859375]]","[[629, 459], [1261, 459], [556, 670], [1347, 670], [416, 1016], [1485, 1016]]","[[482, 436], [482, 670], [1423, 670], [1423, 436]]","[1063, 440]",None,None
48414,"[[934.8145141601562, 359.49163818359375], [937.6864624023438, 355.18377685546875], [930.5067138671875, 355.18377685546875], [943.4302368164062, 356.6197204589844], [921.8909912109375, 356.6197204589844], [953.4818115234375, 379.5951843261719], [911.83935546875, 378.1591796875], [969.2772216796875, 411.1863708496094], [894.6080322265625, 398.2627258300781], [973.5851440429688, 441.3416442871094], [875.940673828125, 415.4942932128906], [954.9177856445312, 435.5977783203125], [927.634765625, 435.5977783203125], [959.2256469726562, 481.5486755371094], [914.7113037109375, 470.0609436035156], [973.5851440429688, 531.8074340820312], [927.634765625, 508.83197021484375]]","[[1077.0499267578125, 556.0907592773438], [1077.0499267578125, 554.6522216796875], [1081.3389892578125, 551.7750854492188], [1079.9093017578125, 556.0907592773438], [1105.6434326171875, 557.5293579101562], [1075.6202392578125, 589.177490234375], [1114.2215576171875, 589.177490234375], [1028.4407958984375, 602.1244506835938], [1092.7763671875, 590.6160278320312], [1018.4330444335938, 587.7388916015625], [1018.4330444335938, 587.7388916015625], [1085.6279296875, 679.8062744140625], [1112.7918701171875, 678.36767578125], [1089.9171142578125, 747.418212890625], [1097.0654296875, 717.2086181640625], [1121.3699951171875, 800.6446533203125], [1107.0732421875, 756.0494995117188]]","[[629, 459], [1261, 459], [556, 670], [1347, 670], [416, 1016], [1485, 1016]]","[[482, 436], [482, 670], [1423, 670], [1423, 436]]","[1065, 459]",None,None
48415,"[[933.4641723632812, 358.9306335449219], [937.7601318359375, 356.0657043457031], [929.1682739257812, 356.0657043457031], [943.488037109375, 356.0657043457031], [920.5762939453125, 356.0657043457031], [953.5118408203125, 378.985107421875], [911.9844360351562, 378.985107421875], [970.6956787109375, 407.63433837890625], [896.2326049804688, 396.1746520996094], [979.28759765625, 437.716064453125], [873.3208618164062, 414.79669189453125], [956.3758544921875, 436.28363037109375], [929.1682739257812, 437.716064453125], [957.807861328125, 483.5548400878906], [920.5762939453125, 473.5276184082031], [973.5596313476562, 530.8261108398438], [939.192138671875, 510.77166748046875]]","[[1083.8795166015625, 525.5081787109375], [1075.3076171875, 551.4541625976562], [1102.451904296875, 551.4541625976562], [1076.7362060546875, 552.8955688476562], [1102.451904296875, 552.8955688476562], [1071.0216064453125, 584.6072998046875], [1109.5950927734375, 584.6072998046875], [1025.304931640625, 596.1388549804688], [1088.1654052734375, 587.4901733398438], [1009.58984375, 574.5172729492188], [1012.4470825195312, 578.841552734375], [1082.4508056640625, 673.9767456054688], [1109.5950927734375, 666.76953125], [1089.5941162109375, 744.607421875], [1088.1654052734375, 731.6344604492188], [1122.4530029296875, 802.26513671875], [1092.451416015625, 766.2290649414062]]","[[629, 459], [1261, 459], [556, 670], [1347, 670], [416, 1016], [1485, 1016]]","[[482, 436], [482, 670], [1423, 670], [1423, 436]]","[1065, 474]",None,None
48416,"[[932.9632568359375, 358.91558837890625], [935.8331909179688, 354.6155090332031], [928.6582641601562, 354.6155090332031], [941.5730590820312, 356.0488586425781], [920.0484619140625, 357.48223876953125], [953.052978515625, 378.9827575683594], [911.4385375976562, 378.9827575683594], [971.7076416015625, 409.0834655761719], [892.7838745117188, 397.61651611328125], [983.1874389648438, 437.7508544921875], [872.6941528320312, 413.3835754394531], [957.3578491210938, 439.1842346191406], [931.5282592773438, 439.1842346191406], [958.7928466796875, 483.6186218261719], [927.2233276367188, 475.01837158203125], [973.142578125, 530.9197998046875], [941.5730590820312, 515.1527099609375]]","[[1079.82421875, 529.1918334960938], [1069.7423095703125, 543.6098022460938], [1072.622802734375, 543.6098022460938], [1072.622802734375, 549.376953125], [1097.1072998046875, 549.376953125], [1065.42138671875, 581.0964965820312], [1104.30859375, 581.0964965820312], [1022.2135620117188, 588.3054809570312], [1102.8682861328125, 614.2578735351562], [1004.930419921875, 569.5621337890625], [1004.930419921875, 571.00390625], [1076.943603515625, 667.6043090820312], [1102.8682861328125, 661.8370971679688], [1087.025390625, 738.2523803710938], [1091.34619140625, 736.8106079101562], [1118.7113037109375, 795.9242553710938], [1085.585205078125, 752.6703491210938]]","[[629, 459], [1261, 459], [556, 670], [1347, 670], [416, 1016], [1485, 1016]]","[[482, 436], [482, 670], [1423, 670], [1423, 436]]","[1067, 497]",None,None
48417,"[[931.424072265625, 359.1611022949219], [934.2819213867188, 353.3944396972656], [927.1373901367188, 353.3944396972656], [941.426513671875, 356.27777099609375], [918.5639038085938, 356.27777099609375], [952.8578491210938, 379.34429931640625], [911.419189453125, 379.34429931640625], [972.8627319335938, 406.7358093261719], [892.84326171875, 396.6441955566406], [984.2941284179688, 434.1273193359375], [871.4094848632812, 415.3857727050781], [958.573486328125, 438.4523010253906], [934.2819213867188, 438.4523010253906], [954.2868041992188, 481.7020568847656], [931.424072265625, 477.3770751953125], [972.8627319335938, 527.8351440429688], [942.85546875, 514.8602294921875]]","[[1069.9989013671875, 525.8701171875], [1069.9989013671875, 534.5184936523438], [1071.4326171875, 528.7529296875], [1069.9989013671875, 543.1668701171875], [1094.3739013671875, 546.0496826171875], [1062.8297119140625, 576.3189086914062], [1097.24169921875, 576.3189086914062], [1019.8147583007812, 587.8500366210938], [1061.3958740234375, 597.9398193359375], [998.3073120117188, 566.2291259765625], [999.7411499023438, 566.2291259765625], [1072.866455078125, 664.243896484375], [1097.24169921875, 658.4783325195312], [1084.337158203125, 734.8721923828125], [1072.866455078125, 693.0718383789062], [1115.8814697265625, 791.0865478515625], [1069.9989013671875, 736.3135986328125]]","[[629, 459], [1261, 459], [556, 670], [1347, 670], [416, 1016], [1485, 1016]]","[[482, 436], [482, 670], [1423, 670], [1423, 436]]","[1067, 514]",None,None
48418,"[[930.2307739257812, 358.87762451171875], [933.0928344726562, 353.1426086425781], [924.506591796875, 353.1426086425781], [940.248046875, 356.0101013183594], [917.3513793945312, 356.0101013183594], [954.558349609375, 378.9501647949219], [910.1961669921875, 378.9501647949219], [973.1619262695312, 404.75775146484375], [894.4547119140625, 397.5889892578125], [991.7654418945312, 440.6015930175781], [872.9891967773438, 416.227783203125], [961.7135620117188, 436.3003234863281], [937.385986328125, 439.1678466796875], [954.558349609375, 482.18048095703125], [933.0928344726562, 476.4454345703125], [973.1619262695312, 525.193115234375], [941.6790771484375, 512.289306640625]]","[[1066.5992431640625, 526.4434814453125], [1066.5992431640625, 533.6292114257812], [1066.5992431640625, 526.4434814453125], [1066.5992431640625, 543.6891479492188], [1088.1356201171875, 546.5634765625], [1057.984619140625, 576.7434692382812], [1092.44287109375, 575.3062744140625], [1017.7833862304688, 586.8034057617188], [1088.1356201171875, 608.360595703125], [993.3753662109375, 565.246337890625], [1065.1634521484375, 726.2062377929688], [1066.5992431640625, 660.0977172851562], [1091.0072021484375, 655.7862548828125], [1079.52099609375, 730.5176391601562], [1072.34228515625, 721.894775390625], [1111.1077880859375, 785.1290893554688], [1063.7276611328125, 730.5176391601562]]","[[629, 459], [1261, 459], [556, 670], [1347, 670], [416, 1016], [1485, 1016]]","[[482, 436], [482, 670], [1423, 670], [1423, 436]]","[1061, 504]",None,None
