frame,top,bottom,court,net,ball,pos,type
114107,"[[986.172607421875, 477.1829528808594], [990.4332275390625, 472.8840026855469], [983.332275390625, 472.8840026855469], [993.2735595703125, 475.74993896484375], [976.231201171875, 472.8840026855469], [1001.7947998046875, 494.37872314453125], [963.4494018554688, 488.6468200683594], [1021.6776123046875, 523.0384521484375], [935.0454711914062, 501.5436706542969], [1008.8958129882812, 541.667236328125], [944.9868774414062, 528.7703247070312], [983.332275390625, 547.3991088867188], [959.1888427734375, 547.3991088867188], [991.8534545898438, 586.0896606445312], [963.4494018554688, 596.1205444335938], [990.4332275390625, 620.4813232421875], [967.7100219726562, 644.842041015625]]","[[845.5384521484375, 667.4832763671875], [844.1141967773438, 663.17626953125], [845.5384521484375, 663.17626953125], [822.7498779296875, 664.6119384765625], [844.1141967773438, 664.6119384765625], [812.77978515625, 684.7113037109375], [845.5384521484375, 684.7113037109375], [791.4154663085938, 706.2462768554688], [876.8729248046875, 704.8106079101562], [811.3555297851562, 717.7316284179688], [874.0243530273438, 703.3749389648438], [801.3854370117188, 753.623291015625], [821.3255004882812, 757.9303588867188], [815.6283569335938, 813.92138671875], [824.1741333007812, 815.3570556640625], [821.3255004882812, 859.8627319335938], [811.3555297851562, 864.1697998046875]]","[[685, 557], [1234, 557], [637, 746], [1283, 746], [561, 1018], [1351, 1018]]","[[579, 560], [579, 746], [1342, 746], [1342, 560]]","[1002, 547]",None,None
114108,"[[987.1697998046875, 476.6778564453125], [990.0308227539062, 473.8128967285156], [982.8783569335938, 472.3804016113281], [994.3223876953125, 473.8128967285156], [975.7257690429688, 472.3804016113281], [1002.9053955078125, 492.43524169921875], [962.8512573242188, 488.1377868652344], [1021.501953125, 522.517578125], [934.2411499023438, 499.5977478027344], [1008.62744140625, 541.139892578125], [945.6851806640625, 528.2474975585938], [982.8783569335938, 546.869873046875], [959.990234375, 545.4373779296875], [991.4613647460938, 586.9796142578125], [964.2817993164062, 595.5745239257812], [990.0308227539062, 619.9268798828125], [968.5733032226562, 644.2791748046875]]","[[845.7124633789062, 666.5969848632812], [844.2918701171875, 662.294921875], [844.2918701171875, 662.294921875], [822.982666015625, 665.1629638671875], [844.2918701171875, 665.1629638671875], [813.0384521484375, 683.8054809570312], [845.7124633789062, 683.8054809570312], [791.7291870117188, 706.75], [876.9659423828125, 705.3159790039062], [811.6178588867188, 716.7882690429688], [874.1246948242188, 703.8818969726562], [801.6735229492188, 754.0731201171875], [820.1414794921875, 758.375244140625], [815.8796997070312, 814.3026123046875], [822.982666015625, 815.7366943359375], [821.5620727539062, 860.1918334960938], [811.6178588867188, 864.4938354492188]]","[[685, 557], [1234, 557], [637, 746], [1283, 746], [561, 1018], [1351, 1018]]","[[579, 560], [579, 746], [1342, 746], [1342, 560]]","[1003, 547]",None,None
114109,"[[987.1869506835938, 476.935302734375], [990.045166015625, 472.6123046875], [982.8995361328125, 472.6123046875], [994.3325805664062, 474.05328369140625], [975.75390625, 472.6123046875], [1002.9074096679688, 492.7862243652344], [962.8917236328125, 488.4632263183594], [1021.4861450195312, 523.0471801757812], [934.3090209960938, 499.9912109375], [1008.6239013671875, 541.7801513671875], [945.7420654296875, 528.8111572265625], [982.8995361328125, 546.1030883789062], [960.0333862304688, 546.1030883789062], [991.474365234375, 586.4509887695312], [964.32080078125, 595.0969848632812], [990.045166015625, 621.034912109375], [968.6082153320312, 644.0908203125]]","[[845.7765502929688, 665.7780151367188], [844.3519897460938, 661.4644165039062], [844.3519897460938, 661.4644165039062], [822.9838256835938, 665.7780151367188], [844.3519897460938, 665.7780151367188], [813.0119018554688, 684.4702758789062], [845.7765502929688, 684.4702758789062], [791.6436767578125, 706.0382690429688], [877.11669921875, 706.0382690429688], [811.5873413085938, 717.5411987304688], [872.843017578125, 701.7246704101562], [801.615478515625, 753.4878540039062], [820.1346435546875, 759.2392578125], [815.8610229492188, 813.8782348632812], [822.9838256835938, 815.3161010742188], [821.5592041015625, 859.8899536132812], [811.5873413085938, 864.2035522460938]]","[[685, 557], [1234, 557], [637, 746], [1283, 746], [561, 1018], [1351, 1018]]","[[579, 560], [579, 746], [1342, 746], [1342, 560]]","[1003, 547]",None,None
114110,"[[986.8184204101562, 475.3869934082031], [991.134521484375, 471.0679626464844], [982.5023803710938, 471.0679626464844], [995.4505615234375, 472.5076599121094], [976.7474975585938, 471.0679626464844], [1002.64404296875, 492.6630554199219], [963.79931640625, 486.9043884277344], [1021.3469848632812, 521.45654296875], [935.0255126953125, 498.4217834472656], [1008.3988037109375, 540.1722412109375], [945.0963134765625, 525.7755126953125], [982.5023803710938, 547.3706665039062], [959.4832153320312, 544.4913330078125], [991.134521484375, 586.2418212890625], [963.79931640625, 594.8798217773438], [991.134521484375, 620.7939453125], [968.1153564453125, 643.8287353515625]]","[[845.6637573242188, 666.4176025390625], [844.2371826171875, 662.1004638671875], [844.2371826171875, 662.1004638671875], [822.8399047851562, 664.978515625], [844.2371826171875, 664.978515625], [812.8544921875, 685.1253662109375], [845.6637573242188, 683.6863403320312], [791.4570922851562, 706.7113037109375], [877.0465087890625, 706.7113037109375], [811.427978515625, 716.78466796875], [872.7670288085938, 702.3941040039062], [801.4425659179688, 754.2001953125], [821.4133911132812, 758.5174560546875], [815.7074584960938, 813.20166015625], [824.266357421875, 814.6407470703125], [821.4133911132812, 860.6906127929688], [811.427978515625, 865.0078125]]","[[685, 557], [1234, 557], [637, 746], [1283, 746], [561, 1018], [1351, 1018]]","[[579, 560], [579, 746], [1342, 746], [1342, 560]]","[1001, 547]",None,None
114111,"[[986.364013671875, 473.4033508300781], [990.6480712890625, 470.5382995605469], [983.5079956054688, 469.1057434082031], [994.9322509765625, 471.9707946777344], [976.3677978515625, 470.5382995605469], [1003.5003662109375, 492.0264587402344], [963.515625, 486.2962951660156], [1022.064697265625, 520.6774291992188], [934.955078125, 496.3240966796875], [1009.2124633789062, 539.3004760742188], [946.3793334960938, 524.9750366210938], [983.5079956054688, 546.4632568359375], [959.2315673828125, 545.0307006835938], [992.0761108398438, 586.5745239257812], [963.515625, 595.1697998046875], [990.6480712890625, 620.9556884765625], [967.7996826171875, 643.8764038085938]]","[[845.5934448242188, 665.720703125], [844.1614379882812, 661.4100341796875], [844.1614379882812, 661.4100341796875], [822.6818237304688, 665.720703125], [844.1614379882812, 665.720703125], [811.2259521484375, 685.837158203125], [845.5934448242188, 684.4002685546875], [791.1783447265625, 705.9535522460938], [877.096923828125, 705.9535522460938], [812.657958984375, 716.0117797851562], [874.2329711914062, 704.5167236328125], [801.2021484375, 754.8078002929688], [821.2498168945312, 757.6815185546875], [815.5218505859375, 813.7202758789062], [824.11376953125, 815.1571655273438], [821.2498168945312, 859.7007446289062], [811.2259521484375, 865.4482421875]]","[[685, 557], [1234, 557], [637, 746], [1283, 746], [561, 1018], [1351, 1018]]","[[579, 560], [579, 746], [1342, 746], [1342, 560]]","[1007, 547]",None,None
114112,"[[986.41748046875, 473.4750671386719], [990.6795654296875, 470.5950927734375], [983.5761108398438, 469.1551208496094], [994.941650390625, 472.03509521484375], [976.4727172851562, 470.5950927734375], [1003.4657592773438, 490.7549133300781], [962.2657470703125, 486.4349670410156], [1021.9346923828125, 520.9946899414062], [933.85205078125, 495.0748596191406], [1010.5691528320312, 538.2745361328125], [946.6382446289062, 519.5546875], [983.5761108398438, 545.4744262695312], [959.4244384765625, 544.0344848632812], [992.1002197265625, 587.2340698242188], [963.6865234375, 595.8739624023438], [990.6795654296875, 620.353759765625], [967.948486328125, 644.8335571289062]]","[[845.4404296875, 666.795166015625], [844.010986328125, 662.47216796875], [844.010986328125, 662.47216796875], [822.5697021484375, 665.3541870117188], [844.010986328125, 665.3541870117188], [811.1343383789062, 685.5280151367188], [845.4404296875, 684.0869750976562], [791.1224365234375, 707.1427612304688], [876.8877563476562, 705.7018432617188], [812.563720703125, 715.7887573242188], [874.0288696289062, 704.2608642578125], [801.1283569335938, 754.6954345703125], [821.1402587890625, 759.0183715820312], [815.422607421875, 813.77587890625], [823.9990844726562, 815.2168579101562], [821.1402587890625, 859.8875122070312], [812.563720703125, 864.21044921875]]","[[685, 557], [1234, 557], [637, 746], [1283, 746], [561, 1018], [1351, 1018]]","[[579, 560], [579, 746], [1342, 746], [1342, 560]]","[1007, 547]",None,None
114113,"[[988.026611328125, 471.65277099609375], [990.8845825195312, 468.7717590332031], [982.3106079101562, 468.7717590332031], [995.1715087890625, 471.65277099609375], [976.5946044921875, 468.7717590332031], [1002.3165283203125, 490.3795166015625], [962.3046264648438, 484.6174621582031], [1022.3224487304688, 519.1898803710938], [932.2957153320312, 494.7010498046875], [1010.8905029296875, 536.4761352539062], [948.0147094726562, 519.1898803710938], [983.7395629882812, 545.1192016601562], [959.4466552734375, 542.2381591796875], [992.3135986328125, 586.8942260742188], [963.733642578125, 595.537353515625], [990.8845825195312, 621.4666748046875], [968.0206298828125, 644.5149536132812]]","[[845.8945922851562, 666.0750122070312], [843.0191650390625, 661.7599487304688], [844.4569091796875, 661.7599487304688], [821.4533081054688, 666.0750122070312], [843.0191650390625, 666.0750122070312], [811.3892822265625, 686.2119140625], [845.8945922851562, 684.7735595703125], [791.26123046875, 706.348876953125], [876.0867309570312, 706.348876953125], [811.3892822265625, 716.4173583984375], [873.2112426757812, 703.47216796875], [801.3253173828125, 755.2528686523438], [821.4533081054688, 756.691162109375], [815.7024536132812, 814.225341796875], [824.3287963867188, 815.6636352539062], [821.4533081054688, 860.2526245117188], [811.3892822265625, 864.5676879882812]]","[[685, 557], [1234, 557], [637, 746], [1283, 746], [561, 1018], [1351, 1018]]","[[579, 560], [579, 746], [1342, 746], [1342, 560]]","[1007, 545]",None,None
114114,"[[987.3442993164062, 471.0335998535156], [991.6233520507812, 466.722900390625], [983.0653686523438, 466.722900390625], [995.9024658203125, 469.5967102050781], [975.93359375, 466.722900390625], [1003.0340576171875, 489.71356201171875], [963.0965576171875, 483.96588134765625], [1021.5765991210938, 517.0150146484375], [933.1433715820312, 494.0243225097656], [1011.5922241210938, 534.2579956054688], [947.4067993164062, 517.0150146484375], [984.4916381835938, 544.31640625], [960.2438354492188, 544.31640625], [993.0497436523438, 585.987060546875], [964.5228881835938, 594.6085205078125], [991.6233520507812, 621.9099731445312], [967.3756103515625, 644.900634765625]]","[[845.8165283203125, 666.748779296875], [842.9384765625, 661.0079345703125], [844.3775024414062, 662.4431762695312], [821.3528442382812, 665.3135986328125], [842.9384765625, 665.3135986328125], [811.2796630859375, 685.40673828125], [845.8165283203125, 683.9715576171875], [791.133056640625, 706.9351806640625], [876.0363159179688, 705.4999389648438], [812.7186889648438, 716.9817504882812], [873.1582641601562, 704.064697265625], [801.2063598632812, 754.297607421875], [821.3528442382812, 758.6033325195312], [815.5967407226562, 814.5772094726562], [825.6699829101562, 814.5772094726562], [821.3528442382812, 860.5045166015625], [812.7186889648438, 863.375]]","[[685, 557], [1234, 557], [637, 746], [1283, 746], [561, 1018], [1351, 1018]]","[[579, 560], [579, 746], [1342, 746], [1342, 560]]","[1007, 544]",None,None
114115,"[[987.4918212890625, 471.1445007324219], [991.8056030273438, 466.8291931152344], [983.1780395507812, 466.8291931152344], [994.6815185546875, 469.7060546875], [975.9884643554688, 468.2676086425781], [1003.3089599609375, 489.8440246582031], [963.0472412109375, 484.0903015136719], [1022.0020141601562, 517.1741333007812], [932.850830078125, 494.1592712402344], [1011.9365234375, 532.996826171875], [948.66796875, 517.1741333007812], [983.1780395507812, 544.5042114257812], [960.1713256835938, 544.5042114257812], [993.2435302734375, 586.2186279296875], [964.485107421875, 594.8491821289062], [991.8056030273438, 620.7408447265625], [967.3609008789062, 643.7556762695312]]","[[845.8436279296875, 665.4957275390625], [842.9660034179688, 661.1705322265625], [844.40478515625, 661.1705322265625], [821.384033203125, 665.4957275390625], [842.9660034179688, 665.4957275390625], [811.3125, 685.6800537109375], [845.8436279296875, 684.2383422851562], [791.1693725585938, 705.8643798828125], [876.0582885742188, 705.8643798828125], [811.3125, 715.95654296875], [873.1806640625, 704.4226684570312], [801.2409057617188, 754.8834838867188], [821.384033203125, 759.208740234375], [815.6288452148438, 813.9947509765625], [825.7005004882812, 815.4365234375], [821.384033203125, 861.5721435546875], [812.7512817382812, 863.0138549804688]]","[[685, 557], [1234, 557], [637, 746], [1283, 746], [561, 1018], [1351, 1018]]","[[579, 560], [579, 746], [1342, 746], [1342, 560]]","[1008, 541]",None,None
114116,"[[986.635498046875, 470.541015625], [990.9459228515625, 466.2384033203125], [982.3250122070312, 466.2384033203125], [993.8195190429688, 467.6725769042969], [976.5777587890625, 466.2384033203125], [1003.8771362304688, 489.1858215332031], [962.2096557617188, 483.448974609375], [1022.5557861328125, 516.4359130859375], [933.473388671875, 496.35687255859375], [1011.0612182617188, 533.646484375], [949.2783203125, 520.738525390625], [985.1986694335938, 543.6859741210938], [960.7728271484375, 540.8175659179688], [992.3826904296875, 586.71240234375], [965.083251953125, 593.8834838867188], [992.3826904296875, 621.133544921875], [967.9568481445312, 644.0810546875]]","[[846.839599609375, 668.7305908203125], [835.4594116210938, 660.0913696289062], [845.4170532226562, 664.4110107421875], [822.6566772460938, 664.4110107421875], [842.572021484375, 664.4110107421875], [811.2764892578125, 686.0091552734375], [846.839599609375, 686.0091552734375], [789.9385986328125, 707.607177734375], [876.712646484375, 707.607177734375], [812.698974609375, 717.6863403320312], [872.4450073242188, 704.7274780273438], [802.7413330078125, 753.6832275390625], [821.2341918945312, 755.123046875], [815.5440063476562, 812.7181396484375], [826.9241943359375, 814.1578979492188], [821.2341918945312, 858.7940673828125], [811.2764892578125, 865.9934692382812]]","[[685, 557], [1234, 557], [637, 746], [1283, 746], [561, 1018], [1351, 1018]]","[[579, 560], [579, 746], [1342, 746], [1342, 560]]","[1009, 544]",None,None
