frame,top,bottom,court,net,ball,pos,type
19435,"[[988.884521484375, 395.52874755859375], [994.6444091796875, 391.21221923828125], [986.004638671875, 391.21221923828125], [1001.8443603515625, 395.52874755859375], [978.8046875, 392.65106201171875], [1007.604248046875, 417.1113586425781], [964.4049072265625, 418.5501708984375], [1016.2440795898438, 430.0609130859375], [934.1653442382812, 443.010498046875], [1027.763916015625, 444.4493103027344], [932.7254638671875, 464.5931091308594], [996.0844116210938, 487.6145324707031], [973.0447998046875, 487.6145324707031], [1003.2843017578125, 536.5350952148438], [981.6846923828125, 540.8516235351562], [987.4445190429688, 571.0672607421875], [977.36474609375, 594.0887451171875]]","[[827.22705078125, 612.0748291015625], [812.8568115234375, 603.4417724609375], [843.0344848632812, 603.4417724609375], [815.7308349609375, 604.880615234375], [840.160400390625, 606.3194580078125], [799.9234619140625, 633.6574096679688], [854.5308227539062, 636.5350952148438], [775.4938354492188, 666.750732421875], [871.7752075195312, 671.0672607421875], [795.6123046875, 656.6788330078125], [878.9603881835938, 666.750732421875], [804.2344970703125, 711.354736328125], [835.8493041992188, 715.6712646484375], [804.2344970703125, 763.1530151367188], [832.9752197265625, 770.3472290039062], [807.108642578125, 807.7570190429688], [815.7308349609375, 809.1958618164062]]","[[645, 522], [1267, 522], [586, 711], [1328, 711], [503, 990], [1421, 990]]","[[513, 494], [513, 711], [1398, 711], [1398, 494]]","[950, 463]",None,None
19436,"[[990.0791015625, 396.0342712402344], [994.3829345703125, 391.7131652832031], [985.7752685546875, 390.2728271484375], [1001.5560302734375, 396.0342712402344], [978.6022338867188, 391.7131652832031], [1007.2944946289062, 416.19940185546875], [962.8214721679688, 419.0801696777344], [1017.3367309570312, 432.0434265136719], [936.9984741210938, 443.56640625], [1027.3790283203125, 446.4471130371094], [932.694580078125, 468.0526428222656], [995.817626953125, 486.7774353027344], [972.86376953125, 489.6581726074219], [1001.5560302734375, 535.7499389648438], [978.6022338867188, 541.5113525390625], [985.7752685546875, 573.199462890625], [977.1675415039062, 590.4838256835938]]","[[828.1305541992188, 605.9271850585938], [815.1994018554688, 595.856201171875], [822.3833618164062, 603.0497436523438], [818.072998046875, 600.1723022460938], [841.0616455078125, 600.1723022460938], [802.2682495117188, 628.9465942382812], [856.8662719726562, 628.9465942382812], [773.5324096679688, 657.7208251953125], [874.1077880859375, 657.7208251953125], [770.658935546875, 639.017578125], [879.85498046875, 650.5272827148438], [808.0154418945312, 709.5144653320312], [841.0616455078125, 708.0757446289062], [800.8314819335938, 761.30810546875], [841.0616455078125, 762.7467651367188], [809.4522094726562, 801.592041015625], [822.3833618164062, 797.27587890625]]","[[645, 522], [1267, 522], [586, 711], [1328, 711], [503, 990], [1421, 990]]","[[513, 494], [513, 711], [1398, 711], [1398, 494]]","[943, 467]",None,None
19437,"[[989.521240234375, 395.4910888671875], [993.7947998046875, 391.17803955078125], [986.672119140625, 391.17803955078125], [1002.3419189453125, 395.4910888671875], [979.549560546875, 392.61572265625], [1008.0399780273438, 417.0565185546875], [962.455322265625, 419.9319152832031], [1018.0117797851562, 432.87115478515625], [938.2383422851562, 445.8103942871094], [1027.9833984375, 448.685791015625], [935.3892822265625, 470.25115966796875], [993.7947998046875, 486.0657958984375], [968.1533813476562, 486.0657958984375], [998.068359375, 534.9473876953125], [972.4269409179688, 536.3851318359375], [985.2476806640625, 575.2028198242188], [973.8515014648438, 589.5797729492188]]","[[831.4120483398438, 597.6295166015625], [837.138427734375, 591.8685302734375], [824.254150390625, 591.8685302734375], [819.9593505859375, 591.8685302734375], [844.29638671875, 591.8685302734375], [805.6434936523438, 622.1136474609375], [857.1806640625, 620.6734008789062], [774.1484985351562, 643.7173461914062], [877.222900390625, 633.6356201171875], [769.853759765625, 626.4343872070312], [884.3809204101562, 630.755126953125], [812.8013916015625, 705.6478881835938], [844.29638671875, 701.3271484375], [802.7802734375, 757.4967041015625], [845.7279052734375, 756.0564575195312], [812.8013916015625, 809.3455810546875], [834.2752685546875, 789.18212890625]]","[[645, 522], [1267, 522], [586, 711], [1328, 711], [503, 990], [1421, 990]]","[[513, 494], [513, 711], [1398, 711], [1398, 494]]","[937, 474]",None,None
19438,"[[989.6087036132812, 396.058837890625], [995.3064575195312, 393.1799621582031], [986.759765625, 391.74053955078125], [1001.0043334960938, 396.058837890625], [979.6375732421875, 393.1799621582031], [1008.1265869140625, 417.65008544921875], [963.9686279296875, 419.08953857421875], [1019.5221557617188, 436.362548828125], [938.3284912109375, 449.31732177734375], [1028.06884765625, 453.6356201171875], [934.0551147460938, 476.66632080078125], [991.0331420898438, 488.18170166015625], [966.8175048828125, 488.18170166015625], [996.7308959960938, 535.6825561523438], [969.6664428710938, 537.1219482421875], [985.3353271484375, 574.546875], [966.8175048828125, 591.8199462890625]]","[[834.914306640625, 589.17724609375], [840.61572265625, 583.4148559570312], [827.78759765625, 581.9743041992188], [824.9369506835938, 581.9743041992188], [847.742431640625, 581.9743041992188], [810.6834106445312, 610.7859497070312], [860.570556640625, 612.2265625], [777.9004516601562, 630.9541015625], [876.2494506835938, 617.9888916015625], [770.7737426757812, 610.7859497070312], [883.3761596679688, 612.2265625], [817.8101196289062, 694.3397216796875], [849.1677856445312, 691.4585571289062], [806.4074096679688, 747.641357421875], [850.5932006835938, 743.319580078125], [813.5341796875, 808.1458129882812], [844.8917846679688, 780.7747192382812]]","[[645, 522], [1267, 522], [586, 711], [1328, 711], [503, 990], [1421, 990]]","[[513, 494], [513, 711], [1398, 711], [1398, 494]]","[931, 482]",None,None
19439,"[[989.6139526367188, 397.3572998046875], [995.3104248046875, 393.0321350097656], [986.7657470703125, 391.5904541015625], [1001.0068359375, 395.91558837890625], [979.645263671875, 393.0321350097656], [1008.1273193359375, 417.5413513183594], [963.9801635742188, 418.9830627441406], [1019.5201416015625, 436.2836608886719], [938.3463134765625, 449.2591247558594], [1028.064697265625, 453.5842590332031], [934.0740356445312, 476.6517639160156], [991.0380859375, 488.18548583984375], [966.8283081054688, 488.18548583984375], [996.7345581054688, 535.7621459960938], [969.676513671875, 537.203857421875], [985.3416748046875, 574.6885375976562], [966.8283081054688, 590.54736328125]]","[[834.9146728515625, 589.2017211914062], [840.6156616210938, 583.4402465820312], [827.78857421875, 581.9998779296875], [824.9381103515625, 581.9998779296875], [847.7417602539062, 581.9998779296875], [810.6858520507812, 610.8073120117188], [860.5687866210938, 612.2477416992188], [777.9055786132812, 630.9725341796875], [876.246337890625, 618.0092163085938], [770.7794799804688, 610.8073120117188], [883.3724365234375, 612.2477416992188], [817.81201171875, 694.348876953125], [849.1669921875, 691.4681396484375], [806.41015625, 747.6426391601562], [850.5922241210938, 743.321533203125], [813.5362548828125, 808.1382446289062], [844.8912963867188, 780.771240234375]]","[[645, 522], [1267, 522], [586, 711], [1328, 711], [503, 990], [1421, 990]]","[[513, 494], [513, 711], [1398, 711], [1398, 494]]","[926, 490]",None,None
19440,"[[989.2025146484375, 396.8625183105469], [994.9478149414062, 393.988037109375], [986.329833984375, 392.55078125], [1000.6930541992188, 395.42529296875], [979.1482543945312, 393.988037109375], [1007.874755859375, 418.4212951660156], [963.3486938476562, 419.8585510253906], [1016.4926147460938, 435.6683044433594], [940.367431640625, 451.4780578613281], [1027.9832763671875, 452.9153137207031], [936.0584716796875, 481.66033935546875], [990.6388549804688, 485.9720764160156], [966.2213134765625, 485.9720764160156], [994.9478149414062, 533.4013671875], [967.6575927734375, 533.4013671875], [984.8934936523438, 575.0816650390625], [956.1669921875, 580.8306884765625]]","[[840.1455688476562, 581.7493286132812], [825.8419189453125, 570.241943359375], [832.9937133789062, 574.5571899414062], [828.7026977539062, 573.1187744140625], [851.5884399414062, 574.5571899414062], [814.3990478515625, 601.8870849609375], [864.461669921875, 601.8870849609375], [782.9310913085938, 617.709716796875], [871.6134643554688, 606.202392578125], [771.4882202148438, 597.5718383789062], [878.7651977539062, 596.1334838867188], [825.8419189453125, 683.8768920898438], [855.8794555664062, 682.4385375976562], [812.9686889648438, 741.4136352539062], [851.5884399414062, 732.7831420898438], [815.8294067382812, 801.8272094726562], [857.3098754882812, 775.9356079101562]]","[[645, 522], [1267, 522], [586, 711], [1328, 711], [503, 990], [1421, 990]]","[[513, 494], [513, 711], [1398, 711], [1398, 494]]","[920, 498]",None,None
19441,"[[987.8515014648438, 398.7096252441406], [993.5977172851562, 394.40057373046875], [984.9783325195312, 392.9642028808594], [1000.780517578125, 397.2732849121094], [977.7955322265625, 394.40057373046875], [1006.52685546875, 418.818603515625], [964.8663940429688, 421.6913146972656], [1015.146240234375, 438.92755126953125], [943.31787109375, 451.854736328125], [1028.0753173828125, 457.60015869140625], [936.1350708007812, 483.45452880859375], [986.4149169921875, 486.3272705078125], [961.9932250976562, 486.3272705078125], [995.0343017578125, 533.7269897460938], [967.7395629882812, 535.1632690429688], [984.9783325195312, 575.3812255859375], [937.5716552734375, 571.0722045898438]]","[[830.1678466796875, 570.388671875], [830.1678466796875, 566.082275390625], [833.0386962890625, 567.5177001953125], [831.603271484375, 566.082275390625], [856.0051879882812, 567.5177001953125], [824.42626953125, 593.3561401367188], [866.0530395507812, 593.3561401367188], [789.9763793945312, 610.581787109375], [868.9239501953125, 590.4851684570312], [774.1869506835938, 589.0497436523438], [870.3593139648438, 584.7433471679688], [831.603271484375, 676.6133422851562], [861.746826171875, 672.3069458007812], [820.1199340820312, 732.5966186523438], [854.56982421875, 721.1128540039062], [820.1199340820312, 794.3217163085938], [864.6176147460938, 771.3543090820312]]","[[645, 522], [1267, 522], [586, 711], [1328, 711], [503, 990], [1421, 990]]","[[513, 494], [513, 711], [1398, 711], [1398, 494]]","[915, 510]",None,None
19442,"[[988.7366943359375, 399.1286315917969], [993.028076171875, 394.8055419921875], [984.4453125, 394.8055419921875], [1000.1802368164062, 397.6875915527344], [977.2930908203125, 394.8055419921875], [1004.4716186523438, 420.7440490722656], [964.4190063476562, 420.7440490722656], [1013.0543823242188, 440.9184265136719], [944.3927001953125, 453.8876647949219], [1030.2197265625, 461.0928039550781], [937.2403564453125, 487.03131103515625], [983.014892578125, 487.03131103515625], [957.2667236328125, 485.5902404785156], [994.45849609375, 531.703125], [962.9885864257812, 537.46728515625], [984.4453125, 577.8159790039062], [932.9490356445312, 577.8159790039062]]","[[835.8697509765625, 563.108154296875], [835.8697509765625, 558.7853393554688], [865.7798461914062, 560.2262573242188], [838.7183227539062, 558.7853393554688], [862.9312133789062, 560.2262573242188], [828.748291015625, 589.0450439453125], [868.6283569335938, 587.6041259765625], [798.8382568359375, 606.3363647460938], [847.2640380859375, 600.5726318359375], [778.898193359375, 587.6041259765625], [781.746826171875, 589.0450439453125], [837.2940673828125, 671.1787109375], [865.7798461914062, 668.2968139648438], [825.8997802734375, 728.8163452148438], [858.6583862304688, 712.9660034179688], [825.8997802734375, 786.4539794921875], [872.9013061523438, 767.7217407226562]]","[[645, 522], [1267, 522], [586, 711], [1328, 711], [503, 990], [1421, 990]]","[[513, 494], [513, 711], [1398, 711], [1398, 494]]","[905, 527]",None,None
19443,"[[989.3966674804688, 398.9039611816406], [993.6697998046875, 394.5924377441406], [985.1234741210938, 394.5924377441406], [1000.7916870117188, 397.4667663574219], [978.0015258789062, 396.02960205078125], [1003.6405029296875, 420.4613342285156], [966.6063842773438, 423.33563232421875], [1012.1868286132812, 439.14434814453125], [943.816162109375, 454.9531555175781], [1029.279541015625, 460.7017822265625], [938.11865234375, 488.0077819824219], [979.4258422851562, 486.57061767578125], [955.2113037109375, 485.1334533691406], [993.6697998046875, 531.12255859375], [958.0599975585938, 538.308349609375], [985.1234741210938, 575.6744384765625], [932.4210205078125, 578.548828125]]","[[842.5869750976562, 561.6121826171875], [842.5869750976562, 555.8541259765625], [845.442626953125, 560.1726684570312], [842.5869750976562, 557.2936401367188], [866.8599853515625, 560.1726684570312], [836.875732421875, 584.6444091796875], [869.7156982421875, 583.2048950195312], [808.3192749023438, 604.7976684570312], [849.7261352539062, 600.4791259765625], [784.0462646484375, 584.6444091796875], [791.1853637695312, 588.9629516601562], [844.014892578125, 668.1363525390625], [871.1434936523438, 660.938720703125], [831.1644287109375, 725.7169799804688], [864.0043334960938, 708.4427490234375], [832.5922241210938, 783.297607421875], [879.71044921875, 763.1443481445312]]","[[645, 522], [1267, 522], [586, 711], [1328, 711], [503, 990], [1421, 990]]","[[513, 494], [513, 711], [1398, 711], [1398, 494]]","[898, 542]",None,None
19444,"[[989.3135375976562, 400.7336730957031], [993.6190185546875, 396.4322814941406], [985.0082397460938, 396.4322814941406], [1000.7947998046875, 397.8660583496094], [977.83251953125, 397.8660583496094], [1003.6650390625, 423.6745910644531], [964.916259765625, 423.6745910644531], [1018.0164184570312, 446.615478515625], [944.82421875, 455.21832275390625], [1032.3677978515625, 470.9902038574219], [939.0836181640625, 488.19586181640625], [976.3973388671875, 483.89447021484375], [953.4351196289062, 485.3282470703125], [990.7487182617188, 528.3424682617188], [956.3053588867188, 535.511474609375], [983.5730590820312, 575.6580200195312], [931.907958984375, 579.95947265625]]","[[844.1306762695312, 556.8531494140625], [844.1306762695312, 553.9763793945312], [875.682861328125, 556.8531494140625], [846.9990844726562, 556.8531494140625], [872.8145141601562, 558.2915649414062], [844.1306762695312, 585.6210327148438], [871.3803100585938, 582.7442626953125], [816.8809814453125, 605.758544921875], [826.9203491210938, 602.8817749023438], [792.499755859375, 587.0594482421875], [792.499755859375, 587.0594482421875], [851.3015747070312, 666.1710815429688], [875.682861328125, 660.4175415039062], [834.09130859375, 725.1451416015625], [867.0776977539062, 703.5692749023438], [841.26220703125, 781.2424926757812], [882.8538818359375, 756.7898559570312]]","[[645, 522], [1267, 522], [586, 711], [1328, 711], [503, 990], [1421, 990]]","[[513, 494], [513, 711], [1398, 711], [1398, 494]]","[892, 537]",None,None
