frame,top,bottom,court,net,ball,pos,type
82660,"[[974.0569458007812, 479.77557373046875], [978.3241577148438, 475.4589538574219], [969.7897338867188, 475.4589538574219], [985.4361572265625, 476.8978271484375], [962.677734375, 476.8978271484375], [991.1257934570312, 498.4808349609375], [949.8760375976562, 501.3585510253906], [1009.6170043945312, 525.8192749023438], [935.6520385742188, 530.1358642578125], [1001.0825805664062, 541.6467895507812], [925.6952514648438, 560.35205078125], [979.74658203125, 557.4743041992188], [955.565673828125, 560.35205078125], [981.1690063476562, 607.8346557617188], [959.8329467773438, 604.9569091796875], [954.143310546875, 622.2233276367188], [965.5224609375, 651.0006713867188]]","[[830.28271484375, 629.2051391601562], [834.5906982421875, 620.5746459960938], [818.7947387695312, 617.69775390625], [817.3588256835938, 622.0130615234375], [840.3347778320312, 620.5746459960938], [808.7427368164062, 652.2197875976562], [860.438720703125, 646.4661254882812], [774.27880859375, 679.5496826171875], [892.0307006835938, 675.2344360351562], [777.1508178710938, 675.2344360351562], [884.8507080078125, 670.919189453125], [823.1027221679688, 735.64794921875], [857.5667114257812, 734.2095336914062], [807.3067626953125, 783.1156616210938], [881.9786987304688, 777.362060546875], [797.2547607421875, 842.0907592773438], [861.874755859375, 826.2681884765625]]","[[658, 587], [1252, 587], [602, 755], [1313, 755], [498, 1018], [1416, 1018]]","[[533, 546], [533, 755], [1385, 755], [1385, 546]]","[924, 521]",None,None
82661,"[[974.0772705078125, 479.7458801269531], [978.341552734375, 475.4281921386719], [969.8128662109375, 475.4281921386719], [985.44873046875, 476.867431640625], [962.7056884765625, 476.867431640625], [991.1345825195312, 498.45574951171875], [949.9126586914062, 501.33416748046875], [1009.6134033203125, 525.8009643554688], [935.6981201171875, 530.1185913085938], [1001.084716796875, 541.6323852539062], [925.7479858398438, 560.3422241210938], [979.7630004882812, 557.4638061523438], [955.598388671875, 560.3422241210938], [981.1844482421875, 607.8365478515625], [959.8627319335938, 604.9581298828125], [954.1769409179688, 622.228759765625], [965.5485229492188, 651.01318359375]]","[[830.3134155273438, 629.2081298828125], [834.62255859375, 620.5768432617188], [818.8222045898438, 617.6997680664062], [817.3858032226562, 622.015380859375], [840.3681640625, 620.5768432617188], [808.7673950195312, 652.224853515625], [860.4778442382812, 646.4706420898438], [774.2937622070312, 679.5571899414062], [890.6422119140625, 675.2415771484375], [777.1665649414062, 675.2415771484375], [884.8966064453125, 670.9259033203125], [823.1314086914062, 735.6605224609375], [857.6050415039062, 734.2219848632812], [807.3309326171875, 783.1325073242188], [882.0238037109375, 777.3783569335938], [797.2762451171875, 842.1128540039062], [861.9142456054688, 826.2888793945312]]","[[658, 587], [1252, 587], [602, 755], [1313, 755], [498, 1018], [1416, 1018]]","[[533, 546], [533, 755], [1385, 755], [1385, 546]]","[922, 523]",top,short service
82662,"[[973.8003540039062, 482.9440612792969], [978.0809936523438, 478.628662109375], [969.5197143554688, 478.628662109375], [985.2154541015625, 478.628662109375], [960.9584350585938, 478.628662109375], [990.9229736328125, 500.20574951171875], [949.5433959960938, 501.64422607421875], [1009.4724731445312, 528.9752197265625], [935.2745971679688, 531.8521118164062], [1002.3380126953125, 544.79833984375], [925.286376953125, 563.49853515625], [978.0809936523438, 560.62158203125], [956.6777954101562, 560.62158203125], [978.0809936523438, 609.5296020507812], [959.5316162109375, 605.2142333984375], [945.2627563476562, 625.3528442382812], [965.2390747070312, 652.683837890625]]","[[834.1312255859375, 629.2965087890625], [838.4127197265625, 623.5369262695312], [826.9954223632812, 623.5369262695312], [821.2867431640625, 623.5369262695312], [844.121337890625, 619.21728515625], [815.578125, 649.4548950195312], [864.1016845703125, 643.6953125], [778.4718627929688, 675.3728637695312], [894.072021484375, 668.1734619140625], [778.4718627929688, 673.9329833984375], [889.79052734375, 666.7335815429688], [828.422607421875, 732.9683837890625], [862.6744995117188, 730.0885620117188], [808.4422607421875, 781.924560546875], [888.3633422851562, 770.4054565429688], [798.4521484375, 842.3997802734375], [874.091796875, 825.1211547851562]]","[[658, 587], [1252, 587], [602, 755], [1313, 755], [498, 1018], [1416, 1018]]","[[533, 546], [533, 755], [1385, 755], [1385, 546]]","[917, 529]",None,None
82663,"[[972.060546875, 482.9191589355469], [977.7500610351562, 478.6228332519531], [967.79345703125, 478.6228332519531], [984.8619384765625, 481.487060546875], [960.6815795898438, 481.487060546875], [991.9738159179688, 502.9686279296875], [949.3026123046875, 504.40069580078125], [1007.619873046875, 528.7464599609375], [935.0789794921875, 533.042724609375], [1003.352783203125, 547.36376953125], [926.544677734375, 565.9811401367188], [979.1724243164062, 558.8206176757812], [957.8369140625, 560.2527465820312], [972.060546875, 610.3763427734375], [959.2592163085938, 606.0800170898438], [940.7683715820312, 628.99365234375], [966.37109375, 654.7715454101562]]","[[838.6666259765625, 628.7151489257812], [844.4085693359375, 620.1033935546875], [828.618408203125, 620.1033935546875], [825.7474365234375, 620.1033935546875], [850.150390625, 618.6680908203125], [820.005615234375, 648.8092041015625], [870.246826171875, 643.0680541992188], [801.3445434570312, 658.8563232421875], [900.3916625976562, 661.7268676757812], [778.3771362304688, 670.338623046875], [884.6015625, 650.2445678710938], [832.9248046875, 732.05615234375], [868.8114013671875, 727.7503051757812], [809.9573364257812, 780.8560791015625], [893.21435546875, 766.503173828125], [798.4735717773438, 841.1383666992188], [890.3433837890625, 828.220703125]]","[[658, 587], [1252, 587], [602, 755], [1313, 755], [498, 1018], [1416, 1018]]","[[533, 546], [533, 755], [1385, 755], [1385, 546]]","[909, 542]",None,None
82664,"[[974.3017578125, 484.9593811035156], [978.597900390625, 482.0910949707031], [970.005859375, 480.656982421875], [985.7578735351562, 483.5252380371094], [962.845703125, 483.5252380371094], [991.4859008789062, 505.0372009277344], [951.3896484375, 505.0372009277344], [1008.6699829101562, 530.8515625], [937.069580078125, 533.7198486328125], [1002.9419555664062, 549.4953002929688], [927.0455932617188, 566.7048950195312], [978.597900390625, 560.9683837890625], [957.11767578125, 562.4025268554688], [965.709716796875, 609.7288208007812], [961.413818359375, 608.294677734375], [937.069580078125, 629.806640625], [967.141845703125, 655.62109375]]","[[845.6126098632812, 626.2219848632812], [848.4810791015625, 617.5825805664062], [835.5726928710938, 617.5825805664062], [829.8356323242188, 619.0224609375], [855.6524658203125, 617.5825805664062], [824.0985107421875, 646.3805541992188], [875.7322387695312, 640.6209716796875], [792.5446166992188, 665.0992431640625], [905.851806640625, 655.0199584960938], [776.7676391601562, 666.5391845703125], [894.377685546875, 646.3805541992188], [838.4412231445312, 729.8947143554688], [874.2979736328125, 727.014892578125], [812.6243286132812, 780.2911376953125], [898.6804809570312, 765.8921508789062], [799.7159423828125, 839.3269653320312], [905.851806640625, 827.8078002929688]]","[[658, 587], [1252, 587], [602, 755], [1313, 755], [498, 1018], [1416, 1018]]","[[533, 546], [533, 755], [1385, 755], [1385, 546]]","[905, 557]",None,None
82665,"[[974.510986328125, 487.61383056640625], [978.8181762695312, 483.3070068359375], [970.2037353515625, 483.3070068359375], [985.9968872070312, 484.7426452636719], [964.4608764648438, 486.17822265625], [993.175537109375, 506.276611328125], [952.9749145507812, 507.7121887207031], [1010.4044799804688, 532.1173095703125], [937.1817626953125, 534.988525390625], [1003.2257080078125, 550.7801513671875], [927.131591796875, 568.00732421875], [978.8181762695312, 560.829345703125], [958.7178955078125, 562.264892578125], [965.8965454101562, 602.4616088867188], [961.58935546875, 605.3328247070312], [934.3102416992188, 631.173583984375], [967.332275390625, 657.0143432617188]]","[[856.2960205078125, 626.326904296875], [862.0518798828125, 617.6939697265625], [846.22314453125, 623.4492797851562], [839.0283203125, 619.1328125], [863.4908447265625, 617.6939697265625], [833.2723999023438, 646.4703979492188], [885.0755004882812, 642.1539306640625], [801.614990234375, 660.8585815429688], [908.09912109375, 650.786865234375], [777.1524047851562, 663.7362670898438], [902.3432006835938, 645.0315551757812], [844.7841796875, 728.4830932617188], [880.758544921875, 727.0443115234375], [816.0046997070312, 780.2805786132812], [903.7821655273438, 764.4535522460938], [800.176025390625, 839.2721557617188], [918.1719360351562, 822.0064086914062]]","[[658, 587], [1252, 587], [602, 755], [1313, 755], [498, 1018], [1416, 1018]]","[[533, 546], [533, 755], [1385, 755], [1385, 546]]","[900, 570]",None,None
82666,"[[975.8812866210938, 488.3359375], [980.1824951171875, 484.036376953125], [971.580078125, 484.036376953125], [987.3512573242188, 485.46954345703125], [965.8450927734375, 486.9027099609375], [993.0862426757812, 505.5340881347656], [954.3751831054688, 508.4004821777344], [1011.724853515625, 531.3313598632812], [937.1702880859375, 537.0641479492188], [1005.9898681640625, 549.9627685546875], [930.0015869140625, 567.1609497070312], [978.748779296875, 564.2946166992188], [960.1101684570312, 564.2946166992188], [965.8450927734375, 607.2901000976562], [964.411376953125, 605.8568725585938], [932.8690795898438, 633.08740234375], [967.2788696289062, 654.5851440429688]]","[[860.9384155273438, 627.3841552734375], [866.6774291992188, 618.77099609375], [853.7646484375, 623.0775756835938], [846.5908203125, 618.77099609375], [870.9816284179688, 617.33544921875], [840.8518676757812, 646.0460205078125], [893.9376831054688, 641.7394409179688], [803.5482788085938, 661.8367919921875], [919.7632446289062, 646.0460205078125], [776.2879638671875, 661.8367919921875], [919.7632446289062, 644.6104736328125], [849.4603271484375, 729.3067016601562], [888.1986694335938, 726.4356079101562], [822.2000732421875, 776.6791381835938], [908.2852172851562, 762.3238525390625], [800.6787109375, 838.4068603515625], [929.8065185546875, 816.8739624023438]]","[[658, 587], [1252, 587], [602, 755], [1313, 755], [498, 1018], [1416, 1018]]","[[533, 546], [533, 755], [1385, 755], [1385, 546]]","[894, 589]",None,None
82667,"[[976.1980590820312, 488.39483642578125], [980.4810791015625, 485.5169982910156], [971.9150390625, 484.07806396484375], [987.619384765625, 485.5169982910156], [966.204345703125, 486.9559326171875], [993.3300170898438, 505.6619567871094], [954.782958984375, 508.5398254394531], [1011.8897705078125, 531.5626831054688], [937.6510009765625, 535.8794555664062], [1006.1790771484375, 550.2687377929688], [929.0850219726562, 568.9747924804688], [979.0533447265625, 563.2190551757812], [960.4937133789062, 563.2190551757812], [966.204345703125, 607.8258056640625], [964.7767333984375, 604.9479370117188], [931.9403076171875, 633.7264404296875], [933.3679809570312, 632.2875366210938]]","[[858.6781005859375, 628.581787109375], [865.8409423828125, 619.9418334960938], [852.9479370117188, 622.8218383789062], [845.7850952148438, 619.9418334960938], [871.5711669921875, 617.0618286132812], [841.4874877929688, 645.8617553710938], [893.0594482421875, 641.5418090820312], [804.2409057617188, 661.7017822265625], [918.8455200195312, 647.3017578125], [775.5897827148438, 661.7017822265625], [918.8455200195312, 644.4218139648438], [851.5153198242188, 727.941650390625], [887.3292236328125, 726.5015869140625], [822.8641357421875, 776.9014892578125], [907.3850708007812, 762.5015869140625], [799.9432373046875, 838.8213500976562], [928.8734130859375, 815.7814331054688]]","[[658, 587], [1252, 587], [602, 755], [1313, 755], [498, 1018], [1416, 1018]]","[[533, 546], [533, 755], [1385, 755], [1385, 546]]","[894, 591]",None,None
82668,"[[978.6084594726562, 487.3524475097656], [982.8980712890625, 483.0524597167969], [974.3189086914062, 483.0524597167969], [990.0473022460938, 484.4858093261719], [968.5994262695312, 484.4858093261719], [995.7667846679688, 504.55230712890625], [955.7307739257812, 508.852294921875], [1014.3549194335938, 527.4855346679688], [938.5724487304688, 537.518798828125], [1008.6354370117188, 547.5520629882812], [931.4232177734375, 567.6185913085938], [980.038330078125, 563.318603515625], [962.8800048828125, 564.751953125], [971.459228515625, 606.3182983398438], [968.5994262695312, 604.885009765625], [968.5994262695312, 656.4846801757812], [931.4232177734375, 634.9848022460938]]","[[861.2674560546875, 624.6761474609375], [877.0277099609375, 616.0341186523438], [859.834716796875, 621.7954711914062], [854.1036987304688, 617.4744873046875], [879.893310546875, 617.4744873046875], [848.3726806640625, 646.28125], [898.5191040039062, 641.960205078125], [808.255615234375, 663.5653076171875], [924.30859375, 641.960205078125], [778.167724609375, 662.125], [928.60693359375, 636.1988525390625], [858.4019165039062, 729.8209838867188], [895.653564453125, 728.3806762695312], [825.4486083984375, 780.2328491210938], [915.7120971679688, 765.8294677734375], [801.091796875, 839.286865234375], [934.3379516601562, 811.9203491210938]]","[[658, 587], [1252, 587], [602, 755], [1313, 755], [498, 1018], [1416, 1018]]","[[533, 546], [533, 755], [1385, 755], [1385, 546]]","[889, 605]",None,None
82669,"[[982.5004272460938, 488.0194396972656], [985.3671875, 483.703857421875], [976.7669677734375, 483.703857421875], [992.5339965820312, 483.703857421875], [971.033447265625, 485.14239501953125], [996.8341064453125, 500.9662170410156], [958.1331787109375, 509.597412109375], [1014.0344848632812, 523.9827270507812], [942.3661499023438, 535.490966796875], [1011.1677856445312, 545.5606689453125], [933.7659912109375, 567.138671875], [982.5004272460938, 564.2615966796875], [965.300048828125, 564.2615966796875], [969.6001586914062, 614.6101684570312], [978.2003784179688, 604.5404052734375], [933.7659912109375, 637.6265869140625], [971.033447265625, 656.3275146484375]]","[[886.9030151367188, 620.9671630859375], [886.9030151367188, 616.6555786132812], [868.2649536132812, 622.404296875], [863.9638061523438, 620.9671630859375], [888.3367309570312, 618.0927734375], [859.6627197265625, 648.2734375], [908.408447265625, 643.9619140625], [818.0853881835938, 662.6451416015625], [932.7813720703125, 639.6503295898438], [785.1102905273438, 661.2080078125], [935.6488037109375, 635.3388671875], [866.8311767578125, 733.066650390625], [902.6736450195312, 730.1923217773438], [833.8561401367188, 780.493408203125], [919.8780517578125, 767.558837890625], [803.7483520507812, 836.543212890625], [938.5161743164062, 814.9855346679688]]","[[658, 587], [1252, 587], [602, 755], [1313, 755], [498, 1018], [1416, 1018]]","[[533, 546], [533, 755], [1385, 755], [1385, 546]]","[903, 599]",None,None
82670,"[[986.464599609375, 488.835205078125], [990.731689453125, 484.5368957519531], [982.1975708007812, 485.96966552734375], [996.4210205078125, 485.96966552734375], [975.0858154296875, 487.4024353027344], [1000.6881103515625, 501.73016357421875], [962.2845458984375, 510.32684326171875], [1016.3340454101562, 523.2218017578125], [946.638671875, 537.549560546875], [1013.4892578125, 547.5789184570312], [938.1045532226562, 567.6378173828125], [985.042236328125, 561.9066772460938], [966.5516967773438, 564.772216796875], [976.5081176757812, 612.0537719726562], [985.042236328125, 606.3226928710938], [943.7940063476562, 626.3815307617188], [973.6633911132812, 650.7386474609375]]","[[894.281005859375, 621.0835571289062], [892.8433837890625, 615.3255615234375], [892.8433837890625, 615.3255615234375], [874.1537475585938, 621.0835571289062], [897.1563720703125, 619.6441040039062], [868.4031372070312, 648.43408203125], [915.8458862304688, 644.1156005859375], [828.148681640625, 664.2685546875], [934.5354614257812, 644.1156005859375], [792.2071533203125, 661.3895874023438], [940.2861328125, 632.5995483398438], [874.1537475585938, 733.3645629882812], [911.532958984375, 730.485595703125], [841.087646484375, 777.989013671875], [923.0342407226562, 767.9125366210938], [812.3344116210938, 834.1295776367188], [938.8484497070312, 815.4160766601562]]","[[658, 587], [1252, 587], [602, 755], [1313, 755], [498, 1018], [1416, 1018]]","[[533, 546], [533, 755], [1385, 755], [1385, 546]]","[917, 593]",bottom,net shot
