frame,top,bottom,court,net,ball,pos,type
47108,"[[882.8593139648438, 338.0289611816406], [887.0908813476562, 335.1595764160156], [880.0382690429688, 335.1595764160156], [892.7330322265625, 336.5942687988281], [875.8067016601562, 335.1595764160156], [901.1962280273438, 358.11474609375], [865.9329833984375, 350.9412536621094], [908.2488403320312, 379.6352233886719], [856.0592651367188, 368.1576232910156], [892.7330322265625, 392.5474853515625], [857.4697875976562, 386.8087158203125], [892.7330322265625, 402.59039306640625], [874.3961181640625, 398.28631591796875], [887.0908813476562, 438.4577941894531], [877.2171630859375, 437.0231018066406], [888.50146484375, 478.6293640136719], [891.322509765625, 458.5436096191406]]","[[973.9225463867188, 557.8297729492188], [972.4835815429688, 554.9531860351562], [998.3858032226562, 552.0765380859375], [973.9225463867188, 557.8297729492188], [998.3858032226562, 554.9531860351562], [972.4835815429688, 592.3489990234375], [1012.77587890625, 577.9659423828125], [950.8983764648438, 629.7448120117188], [1032.922119140625, 615.36181640625], [930.752197265625, 649.8810424804688], [1037.2391357421875, 644.1278686523438], [992.6296997070312, 662.8257446289062], [1014.2149047851562, 661.387451171875], [996.94677734375, 724.6727294921875], [998.3858032226562, 705.9747924804688], [1018.5319213867188, 783.6430053710938], [991.190673828125, 739.0557250976562]]","[[722, 399], [1200, 399], [661, 599], [1262, 599], [522, 982], [1396, 982]]","[[598, 424], [598, 599], [1320, 599], [1320, 424]]","[1055, 601]",None,None
47109,"[[883.7597045898438, 338.5209655761719], [886.6152954101562, 335.6502380371094], [880.9041137695312, 335.6502380371094], [892.3265380859375, 337.0856018066406], [875.19287109375, 335.6502380371094], [900.8933715820312, 357.1805725097656], [866.6260986328125, 351.43914794921875], [908.0324096679688, 380.146240234375], [855.2036743164062, 368.66339111328125], [892.3265380859375, 391.62908935546875], [858.0592651367188, 387.3229675292969], [892.3265380859375, 403.1119079589844], [875.19287109375, 400.2411804199219], [888.0431518554688, 438.9957580566406], [878.048583984375, 438.9957580566406], [888.0431518554688, 477.7503356933594], [892.3265380859375, 460.52606201171875]]","[[973.1990356445312, 557.25537109375], [973.1990356445312, 555.8173217773438], [998.8848876953125, 551.5030517578125], [974.6259765625, 557.25537109375], [997.4578857421875, 555.8173217773438], [973.1990356445312, 593.2073974609375], [1013.15478515625, 578.8265991210938], [961.7831420898438, 613.340576171875], [1033.1326904296875, 614.7786254882812], [930.3893432617188, 649.2925415039062], [1038.840576171875, 646.4163818359375], [991.7498779296875, 662.2352905273438], [1013.15478515625, 662.2352905273438], [996.0308837890625, 725.5108642578125], [998.8848876953125, 705.377685546875], [1017.4357299804688, 783.0340576171875], [990.3228759765625, 739.8917236328125]]","[[722, 399], [1200, 399], [661, 599], [1262, 599], [522, 982], [1396, 982]]","[[598, 424], [598, 599], [1320, 599], [1320, 424]]","[1045, 605]",None,None
47110,"[[885.0314331054688, 341.0439147949219], [887.901123046875, 336.7471618652344], [880.7269897460938, 336.7471618652344], [893.6405029296875, 336.7471618652344], [876.4225463867188, 336.7471618652344], [900.8145751953125, 358.23089599609375], [866.378662109375, 351.0696716308594], [907.9887084960938, 381.1468811035156], [854.900146484375, 368.25665283203125], [895.0753173828125, 392.6048583984375], [857.769775390625, 386.8758544921875], [892.2056274414062, 406.9273681640625], [874.9877319335938, 402.630615234375], [887.901123046875, 441.3013000488281], [877.8573608398438, 439.8690490722656], [889.3359375, 477.1075134277344], [889.3359375, 457.0560607910156]]","[[972.89990234375, 558.0790405273438], [972.89990234375, 556.6389770507812], [998.6050415039062, 552.3187866210938], [974.3280639648438, 558.0790405273438], [998.6050415039062, 555.1988525390625], [972.89990234375, 594.0806274414062], [1012.8857421875, 579.6799926757812], [961.4755249023438, 614.2415161132812], [1034.306640625, 614.2415161132812], [930.05810546875, 648.8030395507812], [1038.5908203125, 647.3629760742188], [992.892822265625, 663.2036743164062], [1014.3137817382812, 661.7636108398438], [995.7489624023438, 725.1264038085938], [998.6050415039062, 704.9655151367188], [1017.169921875, 782.7289428710938], [990.0367431640625, 739.527099609375]]","[[722, 399], [1200, 399], [661, 599], [1262, 599], [522, 982], [1396, 982]]","[[598, 424], [598, 599], [1320, 599], [1320, 424]]","[1035, 609]",None,None
47111,"[[884.3524169921875, 341.4989013671875], [887.2299194335938, 337.1751708984375], [881.4749755859375, 337.1751708984375], [892.9847412109375, 337.1751708984375], [875.7200927734375, 337.1751708984375], [901.6170654296875, 358.79388427734375], [867.0877685546875, 350.1463928222656], [907.3720092773438, 381.8538513183594], [854.1393432617188, 368.88262939453125], [898.7396850585938, 390.5013427734375], [857.0167236328125, 387.6188659667969], [891.5460205078125, 406.35504150390625], [874.2814331054688, 403.4725646972656], [887.2299194335938, 439.5037841796875], [875.7200927734375, 438.06256103515625], [888.6685791015625, 478.41748046875], [887.2299194335938, 456.79876708984375]]","[[973.4564208984375, 558.0176391601562], [973.4564208984375, 556.5803833007812], [999.3757934570312, 552.2686767578125], [974.8964233398438, 558.0176391601562], [997.9358520507812, 556.5803833007812], [973.4564208984375, 593.9484252929688], [1012.3355102539062, 579.5761108398438], [960.4967651367188, 615.5068969726562], [1035.3748779296875, 615.5068969726562], [928.8174438476562, 648.563232421875], [1039.69482421875, 645.6887817382812], [992.176025390625, 662.935546875], [1013.7754516601562, 661.4983520507812], [996.495849609375, 726.1737060546875], [999.3757934570312, 704.6152954101562], [1018.0953369140625, 783.6629638671875], [989.2960815429688, 740.5460205078125]]","[[722, 399], [1200, 399], [661, 599], [1262, 599], [522, 982], [1396, 982]]","[[598, 424], [598, 599], [1320, 599], [1320, 424]]","[1026, 612]",None,None
47112,"[[884.13916015625, 342.08612060546875], [888.4034423828125, 337.7836608886719], [881.2963256835938, 339.21783447265625], [894.0891723632812, 339.21783447265625], [875.610595703125, 339.21783447265625], [901.1962890625, 357.8619079589844], [867.0819702148438, 350.69110107421875], [908.3035278320312, 380.8084411621094], [854.2890625, 366.46685791015625], [898.3534545898438, 390.8475341796875], [855.7105102539062, 385.11090087890625], [891.246337890625, 405.1891174316406], [874.1890869140625, 402.32080078125], [888.4034423828125, 439.60894775390625], [875.610595703125, 439.60894775390625], [888.4034423828125, 478.33123779296875], [886.9819946289062, 456.8188781738281]]","[[973.5029907226562, 557.9971313476562], [973.5029907226562, 556.5571899414062], [999.385986328125, 552.2373046875], [974.94091796875, 557.9971313476562], [997.9480590820312, 556.5571899414062], [973.5029907226562, 593.9960327148438], [1012.3275146484375, 579.5964965820312], [957.6856079101562, 619.915283203125], [1035.334716796875, 614.1554565429688], [928.9266357421875, 645.83447265625], [1039.6484375, 644.39453125], [992.1962890625, 663.114013671875], [1013.7655029296875, 661.6740112304688], [996.5100708007812, 726.4720458984375], [999.385986328125, 704.8727416992188], [1018.0792846679688, 784.0703735351562], [989.3204345703125, 740.8716430664062]]","[[722, 399], [1200, 399], [661, 599], [1262, 599], [522, 982], [1396, 982]]","[[598, 424], [598, 599], [1320, 599], [1320, 424]]","[1016, 616]",None,None
47113,"[[884.1895141601562, 342.06817626953125], [887.0382690429688, 337.7498474121094], [881.3408203125, 339.1893005371094], [892.7357788085938, 339.1893005371094], [875.6433715820312, 339.1893005371094], [901.2819213867188, 357.90203857421875], [867.0971069335938, 350.704833984375], [908.40380859375, 380.93310546875], [854.2777709960938, 366.5386962890625], [898.4332275390625, 391.0091857910156], [855.7021484375, 385.25140380859375], [891.3114013671875, 406.8430480957031], [874.218994140625, 403.9641418457031], [888.4625854492188, 439.9501953125], [875.6433715820312, 439.9501953125], [888.4625854492188, 477.37567138671875], [887.0382690429688, 457.2234802246094]]","[[972.772216796875, 558.0650634765625], [972.772216796875, 556.6255493164062], [998.4287109375, 552.3073120117188], [974.1976318359375, 558.0650634765625], [998.4287109375, 556.6255493164062], [972.772216796875, 594.0509033203125], [1012.6822509765625, 579.6565551757812], [957.09326171875, 619.960693359375], [1035.488037109375, 614.2029418945312], [928.5860595703125, 645.8705444335938], [1039.7640380859375, 644.4310913085938], [991.3018798828125, 663.1437377929688], [1014.107666015625, 661.704345703125], [995.5779418945312, 725.0394287109375], [998.4287109375, 706.3267822265625], [1018.3837280273438, 784.0562744140625], [989.8765869140625, 740.8732299804688]]","[[722, 399], [1200, 399], [661, 599], [1262, 599], [522, 982], [1396, 982]]","[[598, 424], [598, 599], [1320, 599], [1320, 424]]","[1006, 620]",None,None
47114,"[[884.11328125, 342.7332763671875], [888.3651123046875, 339.87396240234375], [881.2787475585938, 339.87396240234375], [894.0341796875, 339.87396240234375], [875.6096801757812, 339.87396240234375], [901.1205444335938, 358.4595031738281], [867.1060791015625, 351.31121826171875], [908.2069091796875, 381.333984375], [854.3506469726562, 365.6077880859375], [901.1205444335938, 389.9119567871094], [855.7678833007812, 384.1933288574219], [892.6168823242188, 405.63818359375], [874.1924438476562, 405.63818359375], [888.3651123046875, 441.37957763671875], [875.6096801757812, 441.37957763671875], [888.3651123046875, 477.1209716796875], [881.2787475585938, 455.6761169433594]]","[[998.5653686523438, 556.7713623046875], [992.8568115234375, 552.454345703125], [998.5653686523438, 552.454345703125], [974.3038330078125, 558.2103271484375], [998.5653686523438, 556.7713623046875], [972.8766479492188, 594.1852416992188], [1012.8368530273438, 579.7952880859375], [952.896484375, 624.4041137695312], [1034.244140625, 612.8922119140625], [925.7806396484375, 648.8670654296875], [1038.525634765625, 644.550048828125], [991.4296264648438, 663.2570190429688], [1014.2640380859375, 661.8180541992188], [995.7110595703125, 725.1337890625], [998.5653686523438, 704.9879150390625], [1018.5454711914062, 784.1326904296875], [990.00244140625, 740.9628295898438]]","[[722, 399], [1200, 399], [661, 599], [1262, 599], [522, 982], [1396, 982]]","[[598, 424], [598, 599], [1320, 599], [1320, 424]]","[996, 624]",None,None
47115,"[[885.195068359375, 343.3573913574219], [888.0452880859375, 339.0449523925781], [880.919677734375, 339.0449523925781], [893.7457275390625, 339.0449523925781], [876.6444091796875, 339.0449523925781], [900.8712768554688, 359.16961669921875], [866.6686401367188, 350.5447692871094], [907.9967651367188, 380.7318115234375], [853.8427124023438, 366.3570251464844], [905.1465454101562, 386.4816589355469], [855.2677612304688, 383.60675048828125], [892.3206176757812, 406.6063537597656], [875.2192993164062, 405.16888427734375], [888.0452880859375, 441.1058044433594], [875.2192993164062, 441.1058044433594], [888.0452880859375, 478.4801940917969], [879.49462890625, 456.9179992675781]]","[[972.8683471679688, 557.7106323242188], [992.8386840820312, 551.9517211914062], [998.5444946289062, 551.9517211914062], [974.2948608398438, 557.7106323242188], [998.5444946289062, 556.2709350585938], [972.8683471679688, 593.7037353515625], [1012.8088989257812, 579.3065185546875], [947.1923217773438, 629.6968994140625], [1032.7791748046875, 610.98046875], [927.2220458984375, 644.0941162109375], [1039.9114990234375, 641.2146606445312], [991.4122314453125, 662.810546875], [1014.2353515625, 661.3707885742188], [995.6915283203125, 724.7186889648438], [999.970947265625, 704.5625610351562], [1017.0883178710938, 782.3076782226562], [989.9857177734375, 739.1159057617188]]","[[722, 399], [1200, 399], [661, 599], [1262, 599], [522, 982], [1396, 982]]","[[598, 424], [598, 599], [1320, 599], [1320, 424]]","[986, 628]",None,None
47116,"[[885.0628662109375, 343.6985778808594], [887.9144897460938, 339.3922424316406], [882.2111206054688, 339.3922424316406], [893.6177978515625, 339.3922424316406], [876.5078125, 339.3922424316406], [902.1728515625, 359.48846435546875], [867.9527587890625, 350.87579345703125], [907.8761596679688, 381.0201416015625], [853.6944580078125, 365.2302551269531], [905.0244750976562, 386.7619323730469], [855.1202392578125, 382.4555969238281], [892.1919555664062, 405.4226989746094], [875.0819702148438, 403.98724365234375], [887.9144897460938, 441.308837890625], [875.0819702148438, 441.308837890625], [889.34033203125, 477.1949462890625], [879.3594360351562, 457.0987243652344]]","[[973.7149047851562, 557.6602172851562], [973.7149047851562, 556.2225341796875], [999.384765625, 551.9094848632812], [973.7149047851562, 557.6602172851562], [997.9586181640625, 556.2225341796875], [972.2887573242188, 595.0401611328125], [1012.2197265625, 579.2255859375], [959.4537963867188, 613.7301025390625], [1033.611328125, 610.8547973632812], [926.6533203125, 643.921630859375], [1039.3157958984375, 639.6085815429688], [990.828125, 662.611572265625], [1013.6458129882812, 662.611572265625], [996.5325927734375, 725.8699340820312], [999.384765625, 705.7422485351562], [1017.9241943359375, 783.3775024414062], [989.4019775390625, 740.246826171875]]","[[722, 399], [1200, 399], [661, 599], [1262, 599], [522, 982], [1396, 982]]","[[598, 424], [598, 599], [1320, 599], [1320, 424]]","[977, 631]",None,None
47117,"[[886.0499267578125, 344.9929504394531], [888.8952026367188, 340.6976318359375], [883.2047119140625, 340.6976318359375], [894.5856323242188, 340.6976318359375], [876.0917358398438, 340.6976318359375], [901.69873046875, 359.3106689453125], [867.5560302734375, 349.28826904296875], [908.8117065429688, 380.7872314453125], [853.3298950195312, 365.0377502441406], [898.853515625, 389.37786865234375], [854.7525024414062, 382.218994140625], [891.7404174804688, 405.1273498535156], [874.6690063476562, 403.6955871582031], [888.8952026367188, 439.4898681640625], [873.2463989257812, 439.4898681640625], [888.8952026367188, 476.7159423828125], [878.9368896484375, 459.53466796875]]","[[973.902587890625, 558.7716674804688], [973.902587890625, 554.4609375], [998.2019653320312, 551.5870971679688], [973.902587890625, 558.7716674804688], [998.2019653320312, 555.8978271484375], [973.902587890625, 593.2578735351562], [1012.4957885742188, 578.888671875], [948.173828125, 624.8702392578125], [1032.507080078125, 607.6271362304688], [926.733154296875, 644.9871826171875], [1042.5126953125, 634.9287109375], [991.0551147460938, 663.6671752929688], [1012.4957885742188, 662.2302856445312], [996.7725830078125, 725.4549560546875], [999.63134765625, 705.3380126953125], [1018.2132568359375, 784.368896484375], [989.625732421875, 739.82421875]]","[[722, 399], [1200, 399], [661, 599], [1262, 599], [522, 982], [1396, 982]]","[[598, 424], [598, 599], [1320, 599], [1320, 424]]","[967, 635]",None,None
