frame,top,bottom,court,net,ball,pos,type
78740,"[[1091.6552734375, 379.4054870605469], [1097.4114990234375, 375.10968017578125], [1090.2161865234375, 375.10968017578125], [1103.1678466796875, 377.9735412597656], [1084.4598388671875, 375.10968017578125], [1111.80224609375, 393.7248840332031], [1074.3863525390625, 385.13323974609375], [1121.8758544921875, 422.3636474609375], [1061.4346923828125, 402.3164978027344], [1103.1678466796875, 420.9317321777344], [1062.873779296875, 423.79559326171875], [1098.8505859375, 451.0024108886719], [1077.2645263671875, 448.1385498046875], [1097.4114990234375, 488.2328186035156], [1077.2645263671875, 486.8009033203125], [1097.4114990234375, 531.1910400390625], [1080.1427001953125, 514.0076904296875]]","[[910.20849609375, 580.037109375], [910.20849609375, 575.7219848632812], [913.0629272460938, 575.7219848632812], [911.6357421875, 580.037109375], [935.8984985351562, 578.5987548828125], [904.4996337890625, 610.2430419921875], [954.4523315429688, 604.489501953125], [893.0819091796875, 634.6954345703125], [981.5695190429688, 623.1883544921875], [918.7717895507812, 634.6954345703125], [970.1517944335938, 643.32568359375], [920.1990356445312, 686.4769287109375], [953.025146484375, 685.03857421875], [910.20849609375, 742.5736694335938], [947.3162231445312, 732.5050048828125], [914.4901733398438, 801.5469970703125], [940.18017578125, 782.84814453125]]","[[674, 457], [1238, 457], [618, 662], [1300, 662], [526, 980], [1401, 980]]","[[550, 465], [550, 662], [1374, 662], [1374, 465]]","[954, 532]",None,None
78741,"[[1091.6556396484375, 379.40887451171875], [1097.4119873046875, 375.1132507324219], [1090.2164306640625, 375.1132507324219], [1103.16845703125, 377.9769592285156], [1084.4600830078125, 375.1132507324219], [1111.8031005859375, 393.7275390625], [1074.3863525390625, 385.1363220214844], [1121.8768310546875, 422.36492919921875], [1061.434326171875, 402.3187561035156], [1103.16845703125, 420.93304443359375], [1062.8734130859375, 423.7967834472656], [1098.8511962890625, 451.0022888183594], [1077.2645263671875, 448.1385498046875], [1097.4119873046875, 488.23089599609375], [1077.2645263671875, 486.79901123046875], [1097.4119873046875, 531.1869506835938], [1080.1427001953125, 514.0045166015625]]","[[910.9130249023438, 580.3318481445312], [910.9130249023438, 576.0226440429688], [912.3384399414062, 576.0226440429688], [912.3384399414062, 580.3318481445312], [936.5711669921875, 578.8954467773438], [905.211181640625, 610.496337890625], [953.6766967773438, 604.750732421875], [893.8074951171875, 633.4788208007812], [980.7603759765625, 623.4239501953125], [920.8911743164062, 636.3516235351562], [970.7821044921875, 643.5336303710938], [919.4656982421875, 686.6256713867188], [952.251220703125, 685.1892700195312], [910.9130249023438, 742.6453857421875], [947.974853515625, 732.590576171875], [913.763916015625, 801.5379638671875], [940.8475341796875, 781.4282836914062]]","[[674, 457], [1238, 457], [618, 662], [1300, 662], [526, 980], [1401, 980]]","[[550, 465], [550, 662], [1374, 662], [1374, 465]]","[954, 532]",None,None
78742,"[[1092.23974609375, 379.7655944824219], [1097.9124755859375, 375.44842529296875], [1089.4033203125, 375.44842529296875], [1103.585205078125, 376.8874816894531], [1085.1488037109375, 375.44842529296875], [1112.09423828125, 394.1562805175781], [1073.8033447265625, 385.5218505859375], [1122.021484375, 421.49859619140625], [1061.0396728515625, 402.7906799316406], [1103.585205078125, 422.9376525878906], [1062.4578857421875, 424.376708984375], [1099.33056640625, 450.2799072265625], [1076.6396484375, 447.40179443359375], [1097.9124755859375, 489.1347351074219], [1076.6396484375, 486.2566223144531], [1096.4942626953125, 533.745849609375], [1079.47607421875, 513.598876953125]]","[[910.9013061523438, 579.706298828125], [910.9013061523438, 575.3932495117188], [912.341064453125, 573.9556274414062], [912.341064453125, 579.706298828125], [936.81689453125, 578.2686157226562], [905.142333984375, 609.8971557617188], [954.0938720703125, 604.1465454101562], [893.6243286132812, 634.33740234375], [981.4491577148438, 622.8361206054688], [919.5398559570312, 635.7750854492188], [969.9310913085938, 644.4010009765625], [919.5398559570312, 686.0932006835938], [952.6541137695312, 686.0932006835938], [910.9013061523438, 743.5997314453125], [948.3348388671875, 733.5360717773438], [913.7808227539062, 801.1061401367188], [939.6964111328125, 782.41650390625]]","[[674, 457], [1238, 457], [618, 662], [1300, 662], [526, 980], [1401, 980]]","[[550, 465], [550, 662], [1374, 662], [1374, 465]]","[954, 532]",None,None
78743,"[[1092.1697998046875, 380.22821044921875], [1097.8560791015625, 375.9253234863281], [1089.32666015625, 375.9253234863281], [1103.5423583984375, 377.3596496582031], [1085.06201171875, 374.49102783203125], [1112.07177734375, 394.57122802734375], [1073.689453125, 384.5311584472656], [1122.022705078125, 423.2572326660156], [1060.8953857421875, 403.1770324707031], [1103.5423583984375, 421.82293701171875], [1062.31689453125, 424.6915283203125], [1099.277587890625, 450.5089111328125], [1077.9542236328125, 447.6402893066406], [1097.8560791015625, 489.2350158691406], [1076.5325927734375, 486.36639404296875], [1096.4345703125, 533.6983032226562], [1079.375732421875, 513.6181030273438]]","[[910.8692626953125, 578.0520629882812], [910.8692626953125, 575.1827392578125], [913.7192993164062, 573.7481079101562], [912.2943115234375, 578.0520629882812], [936.519775390625, 578.0520629882812], [905.169189453125, 609.6148071289062], [955.045166015625, 603.8761596679688], [895.1939086914062, 634.0042114257812], [982.1207275390625, 623.9615478515625], [920.8444213867188, 635.4389038085938], [969.29541015625, 644.0469360351562], [919.41943359375, 688.5216674804688], [952.1951293945312, 685.65234375], [910.8692626953125, 743.0391235351562], [947.9199829101562, 732.9964599609375], [913.7192993164062, 800.4259643554688], [940.7948608398438, 781.7752075195312]]","[[674, 457], [1238, 457], [618, 662], [1300, 662], [526, 980], [1401, 980]]","[[550, 465], [550, 662], [1374, 662], [1374, 465]]","[954, 532]",None,None
78744,"[[1092.009521484375, 381.2173767089844], [1096.2691650390625, 376.8975524902344], [1089.169677734375, 376.8975524902344], [1103.3685302734375, 378.3374938964844], [1084.9100341796875, 375.4576416015625], [1111.8878173828125, 394.1767883300781], [1073.551025390625, 385.53717041015625], [1121.826904296875, 422.97540283203125], [1060.772216796875, 402.81634521484375], [1103.3685302734375, 422.97540283203125], [1062.1920166015625, 424.41534423828125], [1099.10888671875, 450.3341369628906], [1077.8106689453125, 447.4542541503906], [1097.6890869140625, 489.2122802734375], [1076.390869140625, 486.3324279785156], [1097.6890869140625, 532.4102783203125], [1079.2305908203125, 512.251220703125]]","[[925.2114868164062, 579.6468505859375], [912.3714599609375, 573.8794555664062], [915.2247924804688, 570.9957275390625], [912.3714599609375, 579.6468505859375], [936.6248168945312, 576.7631225585938], [906.664794921875, 608.4839477539062], [955.1714477539062, 604.1583862304688], [896.6781005859375, 632.9954833984375], [983.704833984375, 622.9024658203125], [922.358154296875, 635.879150390625], [970.8648681640625, 644.5302734375], [919.5048217773438, 684.9021606445312], [953.7448120117188, 683.4603271484375], [912.3714599609375, 741.1344604492188], [948.0381469726562, 732.4833374023438], [913.7981567382812, 798.8086547851562], [940.9048461914062, 781.50634765625]]","[[674, 457], [1238, 457], [618, 662], [1300, 662], [526, 980], [1401, 980]]","[[550, 465], [550, 662], [1374, 662], [1374, 465]]","[954, 532]",None,None
78745,"[[1092.0889892578125, 381.1543273925781], [1096.38818359375, 376.8309631347656], [1089.2227783203125, 376.8309631347656], [1103.5535888671875, 378.2720947265625], [1084.923583984375, 375.38983154296875], [1112.1519775390625, 394.12432861328125], [1073.4588623046875, 385.4776611328125], [1122.1834716796875, 422.94659423828125], [1060.5611572265625, 401.32989501953125], [1103.5535888671875, 422.94659423828125], [1061.9942626953125, 425.8288269042969], [1099.2542724609375, 450.3277587890625], [1077.7581787109375, 448.8866271972656], [1097.8211669921875, 489.23779296875], [1076.3250732421875, 486.3555603027344], [1096.38818359375, 532.47119140625], [1079.191162109375, 512.2955932617188]]","[[925.783935546875, 578.4580078125], [912.85107421875, 574.147216796875], [915.72509765625, 571.2733764648438], [912.85107421875, 578.4580078125], [937.27978515625, 577.0210571289062], [905.6661376953125, 610.0700073242188], [954.5235595703125, 602.8854370117188], [895.6072387695312, 633.0606079101562], [983.2632446289062, 621.5653076171875], [922.909912109375, 635.9343872070312], [970.3304443359375, 644.5558471679688], [920.0359497070312, 684.7893676757812], [953.0866088867188, 683.3524169921875], [911.4141235351562, 740.8289184570312], [948.775634765625, 732.2073974609375], [912.85107421875, 798.3052978515625], [940.1536865234375, 783.9361572265625]]","[[674, 457], [1238, 457], [618, 662], [1300, 662], [526, 980], [1401, 980]]","[[550, 465], [550, 662], [1374, 662], [1374, 465]]","[954, 532]",None,None
78746,"[[1091.0416259765625, 380.4568176269531], [1096.7552490234375, 377.58099365234375], [1089.61328125, 376.1430969238281], [1102.468994140625, 377.58099365234375], [1085.3280029296875, 376.1430969238281], [1111.0394287109375, 394.8359069824219], [1073.9007568359375, 384.7705383300781], [1122.4666748046875, 423.59405517578125], [1061.044921875, 402.0254211425781], [1102.468994140625, 422.1561279296875], [1062.473388671875, 425.031982421875], [1099.612060546875, 450.9143371582031], [1076.7574462890625, 448.0384826660156], [1096.7552490234375, 488.2999267578125], [1076.7574462890625, 486.86199951171875], [1096.7552490234375, 532.8750610351562], [1079.6142578125, 512.744384765625]]","[[911.6343383789062, 578.5216674804688], [913.064208984375, 574.2095947265625], [914.4942016601562, 574.2095947265625], [913.064208984375, 578.5216674804688], [937.3728637695312, 575.64697265625], [905.9147338867188, 608.7064208984375], [954.5317993164062, 602.9569091796875], [897.335205078125, 631.7042846679688], [984.56005859375, 621.6427612304688], [923.07373046875, 634.5790405273438], [970.2608642578125, 644.640625], [920.2138061523438, 684.886962890625], [953.1019287109375, 683.4495239257812], [911.6343383789062, 740.9442749023438], [948.8121337890625, 732.320068359375], [913.064208984375, 798.4390258789062], [940.232666015625, 782.6279296875]]","[[674, 457], [1238, 457], [618, 662], [1300, 662], [526, 980], [1401, 980]]","[[550, 465], [550, 662], [1374, 662], [1374, 465]]","[954, 532]",None,None
78747,"[[1091.0394287109375, 380.59808349609375], [1096.7469482421875, 377.7247314453125], [1089.612548828125, 376.2880554199219], [1102.4544677734375, 377.7247314453125], [1085.3319091796875, 374.8514099121094], [1111.015625, 394.9647521972656], [1073.9168701171875, 384.9080810546875], [1122.4306640625, 422.2614440917969], [1061.0750732421875, 402.1481018066406], [1102.4544677734375, 422.2614440917969], [1062.5018310546875, 425.134765625], [1099.6005859375, 449.5581359863281], [1076.7706298828125, 448.1214294433594], [1096.7469482421875, 488.3481140136719], [1076.7706298828125, 486.9114685058594], [1096.7469482421875, 532.8848266601562], [1079.6243896484375, 512.771484375]]","[[911.59521484375, 578.4540405273438], [913.0260620117188, 574.142822265625], [914.45703125, 572.7057495117188], [913.0260620117188, 578.4540405273438], [937.3516845703125, 577.0169067382812], [905.8715209960938, 608.6323852539062], [954.5227661132812, 602.8841552734375], [897.2860107421875, 631.6254272460938], [984.572021484375, 621.5659790039062], [923.04248046875, 634.4995727539062], [970.2628173828125, 644.5590209960938], [920.1806640625, 684.796875], [953.091796875, 683.3598022460938], [911.59521484375, 740.8424682617188], [948.7990112304688, 732.2200317382812], [913.0260620117188, 798.3250122070312], [940.2135620117188, 782.5173950195312]]","[[674, 457], [1238, 457], [618, 662], [1300, 662], [526, 980], [1401, 980]]","[[550, 465], [550, 662], [1374, 662], [1374, 465]]","[954, 532]",None,None
78748,"[[1092.0975341796875, 380.81988525390625], [1096.4111328125, 377.9446716308594], [1089.2218017578125, 376.5071105957031], [1102.1627197265625, 377.9446716308594], [1084.908203125, 375.0694885253906], [1110.7899169921875, 395.19586181640625], [1073.4051513671875, 385.1326904296875], [1122.2930908203125, 422.5102233886719], [1060.464111328125, 402.3838806152344], [1103.6005859375, 422.5102233886719], [1061.9019775390625, 423.9478454589844], [1099.2869873046875, 449.8246154785156], [1077.71875, 446.94940185546875], [1096.4111328125, 488.6397399902344], [1076.2808837890625, 485.7645568847656], [1096.4111328125, 533.205322265625], [1079.1566162109375, 513.0789184570312]]","[[928.0703125, 579.5134887695312], [912.2364501953125, 575.2000732421875], [916.5548095703125, 573.7623291015625], [913.6758422851562, 579.5134887695312], [938.1464233398438, 576.6378784179688], [906.4786987304688, 608.269287109375], [955.4197387695312, 602.5181274414062], [897.8419799804688, 631.27392578125], [985.6481323242188, 621.2094116210938], [923.7520141601562, 635.5873413085938], [969.814208984375, 642.7763061523438], [920.873046875, 683.0344848632812], [953.9803466796875, 680.1588745117188], [912.2364501953125, 740.546142578125], [948.2225341796875, 731.9193725585938], [913.6758422851562, 798.057861328125], [941.025390625, 782.2421264648438]]","[[674, 457], [1238, 457], [618, 662], [1300, 662], [526, 980], [1401, 980]]","[[550, 465], [550, 662], [1374, 662], [1374, 465]]","[954, 532]",None,None
78749,"[[1092.065673828125, 380.9669494628906], [1096.38232421875, 378.09320068359375], [1089.1878662109375, 376.65631103515625], [1102.1378173828125, 378.09320068359375], [1083.4324951171875, 375.2194519042969], [1110.77099609375, 395.3357849121094], [1073.3604736328125, 385.2776184082031], [1122.2818603515625, 422.63653564453125], [1060.41064453125, 402.52020263671875], [1103.5765380859375, 422.63653564453125], [1061.849609375, 424.0733947753906], [1099.260009765625, 449.937255859375], [1077.677001953125, 447.0634765625], [1096.38232421875, 488.7330627441406], [1076.2381591796875, 485.8592834472656], [1096.38232421875, 533.2763671875], [1079.115966796875, 513.1600341796875]]","[[927.5929565429688, 579.3836669921875], [913.319091796875, 575.0711059570312], [916.1738891601562, 573.633544921875], [913.319091796875, 579.3836669921875], [939.0120239257812, 576.5086059570312], [907.609619140625, 608.1339721679688], [956.1405639648438, 603.8214111328125], [897.617919921875, 626.8217163085938], [986.1155395507812, 618.1966552734375], [926.1655883789062, 628.25927734375], [970.4143676757812, 636.8843383789062], [921.8834838867188, 682.8849487304688], [953.2857666015625, 680.0099487304688], [911.8917236328125, 740.3856811523438], [949.0036010742188, 731.7606201171875], [913.319091796875, 797.886474609375], [940.4393310546875, 783.5112915039062]]","[[674, 457], [1238, 457], [618, 662], [1300, 662], [526, 980], [1401, 980]]","[[550, 465], [550, 662], [1374, 662], [1374, 465]]","[954, 532]",None,None
