frame,top,bottom,court,net,ball,pos,type
67279,"[[983.9769287109375, 320.1796875], [986.8272094726562, 315.8541259765625], [979.7015380859375, 315.8541259765625], [991.1026611328125, 318.73785400390625], [974.0009765625, 317.2959899902344], [999.6535034179688, 341.80755615234375], [962.599853515625, 338.9238586425781], [1013.9049072265625, 370.64471435546875], [935.522216796875, 353.3424072265625], [1006.7792358398438, 393.71441650390625], [936.947265625, 377.8540344238281], [985.4020385742188, 392.2725830078125], [965.4501342773438, 392.2725830078125], [991.1026611328125, 426.87713623046875], [969.7255859375, 438.41204833984375], [989.6775512695312, 451.38873291015625], [971.1507568359375, 487.4352111816406]]","[[814.000732421875, 547.0734252929688], [812.576416015625, 541.32421875], [814.000732421875, 542.7615356445312], [788.3637084960938, 547.0734252929688], [812.576416015625, 544.1987915039062], [779.818115234375, 574.3818359375], [822.5463256835938, 568.6326904296875], [774.1210327148438, 608.8767700195312], [849.6075439453125, 597.3784790039062], [791.2122802734375, 588.7547607421875], [832.5162353515625, 577.2564086914062], [792.6365356445312, 654.8699340820312], [821.1220703125, 654.8699340820312], [802.6064453125, 702.3004150390625], [821.1220703125, 713.7987060546875], [802.6064453125, 754.0427856445312], [811.1521606445312, 774.1647338867188]]","[[697, 386], [1217, 386], [635, 597], [1282, 597], [494, 987], [1427, 987]]","[[574, 410], [574, 597], [1354, 597], [1354, 410]]","[995, 410]",None,None
67280,"[[982.9896850585938, 320.479736328125], [985.8381958007812, 316.1575012207031], [978.7167358398438, 316.1575012207031], [991.5352783203125, 319.03900146484375], [973.0196533203125, 317.5982360839844], [1000.0809936523438, 342.0909423828125], [961.6254272460938, 339.2094421386719], [1014.3237915039062, 370.9058532714844], [934.5640869140625, 355.0576477050781], [1005.778076171875, 393.95782470703125], [935.9883422851562, 379.5503234863281], [985.8381958007812, 392.51702880859375], [964.4739379882812, 393.95782470703125], [990.1110229492188, 429.9764404296875], [970.171142578125, 438.6209411621094], [990.1110229492188, 453.0283508300781], [971.5953979492188, 489.0470275878906]]","[[813.9266967773438, 547.1610107421875], [812.5005493164062, 541.4102783203125], [813.9266967773438, 541.4102783203125], [789.6820068359375, 547.1610107421875], [812.5005493164062, 542.8479614257812], [779.6987915039062, 574.4768676757812], [822.4837646484375, 568.7261962890625], [773.994140625, 608.9811401367188], [848.1546630859375, 597.479736328125], [791.1080932617188, 588.8536987304688], [831.0407104492188, 577.3522338867188], [792.5343017578125, 654.9868774414062], [819.6314086914062, 654.9868774414062], [802.5173950195312, 700.9926147460938], [821.0575561523438, 712.4940795898438], [802.5173950195312, 752.7490234375], [811.0743408203125, 775.751953125]]","[[697, 386], [1217, 386], [635, 597], [1282, 597], [494, 987], [1427, 987]]","[[574, 410], [574, 597], [1354, 597], [1354, 410]]","[995, 410]",None,None
67281,"[[982.6719360351562, 320.26556396484375], [985.5488891601562, 315.9557189941406], [979.7949829101562, 315.9557189941406], [991.302734375, 318.8289489746094], [972.6027221679688, 317.3923645019531], [999.93359375, 341.8146057128906], [962.5333862304688, 338.9413757324219], [1012.8798828125, 371.9832763671875], [933.7638549804688, 356.1806335449219], [1005.6875610351562, 394.96893310546875], [936.6408081054688, 379.16632080078125], [985.5488891601562, 392.0957336425781], [963.9718017578125, 393.5323486328125], [989.8643188476562, 429.4474182128906], [969.7257690429688, 439.503662109375], [991.302734375, 455.3062744140625], [971.1641845703125, 488.3481750488281]]","[[815.1351318359375, 546.215087890625], [812.2721557617188, 539.023193359375], [813.7036743164062, 540.4616088867188], [789.3682250976562, 546.215087890625], [812.2721557617188, 543.33837890625], [779.3477783203125, 573.54443359375], [820.8611450195312, 567.7908935546875], [773.6217651367188, 609.5040893554688], [849.4911499023438, 599.4353637695312], [792.231201171875, 589.3666381835938], [832.3131713867188, 579.2979736328125], [792.231201171875, 654.0939331054688], [820.8611450195312, 654.0939331054688], [802.251708984375, 701.5606689453125], [820.8611450195312, 715.944580078125], [802.251708984375, 753.3425903320312], [810.8406982421875, 776.3566284179688]]","[[697, 386], [1217, 386], [635, 597], [1282, 597], [494, 987], [1427, 987]]","[[574, 410], [574, 597], [1354, 597], [1354, 410]]","[995, 410]",None,None
67282,"[[982.5785522460938, 320.2572021484375], [986.896484375, 315.93316650390625], [979.7000732421875, 317.37451171875], [991.2142944335938, 320.2572021484375], [972.5036010742188, 318.81585693359375], [999.8500366210938, 341.8772888183594], [962.4285888671875, 338.9945983886719], [1012.8036499023438, 372.14544677734375], [933.6428833007812, 356.2906799316406], [1004.1679077148438, 396.6482238769531], [936.5214233398438, 380.79345703125], [985.4572143554688, 390.8828430175781], [963.8678588867188, 393.7655029296875], [991.2142944335938, 426.9163513183594], [971.0643310546875, 439.88836669921875], [989.7750244140625, 451.41912841796875], [971.0643310546875, 488.8939514160156]]","[[815.513427734375, 545.936767578125], [812.6762084960938, 538.7404174804688], [814.0948486328125, 540.1796875], [789.9785766601562, 545.936767578125], [812.6762084960938, 543.0582275390625], [780.0484008789062, 573.28271484375], [821.1878051757812, 568.9649047851562], [774.3740234375, 609.2642211914062], [848.1412963867188, 599.1893920898438], [792.8157958984375, 589.1146240234375], [831.1181030273438, 580.47900390625], [792.8157958984375, 655.3206176757812], [819.769287109375, 653.88134765625], [801.327392578125, 701.3770141601562], [821.1878051757812, 714.330322265625], [802.7460327148438, 753.1904296875], [809.8390502929688, 777.6578369140625]]","[[697, 386], [1217, 386], [635, 597], [1282, 597], [494, 987], [1427, 987]]","[[574, 410], [574, 597], [1354, 597], [1354, 410]]","[994, 409]",None,None
67283,"[[982.5132446289062, 320.32257080078125], [986.8289184570312, 315.9994201660156], [979.6361694335938, 317.4404602050781], [991.14453125, 320.32257080078125], [972.4432983398438, 318.8815002441406], [999.77587890625, 341.9382629394531], [962.3734741210938, 339.05615234375], [1012.7228393554688, 372.2002258300781], [933.6023559570312, 356.34869384765625], [1004.0914916992188, 396.6980285644531], [936.4794921875, 380.8465270996094], [985.3902587890625, 390.9338073730469], [963.8120727539062, 392.3748474121094], [991.14453125, 426.9599609375], [971.0048217773438, 439.92938232421875], [989.7059936523438, 451.457763671875], [971.0048217773438, 488.9249572753906]]","[[815.405029296875, 545.8045654296875], [812.5673217773438, 538.606201171875], [815.405029296875, 541.4855346679688], [789.864990234375, 545.8045654296875], [812.5673217773438, 544.3648681640625], [779.9328002929688, 573.1583251953125], [822.4995727539062, 570.2789306640625], [774.2572021484375, 609.150146484375], [848.0396118164062, 599.0724487304688], [792.7028198242188, 588.9947509765625], [831.0128784179688, 580.356689453125], [792.7028198242188, 655.2196044921875], [821.0806884765625, 653.7799682617188], [801.2161865234375, 701.2891235351562], [821.0806884765625, 714.2461547851562], [802.635009765625, 753.1172485351562], [811.1483764648438, 776.1520385742188]]","[[697, 386], [1217, 386], [635, 597], [1282, 597], [494, 987], [1427, 987]]","[[574, 410], [574, 597], [1354, 597], [1354, 410]]","[994, 409]",None,None
67284,"[[982.5220336914062, 321.96270751953125], [986.839111328125, 317.6371154785156], [979.6439819335938, 317.6371154785156], [991.1561889648438, 319.0789489746094], [972.4488525390625, 319.0789489746094], [999.7903442382812, 343.5908508300781], [960.9365844726562, 339.2652282714844], [1012.7416381835938, 372.4283447265625], [933.5950927734375, 355.1258239746094], [1004.1074829101562, 396.9402160644531], [936.4730834960938, 381.0796203613281], [985.400146484375, 394.05645751953125], [963.814697265625, 394.05645751953125], [991.1561889648438, 428.6614685058594], [971.0098266601562, 441.63836669921875], [991.1561889648438, 453.1733703613281], [971.0098266601562, 489.2202453613281]]","[[816.3658447265625, 545.763916015625], [813.4998168945312, 539.9979248046875], [814.932861328125, 541.439453125], [790.5717163085938, 545.763916015625], [813.4998168945312, 544.3224487304688], [779.1077880859375, 574.5939331054688], [822.0978393554688, 570.2694702148438], [773.3757934570312, 610.6314697265625], [849.3248901367188, 603.4239501953125], [792.0048217773438, 589.0089721679688], [832.1288452148438, 581.8014526367188], [792.0048217773438, 653.87646484375], [820.6648559570312, 653.87646484375], [802.0358276367188, 700.00439453125], [820.6648559570312, 714.4194946289062], [802.0358276367188, 751.8984375], [810.6338500976562, 776.4039306640625]]","[[697, 386], [1217, 386], [635, 597], [1282, 597], [494, 987], [1427, 987]]","[[574, 410], [574, 597], [1354, 597], [1354, 410]]","[994, 409]",None,None
67285,"[[982.2374877929688, 320.9684753417969], [986.521728515625, 316.664306640625], [977.9532470703125, 316.664306640625], [990.8060302734375, 320.9684753417969], [972.2408447265625, 319.53375244140625], [999.3745727539062, 342.4892272949219], [960.816162109375, 339.61981201171875], [1012.2273559570312, 372.6182861328125], [933.6825561523438, 355.4017028808594], [1003.6588134765625, 397.0085144042969], [935.110595703125, 381.22662353515625], [985.0936889648438, 391.2696228027344], [963.67236328125, 392.704345703125], [990.8060302734375, 428.57232666015625], [970.8128051757812, 440.050048828125], [990.8060302734375, 452.9624938964844], [970.8128051757812, 488.8304138183594]]","[[816.1476440429688, 545.77490234375], [789.0842895507812, 541.4554443359375], [814.7232666015625, 541.4554443359375], [790.5086059570312, 545.77490234375], [813.298828125, 544.3350830078125], [779.1134643554688, 573.1312866210938], [821.8451538085938, 571.6914672851562], [773.4159545898438, 610.5663452148438], [848.9086303710938, 603.3673095703125], [791.9329833984375, 588.96923828125], [831.81591796875, 581.7701416015625], [791.9329833984375, 653.7606811523438], [820.4207763671875, 655.2005004882812], [801.9037475585938, 701.2744140625], [820.4207763671875, 714.2327270507812], [801.9037475585938, 751.6677856445312], [810.4500732421875, 777.5843505859375]]","[[697, 386], [1217, 386], [635, 597], [1282, 597], [494, 987], [1427, 987]]","[[574, 410], [574, 597], [1354, 597], [1354, 410]]","[993, 408]",None,None
67286,"[[981.8504028320312, 321.1242370605469], [986.1060791015625, 316.80572509765625], [979.0133056640625, 316.80572509765625], [990.3617553710938, 321.1242370605469], [971.9204711914062, 319.6847229003906], [998.8729858398438, 342.71685791015625], [960.572021484375, 339.8378601074219], [1011.6400146484375, 371.507080078125], [933.6195068359375, 357.1119689941406], [1003.128662109375, 398.8576965332031], [935.0380859375, 383.02313232421875], [984.6875, 391.6601867675781], [963.4091186523438, 393.0997009277344], [990.3617553710938, 427.64788818359375], [970.501953125, 439.1639709472656], [990.3617553710938, 452.1195373535156], [970.501953125, 488.10723876953125]]","[[816.3116455078125, 546.235107421875], [814.8834228515625, 540.4691772460938], [816.3116455078125, 541.91064453125], [790.60302734375, 544.7936401367188], [813.4551391601562, 544.7936401367188], [779.1769409179688, 575.0647583007812], [822.024658203125, 570.7402954101562], [773.4639282226562, 611.101806640625], [849.16162109375, 605.3358764648438], [792.03125, 589.4795532226562], [832.0225219726562, 582.2721557617188], [792.03125, 654.3462524414062], [820.596435546875, 654.3462524414062], [802.0291137695312, 700.4736938476562], [820.596435546875, 714.8884887695312], [802.0291137695312, 752.3670654296875], [810.5986938476562, 776.8721923828125]]","[[697, 386], [1217, 386], [635, 597], [1282, 597], [494, 987], [1427, 987]]","[[574, 410], [574, 597], [1354, 597], [1354, 410]]","[993, 408]",None,None
67287,"[[981.3642578125, 321.6315002441406], [985.6377563476562, 317.335693359375], [978.5151977539062, 317.335693359375], [989.9112548828125, 320.1995544433594], [971.3926391601562, 318.76763916015625], [998.4583129882812, 343.1106262207031], [959.99658203125, 340.2467346191406], [1011.2788696289062, 373.18133544921875], [932.930908203125, 357.4300231933594], [1002.7318115234375, 398.9562683105469], [934.35546875, 383.20489501953125], [984.2132568359375, 391.79656982421875], [962.8456420898438, 390.3646240234375], [991.3357543945312, 427.5950622558594], [969.9681396484375, 439.05059814453125], [991.3357543945312, 453.3699645996094], [971.3926391601562, 489.1684265136719]]","[[815.8412475585938, 545.7446899414062], [790.32470703125, 539.9976806640625], [815.8412475585938, 542.8711547851562], [790.32470703125, 544.3079223632812], [814.4236450195312, 544.3079223632812], [778.9840087890625, 574.4796752929688], [824.3468017578125, 571.6061401367188], [773.3135986328125, 610.3983764648438], [848.4458618164062, 606.088134765625], [793.159912109375, 590.2838745117188], [831.4347534179688, 581.6633911132812], [791.7423095703125, 654.9376220703125], [820.0940551757812, 654.9376220703125], [801.6654052734375, 700.91357421875], [821.5115966796875, 715.2810668945312], [801.6654052734375, 752.6365966796875], [810.1709594726562, 778.498046875]]","[[697, 386], [1217, 386], [635, 597], [1282, 597], [494, 987], [1427, 987]]","[[574, 410], [574, 597], [1354, 597], [1354, 410]]","[993, 408]",None,None
67288,"[[982.3095703125, 321.936767578125], [985.1640625, 317.61187744140625], [978.0278930664062, 317.61187744140625], [990.873046875, 320.4951171875], [970.8916625976562, 319.053466796875], [998.0091552734375, 343.5611572265625], [960.9009399414062, 339.2362976074219], [1010.8543701171875, 372.39373779296875], [932.3561401367188, 357.9774475097656], [1003.7182006835938, 398.343017578125], [935.2106323242188, 383.9267578125], [983.73681640625, 394.01812744140625], [962.3281860351562, 394.01812744140625], [990.873046875, 427.1755676269531], [969.4644165039062, 438.7086181640625], [990.873046875, 453.1249084472656], [970.8916625976562, 489.1656188964844]]","[[817.7866821289062, 545.6808471679688], [790.5886840820312, 539.915283203125], [816.3551635742188, 541.356689453125], [790.5886840820312, 545.6808471679688], [814.9237060546875, 544.2394409179688], [780.5684204101562, 573.0672607421875], [823.5125732421875, 571.6258544921875], [773.4110107421875, 610.5433959960938], [847.8475952148438, 606.21923828125], [792.0202026367188, 590.3638916015625], [832.1013793945312, 581.715576171875], [792.0202026367188, 655.2264404296875], [820.649658203125, 655.2264404296875], [802.0404663085938, 701.3508911132812], [820.649658203125, 715.7648315429688], [802.0404663085938, 751.7994995117188], [810.6293334960938, 777.7445678710938]]","[[697, 386], [1217, 386], [635, 597], [1282, 597], [494, 987], [1427, 987]]","[[574, 410], [574, 597], [1354, 597], [1354, 410]]","[992, 407]",None,None
