frame,top,bottom,court,net,ball,pos,type
43709,"[[1072.510986328125, 480.11444091796875], [1075.3751220703125, 475.8143615722656], [1068.21484375, 475.8143615722656], [1081.1031494140625, 480.11444091796875], [1063.9188232421875, 480.11444091796875], [1091.1273193359375, 500.1815490722656], [1056.7586669921875, 501.61492919921875], [1108.311767578125, 513.081787109375], [1043.870361328125, 530.2821655273438], [1105.44775390625, 507.34832763671875], [1053.8946533203125, 544.6157836914062], [1083.9671630859375, 556.0827026367188], [1061.0546875, 557.51611328125], [1083.9671630859375, 594.7835693359375], [1061.0546875, 597.6502075195312], [1081.1031494140625, 630.6176147460938], [1066.7828369140625, 623.4508056640625]]","[[942.3131713867188, 635.7489013671875], [946.6207275390625, 631.426513671875], [938.0056762695312, 631.426513671875], [932.2622680664062, 640.0713500976562], [955.23583984375, 640.0713500976562], [919.339599609375, 667.44677734375], [962.4150390625, 668.8875732421875], [904.9811401367188, 702.0262451171875], [972.4660034179688, 706.3486938476562], [913.59619140625, 681.8548583984375], [981.0810546875, 730.8424682617188], [920.775390625, 735.1649169921875], [949.492431640625, 736.6057739257812], [909.2886352539062, 797.119873046875], [962.4150390625, 784.1524658203125], [899.2376708984375, 856.1930541992188], [950.9282836914062, 844.6665649414062]]","[[692, 575], [1238, 575], [629, 737], [1300, 737], [512, 1002], [1412, 1002]]","[[553, 536], [553, 737], [1364, 737], [1364, 536]]","[1025, 500]",None,None
43710,"[[1070.919677734375, 477.0119934082031], [1075.236572265625, 472.6897888183594], [1068.0418701171875, 472.6897888183594], [1080.9923095703125, 475.5712585449219], [1062.2860107421875, 477.0119934082031], [1089.6258544921875, 497.1820373535156], [1056.5302734375, 498.6227722167969], [1108.3321533203125, 510.1485595703125], [1046.457763671875, 524.5557861328125], [1098.259521484375, 498.6227722167969], [1055.09130859375, 508.70782470703125], [1082.43115234375, 554.8109130859375], [1060.84716796875, 554.8109130859375], [1083.8701171875, 590.8289794921875], [1060.84716796875, 590.8289794921875], [1080.9923095703125, 628.2877197265625], [1062.2860107421875, 628.2877197265625]]","[[944.728759765625, 632.4962158203125], [950.42822265625, 631.0595703125], [941.8790283203125, 631.0595703125], [934.7545776367188, 639.6795043945312], [958.9775390625, 639.6795043945312], [923.3555297851562, 666.975830078125], [964.6771240234375, 668.4124755859375], [909.1067504882812, 701.4553833007812], [976.0761108398438, 707.201904296875], [983.2005004882812, 731.625], [983.2005004882812, 731.625], [923.3555297851562, 735.9348754882812], [951.8531494140625, 735.9348754882812], [913.38134765625, 796.2741088867188], [963.252197265625, 786.2175903320312], [899.132568359375, 855.1766967773438], [949.0033569335938, 846.5568237304688]]","[[692, 575], [1238, 575], [629, 737], [1300, 737], [512, 1002], [1412, 1002]]","[[553, 536], [553, 737], [1364, 737], [1364, 536]]","[1029, 500]",None,None
43711,"[[1070.8548583984375, 476.80859375], [1075.156005859375, 472.5044250488281], [1067.9873046875, 472.5044250488281], [1080.8909912109375, 475.3739013671875], [1062.25244140625, 478.2433166503906], [1089.4932861328125, 496.89447021484375], [1056.517578125, 498.3291931152344], [1108.1318359375, 509.806884765625], [1046.4814453125, 524.1539306640625], [1098.095703125, 498.3291931152344], [1055.083740234375, 509.806884765625], [1082.32470703125, 554.2827758789062], [1060.8187255859375, 554.2827758789062], [1083.7584228515625, 590.1505126953125], [1060.8187255859375, 591.585205078125], [1080.8909912109375, 628.8875732421875], [1062.25244140625, 628.8875732421875]]","[[944.6956176757812, 632.8431396484375], [950.3931884765625, 631.4075317382812], [941.8468017578125, 631.4075317382812], [934.7249145507812, 640.02099609375], [958.9395141601562, 640.02099609375], [923.3298950195312, 667.2969360351562], [964.6370239257812, 668.7325439453125], [907.6615600585938, 701.7507934570312], [976.0321655273438, 707.4931030273438], [983.154052734375, 731.89794921875], [983.154052734375, 731.89794921875], [923.3298950195312, 736.2047119140625], [951.817626953125, 736.2047119140625], [913.3591918945312, 796.4988403320312], [963.212646484375, 786.4498291015625], [899.1152954101562, 853.9219360351562], [948.9688110351562, 846.7440795898438]]","[[692, 575], [1238, 575], [629, 737], [1300, 737], [512, 1002], [1412, 1002]]","[[553, 536], [553, 737], [1364, 737], [1364, 536]]","[1029, 502]",None,None
43712,"[[1069.1595458984375, 476.12091064453125], [1073.4654541015625, 470.3920593261719], [1066.2889404296875, 471.82427978515625], [1079.20654296875, 473.2565002441406], [1060.5478515625, 474.688720703125], [1087.818359375, 494.7396545410156], [1056.241943359375, 496.1718444824219], [1107.912353515625, 504.76513671875], [1049.0655517578125, 521.95166015625], [1107.912353515625, 500.4684753417969], [1044.7596435546875, 526.248291015625], [1080.641845703125, 550.5958862304688], [1057.67724609375, 550.5958862304688], [1082.0771484375, 590.69775390625], [1060.5478515625, 590.69775390625], [1080.641845703125, 629.3674926757812], [1054.806640625, 632.2318725585938]]","[[949.6356811523438, 631.7106323242188], [955.3505249023438, 630.2725830078125], [945.3495483398438, 630.2725830078125], [939.6347045898438, 638.90087890625], [962.4940795898438, 640.3389282226562], [925.3475341796875, 667.661865234375], [971.0663452148438, 669.0999145507812], [909.6317749023438, 705.0511474609375], [979.6386108398438, 707.92724609375], [919.6328125, 680.6043090820312], [986.7821044921875, 733.8121337890625], [925.3475341796875, 738.1262817382812], [953.9218139648438, 741.0023803710938], [916.7752685546875, 795.6482543945312], [961.0653686523438, 795.6482543945312], [902.48828125, 847.41796875], [948.2069702148438, 851.7321166992188]]","[[692, 575], [1238, 575], [629, 737], [1300, 737], [512, 1002], [1412, 1002]]","[[553, 536], [553, 737], [1364, 737], [1364, 536]]","[1037, 504]",None,None
43713,"[[1069.622802734375, 472.4579772949219], [1072.4527587890625, 468.1379089355469], [1065.377685546875, 468.1379089355469], [1078.11279296875, 471.0179443359375], [1059.7176513671875, 472.4579772949219], [1085.18798828125, 491.1781311035156], [1054.0576171875, 494.05816650390625], [1110.6583251953125, 504.13824462890625], [1054.0576171875, 519.9783935546875], [1113.4884033203125, 501.25823974609375], [1049.8125, 521.4183959960938], [1078.11279296875, 550.2186279296875], [1056.8875732421875, 548.7786865234375], [1080.9429931640625, 590.5390014648438], [1059.7176513671875, 589.0989990234375], [1079.5279541015625, 629.4193725585938], [1052.642578125, 635.1793823242188]]","[[954.1815185546875, 637.2020874023438], [958.475830078125, 631.4558715820312], [948.4557495117188, 631.4558715820312], [944.161376953125, 641.51171875], [965.633056640625, 641.51171875], [929.8468627929688, 665.9331665039062], [972.7904052734375, 667.3697509765625], [909.8065795898438, 703.2836303710938], [982.8104858398438, 703.2836303710938], [912.66943359375, 726.2684936523438], [991.3992309570312, 732.0147705078125], [928.4153442382812, 736.3244018554688], [955.6129760742188, 739.1975708007812], [922.6896362304688, 792.35009765625], [961.3388061523438, 798.0963745117188], [905.51220703125, 835.44677734375], [947.0242919921875, 854.1220092773438]]","[[692, 575], [1238, 575], [629, 737], [1300, 737], [512, 1002], [1412, 1002]]","[[553, 536], [553, 737], [1364, 737], [1364, 536]]","[1042, 510]",None,None
43714,"[[1067.378173828125, 471.5421142578125], [1070.21142578125, 468.6672058105469], [1063.12841796875, 468.6672058105469], [1075.8778076171875, 470.10467529296875], [1057.4620361328125, 471.5421142578125], [1084.3775634765625, 490.2291259765625], [1053.2122802734375, 493.10406494140625], [1099.9600830078125, 497.4164123535156], [1056.04541015625, 520.415771484375], [1115.542724609375, 497.4164123535156], [1048.96240234375, 516.1033935546875], [1077.29443359375, 549.1650390625], [1054.62890625, 549.1650390625], [1080.127685546875, 590.8513793945312], [1058.878662109375, 589.4139404296875], [1078.7110595703125, 628.2254028320312], [1050.3790283203125, 642.6000366210938]]","[[956.1056518554688, 628.9547729492188], [961.83349609375, 627.5172729492188], [951.8096923828125, 627.5172729492188], [946.0818481445312, 637.5800170898438], [968.9933471679688, 637.5800170898438], [933.194091796875, 663.4557495117188], [976.1531982421875, 664.893310546875], [911.7145385742188, 696.5191650390625], [987.6090087890625, 702.269287109375], [908.8505859375, 720.9573364257812], [994.7689208984375, 728.14501953125], [931.7620849609375, 729.58251953125], [957.5376586914062, 731.0200805664062], [928.898193359375, 787.0841064453125], [961.83349609375, 795.7093505859375], [908.8505859375, 831.6478271484375], [947.5138549804688, 853.2109375]]","[[692, 575], [1238, 575], [629, 737], [1300, 737], [512, 1002], [1412, 1002]]","[[553, 536], [553, 737], [1364, 737], [1364, 536]]","[1048, 519]",None,None
43715,"[[1066.0146484375, 474.0723876953125], [1068.8936767578125, 469.77099609375], [1061.696044921875, 469.77099609375], [1074.65185546875, 471.204833984375], [1055.93798828125, 472.63861083984375], [1080.409912109375, 491.2779541015625], [1053.0589599609375, 495.579345703125], [1096.2447509765625, 497.01312255859375], [1061.696044921875, 515.6524658203125], [1106.3214111328125, 497.01312255859375], [1063.135498046875, 514.2186889648438], [1074.65185546875, 550.0635986328125], [1053.0589599609375, 548.6297607421875], [1078.9703369140625, 590.2098388671875], [1057.37744140625, 590.2098388671875], [1077.5308837890625, 628.9223022460938], [1047.30078125, 637.5250244140625]]","[[958.1654052734375, 624.1791381835938], [963.8684692382812, 622.7378540039062], [955.3139038085938, 622.7378540039062], [951.03662109375, 632.8265380859375], [972.423095703125, 632.8265380859375], [936.7789306640625, 658.768798828125], [979.5519409179688, 660.2100830078125], [913.966552734375, 689.0348510742188], [992.3839111328125, 699.1234741210938], [909.6892700195312, 722.1832885742188], [999.5127563476562, 725.0657958984375], [933.9273681640625, 725.0657958984375], [958.1654052734375, 726.5070190429688], [936.7789306640625, 779.8328247070312], [961.0169677734375, 797.127685546875], [913.966552734375, 827.3937377929688], [948.18505859375, 851.8947143554688]]","[[692, 575], [1238, 575], [629, 737], [1300, 737], [512, 1002], [1412, 1002]]","[[553, 536], [553, 737], [1364, 737], [1364, 536]]","[1056, 516]",None,None
43716,"[[1063.99951171875, 475.9737548828125], [1068.29248046875, 470.2392578125], [1059.70654296875, 471.6728820800781], [1072.58544921875, 473.10650634765625], [1053.9825439453125, 473.10650634765625], [1076.87841796875, 491.7435607910156], [1051.1204833984375, 496.0444030761719], [1071.1544189453125, 513.2478637695312], [1066.8614501953125, 514.6815185546875], [1052.551513671875, 503.2125244140625], [1076.87841796875, 507.5133972167969], [1071.1544189453125, 550.5220336914062], [1051.1204833984375, 550.5220336914062], [1075.4473876953125, 592.0969848632812], [1053.9825439453125, 593.5306396484375], [1075.4473876953125, 627.9375610351562], [1043.965576171875, 640.8401489257812]]","[[962.0416870117188, 620.0255737304688], [967.7430419921875, 620.0255737304688], [957.7655029296875, 618.5899047851562], [953.4894409179688, 628.6397094726562], [976.2952880859375, 628.6397094726562], [940.6611328125, 653.0462646484375], [983.422119140625, 655.9176635742188], [916.4299926757812, 683.1956176757812], [994.824951171875, 691.8097534179688], [912.1539306640625, 717.6520385742188], [1003.377197265625, 720.5234375], [933.5343627929688, 721.9591064453125], [957.7655029296875, 721.9591064453125], [942.0865478515625, 775.0794067382812], [960.6162719726562, 792.3075561523438], [920.7060546875, 825.3283081054688], [947.7879638671875, 851.170654296875]]","[[692, 575], [1238, 575], [629, 737], [1300, 737], [512, 1002], [1412, 1002]]","[[553, 536], [553, 737], [1364, 737], [1364, 536]]","[1063, 513]",None,None
43717,"[[1064.014892578125, 476.0137634277344], [1068.3067626953125, 470.280029296875], [1059.7230224609375, 471.7134704589844], [1072.5985107421875, 473.14691162109375], [1054.0006103515625, 473.14691162109375], [1076.890380859375, 491.781494140625], [1051.139404296875, 496.081787109375], [1071.16796875, 513.282958984375], [1066.8760986328125, 514.7163696289062], [1052.570068359375, 503.2489318847656], [1076.890380859375, 507.5492248535156], [1071.16796875, 550.5521240234375], [1051.139404296875, 550.5521240234375], [1075.459716796875, 592.12158203125], [1054.0006103515625, 593.5550537109375], [1075.459716796875, 627.9573364257812], [1043.9864501953125, 640.8582763671875]]","[[962.052734375, 620.0009155273438], [967.75341796875, 620.0009155273438], [957.7772827148438, 618.5653076171875], [953.5018310546875, 628.6142578125], [976.3043212890625, 628.6142578125], [940.6754150390625, 653.018798828125], [983.4301147460938, 655.889892578125], [916.44775390625, 683.16552734375], [994.8314208984375, 693.2144165039062], [912.1723022460938, 717.6189575195312], [1003.38232421875, 720.4900512695312], [933.5496215820312, 721.9255981445312], [957.7772827148438, 721.9255981445312], [942.1005249023438, 775.0413818359375], [960.6276245117188, 792.26806640625], [920.7232055664062, 825.285888671875], [947.8012084960938, 851.1260375976562]]","[[692, 575], [1238, 575], [629, 737], [1300, 737], [512, 1002], [1412, 1002]]","[[553, 536], [553, 737], [1364, 737], [1364, 536]]","[1072, 510]",None,None
43718,"[[1064.2105712890625, 478.92584228515625], [1067.0419921875, 474.6198425292969], [1059.9635009765625, 474.6198425292969], [1069.8734130859375, 476.0552062988281], [1052.885009765625, 478.92584228515625], [1071.2891845703125, 496.1498107910156], [1051.46923828125, 500.4557800292969], [1091.1090087890625, 507.6324157714844], [1068.457763671875, 511.9383850097656], [1082.61474609375, 511.9383850097656], [1081.198974609375, 511.9383850097656], [1068.457763671875, 554.998291015625], [1050.0535888671875, 554.998291015625], [1075.5362548828125, 589.4461669921875], [1052.885009765625, 596.622802734375], [1072.704833984375, 626.7647094726562], [1041.559326171875, 645.4240112304688]]","[[965.250244140625, 621.0083618164062], [970.9869384765625, 618.1329956054688], [960.9475708007812, 618.1329956054688], [956.6450805664062, 625.3213500976562], [979.592041015625, 626.759033203125], [945.1715698242188, 649.76171875], [986.762939453125, 654.07470703125], [919.3561401367188, 678.51513671875], [995.3681030273438, 688.578857421875], [913.619384765625, 713.0192260742188], [1006.841552734375, 715.8945922851562], [935.1322631835938, 717.332275390625], [956.6450805664062, 720.2075805664062], [945.1715698242188, 770.5260620117188], [962.3817749023438, 789.2157592773438], [929.3955078125, 826.5951538085938], [948.0399169921875, 849.5979614257812]]","[[692, 575], [1238, 575], [629, 737], [1300, 737], [512, 1002], [1412, 1002]]","[[553, 536], [553, 737], [1364, 737], [1364, 536]]","[1080, 507]",None,None
