frame,top,bottom,court,net,ball,pos,type
33798,"[[868.8565063476562, 466.9535217285156], [873.1554565429688, 462.6314392089844], [865.9905395507812, 462.6314392089844], [880.3202514648438, 464.0721435546875], [861.6917114257812, 464.0721435546875], [886.0521240234375, 484.2416687011719], [857.392822265625, 481.36029052734375], [896.0828857421875, 507.29254150390625], [841.630126953125, 500.0891418457031], [881.753173828125, 510.1739196777344], [841.630126953125, 492.8857116699219], [880.3202514648438, 541.8688354492188], [863.1246337890625, 540.4281616210938], [877.4542846679688, 583.6485595703125], [865.9905395507812, 586.5299682617188], [876.0213623046875, 626.8689575195312], [880.3202514648438, 615.343505859375]]","[[990.69482421875, 622.11474609375], [993.538818359375, 620.6788940429688], [985.0068359375, 622.11474609375], [979.3187866210938, 632.1656494140625], [1002.0709228515625, 627.858154296875], [977.8967895507812, 660.8826904296875], [1017.7129516601562, 650.8317260742188], [949.4567260742188, 683.8562622070312], [1039.0430908203125, 660.8826904296875], [949.4567260742188, 685.2921142578125], [1027.6669921875, 652.267578125], [996.3828735351562, 726.9317626953125], [1021.97900390625, 725.4959106445312], [992.1168212890625, 790.109130859375], [1017.7129516601562, 788.6734008789062], [994.9608764648438, 848.9790649414062], [1014.8689575195312, 840.3639526367188]]","[[692, 581], [1231, 581], [630, 737], [1302, 737], [517, 1001], [1412, 1001]]","[[563, 537], [563, 737], [1364, 737], [1364, 537]]","[965, 666]",None,None
33799,"[[870.2650146484375, 467.07818603515625], [873.1322021484375, 462.7627868652344], [865.9642944335938, 462.7627868652344], [880.3001708984375, 464.20123291015625], [861.6635131835938, 464.20123291015625], [886.0345458984375, 484.3397521972656], [857.3627319335938, 481.4627990722656], [896.0697021484375, 507.3551940917969], [841.5932006835938, 500.1628723144531], [881.7337646484375, 510.2321472167969], [841.5932006835938, 492.9705505371094], [880.3001708984375, 541.8783569335938], [863.0971069335938, 540.4398803710938], [877.4329833984375, 583.5938110351562], [865.9642944335938, 586.4707641601562], [875.9993896484375, 626.747802734375], [880.3001708984375, 615.2400512695312]]","[[991.0594482421875, 620.5103149414062], [993.9041137695312, 620.5103149414062], [985.3701782226562, 620.5103149414062], [979.680908203125, 630.5812377929688], [1002.4380493164062, 627.703857421875], [978.258544921875, 659.3552856445312], [1018.08349609375, 649.2843627929688], [949.812255859375, 683.8131713867188], [1039.4183349609375, 659.3552856445312], [948.389892578125, 686.6906127929688], [1028.0396728515625, 650.7230834960938], [996.7486572265625, 726.9742431640625], [1022.3504028320312, 724.0968017578125], [991.0594482421875, 788.83837890625], [1018.08349609375, 787.3997192382812], [993.9041137695312, 847.8251953125], [1015.2388305664062, 840.6317138671875]]","[[692, 581], [1231, 581], [630, 737], [1302, 737], [517, 1001], [1412, 1001]]","[[563, 537], [563, 737], [1364, 737], [1364, 537]]","[963, 665]",None,None
33800,"[[869.475341796875, 467.16851806640625], [873.699951171875, 462.8549499511719], [866.6588745117188, 462.8549499511719], [879.332763671875, 464.2927551269531], [862.434326171875, 464.2927551269531], [886.373779296875, 484.4228210449219], [856.801513671875, 481.547119140625], [896.231201171875, 507.4285888671875], [841.3112182617188, 500.23931884765625], [882.149169921875, 508.8664855957031], [841.3112182617188, 493.04998779296875], [880.740966796875, 541.937255859375], [862.434326171875, 540.4993896484375], [877.9244995117188, 583.63525390625], [865.2506713867188, 586.5109252929688], [876.516357421875, 626.77099609375], [880.740966796875, 615.2681274414062]]","[[990.7401123046875, 620.509033203125], [995.029296875, 620.509033203125], [986.4508666992188, 620.509033203125], [979.3021850585938, 630.5697631835938], [1002.177978515625, 627.6952514648438], [979.3021850585938, 659.3147583007812], [1017.9052124023438, 649.2540283203125], [963.5750122070312, 667.938232421875], [1039.351318359375, 657.8775024414062], [949.2776489257812, 682.3107299804688], [1030.7728271484375, 653.5657348632812], [996.4591064453125, 726.865478515625], [1022.1943969726562, 723.990966796875], [990.7401123046875, 788.6671142578125], [1017.9052124023438, 788.6671142578125], [995.029296875, 849.0316162109375], [1015.045654296875, 841.8453369140625]]","[[692, 581], [1231, 581], [630, 737], [1302, 737], [517, 1001], [1412, 1001]]","[[563, 537], [563, 737], [1364, 737], [1364, 537]]","[962, 664]",None,None
33801,"[[869.3829956054688, 467.0351867675781], [873.6411743164062, 462.7207336425781], [866.5443115234375, 462.7207336425781], [879.3187255859375, 464.1589050292969], [862.2860717773438, 464.1589050292969], [886.4156494140625, 484.2929382324219], [856.608642578125, 482.854736328125], [896.3513793945312, 507.30322265625], [840.9954223632812, 500.11248779296875], [882.1575317382812, 510.17950439453125], [840.9954223632812, 492.9217529296875], [880.7380981445312, 541.8186645507812], [862.2860717773438, 540.3805541992188], [877.8993530273438, 583.5248413085938], [865.1248779296875, 586.401123046875], [875.0606079101562, 626.669189453125], [880.7380981445312, 616.6022338867188]]","[[990.6998291015625, 620.4920043945312], [994.9686889648438, 620.4920043945312], [986.4310913085938, 620.4920043945312], [979.31640625, 630.554931640625], [1002.0833740234375, 627.6798095703125], [979.31640625, 659.30615234375], [1017.735595703125, 649.2432250976562], [963.6641235351562, 667.9315185546875], [1039.0797119140625, 657.8685913085938], [949.4347534179688, 682.3071899414062], [1030.5419921875, 653.555908203125], [996.3916015625, 726.87158203125], [1022.0044555664062, 723.9964599609375], [990.6998291015625, 788.686767578125], [1017.735595703125, 788.686767578125], [994.9686889648438, 849.0643310546875], [1014.8898315429688, 841.8765869140625]]","[[692, 581], [1231, 581], [630, 737], [1302, 737], [517, 1001], [1412, 1001]]","[[563, 537], [563, 737], [1364, 737], [1364, 537]]","[960, 663]",None,None
33802,"[[869.3799438476562, 468.1797790527344], [873.6546630859375, 462.4500427246094], [866.5300903320312, 462.4500427246094], [879.3543090820312, 465.31488037109375], [862.2553100585938, 463.8824768066406], [886.4789428710938, 485.3689270019531], [856.5556030273438, 482.50408935546875], [896.4534301757812, 508.2878112792969], [840.8814697265625, 499.6932373046875], [883.629150390625, 508.2878112792969], [843.7313232421875, 489.66619873046875], [880.779296875, 541.2337036132812], [862.2553100585938, 539.80126953125], [877.929443359375, 584.20654296875], [865.1051635742188, 585.6389770507812], [875.07958984375, 627.179443359375], [879.3543090820312, 615.7200317382812]]","[[991.7073364257812, 619.65576171875], [994.572998046875, 618.2164306640625], [987.4087524414062, 619.65576171875], [980.244384765625, 629.7310180664062], [1003.1702880859375, 626.8523559570312], [980.244384765625, 658.517578125], [1017.4989013671875, 648.4423217773438], [964.48291015625, 667.153564453125], [1041.8575439453125, 658.517578125], [950.154296875, 680.1075439453125], [1028.9617919921875, 652.7603149414062], [997.4387817382812, 726.166015625], [1023.2303466796875, 724.7266845703125], [991.7073364257812, 788.05712890625], [1017.4989013671875, 789.4963989257812], [994.572998046875, 848.5089111328125], [1016.0659790039062, 842.7516479492188]]","[[692, 581], [1231, 581], [630, 737], [1302, 737], [517, 1001], [1412, 1001]]","[[563, 537], [563, 737], [1364, 737], [1364, 537]]","[958, 661]",None,None
33803,"[[869.3162231445312, 468.0440673828125], [873.6012573242188, 462.30804443359375], [866.4595947265625, 462.30804443359375], [879.3145141601562, 465.1760559082031], [862.1746215820312, 463.7420654296875], [886.4560546875, 485.2521667480469], [856.4613647460938, 482.3841552734375], [896.4542846679688, 508.1963195800781], [840.7498779296875, 499.59228515625], [883.5994262695312, 508.1963195800781], [843.6065063476562, 489.5542297363281], [880.7427978515625, 541.1785278320312], [862.1746215820312, 539.7445068359375], [877.8861694335938, 584.1987915039062], [865.03125, 585.6328125], [875.029541015625, 627.2190551757812], [879.3145141601562, 615.7469482421875]]","[[992.2966918945312, 618.5865478515625], [995.1434936523438, 618.5865478515625], [986.60302734375, 618.5865478515625], [979.4859008789062, 630.068115234375], [1003.6840209960938, 627.1976928710938], [979.4859008789062, 658.7719116210938], [1017.918212890625, 648.7255859375], [963.8283081054688, 667.383056640625], [1040.6929931640625, 657.3367309570312], [949.5941162109375, 680.2997436523438], [1029.3055419921875, 653.0311279296875], [997.9903564453125, 729.0962524414062], [1023.6118774414062, 724.7906494140625], [990.8732299804688, 787.9390258789062], [1017.918212890625, 787.9390258789062], [993.7200927734375, 845.3467407226562], [1015.0713500976562, 842.476318359375]]","[[692, 581], [1231, 581], [630, 737], [1302, 737], [517, 1001], [1412, 1001]]","[[563, 537], [563, 737], [1364, 737], [1364, 537]]","[957, 660]",None,None
33804,"[[869.629150390625, 467.01312255859375], [873.8734130859375, 462.6908874511719], [866.7996215820312, 462.6908874511719], [879.5325317382812, 464.1316833496094], [862.5552978515625, 464.1316833496094], [886.6063232421875, 484.302001953125], [856.8961791992188, 482.86126708984375], [896.509765625, 507.3537902832031], [841.333740234375, 500.1501159667969], [883.77685546875, 508.7945556640625], [841.333740234375, 492.9464111328125], [879.5325317382812, 541.9315185546875], [862.5552978515625, 540.4907836914062], [878.1177368164062, 583.7129516601562], [865.3848266601562, 585.1536865234375], [875.2882080078125, 626.9351196289062], [879.5325317382812, 615.4091796875]]","[[991.6184692382812, 618.931884765625], [995.9143676757812, 617.4915771484375], [987.3226318359375, 618.931884765625], [980.1627197265625, 630.4544677734375], [1003.0741577148438, 627.5737915039062], [980.1627197265625, 659.2608642578125], [1017.3939208984375, 649.1786499023438], [962.9790649414062, 667.9027709960938], [1041.7373046875, 657.820556640625], [951.5233764648438, 677.9849853515625], [1028.849609375, 652.0592651367188], [997.3463134765625, 726.9559326171875], [1023.1217651367188, 724.0752563476562], [991.6184692382812, 787.4493408203125], [1017.3939208984375, 788.8897094726562], [994.4823608398438, 847.94287109375], [1015.9619140625, 842.1815185546875]]","[[692, 581], [1231, 581], [630, 737], [1302, 737], [517, 1001], [1412, 1001]]","[[563, 537], [563, 737], [1364, 737], [1364, 537]]","[955, 659]",None,None
33805,"[[869.1905517578125, 466.5919189453125], [873.459716796875, 462.2944030761719], [866.3444213867188, 462.2944030761719], [880.5750122070312, 463.7269287109375], [862.0752563476562, 463.7269287109375], [886.2672729492188, 485.2145080566406], [856.383056640625, 482.3494873046875], [896.2286376953125, 508.1346435546875], [842.1525268554688, 499.53961181640625], [883.4210815429688, 509.56719970703125], [842.1525268554688, 493.8095703125], [880.5750122070312, 541.0823364257812], [862.0752563476562, 539.6498413085938], [877.7288818359375, 584.0575561523438], [864.92138671875, 585.4900512695312], [876.3058471679688, 627.0328369140625], [879.1519775390625, 615.5728149414062]]","[[991.5675659179688, 617.9992065429688], [995.8779296875, 617.9992065429688], [987.2572021484375, 617.9992065429688], [980.0733642578125, 630.962646484375], [1003.0618896484375, 628.0819091796875], [978.636474609375, 659.7702026367188], [1017.4296875, 648.2471923828125], [964.2686767578125, 666.9721069335938], [1040.418212890625, 656.8894653320312], [951.3375854492188, 677.0548095703125], [1028.9239501953125, 652.568359375], [997.3147583007812, 727.4680786132812], [1023.1768188476562, 724.5873413085938], [990.1307983398438, 787.9640502929688], [1017.4296875, 789.4044799804688], [994.441162109375, 847.0196533203125], [1015.992919921875, 842.698486328125]]","[[692, 581], [1231, 581], [630, 737], [1302, 737], [517, 1001], [1412, 1001]]","[[563, 537], [563, 737], [1364, 737], [1364, 537]]","[953, 658]",None,None
33806,"[[869.8285522460938, 466.08343505859375], [874.1454467773438, 463.2010192871094], [866.9506225585938, 461.7597961425781], [879.901123046875, 464.6422119140625], [862.6338500976562, 463.2010192871094], [885.6568603515625, 484.819091796875], [856.878173828125, 481.93670654296875], [895.7293701171875, 507.87835693359375], [842.48876953125, 500.67230224609375], [882.7789916992188, 509.3195495605469], [842.48876953125, 492.02508544921875], [879.901123046875, 541.0260620117188], [862.6338500976562, 539.5848388671875], [878.4622192382812, 584.26220703125], [865.5117797851562, 585.7034301757812], [875.5842895507812, 627.498291015625], [879.901123046875, 615.9686889648438]]","[[991.5432739257812, 618.157470703125], [995.8553466796875, 618.157470703125], [987.2312622070312, 618.157470703125], [980.0444946289062, 629.6582641601562], [1003.0419921875, 628.220703125], [980.0444946289062, 658.4103393554688], [1017.4154663085938, 648.3471069335938], [964.2337646484375, 665.5983276367188], [1040.412841796875, 656.9727172851562], [951.2976684570312, 677.0991821289062], [1028.9141845703125, 652.659912109375], [997.2926025390625, 724.5400390625], [1021.7274780273438, 723.1024169921875], [990.1058959960938, 786.35693359375], [1017.4154663085938, 787.7944946289062], [994.41796875, 846.7362060546875], [1015.9780883789062, 842.42333984375]]","[[692, 581], [1231, 581], [630, 737], [1302, 737], [517, 1001], [1412, 1001]]","[[563, 537], [563, 737], [1364, 737], [1364, 537]]","[952, 657]",None,None
33807,"[[869.6055297851562, 466.0536193847656], [873.8314819335938, 463.17730712890625], [866.7882690429688, 461.7391357421875], [879.466064453125, 464.6154479980469], [862.5623168945312, 463.17730712890625], [886.50927734375, 484.7497863769531], [856.9277954101562, 481.8734436035156], [896.3697509765625, 507.76043701171875], [841.4328002929688, 499.1314392089844], [882.2833251953125, 509.1985778808594], [844.2500610351562, 483.31158447265625], [880.8746948242188, 540.8381958007812], [862.5623168945312, 540.8381958007812], [878.0574340820312, 583.9832153320312], [865.379638671875, 585.4213256835938], [875.2401123046875, 627.128173828125], [879.466064453125, 615.622802734375]]","[[992.1780395507812, 618.1595458984375], [995.0264892578125, 618.1595458984375], [987.9052124023438, 618.1595458984375], [980.783935546875, 629.6708984375], [1003.572021484375, 626.7930297851562], [979.3596801757812, 658.4493408203125], [1017.8146362304688, 648.3768920898438], [965.1171264648438, 665.6439819335938], [1040.602783203125, 657.0104370117188], [950.8745727539062, 677.1553344726562], [1027.784423828125, 652.6936645507812], [996.4507446289062, 724.6397705078125], [1022.08740234375, 723.2008056640625], [990.7537231445312, 786.5133666992188], [1017.8146362304688, 787.9523315429688], [993.602294921875, 846.9481201171875], [1016.390380859375, 842.63134765625]]","[[692, 581], [1231, 581], [630, 737], [1302, 737], [517, 1001], [1412, 1001]]","[[563, 537], [563, 737], [1364, 737], [1364, 537]]","[950, 656]",None,None
