frame,top,bottom,court,net,ball,pos,type
133672,"[[1055.4417724609375, 346.094970703125], [1058.276123046875, 343.231201171875], [1052.607421875, 343.231201171875], [1065.3619384765625, 343.231201171875], [1046.938720703125, 341.7993469238281], [1075.2821044921875, 358.9818115234375], [1044.1044921875, 354.6861877441406], [1080.95068359375, 383.3236389160156], [1032.7672119140625, 360.4136962890625], [1076.69921875, 404.8017578125], [1031.3499755859375, 376.1642761230469], [1068.1961669921875, 407.6654968261719], [1051.1903076171875, 404.8017578125], [1061.1104736328125, 442.03045654296875], [1049.7730712890625, 437.7348327636719], [1062.527587890625, 477.8272399902344], [1058.276123046875, 462.0766296386719]]","[[930.092041015625, 538.0398559570312], [928.66845703125, 533.737060546875], [931.515625, 533.737060546875], [930.092041015625, 536.6055908203125], [952.8690185546875, 535.1713256835938], [922.9741821289062, 565.2905883789062], [967.104736328125, 558.1193237304688], [905.891357421875, 593.9756469726562], [989.8818359375, 569.5933837890625], [922.9741821289062, 612.6209106445312], [974.2225952148438, 583.9358520507812], [938.6334228515625, 631.2661743164062], [965.68115234375, 629.8319091796875], [925.8213500976562, 687.2019653320312], [958.5632934570312, 678.5964965820312], [934.3627319335938, 738.8350830078125], [952.8690185546875, 730.2295532226562]]","[[719, 396], [1197, 396], [656, 597], [1262, 597], [524, 978], [1397, 978]]","[[599, 425], [599, 597], [1320, 597], [1320, 425]]","[1789, 525]",None,None
133673,"[[1055.0677490234375, 345.5187072753906], [1059.32177734375, 342.64154052734375], [1052.2318115234375, 342.64154052734375], [1064.9937744140625, 342.64154052734375], [1047.977783203125, 342.64154052734375], [1074.919921875, 359.90460205078125], [1043.7237548828125, 354.1502380371094], [1080.5919189453125, 382.92205810546875], [1032.3797607421875, 361.34320068359375], [1060.7398681640625, 384.3606262207031], [1032.3797607421875, 374.2904968261719], [1067.829833984375, 407.3780517578125], [1050.8138427734375, 403.06231689453125], [1060.7398681640625, 441.9042053222656], [1050.8138427734375, 437.5884704589844], [1062.1578369140625, 477.86895751953125], [1057.90380859375, 459.1673278808594]]","[[943.47998046875, 541.7212524414062], [929.203125, 534.5366821289062], [934.9138793945312, 533.0997314453125], [930.6307373046875, 537.4104614257812], [953.473876953125, 534.5366821289062], [923.4923706054688, 564.7120361328125], [969.1784057617188, 557.5274658203125], [907.7877197265625, 593.4505004882812], [992.0215454101562, 569.0228271484375], [923.4923706054688, 612.1304931640625], [979.1723022460938, 584.8289794921875], [939.1969604492188, 635.1212768554688], [966.3231201171875, 630.8104858398438], [926.3477172851562, 688.2874145507812], [959.1845703125, 676.7920532226562], [933.4861450195312, 738.5797729492188], [954.901611328125, 728.521240234375]]","[[719, 396], [1197, 396], [656, 597], [1262, 597], [524, 978], [1397, 978]]","[[599, 425], [599, 597], [1320, 597], [1320, 425]]","[1736, 523]",None,None
133674,"[[1055.022216796875, 346.18377685546875], [1059.2977294921875, 341.873779296875], [1052.171875, 341.873779296875], [1064.99853515625, 343.3104248046875], [1047.896240234375, 341.873779296875], [1074.974853515625, 359.11376953125], [1043.6207275390625, 353.3670959472656], [1080.675537109375, 382.1004943847656], [1032.21923828125, 360.5504455566406], [1060.722900390625, 384.97381591796875], [1032.21923828125, 374.9171447753906], [1067.848876953125, 406.52386474609375], [1050.74658203125, 402.2138366699219], [1062.1480712890625, 441.0038757324219], [1049.321533203125, 436.6938781738281], [1062.1480712890625, 478.3572692871094], [1057.87255859375, 459.6805725097656]]","[[943.4236450195312, 538.203857421875], [930.6326904296875, 533.8970336914062], [934.8963623046875, 532.46142578125], [932.053955078125, 536.7682495117188], [953.3721923828125, 535.3326416015625], [926.3690795898438, 562.6093139648438], [969.0054931640625, 558.3024291992188], [907.893310546875, 594.1928100585938], [993.1660766601562, 566.9161376953125], [922.1054077148438, 612.8557739257812], [978.9539184570312, 584.1434936523438], [939.1600341796875, 632.954345703125], [967.5842895507812, 631.5187377929688], [924.9479370117188, 687.5076293945312], [959.0569458007812, 677.4583129882812], [933.4751586914062, 742.0609130859375], [954.7933349609375, 729.140380859375]]","[[719, 396], [1197, 396], [656, 597], [1262, 597], [524, 978], [1397, 978]]","[[599, 425], [599, 597], [1320, 597], [1320, 425]]","[1684, 521]",None,None
133675,"[[1054.966552734375, 346.2794189453125], [1059.2449951171875, 341.9718933105469], [1052.1141357421875, 341.9718933105469], [1064.9495849609375, 343.40771484375], [1047.835693359375, 341.9718933105469], [1076.3587646484375, 359.2019958496094], [1043.5572509765625, 353.4586181640625], [1080.6373291015625, 382.17547607421875], [1032.1480712890625, 360.6378173828125], [1060.671142578125, 385.0471496582031], [1032.1480712890625, 374.9962158203125], [1067.8018798828125, 406.5848083496094], [1050.68798828125, 402.2772521972656], [1062.0972900390625, 441.0450134277344], [1049.2618408203125, 436.7375183105469], [1062.0972900390625, 478.376953125], [1057.81884765625, 459.71099853515625]]","[[942.6669921875, 538.34326171875], [931.1621704101562, 532.6051635742188], [934.038330078125, 534.0396728515625], [932.6002807617188, 536.9087524414062], [954.1718139648438, 534.0396728515625], [926.847900390625, 562.73046875], [968.5529174804688, 558.4268798828125], [908.1524658203125, 594.2903442382812], [990.1244506835938, 569.9031372070312], [922.5335693359375, 612.9393920898438], [977.1815185546875, 584.2485961914062], [938.3526611328125, 631.58837890625], [967.11474609375, 631.58837890625], [925.4097290039062, 686.1008911132812], [958.4861450195312, 678.9281616210938], [932.6002807617188, 737.7443237304688], [954.1718139648438, 729.1370849609375]]","[[719, 396], [1197, 396], [656, 597], [1262, 597], [524, 978], [1397, 978]]","[[599, 425], [599, 597], [1320, 597], [1320, 425]]","[1632, 520]",None,None
133676,"[[1056.2886962890625, 346.20452880859375], [1059.15771484375, 341.88446044921875], [1053.419921875, 341.88446044921875], [1066.329833984375, 343.3244934082031], [1047.68212890625, 341.88446044921875], [1076.3709716796875, 359.16473388671875], [1043.3787841796875, 353.4046325683594], [1080.67431640625, 382.20513916015625], [1033.337646484375, 360.6047668457031], [1062.0264892578125, 385.08514404296875], [1031.9031982421875, 375.0049743652344], [1067.7642822265625, 406.6855163574219], [1050.551025390625, 400.9254150390625], [1062.0264892578125, 441.2460632324219], [1049.1165771484375, 436.926025390625], [1062.0264892578125, 478.6866760253906], [1057.72314453125, 458.5263671875]]","[[943.4420166015625, 540.4642944335938], [931.919921875, 534.7221069335938], [934.8004760742188, 534.7221069335938], [933.3601684570312, 537.5932006835938], [954.9639892578125, 534.7221069335938], [926.158935546875, 563.432861328125], [969.3665161132812, 559.126220703125], [907.435546875, 593.5791625976562], [992.4107055664062, 569.1749877929688], [923.2783813476562, 612.2411499023438], [978.0081176757812, 583.5303955078125], [939.1211547851562, 635.209716796875], [966.486083984375, 632.3386840820312], [926.158935546875, 686.8890991210938], [959.2847900390625, 678.27587890625], [933.3601684570312, 742.8750610351562], [954.9639892578125, 728.5196533203125]]","[[719, 396], [1197, 396], [656, 597], [1262, 597], [524, 978], [1397, 978]]","[[599, 425], [599, 597], [1320, 597], [1320, 425]]","[1579, 518]",None,None
133677,"[[1055.28076171875, 345.9791564941406], [1059.5390625, 341.66796875], [1052.44189453125, 341.66796875], [1066.6363525390625, 343.10504150390625], [1048.18359375, 341.66796875], [1075.1529541015625, 358.91278076171875], [1043.92529296875, 353.1645202636719], [1080.830810546875, 383.34295654296875], [1032.5697021484375, 361.78692626953125], [1062.3780517578125, 386.2170715332031], [1032.5697021484375, 374.7205505371094], [1069.4752197265625, 404.8989562988281], [1051.0224609375, 402.0248107910156], [1060.95849609375, 442.2626953125], [1048.18359375, 436.514404296875], [1062.3780517578125, 478.18939208984375], [1058.11962890625, 458.0704650878906]]","[[943.3402709960938, 537.6627807617188], [931.9734497070312, 533.3546142578125], [936.236083984375, 533.3546142578125], [933.394287109375, 536.2267456054688], [954.7072143554688, 534.7906494140625], [926.2901000976562, 563.5113525390625], [970.3365478515625, 559.2032470703125], [906.3980712890625, 593.6680297851562], [993.0702514648438, 569.2554931640625], [922.0274658203125, 612.3364868164062], [971.7574462890625, 556.3311767578125], [939.0777587890625, 632.44091796875], [967.494873046875, 631.0048828125], [924.8692016601562, 687.0101928710938], [958.9697265625, 678.39404296875], [931.9734497070312, 743.0155639648438], [954.7072143554688, 730.0912475585938]]","[[719, 396], [1197, 396], [656, 597], [1262, 597], [524, 978], [1397, 978]]","[[599, 425], [599, 597], [1320, 597], [1320, 425]]","[1527, 516]",None,None
133678,"[[1055.36083984375, 345.628662109375], [1059.63671875, 342.7655029296875], [1052.5101318359375, 342.7655029296875], [1066.7633056640625, 342.7655029296875], [1048.2342529296875, 342.7655029296875], [1075.3150634765625, 358.5127258300781], [1043.958251953125, 352.78643798828125], [1081.016357421875, 382.8492736816406], [1032.5557861328125, 361.3758239746094], [1062.4873046875, 385.71240234375], [1032.5557861328125, 374.2599182128906], [1068.1885986328125, 405.7542724609375], [1051.0848388671875, 401.4595642089844], [1061.06201171875, 442.97491455078125], [1048.2342529296875, 437.2486572265625], [1062.4873046875, 477.3323669433594], [1058.21142578125, 458.7220764160156]]","[[944.3611450195312, 538.5115966796875], [932.9888305664062, 532.7546997070312], [937.2534790039062, 532.7546997070312], [932.9888305664062, 535.6331176757812], [955.7333984375, 535.6331176757812], [927.302734375, 564.4176635742188], [972.7918701171875, 560.0999755859375], [907.4011840820312, 591.7630004882812], [994.114990234375, 567.2960815429688], [920.1950073242188, 610.472900390625], [975.6349487304688, 583.1275634765625], [938.675048828125, 634.9397583007812], [967.1057739257812, 634.9397583007812], [925.8811645507812, 686.7518920898438], [959.998046875, 678.1165771484375], [931.5673217773438, 744.3209838867188], [954.3119506835938, 731.3679809570312]]","[[719, 396], [1197, 396], [656, 597], [1262, 597], [524, 978], [1397, 978]]","[[599, 425], [599, 597], [1320, 597], [1320, 425]]","[1475, 515]",None,None
133679,"[[1056.510498046875, 345.12994384765625], [1059.3585205078125, 342.2672424316406], [1053.6624755859375, 342.2672424316406], [1066.4786376953125, 342.2672424316406], [1049.3905029296875, 342.2672424316406], [1076.44677734375, 359.4434814453125], [1043.6943359375, 352.2867126464844], [1082.142822265625, 382.3451232910156], [1032.30224609375, 360.87481689453125], [1062.20654296875, 385.20782470703125], [1032.30224609375, 375.1883544921875], [1067.9027099609375, 406.6781311035156], [1050.814453125, 400.9527282714844], [1062.20654296875, 442.4619445800781], [1047.9664306640625, 435.30517578125], [1062.20654296875, 478.2457580566406], [1057.9345703125, 458.20684814453125]]","[[943.5443115234375, 537.016845703125], [933.4757080078125, 532.7026977539062], [936.3524780273438, 531.2646484375], [934.9141235351562, 537.016845703125], [957.927978515625, 534.1407470703125], [929.1605834960938, 562.9020385742188], [973.7500610351562, 560.02587890625], [907.5850830078125, 590.2252807617188], [996.763916015625, 565.7781372070312], [906.146728515625, 587.34912109375], [966.5581665039062, 557.1497802734375], [939.229248046875, 634.8052368164062], [966.5581665039062, 634.8052368164062], [924.8455200195312, 686.5755615234375], [959.3663330078125, 677.9471435546875], [930.5989990234375, 745.5361938476562], [955.0512084960938, 729.7174682617188]]","[[719, 396], [1197, 396], [656, 597], [1262, 597], [524, 978], [1397, 978]]","[[599, 425], [599, 597], [1320, 597], [1320, 425]]","[1422, 513]",None,None
133680,"[[1057.24853515625, 344.95489501953125], [1060.0667724609375, 342.08685302734375], [1053.021240234375, 342.08685302734375], [1067.1124267578125, 342.08685302734375], [1048.7938232421875, 342.08685302734375], [1075.567138671875, 357.861083984375], [1044.56640625, 353.55902099609375], [1081.2037353515625, 382.2393798828125], [1033.29345703125, 360.7290954589844], [1062.885009765625, 386.5414123535156], [1031.88427734375, 375.06927490234375], [1068.521484375, 405.18365478515625], [1050.202880859375, 402.31561279296875], [1061.4759521484375, 442.4681701660156], [1048.7938232421875, 436.7320556640625], [1062.885009765625, 476.8845520019531], [1055.83935546875, 459.6763610839844]]","[[946.2348022460938, 536.4896850585938], [934.8482666015625, 530.7488403320312], [939.1182861328125, 529.3135986328125], [934.8482666015625, 535.054443359375], [959.0447387695312, 533.6192626953125], [930.5782470703125, 562.3233642578125], [974.7012329101562, 560.88818359375], [907.8051147460938, 591.0275268554688], [998.897705078125, 566.6290283203125], [910.65185546875, 579.5458374023438], [974.7012329101562, 556.58251953125], [939.1182861328125, 635.5189208984375], [967.5846557617188, 636.9541625976562], [924.8850708007812, 687.1863403320312], [960.468017578125, 678.5751342773438], [930.5782470703125, 744.5946655273438], [954.7748413085938, 728.807373046875]]","[[719, 396], [1197, 396], [656, 597], [1262, 597], [524, 978], [1397, 978]]","[[599, 425], [599, 597], [1320, 597], [1320, 425]]","[1370, 512]",None,None
133681,"[[1057.22802734375, 345.0624694824219], [1060.0458984375, 342.19720458984375], [1053.0010986328125, 342.19720458984375], [1067.090576171875, 342.19720458984375], [1048.7742919921875, 342.19720458984375], [1075.544189453125, 357.95623779296875], [1044.5474853515625, 353.6582946777344], [1081.179931640625, 382.31109619140625], [1033.27587890625, 360.8215026855469], [1062.8636474609375, 386.6090087890625], [1031.8670654296875, 375.1479187011719], [1068.4993896484375, 405.23333740234375], [1050.1832275390625, 402.3680725097656], [1061.4547119140625, 442.4819641113281], [1048.7742919921875, 436.7514343261719], [1062.8636474609375, 476.8653564453125], [1055.8189697265625, 459.6736755371094]]","[[947.1326293945312, 536.5618896484375], [935.642578125, 530.8226318359375], [938.5150146484375, 529.3878784179688], [935.642578125, 535.1270751953125], [958.6227416992188, 533.6922607421875], [929.8974609375, 562.3883666992188], [974.421630859375, 560.95361328125], [908.353515625, 589.649658203125], [998.8380126953125, 566.6928100585938], [911.22607421875, 579.6060180664062], [974.421630859375, 556.649169921875], [938.5150146484375, 636.998291015625], [967.2402954101562, 636.998291015625], [925.5886840820312, 687.2164916992188], [960.0589599609375, 678.607666015625], [931.3336791992188, 746.0435180664062], [954.3139038085938, 728.8258666992188]]","[[719, 396], [1197, 396], [656, 597], [1262, 597], [524, 978], [1397, 978]]","[[599, 425], [599, 597], [1320, 597], [1320, 425]]","[1318, 510]",None,None
