frame,top,bottom,court,net,ball,pos,type
100567,"[[977.5384521484375, 408.8750305175781], [981.7877807617188, 404.56597900390625], [974.70556640625, 404.56597900390625], [991.7029418945312, 407.43865966796875], [971.8726806640625, 410.3113708496094], [1010.1167602539062, 434.72930908203125], [973.2891235351562, 436.1656799316406], [1018.615478515625, 472.0744323730469], [966.2069091796875, 469.20172119140625], [1014.3660888671875, 446.2201232910156], [967.6233520507812, 500.8014221191406], [1007.2838745117188, 493.6197204589844], [986.0371704101562, 495.0560302734375], [1010.1167602539062, 541.019287109375], [993.119384765625, 543.8919677734375], [977.5384521484375, 571.1826171875], [994.5358276367188, 591.29150390625]]","[[908.2969360351562, 620.3681030273438], [912.5728149414062, 614.611572265625], [902.5955810546875, 616.0507202148438], [922.5499877929688, 616.0507202148438], [896.8944091796875, 617.4898071289062], [935.3777465820312, 641.9550170898438], [888.342529296875, 643.3941040039062], [945.35498046875, 675.054931640625], [871.23876953125, 670.737548828125], [959.6080932617188, 711.0331420898438], [882.6412963867188, 667.8593139648438], [929.6765747070312, 713.911376953125], [899.7450561523438, 715.3505249023438], [938.2284545898438, 771.4765014648438], [905.4462890625, 775.7938232421875], [942.5043334960938, 829.0415649414062], [913.9981079101562, 831.9198608398438]]","[[675, 535], [1232, 535], [607, 705], [1310, 705], [482, 1000], [1438, 1000]]","[[547, 495], [547, 705], [1376, 705], [1376, 495]]","[1199, 654]",None,None
100568,"[[978.4459838867188, 409.0481262207031], [982.6879272460938, 404.744140625], [975.617919921875, 406.1788024902344], [993.9999389648438, 407.61346435546875], [974.2039184570312, 411.91748046875], [1010.9678344726562, 432.002685546875], [972.7899780273438, 436.3066711425781], [1019.4518432617188, 467.869140625], [967.134033203125, 470.73846435546875], [1016.6239013671875, 443.4799499511719], [968.5479736328125, 502.3009948730469], [1008.139892578125, 492.2583923339844], [986.929931640625, 495.127685546875], [1015.2098999023438, 538.16748046875], [992.5859375, 543.9060668945312], [984.1019287109375, 568.2952880859375], [993.9999389648438, 592.6845703125]]","[[905.0407104492188, 622.11865234375], [909.318115234375, 617.79736328125], [899.3375854492188, 617.79736328125], [917.872802734375, 617.79736328125], [893.6343994140625, 617.79736328125], [933.556396484375, 642.2847900390625], [885.0797119140625, 645.1656494140625], [942.1112060546875, 675.414794921875], [869.3961181640625, 673.974365234375], [956.3690185546875, 712.8661499023438], [876.5250244140625, 669.653076171875], [927.8533325195312, 717.1874389648438], [896.4860229492188, 718.6278686523438], [932.130615234375, 776.2453002929688], [905.0407104492188, 779.1261596679688], [936.4080200195312, 832.4223022460938], [913.5953979492188, 828.1010131835938]]","[[675, 535], [1232, 535], [607, 705], [1310, 705], [482, 1000], [1438, 1000]]","[[547, 495], [547, 705], [1376, 705], [1376, 495]]","[1198, 654]",None,None
100569,"[[978.8165283203125, 410.9014587402344], [983.0804443359375, 405.1610107421875], [975.973876953125, 406.5960998535156], [993.029541015625, 408.0312194824219], [974.5526123046875, 410.9014587402344], [1010.0852661132812, 432.42816162109375], [971.7099609375, 438.1686096191406], [1020.034423828125, 466.87091064453125], [967.4461059570312, 471.17626953125], [1017.1917724609375, 442.4739685058594], [968.8673706054688, 501.31365966796875], [1008.6639404296875, 492.7030029296875], [985.9230346679688, 495.5732116699219], [1014.34912109375, 540.061767578125], [991.6082763671875, 544.3671264648438], [983.0804443359375, 568.7640991210938], [994.450927734375, 591.7259521484375]]","[[905.0357055664062, 621.245361328125], [909.3153076171875, 616.9253540039062], [899.3294677734375, 616.9253540039062], [919.301025390625, 616.9253540039062], [893.6233520507812, 616.9253540039062], [933.56640625, 644.285400390625], [885.0641479492188, 644.285400390625], [943.55224609375, 677.4054565429688], [869.3721923828125, 673.08544921875], [956.39111328125, 711.9655151367188], [877.9314575195312, 668.7654418945312], [927.8602905273438, 716.2855224609375], [896.4764404296875, 717.7255249023438], [932.139892578125, 775.3255615234375], [905.0357055664062, 778.2056274414062], [936.4195556640625, 832.9257202148438], [913.5949096679688, 827.1657104492188]]","[[675, 535], [1232, 535], [607, 705], [1310, 705], [482, 1000], [1438, 1000]]","[[547, 495], [547, 705], [1376, 705], [1376, 495]]","[1198, 654]",None,None
100570,"[[980.6146240234375, 408.3642272949219], [983.4601440429688, 404.0465087890625], [979.1918334960938, 404.0465087890625], [994.8422241210938, 408.3642272949219], [976.3462524414062, 411.2427673339844], [1011.9153442382812, 431.3921203613281], [974.923583984375, 435.7098388671875], [1021.8746948242188, 464.49468994140625], [970.6552734375, 470.25164794921875], [1026.1429443359375, 496.1579895019531], [970.6552734375, 503.35418701171875], [1010.4926147460938, 494.71875], [987.7283935546875, 496.1579895019531], [1019.0291748046875, 540.7744750976562], [991.9966430664062, 547.970703125], [986.3056640625, 569.559326171875], [994.8422241210938, 591.14794921875]]","[[898.3651733398438, 623.5995483398438], [904.0674438476562, 619.2867431640625], [895.5140991210938, 617.8491821289062], [915.471923828125, 620.7243041992188], [891.2373657226562, 619.2867431640625], [931.153076171875, 645.1636352539062], [882.6840209960938, 645.1636352539062], [941.1320190429688, 679.6661376953125], [867.0028686523438, 673.9157104492188], [956.8131713867188, 718.4814453125], [872.705078125, 671.04052734375], [924.0252685546875, 718.4814453125], [894.0885009765625, 719.9190673828125], [925.4508666992188, 775.985595703125], [902.641845703125, 777.4232177734375], [929.7275390625, 834.9274291992188], [914.0463256835938, 826.3018188476562]]","[[675, 535], [1232, 535], [607, 705], [1310, 705], [482, 1000], [1438, 1000]]","[[547, 495], [547, 705], [1376, 705], [1376, 495]]","[1200, 656]",None,None
100571,"[[983.8887329101562, 410.1944885253906], [988.18115234375, 404.4599304199219], [981.027099609375, 405.8935546875], [996.76611328125, 407.3271789550781], [978.1654663085938, 410.1944885253906], [1013.9358520507812, 431.6990661621094], [975.3038330078125, 437.4336242675781], [1023.95166015625, 466.10638427734375], [972.442138671875, 471.8409423828125], [1029.6748046875, 494.7792053222656], [972.442138671875, 503.3810119628906], [1011.07421875, 491.91192626953125], [988.18115234375, 494.7792053222656], [1021.0900268554688, 539.2219848632812], [992.4735717773438, 546.3901977539062], [999.6277465820312, 570.7620239257812], [993.9044189453125, 590.8330078125]]","[[897.9161987304688, 625.8973999023438], [902.1898803710938, 621.5767822265625], [893.6423950195312, 621.5767822265625], [912.1619873046875, 621.5767822265625], [887.944091796875, 621.5767822265625], [927.8323974609375, 647.500732421875], [880.8212280273438, 647.500732421875], [939.2290649414062, 680.6257934570312], [865.1508178710938, 674.8649291992188], [953.474853515625, 718.0714721679688], [870.84912109375, 674.8649291992188], [920.70947265625, 719.51171875], [892.2178955078125, 722.3921508789062], [919.284912109375, 780.0009155273438], [902.1898803710938, 781.441162109375], [917.8602905273438, 839.0499267578125], [912.1619873046875, 827.5281982421875]]","[[675, 535], [1232, 535], [607, 705], [1310, 705], [482, 1000], [1438, 1000]]","[[547, 495], [547, 705], [1376, 705], [1376, 495]]","[1200, 654]",None,None
100572,"[[985.541748046875, 408.4693603515625], [989.7957763671875, 404.1560363769531], [982.7056884765625, 405.5938415527344], [999.7218627929688, 408.4693603515625], [981.2876586914062, 411.3449401855469], [1015.320068359375, 431.4738464355469], [977.03369140625, 435.7872009277344], [1023.828125, 464.54278564453125], [972.7796020507812, 471.731689453125], [1032.336181640625, 494.7361755371094], [972.7796020507812, 503.36285400390625], [1013.9020385742188, 491.860595703125], [989.7957763671875, 494.7361755371094], [1023.828125, 539.307373046875], [992.6318359375, 545.0584716796875], [1008.22998046875, 573.8140869140625], [994.0498657226562, 589.629638671875]]","[[893.484619140625, 627.5128784179688], [899.1707763671875, 621.7518920898438], [889.219970703125, 621.7518920898438], [910.5431518554688, 624.6323852539062], [884.955322265625, 624.6323852539062], [926.18017578125, 651.997314453125], [879.26904296875, 650.5570678710938], [937.5526733398438, 686.5635375976562], [863.6320190429688, 676.481689453125], [951.7681274414062, 724.01025390625], [866.4751586914062, 677.9219970703125], [919.0724487304688, 721.1297607421875], [887.7984008789062, 721.1297607421875], [913.3862915039062, 785.94140625], [900.5923461914062, 787.3816528320312], [907.7000732421875, 846.4323120117188], [917.65087890625, 834.9102783203125]]","[[675, 535], [1232, 535], [607, 705], [1310, 705], [482, 1000], [1438, 1000]]","[[547, 495], [547, 705], [1376, 705], [1376, 495]]","[1200, 654]",None,None
100573,"[[987.979736328125, 408.9346923828125], [992.2276000976562, 404.6269226074219], [985.1478271484375, 406.0628662109375], [1000.7233276367188, 408.9346923828125], [983.73193359375, 410.3706359863281], [1016.2988891601562, 433.34552001953125], [978.0680541992188, 436.2173767089844], [1027.62646484375, 466.3719177246094], [975.2361450195312, 469.2437744140625], [1033.290283203125, 495.0905456542969], [976.652099609375, 503.70611572265625], [1016.2988891601562, 492.2187194824219], [992.2276000976562, 496.5264892578125], [1026.21044921875, 541.0403442382812], [993.6434936523438, 543.9122314453125], [1014.8828735351562, 579.8104248046875], [993.6434936523438, 591.2979125976562]]","[[890.8679809570312, 628.5581665039062], [896.6044311523438, 625.687255859375], [887.999755859375, 624.2518310546875], [906.6433715820312, 627.1227416992188], [883.6973266601562, 627.1227416992188], [920.9847412109375, 652.9609985351562], [876.5267333984375, 652.9609985351562], [933.8919067382812, 685.9765014648438], [863.6194458007812, 681.670166015625], [948.233154296875, 724.73388671875], [863.6194458007812, 677.36376953125], [915.2481689453125, 724.73388671875], [885.1314086914062, 723.2984008789062], [906.6433715820312, 789.3294677734375], [898.0386352539062, 785.0231323242188], [898.0386352539062, 848.1832885742188], [915.2481689453125, 829.5223388671875]]","[[675, 535], [1232, 535], [607, 705], [1310, 705], [482, 1000], [1438, 1000]]","[[547, 495], [547, 705], [1376, 705], [1376, 495]]","[1200, 656]",None,None
100574,"[[990.3514404296875, 409.6868896484375], [994.6561279296875, 405.3893127441406], [987.4816284179688, 406.82183837890625], [1003.265380859375, 408.2543640136719], [984.6119384765625, 411.11944580078125], [1019.0490112304688, 432.607421875], [981.7421875, 435.4725036621094], [1029.0931396484375, 464.1231689453125], [977.4375610351562, 469.85333251953125], [1036.267578125, 494.20635986328125], [978.8723754882812, 502.80157470703125], [1017.6141357421875, 489.90875244140625], [993.22119140625, 491.34130859375], [1027.6583251953125, 540.0474243164062], [994.6561279296875, 542.9125366210938], [1021.9187622070312, 583.0234985351562], [994.6561279296875, 591.61865234375]]","[[886.6420288085938, 633.0430908203125], [892.3989868164062, 628.739501953125], [883.7636108398438, 628.739501953125], [903.9127197265625, 628.739501953125], [879.4459228515625, 628.739501953125], [921.1834106445312, 657.429931640625], [875.1282958984375, 654.5609130859375], [934.136474609375, 693.2929077148438], [869.371337890625, 687.5548706054688], [945.6502685546875, 727.721435546875], [863.6144409179688, 681.8167724609375], [911.10888671875, 727.721435546875], [883.7636108398438, 726.2869262695312], [901.0343017578125, 792.2748413085938], [895.2774047851562, 785.102294921875], [890.9597778320312, 849.6557006835938], [913.9873046875, 826.703369140625]]","[[675, 535], [1232, 535], [607, 705], [1310, 705], [482, 1000], [1438, 1000]]","[[547, 495], [547, 705], [1376, 705], [1376, 495]]","[1198, 654]",None,None
100575,"[[990.3603515625, 409.6605529785156], [994.6649780273438, 405.3612365722656], [987.4906005859375, 406.7943115234375], [1003.2742309570312, 408.2274169921875], [984.6207885742188, 411.0936279296875], [1019.0579833984375, 432.5902404785156], [981.7510375976562, 435.45648193359375], [1029.1021728515625, 464.11859130859375], [977.4464111328125, 469.8510437011719], [1036.276611328125, 494.2138366699219], [978.88134765625, 502.8125], [1017.6231079101562, 489.9145202636719], [993.2301635742188, 491.34765625], [1027.667236328125, 540.0732421875], [994.6649780273438, 542.939453125], [1021.927734375, 583.0664672851562], [994.6649780273438, 591.6651000976562]]","[[886.6441040039062, 633.0355224609375], [892.400634765625, 628.731689453125], [883.765869140625, 628.731689453125], [903.91357421875, 628.731689453125], [879.448486328125, 628.731689453125], [921.1830444335938, 657.4239501953125], [875.1311645507812, 654.5547485351562], [934.1351318359375, 693.289306640625], [869.3746948242188, 687.5508422851562], [945.648193359375, 727.7200317382812], [863.6181640625, 681.8124389648438], [911.1092529296875, 727.7200317382812], [883.765869140625, 726.285400390625], [901.0353393554688, 792.2776489257812], [895.2789306640625, 785.1045532226562], [890.9614868164062, 849.6621704101562], [913.9874877929688, 826.7083129882812]]","[[675, 535], [1232, 535], [607, 705], [1310, 705], [482, 1000], [1438, 1000]]","[[547, 495], [547, 705], [1376, 705], [1376, 495]]","[1198, 654]",None,None
100576,"[[991.4818115234375, 410.15313720703125], [995.732421875, 405.84918212890625], [990.0650634765625, 405.84918212890625], [1005.6502685546875, 408.7184753417969], [987.2313842773438, 411.5877380371094], [1019.8187255859375, 433.10736083984375], [982.9808959960938, 435.9765930175781], [1029.736572265625, 464.6694030761719], [980.1471557617188, 471.8426208496094], [1038.2376708984375, 494.79681396484375], [980.1471557617188, 501.97003173828125], [1019.8187255859375, 490.492919921875], [994.3155517578125, 493.3621826171875], [1031.1534423828125, 540.7052612304688], [994.3155517578125, 545.0092163085938], [1029.736572265625, 588.0484008789062], [994.3155517578125, 590.917724609375]]","[[885.1000366210938, 632.2467041015625], [889.4031982421875, 627.9302978515625], [880.7969970703125, 627.9302978515625], [902.3124389648438, 630.807861328125], [876.493896484375, 627.9302978515625], [918.0903930664062, 658.1449584960938], [872.1907958984375, 656.7061767578125], [929.5652465820312, 695.5535888671875], [856.412841796875, 681.1656494140625], [941.0402221679688, 732.9622802734375], [857.8471069335938, 682.6044311523438], [906.615478515625, 731.5234375], [880.7969970703125, 730.0846557617188], [896.5748901367188, 793.3915405273438], [893.7062377929688, 786.1976318359375], [885.1000366210938, 855.259765625], [913.7872924804688, 826.48388671875]]","[[675, 535], [1232, 535], [607, 705], [1310, 705], [482, 1000], [1438, 1000]]","[[547, 495], [547, 705], [1376, 705], [1376, 495]]","[1200, 654]",None,None
