frame,top,bottom,court,net,ball,pos,type
107378,"[[1087.4486083984375, 489.4349365234375], [1091.7550048828125, 485.1261901855469], [1083.1422119140625, 485.1261901855469], [1094.6259765625, 487.9986877441406], [1075.96484375, 486.56243896484375], [1096.0615234375, 503.79730224609375], [1064.4810791015625, 508.1059875488281], [1106.1097412109375, 516.7234497070312], [1051.5618896484375, 539.7032470703125], [1113.287109375, 531.0858154296875], [1057.3037109375, 569.8642578125], [1080.271240234375, 554.0656127929688], [1057.3037109375, 552.62939453125], [1098.932373046875, 587.0990600585938], [1052.997314453125, 587.0990600585938], [1088.8841552734375, 630.1862182617188], [1035.771728515625, 630.1862182617188]]","[[907.345703125, 608.4805908203125], [893.0770263671875, 601.2743530273438], [921.6143798828125, 595.5093383789062], [894.5039672851562, 601.2743530273438], [920.1875610351562, 598.391845703125], [888.7965087890625, 637.3057250976562], [938.7367553710938, 622.8931884765625], [891.6502075195312, 679.1019897460938], [970.1278076171875, 661.8070068359375], [884.515869140625, 715.1333618164062], [978.68896484375, 699.279541015625], [928.7487182617188, 715.1333618164062], [957.2860107421875, 706.48583984375], [918.7606201171875, 781.430908203125], [941.5904541015625, 767.0184936523438], [933.029296875, 857.8173828125], [957.2860107421875, 828.9923095703125]]","[[689, 581], [1235, 581], [629, 736], [1300, 736], [515, 1000], [1411, 1000]]","[[562, 538], [562, 736], [1368, 736], [1368, 538]]","[1070, 501]",None,None
107379,"[[1088.0167236328125, 489.3719177246094], [1090.8681640625, 485.06427001953125], [1083.739501953125, 485.06427001953125], [1095.1453857421875, 487.9360656738281], [1076.61083984375, 486.50018310546875], [1096.571044921875, 503.73077392578125], [1065.2049560546875, 506.6025390625], [1106.55126953125, 518.089599609375], [1050.9476318359375, 538.1920166015625], [1113.679931640625, 532.448486328125], [1056.6505126953125, 569.781494140625], [1080.887939453125, 553.9867553710938], [1056.6505126953125, 552.5508422851562], [1097.996826171875, 588.447998046875], [1053.799072265625, 587.0120849609375], [1088.0167236328125, 630.088623046875], [1035.2646484375, 630.088623046875]]","[[922.300048828125, 599.4896240234375], [893.5216064453125, 600.9293823242188], [920.8611450195312, 595.1703491210938], [894.9605712890625, 600.9293823242188], [919.4222412109375, 599.4896240234375], [889.204833984375, 636.9237670898438], [939.5670776367188, 622.5260620117188], [890.643798828125, 678.67724609375], [972.6622924804688, 665.7192993164062], [884.88818359375, 714.671630859375], [978.41796875, 700.27392578125], [928.0557250976562, 716.1113891601562], [956.8341674804688, 706.0330200195312], [919.4222412109375, 780.9013061523438], [942.4450073242188, 766.5035400390625], [933.8114624023438, 858.6491088867188], [958.2731323242188, 826.9740600585938]]","[[689, 581], [1235, 581], [629, 736], [1300, 736], [515, 1000], [1411, 1000]]","[[562, 538], [562, 736], [1368, 736], [1368, 538]]","[1076, 505]",None,None
107380,"[[1087.210693359375, 493.7270202636719], [1091.5018310546875, 489.42498779296875], [1082.9195556640625, 489.42498779296875], [1095.79296875, 492.29302978515625], [1077.197998046875, 490.8589782714844], [1097.2232666015625, 510.935302734375], [1064.3245849609375, 510.935302734375], [1110.0966796875, 532.4456787109375], [1050.0208740234375, 542.4838256835938], [1124.4005126953125, 545.3518676757812], [1061.4639892578125, 571.1642456054688], [1078.62841796875, 558.258056640625], [1055.742431640625, 556.8240356445312], [1097.2232666015625, 591.2406005859375], [1050.0208740234375, 594.108642578125], [1087.210693359375, 632.8272705078125], [1035.7171630859375, 632.8272705078125]]","[[888.751220703125, 665.49462890625], [888.751220703125, 658.3121337890625], [918.960205078125, 596.5431518554688], [893.0667724609375, 603.7255249023438], [918.960205078125, 599.4161376953125], [890.1897583007812, 635.3283081054688], [936.222412109375, 625.2728881835938], [895.9437866210938, 669.8040161132812], [969.3085327148438, 668.3675537109375], [885.8742065429688, 710.0257568359375], [972.185546875, 701.4067993164062], [931.9069213867188, 715.771728515625], [957.8003540039062, 708.5892944335938], [916.0831298828125, 780.4137573242188], [941.9765625, 770.3582763671875], [933.3453979492188, 855.111083984375], [959.2388305664062, 832.1273193359375]]","[[689, 581], [1235, 581], [629, 736], [1300, 736], [515, 1000], [1411, 1000]]","[[562, 538], [562, 736], [1368, 736], [1368, 538]]","[1082, 510]",None,None
107381,"[[1088.622802734375, 499.0278015136719], [1091.4898681640625, 496.16595458984375], [1084.322265625, 496.16595458984375], [1095.790283203125, 497.59686279296875], [1075.7210693359375, 496.16595458984375], [1094.3568115234375, 514.767822265625], [1064.2530517578125, 514.767822265625], [1105.824951171875, 533.3697509765625], [1051.351318359375, 546.248046875], [1125.8941650390625, 546.248046875], [1064.2530517578125, 577.7281494140625], [1075.7210693359375, 561.9880981445312], [1051.351318359375, 559.1262817382812], [1095.790283203125, 596.3301391601562], [1048.484375, 596.3301391601562], [1087.189208984375, 632.10302734375], [1037.0162353515625, 637.82666015625]]","[[889.2407836914062, 658.0874633789062], [889.2407836914062, 653.782470703125], [916.467529296875, 599.2520751953125], [890.6737670898438, 602.1221313476562], [915.0345458984375, 599.2520751953125], [889.2407836914062, 632.25732421875], [935.0963745117188, 625.082275390625], [897.8386840820312, 663.8275146484375], [959.4571533203125, 658.0874633789062], [887.8077392578125, 705.4428100585938], [969.488037109375, 701.1377563476562], [933.6633911132812, 716.9228515625], [955.158203125, 706.8778076171875], [912.1685791015625, 781.4982299804688], [940.828369140625, 765.713134765625], [932.2304077148438, 854.6837768554688], [958.024169921875, 830.28857421875]]","[[689, 581], [1235, 581], [629, 736], [1300, 736], [515, 1000], [1411, 1000]]","[[562, 538], [562, 736], [1368, 736], [1368, 538]]","[1087, 517]",None,None
107382,"[[1086.018310546875, 503.68341064453125], [1090.3310546875, 500.8187561035156], [1083.1431884765625, 499.38641357421875], [1094.6436767578125, 502.2510986328125], [1075.9554443359375, 500.8187561035156], [1093.2061767578125, 520.8713989257812], [1063.017333984375, 518.0067138671875], [1104.70654296875, 536.626953125], [1051.5169677734375, 550.9502563476562], [1127.70751953125, 548.0855712890625], [1064.4549560546875, 576.732177734375], [1071.6427001953125, 560.9765625], [1047.2042236328125, 562.4088745117188], [1091.7685546875, 595.3524780273438], [1047.2042236328125, 598.2171020507812], [1087.455810546875, 631.16064453125], [1035.703857421875, 642.6193237304688]]","[[890.0654296875, 655.3513793945312], [885.7673950195312, 596.4771118164062], [912.9883422851562, 600.7849731445312], [888.6328125, 602.220947265625], [912.9883422851562, 599.3489990234375], [888.6328125, 629.504150390625], [933.0458984375, 623.7603149414062], [895.7962036132812, 658.2232666015625], [955.96875, 656.7872924804688], [888.6328125, 699.8660888671875], [964.5648193359375, 699.8660888671875], [933.0458984375, 715.66162109375], [957.4014892578125, 707.0458374023438], [907.2576293945312, 774.535888671875], [940.2092895507812, 764.4841918945312], [927.3151245117188, 846.333740234375], [958.8341674804688, 829.102294921875]]","[[689, 581], [1235, 581], [629, 736], [1300, 736], [515, 1000], [1411, 1000]]","[[562, 538], [562, 736], [1368, 736], [1368, 538]]","[1093, 525]",None,None
107383,"[[1087.9437255859375, 506.87451171875], [1090.80517578125, 502.5517272949219], [1083.6514892578125, 502.5517272949219], [1095.0972900390625, 503.9926452636719], [1075.0672607421875, 502.5517272949219], [1090.80517578125, 521.28369140625], [1060.7601318359375, 519.8427734375], [1105.1123046875, 538.5747680664062], [1050.7451171875, 552.9839477539062], [1125.142333984375, 548.6611938476562], [1065.05224609375, 577.4796142578125], [1067.9136962890625, 560.1885375976562], [1042.1607666015625, 561.6294555664062], [1087.9437255859375, 596.2115478515625], [1047.8836669921875, 597.6524658203125], [1086.512939453125, 632.2345581054688], [1036.43798828125, 642.321044921875]]","[[887.9074096679688, 656.575927734375], [887.9074096679688, 650.822509765625], [886.4796142578125, 649.3841552734375], [886.4796142578125, 603.3565673828125], [910.7509765625, 599.04150390625], [887.9074096679688, 629.2470703125], [932.1668701171875, 624.9320068359375], [895.0460205078125, 656.575927734375], [956.4381103515625, 658.0142822265625], [887.9074096679688, 695.4116821289062], [956.4381103515625, 693.9732666015625], [932.1668701171875, 711.233642578125], [959.2935791015625, 706.9185180664062], [903.6123046875, 771.6447143554688], [935.0222778320312, 760.1378173828125], [920.7450561523438, 839.2476806640625], [955.0104370117188, 823.42578125]]","[[689, 581], [1235, 581], [629, 736], [1300, 736], [515, 1000], [1411, 1000]]","[[562, 538], [562, 736], [1368, 736], [1368, 538]]","[1102, 536]",None,None
107384,"[[1088.1507568359375, 510.18853759765625], [1090.99658203125, 505.88787841796875], [1083.882080078125, 504.4543762207031], [1095.265380859375, 505.88787841796875], [1075.344482421875, 504.4543762207031], [1090.99658203125, 523.09033203125], [1061.1153564453125, 521.6568603515625], [1103.8028564453125, 540.2928466796875], [1052.577880859375, 553.1947021484375], [1125.1466064453125, 550.32763671875], [1068.2298583984375, 577.5648803710938], [1061.1153564453125, 560.3624267578125], [1036.92578125, 561.7959594726562], [1083.882080078125, 596.200927734375], [1046.88623046875, 594.767333984375], [1086.7279052734375, 632.0393676757812], [1036.92578125, 642.0741577148438]]","[[885.44384765625, 655.7760009765625], [881.1666259765625, 599.5769653320312], [908.2554321289062, 601.0180053710938], [884.01806640625, 605.3410034179688], [906.8296508789062, 601.0180053710938], [885.44384765625, 629.8380126953125], [929.6412353515625, 625.5149536132812], [891.146728515625, 657.2169799804688], [952.4527587890625, 657.2169799804688], [885.44384765625, 699.0059814453125], [953.8784790039062, 691.8009643554688], [933.9183349609375, 711.9749755859375], [958.1556396484375, 706.2109375], [899.7011108398438, 771.055908203125], [929.6412353515625, 752.322998046875], [916.8097534179688, 835.9009399414062], [951.0270385742188, 815.7269287109375]]","[[689, 581], [1235, 581], [629, 736], [1300, 736], [515, 1000], [1411, 1000]]","[[562, 538], [562, 736], [1368, 736], [1368, 538]]","[1106, 547]",None,None
107385,"[[1088.1502685546875, 510.18817138671875], [1090.99609375, 505.8874816894531], [1083.8814697265625, 504.45391845703125], [1095.264892578125, 505.8874816894531], [1075.343994140625, 504.45391845703125], [1090.99609375, 523.0902709960938], [1061.11474609375, 521.65673828125], [1103.8023681640625, 540.2930297851562], [1052.5772705078125, 553.1951293945312], [1125.146240234375, 550.3280029296875], [1068.2293701171875, 577.565673828125], [1061.11474609375, 560.3629150390625], [1036.925048828125, 561.7965087890625], [1083.8814697265625, 596.2019653320312], [1046.8856201171875, 594.7684326171875], [1086.727294921875, 632.0410766601562], [1036.925048828125, 642.0760498046875]]","[[885.4345092773438, 655.7164306640625], [881.1570434570312, 599.5071411132812], [908.2477416992188, 600.9484252929688], [884.0087890625, 605.272216796875], [906.822021484375, 600.9484252929688], [885.4345092773438, 629.773681640625], [929.6351318359375, 625.4498901367188], [891.1378784179688, 657.15771484375], [952.4483642578125, 657.15771484375], [885.4345092773438, 698.9542846679688], [953.8742065429688, 691.7479858398438], [933.91259765625, 711.9256591796875], [958.1517333984375, 706.16064453125], [899.6928100585938, 771.0174560546875], [929.6351318359375, 752.281005859375], [916.802734375, 835.8743286132812], [951.0226440429688, 815.6966552734375]]","[[689, 581], [1235, 581], [629, 736], [1300, 736], [515, 1000], [1411, 1000]]","[[562, 538], [562, 736], [1368, 736], [1368, 538]]","[1108, 547]",None,None
107386,"[[1087.60498046875, 512.0113525390625], [1091.919921875, 507.71746826171875], [1084.728515625, 506.2861633300781], [1094.79638671875, 507.71746826171875], [1074.66064453125, 506.2861633300781], [1087.60498046875, 523.4616088867188], [1060.278076171875, 522.0303344726562], [1097.6729736328125, 539.2057495117188], [1053.086669921875, 550.6560668945312], [1119.2469482421875, 547.7935180664062], [1068.9075927734375, 572.1253662109375], [1055.963134765625, 562.1063842773438], [1031.5126953125, 562.1063842773438], [1080.4136962890625, 595.0260009765625], [1044.45703125, 595.0260009765625], [1086.166748046875, 630.8081665039062], [1035.827392578125, 642.2584838867188]]","[[877.4026489257812, 607.6005859375], [877.4026489257812, 606.1649780273438], [906.0341186523438, 600.42236328125], [880.2658081054688, 606.1649780273438], [904.6025390625, 601.8580322265625], [883.1289672851562, 632.0065307617188], [924.64453125, 624.8282470703125], [888.855224609375, 660.7193603515625], [950.412841796875, 659.28369140625], [883.1289672851562, 705.2242431640625], [953.2760009765625, 690.8677978515625], [931.8023681640625, 713.838134765625], [957.5706787109375, 706.659912109375], [897.4447021484375, 771.2637939453125], [926.0761108398438, 751.164794921875], [910.328857421875, 834.4320678710938], [948.9812622070312, 817.204345703125]]","[[689, 581], [1235, 581], [629, 736], [1300, 736], [515, 1000], [1411, 1000]]","[[562, 538], [562, 736], [1368, 736], [1368, 538]]","[1112, 559]",None,None
107387,"[[1088.0704345703125, 513.2168579101562], [1090.9290771484375, 510.34906005859375], [1085.2117919921875, 508.9151916503906], [1092.3583984375, 510.34906005859375], [1075.20654296875, 507.48126220703125], [1088.0704345703125, 527.555908203125], [1059.4840087890625, 523.2542114257812], [1098.07568359375, 541.8949584960938], [1055.1959228515625, 549.064453125], [1118.0863037109375, 549.064453125], [1072.347900390625, 570.5730590820312], [1050.9080810546875, 559.101806640625], [1030.8974609375, 559.101806640625], [1072.347900390625, 590.647705078125], [1042.33203125, 594.9494018554688], [1085.2117919921875, 630.7969970703125], [1036.61474609375, 640.8343505859375]]","[[878.302978515625, 618.4432373046875], [879.7255859375, 660.0874633789062], [878.302978515625, 615.5712280273438], [878.302978515625, 612.69921875], [902.4873657226562, 608.3911743164062], [881.148193359375, 638.54736328125], [923.82666015625, 629.9312744140625], [886.8386840820312, 668.7034912109375], [948.0111694335938, 662.95947265625], [881.148193359375, 711.7837524414062], [953.70166015625, 691.6796264648438], [930.9397583007812, 714.65576171875], [956.546875, 707.4757080078125], [898.2196044921875, 772.0961303710938], [929.5171508789062, 756.2999877929688], [903.9100952148438, 839.5884399414062], [942.3206787109375, 818.04833984375]]","[[689, 581], [1235, 581], [629, 736], [1300, 736], [515, 1000], [1411, 1000]]","[[562, 538], [562, 736], [1368, 736], [1368, 538]]","[1117, 572]",None,None
