frame,top,bottom,court,net,ball,pos,type
87980,"[[874.3095703125, 482.5950927734375], [878.5894775390625, 478.278564453125], [868.6029663085938, 478.278564453125], [884.2960815429688, 479.7174072265625], [861.4697265625, 478.278564453125], [892.85595703125, 496.98358154296875], [850.056640625, 495.54473876953125], [922.8154296875, 524.3216552734375], [832.9368896484375, 518.5662841796875], [921.3887939453125, 543.0267333984375], [831.51025390625, 548.7821044921875], [881.4428100585938, 545.9044189453125], [854.3364868164062, 545.9044189453125], [878.5894775390625, 586.1921997070312], [848.6300048828125, 583.314453125], [875.7362060546875, 640.868408203125], [844.35009765625, 622.1633911132812]]","[[943.2745971679688, 628.314697265625], [941.8453979492188, 622.5709228515625], [971.858154296875, 621.1349487304688], [944.7037963867188, 626.8787231445312], [971.858154296875, 622.5709228515625], [944.7037963867188, 657.0333251953125], [990.4374389648438, 646.9817504882812], [918.9785766601562, 681.4442138671875], [1010.4459838867188, 677.1364135742188], [918.9785766601562, 682.880126953125], [1016.1626586914062, 698.6754150390625], [973.287353515625, 738.8815307617188], [997.5833129882812, 733.1378173828125], [974.7164916992188, 799.1907348632812], [986.1499633789062, 789.1392211914062], [991.8666381835938, 860.9359130859375], [979.0040283203125, 846.5765380859375]]","[[655, 590], [1251, 590], [606, 756], [1313, 756], [498, 1018], [1415, 1018]]","[[531, 547], [531, 756], [1373, 756], [1373, 547]]","[917, 619]",None,None
87981,"[[873.6995849609375, 483.4064636230469], [877.9818115234375, 479.1119079589844], [869.4174194335938, 479.1119079589844], [885.1189575195312, 479.1119079589844], [862.2803955078125, 479.1119079589844], [892.2559204101562, 497.7216796875], [849.4337158203125, 496.2901611328125], [922.2315673828125, 523.4890747070312], [833.732177734375, 517.7630004882812], [920.8041381835938, 544.9618530273438], [832.3047485351562, 547.8248901367188], [882.2640380859375, 546.3934326171875], [853.7159423828125, 546.3934326171875], [879.4093017578125, 586.4760131835938], [848.0062866210938, 583.6129760742188], [875.1270751953125, 640.873779296875], [845.1514282226562, 622.2639770507812]]","[[942.0860595703125, 628.3480834960938], [942.0860595703125, 622.6034545898438], [970.8722534179688, 621.1673583984375], [944.9646606445312, 626.9119262695312], [972.3115234375, 622.6034545898438], [943.5253295898438, 657.071044921875], [991.0225830078125, 647.0180053710938], [919.0570678710938, 680.0494384765625], [1011.1729736328125, 677.1771240234375], [919.0570678710938, 681.4855346679688], [1016.9302368164062, 697.283203125], [972.3115234375, 738.9315185546875], [998.2191772460938, 733.1868896484375], [973.7508544921875, 799.249755859375], [986.7046508789062, 789.1966552734375], [991.0225830078125, 859.5679321289062], [978.06884765625, 849.514892578125]]","[[655, 590], [1251, 590], [606, 756], [1313, 756], [498, 1018], [1415, 1018]]","[[531, 547], [531, 756], [1373, 756], [1373, 547]]","[917, 619]",None,None
87982,"[[873.4542236328125, 482.2702941894531], [877.7455444335938, 477.9461975097656], [869.1629638671875, 479.3875732421875], [884.8976440429688, 479.3875732421875], [862.0108642578125, 479.3875732421875], [892.0498046875, 496.6839599609375], [850.5674438476562, 495.2425842285156], [920.6583862304688, 521.1871337890625], [833.40234375, 516.863037109375], [922.0887451171875, 541.3662719726562], [831.971923828125, 548.5731201171875], [882.0368041992188, 547.1317138671875], [853.4282836914062, 547.1317138671875], [879.1759643554688, 586.048583984375], [847.7066040039062, 586.048583984375], [876.3151245117188, 639.3790893554688], [844.845703125, 622.082763671875]]","[[940.7337036132812, 628.027587890625], [942.1689453125, 622.2816162109375], [970.8734741210938, 620.8450927734375], [945.0393676757812, 626.591064453125], [970.8734741210938, 622.2816162109375], [942.1689453125, 656.7575073242188], [990.9666137695312, 646.7020263671875], [917.7701416015625, 678.3049926757812], [1009.62451171875, 675.4320068359375], [919.2052612304688, 681.1780395507812], [1015.3654174804688, 698.4159545898438], [970.8734741210938, 738.637939453125], [996.70751953125, 732.8919677734375], [972.3086547851562, 797.5343627929688], [986.660888671875, 788.9154052734375], [990.9666137695312, 859.3038330078125], [978.049560546875, 849.248291015625]]","[[655, 590], [1251, 590], [606, 756], [1313, 756], [498, 1018], [1415, 1018]]","[[531, 547], [531, 756], [1373, 756], [1373, 547]]","[917, 619]",None,None
87983,"[[873.04345703125, 481.62249755859375], [877.3163452148438, 477.30535888671875], [868.7705078125, 477.30535888671875], [884.4378051757812, 478.7444152832031], [861.6491088867188, 478.7444152832031], [892.9835205078125, 497.4518737792969], [850.2546997070312, 494.5738525390625], [921.4693603515625, 520.4765014648438], [831.7389526367188, 520.4765014648438], [921.4693603515625, 542.0620727539062], [833.1632690429688, 547.8181762695312], [881.5892333984375, 546.379150390625], [853.1033325195312, 547.8181762695312], [878.7406005859375, 586.6721801757812], [848.8304443359375, 583.7941284179688], [875.89208984375, 641.3555908203125], [844.5575561523438, 622.6481323242188]]","[[941.0952758789062, 629.2761840820312], [941.0952758789062, 623.5114135742188], [969.7813110351562, 619.1878662109375], [943.9638671875, 626.393798828125], [971.2156372070312, 623.5114135742188], [943.9638671875, 658.0999755859375], [991.2958374023438, 648.0116577148438], [916.7120971679688, 679.7178955078125], [1012.8104248046875, 673.953125], [918.1463623046875, 679.7178955078125], [1012.8104248046875, 697.01220703125], [969.7813110351562, 737.3655395507812], [997.0330810546875, 734.483154296875], [972.64990234375, 797.8955688476562], [985.5586547851562, 790.6896362304688], [989.8615112304688, 858.4255981445312], [978.3870849609375, 846.8961181640625]]","[[655, 590], [1251, 590], [606, 756], [1313, 756], [498, 1018], [1415, 1018]]","[[531, 547], [531, 756], [1373, 756], [1373, 547]]","[917, 619]",None,None
87984,"[[874.8831176757812, 481.9939270019531], [879.1994018554688, 477.6846618652344], [870.566650390625, 477.6846618652344], [884.9546508789062, 477.6846618652344], [863.372802734375, 479.12109375], [893.58740234375, 496.35821533203125], [850.423583984375, 494.9217834472656], [922.3632202148438, 520.7774658203125], [833.1580810546875, 517.9046020507812], [920.9244384765625, 542.3238525390625], [833.1580810546875, 546.6331787109375], [882.0770874023438, 546.6331787109375], [854.7400512695312, 546.6331787109375], [879.1994018554688, 585.4166259765625], [847.5460815429688, 585.4166259765625], [874.8831176757812, 642.8737182617188], [844.6685180664062, 622.7637329101562]]","[[941.0010375976562, 627.9400024414062], [941.0010375976562, 622.1834716796875], [968.275390625, 617.8660888671875], [943.8720092773438, 626.5008544921875], [971.1463623046875, 622.1834716796875], [942.4365234375, 656.7224731445312], [991.2432250976562, 646.6485595703125], [918.0331420898438, 676.8701782226562], [1015.6465454101562, 669.674560546875], [919.4686889648438, 679.7484130859375], [1004.16259765625, 698.45703125], [969.7108764648438, 740.191650390625], [995.5497436523438, 732.9960327148438], [971.1463623046875, 796.3175048828125], [986.936767578125, 787.6827392578125], [991.2432250976562, 859.6389770507812], [976.8883666992188, 849.5650024414062]]","[[655, 590], [1251, 590], [606, 756], [1313, 756], [498, 1018], [1415, 1018]]","[[531, 547], [531, 756], [1373, 756], [1373, 547]]","[917, 619]",None,None
87985,"[[874.8834228515625, 481.9977722167969], [879.19970703125, 477.6883850097656], [870.5671997070312, 477.6883850097656], [884.9547119140625, 477.6883850097656], [863.3734741210938, 479.1248474121094], [893.5872192382812, 496.36248779296875], [850.4247436523438, 494.9259948730469], [922.3621215820312, 520.7824096679688], [833.1597900390625, 517.9094848632812], [920.92333984375, 542.3294067382812], [833.1597900390625, 546.6388549804688], [882.0772705078125, 546.6388549804688], [854.740966796875, 546.6388549804688], [879.19970703125, 585.4234619140625], [847.5473022460938, 585.4234619140625], [874.8834228515625, 642.8821411132812], [844.6697387695312, 624.2080688476562]]","[[941.0006713867188, 627.9242553710938], [941.0006713867188, 622.168212890625], [968.2742309570312, 617.8511962890625], [943.8716430664062, 626.4852294921875], [971.1452026367188, 622.168212890625], [942.4360961914062, 656.7044067382812], [991.2415161132812, 646.63134765625], [918.0335083007812, 676.8505249023438], [1015.6441040039062, 669.655517578125], [919.4689331054688, 679.7285766601562], [1004.1605224609375, 698.4356079101562], [969.7096557617188, 740.1668701171875], [995.5477905273438, 732.9718627929688], [971.1452026367188, 796.2881469726562], [985.4996337890625, 787.6541748046875], [991.2415161132812, 859.6045532226562], [976.886962890625, 849.531494140625]]","[[655, 590], [1251, 590], [606, 756], [1313, 756], [498, 1018], [1415, 1018]]","[[531, 547], [531, 756], [1373, 756], [1373, 547]]","[917, 619]",None,None
87986,"[[875.2183837890625, 481.212646484375], [878.0903930664062, 476.9056396484375], [870.910400390625, 476.9056396484375], [885.2703247070312, 478.34130859375], [862.29443359375, 478.34130859375], [893.8863525390625, 497.00506591796875], [850.8064575195312, 494.13372802734375], [922.6062622070312, 519.9758911132812], [833.574462890625, 517.1045532226562], [921.1702880859375, 541.510986328125], [833.574462890625, 547.2537231445312], [880.9623413085938, 545.8180541992188], [853.6784057617188, 547.2537231445312], [879.5263671875, 586.0169067382812], [846.4984130859375, 587.4525756835938], [875.2183837890625, 640.5725708007812], [843.62646484375, 621.9088134765625]]","[[940.7318115234375, 627.1565551757812], [940.7318115234375, 621.409912109375], [967.9760131835938, 618.5365600585938], [943.599609375, 625.7199096679688], [969.4099731445312, 621.409912109375], [942.165771484375, 655.8899536132812], [989.484619140625, 645.833251953125], [920.6571655273438, 671.6932983398438], [1018.1627807617188, 665.9466552734375], [919.2232055664062, 676.0033569335938], [1005.257568359375, 690.3700561523438], [969.4099731445312, 737.7801513671875], [995.22021484375, 732.033447265625], [969.4099731445312, 793.8102416992188], [986.6168212890625, 788.0635375976562], [990.9185791015625, 859.89697265625], [978.0133666992188, 845.5302734375]]","[[655, 590], [1251, 590], [606, 756], [1313, 756], [498, 1018], [1415, 1018]]","[[531, 547], [531, 756], [1373, 756], [1373, 547]]","[917, 619]",None,None
87987,"[[875.0338745117188, 480.8645935058594], [879.3177490234375, 476.5508728027344], [870.7498779296875, 476.5508728027344], [885.0297241210938, 477.9888000488281], [862.1820068359375, 477.9888000488281], [892.1696166992188, 495.2434997558594], [850.7581176757812, 493.8056335449219], [925.0132446289062, 521.1256103515625], [835.0502319335938, 516.8118896484375], [922.1572875976562, 541.256103515625], [833.6222534179688, 547.0076904296875], [882.1737670898438, 547.0076904296875], [853.6140747070312, 547.0076904296875], [879.3177490234375, 585.8307495117188], [846.47412109375, 585.8307495117188], [875.0338745117188, 640.470703125], [843.6182250976562, 623.2160034179688]]","[[939.9345703125, 626.3336791992188], [939.9345703125, 620.5833740234375], [967.3008422851562, 619.1458740234375], [942.815185546875, 626.3336791992188], [968.7412109375, 620.5833740234375], [941.3748168945312, 655.0847778320312], [988.9058227539062, 646.45947265625], [918.3295288085938, 672.33544921875], [1016.272216796875, 662.2725219726562], [918.3295288085938, 672.33544921875], [997.5479125976562, 686.7110595703125], [968.7412109375, 735.5879516601562], [994.6671752929688, 731.2752685546875], [970.1815185546875, 794.5277709960938], [986.0252075195312, 788.777587890625], [990.34619140625, 857.7802124023438], [978.823486328125, 846.27978515625]]","[[655, 590], [1251, 590], [606, 756], [1313, 756], [498, 1018], [1415, 1018]]","[[531, 547], [531, 756], [1373, 756], [1373, 547]]","[917, 619]",None,None
87988,"[[874.6963500976562, 480.6400146484375], [879.0056762695312, 476.334228515625], [870.386962890625, 476.334228515625], [884.7515258789062, 477.76947021484375], [863.2047119140625, 476.334228515625], [893.3702392578125, 496.4280090332031], [850.276611328125, 494.9927062988281], [923.5357666015625, 520.82763671875], [834.4756469726562, 516.5217895507812], [922.0993041992188, 540.9214477539062], [833.0392456054688, 546.6624755859375], [881.8785400390625, 546.6624755859375], [854.5859985351562, 546.6624755859375], [879.0056762695312, 585.4148559570312], [847.4037475585938, 586.8500366210938], [874.6963500976562, 641.390380859375], [843.0944213867188, 622.7318725585938]]","[[938.9883422851562, 625.9240112304688], [938.9883422851562, 621.6017456054688], [966.1224975585938, 615.8387451171875], [941.8446044921875, 625.9240112304688], [968.978759765625, 621.6017456054688], [941.8446044921875, 654.7391967773438], [987.5441284179688, 646.0946655273438], [916.1386108398438, 676.3505249023438], [1016.1064453125, 663.3837280273438], [917.5667114257812, 672.0282592773438], [996.1129150390625, 683.5543212890625], [967.5505981445312, 736.8623046875], [994.6847534179688, 732.5400390625], [970.4067993164062, 794.4926147460938], [986.1160888671875, 788.7294921875], [990.4004516601562, 859.3265991210938], [977.5474243164062, 846.3598022460938]]","[[655, 590], [1251, 590], [606, 756], [1313, 756], [498, 1018], [1415, 1018]]","[[531, 547], [531, 756], [1373, 756], [1373, 547]]","[917, 619]",None,None
87989,"[[874.9684448242188, 481.3865051269531], [879.2474975585938, 475.6535949707031], [870.6893920898438, 475.6535949707031], [884.9529418945312, 478.5200500488281], [863.5576782226562, 478.5200500488281], [893.5110473632812, 495.7187805175781], [850.7205200195312, 494.2855224609375], [923.4644775390625, 520.0836181640625], [835.0305786132812, 515.783935546875], [922.0380859375, 541.58203125], [833.604248046875, 548.7481689453125], [882.1002197265625, 545.8817138671875], [854.9995727539062, 547.31494140625], [879.2474975585938, 587.4452514648438], [846.44140625, 587.4452514648438], [876.3948364257812, 640.4746704101562], [842.162353515625, 624.7091674804688]]","[[938.4405517578125, 627.0291748046875], [939.8797607421875, 619.8475952148438], [967.2261962890625, 618.4113159179688], [941.319091796875, 625.5928955078125], [968.66552734375, 621.283935546875], [941.319091796875, 655.7554931640625], [987.3763427734375, 645.7012939453125], [925.4868774414062, 661.500732421875], [1013.283447265625, 665.8096923828125], [915.4119262695312, 670.11865234375], [993.1334838867188, 681.6091918945312], [965.7869873046875, 737.6254272460938], [993.1334838867188, 731.8801879882812], [968.66552734375, 793.6417846679688], [984.4977416992188, 787.8964233398438], [988.8155517578125, 856.839599609375], [975.8619995117188, 851.0943603515625]]","[[655, 590], [1251, 590], [606, 756], [1313, 756], [498, 1018], [1415, 1018]]","[[531, 547], [531, 756], [1373, 756], [1373, 547]]","[917, 619]",None,None
