frame,top,bottom,court,net,ball,pos,type
35175,"[[1013.7842407226562, 373.1714172363281], [1016.6538696289062, 368.8572082519531], [1009.4798583984375, 368.8572082519531], [1022.39306640625, 370.2952880859375], [1003.7405395507812, 370.2952880859375], [1029.5670166015625, 380.36175537109375], [996.5665283203125, 386.1140441894531], [1048.219482421875, 394.74249267578125], [986.52294921875, 406.2470703125], [1039.610595703125, 410.5613098144531], [995.1317749023438, 413.43743896484375], [1023.827880859375, 430.6943054199219], [1003.7405395507812, 432.1323547363281], [1022.39306640625, 465.2080383300781], [1008.0450439453125, 468.0841979980469], [1018.0885620117188, 486.77911376953125], [1008.0450439453125, 505.47406005859375]]","[[928.8116455078125, 564.0040283203125], [915.9269409179688, 556.8289184570312], [920.2218017578125, 559.698974609375], [917.3585815429688, 559.698974609375], [937.4015502929688, 555.3938598632812], [908.7687377929688, 585.5294189453125], [954.581298828125, 575.4842529296875], [900.1787719726562, 612.794921875], [987.5090942382812, 574.0491943359375], [983.2141723632812, 572.6141967773438], [983.2141723632812, 574.0491943359375], [923.0851440429688, 661.5858154296875], [954.581298828125, 661.5858154296875], [915.9269409179688, 713.2467651367188], [950.286376953125, 707.5066528320312], [915.9269409179688, 772.0828247070312], [943.128173828125, 757.7326049804688]]","[[718, 430], [1196, 430], [663, 637], [1258, 637], [549, 990], [1370, 990]]","[[594, 459], [594, 637], [1324, 637], [1324, 459]]","[975, 551]",None,None
35176,"[[1013.766357421875, 371.5063171386719], [1016.6297607421875, 367.2135925292969], [1009.47119140625, 368.64453125], [1022.3565673828125, 370.075439453125], [1003.7444458007812, 370.075439453125], [1029.51513671875, 380.091796875], [996.5858764648438, 385.8154602050781], [1048.1273193359375, 394.40087890625], [986.5639038085938, 405.8481750488281], [1039.537109375, 410.1408996582031], [995.1542358398438, 413.002685546875], [1023.788330078125, 431.60455322265625], [1003.7444458007812, 431.60455322265625], [1022.3565673828125, 465.94635009765625], [1008.03955078125, 468.8081359863281], [1018.0615234375, 485.97906494140625], [1008.03955078125, 506.0118103027344]]","[[917.906982421875, 559.2526245117188], [917.906982421875, 557.8116455078125], [937.820068359375, 553.4886474609375], [917.906982421875, 557.8116455078125], [937.820068359375, 554.9296264648438], [909.372802734375, 586.6317138671875], [953.4661254882812, 576.544677734375], [899.416259765625, 612.56982421875], [977.6463012695312, 573.6626586914062], [920.7517700195312, 582.3087158203125], [980.4910888671875, 576.544677734375], [922.174072265625, 661.56396484375], [954.8884887695312, 661.56396484375], [915.062255859375, 714.8812255859375], [950.6213989257812, 704.794189453125], [916.4846801757812, 775.4034423828125], [944.9319458007812, 759.5524291992188]]","[[718, 430], [1196, 430], [663, 637], [1258, 637], [549, 990], [1370, 990]]","[[594, 459], [594, 637], [1324, 637], [1324, 459]]","[975, 551]",None,None
35177,"[[1014.044677734375, 372.5841369628906], [1016.9226684570312, 368.28125], [1009.7277221679688, 368.28125], [1021.2396240234375, 369.7155456542969], [1003.9718627929688, 369.7155456542969], [1029.87353515625, 381.1899108886719], [996.7769165039062, 386.9271240234375], [1047.141357421875, 394.0986328125], [986.7040405273438, 407.00732421875], [1038.5074462890625, 411.31024169921875], [995.3379516601562, 412.7445068359375], [1022.6785888671875, 431.3904113769531], [1003.9718627929688, 432.8247375488281], [1022.6785888671875, 464.37933349609375], [1008.288818359375, 468.6822509765625], [1016.9226684570312, 485.8938293457031], [1006.849853515625, 504.53973388671875]]","[[930.0610961914062, 565.3764038085938], [915.6630859375, 556.7297973632812], [924.3018188476562, 561.0531005859375], [918.5426635742188, 559.6119995117188], [938.6998291015625, 555.2886962890625], [908.464111328125, 585.5518798828125], [955.9773559570312, 575.4641723632812], [899.8253173828125, 614.3739624023438], [989.0926513671875, 574.0230102539062], [984.7733154296875, 571.140869140625], [984.7733154296875, 575.4641723632812], [922.8621215820312, 663.3715209960938], [955.9773559570312, 661.930419921875], [915.6630859375, 713.8101806640625], [950.2182006835938, 706.6046142578125], [915.6630859375, 772.8955078125], [944.458984375, 757.0433349609375]]","[[718, 430], [1196, 430], [663, 637], [1258, 637], [549, 990], [1370, 990]]","[[594, 459], [594, 637], [1324, 637], [1324, 459]]","[975, 551]",None,None
35178,"[[1014.1972045898438, 371.57452392578125], [1017.0419311523438, 367.26031494140625], [1009.9302368164062, 367.26031494140625], [1021.308837890625, 370.136474609375], [1004.240966796875, 370.136474609375], [1029.8428955078125, 380.2030029296875], [995.7069091796875, 385.9552917480469], [1046.9107666015625, 394.5837097167969], [985.7506713867188, 407.5263977050781], [1039.7991943359375, 410.40252685546875], [995.7069091796875, 413.2786865234375], [1024.153564453125, 431.9736328125], [1004.240966796875, 431.9736328125], [1022.7311401367188, 463.61126708984375], [1007.0855102539062, 469.3636169433594], [1017.0419311523438, 486.6205139160156], [1007.0855102539062, 503.87738037109375]]","[[929.5465087890625, 564.6738891601562], [933.8499145507812, 558.9346313476562], [926.6776123046875, 558.9346313476562], [918.07080078125, 558.9346313476562], [939.587890625, 556.0650024414062], [909.4638671875, 587.6309814453125], [955.3670654296875, 577.5872802734375], [900.8570556640625, 614.892578125], [991.22900390625, 573.2827758789062], [985.4911499023438, 573.2827758789062], [984.056640625, 576.1524658203125], [922.3742065429688, 663.6763916015625], [955.3670654296875, 662.2415771484375], [915.2018432617188, 713.89501953125], [951.0636596679688, 705.2861328125], [915.2018432617188, 772.72265625], [942.4568481445312, 758.3744506835938]]","[[718, 430], [1196, 430], [663, 637], [1258, 637], [549, 990], [1370, 990]]","[[594, 459], [594, 637], [1324, 637], [1324, 459]]","[975, 551]",None,None
35179,"[[1014.3470458984375, 371.80584716796875], [1017.1795654296875, 367.4884033203125], [1010.0983276367188, 367.4884033203125], [1021.4284057617188, 370.36669921875], [1004.4332885742188, 370.36669921875], [1029.9259033203125, 380.4407653808594], [995.9356689453125, 386.1973571777344], [1046.9210205078125, 394.8322448730469], [986.0219116210938, 406.345458984375], [1039.8397216796875, 410.66290283203125], [995.9356689453125, 413.54119873046875], [1024.2608642578125, 430.8110046386719], [1004.4332885742188, 432.2501525878906], [1022.8445434570312, 465.3506774902344], [1007.2657470703125, 468.2289733886719], [1017.1795654296875, 486.9378662109375], [1007.2657470703125, 504.2076721191406]]","[[932.5559692382812, 565.1074829101562], [916.7557983398438, 557.934326171875], [938.3013916015625, 555.0650024414062], [918.1921997070312, 559.368896484375], [939.73779296875, 555.0650024414062], [908.1375122070312, 585.1924438476562], [955.5379028320312, 576.5845947265625], [899.519287109375, 613.88525390625], [992.8836669921875, 573.71533203125], [987.13818359375, 573.71533203125], [984.2654418945312, 580.8885498046875], [922.5012817382812, 665.5323486328125], [955.5379028320312, 662.6630249023438], [913.883056640625, 715.7447509765625], [949.79248046875, 705.7022705078125], [916.7557983398438, 773.13037109375], [942.6105346679688, 755.9146728515625]]","[[718, 430], [1196, 430], [663, 637], [1258, 637], [549, 990], [1370, 990]]","[[594, 459], [594, 637], [1324, 637], [1324, 459]]","[975, 551]",None,None
35180,"[[1014.368896484375, 371.6882629394531], [1017.2062377929688, 367.36309814453125], [1010.1129760742188, 367.36309814453125], [1021.4620361328125, 370.24652099609375], [1004.4384155273438, 370.24652099609375], [1029.973876953125, 380.338623046875], [995.926513671875, 386.10552978515625], [1046.9976806640625, 394.755859375], [985.9960327148438, 407.7314147949219], [1039.9044189453125, 410.6148681640625], [995.926513671875, 413.4983215332031], [1024.29931640625, 430.79901123046875], [1004.4384155273438, 432.2407531738281], [1022.8806762695312, 465.400390625], [1007.2756958007812, 468.28387451171875], [1017.2062377929688, 487.0262756347656], [1007.2756958007812, 504.3270263671875]]","[[933.5721435546875, 564.0342407226562], [935.0101318359375, 558.278564453125], [937.8861083984375, 556.8397216796875], [917.7540893554688, 558.278564453125], [939.3240966796875, 556.8397216796875], [909.1260986328125, 587.0569458007812], [955.14208984375, 576.9845581054688], [900.4981079101562, 614.3964233398438], [993.968017578125, 575.5455932617188], [986.778076171875, 575.5455932617188], [983.9020385742188, 582.740234375], [922.0681762695312, 664.7586059570312], [955.14208984375, 663.3196411132812], [914.8781127929688, 713.6818237304688], [950.8280639648438, 706.4872436523438], [916.3161010742188, 771.238525390625], [942.2000732421875, 756.849365234375]]","[[718, 430], [1196, 430], [663, 637], [1258, 637], [549, 990], [1370, 990]]","[[594, 459], [594, 637], [1324, 637], [1324, 459]]","[975, 551]",None,None
35181,"[[1014.3648681640625, 371.6974182128906], [1017.2015380859375, 367.3726501464844], [1010.1099243164062, 367.3726501464844], [1021.4566040039062, 370.255859375], [1004.4365234375, 370.255859375], [1029.966552734375, 380.34698486328125], [995.9266357421875, 386.11334228515625], [1046.986572265625, 394.7629089355469], [985.998291015625, 407.7372131347656], [1039.8948974609375, 410.6203918457031], [995.9266357421875, 413.50360107421875], [1024.293212890625, 430.8027038574219], [1004.4365234375, 432.2442626953125], [1022.8748779296875, 465.4009094238281], [1007.2732543945312, 468.2840576171875], [1017.2015380859375, 487.0247802734375], [1007.2732543945312, 504.3238830566406]]","[[933.5736083984375, 564.0345458984375], [935.01171875, 558.2788696289062], [937.8878784179688, 556.8399658203125], [917.7548217773438, 558.2788696289062], [939.325927734375, 556.8399658203125], [909.1263427734375, 587.0573120117188], [955.144775390625, 576.98486328125], [900.4979248046875, 614.396728515625], [993.9727783203125, 575.5458984375], [986.7824096679688, 575.5458984375], [983.90625, 582.7405395507812], [922.0690307617188, 664.7589721679688], [955.144775390625, 663.3200073242188], [914.878662109375, 713.6821899414062], [950.8305053710938, 706.487548828125], [916.3167114257812, 771.239013671875], [942.2020874023438, 756.8497924804688]]","[[718, 430], [1196, 430], [663, 637], [1258, 637], [549, 990], [1370, 990]]","[[594, 459], [594, 637], [1324, 637], [1324, 459]]","[975, 551]",None,None
35182,"[[1014.3760986328125, 372.330810546875], [1017.243896484375, 368.0256042480469], [1010.074462890625, 368.0256042480469], [1021.5455932617188, 370.8957214355469], [1004.3389892578125, 370.8957214355469], [1030.14892578125, 380.94122314453125], [995.735595703125, 386.6814880371094], [1047.35546875, 395.29193115234375], [987.1322631835938, 406.7724304199219], [1040.1861572265625, 411.07763671875], [995.735595703125, 413.94781494140625], [1024.413330078125, 431.1685791015625], [1004.3389892578125, 432.60369873046875], [1022.9794311523438, 465.6102600097656], [1007.2066650390625, 468.48040771484375], [1017.243896484375, 485.7012023925781], [1007.2066650390625, 504.35711669921875]]","[[930.7706909179688, 564.9112548828125], [935.0667114257812, 557.73583984375], [939.36279296875, 556.3007202148438], [919.3146362304688, 559.1709594726562], [939.36279296875, 556.3007202148438], [909.2905883789062, 586.4376220703125], [955.1148681640625, 576.3919677734375], [900.6985473632812, 613.704345703125], [998.0751342773438, 574.9569091796875], [988.051025390625, 576.3919677734375], [983.7550048828125, 583.5674438476562], [922.1786499023438, 665.3676147460938], [953.682861328125, 662.4973754882812], [915.0186157226562, 715.5957641601562], [950.81884765625, 706.9852294921875], [916.4506225585938, 775.8695068359375], [943.6588134765625, 755.7782592773438]]","[[718, 430], [1196, 430], [663, 637], [1258, 637], [549, 990], [1370, 990]]","[[594, 459], [594, 637], [1324, 637], [1324, 459]]","[975, 551]",None,None
35183,"[[1013.9637451171875, 371.908203125], [1016.8329467773438, 367.6162109375], [1009.6599731445312, 367.6162109375], [1021.13671875, 370.4775390625], [1003.9215698242188, 370.4775390625], [1029.7442626953125, 380.4921875], [996.7485961914062, 387.6455383300781], [1048.39404296875, 394.7988586425781], [986.7064208984375, 406.24420166015625], [1039.7864990234375, 411.9668884277344], [998.1832275390625, 411.9668884277344], [1024.005859375, 430.5655517578125], [1005.356201171875, 433.4268798828125], [1022.5713500976562, 464.90155029296875], [1008.2254028320312, 469.19354248046875], [1016.8329467773438, 484.93084716796875], [1008.2254028320312, 506.3908996582031]]","[[931.044921875, 564.7029418945312], [935.3131713867188, 557.5308227539062], [926.776611328125, 558.9652099609375], [918.239990234375, 557.5308227539062], [939.5814819335938, 554.6619262695312], [909.7034301757812, 586.2194213867188], [955.23193359375, 577.6128540039062], [904.0123291015625, 604.8670043945312], [996.4921264648438, 577.6128540039062], [989.3783569335938, 580.4817504882812], [986.5327758789062, 581.9161376953125], [923.9310302734375, 663.6786499023438], [955.23193359375, 662.2442016601562], [915.3944702148438, 712.4493408203125], [950.963623046875, 706.7115478515625], [916.8171997070312, 774.1297607421875], [943.849853515625, 755.4822387695312]]","[[718, 430], [1196, 430], [663, 637], [1258, 637], [549, 990], [1370, 990]]","[[594, 459], [594, 637], [1324, 637], [1324, 459]]","[975, 551]",None,None
35184,"[[1013.8294677734375, 372.27655029296875], [1016.674072265625, 367.96588134765625], [1009.5626220703125, 367.96588134765625], [1022.36328125, 369.4028015136719], [1003.8734741210938, 370.83966064453125], [1029.4747314453125, 380.8979187011719], [996.7620239257812, 388.0823669433594], [1047.96435546875, 395.266845703125], [986.8060302734375, 406.761962890625], [1039.4306640625, 412.5095520019531], [998.1843872070312, 412.5095520019531], [1023.7855224609375, 431.18914794921875], [1003.8734741210938, 432.62603759765625], [1022.36328125, 465.6745300292969], [1008.140380859375, 468.54833984375], [1016.674072265625, 485.7910461425781], [1008.140380859375, 505.9075622558594]]","[[931.6238403320312, 563.8841552734375], [935.9401245117188, 558.1318359375], [940.256591796875, 555.2556762695312], [918.6748046875, 558.1318359375], [940.256591796875, 555.2556762695312], [908.6033935546875, 586.8936157226562], [956.0831298828125, 576.8269653320312], [902.8482055664062, 605.5887451171875], [979.1036376953125, 576.8269653320312], [986.2975463867188, 578.2650756835938], [987.736328125, 578.2650756835938], [924.429931640625, 663.1122436523438], [956.0831298828125, 661.6741333007812], [915.7972412109375, 713.4453125], [950.3280029296875, 706.2548828125], [915.7972412109375, 772.4068603515625], [943.1341552734375, 756.5879516601562]]","[[718, 430], [1196, 430], [663, 637], [1258, 637], [549, 990], [1370, 990]]","[[594, 459], [594, 637], [1324, 637], [1324, 459]]","[975, 551]",None,None
