frame,top,bottom,court,net,ball,pos,type
64624,"[[870.5668334960938, 414.9039611816406], [873.432861328125, 407.7174072265625], [864.8346557617188, 409.15472412109375], [880.59814453125, 407.7174072265625], [857.66943359375, 410.5920104980469], [892.0623779296875, 432.15167236328125], [849.0712280273438, 429.27703857421875], [927.888427734375, 463.7724609375], [823.2764892578125, 460.8978576660156], [919.2901000976562, 483.894775390625], [824.7095336914062, 488.20672607421875], [882.0310668945312, 486.7694396972656], [853.370361328125, 488.20672607421875], [876.2989501953125, 525.5767822265625], [849.0712280273438, 522.7021484375], [873.432861328125, 585.9437866210938], [850.5042114257812, 564.3840942382812]]","[[960.2427978515625, 615.458251953125], [960.2427978515625, 611.1344604492188], [963.081298828125, 609.6931762695312], [964.5006103515625, 614.0169677734375], [991.4667358398438, 609.6931762695312], [958.8235473632812, 651.4898681640625], [1012.7557373046875, 635.635986328125], [940.3729858398438, 683.1976928710938], [1017.0134887695312, 675.9913330078125], [943.2116088867188, 678.8739013671875], [987.2088623046875, 634.1947021484375], [978.6932983398438, 735.0831909179688], [1005.6593017578125, 727.8768310546875], [984.3703002929688, 788.4099731445312], [988.6281127929688, 773.997314453125], [1007.0786743164062, 850.38427734375], [990.0474853515625, 830.2066040039062]]","[[637, 511], [1275, 511], [582, 713], [1335, 713], [483, 1011], [1429, 1011]]","[[508, 492], [508, 713], [1412, 713], [1412, 492]]","[924, 711]",None,None
64625,"[[869.69775390625, 413.73345947265625], [874.0070190429688, 406.56610107421875], [863.9520263671875, 407.99957275390625], [879.7527465820312, 406.56610107421875], [858.2063598632812, 410.86651611328125], [892.6805419921875, 432.3686218261719], [849.5877075195312, 429.5016784667969], [927.15478515625, 463.90509033203125], [822.2955932617188, 461.03814697265625], [918.5362548828125, 482.5402526855469], [825.1685180664062, 488.2741394042969], [881.1891479492188, 486.8406677246094], [853.8970336914062, 486.8406677246094], [876.8798217773438, 525.5444946289062], [848.1513061523438, 522.677490234375], [874.0070190429688, 584.3169555664062], [849.5877075195312, 562.8148193359375]]","[[959.0050048828125, 612.7618408203125], [959.0050048828125, 608.4508666992188], [960.431640625, 607.0138549804688], [963.2848510742188, 612.7618408203125], [990.3907470703125, 607.0138549804688], [957.578369140625, 650.1231689453125], [1011.7901611328125, 634.31640625], [939.0321044921875, 680.2996826171875], [1017.4967651367188, 668.8038330078125], [940.4588012695312, 675.9887084960938], [986.1109008789062, 632.8794555664062], [978.977783203125, 736.3417358398438], [1004.6570434570312, 727.7198486328125], [981.8309936523438, 783.7619018554688], [988.9641723632812, 773.7030639648438], [1006.0836791992188, 849.8627319335938], [988.9641723632812, 829.7451171875]]","[[637, 511], [1275, 511], [582, 713], [1335, 713], [483, 1011], [1429, 1011]]","[[508, 492], [508, 713], [1412, 713], [1412, 492]]","[924, 709]",None,None
64626,"[[872.7831420898438, 421.9366760253906], [875.66162109375, 410.4653625488281], [868.4654541015625, 419.06884765625], [881.4185180664062, 407.5975646972656], [859.8302001953125, 414.7671203613281], [892.9322509765625, 433.4080505371094], [849.7556762695312, 430.54022216796875], [927.4735717773438, 462.0863342285156], [823.8496704101562, 460.65240478515625], [920.2774658203125, 482.1611633300781], [825.2888793945312, 486.462890625], [881.4185180664062, 487.8968200683594], [852.6340942382812, 487.8968200683594], [877.1008911132812, 526.6124877929688], [848.31640625, 520.8768310546875], [874.222412109375, 583.9691162109375], [849.7556762695312, 572.497802734375]]","[[958.1000366210938, 613.3504028320312], [958.1000366210938, 607.61083984375], [959.5222778320312, 607.61083984375], [962.36669921875, 611.91552734375], [989.388916015625, 607.61083984375], [956.6778564453125, 647.7877807617188], [1009.300048828125, 633.4388427734375], [933.9223022460938, 679.3553466796875], [1022.1000366210938, 659.2669067382812], [938.18896484375, 670.7459716796875], [996.5000610351562, 632.0039672851562], [976.5889282226562, 732.4462890625], [1003.6111450195312, 726.7067260742188], [983.7000732421875, 784.1022338867188], [987.9667358398438, 774.0580444335938], [1005.0333862304688, 847.2373657226562], [990.8111572265625, 830.018798828125]]","[[637, 511], [1275, 511], [582, 713], [1335, 713], [483, 1011], [1429, 1011]]","[[508, 492], [508, 713], [1412, 713], [1412, 492]]","[920, 693]",None,None
64627,"[[870.1070556640625, 415.07373046875], [872.9820556640625, 407.8782653808594], [862.9194946289062, 407.8782653808594], [880.1696166992188, 407.8782653808594], [858.6070556640625, 412.1955261230469], [893.107177734375, 433.78204345703125], [849.98193359375, 430.90386962890625], [927.607421875, 462.5640563964844], [822.6692504882812, 461.1249694824219], [918.982421875, 482.7114562988281], [825.5442504882812, 488.4678955078125], [880.1696166992188, 488.4678955078125], [852.85693359375, 488.4678955078125], [875.8570556640625, 527.3236083984375], [848.5443725585938, 521.567138671875], [872.9820556640625, 584.8875732421875], [849.98193359375, 563.3010864257812]]","[[958.1000366210938, 613.6223754882812], [958.1000366210938, 607.8812255859375], [959.5220336914062, 607.8812255859375], [962.365966796875, 612.1870727539062], [989.3834838867188, 607.8812255859375], [956.6780395507812, 648.0689086914062], [1009.2911987304688, 633.7161865234375], [933.926513671875, 679.6448974609375], [1022.0888671875, 659.5510864257812], [938.1923828125, 671.0333251953125], [996.493408203125, 632.2808837890625], [976.5857543945312, 732.7500610351562], [1003.6032104492188, 727.009033203125], [983.6956176757812, 784.419921875], [987.9614868164062, 774.373046875], [1005.0252075195312, 847.572021484375], [992.2274169921875, 830.3486938476562]]","[[637, 511], [1275, 511], [582, 713], [1335, 713], [483, 1011], [1429, 1011]]","[[508, 492], [508, 713], [1412, 713], [1412, 492]]","[917, 677]",None,None
64628,"[[869.7171020507812, 413.1324157714844], [872.5805053710938, 405.9644775390625], [862.5584716796875, 405.9644775390625], [881.1708374023438, 407.3980712890625], [858.2632446289062, 411.6988220214844], [892.624755859375, 431.76898193359375], [849.6728515625, 431.76898193359375], [928.4179077148438, 463.307861328125], [822.4700317382812, 463.307861328125], [919.8275146484375, 483.3780517578125], [826.7651977539062, 489.11236572265625], [881.1708374023438, 486.2452697753906], [852.5363159179688, 487.6788024902344], [876.875732421875, 527.8192138671875], [848.2411499023438, 522.0848388671875], [874.01220703125, 583.72900390625], [849.6728515625, 559.3580322265625]]","[[956.4609985351562, 612.2540893554688], [956.4609985351562, 607.9329833984375], [957.8881225585938, 607.9329833984375], [960.7424926757812, 610.813720703125], [987.8584594726562, 606.4926147460938], [955.0338134765625, 645.3828125], [1006.4114379882812, 633.8598022460938], [932.1994018554688, 677.0711059570312], [1024.96435546875, 654.0250854492188], [933.62646484375, 671.3096313476562], [1003.5570678710938, 628.0982666015625], [976.441162109375, 730.3651733398438], [1003.5570678710938, 724.6036376953125], [982.1497192382812, 783.6591796875], [987.8584594726562, 773.5764770507812], [1004.9842529296875, 847.0358276367188], [989.2855224609375, 829.7512817382812]]","[[637, 511], [1275, 511], [582, 713], [1335, 713], [483, 1011], [1429, 1011]]","[[508, 492], [508, 713], [1412, 713], [1412, 492]]","[914, 662]",None,None
64629,"[[870.0100708007812, 411.78302001953125], [872.8670043945312, 404.5734558105469], [862.8679809570312, 404.5734558105469], [881.4375, 407.457275390625], [858.582763671875, 411.78302001953125], [892.8648071289062, 433.4117736816406], [850.0122680664062, 431.9698486328125], [928.5753784179688, 462.2500915527344], [822.8722534179688, 462.2500915527344], [920.0048217773438, 483.87884521484375], [827.1575317382812, 489.646484375], [881.4375, 486.7626953125], [852.8690795898438, 488.20458984375], [877.1522216796875, 528.5782470703125], [848.5838012695312, 522.8106079101562], [874.29541015625, 583.37109375], [848.5838012695312, 558.8585205078125]]","[[954.8695678710938, 611.9149169921875], [956.3007202148438, 606.173828125], [956.3007202148438, 606.173828125], [959.1630859375, 610.4796142578125], [986.3551025390625, 606.173828125], [953.4383544921875, 643.490966796875], [1004.9602661132812, 634.8793334960938], [930.539794921875, 667.8906860351562], [1027.85888671875, 646.3615112304688], [926.2462768554688, 667.8906860351562], [1003.529052734375, 629.13818359375], [974.9058227539062, 731.0428466796875], [1000.666748046875, 725.3017578125], [982.0616455078125, 782.7127685546875], [986.3551025390625, 774.10107421875], [1006.391357421875, 850.1707763671875], [990.6486206054688, 830.076904296875]]","[[637, 511], [1275, 511], [582, 713], [1335, 713], [483, 1011], [1429, 1011]]","[[508, 492], [508, 713], [1412, 713], [1412, 492]]","[911, 646]",None,None
64630,"[[869.328857421875, 408.6572570800781], [872.176025390625, 402.89892578125], [863.6345825195312, 402.89892578125], [880.7174072265625, 404.3384704589844], [857.9403076171875, 407.2176513671875], [893.529541015625, 434.5696716308594], [850.8225708007812, 431.69049072265625], [929.11865234375, 463.3612060546875], [823.7747802734375, 461.9216003417969], [922.0007934570312, 482.0757141113281], [826.6218872070312, 487.8340759277344], [882.1409912109375, 486.39447021484375], [853.669677734375, 487.8340759277344], [880.7174072265625, 531.0213623046875], [849.3989868164062, 522.3839111328125], [875.0231323242188, 582.8462524414062], [850.8225708007812, 574.208740234375]]","[[954.8154907226562, 611.553955078125], [954.8154907226562, 605.7987670898438], [956.2453002929688, 607.237548828125], [959.1048583984375, 607.237548828125], [984.8410034179688, 605.7987670898438], [951.9559936523438, 643.2074584960938], [1001.9984130859375, 633.1358642578125], [931.9390869140625, 663.3505859375], [1029.1641845703125, 643.2074584960938], [921.9306030273438, 664.7893676757812], [1004.85791015625, 625.94189453125], [973.4027099609375, 728.0963745117188], [1000.568603515625, 723.7799682617188], [979.121826171875, 781.3318481445312], [986.270751953125, 771.2603149414062], [1004.85791015625, 846.07763671875], [990.56005859375, 828.8120727539062]]","[[637, 511], [1275, 511], [582, 713], [1335, 713], [483, 1011], [1429, 1011]]","[[508, 492], [508, 713], [1412, 713], [1412, 492]]","[908, 630]",None,None
64631,"[[872.996337890625, 429.1208190917969], [871.5662231445312, 398.9585876464844], [861.5553588867188, 398.9585876464844], [880.1468505859375, 406.1401062011719], [861.5553588867188, 423.3756103515625], [893.0178833007812, 436.3022766113281], [848.684326171875, 436.3022766113281], [927.3406372070312, 462.15557861328125], [822.9423217773438, 466.4645080566406], [921.6201782226562, 483.70001220703125], [827.2327270507812, 489.4452209472656], [884.437255859375, 489.4452209472656], [852.9747314453125, 492.31781005859375], [887.2974853515625, 529.6614990234375], [850.114501953125, 522.47998046875], [877.28662109375, 582.804443359375], [848.684326171875, 568.4414672851562]]","[[954.6198120117188, 607.455078125], [954.6198120117188, 604.5734252929688], [957.4921875, 604.5734252929688], [957.4921875, 606.0142211914062], [984.7796630859375, 604.5734252929688], [953.1836547851562, 640.5938720703125], [1002.0137939453125, 631.948974609375], [928.7686157226562, 653.5612182617188], [1024.99267578125, 639.1530151367188], [923.0238647460938, 656.44287109375], [996.26904296875, 627.62646484375], [971.85400390625, 729.9244995117188], [997.7052612304688, 724.1612548828125], [976.1625366210938, 781.7938842773438], [984.7796630859375, 771.7081909179688], [1003.4500122070312, 843.7490234375], [990.5244140625, 827.9000244140625]]","[[637, 511], [1275, 511], [582, 713], [1335, 713], [483, 1011], [1429, 1011]]","[[508, 492], [508, 713], [1412, 713], [1412, 492]]","[905, 615]",None,None
64632,"[[872.4387817382812, 429.3284912109375], [876.7332153320312, 426.4497375488281], [868.1442260742188, 426.4497375488281], [882.459228515625, 426.4497375488281], [860.9867553710938, 426.4497375488281], [893.9112548828125, 439.4039306640625], [848.103271484375, 439.4039306640625], [926.8357543945312, 462.4335632324219], [822.3362426757812, 468.19097900390625], [921.1097412109375, 482.58453369140625], [825.19921875, 489.7812805175781], [883.8908081054688, 494.0993347167969], [853.8292846679688, 495.5387268066406], [893.9112548828125, 527.2044677734375], [849.5347290039062, 524.3257446289062], [876.7332153320312, 583.3392333984375], [848.103271484375, 561.7489624023438]]","[[954.37744140625, 608.4042358398438], [954.37744140625, 602.6536865234375], [955.8048095703125, 602.6536865234375], [957.2322387695312, 605.5289916992188], [984.3526611328125, 602.6536865234375], [955.8048095703125, 638.5944213867188], [1002.90869140625, 628.5310668945312], [930.11181640625, 645.7825927734375], [1018.6099853515625, 637.1567993164062], [917.2652587890625, 647.22021484375], [992.9169311523438, 625.65576171875], [971.506103515625, 727.7274780273438], [998.6265258789062, 719.1016845703125], [971.506103515625, 782.3573608398438], [985.780029296875, 767.9811401367188], [1004.3360595703125, 845.6130981445312], [991.4895629882812, 829.7991333007812]]","[[637, 511], [1275, 511], [582, 713], [1335, 713], [483, 1011], [1429, 1011]]","[[508, 492], [508, 713], [1412, 713], [1412, 492]]","[902, 599]",None,None
64633,"[[872.45263671875, 430.82769775390625], [876.7434692382812, 426.52325439453125], [869.5921020507812, 426.52325439453125], [882.464599609375, 427.95806884765625], [862.440673828125, 426.52325439453125], [893.9068603515625, 439.4366455078125], [849.568115234375, 440.8714599609375], [926.8032836914062, 459.52410888671875], [823.8231201171875, 466.6982421875], [922.512451171875, 481.04644775390625], [826.6837158203125, 491.0901794433594], [883.8948364257812, 495.3946533203125], [853.8589477539062, 496.8294372558594], [892.4766235351562, 528.3955078125], [849.568115234375, 522.6561889648438], [878.1737670898438, 581.48388671875], [848.1378784179688, 562.8311767578125]]","[[954.7674560546875, 608.2813110351562], [954.7674560546875, 602.5391845703125], [956.1998901367188, 601.1036376953125], [956.1998901367188, 605.4102172851562], [984.8491821289062, 601.1036376953125], [954.7674560546875, 638.427490234375], [1003.47119140625, 628.3787841796875], [928.9830932617188, 647.0407104492188], [1019.2282104492188, 636.991943359375], [917.5234375, 648.4762573242188], [992.0114135742188, 625.5076904296875], [970.5245361328125, 727.4305419921875], [997.7413330078125, 720.2528686523438], [971.9569702148438, 781.980712890625], [986.2816162109375, 769.0609741210938], [1004.9036254882812, 846.5797119140625], [992.0114135742188, 832.224365234375]]","[[637, 511], [1275, 511], [582, 713], [1335, 713], [483, 1011], [1429, 1011]]","[[508, 492], [508, 713], [1412, 713], [1412, 492]]","[899, 583]",None,None
