frame,top,bottom,court,net,ball,pos,type
33510,"[[1033.5303955078125, 369.21026611328125], [1036.3807373046875, 366.33349609375], [1029.2550048828125, 366.33349609375], [1040.65625, 366.33349609375], [1023.554443359375, 366.33349609375], [1049.2071533203125, 377.84063720703125], [1016.4287109375, 382.15582275390625], [1074.8597412109375, 387.909423828125], [999.326904296875, 395.10137939453125], [1070.584228515625, 408.0469055175781], [1010.7280883789062, 410.9237365722656], [1044.931640625, 420.9924621582031], [1024.9794921875, 422.43084716796875], [1053.4825439453125, 456.95233154296875], [1026.4046630859375, 459.8291320800781], [1054.9075927734375, 485.7201843261719], [1024.9794921875, 497.2273864746094]]","[[932.081787109375, 605.9996337890625], [922.1299438476562, 600.25244140625], [924.9733276367188, 600.25244140625], [922.1299438476562, 601.689208984375], [946.2986450195312, 601.689208984375], [916.4432373046875, 628.9883422851562], [960.5154418945312, 624.677978515625], [903.6480712890625, 656.2874755859375], [983.2623901367188, 633.2987060546875], [903.6480712890625, 641.9194946289062], [966.2021484375, 656.2874755859375], [927.816650390625, 700.8281860351562], [954.8286743164062, 700.8281860351562], [923.5516967773438, 749.6792602539062], [950.5635986328125, 738.1848754882812], [923.5516967773438, 805.7142944335938], [947.7202758789062, 779.8519897460938]]","[[714, 426], [1200, 426], [655, 640], [1257, 640], [540, 990], [1371, 990]]","[[588, 457], [588, 640], [1330, 640], [1330, 457]]","[904, 658]",None,None
33511,"[[1033.5401611328125, 369.191650390625], [1036.39013671875, 366.31585693359375], [1029.265380859375, 366.31585693359375], [1040.6650390625, 366.31585693359375], [1023.5654296875, 366.31585693359375], [1049.21484375, 377.8191223144531], [1016.440673828125, 382.1328430175781], [1074.8641357421875, 387.88446044921875], [999.3411254882812, 395.0740051269531], [1070.5892333984375, 408.01513671875], [1010.7408447265625, 410.8909912109375], [1044.93994140625, 420.9563293457031], [1024.990478515625, 422.3942565917969], [1053.48974609375, 456.9040222167969], [1026.4154052734375, 459.7798156738281], [1054.9146728515625, 485.662109375], [1024.990478515625, 497.1653747558594]]","[[932.0888671875, 606.0685424804688], [922.1382446289062, 600.3250732421875], [924.9813232421875, 600.3250732421875], [922.1382446289062, 601.7609252929688], [946.3040161132812, 601.7609252929688], [916.4522094726562, 629.0424194335938], [960.5191040039062, 623.2988891601562], [903.6585693359375, 656.3239135742188], [983.2633056640625, 633.3499755859375], [903.6585693359375, 641.9652099609375], [966.2051391601562, 656.3239135742188], [927.8243408203125, 700.8358154296875], [954.8330078125, 700.8358154296875], [923.5597534179688, 749.6552734375], [950.5685424804688, 738.1683959960938], [923.5597534179688, 805.6541748046875], [947.7254638671875, 781.2444458007812]]","[[714, 426], [1200, 426], [655, 640], [1257, 640], [540, 990], [1371, 990]]","[[588, 457], [588, 640], [1330, 640], [1330, 457]]","[904, 658]",None,None
33512,"[[1033.681396484375, 366.8866882324219], [1036.5338134765625, 364.0057678222656], [1029.4027099609375, 364.0057678222656], [1042.238525390625, 364.0057678222656], [1025.124267578125, 364.0057678222656], [1049.3695068359375, 376.96990966796875], [1016.5670776367188, 381.291259765625], [1073.61474609375, 388.4935607910156], [1000.8789672851562, 394.2554016113281], [1069.336181640625, 408.65997314453125], [1010.8622436523438, 410.1004638671875], [1045.0909423828125, 421.6241149902344], [1026.5504150390625, 423.0646057128906], [1053.6480712890625, 456.1950988769531], [1026.5504150390625, 460.5164794921875], [1055.07421875, 485.0043029785156], [1025.124267578125, 496.5279846191406]]","[[931.5405883789062, 604.6503295898438], [938.736572265625, 598.8870239257812], [927.222900390625, 600.327880859375], [922.9053344726562, 603.2095336914062], [947.3717651367188, 600.327880859375], [918.5877075195312, 629.1444091796875], [960.3246459960938, 624.8218994140625], [902.7564086914062, 646.434326171875], [984.7911376953125, 632.0260620117188], [905.6348266601562, 634.90771484375], [963.2030639648438, 652.1976318359375], [927.222900390625, 701.1857299804688], [954.56787109375, 701.1857299804688], [922.9053344726562, 750.173828125], [951.689453125, 737.2064208984375], [924.344482421875, 806.3661499023438], [947.3717651367188, 780.4312744140625]]","[[714, 426], [1200, 426], [655, 640], [1257, 640], [540, 990], [1371, 990]]","[[588, 457], [588, 640], [1330, 640], [1330, 457]]","[904, 658]",None,None
33513,"[[1032.45068359375, 365.510009765625], [1036.7147216796875, 361.22076416015625], [1029.608154296875, 362.6505126953125], [1040.9786376953125, 361.22076416015625], [1023.9228515625, 362.6505126953125], [1049.506591796875, 375.5182189941406], [1016.8162231445312, 379.8074645996094], [1072.24755859375, 388.38592529296875], [1002.6031494140625, 394.10491943359375], [1069.4049072265625, 409.8321228027344], [1011.1309814453125, 409.8321228027344], [1046.663818359375, 422.6997985839844], [1026.7655029296875, 424.12957763671875], [1053.7705078125, 457.0137023925781], [1025.34423828125, 461.30291748046875], [1055.1917724609375, 485.6086120605469], [1023.9228515625, 495.6168212890625]]","[[933.5706176757812, 605.6729736328125], [922.1393432617188, 598.4820556640625], [927.85498046875, 598.4820556640625], [923.5682373046875, 602.7965698242188], [946.4308471679688, 601.3583984375], [919.281494140625, 628.6837768554688], [959.2910766601562, 624.3692016601562], [903.5634155273438, 638.7509765625], [983.5826416015625, 630.1219482421875], [907.8502197265625, 630.1219482421875], [965.0067138671875, 647.3800659179688], [927.85498046875, 700.5925903320312], [955.0043334960938, 700.5925903320312], [923.5682373046875, 749.4905395507812], [950.717529296875, 739.42333984375], [923.5682373046875, 805.5794677734375], [947.8598022460938, 779.6922607421875]]","[[714, 426], [1200, 426], [655, 640], [1257, 640], [540, 990], [1371, 990]]","[[588, 457], [588, 640], [1330, 640], [1330, 457]]","[981, 482]",None,None
33514,"[[1034.1923828125, 364.18499755859375], [1037.0567626953125, 359.88433837890625], [1031.327880859375, 359.88433837890625], [1041.3533935546875, 361.3179016113281], [1024.166748046875, 361.3179016113281], [1049.94677734375, 375.6534423828125], [1017.005615234375, 378.52056884765625], [1071.4302978515625, 388.5554504394531], [1005.5477905273438, 394.2896423339844], [1069.998046875, 412.9258728027344], [1011.2766723632812, 410.0587463378906], [1047.0823974609375, 422.96075439453125], [1025.5989990234375, 424.3943176269531], [1054.2435302734375, 455.9324951171875], [1025.5989990234375, 461.66668701171875], [1054.2435302734375, 484.6035461425781], [1024.166748046875, 496.0719909667969]]","[[933.532470703125, 602.7059936523438], [940.6625366210938, 596.9663696289062], [926.4024047851562, 598.4013061523438], [923.5504760742188, 602.7059936523438], [947.7925415039062, 601.2711181640625], [919.2724609375, 628.534423828125], [959.2006225585938, 625.66455078125], [905.0123901367188, 629.9692993164062], [983.4426879882812, 632.839111328125], [903.5863647460938, 629.9692993164062], [964.9046020507812, 619.9249877929688], [927.8284301757812, 700.2799072265625], [954.922607421875, 700.2799072265625], [923.5504760742188, 749.06689453125], [950.64453125, 737.5875854492188], [922.1244506835938, 807.898193359375], [947.7925415039062, 780.6348876953125]]","[[714, 426], [1200, 426], [655, 640], [1257, 640], [540, 990], [1371, 990]]","[[588, 457], [588, 640], [1330, 640], [1330, 457]]","[1059, 433]",None,None
33515,"[[1033.6044921875, 362.7973937988281], [1036.46044921875, 358.4963073730469], [1030.7484130859375, 359.92999267578125], [1042.1724853515625, 359.92999267578125], [1025.0364990234375, 359.92999267578125], [1052.1685791015625, 375.7005920410156], [1016.4684448242188, 378.5679931640625], [1070.7325439453125, 391.4712219238281], [1007.900390625, 395.7723083496094], [1069.3045654296875, 415.8440246582031], [1010.7564086914062, 408.6755676269531], [1047.8843994140625, 423.01251220703125], [1026.4644775390625, 424.4461364746094], [1053.596435546875, 454.5537109375], [1025.0364990234375, 461.7221984863281], [1053.596435546875, 486.0949401855469], [1025.0364990234375, 497.5644836425781]]","[[933.8079223632812, 604.9749755859375], [922.3961791992188, 599.2391967773438], [948.0726318359375, 596.3712768554688], [923.8226318359375, 602.1070556640625], [948.0726318359375, 600.6731567382812], [918.1168212890625, 627.918212890625], [959.484375, 625.05029296875], [905.2786254882812, 627.918212890625], [982.3078002929688, 632.2200927734375], [903.8521118164062, 625.05029296875], [980.88134765625, 633.6539916992188], [928.10205078125, 699.61572265625], [955.2049560546875, 699.61572265625], [922.3961791992188, 749.8040161132812], [950.925537109375, 739.766357421875], [922.3961791992188, 807.162109375], [948.0726318359375, 781.3509521484375]]","[[714, 426], [1200, 426], [655, 640], [1257, 640], [540, 990], [1371, 990]]","[[588, 457], [588, 640], [1330, 640], [1330, 457]]","[999, 460]",None,None
33516,"[[1034.0880126953125, 362.91680908203125], [1036.9517822265625, 358.6108703613281], [1031.224365234375, 358.6108703613281], [1041.2471923828125, 360.0461730957031], [1025.4970703125, 360.0461730957031], [1051.27001953125, 377.26995849609375], [1016.9060668945312, 377.26995849609375], [1069.8839111328125, 395.9290466308594], [1011.1787719726562, 395.9290466308594], [1069.8839111328125, 420.3294372558594], [1008.3150634765625, 410.2822265625], [1048.4063720703125, 423.2000732421875], [1026.928955078125, 424.6353759765625], [1052.701904296875, 456.2123718261719], [1025.4970703125, 460.5182800292969], [1052.701904296875, 484.9186706542969], [1024.065185546875, 497.8365173339844]]","[[924.1124877929688, 602.9190673828125], [924.1124877929688, 598.6161499023438], [948.4835815429688, 595.74755859375], [924.1124877929688, 602.9190673828125], [948.4835815429688, 602.9190673828125], [921.2453002929688, 628.7365112304688], [958.5187377929688, 625.8678588867188], [906.9093627929688, 627.3021850585938], [981.456298828125, 630.1707763671875], [902.608642578125, 615.8277587890625], [977.155517578125, 630.1707763671875], [928.413330078125, 700.4515380859375], [954.2179565429688, 700.4515380859375], [922.6788940429688, 749.2178344726562], [951.3507690429688, 739.1776733398438], [922.6788940429688, 808.0242309570312], [947.050048828125, 779.3381958007812]]","[[714, 426], [1200, 426], [655, 640], [1257, 640], [540, 990], [1371, 990]]","[[588, 457], [588, 640], [1330, 640], [1330, 457]]","[939, 572]",top,short service
33517,"[[1034.146240234375, 362.4421081542969], [1037.008056640625, 359.58209228515625], [1031.2845458984375, 359.58209228515625], [1041.30078125, 359.58209228515625], [1025.56103515625, 359.58209228515625], [1051.31689453125, 376.7421875], [1016.9757080078125, 378.17218017578125], [1069.91845703125, 395.332275390625], [1011.2521362304688, 395.332275390625], [1069.91845703125, 421.0724182128906], [1008.3903198242188, 409.63232421875], [1048.4552001953125, 423.93243408203125], [1026.9918212890625, 423.93243408203125], [1052.747802734375, 455.392578125], [1025.56103515625, 461.11260986328125], [1052.747802734375, 485.4227294921875], [1024.130126953125, 496.86279296875]]","[[924.2392578125, 602.815673828125], [924.2392578125, 598.5068969726562], [948.368896484375, 595.6343383789062], [924.2392578125, 604.251953125], [948.368896484375, 602.815673828125], [921.4004516601562, 628.6685791015625], [958.3045654296875, 625.7960815429688], [907.20654296875, 627.2322998046875], [982.434326171875, 630.1048583984375], [902.9483032226562, 615.7421875], [976.7567138671875, 630.1048583984375], [927.0780639648438, 700.482177734375], [954.0464477539062, 700.482177734375], [922.81982421875, 749.3154296875], [951.2076416015625, 739.261474609375], [922.81982421875, 808.2025146484375], [946.949462890625, 779.47705078125]]","[[714, 426], [1200, 426], [655, 640], [1257, 640], [540, 990], [1371, 990]]","[[588, 457], [588, 640], [1330, 640], [1330, 457]]","[939, 562]",None,None
33518,"[[1035.6439208984375, 364.1568298339844], [1038.48095703125, 359.8605041503906], [1031.3885498046875, 359.8605041503906], [1042.736328125, 359.8605041503906], [1025.714599609375, 361.2926330566406], [1054.0841064453125, 379.9099426269531], [1018.6221923828125, 379.9099426269531], [1066.8504638671875, 398.52728271484375], [1012.9483642578125, 398.52728271484375], [1068.2689208984375, 422.8730163574219], [1008.6929321289062, 412.8482666015625], [1049.8287353515625, 424.30511474609375], [1028.5516357421875, 425.7372131347656], [1052.6656494140625, 455.81134033203125], [1025.714599609375, 461.53973388671875], [1052.6656494140625, 485.8854675292969], [1024.296142578125, 497.3423156738281]]","[[937.6150512695312, 607.38232421875], [924.7034912109375, 598.7711791992188], [947.657470703125, 595.90087890625], [924.7034912109375, 603.0767822265625], [947.657470703125, 601.6415405273438], [921.834228515625, 627.4749145507812], [959.1344604492188, 624.6045532226562], [907.488037109375, 626.0397338867188], [980.65380859375, 630.3453369140625], [901.74951171875, 613.1231079101562], [982.08837890625, 628.91015625], [927.5726928710938, 700.66943359375], [954.83056640625, 699.2342529296875], [923.2688598632812, 748.0305786132812], [950.5266723632812, 739.4195556640625], [921.834228515625, 808.3084716796875], [947.657470703125, 779.6046752929688]]","[[714, 426], [1200, 426], [655, 640], [1257, 640], [540, 990], [1371, 990]]","[[588, 457], [588, 640], [1330, 640], [1330, 457]]","[952, 530]",None,None
33519,"[[1033.74609375, 367.37554931640625], [1038.0479736328125, 363.0657653808594], [1030.878173828125, 364.5023498535156], [1042.3499755859375, 364.5023498535156], [1025.1422119140625, 364.5023498535156], [1055.255859375, 383.1780700683594], [1019.40625, 381.741455078125], [1065.293701171875, 403.2904052734375], [1015.1043090820312, 401.8537902832031], [1068.16162109375, 429.1490783691406], [1010.8023071289062, 414.78314208984375], [1049.5198974609375, 426.27587890625], [1028.0101318359375, 426.27587890625], [1052.3878173828125, 459.3175354003906], [1025.1422119140625, 462.19073486328125], [1050.9539794921875, 488.0494079589844], [1025.1422119140625, 496.66900634765625]]","[[937.8336791992188, 609.2266235351562], [940.67333984375, 604.9158325195312], [947.7723999023438, 596.2943115234375], [925.0553588867188, 603.4788818359375], [947.7723999023438, 600.6050415039062], [920.7959594726562, 627.90673828125], [959.130859375, 625.0328369140625], [906.5978393554688, 626.4697875976562], [976.168701171875, 652.3345336914062], [902.33837890625, 612.1004638671875], [981.8479614257812, 633.6544189453125], [927.89501953125, 699.753173828125], [954.8713989257812, 699.753173828125], [922.2157592773438, 748.6087036132812], [950.612060546875, 738.55029296875], [920.7959594726562, 808.959716796875], [947.7723999023438, 778.7842407226562]]","[[714, 426], [1200, 426], [655, 640], [1257, 640], [540, 990], [1371, 990]]","[[588, 457], [588, 640], [1330, 640], [1330, 457]]","[969, 506]",None,None
