rally,ball_round,time,frame_num,player,pos,type,lose_reason,getpoint_player,ball,top,bottom
2,1,00:32:58,59365,2,bottom,short service,,,"[879, 710]","[[1065.315673828125, 481.009033203125], [1069.5792236328125, 478.12860107421875], [1062.4732666015625, 478.12860107421875], [1075.2640380859375, 478.12860107421875], [1056.78857421875, 478.12860107421875], [1085.2122802734375, 496.8515319824219], [1049.6826171875, 496.8515319824219], [1095.16064453125, 519.8950805664062], [1045.4190673828125, 517.0147094726562], [1092.3182373046875, 527.0962524414062], [1043.9979248046875, 537.1778564453125], [1080.94873046875, 542.938720703125], [1059.6309814453125, 542.938720703125], [1078.1063232421875, 586.1454467773438], [1065.315673828125, 586.1454467773438], [1080.94873046875, 627.9119873046875], [1066.73681640625, 619.2706298828125], [1073.8427734375, 623.59130859375]]","[[912.2915649414062, 651.7637939453125], [915.1461791992188, 646.0214233398438], [906.582275390625, 648.8926391601562], [920.85546875, 647.45703125], [899.4456176757812, 654.635009765625], [937.9833984375, 671.8622436523438], [893.736328125, 683.3470458984375], [967.9572143554688, 666.119873046875], [873.7537841796875, 697.7030639648438], [953.6840209960938, 670.4266357421875], [875.1810302734375, 696.2674560546875], [910.8641967773438, 753.69140625], [940.8380126953125, 749.3847045898438], [909.4368896484375, 808.2443237304688], [935.1287231445312, 788.1458740234375], [910.8641967773438, 869.9751586914062], [932.2741088867188, 836.956298828125], [921.5691528320312, 853.4657287597656]]"
2,2,00:32:59,59391,23,top,net shot,,,"[1043, 529]","[[1059.8778076171875, 494.2060546875], [1062.7384033203125, 491.32684326171875], [1057.0172119140625, 489.8872375488281], [1064.1688232421875, 492.7664794921875], [1048.4351806640625, 488.4476623535156], [1059.8778076171875, 510.04168701171875], [1031.271240234375, 505.7228698730469], [1072.7508544921875, 530.1961059570312], [1015.5376586914062, 495.6456604003906], [1075.6114501953125, 530.1961059570312], [1018.3983154296875, 492.7664794921875], [1041.2835693359375, 560.4277954101562], [1018.3983154296875, 557.548583984375], [1054.156494140625, 600.7366943359375], [1018.3983154296875, 597.857421875], [1058.447509765625, 633.8475341796875], [1015.5376586914062, 646.8038940429688], [1036.9925842285156, 640.3257141113281]]","[[918.1232299804688, 643.852783203125], [906.6433715820312, 638.097412109375], [912.3833618164062, 638.097412109375], [906.6433715820312, 642.4139404296875], [926.7332153320312, 640.97509765625], [900.9033813476562, 671.190673828125], [942.5181884765625, 666.8741455078125], [898.0333862304688, 704.283935546875], [968.3480834960938, 704.283935546875], [893.7283935546875, 740.2548828125], [974.0880737304688, 737.377197265625], [926.7332153320312, 744.5713500976562], [955.43310546875, 738.8160400390625], [913.818359375, 802.1248779296875], [942.5181884765625, 783.4199829101562], [916.688232421875, 863.9948120117188], [952.5631103515625, 835.2181396484375], [934.6256713867188, 849.6064758300781]]"
2,3,00:33:00,59419,2,bottom,lob,,,"[1199, 617]","[[1052.8944091796875, 476.4277038574219], [1055.7540283203125, 473.5495300292969], [1048.60498046875, 472.11041259765625], [1058.6136474609375, 474.98858642578125], [1041.4559326171875, 473.5495300292969], [1057.183837890625, 492.2577819824219], [1028.587646484375, 492.2577819824219], [1077.201171875, 506.64874267578125], [1011.429931640625, 513.8441772460938], [1062.903076171875, 493.6968994140625], [1011.429931640625, 536.8697509765625], [1040.026123046875, 541.1870727539062], [1022.868408203125, 541.1870727539062], [1041.4559326171875, 580.0426635742188], [1037.16650390625, 581.4817504882812], [1035.7366943359375, 617.4591674804688], [1027.1578369140625, 630.4110107421875], [1031.447265625, 623.9350891113281]]","[[1155.4305419921875, 669.4173583984375], [1158.2850341796875, 666.5550537109375], [1158.2850341796875, 666.5550537109375], [1139.731201171875, 662.2615966796875], [1159.712158203125, 667.9862060546875], [1124.03173828125, 680.8665771484375], [1159.712158203125, 692.3157958984375], [1099.7689208984375, 696.6092529296875], [1175.41162109375, 702.3338623046875], [1076.9334716796875, 709.4896240234375], [1183.9749755859375, 699.4715576171875], [1111.186767578125, 738.1126708984375], [1144.0126953125, 746.6995849609375], [1089.7784423828125, 781.0472412109375], [1165.4210205078125, 743.8372802734375], [1076.9334716796875, 822.5506591796875], [1176.8387451171875, 786.7717895507812], [1126.8861083984375, 804.6612243652344]]"
2,4,00:33:02,59465,23,top,drop,,,"[759, 399]","[[862.4607543945312, 454.3318176269531], [866.7802124023438, 452.8996887207031], [862.4607543945312, 451.4676208496094], [873.9791870117188, 458.6280517578125], [858.141357421875, 452.8996887207031], [875.4190063476562, 475.81304931640625], [846.623046875, 468.65264892578125], [878.298583984375, 498.7264709472656], [819.266845703125, 464.35638427734375], [878.298583984375, 515.9114379882812], [794.7903442382812, 450.0355224609375], [871.099609375, 523.0718994140625], [853.822021484375, 521.6398315429688], [863.900634765625, 563.1702880859375], [837.9842529296875, 554.5777587890625], [898.4556884765625, 578.9232177734375], [842.3036499023438, 578.9232177734375], [870.3796691894531, 578.9232177734375]]","[[935.1047973632812, 617.8003540039062], [937.9653930664062, 612.0597534179688], [930.8140869140625, 613.494873046875], [917.941650390625, 619.2354736328125], [939.3956298828125, 617.8003540039062], [907.9298095703125, 646.5035400390625], [956.558837890625, 645.0684204101562], [889.3363647460938, 680.9473876953125], [978.0128173828125, 678.0770874023438], [889.3363647460938, 702.4747314453125], [983.7338256835938, 712.5209350585938], [915.0811157226562, 719.6967163085938], [946.5469970703125, 719.6967163085938], [896.4877319335938, 774.2327880859375], [949.407470703125, 781.4085693359375], [880.7547607421875, 830.2039794921875], [943.6864013671875, 837.3798217773438], [912.2205810546875, 833.7919006347656]]"
2,5,00:33:02,59481,2,bottom,net shot,,,"[684, 579]","[[868.1769409179688, 461.7706298828125], [871.0255126953125, 457.4508056640625], [863.904052734375, 458.8907470703125], [876.72265625, 460.3306884765625], [859.6311645507812, 460.3306884765625], [888.1170043945312, 473.2901306152344], [855.3583374023438, 479.0498962402344], [910.9057006835938, 480.4898376464844], [852.5097045898438, 503.52886962890625], [915.1786499023438, 487.68951416015625], [852.5097045898438, 523.68798828125], [890.9656372070312, 522.2481079101562], [869.6011962890625, 523.68798828125], [895.2384643554688, 561.1264038085938], [863.904052734375, 556.806640625], [902.3599243164062, 597.1249389648438], [865.3283081054688, 575.5258178710938], [883.8441162109375, 586.3253784179688]]","[[809.12841796875, 649.5245971679688], [814.852294921875, 645.2008666992188], [807.6974487304688, 645.2008666992188], [830.5928955078125, 646.64208984375], [807.6974487304688, 645.2008666992188], [830.5928955078125, 669.7020874023438], [809.12841796875, 663.9370727539062], [854.919189453125, 705.7333374023438], [769.0615234375, 659.6133422851562], [846.33349609375, 741.7645874023438], [730.4255981445312, 656.7308349609375], [849.1953735351562, 747.529541015625], [862.073974609375, 743.205810546875], [817.7142333984375, 793.6495361328125], [877.8145141601562, 797.9732666015625], [814.852294921875, 859.9469604492188], [912.1575927734375, 842.6519775390625], [863.5049438476562, 851.2994689941406]]"
2,6,00:33:03,59509,23,top,net shot,,,"[1162, 553]","[[1070.34912109375, 535.6398315429688], [1070.34912109375, 532.7572631835938], [1067.4874267578125, 532.7572631835938], [1054.6097412109375, 535.6398315429688], [1060.3331298828125, 535.6398315429688], [1063.19482421875, 555.818359375], [1057.471435546875, 552.9357299804688], [1086.0885009765625, 564.4663696289062], [1027.4234619140625, 558.7010498046875], [1107.55126953125, 567.3489379882812], [1106.1204833984375, 567.3489379882812], [1033.14697265625, 601.9407348632812], [1017.4075317382812, 600.4993896484375], [1017.4075317382812, 637.9737548828125], [1056.04052734375, 617.7952270507812], [985.9287719726562, 637.9737548828125], [1061.7640380859375, 665.35888671875], [1023.8464050292969, 651.6663208007812]]","[[882.8950805664062, 641.8433837890625], [887.1802978515625, 637.541748046875], [878.60986328125, 637.541748046875], [874.3247680664062, 643.2772827148438], [895.7506713867188, 640.4095458984375], [864.325927734375, 671.9547119140625], [912.8914184570312, 670.5208129882812], [851.4703979492188, 707.801513671875], [934.3173828125, 706.36767578125], [842.9000244140625, 739.3467407226562], [945.7445068359375, 736.4789428710938], [887.1802978515625, 749.3837890625], [920.033447265625, 742.2144775390625], [868.6111450195312, 799.5693969726562], [930.0321655273438, 789.5322265625], [881.4666748046875, 854.0565185546875], [935.7457885742188, 844.0194091796875], [908.6062316894531, 849.0379638671875]]"
2,7,00:33:04,59536,2,bottom,lob,,,"[1181, 667]","[[1080.643798828125, 489.24688720703125], [1083.517333984375, 484.9353332519531], [1074.89697265625, 484.9353332519531], [1084.9541015625, 484.9353332519531], [1067.7132568359375, 486.3725280761719], [1083.517333984375, 502.1814880371094], [1054.7825927734375, 506.49298095703125], [1099.321533203125, 516.55322265625], [1038.978515625, 536.6737060546875], [1109.378662109375, 523.7391357421875], [1036.1051025390625, 558.2313232421875], [1067.7132568359375, 556.7941284179688], [1049.03564453125, 556.7941284179688], [1069.1500244140625, 597.0350341796875], [1060.529541015625, 598.4722290039062], [1046.162109375, 622.9042358398438], [1054.7825927734375, 647.3362426757812], [1050.4723510742188, 635.1202392578125]]","[[1120.479736328125, 644.111572265625], [1113.291015625, 639.7899169921875], [1116.16650390625, 639.7899169921875], [1113.291015625, 642.6710205078125], [1130.5439453125, 646.9926147460938], [1108.977783203125, 665.7196655273438], [1137.732666015625, 665.7196655273438], [1094.600341796875, 691.6493530273438], [1120.479736328125, 684.4466552734375], [1067.283203125, 700.2926025390625], [1068.720947265625, 700.2926025390625], [1107.5400390625, 723.3412475585938], [1131.981689453125, 723.3412475585938], [1088.849365234375, 775.20068359375], [1143.483642578125, 739.1871948242188], [1091.724853515625, 815.535888671875], [1149.234619140625, 773.7601318359375], [1120.479736328125, 794.6480102539062]]"
2,8,00:33:06,59589,23,top,smash,,,"[845, 315]","[[920.1419067382812, 416.6885986328125], [921.558349609375, 415.2565612792969], [917.308837890625, 412.392578125], [921.558349609375, 426.71258544921875], [913.0592041015625, 409.528564453125], [920.1419067382812, 441.0325622558594], [893.2279663085938, 419.5525817871094], [918.725341796875, 465.3765563964844], [874.813232421875, 409.528564453125], [907.3931884765625, 472.5365295410156], [873.3966674804688, 388.0486145019531], [905.9766235351562, 476.8324890136719], [886.1453857421875, 475.4005126953125], [907.3931884765625, 521.2244873046875], [890.3948974609375, 522.6564331054688], [910.2262573242188, 554.1604614257812], [898.89404296875, 551.2964477539062], [904.5601501464844, 552.7284545898438]]","[[947.0519409179688, 631.8181762695312], [949.9085693359375, 627.5099487304688], [941.3386840820312, 627.5099487304688], [934.1970825195312, 631.8181762695312], [955.621826171875, 630.382080078125], [922.7705688476562, 659.103515625], [971.333251953125, 659.103515625], [911.3440551757812, 696.4413452148438], [991.3296508789062, 696.4413452148438], [909.9157104492188, 728.034912109375], [1001.327880859375, 729.4710083007812], [931.3404541015625, 732.3431396484375], [965.6199951171875, 729.4710083007812], [908.4874267578125, 788.349853515625], [987.0447387695312, 775.42529296875], [907.05908203125, 845.792724609375], [999.8995361328125, 831.4320678710938], [953.4793090820312, 838.6123962402344]]"
2,9,00:33:06,59603,2,bottom,defensive shot,,,"[713, 690]","[[888.7374267578125, 463.3871154785156], [891.6044311523438, 459.0617980957031], [885.8703002929688, 459.0617980957031], [894.4714965820312, 459.0617980957031], [878.7028198242188, 460.5035705566406], [893.0379028320312, 476.3631591796875], [870.1016235351562, 477.804931640625], [890.1708984375, 496.54803466796875], [854.3328857421875, 503.75689697265625], [888.7374267578125, 515.2911376953125], [871.5352172851562, 519.616455078125], [880.1362915039062, 513.849365234375], [861.50048828125, 513.849365234375], [880.1362915039062, 541.2431640625], [860.0670166015625, 547.01025390625], [883.0032958984375, 559.9862670898438], [852.8994140625, 574.404052734375], [867.9513549804688, 567.1951599121094]]","[[837.703857421875, 687.9305419921875], [840.582763671875, 683.6321411132812], [839.1433715820312, 683.6321411132812], [844.9009399414062, 687.9305419921875], [865.0527954101562, 683.6321411132812], [860.7344970703125, 713.7208862304688], [872.2498168945312, 703.6912841796875], [896.7199096679688, 739.5111694335938], [821.870361328125, 730.9144287109375], [899.5986938476562, 776.7638549804688], [781.5667724609375, 745.242431640625], [901.0380859375, 775.3311157226562], [921.18994140625, 766.7343139648438], [840.582763671875, 796.822998046875], [951.4176025390625, 811.1509399414062], [842.0221557617188, 858.4332275390625], [1006.115234375, 845.5380249023438], [924.0686950683594, 851.9856262207031]]"
2,10,00:33:07,59632,23,top,net shot,,,"[658, 566]","[[769.7949829101562, 521.3025512695312], [774.0734252929688, 518.42431640625], [769.7949829101562, 518.42431640625], [785.4827270507812, 519.8634033203125], [769.7949829101562, 522.74169921875], [802.5966186523438, 532.8154907226562], [768.3687744140625, 541.4501342773438], [831.119873046875, 532.8154907226562], [761.238037109375, 554.4021606445312], [855.364501953125, 525.619873046875], [748.402587890625, 570.232421875], [808.30126953125, 587.5018310546875], [782.6304321289062, 590.3800659179688], [832.5459594726562, 616.2841186523438], [768.3687744140625, 616.2841186523438], [851.0860595703125, 629.2361450195312], [752.6810302734375, 653.7011108398438], [801.883544921875, 641.4686279296875]]","[[832.3954467773438, 640.3475952148438], [812.2877197265625, 640.3475952148438], [830.9591674804688, 637.4669799804688], [815.1602783203125, 644.6685791015625], [835.2680053710938, 640.3475952148438], [819.4690551757812, 670.5943603515625], [853.9393920898438, 661.952392578125], [826.650390625, 710.92333984375], [879.7921142578125, 693.6394653320312], [822.3416137695312, 745.4910278320312], [889.8460083007812, 726.766845703125], [849.630615234375, 741.1701049804688], [874.0470581054688, 735.4088134765625], [823.77783203125, 794.4619140625], [872.61083984375, 794.4619140625], [819.4690551757812, 862.1570434570312], [884.1008911132812, 846.3134765625], [851.7849731445312, 854.2352600097656]]"
