rally,ball_round,time,frame_num,player,pos,type,lose_reason,getpoint_player,ball,top,bottom
22,1,00:44:20,79803,8,top,short service,,,"[883, 395]","[[931.2106323242188, 334.979736328125], [934.0715942382812, 330.67120361328125], [928.3497924804688, 333.5435485839844], [942.654296875, 333.5435485839844], [925.4888305664062, 334.979736328125], [954.097900390625, 350.77777099609375], [924.0584106445312, 350.77777099609375], [955.5283813476562, 372.3205261230469], [928.3497924804688, 376.6290283203125], [944.084716796875, 346.4692077636719], [925.4888305664062, 392.4270935058594], [949.8065185546875, 396.73565673828125], [929.7802124023438, 396.73565673828125], [946.9456787109375, 439.8211364746094], [918.3366088867188, 431.2040100097656], [945.51513671875, 482.9066162109375], [924.0584106445312, 468.5448303222656], [934.7867736816406, 475.72572326660156]]","[[1062.1253662109375, 593.6407470703125], [1066.400146484375, 587.8834228515625], [1057.8504638671875, 587.8834228515625], [1049.30078125, 590.7620849609375], [1073.52490234375, 587.8834228515625], [1040.7509765625, 619.5487060546875], [1086.349609375, 616.6700439453125], [1027.9263916015625, 655.5321044921875], [1116.2735595703125, 641.1387329101562], [1027.9263916015625, 685.758056640625], [1094.8992919921875, 622.4274291992188], [1045.02587890625, 694.3941040039062], [1073.52490234375, 695.8334350585938], [1049.30078125, 740.4527587890625], [1072.0999755859375, 753.4067993164062], [1055.00048828125, 787.9508056640625], [1066.400146484375, 806.6621704101562], [1060.7003173828125, 797.3064880371094]]"
22,2,00:44:21,79830,2,bottom,net shot,,,"[1055, 498]","[[964.6216430664062, 340.7889709472656], [967.4768676757812, 337.916748046875], [961.7664184570312, 337.916748046875], [971.7597045898438, 337.916748046875], [956.0559692382812, 337.916748046875], [976.0425415039062, 353.7140808105469], [943.20751953125, 353.7140808105469], [980.3253784179688, 375.2559509277344], [930.3590087890625, 373.81982421875], [983.1806030273438, 395.36163330078125], [924.6485595703125, 399.6700134277344], [960.3388061523438, 396.79779052734375], [941.7799072265625, 396.79779052734375], [971.7597045898438, 432.70086669921875], [938.9246826171875, 435.5730895996094], [976.0425415039062, 470.0400390625], [927.5037841796875, 475.7845458984375], [951.7731628417969, 472.91229248046875]]","[[1047.7088623046875, 549.7340087890625], [1050.5889892578125, 545.4262084960938], [1052.029052734375, 546.8621215820312], [1050.5889892578125, 546.8621215820312], [1069.310302734375, 551.169921875], [1041.9483642578125, 575.5806884765625], [1070.7503662109375, 578.4525756835938], [1033.307861328125, 607.1710815429688], [1028.987548828125, 608.6070556640625], [1005.9459838867188, 630.14599609375], [1007.3861083984375, 628.7100219726562], [1041.9483642578125, 650.2489624023438], [1067.8701171875, 648.8130493164062], [1028.987548828125, 697.6345825195312], [1064.989990234375, 681.8394165039062], [1047.7088623046875, 743.5843505859375], [1067.8701171875, 724.917236328125], [1057.7894897460938, 734.2507934570312]]"
22,3,00:44:21,79857,8,top,net shot,,,"[975, 422]","[[934.7877807617188, 405.7947082519531], [934.7877807617188, 405.7947082519531], [931.956298828125, 405.7947082519531], [936.2035522460938, 405.7947082519531], [920.6305541992188, 405.7947082519531], [927.7091674804688, 434.5809326171875], [914.9676513671875, 433.1416320800781], [937.6192016601562, 443.216796875], [914.9676513671875, 433.1416320800781], [927.7091674804688, 489.2747497558594], [934.7877807617188, 405.7947082519531], [920.6305541992188, 470.563720703125], [906.4732666015625, 469.1243896484375], [927.7091674804688, 492.1534118652344], [914.9676513671875, 499.3499450683594], [895.1474609375, 513.7430419921875], [914.9676513671875, 539.650634765625], [905.0575561523438, 526.6968383789062]]","[[949.6332397460938, 552.9646606445312], [952.5076293945312, 548.6572265625], [943.8843994140625, 550.0930786132812], [938.1356201171875, 550.0930786132812], [956.8192138671875, 548.6572265625], [935.26123046875, 581.6808471679688], [971.1912841796875, 575.9376220703125], [928.0751342773438, 620.4476318359375], [994.1864624023438, 607.525390625], [918.0147705078125, 644.8563842773438], [1001.37255859375, 637.6773071289062], [952.5076293945312, 649.163818359375], [978.3772583007812, 643.4205932617188], [920.88916015625, 690.80224609375], [959.693603515625, 669.26513671875], [928.0751342773438, 748.234619140625], [955.3820190429688, 710.903564453125], [941.7285766601562, 729.569091796875]]"
22,4,00:44:22,79880,2,bottom,lob,,,"[1027, 386]","[[968.4193115234375, 370.5549621582031], [971.2572021484375, 366.25506591796875], [964.1624145507812, 366.25506591796875], [974.09521484375, 369.12164306640625], [957.0675048828125, 369.12164306640625], [971.2572021484375, 386.32122802734375], [947.1347045898438, 389.1878356933594], [985.447021484375, 402.0875549316406], [932.9448852539062, 412.1206359863281], [1010.988525390625, 400.65423583984375], [925.8499755859375, 433.6200866699219], [955.6484985351562, 437.91998291015625], [938.6207885742188, 437.91998291015625], [968.4193115234375, 469.45257568359375], [954.2294921875, 470.8858947753906], [941.4588012695312, 498.1185302734375], [951.3916015625, 518.1847534179688], [946.4252014160156, 508.1516418457031]]","[[989.1044921875, 532.1759643554688], [986.2291259765625, 524.9983520507812], [986.2291259765625, 524.9983520507812], [989.1044921875, 524.9983520507812], [1004.919189453125, 519.2562255859375], [993.4176025390625, 546.5311279296875], [1019.296142578125, 535.0469970703125], [987.6668090820312, 580.9837036132812], [1027.92236328125, 509.2076416015625], [984.7914428710938, 608.258544921875], [1022.1715087890625, 519.2562255859375], [1003.4814453125, 611.129638671875], [1027.92236328125, 603.9519653320312], [986.2291259765625, 652.7596435546875], [1032.2353515625, 611.129638671875], [993.4176025390625, 690.083251953125], [1029.3599853515625, 642.7110595703125], [1011.3887939453125, 666.3971557617188]]"
22,5,00:44:24,79923,8,top,clear,,,"[1129, 167]","[[1103.4827880859375, 291.2978515625], [1104.9129638671875, 288.42022705078125], [1094.9017333984375, 291.2978515625], [1089.1810302734375, 291.2978515625], [1090.6112060546875, 289.8590393066406], [1067.7283935546875, 298.49188232421875], [1074.87939453125, 310.0022888183594], [1063.43798828125, 302.80828857421875], [1094.9017333984375, 310.0022888183594], [1099.1922607421875, 291.2978515625], [1097.7620849609375, 294.1754455566406], [1074.87939453125, 337.3395690917969], [1056.287109375, 337.3395690917969], [1094.9017333984375, 367.55450439453125], [1046.27587890625, 371.8708801269531], [1112.0638427734375, 386.25897216796875], [1043.41552734375, 409.2798156738281], [1077.7396850585938, 397.76939392089844]]","[[1006.4026489257812, 530.7537841796875], [1010.7139282226562, 526.4326782226562], [1002.0912475585938, 526.4326782226562], [996.3427734375, 526.4326782226562], [1016.46240234375, 526.4326782226562], [983.4088134765625, 553.7994995117188], [1027.959228515625, 556.6802368164062], [966.1634521484375, 584.0470581054688], [1042.3304443359375, 588.3681030273438], [967.6005859375, 605.6524658203125], [1045.20458984375, 609.9735107421875], [984.845947265625, 620.0560302734375], [1013.5881958007812, 618.6156616210938], [979.097412109375, 666.1474609375], [1017.8994750976562, 674.7896728515625], [971.911865234375, 716.56005859375], [1019.3366088867188, 723.7618408203125], [995.6242370605469, 720.1609497070312]]"
22,6,00:44:25,79959,2,bottom,smash,,,"[1232, 418]","[[1041.67041015625, 309.1753234863281], [1043.091064453125, 306.30389404296875], [1035.987548828125, 306.30389404296875], [1045.9324951171875, 310.61102294921875], [1028.8841552734375, 309.1753234863281], [1047.3531494140625, 326.4037780761719], [1018.9393310546875, 326.4037780761719], [1060.139404296875, 343.6322326660156], [1003.3117065429688, 337.8894348144531], [1064.4014892578125, 356.5535888671875], [1003.3117065429688, 366.603515625], [1035.987548828125, 372.3463439941406], [1016.097900390625, 373.7820739746094], [1048.77392578125, 403.9318542480469], [1007.57373046875, 406.80328369140625], [1050.194580078125, 445.56732177734375], [990.5254516601562, 444.13165283203125], [1020.3600158691406, 444.8494873046875]]","[[1161.1611328125, 599.2457275390625], [1148.2686767578125, 589.17724609375], [1175.4862060546875, 584.8621826171875], [1151.1336669921875, 593.4923095703125], [1174.0535888671875, 590.6156005859375], [1142.5386962890625, 625.1361083984375], [1186.9461669921875, 616.5059204101562], [1145.4036865234375, 652.4647827148438], [1208.4337158203125, 594.9306640625], [1132.5111083984375, 626.574462890625], [1225.6236572265625, 570.4786376953125], [1151.1336669921875, 702.8071899414062], [1176.918701171875, 705.6838989257812], [1143.97119140625, 754.587890625], [1171.1885986328125, 767.5331420898438], [1126.7811279296875, 806.3687133789062], [1158.296142578125, 826.505615234375], [1142.5386352539062, 816.4371643066406]]"
22,7,00:44:25,79978,8,top,defensive shot,,,"[1202, 431]","[[1125.392578125, 399.3303527832031], [1123.96240234375, 392.18646240234375], [1126.8228759765625, 395.04400634765625], [1113.95068359375, 390.7577209472656], [1122.5321044921875, 395.04400634765625], [1101.07861328125, 393.615234375], [1108.229736328125, 403.61669921875], [1081.0552978515625, 386.47137451171875], [1125.392578125, 433.6209716796875], [1065.3226318359375, 379.3274841308594], [1111.09033203125, 463.62530517578125], [1058.1715087890625, 416.47564697265625], [1065.3226318359375, 422.1907653808594], [1043.8690185546875, 460.7677307128906], [1043.8690185546875, 460.7677307128906], [1111.09033203125, 469.3404235839844], [1003.822509765625, 460.7677307128906], [1057.4564208984375, 465.0540771484375]]","[[1139.748779296875, 666.5890502929688], [1131.1951904296875, 660.8406372070312], [1134.0465087890625, 662.2777099609375], [1131.1951904296875, 665.1519165039062], [1154.0048828125, 662.2777099609375], [1121.2159423828125, 693.89404296875], [1171.112060546875, 691.0198364257812], [1094.1295166015625, 719.7619018554688], [1198.1986083984375, 724.0731811523438], [1095.55517578125, 715.4505615234375], [1203.9010009765625, 755.689453125], [1151.1536865234375, 772.9347534179688], [1179.6656494140625, 768.6234130859375], [1138.3232421875, 823.2333984375], [1176.8145751953125, 800.23974609375], [1156.8560791015625, 873.5320434570312], [1181.0914306640625, 836.1672973632812], [1168.9737548828125, 854.8496704101562]]"
22,8,00:44:26,80008,2,bottom,net shot,,,"[1140, 472]","[[1021.331787109375, 342.55010986328125], [1024.1871337890625, 338.22442626953125], [1018.4763793945312, 338.22442626953125], [1027.0426025390625, 339.66632080078125], [1012.7655029296875, 339.66632080078125], [1029.89794921875, 355.52716064453125], [999.9161987304688, 355.52716064453125], [1038.4642333984375, 377.155517578125], [981.35595703125, 369.9460754394531], [1047.030517578125, 390.1325378417969], [971.362060546875, 394.4582214355469], [1007.0546875, 397.3420104980469], [988.4945068359375, 393.016357421875], [1007.0546875, 433.38934326171875], [989.9221801757812, 431.9474182128906], [992.777587890625, 457.9014892578125], [971.362060546875, 473.7622985839844], [982.06982421875, 465.83189392089844]]","[[1077.4677734375, 535.8219604492188], [1078.9053955078125, 534.38818359375], [1078.9053955078125, 534.38818359375], [1078.9053955078125, 535.8219604492188], [1099.033447265625, 537.2556762695312], [1071.7169189453125, 557.3280029296875], [1100.47119140625, 555.894287109375], [1054.4642333984375, 586.0027465820312], [1084.65625, 561.6292114257812], [1057.339599609375, 568.7979125976562], [1067.4036865234375, 568.7979125976562], [1065.9659423828125, 623.2799682617188], [1087.53173828125, 623.2799682617188], [1048.71337890625, 672.0270385742188], [1078.9053955078125, 641.9185180664062], [1071.7169189453125, 700.7017822265625], [1076.030029296875, 670.5933227539062], [1073.8734741210938, 685.6475524902344]]"
22,9,00:44:27,80036,8,top,lob,,,"[987, 456]","[[1022.6196899414062, 438.0446472167969], [1019.7628173828125, 438.0446472167969], [1014.0488891601562, 438.0446472167969], [1012.6204833984375, 516.8051147460938], [1005.4782104492188, 438.0446472167969], [1021.1912231445312, 453.7967529296875], [998.3359375, 452.36474609375], [1021.1912231445312, 463.8208312988281], [994.0506591796875, 462.3887939453125], [1019.7628173828125, 450.9327697753906], [1011.1920166015625, 446.6367492675781], [1006.90673828125, 485.30096435546875], [982.623046875, 485.30096435546875], [1002.621337890625, 512.5090942382812], [999.7644653320312, 511.0771484375], [1015.4774169921875, 468.1168518066406], [1012.6204833984375, 448.0687255859375], [1014.0489501953125, 458.09278869628906]]","[[1020.3098754882812, 520.0994262695312], [1024.6075439453125, 515.7926635742188], [1016.01220703125, 515.7926635742188], [1011.7144775390625, 517.228271484375], [1031.7703857421875, 515.7926635742188], [1010.2819213867188, 543.069091796875], [1046.0960693359375, 540.1979370117188], [1001.6865844726562, 577.5236206054688], [1063.286865234375, 571.7811889648438], [991.6585693359375, 601.9288330078125], [1074.7474365234375, 599.0576782226562], [1017.44482421875, 611.97802734375], [1044.66357421875, 611.97802734375], [1000.25390625, 653.610595703125], [1033.2030029296875, 649.3037719726562], [1016.01220703125, 699.5498657226562], [1027.4727783203125, 700.9854736328125], [1021.7424926757812, 700.2676696777344]]"
22,10,00:44:30,80113,2,bottom,smash,,,"[958, 347]","[[956.5967407226562, 364.4896545410156], [959.4725341796875, 361.6103210449219], [953.7210083007812, 361.6103210449219], [965.2239990234375, 363.0500183105469], [947.9694213867188, 361.6103210449219], [972.4133911132812, 377.4466247558594], [942.2178955078125, 378.8863220214844], [989.6680297851562, 391.8432922363281], [923.525390625, 390.4035949707031], [1019.8636474609375, 397.6018981933594], [916.3359985351562, 396.16229248046875], [973.851318359375, 417.7572326660156], [952.2830810546875, 419.1968688964844], [998.29541015625, 442.23150634765625], [935.0285034179688, 443.6711730957031], [1037.1182861328125, 468.14544677734375], [924.9633178710938, 472.4644470214844], [981.0408020019531, 470.30494689941406]]","[[1014.3801879882812, 659.5697631835938], [1018.6780395507812, 655.2642211914062], [1011.5149536132812, 656.699462890625], [1001.4864501953125, 656.699462890625], [1024.4085693359375, 653.8290405273438], [994.3233642578125, 686.8380126953125], [1040.1676025390625, 681.0973510742188], [994.3233642578125, 721.2821655273438], [1070.2528076171875, 711.2359619140625], [1004.3517456054688, 741.3745727539062], [1051.6285400390625, 725.587646484375], [1020.1106567382812, 764.3373413085938], [1048.7633056640625, 755.7262573242188], [1030.13916015625, 827.48486328125], [1047.3306884765625, 781.559326171875], [1048.7633056640625, 876.2807006835938], [1050.1959228515625, 827.48486328125], [1049.4796142578125, 851.8827819824219]]"
