rally,ball_round,time,frame_num,player,pos,type,lose_reason,getpoint_player,ball,top,bottom
19,2,00:39:44,71525,2,bottom,drop,,,"[776, 437]","[[957.5612182617188, 323.9715576171875], [960.4285888671875, 321.09222412109375], [954.69384765625, 321.09222412109375], [966.1632690429688, 322.5318908691406], [950.392822265625, 323.9715576171875], [973.3316650390625, 338.3680725097656], [940.3570556640625, 339.8077087402344], [989.1021118164062, 357.08355712890625], [930.3212890625, 359.9628601074219], [980.5000610351562, 344.1266784667969], [928.8876342773438, 382.9972839355469], [967.596923828125, 382.9972839355469], [944.6580810546875, 382.9972839355469], [979.06640625, 424.7472229003906], [934.622314453125, 424.7472229003906], [981.9337158203125, 466.4971618652344], [928.8876342773438, 465.0575256347656], [955.4106750488281, 465.77734375]]","[[761.4132690429688, 657.201171875], [764.275390625, 651.4568481445312], [791.4656372070312, 628.4796142578125], [775.7239379882812, 650.020751953125], [788.6034545898438, 638.5321044921875], [784.3103637695312, 661.5093994140625], [807.2073364257812, 642.8403930664062], [811.5005493164062, 601.1940307617188], [811.5005493164062, 602.630126953125], [768.568603515625, 833.8390502929688], [802.9141235351562, 566.7280883789062], [805.7763061523438, 727.569091796875], [834.3976440429688, 717.5165405273438], [787.1724243164062, 783.5762329101562], [863.0189208984375, 750.54638671875], [768.568603515625, 833.8390502929688], [842.9840087890625, 800.8092041015625], [805.7763061523438, 817.3241271972656]]"
19,3,00:39:44,71545,7,top,net shot,,,"[759, 420]","[[858.7943725585938, 378.5069580078125], [861.64990234375, 375.66107177734375], [858.7943725585938, 377.08404541015625], [868.7887573242188, 374.2381591796875], [860.2221069335938, 381.3528137207031], [883.0664672851562, 377.08404541015625], [860.2221069335938, 389.89044189453125], [905.9107055664062, 365.7005310058594], [851.655517578125, 405.5427551269531], [895.916259765625, 368.5464172363281], [840.2333984375, 418.34918212890625], [890.2052001953125, 406.9656982421875], [873.072021484375, 411.2344665527344], [910.1939697265625, 421.1950378417969], [864.5054321289062, 424.0409240722656], [911.6217651367188, 421.1950378417969], [870.2164916992188, 421.1950378417969], [890.9191284179688, 421.1950378417969]]","[[847.72900390625, 641.2694091796875], [833.5083618164062, 634.07568359375], [859.1055297851562, 635.514404296875], [834.930419921875, 636.9531860351562], [859.1055297851562, 636.9531860351562], [823.5538940429688, 665.7280883789062], [874.7482299804688, 661.411865234375], [812.1773071289062, 707.4517211914062], [904.6115112304688, 694.5030517578125], [815.021484375, 711.7680053710938], [897.501220703125, 724.7166748046875], [840.61865234375, 746.2979125976562], [876.1702880859375, 743.4203491210938], [817.8656005859375, 786.5828247070312], [886.124755859375, 792.3378295898438], [836.3524780273438, 842.6939697265625], [888.9688720703125, 842.6939697265625], [862.6606750488281, 842.6939697265625]]"
19,4,00:39:45,71577,2,bottom,net shot,,,"[651, 489]","[[897.9154052734375, 327.3188171386719], [902.1638793945312, 324.4352722167969], [895.0831298828125, 324.4352722167969], [907.8284301757812, 324.4352722167969], [890.834716796875, 327.3188171386719], [916.3252563476562, 337.4113464355469], [883.7540893554688, 341.7367248535156], [936.151123046875, 347.5038757324219], [871.0087890625, 364.80535888671875], [927.654296875, 340.294921875], [869.5927124023438, 386.4322204589844], [910.6607055664062, 380.6650390625], [888.00244140625, 382.1068420410156], [920.5736694335938, 413.82623291015625], [888.00244140625, 422.4769592285156], [917.7413940429688, 445.5455627441406], [879.505615234375, 465.73065185546875], [898.6235046386719, 455.6381072998047]]","[[706.7308349609375, 583.3895874023438], [706.7308349609375, 577.6365966796875], [708.16162109375, 579.0748291015625], [709.5923461914062, 580.5131225585938], [728.1923217773438, 577.6365966796875], [716.7462158203125, 607.8399047851562], [738.2076416015625, 593.4573364257812], [732.484619140625, 636.6049194335938], [733.9153442382812, 636.6049194335938], [708.16162109375, 656.740478515625], [709.5923461914062, 656.740478515625], [751.08447265625, 665.3700561523438], [769.6843872070312, 655.30224609375], [763.9613647460938, 717.1470947265625], [731.0538330078125, 656.740478515625], [814.0380859375, 737.2826538085938], [722.46923828125, 704.2028198242188], [768.253662109375, 720.7427368164062]]"
19,5,00:39:46,71604,7,top,lob,,,"[746, 424]","[[788.5017700195312, 399.8857727050781], [791.3740234375, 395.5963439941406], [785.62939453125, 397.0261535644531], [798.554931640625, 397.0261535644531], [784.1931762695312, 399.8857727050781], [811.4805297851562, 409.8944396972656], [785.62939453125, 414.183837890625], [814.3529052734375, 429.9117431640625], [775.5761108398438, 431.3415832519531], [820.0975341796875, 454.218505859375], [775.5761108398438, 454.218505859375], [808.608154296875, 452.7886657714844], [788.5017700195312, 452.7886657714844], [820.0975341796875, 495.68292236328125], [772.7037963867188, 488.5339050292969], [821.5337524414062, 502.83197021484375], [762.650634765625, 528.5685424804688], [792.0921936035156, 515.7002563476562]]","[[791.0825805664062, 554.9652709960938], [792.5155029296875, 549.202392578125], [799.6798095703125, 549.202392578125], [793.9483642578125, 550.6431274414062], [812.5757446289062, 549.202392578125], [791.0825805664062, 576.5759887695312], [825.4716186523438, 569.3724365234375], [788.2169189453125, 619.7975463867188], [856.994873046875, 599.6275024414062], [779.6195678710938, 642.8490600585938], [864.1592407226562, 624.1197509765625], [824.0387573242188, 644.2897338867188], [845.5318603515625, 635.6454467773438], [796.8141479492188, 696.1556396484375], [832.635986328125, 673.1041259765625], [816.8743896484375, 753.7843017578125], [851.2633666992188, 717.766357421875], [834.0688781738281, 735.7753295898438]]"
19,6,00:39:47,71636,2,bottom,drop,,,"[1136, 549]","[[938.285400390625, 342.2209777832031], [941.1488647460938, 339.34515380859375], [935.4219360351562, 339.34515380859375], [946.8758544921875, 339.34515380859375], [929.69482421875, 339.34515380859375], [954.03466796875, 353.7241516113281], [919.6725463867188, 355.16204833984375], [964.0570068359375, 369.5410461425781], [905.35498046875, 376.7305603027344], [961.1934204101562, 388.2337646484375], [905.35498046875, 396.86114501953125], [948.3076171875, 393.9853515625], [926.8313598632812, 396.86114501953125], [958.3298950195312, 434.2465515136719], [916.80908203125, 437.1223449707031], [974.0791625976562, 465.8803405761719], [915.3773193359375, 483.1351318359375], [944.7282409667969, 474.5077362060547]]","[[1037.1568603515625, 685.678466796875], [1015.5978393554688, 679.919921875], [1037.1568603515625, 681.3595581054688], [1015.5978393554688, 682.7991943359375], [1038.5941162109375, 684.2388305664062], [1005.5369262695312, 704.3938598632812], [1047.2177734375, 713.03173828125], [983.9779663085938, 730.3074340820312], [1075.9630126953125, 704.3938598632812], [975.3543701171875, 704.3938598632812], [1098.959228515625, 687.1181030273438], [996.913330078125, 777.815673828125], [1021.346923828125, 786.4535522460938], [1006.9742431640625, 799.4103393554688], [1063.027587890625, 825.3239135742188], [960.981689453125, 825.3239135742188], [1061.59033203125, 885.7889404296875], [1011.2860107421875, 855.5564270019531]]"
19,7,00:39:48,71659,7,top,net shot,,,"[1138, 409]","[[1059.529296875, 372.79742431640625], [1060.9498291015625, 369.9322509765625], [1056.68798828125, 369.9322509765625], [1043.9024658203125, 369.9322509765625], [1046.74365234375, 369.9322509765625], [1031.1168212890625, 379.9603576660156], [1042.4818115234375, 384.2581481933594], [1066.63232421875, 397.1514587402344], [1055.267333984375, 407.1795654296875], [1058.108642578125, 388.5559387207031], [1070.894287109375, 420.0728454589844], [998.4425048828125, 414.34246826171875], [1016.9105834960938, 418.6402587890625], [1024.013671875, 440.12908935546875], [1042.4818115234375, 453.0223693847656], [1009.8074951171875, 467.3482666015625], [1046.74365234375, 497.4326171875], [1028.2755737304688, 482.39044189453125]]","[[998.3582153320312, 600.3603515625], [1002.6727905273438, 596.0350341796875], [992.60546875, 596.0350341796875], [988.2908935546875, 596.0350341796875], [1009.86376953125, 596.0350341796875], [973.9089965820312, 626.3121337890625], [1025.683837890625, 627.75390625], [960.9652709960938, 634.9627685546875], [1040.065673828125, 666.681640625], [950.8978881835938, 662.3563232421875], [1048.69482421875, 698.4004516601562], [978.2234497070312, 702.7257690429688], [1012.7400512695312, 702.7257690429688], [958.0888671875, 743.09521484375], [1018.492919921875, 737.3281860351562], [963.8416137695312, 799.3240966796875], [1008.4254760742188, 790.6735229492188], [986.133544921875, 794.9988098144531]]"
19,8,00:39:49,71683,2,bottom,push/rush,,,"[1204, 426]","[[1045.23291015625, 338.67486572265625], [1049.5501708984375, 334.3620910644531], [1042.354736328125, 334.3620910644531], [1052.4283447265625, 335.7996826171875], [1033.72021484375, 335.7996826171875], [1049.5501708984375, 350.1755676269531], [1023.6466674804688, 353.0507507324219], [1053.8673095703125, 360.2386779785156], [1004.9385986328125, 370.3017883300781], [1066.819091796875, 367.4266357421875], [1003.4995727539062, 396.1783752441406], [1027.9638671875, 388.990478515625], [1013.5731201171875, 391.8656311035156], [1030.842041015625, 429.242919921875], [1025.085693359375, 427.80535888671875], [1016.4512939453125, 469.4953918457031], [1012.1340942382812, 475.2457580566406], [1014.2926940917969, 472.3705749511719]]","[[1115.67138671875, 565.8571166992188], [1117.1082763671875, 561.5513916015625], [1117.1082763671875, 561.5513916015625], [1117.1082763671875, 564.421875], [1135.7877197265625, 565.8571166992188], [1105.61328125, 584.5153198242188], [1140.098388671875, 585.9505615234375], [1091.2445068359375, 611.7848510742188], [1141.53515625, 575.90380859375], [1082.6231689453125, 633.3135375976562], [1150.156494140625, 565.8571166992188], [1098.428955078125, 647.6659545898438], [1127.1663818359375, 649.1011962890625], [1078.3126220703125, 693.5936889648438], [1140.098388671875, 649.1011962890625], [1081.1864013671875, 728.03955078125], [1142.97216796875, 679.2413330078125], [1112.0792846679688, 703.6404418945312]]"
19,9,00:39:50,71700,7,top,clear,,,"[1123, 223]","[[1053.302490234375, 303.85986328125], [1051.8712158203125, 299.5582275390625], [1050.43994140625, 299.5582275390625], [1037.5579833984375, 302.42596435546875], [1043.2833251953125, 303.85986328125], [1024.676025390625, 315.3308410644531], [1044.714599609375, 321.06634521484375], [1020.3821411132812, 335.40509033203125], [1074.7723388671875, 308.1614685058594], [1031.8326416015625, 306.72760009765625], [1086.222900390625, 292.38885498046875], [1030.4013671875, 371.2519836425781], [1046.1458740234375, 372.68585205078125], [1021.8134765625, 408.53271484375], [1059.02783203125, 418.5698547363281], [991.7556762695312, 444.3796081542969], [1031.8326416015625, 451.5489807128906], [1011.7941589355469, 447.96429443359375]]","[[1084.2235107421875, 549.4512329101562], [1075.598876953125, 542.2637939453125], [1078.473876953125, 543.7012939453125], [1075.598876953125, 542.2637939453125], [1095.7227783203125, 542.2637939453125], [1065.5369873046875, 565.2635498046875], [1108.65966796875, 571.0134887695312], [1048.2879638671875, 594.01318359375], [1127.3460693359375, 605.5130615234375], [1032.476318359375, 606.9505615234375], [1133.0958251953125, 632.8252563476562], [1075.598876953125, 637.1376953125], [1102.909912109375, 638.5751953125], [1038.2259521484375, 674.5122680664062], [1111.5345458984375, 665.8873901367188], [1055.4749755859375, 727.6990966796875], [1127.3460693359375, 693.1995239257812], [1091.4105224609375, 710.4493103027344]]"
19,10,00:39:50,71728,2,bottom,drop,,,"[910, 454]","[[1006.5811767578125, 317.5997314453125], [1009.456787109375, 311.84527587890625], [1002.267822265625, 311.84527587890625], [1013.7701416015625, 314.7225036621094], [997.9544677734375, 314.7225036621094], [1018.08349609375, 329.10858154296875], [987.8900146484375, 330.54718017578125], [1035.3369140625, 347.8104553222656], [976.3876953125, 349.24908447265625], [1035.3369140625, 343.49462890625], [976.3876953125, 372.26678466796875], [1012.3323364257812, 375.14398193359375], [990.7655029296875, 376.5826110839844], [1028.1480712890625, 409.6705627441406], [983.57666015625, 413.98638916015625], [1029.5858154296875, 442.758544921875], [974.9498901367188, 452.82879638671875], [1002.2678527832031, 447.7936706542969]]","[[965.0113525390625, 613.844482421875], [943.6785888671875, 631.1378173828125], [963.5891723632812, 615.28564453125], [946.5228881835938, 632.578857421875], [970.7001953125, 625.3733520507812], [957.9004516601562, 646.9899291992188], [982.07763671875, 626.814453125], [990.6107788085938, 572.0524291992188], [990.6107788085938, 585.0223999023438], [949.3673095703125, 618.1678466796875], [999.1439208984375, 775.2483520507812], [973.5444946289062, 697.4286499023438], [1004.832763671875, 695.9874877929688], [957.9004516601562, 756.513916015625], [1019.0546875, 724.8096313476562], [939.4119873046875, 802.6293334960938], [996.2996215820312, 781.0128173828125], [967.8558044433594, 791.8210754394531]]"
19,11,00:39:51,71748,7,top,net shot,,,"[746, 437]","[[844.3626708984375, 396.1456604003906], [845.8008422851562, 391.8448791503906], [852.9918823242188, 413.34869384765625], [852.9918823242188, 390.4112548828125], [847.2390747070312, 410.4815368652344], [864.49755859375, 394.7120361328125], [852.9918823242188, 417.64947509765625], [877.4413452148438, 381.8097229003906], [842.9243774414062, 440.5868835449219], [857.3064575195312, 387.5440979003906], [806.9693603515625, 442.0205078125], [896.1380004882812, 414.78228759765625], [901.8908081054688, 409.04791259765625], [845.8008422851562, 436.2861328125], [844.3626708984375, 437.7197265625], [829.9805908203125, 477.8601989746094], [829.9805908203125, 476.4266357421875], [829.9805908203125, 477.14341735839844]]","[[927.92578125, 633.782470703125], [930.7913818359375, 626.5806884765625], [922.1945190429688, 628.0210571289062], [916.4633178710938, 629.46142578125], [936.5226440429688, 623.7000122070312], [917.8961181640625, 661.1491088867188], [953.7163696289062, 646.74560546875], [917.8961181640625, 700.0386352539062], [983.805419921875, 671.2315673828125], [907.8663940429688, 713.0017700195312], [976.6412963867188, 694.2771606445312], [953.7163696289062, 728.8455810546875], [976.6412963867188, 720.2035522460938], [935.0897827148438, 785.019287109375], [966.6116333007812, 766.294677734375], [975.20849609375, 832.5509033203125], [995.2678833007812, 813.8262939453125], [985.2381896972656, 823.1885986328125]]"
