rally,ball_round,time,frame_num,player,pos,type,lose_reason,getpoint_player,ball,top,bottom
4,1,00:37:08,66862,14,top,long service,,,"[988, 242]","[[917.6926879882812, 452.0093688964844], [919.122314453125, 446.2425842285156], [913.4038696289062, 450.5676574707031], [923.4111328125, 440.4758605957031], [911.9741821289062, 453.4510192871094], [941.9960327148438, 450.5676574707031], [914.83349609375, 473.6346740722656], [969.1585693359375, 464.98455810546875], [923.4111328125, 495.25994873046875], [947.7144775390625, 449.1259460449219], [949.1439819335938, 466.42620849609375], [953.4329223632812, 514.0018920898438], [930.55908203125, 518.3269653320312], [947.7144775390625, 575.9944458007812], [924.8407592773438, 571.6693725585938], [936.277587890625, 617.8034057617188], [919.122314453125, 610.594970703125], [927.699951171875, 614.1991882324219]]","[[1087.6265869140625, 642.5962524414062], [1091.905029296875, 636.8482055664062], [1083.3482666015625, 638.28515625], [1074.7913818359375, 642.5962524414062], [1100.4617919921875, 639.7222290039062], [1061.9560546875, 672.773681640625], [1111.8709716796875, 668.462646484375], [1046.2686767578125, 714.447265625], [1143.245849609375, 694.3289794921875], [1051.97314453125, 710.13623046875], [1137.5413818359375, 671.336669921875], [1073.365234375, 756.1209106445312], [1104.7401123046875, 756.1209106445312], [1080.495849609375, 820.7868041992188], [1111.8709716796875, 820.7868041992188], [1086.200439453125, 876.8306274414062], [1094.7572021484375, 875.3936157226562], [1090.4788208007812, 876.1121215820312]]"
4,2,00:37:10,66924,2,bottom,clear,,,"[1155, 459]","[[997.0945434570312, 420.08477783203125], [1001.3897705078125, 417.2100830078125], [992.7993774414062, 415.772705078125], [1008.5484008789062, 418.6474304199219], [987.0723876953125, 420.08477783203125], [1017.1388549804688, 440.207763671875], [974.186767578125, 441.6451416015625], [1024.2974853515625, 460.3307800292969], [962.73291015625, 467.5175476074219], [1025.729248046875, 473.2669982910156], [958.4378051757812, 491.9526062011719], [1005.6849975585938, 494.8273620605469], [978.4820556640625, 494.8273620605469], [1021.4340209960938, 535.0733032226562], [974.186767578125, 533.635986328125], [1032.887939453125, 571.0072021484375], [968.4598999023438, 573.8819580078125], [1000.6739196777344, 572.444580078125]]","[[1128.584228515625, 727.2638549804688], [1097.058349609375, 727.2638549804688], [1125.71826171875, 725.8231811523438], [1099.92431640625, 733.0264892578125], [1125.71826171875, 728.7044677734375], [1095.6253662109375, 763.2803344726562], [1144.3472900390625, 744.5518188476562], [1107.08935546875, 787.7716674804688], [1175.873291015625, 708.5352783203125], [1183.0382080078125, 675.4000244140625], [1183.0382080078125, 676.8406982421875], [1112.8214111328125, 842.5167236328125], [1148.646240234375, 841.0760498046875], [1092.7593994140625, 891.499267578125], [1162.976318359375, 907.3464965820312], [1076.996337890625, 953.4476928710938], [1154.3782958984375, 977.9389038085938], [1115.6873168945312, 965.6932983398438]]"
4,3,00:37:11,66955,14,top,smash,,,"[777, 352]","[[886.4782104492188, 339.2082824707031], [892.2113037109375, 336.3267517089844], [887.9114990234375, 336.3267517089844], [899.3776245117188, 344.9713134765625], [883.6116943359375, 344.9713134765625], [903.6774291992188, 368.0234375], [877.8785400390625, 357.9381408691406], [905.1107788085938, 398.279296875], [857.812744140625, 340.6490173339844], [892.2113037109375, 380.990234375], [833.4470825195312, 313.274658203125], [907.9773559570312, 428.53521728515625], [887.9114990234375, 431.4167175292969], [925.1765747070312, 468.8764343261719], [906.5440063476562, 476.08026123046875], [939.5093383789062, 512.0991821289062], [935.2095336914062, 499.1323547363281], [937.3594360351562, 505.6157684326172]]","[[955.6185302734375, 668.9996337890625], [961.3504028320312, 663.2470703125], [951.3197021484375, 663.2470703125], [968.5151977539062, 667.5614624023438], [942.721923828125, 668.9996337890625], [985.7107543945312, 699.2005004882812], [931.2581787109375, 700.638671875], [1011.50390625, 739.4683227539062], [916.9285888671875, 730.8394775390625], [1021.53466796875, 773.9835815429688], [914.0626831054688, 750.973388671875], [979.9788208007812, 779.7361450195312], [942.721923828125, 779.7361450195312], [1008.6380615234375, 815.6896362304688], [918.361572265625, 805.6226196289062], [997.1743774414062, 887.596435546875], [922.660400390625, 868.900634765625], [959.9173889160156, 878.24853515625]]"
4,4,00:37:12,66971,2,bottom,defensive shot,,,"[636, 734]","[[844.2283325195312, 393.6351623535156], [847.0735473632812, 389.3359069824219], [839.9606323242188, 390.76898193359375], [855.6089477539062, 392.20208740234375], [837.115478515625, 393.6351623535156], [865.5670166015625, 410.8324279785156], [837.115478515625, 417.9978942871094], [895.4411010742188, 413.6986083984375], [830.0025634765625, 440.9275207519531], [895.4411010742188, 436.6282043457031], [820.0445556640625, 465.2902526855469], [878.3701171875, 460.9909362792969], [854.1863403320312, 465.2902526855469], [878.3701171875, 501.1177978515625], [838.5380859375, 495.3853759765625], [891.1734008789062, 536.9453125], [839.9606323242188, 524.0474243164062], [865.5670166015625, 530.4963684082031]]","[[764.0505981445312, 739.6500244140625], [765.4873657226562, 735.3384399414062], [764.0505981445312, 736.775634765625], [766.9241333007812, 732.4640502929688], [784.1654052734375, 728.1524658203125], [802.8433837890625, 752.5848388671875], [774.1079711914062, 751.1476440429688], [838.7626953125, 765.5195922851562], [743.935791015625, 772.70556640625], [861.7510375976562, 797.1380004882812], [715.2003784179688, 789.9519653320312], [864.6245727539062, 789.9519653320312], [848.820068359375, 789.9519653320312], [889.0496826171875, 843.1282958984375], [789.9124755859375, 801.4495849609375], [945.083740234375, 848.8770751953125], [808.5905151367188, 863.2490234375], [876.8371276855469, 856.0630493164062]]"
4,5,00:37:13,67000,14,top,lob,,,"[735, 484]","[[825.8294677734375, 473.8559265136719], [831.5423583984375, 468.11297607421875], [824.4012451171875, 469.5487365722656], [842.9680786132812, 469.5487365722656], [824.4012451171875, 472.420166015625], [861.5349731445312, 489.6490478515625], [825.8294677734375, 496.8277587890625], [891.5276489257812, 498.26348876953125], [820.1165161132812, 501.1349792480469], [812.9754028320312, 504.0064392089844], [808.6907348632812, 506.8779296875], [861.5349731445312, 552.8215942382812], [832.9705200195312, 554.25732421875], [877.2454833984375, 593.0222778320312], [825.8294677734375, 574.357666015625], [860.1067504882812, 585.8436279296875], [820.1165161132812, 620.3013916015625], [840.1116333007812, 603.072509765625]]","[[798.2940063476562, 637.36767578125], [798.2940063476562, 633.0486450195312], [822.709716796875, 631.6089477539062], [801.1664428710938, 635.927978515625], [822.709716796875, 631.6089477539062], [802.6026611328125, 661.8424072265625], [839.9442749023438, 653.2042846679688], [809.7837524414062, 702.1537475585938], [867.2322998046875, 690.63623046875], [806.9112548828125, 739.585693359375], [878.7220458984375, 723.7490844726562], [849.9977416992188, 733.8269653320312], [871.5408935546875, 723.7490844726562], [818.4010009765625, 794.2938842773438], [852.8701171875, 772.698486328125], [834.1993408203125, 859.0798950195312], [877.2858276367188, 825.9671020507812], [855.7425842285156, 842.5234985351562]]"
4,6,00:37:14,67034,2,bottom,clear,,,"[639, 459]","[[873.265869140625, 427.40283203125], [877.5731201171875, 423.07958984375], [868.9586791992188, 424.52069091796875], [886.1876220703125, 424.52069091796875], [866.087158203125, 425.96173095703125], [900.5450439453125, 440.3724365234375], [864.6513671875, 446.13671875], [927.82421875, 446.13671875], [863.215576171875, 464.8705749511719], [926.3885498046875, 473.51702880859375], [857.4725952148438, 483.6044921875], [910.5952758789062, 490.8098449707031], [886.1876220703125, 493.69195556640625], [913.466796875, 535.4829711914062], [880.4446411132812, 532.600830078125], [932.1315307617188, 577.2739868164062], [886.1876220703125, 575.8328857421875], [909.1595764160156, 576.5534362792969]]","[[689.873291015625, 681.1506958007812], [687.0117797851562, 679.7119140625], [684.1503295898438, 681.1506958007812], [681.2888793945312, 721.4378662109375], [699.8883666992188, 701.2942504882812], [694.1654052734375, 727.193115234375], [719.9185180664062, 696.977783203125], [719.9185180664062, 646.618896484375], [719.9185180664062, 643.7412109375], [698.4576416015625, 602.0153198242188], [699.8883666992188, 603.4541625976562], [725.6414794921875, 789.0626220703125], [758.5482788085938, 786.18505859375], [698.4576416015625, 849.4932861328125], [781.4398803710938, 846.61572265625], [661.2586669921875, 911.36279296875], [764.2711791992188, 918.5569458007812], [712.7649230957031, 914.9598693847656]]"
4,7,00:37:15,67068,14,top,clear,,,"[768, 239]","[[826.2505493164062, 369.8881530761719], [830.566162109375, 368.44866943359375], [826.2505493164062, 367.0091857910156], [839.197265625, 375.6460876464844], [821.9349975585938, 372.7671203613281], [840.6357421875, 402.9963684082031], [814.742431640625, 388.6014709472656], [843.5128173828125, 431.7861022949219], [796.0416870117188, 372.7671203613281], [842.0742797851562, 410.19378662109375], [781.6565551757812, 356.9327697753906], [827.6890869140625, 451.93890380859375], [808.9884033203125, 444.7414855957031], [826.2505493164062, 492.24456787109375], [804.6728515625, 487.9261169433594], [867.9676513671875, 521.0343017578125], [807.5498657226562, 521.0343017578125], [837.7587585449219, 521.0343017578125]]","[[860.3759155273438, 641.3017578125], [864.6918334960938, 635.5479736328125], [854.6212768554688, 636.9863891601562], [870.4464111328125, 639.8633422851562], [845.9893798828125, 642.740234375], [889.14892578125, 670.071044921875], [838.796142578125, 672.9479370117188], [913.60595703125, 708.9094848632812], [830.1642456054688, 708.9094848632812], [919.3605346679688, 741.994140625], [828.7256469726562, 731.9249267578125], [887.7102661132812, 750.6248779296875], [853.1826782226562, 753.5018920898438], [903.535400390625, 799.5325927734375], [828.7256469726562, 806.7249755859375], [913.60595703125, 857.071044921875], [835.9188232421875, 872.8941650390625], [874.7623901367188, 864.9826049804688]]"
4,8,00:37:16,67101,2,bottom,smash,,,"[791, 478]","[[917.596923828125, 394.73492431640625], [920.4539184570312, 388.9791259765625], [913.3114624023438, 390.41802978515625], [927.596435546875, 390.41802978515625], [909.0260009765625, 393.29595947265625], [941.8814697265625, 407.6854553222656], [909.0260009765625, 416.31915283203125], [967.594482421875, 420.6360168457031], [904.7404174804688, 445.09814453125], [971.8799438476562, 449.41497802734375], [897.5979614257812, 470.9992370605469], [951.8809814453125, 465.2434387207031], [927.596435546875, 470.9992370605469], [954.7379760742188, 505.53399658203125], [916.16845703125, 506.9729919433594], [966.166015625, 547.2635498046875], [934.7388916015625, 541.5077514648438], [950.4524536132812, 544.3856506347656]]","[[764.2114868164062, 668.2301025390625], [762.7781982421875, 669.671875], [761.3448486328125, 669.671875], [744.1448364257812, 694.1815185546875], [759.9114990234375, 681.205810546875], [755.6114501953125, 708.5989990234375], [782.8447265625, 682.6475219726562], [791.4447021484375, 629.3030395507812], [791.4447021484375, 629.3030395507812], [788.5780639648438, 588.9342041015625], [788.5780639648438, 588.9342041015625], [781.4114379882812, 773.4774169921875], [815.8113403320312, 769.1521606445312], [751.3114624023438, 834.0306396484375], [834.4446411132812, 828.263671875], [714.0449829101562, 891.700439453125], [805.7780151367188, 893.1421508789062], [759.9114990234375, 892.4212951660156]]"
4,9,00:37:17,67118,14,top,defensive shot,,,"[1154, 464]","[[1055.3740234375, 435.2093505859375], [1055.3740234375, 430.9146423339844], [1051.05517578125, 430.9146423339844], [1039.5382080078125, 435.2093505859375], [1039.5382080078125, 435.2093505859375], [1048.176025390625, 459.54583740234375], [1039.5382080078125, 456.6827087402344], [1064.01171875, 479.5876159667969], [1059.69287109375, 466.70361328125], [1078.407958984375, 483.88232421875], [1097.123046875, 472.4298400878906], [1029.4608154296875, 512.5134887695312], [1003.5476684570312, 511.0819396972656], [1053.9344482421875, 536.8500366210938], [974.7552490234375, 544.0078125], [1056.8135986328125, 582.6598510742188], [938.7647094726562, 569.7758178710938], [997.7891540527344, 576.2178344726562]]","[[850.2588500976562, 704.4931030273438], [858.8720703125, 701.61572265625], [871.7919921875, 710.2478637695312], [844.5166625976562, 710.2478637695312], [870.3564453125, 713.125244140625], [825.8546142578125, 734.7056884765625], [873.2275390625, 743.337890625], [801.4503173828125, 772.1117553710938], [891.8895874023438, 792.2535400390625], [798.5792846679688, 806.6405639648438], [903.3739624023438, 823.9049072265625], [801.4503173828125, 813.833984375], [835.9033203125, 813.833984375], [801.4503173828125, 875.6979370117188], [853.1298828125, 875.6979370117188], [778.4815673828125, 911.665283203125], [822.9834594726562, 926.05224609375], [800.7325134277344, 918.8587646484375]]"
4,10,00:37:18,67149,2,bottom,net shot,,,"[1177, 618]","[[1075.9185791015625, 439.1033935546875], [1080.234375, 434.8050842285156], [1071.602783203125, 434.8050842285156], [1084.5501708984375, 437.6706237792969], [1064.40966796875, 434.8050842285156], [1081.6729736328125, 457.7295227050781], [1044.269287109375, 454.8639831542969], [1068.7255859375, 484.95233154296875], [1021.2515258789062, 474.92291259765625], [1073.0413818359375, 503.5784606933594], [1003.98828125, 492.11627197265625], [1054.3394775390625, 503.5784606933594], [1032.7603759765625, 500.7129211425781], [1060.0938720703125, 540.8307495117188], [1042.83056640625, 540.8307495117188], [1028.444580078125, 565.18798828125], [1027.0059814453125, 589.5452270507812], [1027.7252807617188, 577.3666076660156]]","[[1126.1630859375, 636.276611328125], [1130.437744140625, 634.8433227539062], [1121.8885498046875, 631.9766235351562], [1116.1890869140625, 634.8433227539062], [1134.7122802734375, 639.143310546875], [1099.090576171875, 659.2099609375], [1138.9869384765625, 663.5099487304688], [1097.665771484375, 687.8765869140625], [1140.4117431640625, 674.9766235351562], [1084.8419189453125, 719.409912109375], [1120.463623046875, 674.9766235351562], [1103.365234375, 726.5765991210938], [1131.8626708984375, 723.7099609375], [1083.4171142578125, 782.4765625], [1146.1112060546875, 729.4432373046875], [1084.8419189453125, 821.1764526367188], [1147.5361328125, 773.8765869140625], [1116.1890258789062, 797.5265197753906]]"
