rally,ball_round,time,frame_num,player,pos,type,lose_reason,getpoint_player,ball,top,bottom
25,1,00:20:49,37482,14,top,long service,,,"[939, 469]","[[919.2415771484375, 518.0492553710938], [920.6815185546875, 512.310302734375], [916.3616943359375, 513.7450561523438], [926.4412231445312, 508.0060729980469], [916.3616943359375, 512.310302734375], [946.6002807617188, 515.1798095703125], [917.8015747070312, 532.3967895507812], [966.7592163085938, 535.2662353515625], [930.760986328125, 551.0484619140625], [971.0791015625, 539.5704956054688], [953.7998657226562, 543.8746948242188], [953.7998657226562, 574.00439453125], [932.2009887695312, 576.8739013671875], [950.9200439453125, 615.612060546875], [929.321044921875, 615.612060546875], [939.4005737304688, 655.7849731445312], [929.321044921875, 642.8722534179688], [934.3608093261719, 649.32861328125]]","[[1060.729736328125, 707.0833129882812], [1065.016845703125, 704.2156372070312], [1056.442626953125, 704.2156372070312], [1049.2972412109375, 705.6494750976562], [1069.303955078125, 705.6494750976562], [1037.86474609375, 732.89208984375], [1082.16552734375, 731.4583129882812], [1025.0032958984375, 768.7377319335938], [1105.0303955078125, 758.700927734375], [1025.0032958984375, 764.4362182617188], [1105.0303955078125, 758.700927734375], [1049.2972412109375, 807.4509887695312], [1077.87841796875, 804.5833740234375], [1057.87158203125, 849.031982421875], [1086.45263671875, 853.3334350585938], [1060.729736328125, 894.914306640625], [1073.5911865234375, 897.781982421875], [1067.1604614257812, 896.34814453125]]"
25,2,00:20:51,37547,2,bottom,drop,,,"[998, 569]","[[984.3849487304688, 481.0572814941406], [988.6820068359375, 478.1856689453125], [981.520263671875, 478.1856689453125], [994.411376953125, 479.6214599609375], [975.7908325195312, 479.6214599609375], [1004.4378051757812, 498.28717041015625], [965.764404296875, 496.8513488769531], [1015.8966064453125, 516.952880859375], [955.7379760742188, 518.388671875], [1010.167236328125, 538.490234375], [950.0086059570312, 538.490234375], [995.8436889648438, 541.3618774414062], [971.4938354492188, 541.3618774414062], [1007.302490234375, 571.51416015625], [958.6027221679688, 571.51416015625], [1021.6259155273438, 605.973876953125], [947.1439208984375, 607.4097290039062], [984.3849182128906, 606.6918029785156]]","[[1024.7491455078125, 754.87353515625], [1029.0438232421875, 750.5711059570312], [1020.4544677734375, 750.5711059570312], [1017.5914306640625, 752.0053100585938], [1036.2015380859375, 750.5711059570312], [1009.0021362304688, 777.8196411132812], [1050.51708984375, 769.2147827148438], [1006.1389770507812, 796.4633178710938], [1077.716552734375, 773.5172729492188], [1083.4427490234375, 756.3076782226562], [1087.7373046875, 753.4393920898438], [1021.8860473632812, 848.092041015625], [1051.9486083984375, 846.657958984375], [1011.8651733398438, 883.9453125], [1060.537841796875, 901.1548461914062], [1001.8443603515625, 932.705810546875], [1060.537841796875, 959.9542846679688], [1031.1911010742188, 946.3300476074219]]"
25,3,00:20:52,37578,14,top,net shot,,,"[688, 590]","[[709.500244140625, 600.0615234375], [712.36279296875, 597.1963500976562], [709.500244140625, 598.62890625], [725.2442626953125, 591.466064453125], [712.36279296875, 598.62890625], [743.850830078125, 600.0615234375], [720.950439453125, 604.3591918945312], [762.4574584960938, 565.6798095703125], [720.950439453125, 621.550048828125], [720.950439453125, 641.6060180664062], [720.950439453125, 641.6060180664062], [761.0261840820312, 590.0335083007812], [752.4385375976562, 605.7918090820312], [769.6138305664062, 630.1454467773438], [703.775146484375, 624.4151611328125], [758.1636352539062, 569.9775390625], [692.324951171875, 653.0665283203125], [725.2442932128906, 611.5220336914062]]","[[877.9373779296875, 697.8331909179688], [879.3594970703125, 696.3974609375], [879.3594970703125, 694.961669921875], [882.203857421875, 697.8331909179688], [899.2698974609375, 696.3974609375], [877.9373779296875, 723.6766967773438], [917.758056640625, 719.3694458007812], [870.8264770507812, 763.8777465820312], [934.8240966796875, 749.5202026367188], [859.4491577148438, 792.5927124023438], [940.5127563476562, 779.6709594726562], [897.8477172851562, 789.72119140625], [922.0245361328125, 785.4140014648438], [875.093017578125, 841.4082641601562], [904.95849609375, 819.8720092773438], [900.6920166015625, 893.0952758789062], [902.1141967773438, 860.072998046875], [901.4031066894531, 876.5841369628906]]"
25,4,00:20:53,37603,2,bottom,net shot,,,"[817, 587]","[[829.3687133789062, 497.1192626953125], [832.2023315429688, 494.2425537109375], [825.1182250976562, 494.2425537109375], [839.286376953125, 495.680908203125], [822.2845458984375, 497.1192626953125], [849.2041625976562, 511.5028381347656], [815.200439453125, 517.2562866210938], [859.1218872070312, 520.1329956054688], [801.0322875976562, 535.9549560546875], [859.1218872070312, 508.6261291503906], [791.114501953125, 554.653564453125], [837.86962890625, 557.5302734375], [819.450927734375, 558.9686889648438], [849.2041625976562, 587.73583984375], [830.7855224609375, 589.1741943359375], [832.2023315429688, 613.626220703125], [826.5350341796875, 625.1331176757812], [829.3686828613281, 619.3796691894531]]","[[789.4207153320312, 678.6910400390625], [790.8282470703125, 674.3756713867188], [789.4207153320312, 674.3756713867188], [792.23583984375, 675.8141479492188], [810.5342407226562, 671.498779296875], [796.4585571289062, 698.8295288085938], [813.349365234375, 687.3218383789062], [810.5342407226562, 733.3526000976562], [823.2023315429688, 714.652587890625], [799.273681640625, 764.9987182617188], [795.0509643554688, 717.529541015625], [813.349365234375, 753.4910278320312], [826.0175170898438, 749.1756591796875], [799.273681640625, 812.468017578125], [785.197998046875, 749.1756591796875], [778.16015625, 792.3294677734375], [778.16015625, 792.3294677734375], [778.16015625, 792.3294677734375]]"
25,5,00:20:54,37630,14,top,lob,,,"[1099, 493]","[[1120.9664306640625, 619.4867553710938], [1123.8343505859375, 615.1897583007812], [1120.9664306640625, 613.7573852539062], [1109.4951171875, 605.1632690429688], [1113.796875, 610.8927001953125], [1100.8914794921875, 626.6484985351562], [1099.4576416015625, 623.7838134765625], [1079.3826904296875, 593.7044677734375], [1115.2308349609375, 636.6749267578125], [1090.85400390625, 681.0777587890625], [1142.4754638671875, 636.6749267578125], [1062.175537109375, 633.810302734375], [1047.8363037109375, 628.0808715820312], [1082.25048828125, 643.8367309570312], [1037.798828125, 668.1866455078125], [1090.85400390625, 682.5101318359375], [1003.3845825195312, 658.1602172851562], [1047.1192932128906, 670.3351745605469]]","[[926.7840576171875, 649.8567504882812], [923.9081420898438, 645.5330200195312], [926.7840576171875, 645.5330200195312], [906.6531982421875, 645.5330200195312], [925.3460693359375, 645.5330200195312], [893.7119750976562, 670.033935546875], [936.8494262695312, 671.4751586914062], [885.08447265625, 703.182373046875], [954.1043701171875, 707.5059814453125], [885.08447265625, 729.12451171875], [959.8560791015625, 733.4481811523438], [902.3394165039062, 737.7719116210938], [931.0977783203125, 736.3306884765625], [892.2740478515625, 786.7738037109375], [936.8494262695312, 778.1264038085938], [902.3394165039062, 832.8932495117188], [948.352783203125, 824.245849609375], [925.3460998535156, 828.5695495605469]]"
25,6,00:20:55,37670,2,bottom,clear,,,"[860, 442]","[[980.518798828125, 482.90740966796875], [984.7694702148438, 478.6168518066406], [977.6849975585938, 478.6168518066406], [990.4368896484375, 480.0470275878906], [974.851318359375, 480.0470275878906], [1004.605712890625, 497.2093811035156], [966.3499755859375, 497.2093811035156], [1014.5238037109375, 517.2321166992188], [962.0994262695312, 518.6622924804688], [1015.9407348632812, 537.2548217773438], [957.8487548828125, 538.6849975585938], [994.6875610351562, 542.9756469726562], [970.6006469726562, 542.9756469726562], [998.9381713867188, 578.73046875], [966.3499755859375, 581.5908813476562], [1001.7719116210938, 615.91552734375], [964.9332275390625, 614.4853515625], [983.3525695800781, 615.200439453125]]","[[759.674072265625, 785.3309326171875], [761.103271484375, 781.0189819335938], [758.2448120117188, 781.0189819335938], [768.24951171875, 773.8323364257812], [771.1079711914062, 768.0829467773438], [768.24951171875, 788.2056274414062], [789.6880493164062, 765.2083129882812], [803.9804077148438, 723.5257568359375], [803.9804077148438, 723.5257568359375], [805.4096069335938, 689.02978515625], [805.4096069335938, 689.02978515625], [791.1172485351562, 839.9495239257812], [818.2728271484375, 834.2002563476562], [771.1079711914062, 887.3814086914062], [845.4283447265625, 883.0694580078125], [741.093994140625, 936.2506713867188], [836.8529052734375, 944.8746948242188], [788.9734497070312, 940.5626831054688]]"
25,7,00:20:56,37708,14,top,clear,,,"[1198, 230]","[[1156.6802978515625, 449.6684265136719], [1139.4825439453125, 438.178955078125], [1153.8140869140625, 443.9236755371094], [1133.7498779296875, 442.4875183105469], [1138.0494384765625, 442.4875183105469], [1122.28466796875, 449.6684265136719], [1117.9852294921875, 449.6684265136719], [1107.953125, 436.7427673339844], [1128.017333984375, 456.849365234375], [1112.2525634765625, 430.99798583984375], [1145.215087890625, 446.79608154296875], [1105.0867919921875, 495.6264343261719], [1092.1884765625, 487.0093078613281], [1129.450439453125, 527.2225341796875], [1070.691162109375, 499.9349670410156], [1153.8140869140625, 545.8929443359375], [1039.1617431640625, 527.2225341796875], [1096.4879150390625, 536.5577392578125]]","[[958.1336059570312, 708.9730224609375], [956.6996459960938, 703.2113647460938], [958.1336059570312, 703.2113647460938], [936.6240234375, 704.6517944335938], [956.6996459960938, 706.0922241210938], [920.8504028320312, 726.2581176757812], [965.303466796875, 732.0198364257812], [903.6427612304688, 756.5069580078125], [971.0393676757812, 770.9112548828125], [922.2843627929688, 769.4708251953125], [978.209228515625, 802.6005249023438], [922.2843627929688, 801.1600952148438], [949.52978515625, 801.1600952148438], [929.4542236328125, 832.8494262695312], [983.945068359375, 837.1707153320312], [915.1145629882812, 881.8237915039062], [982.5111694335938, 893.34716796875], [948.8128662109375, 887.5854797363281]]"
25,8,00:20:58,37751,2,bottom,drop,,,"[1222, 549]","[[1020.2526245117188, 469.05755615234375], [1024.5399169921875, 464.7453918457031], [1017.39453125, 464.7453918457031], [1028.8271484375, 467.62017822265625], [1011.6782836914062, 467.62017822265625], [1035.9725341796875, 483.4315490722656], [1000.2456665039062, 487.7437744140625], [1040.2596435546875, 502.1177062988281], [990.2421875, 512.1795043945312], [1041.688720703125, 522.2413330078125], [981.667724609375, 535.1778564453125], [1023.1107788085938, 532.3031005859375], [1000.2456665039062, 533.740478515625], [1037.4014892578125, 563.9258422851562], [991.6712036132812, 566.8005981445312], [1043.1177978515625, 602.735595703125], [977.3804931640625, 604.1729736328125], [1010.2491455078125, 603.4542846679688]]","[[1205.3447265625, 756.5672607421875], [1203.90625, 752.248779296875], [1205.3447265625, 752.248779296875], [1185.2069091796875, 755.1277465820312], [1205.3447265625, 753.6882934570312], [1173.69970703125, 779.5990600585938], [1215.41357421875, 776.7200317382812], [1169.3843994140625, 792.554443359375], [1254.250732421875, 758.0067138671875], [1228.3592529296875, 742.17236328125], [1245.6202392578125, 733.535400390625], [1180.8917236328125, 847.2550048828125], [1206.783203125, 851.573486328125], [1179.453369140625, 894.7581176757812], [1224.0440673828125, 909.1529541015625], [1156.438720703125, 945.1401977539062], [1234.1129150390625, 965.2930297851562], [1195.2758178710938, 955.2166137695312]]"
25,9,00:20:59,37777,14,top,lob,,,"[1170, 560]","[[1128.9364013671875, 549.3507690429688], [1130.370361328125, 545.045166015625], [1127.5025634765625, 545.045166015625], [1113.1641845703125, 542.1747436523438], [1116.0318603515625, 543.6099853515625], [1108.862548828125, 552.22119140625], [1111.730224609375, 556.52685546875], [1113.1641845703125, 576.6196899414062], [1107.4287109375, 575.1844482421875], [1105.994873046875, 596.7125244140625], [1110.29638671875, 585.23095703125], [1094.5240478515625, 586.6661376953125], [1077.3177490234375, 583.7957153320312], [1103.127197265625, 612.4998168945312], [1105.994873046875, 608.1942138671875], [1067.2808837890625, 626.8518676757812], [1110.29638671875, 649.8151245117188], [1088.7886352539062, 638.33349609375]]","[[1072.828369140625, 729.986328125], [1077.1121826171875, 725.669677734375], [1068.544677734375, 727.1085205078125], [1062.8328857421875, 732.8641357421875], [1084.2518310546875, 729.986328125], [1055.6932373046875, 758.7640991210938], [1097.103271484375, 754.4474487304688], [1038.55810546875, 796.1752319335938], [1119.9501953125, 787.5419311523438], [1039.986083984375, 796.1752319335938], [1134.2294921875, 816.3197631835938], [1077.1121826171875, 827.8308715820312], [1104.242919921875, 823.51416015625], [1074.25634765625, 882.5087280273438], [1084.2518310546875, 853.7308959960938], [1104.242919921875, 928.5531616210938], [1104.242919921875, 929.9920043945312], [1104.242919921875, 929.2725830078125]]"
25,10,00:21:00,37808,2,bottom,drop,,,"[1127, 568]","[[1069.9501953125, 481.0650939941406], [1072.790771484375, 478.2042236328125], [1065.6893310546875, 478.2042236328125], [1078.4720458984375, 479.63470458984375], [1061.4283447265625, 479.63470458984375], [1086.9940185546875, 496.7999572753906], [1050.06591796875, 496.7999572753906], [1095.5157470703125, 516.8261108398438], [1035.86279296875, 518.2564697265625], [1095.5157470703125, 535.4217529296875], [1027.3409423828125, 541.1434936523438], [1072.790771484375, 544.0043334960938], [1050.06591796875, 544.0043334960938], [1079.892333984375, 574.0435791015625], [1044.3846435546875, 576.9044799804688], [1085.5736083984375, 611.2349853515625], [1040.1236572265625, 614.0958251953125], [1062.8486328125, 612.6654052734375]]","[[1125.606201171875, 723.6695556640625], [1124.17236328125, 719.3590698242188], [1124.17236328125, 719.3590698242188], [1102.6656494140625, 725.1063842773438], [1122.7386474609375, 723.6695556640625], [1096.9305419921875, 746.6588745117188], [1134.2088623046875, 743.7852783203125], [1084.0264892578125, 750.9694213867188], [1167.1859130859375, 733.7274169921875], [1109.8345947265625, 736.60107421875], [1198.7291259765625, 720.7958374023438], [1098.3642578125, 812.7534790039062], [1122.7386474609375, 812.7534790039062], [1089.7615966796875, 854.4217529296875], [1142.8116455078125, 873.1006469726562], [1061.0859375, 894.6531982421875], [1152.8480224609375, 930.5740966796875], [1106.9669799804688, 912.6136474609375]]"
