rally,ball_round,time,frame_num,player,pos,type,lose_reason,getpoint_player,ball,top,bottom
6,1,00:10:59,19776,16,bottom,long service,,,"[997, 619]","[[1078.638427734375, 406.48309326171875], [1082.8917236328125, 402.1688232421875], [1074.3851318359375, 400.73077392578125], [1091.398193359375, 405.0450134277344], [1068.714111328125, 403.6069030761719], [1098.4869384765625, 429.492431640625], [1063.0430908203125, 426.6163024902344], [1097.0692138671875, 458.254150390625], [1037.5235595703125, 439.5590515136719], [1078.638427734375, 440.99713134765625], [1036.1058349609375, 435.24481201171875], [1081.473876953125, 489.89202880859375], [1058.789794921875, 488.4539489746094], [1075.8028564453125, 535.9107666015625], [1048.8656005859375, 535.9107666015625], [1077.2205810546875, 580.4913940429688], [1061.6253662109375, 557.4820556640625], [1069.4229736328125, 568.9867248535156]]","[[961.224853515625, 611.46337890625], [961.224853515625, 607.1561889648438], [961.224853515625, 607.1561889648438], [935.6658935546875, 601.4132690429688], [958.385009765625, 607.1561889648438], [912.94677734375, 615.7706298828125], [951.2852783203125, 641.6138305664062], [881.7080078125, 621.5135498046875], [955.5451049804688, 680.3787231445312], [903.0072021484375, 612.899169921875], [965.4846801757812, 717.7078247070312], [893.0675659179688, 700.47900390625], [922.8863525390625, 709.0934448242188], [901.5872192382812, 765.087158203125], [927.146240234375, 767.9585571289062], [918.6265869140625, 821.080810546875], [917.2066040039062, 816.7736206054688], [917.9165954589844, 818.9272155761719]]"
6,2,00:11:01,19842,14,top,smash,,,"[1207, 299]","[[1203.068359375, 367.0664978027344], [1207.36669921875, 364.2016906738281], [1200.2027587890625, 364.2016906738281], [1211.6650390625, 369.9312744140625], [1194.4715576171875, 367.0664978027344], [1208.799560546875, 391.4173278808594], [1180.143798828125, 381.3905029296875], [1205.9339599609375, 415.7681579589844], [1204.5010986328125, 415.7681579589844], [1197.337158203125, 392.8497009277344], [1215.96337890625, 397.14691162109375], [1191.6060791015625, 440.11895751953125], [1165.81591796875, 432.95697021484375], [1201.635498046875, 485.955810546875], [1155.7864990234375, 473.064208984375], [1213.0977783203125, 520.33349609375], [1164.3831787109375, 520.33349609375], [1188.740478515625, 520.33349609375]]","[[1020.171875, 626.4038696289062], [992.837890625, 619.2249145507812], [1020.171875, 622.096435546875], [992.837890625, 624.968017578125], [1018.7332763671875, 624.968017578125], [981.3287963867188, 649.3764038085938], [1030.2423095703125, 655.11962890625], [956.8720703125, 688.1427001953125], [1046.0672607421875, 698.1932373046875], [958.3106689453125, 689.5784912109375], [1051.82177734375, 729.7805786132812], [981.3287963867188, 728.3447265625], [1017.294677734375, 729.7805786132812], [952.55615234375, 780.0330810546875], [1043.1900634765625, 787.2119750976562], [923.783447265625, 836.02880859375], [1057.576416015625, 846.0792846679688], [990.679931640625, 841.0540466308594]]"
6,3,00:11:01,19858,16,bottom,defensive shot,,,"[1267, 515]","[[1127.6319580078125, 378.74383544921875], [1131.9447021484375, 374.44195556640625], [1123.3189697265625, 374.44195556640625], [1137.6953125, 377.30987548828125], [1117.568359375, 377.30987548828125], [1149.1962890625, 398.8193664550781], [1106.0672607421875, 401.68731689453125], [1166.447998046875, 418.89495849609375], [1088.815673828125, 420.32891845703125], [1166.447998046875, 423.19683837890625], [1084.5028076171875, 441.8384094238281], [1142.00830078125, 456.1780700683594], [1113.255615234375, 456.1780700683594], [1150.634033203125, 499.1971130371094], [1110.3802490234375, 499.1971130371094], [1154.9468994140625, 542.2161865234375], [1114.693115234375, 535.0463256835938], [1134.8200073242188, 538.6312561035156]]","[[1175.2239990234375, 694.7300415039062], [1176.66064453125, 691.8551635742188], [1173.7872314453125, 691.8551635742188], [1150.7999267578125, 693.2926025390625], [1178.097412109375, 700.4798583984375], [1133.5592041015625, 709.1044921875], [1173.7872314453125, 733.541015625], [1091.89453125, 720.6040649414062], [1209.7052001953125, 760.8524780273438], [1058.8499755859375, 740.7282104492188], [1245.623046875, 763.7273559570312], [1086.1475830078125, 769.47705078125], [1117.75537109375, 783.8515625], [1041.609375, 819.78759765625], [1175.2239990234375, 796.7885131835938], [979.8306274414062, 854.2863159179688], [1189.5911865234375, 860.0360107421875], [1084.7109069824219, 857.1611633300781]]"
6,4,00:11:02,19888,14,top,lob,,,"[845, 484]","[[870.1368408203125, 484.2572326660156], [873.0011596679688, 481.37762451171875], [868.7047119140625, 484.2572326660156], [884.4586181640625, 481.37762451171875], [865.84033203125, 487.1368713378906], [903.076904296875, 498.65533447265625], [868.7047119140625, 508.7340087890625], [923.12744140625, 507.2942199707031], [860.111572265625, 533.2108154296875], [937.4491577148438, 526.01171875], [858.6793823242188, 544.729248046875], [904.5090942382812, 556.2477416992188], [875.8655395507812, 556.2477416992188], [908.8056640625, 585.0439453125], [857.2471923828125, 580.7245483398438], [910.2377319335938, 609.520751953125], [851.5185546875, 618.1596069335938], [880.8781433105469, 613.8401794433594]]","[[946.7928466796875, 629.4774169921875], [948.2323608398438, 625.1589965820312], [979.9002075195312, 622.2800903320312], [951.1112060546875, 628.0379638671875], [977.0213012695312, 628.0379638671875], [946.7928466796875, 658.2666625976562], [994.294677734375, 656.8272094726562], [942.474609375, 700.0111694335938], [1021.6441040039062, 692.8138427734375], [932.3984375, 731.6793212890625], [1020.2047119140625, 724.4820556640625], [966.9451904296875, 735.9977416992188], [998.613037109375, 735.9977416992188], [932.3984375, 789.2579345703125], [989.976318359375, 774.8632202148438], [949.6718139648438, 841.07861328125], [985.657958984375, 838.19970703125], [967.6648864746094, 839.63916015625]]"
6,5,00:11:03,19918,16,bottom,clear,,,"[1249, 633]","[[994.9738159179688, 422.529296875], [997.827880859375, 418.2179870605469], [989.265625, 419.65509033203125], [1003.5360717773438, 419.65509033203125], [982.1304931640625, 422.529296875], [1014.952392578125, 442.6487121582031], [972.1412353515625, 448.3971252441406], [1024.941650390625, 458.4568176269531], [955.0167236328125, 471.39068603515625], [1030.6497802734375, 474.264892578125], [947.881591796875, 497.2585144042969], [1009.2442016601562, 498.69561767578125], [982.1304931640625, 500.1327209472656], [1017.806396484375, 537.4973754882812], [977.8494262695312, 541.8086547851562], [1023.5145263671875, 582.0474853515625], [979.2764282226562, 582.0474853515625], [1001.3954772949219, 582.0474853515625]]","[[1092.4954833984375, 714.35498046875], [1091.0606689453125, 711.4771728515625], [1086.7557373046875, 712.9160766601562], [1058.0565185546875, 722.98828125], [1081.015869140625, 721.5493774414062], [1056.6214599609375, 746.0104370117188], [1088.190673828125, 751.7659301757812], [1136.9793701171875, 750.3270874023438], [1142.71923828125, 750.3270874023438], [1187.203125, 731.62158203125], [1188.637939453125, 731.62158203125], [1046.5767822265625, 815.0768432617188], [1075.2760009765625, 828.0267333984375], [1039.4019775390625, 845.2933959960938], [1116.889892578125, 879.8265380859375], [993.483154296875, 876.9487915039062], [1115.4549560546875, 938.82080078125], [1054.4690551757812, 907.8847961425781]]"
6,6,00:11:05,19953,14,top,drop,,,"[1217, 277]","[[1227.3082275390625, 378.29736328125], [1224.452880859375, 371.1121826171875], [1221.597412109375, 371.1121826171875], [1221.597412109375, 384.0455627441406], [1207.3203125, 372.5492248535156], [1215.8865966796875, 404.1640930175781], [1185.904541015625, 386.9196472167969], [1161.63330078125, 348.1195068359375], [1165.9163818359375, 363.9269714355469], [1230.163818359375, 355.30474853515625], [1165.9163818359375, 362.48992919921875], [1188.760009765625, 450.1494140625], [1163.06103515625, 440.09014892578125], [1210.1756591796875, 487.5124816894531], [1143.072998046875, 468.8309326171875], [1227.3082275390625, 510.505126953125], [1131.6512451171875, 517.6903076171875], [1179.479736328125, 514.0977172851562]]","[[1060.186767578125, 646.75927734375], [1060.186767578125, 639.566162109375], [1060.186767578125, 641.0048217773438], [1037.21240234375, 643.8820190429688], [1060.186767578125, 645.3206787109375], [1015.673828125, 669.7772827148438], [1064.4945068359375, 679.84765625], [992.6994018554688, 704.3042602539062], [1068.80224609375, 720.129150390625], [1015.673828125, 720.129150390625], [1078.853515625, 750.3402709960938], [999.87890625, 746.0243530273438], [1032.9046630859375, 754.6561889648438], [992.6994018554688, 797.81494140625], [1063.05859375, 810.7625122070312], [961.109619140625, 861.1143798828125], [1078.853515625, 869.7461547851562], [1019.9815673828125, 865.4302673339844]]"
6,7,00:11:06,19981,16,bottom,net shot,,,"[1278, 645]","[[1131.6600341796875, 402.83917236328125], [1135.93603515625, 398.53509521484375], [1128.8092041015625, 398.53509521484375], [1141.637451171875, 399.9698181152344], [1121.682373046875, 399.9698181152344], [1148.7642822265625, 421.490234375], [1114.5556640625, 418.620849609375], [1167.2938232421875, 445.8800354003906], [1098.876708984375, 440.1412658691406], [1174.4205322265625, 468.835205078125], [1108.854248046875, 425.7943115234375], [1145.9134521484375, 474.5740051269531], [1123.1077880859375, 471.70458984375], [1138.7867431640625, 516.18017578125], [1108.854248046875, 509.00665283203125], [1157.3162841796875, 552.047607421875], [1121.682373046875, 549.1781616210938], [1139.4993286132812, 550.6128845214844]]","[[1213.16455078125, 643.3765869140625], [1211.734619140625, 644.8137817382812], [1237.4736328125, 659.1854248046875], [1211.734619140625, 650.5624389648438], [1234.61376953125, 659.1854248046875], [1196.0052490234375, 669.24560546875], [1226.0340576171875, 686.4915161132812], [1171.6962890625, 683.6171875], [1231.7537841796875, 699.426025390625], [1151.677001953125, 692.240234375], [1237.4736328125, 697.9888305664062], [1174.55615234375, 735.3551635742188], [1208.874755859375, 746.8525390625], [1147.38720703125, 778.4700927734375], [1228.8939208984375, 745.4153442382812], [1130.2279052734375, 830.2080078125], [1231.7537841796875, 794.2789306640625], [1180.9908447265625, 812.2434692382812]]"
6,8,00:11:06,20007,14,top,push/rush,,,"[1247, 506]","[[1198.943115234375, 493.6513366699219], [1200.3648681640625, 489.33526611328125], [1194.6781005859375, 489.33526611328125], [1203.2081298828125, 492.212646484375], [1184.726318359375, 492.212646484375], [1200.3648681640625, 516.67041015625], [1180.461181640625, 518.109130859375], [1200.3648681640625, 549.7603149414062], [1190.4130859375, 528.179931640625], [1203.2081298828125, 575.6567993164062], [1204.6297607421875, 528.179931640625], [1196.0997314453125, 575.6567993164062], [1179.03955078125, 578.5341796875], [1201.7864990234375, 613.0628051757812], [1197.521484375, 610.1854248046875], [1210.3165283203125, 653.34619140625], [1210.3165283203125, 653.34619140625], [1210.3165283203125, 653.34619140625]]","[[1126.60498046875, 595.9201049804688], [1126.60498046875, 590.1641235351562], [1156.5841064453125, 585.8470458984375], [1128.032470703125, 590.1641235351562], [1155.156494140625, 590.1641235351562], [1122.322265625, 616.066162109375], [1168.0047607421875, 618.9442138671875], [1110.901611328125, 653.4803466796875], [1190.845947265625, 657.79736328125], [1099.4810791015625, 683.6994018554688], [1197.9837646484375, 693.7724609375], [1142.308349609375, 695.2114868164062], [1172.287353515625, 693.7724609375], [1118.03955078125, 755.6497192382812], [1162.2943115234375, 734.0645751953125], [1136.5980224609375, 810.3319702148438], [1180.8529052734375, 801.6978759765625], [1158.7254638671875, 806.0149230957031]]"
6,9,00:11:08,20040,16,bottom,drop,,,"[744, 641]","[[1013.846435546875, 425.6829528808594], [1018.1248168945312, 421.3608093261719], [1008.14208984375, 419.9200744628906], [1025.2552490234375, 424.2422180175781], [1003.8638305664062, 424.2422180175781], [1038.090087890625, 447.2938537597656], [1003.8638305664062, 447.2938537597656], [1056.62939453125, 464.58251953125], [1006.7159423828125, 473.2268981933594], [1046.646728515625, 487.6341552734375], [996.7332763671875, 490.51556396484375], [1038.090087890625, 504.9228210449219], [1018.1248168945312, 506.3635559082031], [1040.9423828125, 551.0260009765625], [1009.5681762695312, 546.703857421875], [1056.62939453125, 582.7219848632812], [1016.6986694335938, 585.6034545898438], [1036.6640319824219, 584.1627197265625]]","[[811.5748291015625, 720.0476684570312], [818.7367553710938, 715.7428588867188], [811.5748291015625, 715.7428588867188], [833.0604248046875, 722.9175415039062], [810.1425170898438, 720.0476684570312], [853.1136474609375, 744.4414672851562], [802.9805908203125, 750.1812133789062], [871.7344970703125, 754.4859619140625], [772.9007568359375, 776.010009765625], [877.4640502929688, 781.7496948242188], [755.7122802734375, 783.1846923828125], [847.3842163085938, 823.3626708984375], [813.0072021484375, 819.0579223632812], [848.8165893554688, 893.6743774414062], [778.6303100585938, 853.4962768554688], [871.7344970703125, 883.6298217773438], [775.7655029296875, 920.9381103515625], [823.75, 902.2839660644531]]"
6,10,00:11:08,20064,14,top,push/rush,,,"[1128, 465]","[[1067.541259765625, 471.3332824707031], [1068.97314453125, 467.0280456542969], [1061.813720703125, 467.0280456542969], [1070.405029296875, 469.8982238769531], [1048.9268798828125, 471.3332824707031], [1064.677490234375, 495.7295227050781], [1043.199462890625, 498.59967041015625], [1050.3587646484375, 498.59967041015625], [1053.2225341796875, 498.59967041015625], [1046.0631103515625, 500.0347900390625], [1071.8369140625, 494.2944641113281], [1048.9268798828125, 551.6974487304688], [1031.744384765625, 550.2623901367188], [1040.335693359375, 578.9638671875], [1064.677490234375, 584.7041625976562], [1011.6981201171875, 586.1392211914062], [1068.97314453125, 629.1914672851562], [1040.3356323242188, 607.6653442382812]]","[[868.082275390625, 651.18701171875], [868.082275390625, 648.3056030273438], [899.4180297851562, 645.4241333007812], [872.355224609375, 649.7462768554688], [897.99365234375, 649.7462768554688], [868.082275390625, 680.0013427734375], [917.9345703125, 677.119873046875], [859.5360717773438, 718.900634765625], [939.2999267578125, 716.0192260742188], [846.7169799804688, 754.9186401367188], [944.9972534179688, 752.0371704101562], [900.8423461914062, 762.1221313476562], [930.7537231445312, 757.7999877929688], [888.0231323242188, 825.513671875], [920.7833251953125, 806.7843627929688], [915.0858764648438, 883.142333984375], [933.6024780273438, 864.4130249023438], [924.3441772460938, 873.7776794433594]]"
