rally,ball_round,time,frame_num,player,pos,type,lose_reason,getpoint_player,ball,top,bottom
2,1,00:08:55,16076,16,top,long service,,,"[905, 504]","[[968.1919555664062, 485.38909912109375], [971.0469970703125, 481.0788269042969], [965.3369750976562, 481.0788269042969], [982.4671020507812, 478.205322265625], [962.48193359375, 485.38909912109375], [1001.024658203125, 496.8831787109375], [966.7645263671875, 505.50372314453125], [1025.2923583984375, 514.124267578125], [969.6194458007812, 525.6183471679688], [1009.5897216796875, 508.3772277832031], [996.7421875, 512.6875], [1002.4522094726562, 561.5372924804688], [978.1845092773438, 564.4108276367188], [998.1696166992188, 611.8238525390625], [978.1845092773438, 606.0767822265625], [991.0321044921875, 657.800048828125], [983.89453125, 641.9957275390625], [987.4633178710938, 649.8978881835938]]","[[813.5218505859375, 695.4434204101562], [812.0932006835938, 691.1256103515625], [813.5218505859375, 691.1256103515625], [786.3779296875, 689.6863403320312], [812.0932006835938, 691.1256103515625], [779.23486328125, 714.1539916992188], [817.8076782226562, 715.59326171875], [790.6638793945312, 742.9395141601562], [832.0939331054688, 747.25732421875], [837.8084106445312, 728.5467529296875], [847.808837890625, 735.7431030273438], [789.2352294921875, 790.435546875], [814.950439453125, 790.435546875], [806.378662109375, 836.4923095703125], [842.0942993164062, 836.4923095703125], [802.0928955078125, 882.549072265625], [822.0936279296875, 882.549072265625], [812.09326171875, 882.549072265625]]"
2,2,00:08:57,16138,14,bottom,smash,,,"[699, 547]","[[932.5859375, 482.9668273925781], [935.4435424804688, 477.2385559082031], [929.7283325195312, 477.2385559082031], [941.1588134765625, 477.2385559082031], [922.5842895507812, 478.6706237792969], [951.1604614257812, 492.9913330078125], [915.4402465820312, 497.28753662109375], [972.5925903320312, 510.1761474609375], [905.4385375976562, 527.3610229492188], [958.3045043945312, 528.7930297851562], [899.7233276367188, 556.0023803710938], [949.7316284179688, 543.11376953125], [924.0130615234375, 544.5458374023438], [972.5925903320312, 580.3475952148438], [905.4385375976562, 584.643798828125], [996.8823852539062, 629.0379028320312], [886.864013671875, 627.6058349609375], [941.8731994628906, 628.3218688964844]]","[[708.2322387695312, 749.6416015625], [702.4756469726562, 739.554443359375], [702.4756469726562, 746.7595825195312], [676.5711059570312, 766.9336547851562], [702.4756469726562, 756.8466186523438], [683.7667846679688, 798.635986328125], [721.1845092773438, 772.69775390625], [702.4756469726562, 820.2510986328125], [737.0150146484375, 751.08251953125], [682.3276977539062, 983.0852661132812], [745.64990234375, 729.4674072265625], [706.7930908203125, 862.0404052734375], [744.2107543945312, 856.2763671875], [699.5973510742188, 925.4448852539062], [761.48046875, 915.3578491210938], [682.3276977539062, 983.0852661132812], [754.2847900390625, 972.9982299804688], [718.3062438964844, 978.041748046875]]"
2,3,00:08:58,16157,16,top,defensive shot,,,"[718, 544]","[[780.560791015625, 524.464111328125], [783.4345703125, 520.1544189453125], [777.6870727539062, 523.027587890625], [796.3663330078125, 521.5909423828125], [780.560791015625, 534.5202026367188], [816.4824829101562, 535.9567260742188], [784.8713989257812, 550.322509765625], [845.2199096679688, 530.21044921875], [769.0658569335938, 570.4345703125], [875.3941040039062, 535.9567260742188], [747.5128784179688, 591.9832153320312], [846.65673828125, 571.8711547851562], [819.3562622070312, 577.617431640625], [882.5784301757812, 603.475830078125], [787.7451782226562, 590.5466918945312], [925.6845092773438, 625.0244750976562], [776.2501831054688, 635.08056640625], [850.9673461914062, 630.0525207519531]]","[[820.2999267578125, 691.579345703125], [820.2999267578125, 687.2576293945312], [816.0143432617188, 687.2576293945312], [791.7294921875, 697.341796875], [818.8713989257812, 697.341796875], [777.4442138671875, 726.1536254882812], [830.299560546875, 727.59423828125], [764.58740234375, 753.52490234375], [848.870361328125, 766.4903564453125], [758.8733520507812, 765.0497436523438], [866.0126953125, 788.0991821289062], [781.729736328125, 803.9457397460938], [818.8713989257812, 803.9457397460938], [767.4444580078125, 855.8071899414062], [834.585205078125, 857.2477416992188], [757.4448852539062, 909.1091918945312], [844.5847778320312, 910.5498046875], [801.0148315429688, 909.8294982910156]]"
2,4,00:08:59,16183,14,bottom,lob,,,"[909, 653]","[[909.1293334960938, 479.6543884277344], [912.0097045898438, 473.9124450683594], [904.8088989257812, 475.3479309082031], [917.7703857421875, 473.9124450683594], [899.0482177734375, 475.3479309082031], [923.531005859375, 492.57373046875], [887.5269775390625, 496.880126953125], [933.6122436523438, 515.5414428710938], [868.8048095703125, 522.7188110351562], [940.8130493164062, 538.5091552734375], [864.4842529296875, 557.17041015625], [909.1293334960938, 547.1220092773438], [886.0867919921875, 549.9929809570312], [924.97119140625, 580.1381225585938], [888.9671020507812, 584.444580078125], [923.531005859375, 623.2025756835938], [886.0867919921875, 634.6864624023438], [904.8088989257812, 628.9445190429688]]","[[840.3008422851562, 675.0338134765625], [843.1505126953125, 675.0338134765625], [864.5233764648438, 692.3130493164062], [840.3008422851562, 686.5533447265625], [861.673583984375, 693.7529296875], [827.4771118164062, 708.1522827148438], [864.5233764648438, 713.9119873046875], [800.4048461914062, 722.5515747070312], [846.0001831054688, 725.4314575195312], [770.48291015625, 732.631103515625], [771.90771484375, 731.191162109375], [827.4771118164062, 775.8290405273438], [858.8239135742188, 777.26904296875], [806.104248046875, 821.9068603515625], [863.0985107421875, 785.9086303710938], [804.679443359375, 852.1454467773438], [855.9742431640625, 819.0270385742188], [830.3268432617188, 835.5862426757812]]"
2,5,00:09:00,16220,16,top,drop,,,"[735, 416]","[[837.43701171875, 457.34027099609375], [843.1406860351562, 455.90850830078125], [837.43701171875, 455.90850830078125], [850.270263671875, 461.635498046875], [834.5850830078125, 460.2037353515625], [854.5480346679688, 481.6799621582031], [830.307373046875, 480.24822998046875], [868.8072509765625, 506.0196838378906], [810.3444213867188, 484.54345703125], [858.8257446289062, 491.7021789550781], [787.5297241210938, 484.54345703125], [853.1220703125, 534.6546020507812], [836.0110473632812, 533.2228393554688], [850.270263671875, 583.3340454101562], [811.7703857421875, 567.5848388671875], [895.8997192382812, 609.10546875], [818.9000244140625, 596.2197265625], [857.3998718261719, 602.66259765625]]","[[843.9702758789062, 665.1402587890625], [845.39990234375, 660.8251953125], [875.4203491210938, 660.8251953125], [846.8294067382812, 665.1402587890625], [873.9908447265625, 665.1402587890625], [838.2521362304688, 686.7155151367188], [886.856689453125, 691.0305786132812], [823.9566650390625, 711.16748046875], [902.581787109375, 725.5509643554688], [825.3862915039062, 742.8111572265625], [909.7294311523438, 752.879638671875], [846.8294067382812, 755.75634765625], [881.1384887695312, 755.75634765625], [829.6748046875, 811.85205078125], [894.0045166015625, 816.1671752929688], [811.0908203125, 862.1943359375], [906.870361328125, 867.94775390625], [858.9805908203125, 865.071044921875]]"
2,6,00:09:01,16243,14,bottom,lob,,,"[755, 519]","[[887.3174438476562, 460.54376220703125], [891.635986328125, 457.660400390625], [884.4384765625, 457.660400390625], [897.3939208984375, 459.10205078125], [881.5595092773438, 460.54376220703125], [910.3494262695312, 477.8438415527344], [878.6804809570312, 482.1688232421875], [931.9417724609375, 498.0272216796875], [874.362060546875, 508.1189270019531], [923.3048095703125, 519.65234375], [865.7250366210938, 531.1856689453125], [913.2283935546875, 532.6273803710938], [895.9544067382812, 532.6273803710938], [914.6678466796875, 570.11083984375], [877.240966796875, 568.669189453125], [937.6998291015625, 616.244384765625], [884.4384765625, 614.802734375], [911.0691528320312, 615.5235595703125]]","[[720.2595825195312, 721.2615356445312], [718.8305053710938, 715.5031127929688], [718.8305053710938, 715.5031127929688], [723.1177368164062, 718.3822631835938], [745.983154296875, 712.6239013671875], [731.6922607421875, 738.53662109375], [750.2703857421875, 731.338623046875], [741.6959228515625, 745.734619140625], [741.6959228515625, 773.0869140625], [754.5577392578125, 760.1305541992188], [755.9867553710938, 760.1305541992188], [765.9904174804688, 803.3184204101562], [750.2703857421875, 796.1204223632812], [743.1249389648438, 858.02294921875], [717.4014282226562, 817.71435546875], [790.284912109375, 870.9793090820312], [718.8305053710938, 853.7042236328125], [754.5577087402344, 862.3417663574219]]"
2,7,00:09:02,16277,16,top,clear,,,"[1138, 242]","[[1055.5789794921875, 451.42327880859375], [1059.899169921875, 451.42327880859375], [1054.138916015625, 448.5498962402344], [1058.4591064453125, 457.1700744628906], [1046.9384765625, 448.5498962402344], [1049.8187255859375, 474.4103698730469], [1033.977783203125, 462.91680908203125], [1023.8971557617188, 511.76434326171875], [1039.7381591796875, 485.9039306640625], [1026.77734375, 534.7514038085938], [1052.6988525390625, 483.0304870605469], [1016.69677734375, 514.6376953125], [1000.8558959960938, 507.45428466796875], [964.8538208007812, 531.8780517578125], [964.8538208007812, 530.4413452148438], [1065.6595458984375, 572.1054077148438], [946.1328125, 576.4154663085938], [1005.8961791992188, 574.2604370117188]]","[[986.018798828125, 669.1000366210938], [970.2651977539062, 663.3604125976562], [1000.3402709960938, 664.7953491210938], [971.6973876953125, 667.6651611328125], [997.4760131835938, 669.1000366210938], [958.8080444335938, 692.0584716796875], [1004.63671875, 696.3631591796875], [935.8937377929688, 723.6263427734375], [1004.63671875, 727.9310302734375], [951.6473388671875, 742.280029296875], [1016.0938720703125, 758.06396484375], [958.8080444335938, 760.9337768554688], [986.018798828125, 763.8035278320312], [964.53662109375, 816.8949584960938], [991.7474365234375, 824.0694580078125], [964.53662109375, 869.9863891601562], [983.1544799804688, 871.4212646484375], [973.8455505371094, 870.7038269042969]]"
2,8,00:09:04,16321,14,bottom,drop,,,"[1160, 515]","[[1017.344482421875, 473.4199523925781], [1020.2067260742188, 469.1004333496094], [1013.0509033203125, 469.1004333496094], [1024.500244140625, 470.540283203125], [1005.8951416015625, 469.1004333496094], [1030.2249755859375, 492.13800048828125], [993.0147094726562, 489.25830078125], [1038.8118896484375, 515.1756591796875], [971.5472412109375, 513.7357788085938], [1040.2430419921875, 535.3335571289062], [967.2537231445312, 552.6117553710938], [1015.9132690429688, 543.97265625], [987.2899780273438, 543.97265625], [1035.9495849609375, 581.4087524414062], [968.6848754882812, 578.5291137695312], [1047.39892578125, 624.6043090820312], [947.2174072265625, 624.6043090820312], [997.3081665039062, 624.6043090820312]]","[[1244.647705078125, 718.0833129882812], [1248.9659423828125, 712.324462890625], [1280.6336669921875, 705.1257934570312], [1256.1632080078125, 722.4024658203125], [1279.1942138671875, 713.76416015625], [1263.3604736328125, 758.3955688476562], [1303.6646728515625, 729.6011352539062], [1277.7547607421875, 788.6298217773438], [1310.8619384765625, 716.6436157226562], [1297.906982421875, 792.948974609375], [1309.4224853515625, 713.76416015625], [1293.588623046875, 821.743408203125], [1326.69580078125, 813.1051025390625], [1300.7857666015625, 877.892578125], [1325.2562255859375, 862.0556640625], [1300.7857666015625, 918.204833984375], [1316.61962890625, 908.1267700195312], [1308.7026977539062, 913.1658020019531]]"
2,9,00:09:04,16348,16,top,defensive shot,,,"[705, 626]","[[747.621337890625, 575.0118408203125], [750.4981689453125, 570.7269897460938], [744.744384765625, 572.1552734375], [757.6904296875, 565.0138549804688], [746.1828002929688, 573.5835571289062], [777.8287353515625, 572.1552734375], [749.0597534179688, 599.2927856445312], [805.1592407226562, 560.7289428710938], [744.744384765625, 617.8605346679688], [832.4898071289062, 567.8704223632812], [737.5521850585938, 633.5717163085938], [796.5285034179688, 610.7190551757812], [772.074951171875, 615.0039672851562], [819.5437622070312, 633.5717163085938], [746.1828002929688, 629.2868041992188], [848.312744140625, 635.0], [741.8675537109375, 667.8506469726562], [795.0901489257812, 651.4253234863281]]","[[1066.9913330078125, 682.0835571289062], [1072.7005615234375, 676.343017578125], [1065.56396484375, 677.7781372070312], [1051.290771484375, 686.3890380859375], [1078.4097900390625, 684.953857421875], [1045.58154296875, 717.9620971679688], [1094.1102294921875, 715.091796875], [1032.73583984375, 753.8406372070312], [1116.9471435546875, 749.53515625], [1017.035400390625, 778.2379760742188], [1134.074951171875, 776.8028564453125], [1074.1278076171875, 788.2839965820312], [1101.2467041015625, 786.848876953125], [1059.854736328125, 837.0787963867188], [1078.4097900390625, 829.903076171875], [1074.1278076171875, 894.4844970703125], [1075.55517578125, 884.4384765625], [1074.8414916992188, 889.4614868164062]]"
2,10,00:09:05,16375,14,bottom,lob,,,"[763, 574]","[[832.7879028320312, 490.5789794921875], [835.631103515625, 486.269287109375], [828.523193359375, 486.269287109375], [844.1605224609375, 486.269287109375], [824.2584228515625, 486.269287109375], [852.6900024414062, 502.07159423828125], [812.8858032226562, 510.69110107421875], [868.327392578125, 526.493408203125], [801.51318359375, 542.2957763671875], [874.0137329101562, 549.4786987304688], [800.091552734375, 572.4638671875], [842.739013671875, 556.6615600585938], [818.5720825195312, 556.6615600585938], [861.219482421875, 604.068603515625], [825.6799926757812, 602.6320190429688], [847.0037231445312, 629.927001953125], [825.6799926757812, 654.3488159179688], [836.3418579101562, 642.1379089355469]]","[[754.3631591796875, 663.8569946289062], [755.7978515625, 660.9822387695312], [754.3631591796875, 659.544921875], [760.1017456054688, 669.6064453125], [784.4906616210938, 668.1690063476562], [767.27490234375, 694.0414428710938], [787.3599243164062, 688.2919921875], [775.8827514648438, 721.3511962890625], [785.92529296875, 718.4765014648438], [774.4481201171875, 752.9730224609375], [768.7095336914062, 729.975341796875], [777.3174438476562, 755.8477172851562], [798.8370971679688, 755.8477172851562], [762.970947265625, 807.592529296875], [773.0134887695312, 800.4058227539062], [803.1410522460938, 813.3419799804688], [807.4450073242188, 811.9046630859375], [805.2930297851562, 812.6233215332031]]"
