rally,ball_round,time,frame_num,player,pos,type,lose_reason,getpoint_player,ball,top,bottom
35,1,00:26:30,47717,16,top,long service,,,"[909, 392]","[[912.3684692382812, 463.11456298828125], [916.6101684570312, 457.3832092285156], [909.5407104492188, 460.2489013671875], [923.6797485351562, 457.3832092285156], [908.1268310546875, 463.11456298828125], [942.060546875, 476.0101013183594], [909.5407104492188, 483.17431640625], [957.613525390625, 488.9056396484375], [912.3684692382812, 496.0698547363281], [968.9246826171875, 493.20416259765625], [933.5770874023438, 483.17431640625], [943.4744262695312, 534.7564697265625], [919.4380493164062, 537.6221313476562], [940.6466674804688, 584.9058227539062], [919.4380493164062, 580.6072998046875], [933.5770874023438, 625.0252685546875], [919.4380493164062, 616.4282836914062], [926.507568359375, 620.7267761230469]]","[[1085.6478271484375, 644.656494140625], [1091.39208984375, 640.3453979492188], [1081.339599609375, 640.3453979492188], [1098.5723876953125, 644.656494140625], [1074.1593017578125, 646.093505859375], [1062.670654296875, 677.7078857421875], [1108.625, 674.8338623046875], [1044.0018310546875, 715.0704345703125], [1044.0018310546875, 715.0704345703125], [1130.166015625, 677.7078857421875], [1054.05419921875, 699.2632446289062], [1072.72314453125, 750.9959106445312], [1101.444580078125, 749.5589599609375], [1079.903564453125, 809.9137573242188], [1110.06103515625, 814.2247924804688], [1082.775634765625, 864.5205078125], [1094.2642822265625, 864.5205078125], [1088.5199584960938, 864.5205078125]]"
35,2,00:26:32,47777,2,bottom,drop,,,"[1121, 510]","[[981.8690185546875, 476.5553283691406], [984.7261962890625, 473.6720275878906], [977.5833740234375, 473.6720275878906], [989.0118408203125, 473.6720275878906], [970.4404907226562, 473.6720275878906], [997.583251953125, 493.85491943359375], [957.5834350585938, 496.7381896972656], [1006.1546020507812, 506.8296203613281], [946.1549072265625, 528.4541015625], [1003.2974853515625, 527.012451171875], [940.440673828125, 555.8451538085938], [989.0118408203125, 541.4288330078125], [961.8690795898438, 541.4288330078125], [1010.4403686523438, 578.9112548828125], [940.440673828125, 578.9112548828125], [1027.5831298828125, 619.2769775390625], [920.4407348632812, 617.8353881835938], [974.0119323730469, 618.5561828613281]]","[[1098.0557861328125, 726.5733032226562], [1106.6480712890625, 720.83251953125], [1110.9442138671875, 720.83251953125], [1086.599609375, 723.702880859375], [1110.9442138671875, 722.2677001953125], [1078.00732421875, 749.536376953125], [1120.9683837890625, 752.4067993164062], [1103.7840576171875, 752.4067993164062], [1173.9537353515625, 742.3604125976562], [1186.8421630859375, 725.1380615234375], [1188.274169921875, 722.2677001953125], [1079.4393310546875, 834.2130126953125], [1110.9442138671875, 838.5185546875], [1082.303466796875, 875.8336181640625], [1126.6966552734375, 901.6671752929688], [1057.958740234375, 927.5006713867188], [1122.4005126953125, 970.5565185546875], [1090.1796264648438, 949.0285949707031]]"
35,3,00:26:33,47800,16,top,lob,,,"[947, 499]","[[965.7587890625, 505.6011962890625], [968.6395263671875, 502.7261657714844], [962.8780517578125, 502.7261657714844], [972.9605102539062, 505.6011962890625], [955.6764526367188, 505.6011962890625], [975.8411254882812, 525.7264404296875], [945.593994140625, 528.6015014648438], [991.6849365234375, 541.5391845703125], [932.6309204101562, 545.8517456054688], [1008.968994140625, 555.9143676757812], [921.1082153320312, 560.2269287109375], [965.7587890625, 573.1646118164062], [941.2730102539062, 571.7271118164062], [981.6026000976562, 596.1649169921875], [954.236083984375, 603.3525390625], [994.5656127929688, 624.9153442382812], [932.6309204101562, 647.9156494140625], [963.5982666015625, 636.4154968261719]]","[[995.97900390625, 674.5682373046875], [1000.260986328125, 668.827880859375], [991.6971435546875, 668.827880859375], [985.9879760742188, 674.5682373046875], [1008.82470703125, 673.1331787109375], [974.569580078125, 703.2698974609375], [1024.52490234375, 703.2698974609375], [958.8693237304688, 747.7573852539062], [1048.7889404296875, 737.7118530273438], [961.7239379882812, 752.0626831054688], [1063.06201171875, 772.15380859375], [993.1243896484375, 776.4591064453125], [1021.6703491210938, 776.4591064453125], [978.8515014648438, 845.3429565429688], [1004.5428466796875, 849.648193359375], [1018.8157958984375, 882.6551513671875], [983.1334228515625, 901.3111572265625], [1000.974609375, 891.983154296875]]"
35,4,00:26:33,47819,2,bottom,drop,,,"[782, 474]","[[931.1649780273438, 479.2221374511719], [934.0448608398438, 474.9053955078125], [926.8451538085938, 476.34429931640625], [938.3646240234375, 477.783203125], [921.08544921875, 477.783203125], [947.0042114257812, 497.92791748046875], [911.0059204101562, 500.80572509765625], [958.5237426757812, 519.5115356445312], [899.4863891601562, 531.0228271484375], [959.9636840820312, 539.65625], [895.1666259765625, 559.8009643554688], [941.2445068359375, 541.0951538085938], [916.765625, 541.0951538085938], [959.9636840820312, 582.8235473632812], [898.0465087890625, 577.06787109375], [977.2427978515625, 618.7962646484375], [889.4068603515625, 623.1129760742188], [933.3248291015625, 620.9546203613281]]","[[868.2481689453125, 699.392822265625], [839.5111694335938, 695.0723876953125], [835.20068359375, 695.0723876953125], [842.3848876953125, 693.6322631835938], [846.6954956054688, 689.3118896484375], [863.9376220703125, 667.7098999023438], [843.8218383789062, 709.4737548828125], [846.6954956054688, 617.3052978515625], [817.9585571289062, 732.515869140625], [823.7059326171875, 589.9427490234375], [792.0952758789062, 702.2730712890625], [888.3640747070312, 748.3572998046875], [914.227294921875, 732.515869140625], [859.6270751953125, 803.082275390625], [947.2748413085938, 781.4802856445312], [838.0743408203125, 863.56787109375], [980.3222045898438, 820.3638916015625], [909.1982727050781, 841.9658813476562]]"
35,5,00:26:34,47844,16,top,net shot,,,"[737, 575]","[[772.2706909179688, 540.166748046875], [777.9926147460938, 534.4226684570312], [770.8402099609375, 535.8587036132812], [782.2840576171875, 532.9866333007812], [769.4097900390625, 537.2947387695312], [796.5888061523438, 543.0387573242188], [770.8402099609375, 555.9630126953125], [770.8402099609375, 583.2474365234375], [769.4097900390625, 580.3754272460938], [822.33740234375, 610.531982421875], [762.2573852539062, 596.1716918945312], [806.6021728515625, 593.2996215820312], [783.7144775390625, 593.2996215820312], [823.7678833007812, 624.8921508789062], [757.9659423828125, 609.095947265625], [843.7945556640625, 642.12451171875], [755.10498046875, 655.0486450195312], [799.4497680664062, 648.5865783691406]]","[[823.3192749023438, 668.16650390625], [823.3192749023438, 662.414794921875], [844.8765258789062, 656.6630859375], [824.7564697265625, 666.7285766601562], [846.313720703125, 660.9768676757812], [821.8821411132812, 699.8009643554688], [864.9966430664062, 681.10791015625], [814.6964721679688, 742.9389038085938], [899.4881591796875, 714.1802368164062], [804.6363525390625, 778.8870849609375], [905.2367553710938, 751.56640625], [862.122314453125, 768.8215942382812], [889.4281616210938, 754.4423217773438], [836.253662109375, 820.5869750976562], [887.9910278320312, 797.5801391601562], [864.9966430664062, 873.7904663085938], [903.7996826171875, 852.221435546875], [884.3981628417969, 863.0059509277344]]"
35,6,00:26:35,47872,2,bottom,lob,,,"[834, 431]","[[886.3184814453125, 492.4664001464844], [889.1636352539062, 488.170654296875], [882.05078125, 488.170654296875], [894.8539428710938, 492.4664001464844], [876.3604736328125, 491.03448486328125], [900.544189453125, 509.6494445800781], [864.9799194335938, 515.3770751953125], [917.6150512695312, 532.5601806640625], [852.1767578125, 544.0155029296875], [927.572998046875, 554.0389404296875], [846.4865112304688, 571.2219848632812], [892.0087280273438, 561.198486328125], [869.2476196289062, 561.198486328125], [919.0375366210938, 594.1326293945312], [880.628173828125, 598.4284057617188], [913.3472900390625, 621.339111328125], [870.6702270507812, 642.81787109375], [892.0087585449219, 632.0784912109375]]","[[779.3331909179688, 656.3229370117188], [776.4576416015625, 653.4463500976562], [776.4576416015625, 654.8846435546875], [756.3287353515625, 662.0760498046875], [776.4576416015625, 656.3229370117188], [762.0797729492188, 682.2120361328125], [783.6465454101562, 675.0205688476562], [783.6465454101562, 708.1011352539062], [777.8953857421875, 716.7307739257812], [786.5220336914062, 675.0205688476562], [776.4576416015625, 733.9901733398438], [789.3976440429688, 738.3049926757812], [810.9642944335938, 732.5518798828125], [795.1487426757812, 797.2745361328125], [776.4576416015625, 745.4963989257812], [835.4065551757812, 810.2191162109375], [835.4065551757812, 810.2191162109375], [835.4065551757812, 810.2191162109375]]"
35,7,00:26:36,47904,16,top,clear,,,"[1059, 257]","[[1108.375244140625, 440.8270568847656], [1109.8057861328125, 437.9588317871094], [1104.0838623046875, 435.0906677246094], [1094.070556640625, 436.5247497558594], [1095.5010986328125, 435.0906677246094], [1079.765869140625, 446.5634765625], [1084.0572509765625, 446.5634765625], [1098.362060546875, 475.24554443359375], [1099.79248046875, 473.8114318847656], [1101.2230224609375, 456.6022033691406], [1102.6534423828125, 458.0362854003906], [1058.308837890625, 493.8888854980469], [1076.9049072265625, 498.1911926269531], [1041.1431884765625, 524.0050048828125], [1098.362060546875, 535.4779052734375], [1129.8323974609375, 556.9893798828125], [1013.9641723632812, 565.5940551757812], [1071.8982849121094, 561.2917175292969]]","[[940.0307006835938, 626.9360961914062], [944.335693359375, 622.6144409179688], [935.7256469726562, 622.6144409179688], [931.420654296875, 626.9360961914062], [950.07568359375, 626.9360961914062], [915.6356201171875, 651.42529296875], [960.1207885742188, 654.306396484375], [895.5454711914062, 683.1172485351562], [975.9058227539062, 696.0821533203125], [894.1104736328125, 719.130859375], [983.0809326171875, 729.2146606445312], [915.6356201171875, 723.4525146484375], [948.6406860351562, 723.4525146484375], [907.0255126953125, 775.3120727539062], [965.86083984375, 775.3120727539062], [902.7205200195312, 835.81494140625], [968.7308349609375, 834.3743286132812], [935.7256774902344, 835.0946350097656]]"
35,8,00:26:37,47939,2,bottom,clear,,,"[853, 384]","[[973.5367431640625, 456.8295593261719], [977.8059692382812, 452.5056457519531], [970.6904907226562, 452.5056457519531], [983.498291015625, 455.38824462890625], [964.9981689453125, 455.38824462890625], [994.8829956054688, 474.1253356933594], [959.3058471679688, 475.5666809082031], [1010.5369873046875, 492.8624267578125], [949.3442993164062, 502.9516296386719], [1001.9984741210938, 513.0408325195312], [943.6519165039062, 527.4539794921875], [990.61376953125, 526.0126953125], [966.4213256835938, 526.0126953125], [997.7291870117188, 556.2802124023438], [943.6519165039062, 559.162841796875], [1009.1138305664062, 598.078369140625], [936.5364379882812, 599.5196533203125], [972.8251342773438, 598.7990112304688]]","[[723.7586059570312, 728.4820556640625], [728.0679321289062, 722.7168579101562], [723.7586059570312, 724.1581420898438], [719.4492797851562, 722.7168579101562], [738.1229248046875, 706.8624267578125], [755.360107421875, 705.421142578125], [756.7965087890625, 706.8624267578125], [766.8516235351562, 682.3601684570312], [765.4151000976562, 682.3601684570312], [689.2842407226562, 889.90869140625], [772.5972900390625, 650.6514282226562], [775.47021484375, 790.4583740234375], [801.325927734375, 776.0452880859375], [739.5593872070312, 838.0215454101562], [855.9103393554688, 822.1671752929688], [689.2842407226562, 889.90869140625], [880.3297119140625, 884.1434326171875], [784.8069763183594, 887.0260620117188]]"
35,9,00:26:38,47963,16,top,drop,,,"[1115, 302]","[[1076.63525390625, 431.10345458984375], [1080.9498291015625, 431.10345458984375], [1076.63525390625, 429.66162109375], [1080.9498291015625, 436.8707580566406], [1070.8824462890625, 429.66162109375], [1070.8824462890625, 457.0563659667969], [1059.376953125, 435.428955078125], [1059.376953125, 470.0328369140625], [1062.2532958984375, 465.7073669433594], [1070.8824462890625, 461.3818664550781], [1072.3206787109375, 461.3818664550781], [1042.11865234375, 491.6602478027344], [1021.9841918945312, 480.1256103515625], [1052.18603515625, 540.6824340820312], [1007.602294921875, 530.589599609375], [998.97314453125, 579.6117553710938], [998.97314453125, 575.2863159179688], [998.97314453125, 577.4490356445312]]","[[862.7254638671875, 685.73095703125], [867.0236206054688, 679.9673461914062], [856.9947509765625, 679.9673461914062], [852.6965942382812, 682.8491821289062], [877.052490234375, 684.2900390625], [838.36962890625, 713.10791015625], [887.0814208984375, 714.548828125], [809.7156982421875, 749.1302490234375], [905.7064819335938, 753.4529418945312], [809.7156982421875, 753.4529418945312], [911.437255859375, 783.7117309570312], [839.8023681640625, 788.034423828125], [872.75439453125, 789.4752807617188], [836.9369506835938, 842.7883911132812], [859.8601684570312, 854.3155517578125], [826.9080200195312, 891.7787475585938], [836.9369506835938, 890.337890625], [831.9224853515625, 891.0583190917969]]"
35,10,00:26:39,47993,2,bottom,net shot,,,"[1115, 553]","[[1032.9937744140625, 472.5206298828125], [1035.846435546875, 469.64947509765625], [1028.7147216796875, 468.2138671875], [1041.5518798828125, 469.64947509765625], [1023.0093383789062, 469.64947509765625], [1042.978271484375, 489.7477111816406], [1010.172119140625, 489.7477111816406], [1044.4046630859375, 508.41033935546875], [991.6295166015625, 509.8459167480469], [1045.8309326171875, 525.6373901367188], [984.4977416992188, 538.5577392578125], [1021.5829467773438, 537.1221313476562], [1001.614013671875, 534.2509765625], [1034.420166015625, 575.8829956054688], [1000.1876220703125, 575.8829956054688], [1015.8775024414062, 604.5947875976562], [978.7923583984375, 617.5150756835938], [997.3349304199219, 611.054931640625]]","[[1075.0377197265625, 645.4964599609375], [1079.3419189453125, 642.61669921875], [1072.1680908203125, 639.7369384765625], [1069.298583984375, 638.2970581054688], [1089.385498046875, 641.1768188476562], [1059.255126953125, 662.7750854492188], [1092.2550048828125, 662.7750854492188], [1053.5159912109375, 694.4525756835938], [1087.95068359375, 694.4525756835938], [1019.0812377929688, 703.0918579101562], [1017.646484375, 703.0918579101562], [1062.1246337890625, 734.7693481445312], [1086.515869140625, 730.44970703125], [1046.342041015625, 789.4849853515625], [1096.559326171875, 734.7693481445312], [1060.6898193359375, 818.2826538085938], [1095.12451171875, 782.2855834960938], [1077.9071655273438, 800.2841186523438]]"
