rally,ball_round,time,frame_num,player,pos,type,lose_reason,getpoint_player,ball,top,bottom
31,1,00:25:57,46730,9,bottom,long service,,,"[924, 617]","[[871.287353515625, 380.30224609375], [874.1666870117188, 375.9907531738281], [866.9683837890625, 375.9907531738281], [879.92529296875, 378.86505126953125], [861.2097778320312, 375.9907531738281], [890.0028076171875, 394.6737060546875], [849.692626953125, 387.4879455566406], [917.356201171875, 420.5423889160156], [823.7788696289062, 409.0451965332031], [911.59765625, 436.3510437011719], [823.7788696289062, 430.6024475097656], [881.364990234375, 436.3510437011719], [854.0115966796875, 436.3510437011719], [875.6063232421875, 476.5912170410156], [842.4943237304688, 476.5912170410156], [878.4856567382812, 535.5143432617188], [852.5718994140625, 501.02276611328125], [865.5287780761719, 518.2685546875]]","[[941.30517578125, 541.5932006835938], [939.8709106445312, 537.2685546875], [965.6891479492188, 530.0607299804688], [944.1739501953125, 540.151611328125], [965.6891479492188, 534.3853759765625], [942.7395629882812, 573.307373046875], [987.204345703125, 551.68408203125], [926.9617919921875, 589.1644287109375], [1001.5478515625, 553.1256103515625], [915.4869995117188, 600.6968994140625], [926.9617919921875, 597.8137817382812], [977.1638793945312, 642.501953125], [1004.41650390625, 636.7357177734375], [972.8609008789062, 705.9302978515625], [990.0730590820312, 700.1641235351562], [985.7699584960938, 763.592529296875], [990.0730590820312, 736.2029418945312], [987.9215087890625, 749.8977355957031]]"
31,2,00:25:58,46763,10,top,smash,,,"[764, 247]","[[818.5664672851562, 311.8225402832031], [821.4345092773438, 304.64837646484375], [820.00048828125, 308.952880859375], [825.7365112304688, 304.64837646484375], [821.4345092773438, 303.21356201171875], [841.5106811523438, 321.8663024902344], [817.1324462890625, 316.1269836425781], [824.302490234375, 327.6056213378906], [795.6222534179688, 304.64837646484375], [820.00048828125, 304.64837646484375], [766.9419555664062, 287.43048095703125], [834.3406372070312, 389.3031005859375], [820.00048828125, 384.9986572265625], [835.774658203125, 440.95684814453125], [814.2644653320312, 419.4344482421875], [881.6630249023438, 475.39263916015625], [821.4345092773438, 446.6961364746094], [851.5487670898438, 461.0443878173828]]","[[910.8411865234375, 589.8219604492188], [922.3349609375, 582.6355590820312], [907.9677734375, 585.5101318359375], [903.6575927734375, 582.6355590820312], [929.5185546875, 582.6355590820312], [896.4739990234375, 612.8184814453125], [946.75927734375, 614.2557983398438], [886.4169921875, 644.438720703125], [966.8734130859375, 651.6251831054688], [857.6825561523438, 680.3707885742188], [981.2406616210938, 680.3707885742188], [915.1513671875, 690.4317626953125], [951.0694580078125, 684.6826782226562], [872.0497436523438, 736.4248657226562], [981.2406616210938, 730.67578125], [851.9356079101562, 798.22802734375], [1012.8484497070312, 779.5433959960938], [932.3920288085938, 788.8857116699219]]"
31,3,00:25:59,46780,9,bottom,net shot,,,"[701, 615]","[[861.0342407226562, 334.7552185058594], [863.9148559570312, 330.455322265625], [856.7132568359375, 330.455322265625], [871.1165771484375, 333.3219299316406], [850.951904296875, 331.88861083984375], [882.6392822265625, 346.2217102050781], [835.108154296875, 353.3882141113281], [908.5653076171875, 356.2548522949219], [820.7047729492188, 376.3211364746094], [914.3267822265625, 366.2879943847656], [819.2644653320312, 412.15386962890625], [873.997314453125, 402.1207275390625], [842.309814453125, 403.55401611328125], [888.400634765625, 440.8200378417969], [827.906494140625, 445.11993408203125], [886.9602661132812, 478.0860290527344], [820.7047729492188, 479.51934814453125], [853.83251953125, 478.8026885986328]]","[[793.295166015625, 629.6329345703125], [793.295166015625, 625.3283081054688], [793.295166015625, 626.76318359375], [794.7347412109375, 626.76318359375], [817.767578125, 623.8933715820312], [814.8885498046875, 648.2865600585938], [824.9654541015625, 645.416748046875], [835.0423583984375, 674.1146240234375], [804.8116455078125, 664.0703735351562], [826.405029296875, 702.8125], [783.2183227539062, 671.244873046875], [871.0311889648438, 705.6823120117188], [882.5476684570312, 699.9426879882812], [812.0093994140625, 751.598876953125], [830.7236328125, 738.6848754882812], [826.405029296875, 819.0387573242188], [859.5147094726562, 773.1222534179688], [842.9598693847656, 796.0805053710938]]"
31,4,00:26:00,46807,10,top,net shot,,,"[678, 430]","[[777.1423950195312, 428.5956726074219], [781.4529418945312, 422.837890625], [774.2686767578125, 424.27734375], [792.94775390625, 425.716796875], [772.8318481445312, 430.03509521484375], [813.063720703125, 444.4295349121094], [769.9580688476562, 458.8240051269531], [833.1797485351562, 432.91400146484375], [752.7158813476562, 470.33953857421875], [851.8587646484375, 414.20123291015625], [739.7841796875, 474.6578674316406], [823.1217651367188, 517.8411254882812], [791.5109252929688, 517.8411254882812], [844.6744995117188, 563.9033203125], [775.70556640625, 540.8722534179688], [843.2376098632812, 572.5399780273438], [772.8318481445312, 594.131591796875], [808.0347290039062, 583.3357849121094]]","[[779.2227783203125, 603.989501953125], [779.2227783203125, 601.1115112304688], [779.2227783203125, 601.1115112304688], [782.0969848632812, 603.989501953125], [805.0908813476562, 598.2335205078125], [792.1567993164062, 632.76953125], [816.5878295898438, 616.9404907226562], [763.4143676757812, 667.3056030273438], [841.018798828125, 652.9155883789062], [721.7379760742188, 678.817626953125], [833.833251953125, 704.7196655273438], [852.5157470703125, 700.4026489257812], [861.1384887695312, 688.890625], [833.833251953125, 768.0357666015625], [826.6476440429688, 733.4996948242188], [861.1384887695312, 827.0347900390625], [833.833251953125, 782.42578125], [847.4858703613281, 804.7302856445312]]"
31,5,00:26:01,46831,9,bottom,net shot,,,"[677, 564]","[[850.89990234375, 400.2933654785156], [855.1747436523438, 397.41534423828125], [848.050048828125, 395.9762878417969], [866.5744018554688, 397.41534423828125], [848.050048828125, 398.8543395996094], [880.8237915039062, 410.3665466308594], [836.6505126953125, 421.8787841796875], [890.7984619140625, 440.5861511230469], [818.1261596679688, 452.098388671875], [899.34814453125, 463.6106262207031], [811.00146484375, 483.75701904296875], [859.4495849609375, 463.6106262207031], [832.3756713867188, 466.4886474609375], [886.5236206054688, 501.0252990722656], [846.6250610351562, 508.2204895019531], [879.39892578125, 529.805908203125], [833.800537109375, 552.830322265625], [856.5997314453125, 541.318115234375]]","[[703.8443603515625, 599.2045288085938], [699.5439453125, 594.8941040039062], [703.8443603515625, 596.3308715820312], [705.2777709960938, 596.3308715820312], [722.4794311523438, 590.583740234375], [713.878662109375, 615.0093383789062], [732.5137329101562, 607.8253784179688], [743.9815063476562, 623.6301879882812], [758.316162109375, 623.6301879882812], [768.3504028320312, 626.5038452148438], [772.6508178710938, 623.6301879882812], [759.7495727539062, 679.6655883789062], [776.9512939453125, 660.9871215820312], [758.316162109375, 745.758544921875], [739.6810913085938, 678.228759765625], [795.5863647460938, 752.9425659179688], [733.9472045898438, 706.96484375], [764.7667846679688, 729.9537048339844]]"
31,6,00:26:01,46854,10,top,net shot,,,"[828, 467]","[[810.0704956054688, 423.4354248046875], [814.3619384765625, 420.5562438964844], [805.779052734375, 420.5562438964844], [820.0839233398438, 421.9958190917969], [800.0571899414062, 424.875], [828.666748046875, 439.2709655761719], [795.7656860351562, 452.2273254394531], [848.6934814453125, 429.1938171386719], [800.0571899414062, 476.7004089355469], [868.72021484375, 417.67706298828125], [808.6399536132812, 488.21710205078125], [814.3619384765625, 506.93182373046875], [791.4742431640625, 508.3714294433594], [832.9581909179688, 545.8008422851562], [795.7656860351562, 554.4384155273438], [788.6133422851562, 604.8241577148438], [761.4341430664062, 600.50537109375], [775.0237426757812, 602.6647644042969]]","[[804.1094970703125, 561.4884643554688], [802.6792602539062, 555.73486328125], [809.8303833007812, 557.1732788085938], [806.969970703125, 561.4884643554688], [832.7139892578125, 558.6116333007812], [798.3885498046875, 591.6947021484375], [847.0162963867188, 587.3795776367188], [779.795654296875, 620.462646484375], [868.4696044921875, 620.462646484375], [764.0631713867188, 656.4225463867188], [892.783447265625, 656.4225463867188], [804.1094970703125, 662.1760864257812], [838.4348754882812, 662.1760864257812], [795.5281372070312, 711.0814819335938], [855.5975952148438, 719.7118530273438], [766.9237060546875, 765.7405395507812], [844.1558227539062, 751.3565673828125], [805.5397644042969, 758.5485534667969]]"
31,7,00:26:02,46876,9,bottom,push/rush,,,"[1230, 532]","[[935.3270263671875, 384.763916015625], [936.7637939453125, 380.4384765625], [931.0166015625, 380.4384765625], [939.6375122070312, 381.88031005859375], [919.5220336914062, 381.88031005859375], [926.7060546875, 403.5077209472656], [903.717041015625, 403.5077209472656], [935.3270263671875, 422.25152587890625], [879.2911987304688, 430.9024963378906], [952.56884765625, 433.7861633300781], [882.164794921875, 459.7391052246094], [899.4065551757812, 455.4136047363281], [876.4175415039062, 455.4136047363281], [920.9588623046875, 492.9012145996094], [913.7747192382812, 494.3430480957031], [872.1070556640625, 526.0632934570312], [905.1538696289062, 544.8070678710938], [888.6304626464844, 535.4351806640625]]","[[1119.43115234375, 601.6110229492188], [1118.0006103515625, 598.7462768554688], [1119.43115234375, 598.7462768554688], [1096.5419921875, 601.6110229492188], [1119.43115234375, 603.0433959960938], [1082.2362060546875, 623.0964965820312], [1132.3062744140625, 628.8259887695312], [1030.7354736328125, 648.879150390625], [1152.3343505859375, 627.3936157226562], [1025.01318359375, 638.8525390625], [1168.0706787109375, 620.2318115234375], [1083.666748046875, 688.9853515625], [1122.292236328125, 690.4177856445312], [1050.7635498046875, 737.6858520507812], [1145.1815185546875, 701.8766479492188], [1006.4157104492188, 767.7655029296875], [1175.2236328125, 737.6858520507812], [1090.8196716308594, 752.7256774902344]]"
31,8,00:26:03,46900,10,top,drop,,,"[1198, 307]","[[1087.0302734375, 333.1619873046875], [1084.1539306640625, 330.2948303222656], [1082.7158203125, 331.7284240722656], [1064.0198974609375, 338.8963317871094], [1076.9632568359375, 337.4627380371094], [1052.5147705078125, 358.9665222167969], [1091.3447265625, 366.1344299316406], [1023.7518310546875, 379.0367126464844], [1124.4219970703125, 370.4352111816406], [1017.999267578125, 399.1069030761719], [1158.9375, 369.0016174316406], [1051.07666015625, 427.778564453125], [1081.277587890625, 429.2121887207031], [1038.13330078125, 457.8838806152344], [1108.6024169921875, 434.9465026855469], [1017.999267578125, 492.2899169921875], [1117.231201171875, 479.3876647949219], [1067.615234375, 485.8387908935547]]","[[1040.119384765625, 590.9352416992188], [1050.1790771484375, 583.742919921875], [1038.6822509765625, 586.6198120117188], [1032.933837890625, 583.742919921875], [1057.3646240234375, 582.3043823242188], [1022.8742065429688, 611.07373046875], [1074.6097412109375, 612.51220703125], [988.3837890625, 644.1583862304688], [1093.2919921875, 645.5968627929688], [959.641845703125, 670.05078125], [1117.72265625, 678.6815185546875], [1040.119384765625, 685.8738403320312], [1077.48388671875, 684.4354248046875], [1020.0, 736.2201538085938], [1103.3516845703125, 727.58935546875], [1021.4370727539062, 803.8280029296875], [1126.3453369140625, 786.5663452148438], [1073.8912048339844, 795.1971740722656]]"
31,9,00:26:04,46926,9,bottom,net shot,,,"[1261, 661]","[[1079.2801513671875, 339.53594970703125], [1082.14794921875, 335.2379150390625], [1074.9786376953125, 335.2379150390625], [1085.015625, 336.6706237792969], [1066.375244140625, 335.2379150390625], [1083.581787109375, 353.8627014160156], [1050.6026611328125, 350.9973449707031], [1086.4495849609375, 373.920166015625], [1019.0574951171875, 366.7568054199219], [1096.4866943359375, 401.1409912109375], [1009.0203247070312, 395.4103088378906], [1041.9993896484375, 393.97760009765625], [1021.9251708984375, 393.97760009765625], [1060.6397705078125, 429.79449462890625], [1030.5284423828125, 439.8232116699219], [1044.8671875, 475.64007568359375], [1014.7557983398438, 497.1302185058594], [1029.8114929199219, 486.38514709472656]]","[[1165.666015625, 651.6405029296875], [1180.000732421875, 648.766845703125], [1162.799072265625, 650.2036743164062], [1162.799072265625, 645.8931884765625], [1185.734619140625, 653.0773315429688], [1145.597412109375, 660.2615356445312], [1187.1680908203125, 684.6876831054688], [1102.59326171875, 661.6983642578125], [1195.7689208984375, 706.2401733398438], [1071.056884765625, 660.2615356445312], [1208.670166015625, 714.8612060546875], [1129.8292236328125, 733.5400390625], [1168.532958984375, 740.7241821289062], [1092.5589599609375, 788.1397094726562], [1190.0350341796875, 729.2295532226562], [1059.589111328125, 821.1868286132812], [1207.2366943359375, 782.3923950195312], [1133.4129028320312, 801.7896118164062]]"
31,10,00:26:05,46953,10,top,net shot,,,"[1167, 406]","[[1136.4832763671875, 409.90313720703125], [1139.3524169921875, 408.4677734375], [1130.744873046875, 407.0323486328125], [1142.2215576171875, 414.2093811035156], [1120.7027587890625, 411.33856201171875], [1132.179443359375, 435.7405090332031], [1117.8336181640625, 434.30511474609375], [1126.441162109375, 475.93194580078125], [1132.179443359375, 464.44866943359375], [1122.1373291015625, 508.94635009765625], [1120.7027587890625, 510.3817443847656], [1113.5299072265625, 500.3338928222656], [1099.18408203125, 497.4630432128906], [1104.92236328125, 549.1377563476562], [1132.179443359375, 521.864990234375], [1063.3194580078125, 553.4440307617188], [1150.8291015625, 585.02294921875], [1107.0742797851562, 569.2334899902344]]","[[1075.4757080078125, 586.3317260742188], [1062.5826416015625, 607.8762817382812], [1064.01513671875, 613.6214599609375], [1064.01513671875, 609.3125610351562], [1088.368896484375, 610.7488403320312], [1045.3917236328125, 630.8571166992188], [1098.3968505859375, 643.7838134765625], [1005.27978515625, 648.0927734375], [1112.7225341796875, 685.4365844726562], [978.06103515625, 665.328369140625], [1125.61572265625, 718.4715576171875], [1038.2288818359375, 705.5447998046875], [1074.043212890625, 706.9811401367188], [1012.4426879882812, 750.0702514648438], [1109.857421875, 752.9428100585938], [983.7913208007812, 800.3408813476562], [1112.7225341796875, 814.703857421875], [1048.2569274902344, 807.5223693847656]]"
