rally,ball_round,time,frame_num,player,pos,type,lose_reason,getpoint_player,ball,top,bottom
17,1,01:07:12,120971,4,bottom,short service,,,"[941, 441]","[[977.5216064453125, 370.8447265625], [981.7785034179688, 366.5336608886719], [973.2647094726562, 365.09661865234375], [987.4542846679688, 370.8447265625], [967.5888061523438, 367.9706726074219], [993.1301879882812, 395.2740478515625], [954.8181762695312, 390.9630432128906], [1001.6439819335938, 416.82940673828125], [932.1146240234375, 405.333251953125], [995.9680786132812, 436.9477233886719], [936.3715209960938, 426.8885498046875], [986.035400390625, 451.31793212890625], [963.3318481445312, 449.8808898925781], [993.1301879882812, 487.2434997558594], [967.5888061523438, 492.9916076660156], [988.873291015625, 514.546875], [973.2647094726562, 537.539306640625], [981.0690002441406, 526.0430908203125]]","[[803.170654296875, 577.2879028320312], [778.8383178710938, 570.1087646484375], [801.7393798828125, 574.4161987304688], [778.8383178710938, 574.4161987304688], [801.7393798828125, 575.85205078125], [761.6624755859375, 598.8253784179688], [807.4646606445312, 598.8253784179688], [734.4673461914062, 623.2344970703125], [846.1102905273438, 628.977783203125], [750.2118530273438, 608.8761596679688], [843.2476806640625, 627.5419921875], [754.505859375, 676.3602294921875], [783.1322021484375, 679.23193359375], [778.8383178710938, 723.74267578125], [781.700927734375, 735.2293701171875], [783.1322021484375, 773.996826171875], [763.09375, 801.277587890625], [773.1129760742188, 787.63720703125]]"
17,2,01:07:13,120995,34,top,drive,,,"[713, 456]","[[979.5567016601562, 388.7806396484375], [982.40576171875, 384.4668884277344], [975.282958984375, 384.4668884277344], [989.5286254882812, 387.3427429199219], [971.00927734375, 387.3427429199219], [996.6514282226562, 408.91156005859375], [956.763671875, 408.91156005859375], [1009.4724731445312, 430.4803161621094], [942.51806640625, 433.356201171875], [1012.3215942382812, 450.6112365722656], [935.3952026367188, 463.552490234375], [969.584716796875, 450.6112365722656], [949.6408081054688, 450.6112365722656], [986.679443359375, 480.80755615234375], [953.9144897460938, 486.5592346191406], [980.981201171875, 518.1934814453125], [941.0933837890625, 529.6968383789062], [961.0372924804688, 523.9451599121094]]","[[781.9398803710938, 580.046630859375], [783.3652954101562, 577.1785888671875], [783.3652954101562, 575.7445068359375], [787.6415405273438, 580.046630859375], [807.5973510742188, 580.046630859375], [796.1940307617188, 601.5573120117188], [811.8735961914062, 598.6892700195312], [796.1940307617188, 628.8042602539062], [799.0448608398438, 627.3702392578125], [769.1110229492188, 646.0128173828125], [777.6635131835938, 584.3488159179688], [831.8294067382812, 670.3916015625], [850.35986328125, 664.6554565429688], [779.0890502929688, 711.97900390625], [828.9785766601562, 689.0342407226562], [804.7465209960938, 763.6046752929688], [846.0836181640625, 724.8854370117188], [825.4150695800781, 744.2450561523438]]"
17,3,01:07:14,121020,4,bottom,drive,,,"[739, 392]","[[853.25, 380.478515625], [858.9815673828125, 377.609375], [854.682861328125, 376.17474365234375], [869.0115966796875, 381.9131164550781], [871.8772583007812, 381.9131164550781], [871.8772583007812, 400.56280517578125], [860.4143676757812, 406.3011474609375], [891.9374389648438, 419.2124938964844], [848.951416015625, 416.3432922363281], [909.1318359375, 436.42755126953125], [830.3241577148438, 422.0816345214844], [886.2059936523438, 453.6426086425781], [873.3101806640625, 450.7734680175781], [886.2059936523438, 499.54949951171875], [851.8171997070312, 453.6426086425781], [929.19189453125, 511.0262756347656], [843.219970703125, 488.07281494140625], [886.2059326171875, 499.54954528808594]]","[[843.7883911132812, 599.7916870117188], [829.4160766601562, 589.7059936523438], [832.2905883789062, 591.1467895507812], [829.4160766601562, 591.1467895507812], [853.8489379882812, 591.1467895507812], [820.7928466796875, 621.4038696289062], [873.9700317382812, 617.0814208984375], [797.7973022460938, 653.1017456054688], [901.2772827148438, 655.9833374023438], [777.6760864257812, 679.0363159179688], [902.7144775390625, 674.7138671875], [845.2255859375, 692.0036010742188], [879.7188720703125, 689.1220092773438], [807.8578491210938, 738.1095581054688], [898.4027709960938, 729.4646606445312], [809.2950439453125, 804.3869018554688], [928.5845336914062, 787.09716796875], [868.9397888183594, 795.7420349121094]]"
17,4,01:07:14,121034,34,top,drive,,,"[748, 542]","[[884.3473510742188, 376.0860290527344], [887.20703125, 373.21533203125], [881.4877319335938, 373.21533203125], [895.7860717773438, 374.6507263183594], [877.1981811523438, 376.0860290527344], [910.0843505859375, 393.3101501464844], [874.3385009765625, 394.7455139160156], [932.9617919921875, 404.79296875], [864.3297119140625, 422.01708984375], [947.2600708007812, 429.1938171386719], [861.4700317382812, 449.28863525390625], [912.944091796875, 429.1938171386719], [887.20703125, 432.06451416015625], [927.242431640625, 459.3360595703125], [865.759521484375, 466.5128173828125], [940.1109008789062, 502.39642333984375], [855.7506713867188, 508.1378173828125], [897.9307861328125, 505.2671203613281]]","[[797.6280517578125, 610.3831176757812], [797.6280517578125, 606.077880859375], [799.0584106445312, 606.077880859375], [800.4887084960938, 611.8182373046875], [823.3735961914062, 613.2533569335938], [800.4887084960938, 640.5200805664062], [823.3735961914062, 637.64990234375], [810.5008544921875, 676.3973999023438], [786.1856689453125, 652.0008544921875], [790.4765625, 707.9694213867188], [786.1856689453125, 654.8710327148438], [814.791748046875, 716.5800170898438], [843.3978271484375, 716.5800170898438], [771.8826904296875, 765.3731689453125], [869.1432495117188, 771.1135864257812], [777.6038208007812, 837.1278076171875], [914.9129638671875, 821.3417358398438], [846.2583923339844, 829.2347717285156]]"
17,5,01:07:15,121052,4,bottom,net shot,,,"[922, 435]","[[942.5342407226562, 398.4835205078125], [943.962890625, 394.16827392578125], [938.248046875, 395.606689453125], [949.677734375, 395.606689453125], [932.533203125, 399.92193603515625], [955.3926391601562, 414.30609130859375], [935.390625, 418.621337890625], [968.2510986328125, 405.67559814453125], [943.962890625, 434.4439392089844], [983.9669799804688, 388.4145812988281], [963.9649047851562, 441.635986328125], [946.8203125, 468.9659118652344], [925.3895874023438, 468.9659118652344], [959.6787719726562, 493.41900634765625], [932.533203125, 502.0494689941406], [959.6787719726562, 514.9952392578125], [931.1044311523438, 543.7635498046875], [945.3916015625, 529.37939453125]]","[[864.5225219726562, 619.783203125], [850.12646484375, 611.1499633789062], [858.7640380859375, 618.3442993164062], [851.5660400390625, 611.1499633789062], [876.039306640625, 611.1499633789062], [845.8076782226562, 639.9274291992188], [899.0729370117188, 635.6107788085938], [825.6531982421875, 675.8992309570312], [927.8649291992188, 670.1437377929688], [814.1363525390625, 713.3099365234375], [930.744140625, 694.6045532226562], [867.4017333984375, 711.8710327148438], [903.3917236328125, 711.8710327148438], [827.0928344726562, 750.7206420898438], [899.0729370117188, 740.6484985351562], [799.7404174804688, 814.031005859375], [917.7877807617188, 806.8366088867188], [858.7640991210938, 810.4338073730469]]"
17,6,01:07:16,121080,34,top,net shot,,,"[1284, 572]","[[1030.82958984375, 391.1446228027344], [1032.2576904296875, 386.8267517089844], [1025.1175537109375, 385.387451171875], [1035.11376953125, 388.2660217285156], [1016.5494384765625, 386.8267517089844], [1032.2576904296875, 406.97686767578125], [1003.6972045898438, 406.97686767578125], [1043.681884765625, 427.126953125], [986.5608520507812, 434.3234558105469], [1062.2462158203125, 447.277099609375], [977.9927368164062, 465.9879455566406], [1003.6972045898438, 445.8377990722656], [986.5608520507812, 445.8377990722656], [1019.4054565429688, 473.18438720703125], [1002.2691650390625, 481.8201599121094], [1012.2653198242188, 510.6060485839844], [999.4131469726562, 529.31689453125], [1005.8392333984375, 519.9614715576172]]","[[1190.0966796875, 645.19580078125], [1188.6624755859375, 639.4450073242188], [1188.6624755859375, 640.8826904296875], [1165.7152099609375, 638.00732421875], [1185.7940673828125, 646.6334838867188], [1141.3336181640625, 643.758056640625], [1180.0572509765625, 673.9496459960938], [1105.478515625, 648.0711669921875], [1205.8729248046875, 701.2658081054688], [1073.92578125, 649.5088500976562], [1227.3861083984375, 694.0773315429688], [1104.0443115234375, 717.0804443359375], [1138.4652099609375, 719.9558715820312], [1073.92578125, 755.8981323242188], [1175.754638671875, 694.0773315429688], [1042.3731689453125, 778.9013061523438], [1181.491455078125, 741.521240234375], [1111.9323120117188, 760.2112731933594]]"
17,7,01:07:16,121108,4,bottom,net shot,,,"[1189, 484]","[[1166.33544921875, 480.9278259277344], [1164.8990478515625, 476.61004638671875], [1162.0262451171875, 476.61004638671875], [1146.225830078125, 478.0492858886719], [1149.0986328125, 479.48858642578125], [1131.86181640625, 488.1241455078125], [1147.6622314453125, 505.3952941894531], [1113.1885986328125, 491.0026550292969], [1160.58984375, 528.4235229492188], [1087.3333740234375, 495.3204650878906], [1186.445068359375, 552.8909912109375], [1100.260986328125, 528.4235229492188], [1113.1885986328125, 535.6198120117188], [1093.0789794921875, 558.6480712890625], [1140.480224609375, 547.1339111328125], [1157.717041015625, 593.1903686523438], [1156.2806396484375, 590.3118896484375], [1156.9988403320312, 591.7511291503906]]","[[1069.824462890625, 585.7350463867188], [1071.256591796875, 581.4320068359375], [1072.688720703125, 582.8663330078125], [1072.688720703125, 585.7350463867188], [1095.6031494140625, 585.7350463867188], [1065.5279541015625, 615.856201171875], [1115.6531982421875, 611.5531616210938], [1054.0709228515625, 660.3207397460938], [1135.7032470703125, 653.1490478515625], [1048.3421630859375, 690.44189453125], [1139.999755859375, 687.5731811523438], [1098.4674072265625, 681.8358154296875], [1128.54248046875, 678.9671630859375], [1059.7994384765625, 732.0377807617188], [1109.924560546875, 706.2196044921875], [1084.14599609375, 792.2800903320312], [1128.54248046875, 759.2902221679688], [1106.34423828125, 775.78515625]]"
17,8,01:07:17,121138,34,top,drive,,,"[716, 461]","[[1008.3863525390625, 415.6009216308594], [1014.1046752929688, 412.7305603027344], [1006.9568481445312, 412.7305603027344], [1024.111572265625, 415.6009216308594], [1002.668212890625, 414.16571044921875], [1031.2593994140625, 435.6932067871094], [991.2316284179688, 435.6932067871094], [1046.984619140625, 465.8316650390625], [981.2247314453125, 462.9613342285156], [1054.1324462890625, 494.5350036621094], [979.795166015625, 490.2294921875], [1011.2455444335938, 473.0074768066406], [986.9429931640625, 470.13714599609375], [1028.4002685546875, 506.0163269042969], [981.2247314453125, 503.14599609375], [1018.3933715820312, 531.8493041992188], [954.0630493164062, 540.4602661132812], [986.2282104492188, 536.15478515625]]","[[808.994384765625, 573.1498413085938], [811.8646240234375, 570.2841186523438], [811.8646240234375, 568.8511962890625], [816.1700439453125, 576.0156860351562], [834.82666015625, 580.3143310546875], [823.3456420898438, 603.2406005859375], [837.6969604492188, 594.6431884765625], [846.3077392578125, 629.0325927734375], [801.8187255859375, 581.7472534179688], [846.3077392578125, 660.55615234375], [780.291748046875, 565.9854736328125], [856.3535766601562, 667.7205810546875], [869.269775390625, 657.6903686523438], [862.0941162109375, 730.7677612304688], [808.994384765625, 649.093017578125], [913.7587280273438, 733.633544921875], [798.948486328125, 694.9454956054688], [856.3536071777344, 714.2895202636719]]"
17,9,01:07:19,121170,4,bottom,drive,,,"[699, 407]","[[818.9721069335938, 382.1971740722656], [823.2910766601562, 377.88006591796875], [820.4117431640625, 377.88006591796875], [833.3687133789062, 380.7581481933594], [837.6876831054688, 382.1971740722656], [830.4894409179688, 395.14837646484375], [826.1704711914062, 399.4654846191406], [842.0066528320312, 409.5386657714844], [826.1704711914062, 422.4898986816406], [829.0497436523438, 422.4898986816406], [811.7738037109375, 432.5630798339844], [852.0843505859375, 444.07525634765625], [865.0413818359375, 442.6362609863281], [852.0843505859375, 488.6850891113281], [853.5240478515625, 487.24609375], [892.3949584960938, 494.441162109375], [899.5933227539062, 493.0021667480469], [895.994140625, 493.72166442871094]]","[[796.1121826171875, 595.234130859375], [797.53857421875, 593.7970581054688], [824.6402587890625, 593.7970581054688], [798.9649047851562, 595.234130859375], [824.6402587890625, 593.7970581054688], [797.53857421875, 622.5377197265625], [846.0363159179688, 613.91552734375], [783.2745361328125, 658.4635620117188], [871.711669921875, 648.4043579101562], [773.2897338867188, 677.14501953125], [881.6964111328125, 658.4635620117188], [847.4627075195312, 690.0783081054688], [875.9909057617188, 682.8931274414062], [817.5082397460938, 741.8115234375], [861.726806640625, 714.5078735351562], [854.5947875976562, 800.7298583984375], [871.711669921875, 767.6781005859375], [863.1532287597656, 784.2039794921875]]"
17,10,01:07:19,121188,34,top,net shot,,,"[734, 466]","[[876.5628662109375, 364.3089904785156], [879.4269409179688, 360.0072021484375], [872.2667846679688, 361.4411315917969], [886.5870971679688, 362.87506103515625], [867.970703125, 362.87506103515625], [899.475341796875, 381.51617431640625], [860.810546875, 384.384033203125], [918.0916748046875, 403.025146484375], [852.2184448242188, 408.7608947753906], [923.8197021484375, 425.96807861328125], [846.4902954101562, 433.1377258300781], [895.17919921875, 418.79840087890625], [872.2667846679688, 420.2323303222656], [912.3635864257812, 454.6466979980469], [860.810546875, 450.3448791503906], [913.7955932617188, 491.92889404296875], [853.6504516601562, 497.6646423339844], [883.7230224609375, 494.79676818847656]]","[[738.2599487304688, 601.633056640625], [741.1212768554688, 598.7521362304688], [739.690673828125, 598.7521362304688], [745.4132080078125, 604.513916015625], [742.5519409179688, 604.513916015625], [772.5956420898438, 640.5250854492188], [738.2599487304688, 620.3588256835938], [804.0701293945312, 677.9767456054688], [696.77099609375, 603.0734252929688], [796.9168090820312, 709.6665649414062], [666.7272338867188, 585.7881469726562], [786.9021606445312, 716.8688354492188], [768.3037719726562, 713.9879760742188], [769.734375, 773.0463256835938], [749.7052001953125, 765.8441162109375], [798.347412109375, 843.6282958984375], [791.1941528320312, 813.3787841796875], [794.7707824707031, 828.5035400390625]]"
