rally,ball_round,time,frame_num,player,pos,type,lose_reason,getpoint_player,ball,top,bottom
19,2,01:12:32,130583,27,top,net shot,,,"[905, 512]","[[885.7015380859375, 324.7963562011719], [888.5783081054688, 320.4736328125], [881.3863525390625, 321.9145202636719], [894.3318481445312, 321.9145202636719], [877.0711669921875, 323.3554382324219], [905.8389892578125, 332.00091552734375], [875.6327514648438, 337.7645568847656], [931.7301025390625, 344.9691162109375], [865.5640258789062, 350.7327880859375], [940.3604736328125, 372.34649658203125], [861.2488403320312, 370.905517578125], [917.34619140625, 370.905517578125], [895.770263671875, 372.34649658203125], [918.7845458984375, 404.0465087890625], [885.7015380859375, 406.9283447265625], [933.1685180664062, 448.71478271484375], [879.9479370117188, 450.1557312011719], [906.5582275390625, 449.4352569580078]]","[[801.8649291992188, 517.6585693359375], [806.1597900390625, 513.335205078125], [800.4331665039062, 511.8940734863281], [799.0015869140625, 511.8940734863281], [820.4763793945312, 517.6585693359375], [780.3899536132812, 540.716796875], [827.6347045898438, 543.5990600585938], [770.3684692382812, 562.3339233398438], [827.6347045898438, 527.74658203125], [740.3035888671875, 586.833251953125], [831.9296264648438, 521.9820556640625], [774.663330078125, 625.7439575195312], [809.0231323242188, 624.3027954101562], [756.0518798828125, 684.8306274414062], [807.591552734375, 656.0078735351562], [763.2100830078125, 725.1824951171875], [804.7282104492188, 696.3597412109375], [783.9691467285156, 710.7711181640625]]"
19,3,01:12:33,130615,28,bottom,push/rush,,,"[1220, 482]","[[1108.4525146484375, 403.8432312011719], [1109.8892822265625, 400.97735595703125], [1102.7052001953125, 399.54443359375], [1109.8892822265625, 403.8432312011719], [1092.6475830078125, 400.97735595703125], [1105.578857421875, 429.6360778808594], [1073.9688720703125, 421.0384826660156], [1127.131103515625, 451.130126953125], [1049.54296875, 409.574951171875], [1155.867431640625, 468.3253479003906], [984.8862915039062, 496.98406982421875], [1079.7161865234375, 465.4595031738281], [1052.416748046875, 461.16064453125], [1109.8892822265625, 478.3559265136719], [1023.6803588867188, 484.087646484375], [1127.131103515625, 522.7769165039062], [1127.131103515625, 522.7769165039062], [1127.131103515625, 522.7769165039062]]","[[947.1617431640625, 503.10321044921875], [952.8720092773438, 497.3470764160156], [942.8790283203125, 497.3470764160156], [938.5962524414062, 500.22515869140625], [965.7202758789062, 500.22515869140625], [925.7479858398438, 526.1277465820312], [979.9961547851562, 534.761962890625], [902.9066162109375, 529.0057983398438], [1002.8375244140625, 575.0548706054688], [894.3411254882812, 531.8838500976562], [1005.692626953125, 579.3719482421875], [934.3134765625, 615.3477783203125], [971.4306640625, 615.3477783203125], [920.0376586914062, 684.4213256835938], [974.2857666015625, 681.5432739257812], [930.03076171875, 737.66552734375], [985.7064819335938, 736.2265014648438], [957.8686218261719, 736.9460144042969]]"
19,4,01:12:35,130659,27,top,drive,,,"[555, 577]","[[866.6532592773438, 348.8446044921875], [869.5294799804688, 344.52581787109375], [862.3387451171875, 344.52581787109375], [878.158447265625, 345.96539306640625], [859.46240234375, 345.96539306640625], [893.9782104492188, 358.9217834472656], [858.0242919921875, 361.8009948730469], [919.8650512695312, 367.5594177246094], [843.6426391601562, 377.6365966796875], [918.4268798828125, 396.3514099121094], [840.7662963867188, 380.5158386230469], [901.1689453125, 394.91180419921875], [878.158447265625, 396.3514099121094], [904.0452880859375, 429.46221923828125], [856.5861206054688, 428.0226135253906], [918.4268798828125, 475.5294189453125], [862.3387451171875, 466.89178466796875], [890.3828125, 471.2106018066406]]","[[727.3743286132812, 683.1436157226562], [734.5546875, 680.2669067382812], [730.2464599609375, 677.39013671875], [751.7875366210938, 687.4588012695312], [748.9153442382812, 688.8971557617188], [787.6892700195312, 727.7332153320312], [720.1939697265625, 717.6646118164062], [803.4860229492188, 763.6925659179688], [655.57080078125, 723.4180908203125], [813.53857421875, 796.775146484375], [609.6165161132812, 719.1029663085938], [786.2532348632812, 818.3507080078125], [747.479248046875, 809.720458984375], [770.4564819335938, 887.3927001953125], [704.3971557617188, 847.1182250976562], [823.5910034179688, 881.63916015625], [691.4725952148438, 923.3519897460938], [757.5317993164062, 902.4955749511719]]"
19,5,01:12:35,130679,28,bottom,push/rush,,,"[658, 293]","[[772.1087646484375, 337.7975158691406], [776.3898315429688, 334.9245910644531], [770.6817626953125, 333.4881286621094], [784.9520263671875, 340.6704406738281], [767.8277587890625, 334.9245910644531], [779.2439575195312, 360.7809143066406], [769.2547607421875, 356.4715576171875], [762.11962890625, 350.7256774902344], [742.1414184570312, 333.4881286621094], [742.1414184570312, 333.4881286621094], [742.1414184570312, 333.4881286621094], [799.22216796875, 418.2394714355469], [809.2113037109375, 413.9300842285156], [764.9736938476562, 452.7145690917969], [792.0870971679688, 446.96875], [750.7034912109375, 494.3720397949219], [829.1896362304688, 464.206298828125], [789.9465637207031, 479.28916931152344]]","[[801.7928466796875, 599.884765625], [777.3969116210938, 597.0107421875], [794.6175537109375, 595.57373046875], [780.2669677734375, 599.884765625], [808.9680786132812, 599.884765625], [773.0917358398438, 640.1212768554688], [831.9290161132812, 628.6251831054688], [740.08544921875, 677.4837646484375], [869.2404174804688, 670.2986450195312], [699.9039306640625, 704.787109375], [870.6754150390625, 686.1058349609375], [817.5784301757812, 729.21630859375], [853.454833984375, 729.21630859375], [787.4423217773438, 791.008056640625], [834.799072265625, 775.200927734375], [817.5784301757812, 855.673828125], [857.7598876953125, 832.6815795898438], [837.6691589355469, 844.1777038574219]]"
19,6,01:12:36,130706,27,top,clear,,,"[575, 172]","[[790.2256469726562, 336.8848571777344], [794.508544921875, 332.5629577636719], [787.3703002929688, 332.5629577636719], [804.5020141601562, 332.5629577636719], [784.5150146484375, 334.00360107421875], [815.923095703125, 349.85052490234375], [791.6532592773438, 349.85052490234375], [843.0482788085938, 367.1380920410156], [788.7979125976562, 355.613037109375], [840.1929321289062, 400.2725524902344], [770.2387084960938, 364.2568359375], [837.337646484375, 378.6631164550781], [815.923095703125, 387.3069152832031], [835.9100341796875, 433.4070739746094], [803.0743408203125, 424.7632751464844], [851.614013671875, 478.06658935546875], [794.508544921875, 467.9822082519531], [823.061279296875, 473.02439880371094]]","[[658.1531982421875, 564.267822265625], [665.3529663085938, 559.9537963867188], [661.0331420898438, 558.5158081054688], [682.6324462890625, 570.019775390625], [682.6324462890625, 570.019775390625], [705.671630859375, 604.5317993164062], [655.2733154296875, 582.9617919921875], [730.1508178710938, 637.6057739257812], [629.3541870117188, 570.019775390625], [751.7501831054688, 659.17578125], [603.43505859375, 554.2017822265625], [712.8713989257812, 677.8697509765625], [682.6324462890625, 677.8697509765625], [721.5111083984375, 749.7697143554688], [671.11279296875, 738.2657470703125], [754.6300048828125, 805.8517456054688], [675.4326782226562, 798.6617431640625], [715.0313415527344, 802.2567443847656]]"
19,7,01:12:38,130742,28,bottom,clear,,,"[665, 163]","[[687.1482543945312, 281.04412841796875], [690.0206909179688, 279.604248046875], [684.2757568359375, 279.604248046875], [697.201904296875, 276.72442626953125], [681.4032592773438, 286.8037414550781], [700.0743408203125, 230.64761352539062], [707.2554931640625, 291.1234436035156], [708.6917724609375, 262.3254089355469], [658.4235229492188, 263.7653503417969], [702.94677734375, 230.64761352539062], [675.6583862304688, 276.72442626953125], [714.4367065429688, 340.0800476074219], [734.5440063476562, 332.88055419921875], [698.6381225585938, 370.3179931640625], [761.8323974609375, 360.2386474609375], [776.1947631835938, 403.4356994628906], [776.1947631835938, 403.4356994628906], [776.1947631835938, 403.4356994628906]]","[[822.4434814453125, 542.2186279296875], [795.238525390625, 537.897216796875], [818.1480102539062, 537.897216796875], [796.6703491210938, 540.7781372070312], [819.579833984375, 537.897216796875], [793.806640625, 571.028076171875], [842.4893188476562, 565.2661743164062], [747.9877319335938, 604.158935546875], [875.421630859375, 602.718505859375], [729.373779296875, 596.9566040039062], [881.1490478515625, 620.004150390625], [821.0116577148438, 668.980224609375], [855.3759155273438, 663.2183837890625], [799.5340576171875, 726.5991821289062], [851.080322265625, 719.3968505859375], [815.2843017578125, 795.7418823242188], [869.6943359375, 779.8966674804688], [842.4893188476562, 787.8192749023438]]"
19,8,01:12:39,130770,27,top,clear,,,"[553, 538]","[[767.0477294921875, 300.7623596191406], [769.9209594726562, 296.4399719238281], [762.73779296875, 296.4399719238281], [777.104248046875, 297.8807678222656], [758.4279174804688, 299.321533203125], [790.0339965820312, 310.84783935546875], [759.864501953125, 318.0517883300781], [813.0203247070312, 326.6965026855469], [749.8079833984375, 333.900390625], [818.7669067382812, 351.1898193359375], [742.6248168945312, 352.6306457519531], [798.6538696289062, 355.5121765136719], [774.2310180664062, 356.9529724121094], [801.5271606445312, 388.6502685546875], [774.2310180664062, 391.5318298339844], [797.2172241210938, 421.7883605957031], [774.2310180664062, 434.7554016113281], [785.72412109375, 428.2718811035156]]","[[661.9046020507812, 567.0966186523438], [669.0718994140625, 564.2246704101562], [663.3380737304688, 562.7886962890625], [683.406494140625, 574.2765502929688], [683.406494140625, 572.840576171875], [706.3418579101562, 608.7401123046875], [657.604248046875, 590.0723266601562], [735.0110473632812, 634.5877685546875], [628.9349975585938, 580.0204467773438], [753.6460571289062, 656.1275024414062], [600.2658081054688, 568.5325927734375], [716.3760986328125, 683.4111328125], [680.5396118164062, 677.6671752929688], [732.1441650390625, 745.1583862304688], [654.7373046875, 733.6705322265625], [757.9464721679688, 795.4176635742188], [638.96923828125, 796.8536376953125], [698.4578552246094, 796.1356506347656]]"
19,9,01:12:40,130806,28,bottom,drop,,,"[735, 180]","[[715.0017700195312, 286.8240966796875], [715.0017700195312, 281.0762939453125], [713.5772094726562, 283.9501953125], [720.699951171875, 279.63934326171875], [713.5772094726562, 285.38714599609375], [734.9454956054688, 285.38714599609375], [719.275390625, 302.6305236816406], [747.7664794921875, 296.8827209472656], [734.9454956054688, 312.68914794921875], [717.8508911132812, 302.6305236816406], [747.7664794921875, 294.0088195800781], [766.28564453125, 337.1172790527344], [746.3419189453125, 344.302001953125], [796.2012329101562, 361.5453796386719], [727.8226928710938, 377.351806640625], [796.2012329101562, 401.7799072265625], [705.0299072265625, 403.21685791015625], [750.6155700683594, 402.4983825683594]]","[[823.4010620117188, 558.4187622070312], [801.8939208984375, 552.6578979492188], [820.5333862304688, 552.6578979492188], [806.1953125, 555.538330078125], [830.570068359375, 554.0980834960938], [799.0263061523438, 584.3428955078125], [853.510986328125, 584.3428955078125], [744.5415649414062, 601.6256103515625], [887.92236328125, 626.1095581054688], [725.9021606445312, 591.5440673828125], [890.7899780273438, 631.8704833984375], [826.2686767578125, 680.8382568359375], [866.415283203125, 679.3980712890625], [794.7249145507812, 732.6865844726562], [870.7166748046875, 726.9256591796875], [806.1953125, 801.8175659179688], [893.6575927734375, 780.214111328125], [849.9264526367188, 791.0158386230469]]"
19,10,01:12:41,130836,27,top,net shot,,,"[627, 630]","[[795.2826538085938, 298.5851135253906], [798.1290893554688, 294.2763671875], [791.0128784179688, 295.7126159667969], [805.2453002929688, 294.2763671875], [786.7432250976562, 295.7126159667969], [823.747314453125, 311.5113220214844], [788.1664428710938, 315.8200378417969], [846.5191650390625, 333.0549621582031], [783.896728515625, 333.0549621582031], [856.4817504882812, 351.72613525390625], [776.780517578125, 351.72613525390625], [839.4029541015625, 348.8536376953125], [816.6311645507812, 348.8536376953125], [829.4403076171875, 389.0684814453125], [813.7847290039062, 390.5047302246094], [839.4029541015625, 429.2833251953125], [830.863525390625, 420.6658630371094], [835.1332397460938, 424.97459411621094]]","[[725.416259765625, 613.1949462890625], [723.9823608398438, 608.8865356445312], [723.9823608398438, 607.4503784179688], [732.5855712890625, 607.4503784179688], [745.4903564453125, 598.8335571289062], [754.0935668945312, 623.2479248046875], [761.262939453125, 626.1201782226562], [754.0935668945312, 672.07666015625], [779.9031372070312, 666.3320922851562], [732.5855712890625, 702.235595703125], [736.8871459960938, 697.9271850585938], [831.522216796875, 640.4815673828125], [838.6915893554688, 630.4286499023438], [863.0672607421875, 700.7994384765625], [777.035400390625, 653.4068603515625], [916.120361328125, 736.7029418945312], [769.8660278320312, 707.9801635742188], [842.9931945800781, 722.341552734375]]"
19,11,01:12:42,130868,28,bottom,push/rush,,,"[654, 373]","[[745.0880737304688, 388.4975891113281], [749.3883056640625, 382.75628662109375], [743.6546630859375, 382.75628662109375], [757.98876953125, 385.6269226074219], [740.7877807617188, 385.6269226074219], [762.2890014648438, 404.28607177734375], [746.521484375, 405.7214050292969], [753.6885375976562, 415.7686462402344], [743.6546630859375, 424.3805847167969], [745.0880737304688, 421.50994873046875], [740.7877807617188, 425.81585693359375], [782.3568115234375, 458.8282165527344], [760.8555908203125, 457.39288330078125], [759.4221801757812, 480.3580627441406], [747.9548950195312, 493.2759094238281], [750.8217163085938, 526.2882690429688], [785.2236938476562, 506.1937561035156], [768.022705078125, 516.2410125732422]]","[[797.3031005859375, 525.6832275390625], [801.58642578125, 521.3785400390625], [825.8585205078125, 517.0738525390625], [804.4419555664062, 525.6832275390625], [827.2862548828125, 519.9436645507812], [805.8696899414062, 558.6856689453125], [850.130615234375, 542.90185546875], [791.592041015625, 595.9928588867188], [881.54150390625, 578.774169921875], [777.3143310546875, 594.5579833984375], [890.108154296875, 606.037109375], [864.4083251953125, 633.2999877929688], [887.2525634765625, 621.8208618164062], [847.2750244140625, 693.5654296875], [862.9805297851562, 670.607177734375], [864.4083251953125, 759.5703735351562], [881.54150390625, 720.8283081054688], [872.9749145507812, 740.1993408203125]]"
