rally,ball_round,time,frame_num,player,pos,type,lose_reason,getpoint_player,ball,top,bottom
6,10,00:39:01,70252,16,bottom,drop,,,"[975, 478]","[[1030.7078857421875, 313.1453857421875], [1033.5328369140625, 310.2685852050781], [1027.8828125, 310.2685852050781], [1033.5328369140625, 313.1453857421875], [1017.9951171875, 310.2685852050781], [1037.7703857421875, 328.9676818847656], [1012.3450927734375, 328.9676818847656], [1032.120361328125, 353.4203186035156], [1001.0449829101562, 347.6667785644531], [982.6822509765625, 372.1194152832031], [984.0947265625, 369.24261474609375], [1032.120361328125, 376.4346008300781], [1016.5826416015625, 374.9961853027344], [1023.6452026367188, 412.3943786621094], [1016.5826416015625, 412.3943786621094], [1026.47021484375, 451.2309265136719], [1017.9951171875, 445.47735595703125], [1022.232666015625, 448.35414123535156]]","[[858.8360595703125, 572.2493286132812], [845.968994140625, 562.2017822265625], [870.2733764648438, 566.5078735351562], [847.3986206054688, 566.5078735351562], [870.2733764648438, 566.5078735351562], [830.2425537109375, 592.3444213867188], [873.1327514648438, 596.6505126953125], [818.8051147460938, 629.663818359375], [888.8591918945312, 631.0991821289062], [811.6567993164062, 664.112548828125], [877.4218139648438, 662.6771850585938], [833.1018676757812, 666.9832763671875], [861.6954345703125, 666.9832763671875], [828.8128662109375, 714.3502197265625], [860.2656860351562, 712.9148559570312], [827.3832397460938, 770.329345703125], [857.4063110351562, 757.4110717773438], [842.394775390625, 763.8702087402344]]"
6,11,00:39:02,70275,15,top,push/rush,,,"[975, 478]","[[998.2518310546875, 339.04229736328125], [1001.0863037109375, 336.1792297363281], [995.4174194335938, 336.1792297363281], [1006.7550659179688, 333.3161315917969], [991.165771484375, 331.88458251953125], [1013.8411865234375, 344.7684631347656], [979.8280639648438, 344.7684631347656], [1020.9273071289062, 367.6731262207031], [969.9075317382812, 370.53619384765625], [1011.0067749023438, 376.26239013671875], [967.0730590820312, 393.4408874511719], [1003.920654296875, 392.0093688964844], [984.0797119140625, 392.0093688964844], [1002.50341796875, 429.2294616699219], [978.4108276367188, 427.7979431152344], [999.6690673828125, 463.5864562988281], [972.741943359375, 463.5864562988281], [986.2055053710938, 463.5864562988281]]","[[830.1299438476562, 580.1609497070312], [834.4066162109375, 575.8572387695312], [824.4278564453125, 575.8572387695312], [820.1511840820312, 580.1609497070312], [842.9598388671875, 578.7263793945312], [807.3212890625, 610.2874755859375], [851.5131225585938, 607.4182739257812], [800.193603515625, 643.2831420898438], [870.045166015625, 638.9793701171875], [807.3212890625, 666.2366943359375], [860.06640625, 671.97509765625], [815.8745727539062, 682.0172119140625], [845.8109130859375, 680.5826416015625], [820.1511840820312, 730.79345703125], [850.0875854492188, 720.7512817382812], [827.2789306640625, 783.8734741210938], [855.7897338867188, 759.4853515625], [841.5343322753906, 771.6794128417969]]"
6,12,00:39:02,70288,16,bottom,defensive shot,,,"[199, 484]","[[979.2491455078125, 359.00775146484375], [982.0997314453125, 356.146484375], [977.8239135742188, 356.146484375], [989.22607421875, 350.4239196777344], [973.548095703125, 350.4239196777344], [997.7777709960938, 353.28521728515625], [964.9963989257812, 359.00775146484375], [1000.6282958984375, 373.31414794921875], [957.8700561523438, 380.46734619140625], [992.07666015625, 389.0511779785156], [960.7205810546875, 404.7882080078125], [990.6514282226562, 397.635009765625], [972.122802734375, 394.77374267578125], [994.92724609375, 427.67840576171875], [970.6975708007812, 429.10906982421875], [994.92724609375, 457.7218322753906], [969.2722778320312, 470.5976257324219], [982.0997619628906, 464.15972900390625]]","[[827.352294921875, 583.7247924804688], [831.663330078125, 577.9883422851562], [820.167236328125, 577.9883422851562], [815.856201171875, 582.2907104492188], [840.2853393554688, 579.4224853515625], [805.7972412109375, 612.4071044921875], [851.7814331054688, 605.2365112304688], [795.7382202148438, 653.9963989257812], [871.8995361328125, 636.7870483398438], [789.9901123046875, 685.5469360351562], [860.4034423828125, 664.0352172851562], [815.856201171875, 681.2445678710938], [844.596435546875, 678.3763427734375], [820.167236328125, 731.4385375976562], [848.9074096679688, 724.2680053710938], [825.9152221679688, 783.066650390625], [853.2184448242188, 767.2913818359375], [839.5668334960938, 775.1790161132812]]"
6,13,00:39:03,70308,15,top,drive,,,"[973, 482]","[[993.99755859375, 338.3034973144531], [996.8162841796875, 335.4335021972656], [992.5881958007812, 335.4335021972656], [985.5413208007812, 329.6935119628906], [985.5413208007812, 329.6935119628906], [1002.453857421875, 344.0434875488281], [972.85693359375, 346.91351318359375], [1005.2725830078125, 368.4384765625], [958.7632446289062, 371.3084716796875], [1002.453857421875, 382.7884521484375], [962.9912719726562, 391.3984375], [996.8162841796875, 395.7034606933594], [978.4944458007812, 394.2684326171875], [993.99755859375, 427.2734069824219], [971.4476318359375, 434.4483947753906], [991.1788330078125, 450.2333679199219], [970.0382080078125, 471.75836181640625], [980.6085205078125, 460.99586486816406]]","[[830.230712890625, 583.4671630859375], [820.2027587890625, 574.8269653320312], [823.0679321289062, 574.8269653320312], [820.2027587890625, 579.1470947265625], [843.1237182617188, 579.1470947265625], [810.1749267578125, 612.267822265625], [854.5840454101562, 605.0676879882812], [800.1470336914062, 642.508544921875], [876.0723876953125, 638.1884155273438], [798.7144775390625, 668.4291381835938], [858.8817749023438, 656.9088745117188], [818.770263671875, 681.3894653320312], [847.4213256835938, 678.5093383789062], [823.0679321289062, 730.3505859375], [853.1515502929688, 717.3902587890625], [827.3655395507812, 785.0718383789062], [858.8817749023438, 756.2711181640625], [843.1236572265625, 770.6714782714844]]"
6,14,00:39:04,70322,16,bottom,defensive shot,,,"[971, 487]","[[989.4371948242188, 330.1888122558594], [992.3176879882812, 325.87347412109375], [986.5567016601562, 325.87347412109375], [998.0787963867188, 327.3119201660156], [982.2359008789062, 325.87347412109375], [1003.8397827148438, 341.6963195800781], [972.154052734375, 341.6963195800781], [1006.7203369140625, 363.2729187011719], [960.6318969726562, 358.9576110839844], [1009.6008911132812, 383.4111022949219], [967.833251953125, 377.6573181152344], [998.0787963867188, 387.7264099121094], [979.3553466796875, 387.7264099121094], [996.6385498046875, 422.2489929199219], [975.0345458984375, 430.8796081542969], [990.87744140625, 452.45623779296875], [972.154052734375, 468.279052734375], [981.5157470703125, 460.3676452636719]]","[[851.4039916992188, 569.7037353515625], [855.6585693359375, 565.3937377929688], [845.731201171875, 565.3937377929688], [841.4766845703125, 566.8303833007812], [862.74951171875, 566.8303833007812], [827.294677734375, 594.1271362304688], [871.2586059570312, 594.1271362304688], [818.7855224609375, 631.4805908203125], [888.2770385742188, 625.73388671875], [811.694580078125, 667.3973388671875], [884.0223999023438, 657.3406372070312], [832.967529296875, 663.0873413085938], [861.331298828125, 663.0873413085938], [827.294677734375, 716.244140625], [861.331298828125, 707.6240844726562], [827.294677734375, 776.5843505859375], [859.9131469726562, 752.160888671875], [843.6039123535156, 764.3726196289062]]"
6,15,00:39:05,70364,15,top,clear,,,"[973, 486]","[[987.9393310546875, 326.7426452636719], [990.7732543945312, 322.4508056640625], [985.10546875, 322.4508056640625], [996.4411010742188, 323.88140869140625], [980.8545532226562, 323.88140869140625], [1003.52587890625, 341.0487365722656], [972.3528442382812, 342.4793395996094], [1010.6106567382812, 362.50787353515625], [963.85107421875, 368.2303161621094], [1017.6954345703125, 383.9670104980469], [961.0171508789062, 389.6894836425781], [996.4411010742188, 389.6894836425781], [976.6036987304688, 391.1200866699219], [995.0241088867188, 424.0240478515625], [973.7697143554688, 432.6077575683594], [992.1902465820312, 451.2056884765625], [972.3528442382812, 468.3729553222656], [982.2715454101562, 459.78932189941406]]","[[834.506591796875, 581.3475952148438], [840.2620849609375, 574.1401977539062], [847.4563598632812, 574.1401977539062], [824.4346313476562, 577.0231323242188], [846.0175170898438, 577.0231323242188], [812.9237060546875, 604.4112548828125], [854.650634765625, 605.8527221679688], [798.53515625, 615.943115234375], [873.3557739257812, 630.3579711914062], [822.9957275390625, 598.6453247070312], [877.67236328125, 637.5653686523438], [818.6791381835938, 676.4853515625], [847.4563598632812, 672.160888671875], [820.1180419921875, 724.05419921875], [853.2117309570312, 713.9638671875], [821.556884765625, 783.155029296875], [857.5283813476562, 754.3253784179688], [839.5426330566406, 768.7402038574219]]"
6,18,00:39:08,70446,16,bottom,lob,,,"[856, 496]","[[944.606689453125, 342.4238586425781], [947.48095703125, 338.11981201171875], [941.7323608398438, 338.11981201171875], [953.2295532226562, 338.11981201171875], [937.4209594726562, 336.6851501464844], [964.7266845703125, 355.3359069824219], [933.1095581054688, 353.9012451171875], [979.09814453125, 378.29071044921875], [930.2352294921875, 378.29071044921875], [983.4095458984375, 399.8108825683594], [925.923828125, 401.24554443359375], [966.1638793945312, 396.9414978027344], [947.48095703125, 395.5068359375], [960.415283203125, 434.2430114746094], [928.7981567382812, 424.2003479003906], [973.349609375, 468.6752624511719], [937.4209594726562, 452.8938293457031], [955.3852844238281, 460.7845458984375]]","[[865.4886474609375, 566.1105346679688], [865.4886474609375, 561.8041381835938], [865.4886474609375, 561.8041381835938], [841.0800170898438, 554.6268310546875], [861.1812744140625, 563.2396240234375], [819.54296875, 567.5460205078125], [855.4380493164062, 590.513427734375], [808.0565795898438, 547.4495239257812], [858.3096313476562, 624.9645385742188], [803.7491455078125, 535.9658203125], [875.5392456054688, 627.83544921875], [802.3133544921875, 637.8836669921875], [828.1578369140625, 642.1900634765625], [796.5701293945312, 679.5121459960938], [855.4380493164062, 680.9475708007812], [786.5194702148438, 722.5759887695312], [848.259033203125, 734.0596923828125], [817.3892517089844, 728.3178405761719]]"
6,19,00:39:09,70485,15,top,drop,,,"[1142, 236]","[[1061.5985107421875, 308.6591796875], [1060.1767578125, 304.3503112792969], [1058.7548828125, 305.7865905761719], [1043.1142578125, 308.6591796875], [1051.6455078125, 308.6591796875], [1064.4423828125, 324.4583435058594], [1036.0050048828125, 325.8946228027344], [1085.770263671875, 311.53173828125], [1084.3485107421875, 312.968017578125], [1014.6769409179688, 363.2381591796875], [1013.255126953125, 364.6744384765625], [1034.5831298828125, 368.9833068847656], [1036.0050048828125, 370.4195861816406], [1077.2391357421875, 387.65509033203125], [1021.786376953125, 394.83648681640625], [1085.770263671875, 412.07196044921875], [1001.8802490234375, 414.9445495605469], [1043.8252563476562, 413.5082550048828]]","[[1091.455078125, 571.5072631835938], [1097.18212890625, 567.2013549804688], [1101.4774169921875, 567.2013549804688], [1077.1373291015625, 565.76611328125], [1100.045654296875, 570.0719604492188], [1059.956298828125, 588.7305908203125], [1102.9091796875, 600.2128295898438], [1038.479736328125, 617.4361572265625], [1108.63623046875, 633.2243041992188], [1019.8668212890625, 649.0123901367188], [1130.1126708984375, 654.7534790039062], [1045.6385498046875, 659.059326171875], [1072.8421630859375, 666.2357177734375], [1047.0703125, 696.3766479492188], [1092.8868408203125, 713.6000366210938], [1024.162109375, 740.870361328125], [1087.1597900390625, 773.8817749023438], [1055.6609497070312, 757.3760681152344]]"
6,20,00:39:10,70506,16,bottom,net shot,,,"[1205, 146]","[[1046.7677001953125, 301.19580078125], [1049.6158447265625, 296.9111022949219], [1043.9195556640625, 296.9111022949219], [1052.464111328125, 299.767578125], [1036.7991943359375, 298.3393249511719], [1058.160400390625, 314.0499572753906], [1026.83056640625, 314.0499572753906], [1059.58447265625, 334.0452880859375], [1012.58984375, 335.4735107421875], [1062.4326171875, 351.18414306640625], [1012.58984375, 356.8970947265625], [1045.34375, 356.8970947265625], [1025.406494140625, 354.0406188964844], [1052.464111328125, 382.6053466796875], [1019.710205078125, 384.0335998535156], [1059.58447265625, 406.8853759765625], [1015.4379272460938, 412.59832763671875], [1037.5111999511719, 409.7418518066406]]","[[1132.5933837890625, 612.2650146484375], [1135.4664306640625, 610.8307495117188], [1161.3238525390625, 619.436279296875], [1136.9029541015625, 619.436279296875], [1159.8873291015625, 623.7390747070312], [1125.4107666015625, 642.384521484375], [1158.45068359375, 646.6873168945312], [1122.537841796875, 673.9382934570312], [1162.76025390625, 656.7271118164062], [1090.934326171875, 663.8984375], [1149.83154296875, 640.9502563476562], [1126.847412109375, 711.2290649414062], [1151.2681884765625, 708.3605346679688], [1103.863037109375, 759.9940185546875], [1136.9029541015625, 747.0856323242188], [1116.7916259765625, 814.4959716796875], [1145.5220947265625, 791.5477905273438], [1131.1568603515625, 803.0218811035156]]"
6,21,00:39:11,70538,15,top,lob,,,"[1160, 439]","[[1074.1461181640625, 363.2537841796875], [1075.578857421875, 358.9626159667969], [1072.713134765625, 358.9626159667969], [1075.578857421875, 358.9626159667969], [1064.1162109375, 357.5322265625], [1062.683349609375, 381.8487854003906], [1038.3250732421875, 378.9880065917969], [1074.1461181640625, 397.5830383300781], [1022.56396484375, 393.2918701171875], [1085.6087646484375, 407.5957336425781], [1008.235595703125, 414.7476806640625], [1045.4892578125, 400.4438171386719], [1038.3250732421875, 400.4438171386719], [1071.2803955078125, 414.7476806640625], [1008.235595703125, 419.038818359375], [1077.01171875, 449.076904296875], [1016.8325805664062, 417.6083984375], [1046.9221496582031, 433.3426513671875]]","[[1176.1632080078125, 675.7332153320312], [1179.023193359375, 668.5482177734375], [1177.5931396484375, 671.4221801757812], [1153.282958984375, 665.6742553710938], [1177.5931396484375, 674.2962036132812], [1127.542724609375, 691.5401000976562], [1174.733154296875, 708.7840576171875], [1097.5125732421875, 721.7169799804688], [1180.453125, 751.8938598632812], [1091.79248046875, 753.3308715820312], [1167.5831298828125, 759.078857421875], [1100.37255859375, 767.7008056640625], [1131.832763671875, 774.8858032226562], [1107.5225830078125, 802.1886596679688], [1157.572998046875, 823.7435913085938], [1077.4923095703125, 845.2984619140625], [1134.6927490234375, 879.786376953125], [1106.092529296875, 862.5424194335938]]"
