rally,ball_round,time,frame_num,player,pos,type,lose_reason,getpoint_player,ball,top,bottom
1,1,00:08:01,14430,7,bottom,short service,,,"[915, 667]","[[810.61572265625, 415.5979919433594], [814.8925170898438, 411.2864990234375], [806.3389282226562, 411.2864990234375], [819.169189453125, 414.16082763671875], [799.2111206054688, 412.7236633300781], [827.72265625, 435.7184143066406], [793.5087890625, 429.9697570800781], [837.7017822265625, 467.336181640625], [769.27392578125, 437.1556091308594], [814.8925170898438, 455.83880615234375], [769.27392578125, 440.0299377441406], [824.8715209960938, 494.6424560546875], [802.062255859375, 494.6424560546875], [816.318115234375, 540.6319580078125], [806.3389282226562, 544.9434204101562], [814.8925170898438, 588.05859375], [814.8925170898438, 567.9381713867188], [814.8925170898438, 577.9983825683594]]","[[954.0740356445312, 607.3731079101562], [955.501953125, 601.6241455078125], [955.501953125, 603.0614013671875], [956.929931640625, 601.6241455078125], [979.7767944335938, 600.1868896484375], [955.501953125, 621.7455444335938], [999.7677612304688, 623.1828002929688], [924.0875244140625, 633.2434692382812], [1012.6190795898438, 650.4904174804688], [908.3802490234375, 628.9317626953125], [991.2001953125, 659.1138305664062], [979.7767944335938, 695.044921875], [1006.9074096679688, 693.607666015625], [976.9208984375, 766.9070434570312], [991.2001953125, 753.971923828125], [1004.0515747070312, 821.5223388671875], [989.7722778320312, 822.9595336914062], [996.9119262695312, 822.2409362792969]]"
1,2,00:08:01,14455,16,top,net shot,,,"[891, 501]","[[849.3392944335938, 442.8380126953125], [850.77783203125, 437.10723876953125], [843.5849609375, 438.5399169921875], [855.093505859375, 439.97259521484375], [837.8307495117188, 444.27069091796875], [860.8478393554688, 458.5976257324219], [840.7078857421875, 465.7610778808594], [885.303466796875, 455.73223876953125], [862.286376953125, 484.3861389160156], [909.7591552734375, 452.86688232421875], [885.303466796875, 490.1169128417969], [847.9006958007812, 524.5015258789062], [832.076416015625, 525.9342651367188], [845.0235595703125, 568.9150390625], [840.7078857421875, 568.9150390625], [816.2521362304688, 587.5400390625], [836.3921508789062, 619.059326171875], [826.3221435546875, 603.2996826171875]]","[[929.5532836914062, 596.9259033203125], [912.3372192382812, 592.6021728515625], [925.249267578125, 592.6021728515625], [913.7718505859375, 592.6021728515625], [938.161376953125, 592.6021728515625], [912.3372192382812, 618.544677734375], [958.246826171875, 617.1033935546875], [905.163818359375, 661.7821655273438], [981.2017211914062, 656.0171508789062], [876.4702758789062, 674.75341796875], [974.0282592773438, 692.04833984375], [941.03076171875, 693.4896240234375], [969.7242431640625, 692.04833984375], [910.9025268554688, 758.3458251953125], [955.3775634765625, 736.7271118164062], [918.0758666992188, 831.8495483398438], [966.8548583984375, 798.7008056640625], [942.4653625488281, 815.2751770019531]]"
1,3,00:08:02,14482,7,bottom,lob,,,"[1017, 513]","[[964.8462524414062, 435.3387145996094], [967.698486328125, 429.589599609375], [960.5678100585938, 431.0268859863281], [970.5507202148438, 429.589599609375], [952.010986328125, 432.46417236328125], [973.403076171875, 449.71160888671875], [937.7496337890625, 458.3352966308594], [976.2553100585938, 471.2708740234375], [923.4882202148438, 491.3928527832031], [999.0735473632812, 494.26739501953125], [923.4882202148438, 521.5758056640625], [959.1417236328125, 505.76568603515625], [934.8973388671875, 508.6402893066406], [976.2553100585938, 551.7588500976562], [957.7155151367188, 554.6333618164062], [956.2893676757812, 579.0672607421875], [960.5678100585938, 596.3146362304688], [958.4285888671875, 587.6909484863281]]","[[974.7816162109375, 580.7977905273438], [977.623291015625, 575.0586547851562], [979.0441284179688, 570.7543334960938], [979.0441284179688, 580.7977905273438], [997.5148315429688, 585.1021118164062], [973.36083984375, 599.449951171875], [997.5148315429688, 603.7542724609375], [964.8358764648438, 628.1456298828125], [970.5191650390625, 628.1456298828125], [932.156982421875, 616.6673583984375], [932.156982421875, 615.2325439453125], [976.2024536132812, 671.1890869140625], [994.6731567382812, 672.6238403320312], [960.5734252929688, 742.9281616210938], [981.8857421875, 750.1021118164062], [993.2523193359375, 781.6672973632812], [994.6731567382812, 783.1021118164062], [993.9627380371094, 782.3847045898438]]"
1,4,00:08:04,14521,16,top,clear,,,"[1138, 217]","[[1101.502197265625, 352.5953063964844], [1107.207763671875, 349.7308654785156], [1098.6494140625, 346.8664245605469], [1112.9134521484375, 356.8919677734375], [1092.94384765625, 349.7308654785156], [1102.9285888671875, 378.375244140625], [1072.9742431640625, 365.48529052734375], [1094.3702392578125, 396.994140625], [1094.3702392578125, 392.6974792480469], [1101.502197265625, 369.78192138671875], [1101.502197265625, 371.21417236328125], [1077.2532958984375, 432.7996520996094], [1051.5782470703125, 427.0707702636719], [1097.222900390625, 472.9018249511719], [1034.4613037109375, 465.74072265625], [1121.4718017578125, 505.8429260253906], [1030.1822509765625, 523.0296020507812], [1075.8270263671875, 514.4362640380859]]","[[1005.64599609375, 586.8268432617188], [1009.9224853515625, 581.0668334960938], [1017.0499267578125, 582.5068359375], [994.2421264648438, 582.5068359375], [1017.0499267578125, 582.5068359375], [977.1363525390625, 608.4268188476562], [1028.4537353515625, 612.746826171875], [947.2012329101562, 641.546875], [1041.2830810546875, 653.06689453125], [947.2012329101562, 642.9868774414062], [1049.8359375, 674.6668701171875], [979.9872436523438, 683.306884765625], [1012.7733764648438, 684.7469482421875], [967.1580200195312, 736.5869750976562], [1034.1556396484375, 745.2269897460938], [947.2012329101562, 801.3870239257812], [1029.8792724609375, 812.906982421875], [988.5402526855469, 807.1470031738281]]"
1,5,00:08:05,14553,7,bottom,smash,,,"[1251, 454]","[[1052.4254150390625, 398.1380920410156], [1056.720947265625, 393.84033203125], [1049.5616455078125, 395.2729187011719], [1061.0167236328125, 396.70550537109375], [1042.4022216796875, 395.2729187011719], [1068.1761474609375, 421.0596923828125], [1029.5152587890625, 418.1944885253906], [1081.06298828125, 441.1160888671875], [1009.4689331054688, 442.5486755371094], [1081.06298828125, 459.7398986816406], [1006.6051635742188, 474.06591796875], [1056.720947265625, 471.20068359375], [1026.6514892578125, 469.7680969238281], [1075.3355712890625, 509.8808898925781], [1009.4689331054688, 507.0157165527344], [1079.631103515625, 557.1566772460938], [993.71826171875, 554.29150390625], [1036.6746826171875, 555.7240905761719]]","[[1180.4442138671875, 605.9666748046875], [1177.582763671875, 601.656982421875], [1176.1519775390625, 604.5300903320312], [1154.6907958984375, 616.0226440429688], [1168.9981689453125, 616.0226440429688], [1156.12158203125, 640.4442749023438], [1191.89013671875, 631.8248901367188], [1211.9205322265625, 616.0226440429688], [1221.935791015625, 604.5300903320312], [1237.674072265625, 575.798828125], [1237.674072265625, 577.2353515625], [1171.8597412109375, 723.7650756835938], [1196.182373046875, 728.0747680664062], [1186.167236328125, 782.6642456054688], [1207.6282958984375, 795.5933227539062], [1166.13671875, 844.4366455078125], [1191.89013671875, 865.9850463867188], [1179.013427734375, 855.2108459472656]]"
1,6,00:08:05,14570,16,top,defensive shot,,,"[799, 531]","[[905.9033203125, 496.881103515625], [907.3424682617188, 491.1788024902344], [903.025146484375, 492.6043701171875], [913.0989379882812, 486.9020690917969], [915.9772338867188, 484.0508728027344], [936.1248779296875, 492.6043701171875], [908.7815551757812, 504.0090026855469], [887.19482421875, 529.6694946289062], [887.19482421875, 531.0950927734375], [962.0289916992188, 546.7764892578125], [856.9732666015625, 548.2020263671875], [973.5420532226562, 513.9880981445312], [947.6378173828125, 518.2648315429688], [1016.715576171875, 538.2229614257812], [921.733642578125, 536.79736328125], [1065.645751953125, 552.478759765625], [943.3204956054688, 578.1392822265625], [1004.4831237792969, 565.3090209960938]]","[[1136.353515625, 644.374267578125], [1142.0760498046875, 638.6246948242188], [1132.0615234375, 638.6246948242188], [1123.477783203125, 638.6246948242188], [1147.798583984375, 638.6246948242188], [1112.0325927734375, 668.8097534179688], [1164.9661865234375, 670.2471923828125], [1093.434326171875, 706.1817626953125], [1197.870849609375, 701.86962890625], [1090.5731201171875, 696.1201171875], [1190.7176513671875, 727.7425537109375], [1130.630859375, 760.8023681640625], [1160.67431640625, 753.615478515625], [1152.0904541015625, 819.7351684570312], [1184.9951171875, 818.2978515625], [1174.9805908203125, 884.41748046875], [1189.2869873046875, 885.8548583984375], [1182.1337890625, 885.1361694335938]]"
1,7,00:08:06,14597,7,bottom,net shot,,,"[763, 538]","[[874.3228149414062, 446.027099609375], [878.6431274414062, 441.7017517089844], [871.4425659179688, 441.7017517089844], [884.403564453125, 440.25994873046875], [865.6821899414062, 438.8181457519531], [895.9244384765625, 459.00323486328125], [855.6013793945312, 457.5614318847656], [904.5651245117188, 499.37335205078125], [838.320068359375, 486.3972473144531], [890.1640014648438, 519.5584106445312], [829.6793823242188, 522.4420166015625], [888.723876953125, 500.8151550292969], [859.9216918945312, 499.37335205078125], [916.0859985351562, 529.6509399414062], [833.999755859375, 528.2091674804688], [933.3671875, 577.2300415039062], [809.5178833007812, 572.9046630859375], [871.4425354003906, 575.0673522949219]]","[[851.2023315429688, 623.2951049804688], [854.0785522460938, 621.8558349609375], [855.5167236328125, 621.8558349609375], [858.3929443359375, 623.2951049804688], [875.650390625, 623.2951049804688], [871.3360595703125, 653.5210571289062], [856.954833984375, 642.0064086914062], [865.58349609375, 696.7009887695312], [831.0686645507812, 626.1737670898438], [831.0686645507812, 688.0650024414062], [808.0587768554688, 607.4625244140625], [868.4597778320312, 729.8055419921875], [858.3929443359375, 721.1696166992188], [858.3929443359375, 800.332763671875], [832.5067749023438, 745.63818359375], [907.2890014648438, 826.24072265625], [809.4968872070312, 800.332763671875], [858.3929443359375, 813.2867431640625]]"
1,8,00:08:07,14622,16,top,lob,,,"[1151, 532]","[[1111.04833984375, 488.5845031738281], [1111.04833984375, 484.26617431640625], [1109.61083984375, 484.26617431640625], [1092.3603515625, 484.26617431640625], [1096.6729736328125, 484.26617431640625], [1088.0477294921875, 500.1001281738281], [1086.6102294921875, 502.9790344238281], [1105.298095703125, 505.85791015625], [1090.9228515625, 518.81298828125], [1119.673583984375, 514.49462890625], [1106.7357177734375, 526.01025390625], [1062.1722412109375, 547.6019897460938], [1053.5469970703125, 546.1625366210938], [1057.859619140625, 574.9515380859375], [1085.1727294921875, 569.1937255859375], [1024.7962646484375, 574.9515380859375], [1112.48583984375, 616.6956176757812], [1068.6410522460938, 595.8235778808594]]","[[882.974853515625, 582.016845703125], [882.974853515625, 577.7107543945312], [888.7086791992188, 576.2753295898438], [884.4083251953125, 580.5814819335938], [905.9099731445312, 580.5814819335938], [871.5072631835938, 606.418212890625], [923.1113891601562, 607.8535766601562], [851.4389038085938, 646.608642578125], [943.1797485351562, 648.0440063476562], [848.5720825195312, 636.56103515625], [951.7803955078125, 672.4453125], [891.5755615234375, 681.0575561523438], [924.544921875, 682.492919921875], [867.2069091796875, 742.778564453125], [936.0125122070312, 738.472412109375], [864.3400268554688, 811.6764526367188], [954.6473388671875, 797.3226928710938], [909.4936828613281, 804.4995727539062]]"
1,9,00:08:09,14671,7,bottom,drop,,,"[1164, 502]","[[1013.7117919921875, 413.6395568847656], [1018.0164184570312, 407.8783874511719], [1010.8419799804688, 406.4381408691406], [1023.7559814453125, 406.4381408691406], [1003.66748046875, 406.4381408691406], [1030.9305419921875, 428.0423583984375], [987.8836669921875, 428.0423583984375], [1042.40966796875, 451.0869445800781], [969.2301025390625, 453.967529296875], [1046.7142333984375, 471.2509460449219], [964.9253540039062, 482.773193359375], [1016.5814819335938, 481.3329162597656], [986.4488525390625, 481.3329162597656], [1030.9305419921875, 524.54150390625], [969.2301025390625, 523.1011962890625], [1035.235107421875, 566.3097534179688], [953.4462890625, 561.9888916015625], [994.3406982421875, 564.1493225097656]]","[[1067.976318359375, 669.16064453125], [1063.6607666015625, 663.4141235351562], [1065.099365234375, 664.8507080078125], [1040.644775390625, 673.4705200195312], [1065.099365234375, 669.16064453125], [1040.644775390625, 702.203369140625], [1079.484375, 692.1469116210938], [1088.1153564453125, 726.6262817382812], [1118.3238525390625, 684.9636840820312], [1109.69287109375, 709.3865966796875], [1157.1634521484375, 654.7942504882812], [1059.3453369140625, 792.7117919921875], [1089.5538330078125, 792.7117919921875], [1067.976318359375, 845.8675537109375], [1108.25439453125, 860.23388671875], [1034.8907470703125, 909.0797119140625], [1102.5003662109375, 933.5026245117188], [1068.695556640625, 921.2911682128906]]"
1,10,00:08:09,14696,16,top,lob,,,"[1200, 544]","[[1130.631103515625, 495.4397888183594], [1130.631103515625, 491.1340637207031], [1127.755126953125, 489.6988220214844], [1110.4991455078125, 491.1340637207031], [1114.813232421875, 491.1340637207031], [1101.8712158203125, 505.48651123046875], [1109.0611572265625, 511.2275085449219], [1116.251220703125, 534.19140625], [1116.251220703125, 532.7561645507812], [1162.2672119140625, 505.48651123046875], [1133.5072021484375, 552.849609375], [1064.4832763671875, 548.5438232421875], [1070.2352294921875, 552.849609375], [1097.55712890625, 574.3782348632812], [1098.9951171875, 574.3782348632812], [1055.855224609375, 584.4249877929688], [1116.251220703125, 623.176513671875], [1086.05322265625, 603.8007507324219]]","[[1007.543212890625, 630.457763671875], [996.046630859375, 623.2788696289062], [1001.7949829101562, 624.714599609375], [997.4837036132812, 624.714599609375], [1020.4769287109375, 626.150390625], [984.550048828125, 651.9944458007812], [1037.7218017578125, 653.4302368164062], [960.1198120117188, 695.0678100585938], [1062.152099609375, 695.0678100585938], [955.80859375, 682.1458129882812], [1056.40380859375, 729.5265502929688], [1001.7949829101562, 732.3981323242188], [1036.2847900390625, 732.3981323242188], [983.1129760742188, 798.4440307617188], [1034.84765625, 794.1366577148438], [990.29833984375, 868.7972412109375], [1036.2847900390625, 867.3614501953125], [1013.2915649414062, 868.079345703125]]"
