rally,ball_round,time,frame_num,player,pos,type,lose_reason,getpoint_player,ball,top,bottom
8,1,00:09:41,17459,16,bottom,short service,,,"[919, 550]","[[1086.8170166015625, 331.5490417480469], [1089.6285400390625, 328.6793212890625], [1084.0054931640625, 328.6793212890625], [1093.845703125, 328.6793212890625], [1079.788330078125, 330.11419677734375], [1100.8743896484375, 345.8975830078125], [1075.571044921875, 340.1581726074219], [1106.497314453125, 371.7249755859375], [1065.7308349609375, 354.5067138671875], [1089.6285400390625, 370.29010009765625], [1062.91943359375, 367.42041015625], [1099.4686279296875, 387.50836181640625], [1085.4112548828125, 384.6386413574219], [1093.845703125, 421.94488525390625], [1086.8170166015625, 420.5100402832031], [1093.845703125, 459.2510986328125], [1100.8743896484375, 442.0328674316406], [1097.3600463867188, 450.64198303222656]]","[[924.58447265625, 552.025634765625], [924.58447265625, 549.1492309570312], [926.0140380859375, 549.1492309570312], [926.0140380859375, 552.025634765625], [946.027587890625, 552.025634765625], [921.7254638671875, 579.3515014648438], [961.7525024414062, 577.9132690429688], [898.8528442382812, 593.7335205078125], [973.1887817382812, 595.1717529296875], [881.6983642578125, 622.4976196289062], [953.1752319335938, 596.6099243164062], [930.3026733398438, 648.38525390625], [958.8934326171875, 648.38525390625], [921.7254638671875, 698.722412109375], [956.0343627929688, 691.5314331054688], [920.2959594726562, 753.3741455078125], [950.3162231445312, 737.553955078125], [935.3060913085938, 745.4640502929688]]"
8,2,00:09:42,17484,20,top,net shot,,,"[1033, 399]","[[1071.4620361328125, 349.3453674316406], [1074.304931640625, 346.4740295410156], [1067.19775390625, 346.4740295410156], [1079.990478515625, 346.4740295410156], [1065.7764892578125, 350.7810363769531], [1085.6761474609375, 363.7020263671875], [1067.19775390625, 366.5733642578125], [1101.311767578125, 365.1376953125], [1078.569091796875, 388.1083679199219], [1087.09765625, 375.1873779296875], [1087.09765625, 375.1873779296875], [1082.8333740234375, 412.5146789550781], [1070.0406494140625, 415.38604736328125], [1089.9404296875, 444.0993347167969], [1072.8834228515625, 455.5846862792969], [1084.2547607421875, 464.1986999511719], [1067.19775390625, 494.34765625], [1075.7262573242188, 479.27317810058594]]","[[975.0567016601562, 562.4996948242188], [979.375732421875, 556.761474609375], [983.6948852539062, 556.761474609375], [962.0994262695312, 559.630615234375], [982.255126953125, 559.630615234375], [949.1421508789062, 585.4528198242188], [992.3330078125, 588.3218994140625], [931.8658447265625, 617.0132446289062], [1003.8505859375, 625.6206665039062], [927.5468139648438, 639.9663696289062], [1011.049072265625, 650.00830078125], [947.7025146484375, 655.74658203125], [975.0567016601562, 655.74658203125], [952.0215454101562, 694.4799194335938], [995.21240234375, 700.2181396484375], [926.1070556640625, 741.820556640625], [970.7376098632812, 747.558837890625], [948.4223327636719, 744.689697265625]]"
8,3,00:09:43,17511,16,bottom,lob,,,"[1067, 331]","[[1043.721923828125, 343.53216552734375], [1046.594482421875, 340.6575927734375], [1039.4129638671875, 340.6575927734375], [1049.4669189453125, 342.0948791503906], [1033.66796875, 342.0948791503906], [1048.03076171875, 356.4678039550781], [1023.614013671875, 357.90509033203125], [1053.77587890625, 373.71533203125], [1009.2512817382812, 376.5898742675781], [1068.138671875, 385.2136535644531], [1007.81494140625, 401.0238342285156], [1030.79541015625, 399.5865478515625], [1016.4325561523438, 402.4611511230469], [1037.976806640625, 432.6442565917969], [1026.486572265625, 436.95611572265625], [1027.9228515625, 461.39007568359375], [1013.56005859375, 477.2002868652344], [1020.741455078125, 469.29518127441406]]","[[1035.486083984375, 533.838623046875], [1036.9130859375, 533.838623046875], [1036.9130859375, 533.838623046875], [1036.9130859375, 539.58447265625], [1055.4632568359375, 543.8938598632812], [1024.070556640625, 555.3856201171875], [1056.8902587890625, 566.8773803710938], [998.3855590820312, 569.7503051757812], [1049.755615234375, 591.2973022460938], [978.4082641601562, 581.2420043945312], [1026.9244384765625, 575.4961547851562], [1016.935791015625, 608.5348510742188], [1044.0477294921875, 614.28076171875], [1001.2394409179688, 653.0653076171875], [1046.9017333984375, 625.7724609375], [999.8124389648438, 688.97705078125], [1042.620849609375, 647.3194580078125], [1021.2166442871094, 668.1482543945312]]"
8,4,00:09:45,17575,20,top,clear,,,"[954, 157]","[[965.11474609375, 206.24392700195312], [969.4097290039062, 201.9412078857422], [960.8198852539062, 203.37545776367188], [973.70458984375, 203.37545776367188], [953.6616821289062, 203.37545776367188], [976.5679321289062, 224.88893127441406], [953.6616821289062, 222.02047729492188], [988.02099609375, 247.836669921875], [959.38818359375, 256.4420471191406], [988.02099609375, 253.57359313964844], [976.5679321289062, 257.87628173828125], [972.27294921875, 289.4294128417969], [953.6616821289062, 283.6924743652344], [967.97802734375, 346.7987060546875], [950.79833984375, 332.4563903808594], [969.4097290039062, 381.2203369140625], [953.6616821289062, 376.9176330566406], [961.5357055664062, 379.06898498535156]]","[[950.0892333984375, 577.0042114257812], [950.0892333984375, 572.6893920898438], [952.9675903320312, 572.6893920898438], [951.5283813476562, 577.0042114257812], [974.5548706054688, 577.0042114257812], [942.8934936523438, 598.5784301757812], [986.0681762695312, 600.0166625976562], [929.9411010742188, 631.6588134765625], [1003.3380126953125, 641.7267456054688], [919.8670043945312, 658.9861450195312], [1007.6554565429688, 663.3009643554688], [948.650146484375, 669.0540771484375], [980.3114624023438, 664.7392578125], [935.6976928710938, 717.95556640625], [1000.459716796875, 706.4493408203125], [927.062744140625, 779.8015747070312], [1014.851318359375, 756.7890625], [970.95703125, 768.2953186035156]]"
8,5,00:09:46,17606,16,bottom,drop,,,"[1270, 523]","[[1018.2695922851562, 302.18212890625], [1021.140380859375, 299.3194885253906], [1015.39892578125, 299.3194885253906], [1024.0111083984375, 299.3194885253906], [1009.6575317382812, 299.3194885253906], [1028.317138671875, 315.0640563964844], [999.6099853515625, 316.495361328125], [1036.9293212890625, 333.6712646484375], [986.6917724609375, 336.533935546875], [1042.670654296875, 353.7098388671875], [989.5625610351562, 353.7098388671875], [1019.7050170898438, 360.866455078125], [998.1746215820312, 360.866455078125], [1029.75244140625, 393.7868957519531], [985.2564086914062, 390.92425537109375], [1036.9293212890625, 432.4327087402344], [982.3856811523438, 426.7073669433594], [1009.6575012207031, 429.5700378417969]]","[[1183.560302734375, 684.1556396484375], [1182.1219482421875, 679.8396606445312], [1179.2449951171875, 679.8396606445312], [1160.544921875, 687.0330200195312], [1170.6141357421875, 687.0330200195312], [1157.66796875, 710.0518798828125], [1160.544921875, 710.0518798828125], [1138.9678955078125, 717.2452392578125], [1229.59130859375, 715.8065795898438], [1146.16015625, 687.0330200195312], [1264.114501953125, 701.4197998046875], [1164.8602294921875, 783.4244995117188], [1187.875732421875, 787.7406005859375], [1160.544921875, 803.5659790039062], [1231.0296630859375, 830.9009399414062], [1113.0755615234375, 822.268798828125], [1239.6605224609375, 891.325439453125], [1176.3680419921875, 856.797119140625]]"
8,6,00:09:47,17630,20,top,lob,,,"[1085, 356]","[[1052.1741943359375, 373.5814208984375], [1053.5968017578125, 370.7224426269531], [1049.3289794921875, 370.7224426269531], [1037.9486083984375, 372.1519470214844], [1037.9486083984375, 370.7224426269531], [1035.1033935546875, 386.4468688964844], [1035.1033935546875, 390.7353210449219], [1025.1453857421875, 390.7353210449219], [1042.2161865234375, 397.8827819824219], [1025.1453857421875, 450.7739562988281], [1045.0614013671875, 397.8827819824219], [1020.877685546875, 423.6136474609375], [1009.4971313476562, 423.6136474609375], [1037.9486083984375, 445.0559997558594], [1035.1033935546875, 443.62652587890625], [1016.6099853515625, 455.06243896484375], [1032.25830078125, 480.7932434082031], [1024.4341430664062, 467.92784118652344]]","[[1052.541748046875, 619.0743408203125], [1041.074462890625, 610.435791015625], [1042.5079345703125, 610.435791015625], [1041.074462890625, 613.3153076171875], [1064.009033203125, 614.7550659179688], [1028.173828125, 640.6705322265625], [1074.0428466796875, 647.8692626953125], [1003.8059692382812, 673.7847290039062], [1086.9434814453125, 688.1822509765625], [1002.37255859375, 675.2244873046875], [1095.5439453125, 715.5374145507812], [1028.173828125, 714.09765625], [1058.275390625, 716.9771728515625], [1018.1400146484375, 754.41064453125], [1068.3092041015625, 760.1696166992188], [1022.4402465820312, 810.560791015625], [1064.009033203125, 814.8800048828125], [1043.2246398925781, 812.7203979492188]]"
8,7,00:09:48,17663,16,bottom,smash,,,"[742, 446]","[[946.38232421875, 318.7330322265625], [950.6847534179688, 315.86663818359375], [942.0797729492188, 315.86663818359375], [954.9873046875, 318.7330322265625], [937.77734375, 318.7330322265625], [963.59228515625, 333.06500244140625], [932.0407104492188, 334.4981994628906], [977.9338989257812, 345.9637756347656], [920.5673828125, 353.1297607421875], [985.104736328125, 358.862548828125], [914.8307495117188, 371.7613220214844], [962.1581420898438, 380.3605041503906], [939.2114868164062, 380.3605041503906], [973.6314697265625, 417.62359619140625], [930.6065063476562, 416.1903991699219], [982.2364501953125, 452.02032470703125], [932.0407104492188, 449.1539306640625], [957.1385803222656, 450.5871276855469]]","[[756.39697265625, 676.6123657226562], [732.1088256835938, 688.0921630859375], [752.11083984375, 675.1774291992188], [739.2523803710938, 686.6571655273438], [752.11083984375, 678.04736328125], [773.5415649414062, 692.3970336914062], [773.5415649414062, 695.2669677734375], [783.5425415039062, 662.2626953125], [783.5425415039062, 657.957763671875], [784.9712524414062, 650.7828979492188], [784.9712524414062, 649.3479614257812], [760.68310546875, 767.015380859375], [793.5435180664062, 762.7105102539062], [729.2514038085938, 821.544189453125], [807.8306274414062, 805.7595825195312], [806.4019775390625, 855.9834594726562], [804.9732055664062, 858.8533935546875], [805.6875915527344, 857.4184265136719]]"
8,8,00:09:49,17680,20,top,defensive shot,,,"[778, 390]","[[824.25341796875, 371.4317626953125], [828.5527954101562, 368.5597839355469], [824.25341796875, 368.5597839355469], [840.0177612304688, 369.99578857421875], [824.25341796875, 369.99578857421875], [834.2852172851562, 384.3558044433594], [834.2852172851562, 385.7917785644531], [819.9540405273438, 400.1517639160156], [819.9540405273438, 400.1517639160156], [804.1897583007812, 410.2037658691406], [804.1897583007812, 410.2037658691406], [884.4443969726562, 408.7677917480469], [862.9475708007812, 410.2037658691406], [908.8073120117188, 437.48779296875], [838.5845947265625, 420.2557678222656], [940.3358764648438, 438.92376708984375], [825.6865234375, 456.15576171875], [883.0111999511719, 447.5397644042969]]","[[793.9287719726562, 669.9014892578125], [782.5128784179688, 665.5798950195312], [786.7937622070312, 665.5798950195312], [783.9398803710938, 667.0203857421875], [808.19873046875, 668.4609375], [772.52392578125, 698.7123413085938], [821.041748046875, 698.7123413085938], [745.4109497070312, 731.8448486328125], [853.862548828125, 728.9637451171875], [745.4109497070312, 730.4042358398438], [843.8735961914062, 749.1312866210938], [779.6588745117188, 776.5015869140625], [811.052734375, 776.5015869140625], [756.826904296875, 825.4800415039062], [815.333740234375, 828.3612060546875], [756.826904296875, 877.3396606445312], [806.771728515625, 883.101806640625], [781.79931640625, 880.2207336425781]]"
8,9,00:09:50,17710,16,bottom,lob,,,"[1070, 522]","[[947.2196044921875, 318.9594421386719], [950.0507202148438, 314.64691162109375], [944.3885498046875, 314.64691162109375], [952.8817749023438, 316.08441162109375], [940.1420288085938, 316.08441162109375], [957.1282958984375, 330.4595642089844], [931.6488647460938, 330.4595642089844], [965.6214599609375, 347.709716796875], [917.49365234375, 352.0222473144531], [978.3612060546875, 360.6473388671875], [923.1557006835938, 375.0224914550781], [948.6351928710938, 372.1474609375], [931.6488647460938, 373.5849914550781], [958.5438842773438, 408.0852966308594], [937.3109741210938, 410.9603271484375], [957.1282958984375, 438.2730712890625], [937.3109741210938, 449.7732238769531], [947.2196350097656, 444.0231475830078]]","[[1068.87109375, 604.0331420898438], [1076.0245361328125, 604.0331420898438], [1087.4697265625, 614.110107421875], [1064.5791015625, 612.6705322265625], [1083.177734375, 618.4288330078125], [1051.7032470703125, 628.5057983398438], [1081.7471923828125, 640.0223388671875], [1033.1046142578125, 637.1432495117188], [1083.177734375, 674.5720825195312], [1011.6445922851562, 655.857666015625], [1080.3165283203125, 703.3634643554688], [1037.3966064453125, 678.8908081054688], [1067.4404296875, 687.5281982421875], [1011.6445922851562, 727.8361206054688], [1081.7471923828125, 674.5720825195312], [985.8926391601562, 763.8253784179688], [1078.8857421875, 707.6821899414062], [1032.3891906738281, 735.7537841796875]]"
8,10,00:09:51,17750,20,top,clear,,,"[761, 197]","[[830.9690551757812, 299.2693786621094], [833.8150024414062, 296.38763427734375], [829.5460205078125, 296.38763427734375], [846.6218872070312, 297.8285217285156], [833.8150024414062, 294.94677734375], [846.6218872070312, 313.6780090332031], [829.5460205078125, 307.9145812988281], [852.3139038085938, 333.8501281738281], [806.7781372070312, 297.8285217285156], [826.7000122070312, 323.76409912109375], [821.008056640625, 322.3232116699219], [843.7759399414062, 349.69964599609375], [830.9690551757812, 346.81793212890625], [845.198974609375, 381.398681640625], [812.4701538085938, 378.5169372558594], [867.9668579101562, 415.97943115234375], [812.4701538085938, 400.1298828125], [840.218505859375, 408.0546569824219]]","[[890.4041748046875, 563.6878051757812], [890.4041748046875, 560.8060302734375], [891.8355712890625, 559.3651733398438], [891.8355712890625, 563.6878051757812], [914.7386474609375, 562.2469482421875], [886.1098022460938, 589.6238403320312], [931.9159545898438, 585.3011474609375], [883.2469482421875, 624.2051391601562], [950.5247802734375, 619.8824462890625], [870.3639526367188, 650.14111328125], [954.819091796875, 648.7001953125], [903.287109375, 654.4637451171875], [933.347412109375, 648.7001953125], [884.6783447265625, 707.776611328125], [951.9561767578125, 696.24951171875], [870.3639526367188, 763.9713134765625], [967.7020874023438, 746.6806030273438], [919.0330200195312, 755.3259582519531]]"
