rally,ball_round,time,frame_num,player,pos,type,lose_reason,getpoint_player,ball,top,bottom
28,1,00:48:33,87413,14,top,short service,,,"[986, 375]","[[981.994140625, 318.3782043457031], [984.8463134765625, 315.5127258300781], [979.1419677734375, 315.5127258300781], [987.6985473632812, 318.3782043457031], [974.8637084960938, 316.9454650878906], [993.40283203125, 334.1382751464844], [966.3071899414062, 332.7055358886719], [1000.5333251953125, 347.03289794921875], [950.6201782226562, 344.16741943359375], [1003.385498046875, 348.4656066894531], [949.194091796875, 355.6292724609375], [986.2723999023438, 371.38934326171875], [969.1593627929688, 371.38934326171875], [989.1245727539062, 401.4767761230469], [970.58544921875, 402.90948486328125], [986.2723999023438, 421.5350646972656], [974.8637084960938, 431.5641784667969], [980.5680541992188, 426.54962158203125]]","[[860.2908935546875, 556.5841064453125], [860.2908935546875, 553.7080078125], [863.1566162109375, 553.7080078125], [860.2908935546875, 558.0221557617188], [878.9176025390625, 558.0221557617188], [850.26123046875, 578.1548461914062], [887.5144653320312, 579.5928955078125], [834.500244140625, 602.6016235351562], [897.5442504882812, 615.5440673828125], [841.6643676757812, 586.7831420898438], [891.8129272460938, 595.4114379882812], [857.42529296875, 632.8007202148438], [881.783203125, 632.8007202148438], [850.26123046875, 694.6367797851562], [880.3504028320312, 674.5040893554688], [854.5596313476562, 752.15869140625], [878.9176025390625, 716.20751953125], [866.7386169433594, 734.18310546875]]"
28,2,00:48:34,87436,3,bottom,lob,,,"[842, 483]","[[965.8312377929688, 335.7436218261719], [968.7047119140625, 332.8704833984375], [964.3944702148438, 332.8704833984375], [973.014892578125, 334.3070373535156], [960.0842895507812, 332.8704833984375], [974.45166015625, 345.7996520996094], [952.9005737304688, 348.67279052734375], [977.3251953125, 352.9825439453125], [939.9699096679688, 367.3482971191406], [980.1986083984375, 342.926513671875], [937.0964965820312, 383.1506652832031], [960.0842895507812, 375.9677429199219], [947.1536865234375, 374.53118896484375], [968.7047119140625, 393.2066650390625], [948.59033203125, 401.82611083984375], [967.2680053710938, 414.7553405761719], [945.7169189453125, 431.9942321777344], [956.4924621582031, 423.3747863769531]]","[[860.817626953125, 518.8479614257812], [865.1243286132812, 518.8479614257812], [876.6090087890625, 528.9278564453125], [857.9464721679688, 524.60791015625], [873.7378540039062, 530.3678588867188], [842.1550903320312, 536.1277465820312], [869.4310913085938, 549.0875854492188], [830.67041015625, 518.8479614257812], [893.8359985351562, 564.9274291992188], [819.185791015625, 507.3280944824219], [921.1119995117188, 567.807373046875], [830.67041015625, 598.0470581054688], [852.2041625976562, 603.8070068359375], [869.4310913085938, 649.886474609375], [869.4310913085938, 649.886474609375], [869.4310913085938, 700.2859497070312], [869.4310913085938, 703.1658935546875], [869.4310913085938, 701.7259216308594]]"
28,3,00:48:35,87470,14,top,smash,,,"[845, 277]","[[852.6856689453125, 292.08984375], [856.9207763671875, 289.2112121582031], [852.6856689453125, 289.2112121582031], [865.3909912109375, 290.6505126953125], [863.9793090820312, 289.2112121582031], [868.2144165039062, 306.4829406738281], [855.5090942382812, 306.4829406738281], [863.9793090820312, 325.19403076171875], [861.1558837890625, 325.19403076171875], [855.5090942382812, 315.11883544921875], [868.2144165039062, 309.361572265625], [876.6845703125, 338.1478576660156], [863.9793090820312, 338.1478576660156], [872.4495239257812, 368.3734130859375], [852.6856689453125, 355.4195861816406], [899.2717895507812, 375.5699462890625], [848.4505615234375, 366.93408203125], [873.8611755371094, 371.25201416015625]]","[[893.7230224609375, 543.614501953125], [898.0072021484375, 540.73876953125], [889.4388427734375, 540.73876953125], [882.2985229492188, 547.9281005859375], [902.2913208007812, 547.9281005859375], [875.1582641601562, 575.24755859375], [913.7157592773438, 566.620361328125], [860.8777465820312, 606.880615234375], [939.4207763671875, 586.7505493164062], [853.7373657226562, 625.5729370117188], [946.56103515625, 595.3777465820312], [888.0107421875, 634.2001342773438], [916.5718383789062, 629.8865356445312], [875.1582641601562, 680.2118530273438], [933.7085571289062, 673.0225219726562], [872.3021850585938, 729.099365234375], [952.2733764648438, 720.47216796875], [912.2877807617188, 724.7857666015625]]"
28,4,00:48:36,87494,3,bottom,defensive shot,,,"[1248, 641]","[[925.1026611328125, 292.67578125], [927.9615478515625, 289.82232666015625], [922.2438354492188, 289.82232666015625], [930.8203735351562, 291.2490539550781], [919.3848876953125, 291.2490539550781], [936.5382080078125, 302.66278076171875], [913.6671142578125, 304.0894775390625], [945.1148071289062, 305.51617431640625], [897.9432983398438, 316.9299011230469], [950.8326416015625, 316.9299011230469], [886.5077514648438, 332.6237487792969], [927.9615478515625, 334.0504455566406], [915.0966186523438, 334.0504455566406], [925.1026611328125, 359.7313232421875], [922.2438354492188, 356.87786865234375], [902.2315673828125, 371.1449890136719], [927.9615478515625, 389.6922912597656], [915.0965576171875, 380.41864013671875]]","[[1156.7540283203125, 641.3585205078125], [1153.88427734375, 641.3585205078125], [1153.88427734375, 638.5028076171875], [1153.88427734375, 641.3585205078125], [1145.275146484375, 639.9306640625], [1140.970458984375, 651.3536987304688], [1119.4473876953125, 645.6422119140625], [1166.798095703125, 657.0652465820312], [1097.9244384765625, 645.6422119140625], [1189.7559814453125, 658.4931030273438], [1089.3153076171875, 664.2046508789062], [1097.9244384765625, 682.7671508789062], [1074.966552734375, 681.3392333984375], [1132.3612060546875, 694.1902465820312], [1037.6600341796875, 727.0315551757812], [1162.4935302734375, 729.8873291015625], [978.8304443359375, 742.7382202148438], [1070.6619873046875, 736.3127746582031]]"
28,5,00:48:37,87530,14,top,clear,,,"[1179, 157]","[[1150.9852294921875, 253.5757293701172], [1127.948974609375, 243.54415893554688], [1136.5875244140625, 289.4027099609375], [1129.3887939453125, 247.84341430664062], [1127.948974609375, 247.84341430664062], [1126.50927734375, 262.1741943359375], [1130.82861328125, 262.1741943359375], [1148.105712890625, 255.00880432128906], [1139.4671630859375, 253.5757293701172], [1153.86474609375, 247.84341430664062], [1153.86474609375, 246.41033935546875], [1107.7923583984375, 306.59967041015625], [1114.9910888671875, 302.3004455566406], [1090.51513671875, 330.9620361328125], [1126.50927734375, 340.99359130859375], [1153.86474609375, 359.6236267089844], [1150.9852294921875, 358.1905517578125], [1152.4249877929688, 358.90708923339844]]","[[1089.3291015625, 571.4066162109375], [1095.0369873046875, 569.967041015625], [1085.0482177734375, 568.5274047851562], [1080.767333984375, 572.84619140625], [1099.31787109375, 574.2857666015625], [1063.6436767578125, 595.8797607421875], [1102.171875, 600.1986083984375], [1039.3851318359375, 627.5509643554688], [1122.1494140625, 636.1885375976562], [1035.104248046875, 639.0677490234375], [1129.2843017578125, 631.8697509765625], [1050.8009033203125, 657.7825317382812], [1079.34033203125, 659.22216796875], [1040.8121337890625, 696.6517333984375], [1106.4527587890625, 706.7288818359375], [1026.54248046875, 747.0376586914062], [1119.2955322265625, 762.8732299804688], [1072.9190063476562, 754.9554443359375]]"
28,6,00:48:39,87572,3,bottom,clear,,,"[1165, 412]","[[1017.3223266601562, 294.53271484375], [1020.1669921875, 291.65509033203125], [1014.477783203125, 291.65509033203125], [1024.4339599609375, 294.53271484375], [1010.2107543945312, 291.65509033203125], [1027.278564453125, 306.0431213378906], [1003.0992431640625, 307.48193359375], [1040.079345703125, 316.1147766113281], [990.29833984375, 323.3088073730469], [1044.3463134765625, 330.5028381347656], [983.186767578125, 339.13568115234375], [1020.1669921875, 342.0132751464844], [1003.0992431640625, 340.574462890625], [1027.278564453125, 367.9117736816406], [1000.2545776367188, 367.9117736816406], [1025.8563232421875, 395.2490539550781], [993.14306640625, 395.2490539550781], [1009.4996948242188, 395.2490539550781]]","[[1249.4700927734375, 667.022216796875], [1255.217041015625, 667.022216796875], [1250.9068603515625, 667.022216796875], [1258.090576171875, 684.32421875], [1271.021484375, 688.649658203125], [1230.7921142578125, 695.8588256835938], [1259.52734375, 711.7189331054688], [1206.3671875, 654.0458374023438], [1206.3671875, 655.4876708984375], [1186.25244140625, 616.5582885742188], [1203.49365234375, 688.649658203125], [1210.6773681640625, 770.8338012695312], [1237.9759521484375, 775.1593017578125], [1174.75830078125, 819.8560180664062], [1250.9068603515625, 825.6232299804688], [1174.75830078125, 881.8545532226562], [1174.75830078125, 881.8545532226562], [1174.75830078125, 881.8545532226562]]"
28,7,00:48:40,87606,14,top,drop,,,"[834, 255]","[[896.72314453125, 289.7054748535156], [899.5526733398438, 286.83392333984375], [893.8934936523438, 288.2696838378906], [906.6266479492188, 289.7054748535156], [892.4786987304688, 289.7054748535156], [910.87109375, 302.62744140625], [895.3082885742188, 304.0632019042969], [925.01904296875, 314.1136169433594], [893.8934936523438, 311.2420654296875], [925.01904296875, 328.4713439941406], [893.8934936523438, 299.7558898925781], [916.5302734375, 337.08599853515625], [903.797119140625, 337.08599853515625], [909.456298828125, 362.929931640625], [895.3082885742188, 355.7510681152344], [930.67822265625, 385.9023132324219], [895.3082885742188, 372.9803161621094], [912.9932556152344, 379.4413146972656]]","[[985.9508056640625, 607.1752319335938], [985.9508056640625, 605.7357177734375], [987.3819580078125, 605.7357177734375], [985.9508056640625, 611.493896484375], [1003.1244506835938, 611.493896484375], [975.9328002929688, 640.2847290039062], [1014.5736083984375, 635.9661254882812], [964.4837036132812, 674.8338012695312], [1021.7293090820312, 660.4383544921875], [947.31005859375, 692.1082763671875], [1004.5556030273438, 654.68017578125], [985.9508056640625, 699.3059692382812], [1013.1424560546875, 699.3059692382812], [948.7412109375, 738.1736450195312], [1005.9866943359375, 732.41552734375], [950.1723022460938, 795.75537109375], [1018.866943359375, 777.0413818359375], [984.5196228027344, 786.3983764648438]]"
28,8,00:48:41,87633,3,bottom,lob,,,"[754, 502]","[[912.04052734375, 310.50079345703125], [914.892822265625, 307.6178283691406], [910.6143188476562, 307.6178283691406], [919.1712646484375, 307.6178283691406], [906.3357543945312, 309.059326171875], [926.3021240234375, 317.7082824707031], [899.2050170898438, 322.0327453613281], [933.432861328125, 329.2402038574219], [890.6480102539062, 337.88916015625], [934.8590698242188, 342.213623046875], [884.943359375, 350.86260986328125], [917.7451171875, 346.5381164550781], [903.4834594726562, 346.5381164550781], [923.4497680664062, 371.0434875488281], [904.90966796875, 371.0434875488281], [914.892822265625, 389.78289794921875], [900.631103515625, 399.8733215332031], [907.761962890625, 394.82810974121094]]","[[810.44921875, 532.3558349609375], [813.314208984375, 532.3558349609375], [806.1516723632812, 532.3558349609375], [803.2867431640625, 542.376220703125], [819.0442504882812, 539.5132446289062], [798.9891357421875, 560.9854736328125], [826.206787109375, 556.6910400390625], [796.1241455078125, 559.5540161132812], [836.2343139648438, 572.4373168945312], [786.0965576171875, 546.670654296875], [853.4244384765625, 583.88916015625], [807.584228515625, 609.6558227539062], [826.206787109375, 609.6558227539062], [798.9891357421875, 609.6558227539062], [846.2619018554688, 655.4631958007812], [796.1241455078125, 632.5595092773438], [840.5318603515625, 694.1132202148438], [818.3280029296875, 663.3363647460938]]"
28,9,00:48:42,87668,14,top,clear,,,"[1121, 219]","[[1053.038818359375, 284.7653503417969], [1054.4676513671875, 280.4961242675781], [1051.610107421875, 280.4961242675781], [1043.0374755859375, 276.2268981933594], [1044.4661865234375, 276.2268981933594], [1030.178466796875, 279.07305908203125], [1033.0361328125, 289.0345764160156], [1050.181396484375, 276.2268981933594], [1048.7525634765625, 279.07305908203125], [1053.038818359375, 273.3807678222656], [1043.0374755859375, 286.1884460449219], [1008.7470092773438, 307.5345458984375], [1023.03466796875, 313.22686767578125], [993.030517578125, 323.1883850097656], [1037.3223876953125, 335.9960632324219], [1058.7540283203125, 350.226806640625], [1058.7540283203125, 350.226806640625], [1058.7540283203125, 350.226806640625]]","[[1002.2019653320312, 545.7866821289062], [992.198486328125, 541.4783325195312], [1000.7728881835938, 544.3505859375], [980.7659301757812, 542.9144287109375], [999.34375, 544.3505859375], [965.046142578125, 561.5841064453125], [996.4856567382812, 565.8924560546875], [942.1810913085938, 588.8704833984375], [1012.2055053710938, 600.3595581054688], [936.46484375, 608.976318359375], [1027.9251708984375, 616.1569213867188], [952.1845703125, 617.5930786132812], [976.4786987304688, 623.3375854492188], [950.7554321289062, 657.8046264648438], [999.34375, 663.5491943359375], [939.3229370117188, 705.1968994140625], [997.9147338867188, 716.6859130859375], [968.6188354492188, 710.94140625]]"
28,10,00:48:43,87695,3,bottom,clear,,,"[1287, 419]","[[1032.4656982421875, 279.9825134277344], [1035.2978515625, 277.1279296875], [1031.0496826171875, 277.1279296875], [1039.5458984375, 278.5552062988281], [1025.385498046875, 278.5552062988281], [1042.3780517578125, 291.40087890625], [1018.30517578125, 289.97357177734375], [1052.2904052734375, 299.9646301269531], [1006.9768676757812, 302.8192138671875], [1050.8743896484375, 315.66485595703125], [1001.3126831054688, 317.0921936035156], [1038.1298828125, 322.80133056640625], [1021.1373291015625, 322.80133056640625], [1048.042236328125, 351.3472595214844], [1018.30517578125, 348.49267578125], [1048.042236328125, 374.1839599609375], [1012.6409912109375, 369.9020690917969], [1030.3416137695312, 372.0430145263672]]","[[1218.63427734375, 649.7062377929688], [1221.495849609375, 651.1475830078125], [1220.0650634765625, 651.1475830078125], [1220.0650634765625, 665.56103515625], [1224.3572998046875, 667.0023803710938], [1208.618896484375, 662.6783447265625], [1201.465087890625, 655.4716186523438], [1220.0650634765625, 616.5553588867188], [1220.0650634765625, 615.114013671875], [1240.0958251953125, 581.963134765625], [1240.0958251953125, 580.5217895507812], [1180.0035400390625, 720.3320922851562], [1154.2498779296875, 704.477294921875], [1211.4803466796875, 766.455078125], [1211.4803466796875, 766.455078125], [1129.9267578125, 815.460693359375], [1131.3575439453125, 816.902099609375], [1130.6421508789062, 816.181396484375]]"
