rally,ball_round,time,frame_num,player,pos,type,lose_reason,getpoint_player,ball,top,bottom
38,1,00:59:38,107341,3,bottom,short service,,,"[986, 424]","[[937.4932861328125, 369.21868896484375], [940.3490600585938, 364.9036560058594], [934.6375732421875, 364.9036560058594], [946.060546875, 367.78033447265625], [930.3539428710938, 369.21868896484375], [957.4835815429688, 389.35546875], [926.0703735351562, 387.9171142578125], [973.1902465820312, 405.17724609375], [911.7916259765625, 402.3005676269531], [991.7525024414062, 426.7524108886719], [916.0752563476562, 397.98553466796875], [954.6278076171875, 439.6974792480469], [933.2096557617188, 438.2591247558594], [951.7720947265625, 485.7244567871094], [928.9261474609375, 478.53277587890625], [951.7720947265625, 540.3815307617188], [936.0654296875, 511.6146545410156], [943.9187622070312, 525.9980926513672]]","[[1084.1915283203125, 596.1981201171875], [1071.38134765625, 586.14501953125], [1079.9215087890625, 590.4534912109375], [1072.8048095703125, 590.4534912109375], [1094.155029296875, 590.4534912109375], [1059.99462890625, 619.1765747070312], [1106.9652099609375, 619.1765747070312], [1047.1844482421875, 655.0804443359375], [1126.8922119140625, 652.2081298828125], [1061.4178466796875, 668.0057983398438], [1126.8922119140625, 650.77197265625], [1068.53466796875, 692.4204711914062], [1097.001708984375, 692.4204711914062], [1077.0748291015625, 739.8135375976562], [1095.5784912109375, 746.9943237304688], [1079.9215087890625, 790.0789184570312], [1088.461669921875, 801.5682373046875], [1084.1915893554688, 795.8235778808594]]"
38,2,00:59:38,107360,2,top,net shot,,,"[1130, 568]","[[946.3304443359375, 370.26611328125], [949.1793212890625, 365.97113037109375], [942.0571899414062, 365.97113037109375], [952.0281372070312, 368.8344421386719], [936.3594970703125, 368.8344421386719], [961.9991455078125, 387.4458923339844], [930.6618041992188, 383.1509704589844], [976.2433471679688, 413.215576171875], [905.0222778320312, 401.76239013671875], [981.9410400390625, 443.28021240234375], [907.87109375, 424.66876220703125], [960.5747680664062, 431.8270263671875], [940.6328125, 430.3953552246094], [966.2723999023438, 479.07147216796875], [930.6618041992188, 470.4815368652344], [980.5166625976562, 529.1791381835938], [932.0862426757812, 507.70440673828125], [956.3014526367188, 518.4417724609375]]","[[1084.41259765625, 594.1760864257812], [1085.84228515625, 589.8619384765625], [1081.5531005859375, 589.8619384765625], [1065.8258056640625, 589.8619384765625], [1087.27197265625, 591.2999877929688], [1054.3876953125, 615.746826171875], [1091.561279296875, 618.6229248046875], [1042.94970703125, 640.1936645507812], [1097.2803955078125, 621.4990234375], [1012.9248046875, 660.3263549804688], [1101.569580078125, 615.746826171875], [1057.2471923828125, 687.6493530273438], [1081.5531005859375, 686.2113037109375], [1047.2388916015625, 742.2952880859375], [1074.404296875, 706.343994140625], [1078.6934814453125, 766.7421264648438], [1071.544677734375, 739.419189453125], [1075.1190795898438, 753.0806579589844]]"
38,3,00:59:39,107389,3,bottom,push/rush,,,"[1061, 441]","[[1005.6072998046875, 453.0938415527344], [1009.9025268554688, 448.78570556640625], [1002.743896484375, 448.78570556640625], [1015.62939453125, 451.65777587890625], [999.88037109375, 453.0938415527344], [1025.6514892578125, 471.76239013671875], [998.4486694335938, 471.76239013671875], [1031.3785400390625, 476.070556640625], [1007.0390014648438, 493.3031005859375], [1014.1976928710938, 464.5821838378906], [986.9947509765625, 486.1228332519531], [1028.5150146484375, 517.7158203125], [1001.3121337890625, 513.40771484375], [1029.94677734375, 542.1286010742188], [998.4486694335938, 560.7971801757812], [1028.5150146484375, 588.08203125], [1004.175537109375, 585.2099609375], [1016.3452758789062, 586.64599609375]]","[[1000.4698486328125, 583.3541870117188], [1000.4698486328125, 579.0427856445312], [1024.9443359375, 571.8571166992188], [1003.3492431640625, 580.4799194335938], [1023.5046997070312, 577.6056518554688], [1001.9094848632812, 607.7855224609375], [1037.9014892578125, 606.348388671875], [1000.4698486328125, 646.5882568359375], [1058.0570068359375, 636.5282592773438], [990.39208984375, 669.5824584960938], [1060.9364013671875, 663.8338623046875], [1017.7459716796875, 673.8938598632812], [1045.099853515625, 668.1453247070312], [990.39208984375, 722.7565307617188], [1030.703125, 699.7623291015625], [996.1508178710938, 781.67919921875], [1036.4617919921875, 750.0621337890625], [1016.3063049316406, 765.8706665039062]]"
38,4,00:59:40,107424,2,top,clear,,,"[1247, 386]","[[1030.0460205078125, 375.8108215332031], [1032.9234619140625, 372.9418029785156], [1025.72998046875, 372.9418029785156], [1037.239501953125, 375.8108215332031], [1019.9752197265625, 374.3763427734375], [1044.432861328125, 395.89410400390625], [1008.465576171875, 391.590576171875], [1053.0650634765625, 423.1500549316406], [979.6917724609375, 405.935791015625], [1060.258544921875, 450.40594482421875], [979.6917724609375, 428.88812255859375], [1028.6072998046875, 436.06072998046875], [1002.7108154296875, 436.06072998046875], [1041.5555419921875, 476.227294921875], [994.0786743164062, 477.6618347167969], [1047.310302734375, 525.0010375976562], [972.4983520507812, 516.3938598632812], [1009.9043273925781, 520.6974487304688]]","[[1174.1380615234375, 728.1671142578125], [1174.1380615234375, 725.2872314453125], [1172.7064208984375, 726.7271118164062], [1148.3660888671875, 723.8472290039062], [1172.7064208984375, 726.7271118164062], [1138.3436279296875, 741.1265258789062], [1172.7064208984375, 761.2857055664062], [1128.3211669921875, 769.9254150390625], [1199.9102783203125, 764.1655883789062], [1225.6822509765625, 767.0454711914062], [1234.27294921875, 765.6055908203125], [1122.593994140625, 818.8834228515625], [1148.3660888671875, 827.5230712890625], [1135.4801025390625, 856.3218994140625], [1197.046630859375, 859.2017822265625], [1083.9359130859375, 879.3610229492188], [1202.7738037109375, 918.239501953125], [1143.3548583984375, 898.8002624511719]]"
38,5,00:59:41,107447,3,bottom,smash,,,"[1203, 347]","[[1116.5633544921875, 311.8432922363281], [1119.42236328125, 308.9753112792969], [1112.2747802734375, 308.9753112792969], [1122.281494140625, 308.9753112792969], [1106.5567626953125, 311.8432922363281], [1129.4290771484375, 319.0132751464844], [1109.415771484375, 330.4851989746094], [1149.4422607421875, 300.371337890625], [1105.127197265625, 341.9571533203125], [1169.45556640625, 294.6353759765625], [1112.2747802734375, 321.8812561035156], [1133.717529296875, 379.2409973144531], [1117.992919921875, 383.5429992675781], [1129.4290771484375, 432.2987365722656], [1119.42236328125, 436.6007385253906], [1109.415771484375, 476.7525329589844], [1102.2681884765625, 482.4885559082031], [1105.8419799804688, 479.62054443359375]]","[[1046.823486328125, 668.901123046875], [1048.2559814453125, 664.5912475585938], [1072.6085205078125, 667.4645385742188], [1048.2559814453125, 667.4645385742188], [1069.7435302734375, 670.3377685546875], [1031.06591796875, 691.88720703125], [1078.338623046875, 699.0703735351562], [1006.7131958007812, 719.1831665039062], [1095.5286865234375, 742.1692504882812], [999.5507202148438, 739.2959594726562], [1111.2862548828125, 770.90185546875], [1022.4708862304688, 763.7186889648438], [1059.7159423828125, 766.5919799804688], [992.3881225585938, 782.3948974609375], [1099.826171875, 782.3948974609375], [966.60302734375, 829.8037109375], [1117.0162353515625, 841.2966918945312], [1041.8096313476562, 835.5502014160156]]"
38,6,00:59:41,107459,2,top,defensive shot,,,"[1207, 420]","[[1164.1033935546875, 361.808349609375], [1166.936279296875, 357.4940185546875], [1159.8541259765625, 357.4940185546875], [1171.185546875, 360.3702392578125], [1154.1884765625, 360.3702392578125], [1168.3526611328125, 380.50372314453125], [1147.1064453125, 379.0656433105469], [1169.7691650390625, 410.70391845703125], [1132.942138671875, 404.9515075683594], [1186.76611328125, 438.0279235839844], [1155.6048583984375, 397.760986328125], [1165.5198974609375, 429.3992919921875], [1147.1064453125, 432.2755126953125], [1185.3497314453125, 468.2281188964844], [1181.1005859375, 466.7900390625], [1179.68408203125, 492.6759033203125], [1169.7691650390625, 508.4950866699219], [1174.7266235351562, 500.5854949951172]]","[[1141.4215087890625, 698.98095703125], [1141.4215087890625, 694.66748046875], [1141.4215087890625, 696.1052856445312], [1118.4697265625, 690.35400390625], [1138.552490234375, 697.5431518554688], [1092.6490478515625, 697.5431518554688], [1124.207763671875, 721.9861450195312], [1053.91796875, 696.1052856445312], [1158.6353759765625, 744.9913940429688], [1019.4904174804688, 688.9161376953125], [1184.4559326171875, 756.4940795898438], [1041.0076904296875, 747.8670654296875], [1069.6973876953125, 763.6831665039062], [1023.7938232421875, 799.6288452148438], [1115.600830078125, 765.1210327148438], [976.4559326171875, 828.3853759765625], [1114.1663818359375, 826.9475708007812], [1045.3111572265625, 827.6664733886719]]"
38,7,00:59:43,107514,3,bottom,smash,,,"[1091, 429]","[[1019.7052001953125, 360.11761474609375], [1024.0206298828125, 355.7962951660156], [1016.8282470703125, 357.2367248535156], [1028.3360595703125, 358.67718505859375], [1011.0744018554688, 358.67718505859375], [1038.4052734375, 377.40289306640625], [1003.882080078125, 377.40289306640625], [1048.4744873046875, 407.6521301269531], [990.9359130859375, 396.12860107421875], [1051.3514404296875, 433.5800476074219], [982.3050537109375, 411.97344970703125], [1028.3360595703125, 417.7351989746094], [1003.882080078125, 417.7351989746094], [1048.4744873046875, 458.0675354003906], [988.0589599609375, 458.0675354003906], [1042.720703125, 489.7572021484375], [962.1665649414062, 499.84027099609375], [1002.4436340332031, 494.7987365722656]]","[[1095.419921875, 648.2455444335938], [1096.8502197265625, 642.5014038085938], [1095.419921875, 643.9373779296875], [1073.9649658203125, 636.7572021484375], [1096.8502197265625, 642.5014038085938], [1058.231201171875, 661.169921875], [1099.7109375, 668.3501586914062], [1041.0672607421875, 684.1466064453125], [1043.927978515625, 684.1466064453125], [1012.4605712890625, 705.687255859375], [1013.8909301757812, 705.687255859375], [1039.636962890625, 732.9720458984375], [1075.395263671875, 738.7162475585938], [999.5875854492188, 773.1812133789062], [1105.4322509765625, 766.0010375976562], [966.6898803710938, 817.6985473632812], [1116.875, 822.0067138671875], [1041.7824401855469, 819.8526306152344]]"
38,8,00:59:43,107517,2,top,defensive shot,,,"[1070, 397]","[[998.904052734375, 361.4828186035156], [1001.7568969726562, 357.18133544921875], [994.6248779296875, 357.18133544921875], [1006.0360107421875, 358.61517333984375], [988.9192504882812, 358.61517333984375], [1016.0208740234375, 384.4240417480469], [981.7872924804688, 380.12255859375], [1026.005615234375, 410.2329406738281], [970.3761596679688, 397.3285217285156], [1028.8583984375, 440.3432922363281], [961.8176879882812, 411.6667785644531], [1011.7416381835938, 428.8726806640625], [986.0665283203125, 427.4388732910156], [1028.8583984375, 458.9830627441406], [963.244140625, 458.9830627441406], [1043.1224365234375, 489.0934143066406], [938.995361328125, 501.9978942871094], [991.0588989257812, 495.545654296875]]","[[1092.1112060546875, 637.1190795898438], [1066.3280029296875, 628.5012817382812], [1087.81396484375, 634.2465209960938], [1067.7603759765625, 631.3738403320312], [1089.2464599609375, 632.8101806640625], [1052.00390625, 654.3546752929688], [1094.97607421875, 661.5361938476562], [1039.1123046875, 683.0806884765625], [1102.13818359375, 675.8992309570312], [1011.8965454101562, 704.625244140625], [1014.7613525390625, 704.625244140625], [1037.6798095703125, 729.0423583984375], [1073.489990234375, 731.9149169921875], [1000.4373168945312, 769.2587890625], [1100.7056884765625, 763.5135498046875], [966.0596313476562, 818.093017578125], [1115.02978515625, 819.529296875], [1040.5447082519531, 818.8111572265625]]"
38,9,00:59:44,107536,3,bottom,drive,,,"[904, 438]","[[927.2872924804688, 420.828857421875], [931.56396484375, 417.9640197753906], [924.4361572265625, 417.9640197753906], [932.9895629882812, 423.69366455078125], [917.3084106445312, 420.828857421875], [935.8406372070312, 445.1800231933594], [913.03173828125, 433.72064208984375], [931.56396484375, 469.5312194824219], [900.20166015625, 430.8558044433594], [920.1594848632812, 495.3148193359375], [881.66943359375, 433.72064208984375], [931.56396484375, 486.72027587890625], [914.457275390625, 482.42303466796875], [924.4361572265625, 512.50390625], [897.3505859375, 505.341796875], [924.4361572265625, 568.368408203125], [917.3084106445312, 525.3956909179688], [920.8722839355469, 546.8820495605469]]","[[944.7666015625, 620.5457763671875], [946.189453125, 616.230712890625], [946.189453125, 617.6690673828125], [949.03515625, 617.6690673828125], [971.801025390625, 616.230712890625], [943.3436279296875, 647.874267578125], [988.87548828125, 640.6825561523438], [936.2293090820312, 683.8328247070312], [1011.641357421875, 675.2027587890625], [926.2692260742188, 706.8463134765625], [1014.487060546875, 696.7778930664062], [963.2638549804688, 716.9146728515625], [994.5669555664062, 715.476318359375], [924.8463745117188, 762.9415893554688], [993.1441040039062, 744.2431640625], [931.960693359375, 820.4752197265625], [993.1441040039062, 790.2700805664062], [962.5523986816406, 805.3726501464844]]"
38,10,00:59:44,107547,2,top,push/rush,,,"[782, 420]","[[890.4042358398438, 378.4024963378906], [894.6612548828125, 375.5246276855469], [886.1471557617188, 375.5246276855469], [900.33740234375, 378.4024963378906], [881.8900756835938, 378.4024963378906], [910.2704467773438, 399.986572265625], [880.4710693359375, 392.7918701171875], [927.2987670898438, 428.7654113769531], [866.2808227539062, 404.30340576171875], [925.8796997070312, 453.2273864746094], [854.9287109375, 417.2538757324219], [911.6895751953125, 446.03265380859375], [891.8232421875, 443.15478515625], [908.8514404296875, 489.20086669921875], [874.7949829101562, 489.20086669921875], [928.7177734375, 541.002685546875], [896.080322265625, 532.3690795898438], [912.3990478515625, 536.6858825683594]]","[[896.3569946289062, 604.480712890625], [899.2166748046875, 603.03955078125], [899.2166748046875, 603.03955078125], [904.93603515625, 607.363037109375], [922.0941772460938, 613.127685546875], [920.6643676757812, 637.6273193359375], [893.4972534179688, 623.2157592773438], [950.691162109375, 672.215087890625], [856.3212280273438, 608.80419921875], [964.9896240234375, 693.8323974609375], [970.7090454101562, 696.7147216796875], [919.2345581054688, 716.8909301757812], [933.5330200195312, 712.5674438476562], [896.3569946289062, 767.3313598632812], [919.2345581054688, 752.9197998046875], [897.7868041992188, 829.3010864257812], [946.4016723632812, 797.5956420898438], [922.09423828125, 813.4483642578125]]"
