rally,ball_round,time,frame_num,player,pos,type,lose_reason,getpoint_player,ball,top,bottom
9,2,00:37:38,67740,21,bottom,net shot,,,"[1112, 549]","[[1004.8838500976562, 495.9246826171875], [1007.7373046875, 491.6106262207031], [1000.6035766601562, 491.6106262207031], [1012.0176391601562, 493.0486755371094], [992.0430908203125, 493.0486755371094], [1014.87109375, 511.742919921875], [976.3488159179688, 510.304931640625], [1033.4188232421875, 537.6273193359375], [956.374267578125, 530.4371948242188], [1047.6864013671875, 564.94970703125], [957.801025390625, 557.7596435546875], [990.6163330078125, 552.0075073242188], [966.3615112304688, 550.5695190429688], [1010.5907592773438, 579.3299560546875], [973.4953002929688, 583.64404296875], [1007.7373046875, 615.280517578125], [960.6544799804688, 628.2227172851562], [984.1958923339844, 621.7516174316406]]","[[1081.8265380859375, 631.0924682617188], [1081.8265380859375, 626.7886352539062], [1104.784912109375, 632.527099609375], [1081.8265380859375, 629.6578369140625], [1104.784912109375, 635.3963623046875], [1067.4776611328125, 649.7426147460938], [1107.6546630859375, 665.5234985351562], [1043.08447265625, 669.827392578125], [1111.9593505859375, 688.4774780273438], [1010.0818481445312, 681.3043823242188], [1119.1337890625, 674.1312255859375], [1060.30322265625, 724.3430786132812], [1086.1312255859375, 724.3430786132812], [1038.77978515625, 783.1626586914062], [1086.1312255859375, 744.4277954101562], [1051.69384765625, 810.4205932617188], [1100.480224609375, 794.6397094726562], [1076.0870361328125, 802.5301513671875]]"
9,3,00:37:38,67761,22,top,net shot,,,"[1005, 525]","[[986.5780029296875, 521.2916259765625], [989.4412231445312, 516.9739379882812], [982.2830810546875, 518.4132080078125], [995.1676635742188, 516.9739379882812], [976.556640625, 521.2916259765625], [999.4624633789062, 538.5626220703125], [976.556640625, 544.3197021484375], [1019.5050659179688, 544.3197021484375], [990.872802734375, 560.1513671875], [1042.410888671875, 552.9551391601562], [1010.9153442382812, 568.7869262695312], [983.7147827148438, 591.8148803710938], [969.3986206054688, 591.8148803710938], [986.5780029296875, 620.5999145507812], [982.2830810546875, 616.2821044921875], [965.103759765625, 637.8709106445312], [965.103759765625, 634.9923706054688], [965.103759765625, 636.431640625]]","[[976.170654296875, 633.352783203125], [977.6090698242188, 629.03076171875], [977.6090698242188, 629.03076171875], [981.9244995117188, 629.03076171875], [1007.817138671875, 629.03076171875], [986.239990234375, 652.0816040039062], [1025.078857421875, 650.6409301757812], [989.1168823242188, 690.97998046875], [1043.779052734375, 689.539306640625], [973.2935791015625, 728.4376831054688], [1049.5330810546875, 722.6749877929688], [1016.4480590820312, 719.7935791015625], [1046.6561279296875, 719.7935791015625], [977.6090698242188, 775.9801635742188], [1016.4480590820312, 758.6919555664062], [974.7321166992188, 842.2514038085938], [1020.7634887695312, 817.7598266601562], [997.747802734375, 830.005615234375]]"
9,4,00:37:39,67781,21,bottom,lob,,,"[1042, 463]","[[1017.9695434570312, 504.3128967285156], [1022.2698974609375, 500.0013732910156], [1015.1027221679688, 500.0013732910156], [1025.13671875, 501.4385681152344], [1005.06884765625, 500.0013732910156], [1026.5701904296875, 522.9960327148438], [987.8677368164062, 521.5588989257812], [1042.3377685546875, 544.5535888671875], [970.6666870117188, 547.4279174804688], [1055.238525390625, 567.5482177734375], [974.9669189453125, 570.422607421875], [1000.7684936523438, 567.5482177734375], [982.134033203125, 567.5482177734375], [1010.802490234375, 596.2916259765625], [1000.7684936523438, 597.728759765625], [985.0009155273438, 622.16064453125], [987.8677368164062, 646.5924682617188], [986.434326171875, 634.3765563964844]]","[[1108.9090576171875, 644.8455810546875], [1108.9090576171875, 640.5235595703125], [1108.9090576171875, 637.6422119140625], [1086.1007080078125, 636.2015380859375], [1107.4835205078125, 643.4049072265625], [1068.994384765625, 653.4895629882812], [1108.9090576171875, 670.777587890625], [1046.18603515625, 670.777587890625], [1118.8878173828125, 701.0316162109375], [1023.3775634765625, 689.5062866210938], [1023.3775634765625, 689.5062866210938], [1050.4625244140625, 725.5230102539062], [1083.2496337890625, 731.28564453125], [1037.6329345703125, 773.0650634765625], [1103.20703125, 728.404296875], [1029.0797119140625, 810.5223999023438], [1111.7601318359375, 777.3870239257812], [1070.419921875, 793.9547119140625]]"
9,5,00:37:40,67811,22,top,clear,,,"[881, 371]","[[842.0357666015625, 470.3327941894531], [844.8743286132812, 467.4764099121094], [844.8743286132812, 466.0482177734375], [853.39013671875, 471.760986328125], [851.9707641601562, 470.3327941894531], [853.39013671875, 488.8992614746094], [847.712890625, 490.32745361328125], [866.1637573242188, 510.3221130371094], [843.4550170898438, 521.7476196289062], [877.5181274414062, 537.4577026367188], [829.2620849609375, 531.7449951171875], [863.3251342773438, 541.7423095703125], [856.2286376953125, 538.8859252929688], [846.2936401367188, 587.4443969726562], [843.4550170898438, 584.5880126953125], [883.1953125, 601.7262573242188], [834.9392700195312, 580.3034057617188], [859.0672912597656, 591.0148315429688]]","[[893.1229248046875, 629.9595947265625], [894.5573120117188, 622.7528686523438], [897.4261474609375, 622.7528686523438], [897.4261474609375, 627.076904296875], [923.2454833984375, 628.5182495117188], [891.6884765625, 651.5797119140625], [939.02392578125, 654.46240234375], [888.8197021484375, 684.7305908203125], [956.23681640625, 687.61328125], [883.0820922851562, 723.6468505859375], [961.9744873046875, 720.76416015625], [900.294921875, 729.4122314453125], [934.720703125, 729.4122314453125], [861.56591796875, 775.5352172851562], [944.7615966796875, 769.769775390625], [828.5745849609375, 827.4235229492188], [959.1056518554688, 830.3062744140625], [893.8401184082031, 828.8648986816406]]"
9,6,00:37:41,67843,21,bottom,defensive shot,,,"[1189, 502]","[[984.7467041015625, 457.64129638671875], [987.5943603515625, 453.3412170410156], [980.4751586914062, 453.3412170410156], [991.8658447265625, 454.7745666503906], [973.3560180664062, 454.7745666503906], [997.5611572265625, 473.4081115722656], [963.3892211914062, 476.27484130859375], [1024.614013671875, 490.6083068847656], [950.57470703125, 504.9418029785156], [1023.190185546875, 490.6083068847656], [951.99853515625, 526.4420166015625], [991.8658447265625, 525.0086669921875], [969.0845336914062, 526.4420166015625], [1020.3424682617188, 559.4090576171875], [960.54150390625, 565.1424560546875], [1020.3424682617188, 599.5427856445312], [944.87939453125, 600.9761352539062], [982.6109313964844, 600.2594604492188]]","[[1101.846923828125, 711.8543701171875], [1097.5369873046875, 706.1026611328125], [1097.5369873046875, 707.5405883789062], [1067.3670654296875, 719.0439453125], [1091.790283203125, 716.1680908203125], [1061.6204833984375, 740.6126708984375], [1091.790283203125, 749.2400512695312], [1053.0006103515625, 757.8676147460938], [1113.3402099609375, 776.5604858398438], [1132.0167236328125, 793.8154907226562], [1147.8199462890625, 798.1292114257812], [1045.8172607421875, 822.5737915039062], [1071.6771240234375, 826.8875122070312], [1087.4803466796875, 864.2732543945312], [1127.706787109375, 862.8353271484375], [1034.323974609375, 884.404052734375], [1119.0867919921875, 924.6656494140625], [1076.7053833007812, 904.5348510742188]]"
9,7,00:37:41,67857,22,top,defensive shot,,,"[1174, 461]","[[1097.773193359375, 470.5800476074219], [1097.773193359375, 467.7025451660156], [1092.035888671875, 467.7025451660156], [1080.5611572265625, 470.5800476074219], [1081.9954833984375, 470.5800476074219], [1070.520751953125, 486.40631103515625], [1087.7327880859375, 495.0388488769531], [1056.1773681640625, 495.0388488769531], [1112.1165771484375, 510.8650817871094], [1100.641845703125, 500.7938537597656], [1129.3287353515625, 525.2526245117188], [1049.005615234375, 545.3951416015625], [1056.1773681640625, 549.71142578125], [1096.3388671875, 575.6089477539062], [1092.035888671875, 577.0476684570312], [1064.7833251953125, 620.2102661132812], [1070.520751953125, 618.7715454101562], [1067.6520385742188, 619.4909057617188]]","[[1059.301513671875, 644.58642578125], [1062.1737060546875, 640.2660522460938], [1089.4595947265625, 648.9067993164062], [1060.737548828125, 648.9067993164062], [1089.4595947265625, 650.346923828125], [1040.6322021484375, 676.2692260742188], [1099.5123291015625, 686.35009765625], [1023.39892578125, 706.5119018554688], [1111.0010986328125, 730.9940185546875], [1003.2935791015625, 718.0328979492188], [1121.0537109375, 759.7965698242188], [1039.196044921875, 758.3564453125], [1075.0986328125, 758.3564453125], [1027.707275390625, 798.6800537109375], [1108.12890625, 803.0003662109375], [1017.654541015625, 857.7252197265625], [1115.309326171875, 866.3659057617188], [1066.48193359375, 862.0455627441406]]"
9,8,00:37:42,67878,21,bottom,lob,,,"[1035, 505]","[[1062.2117919921875, 491.5071105957031], [1066.5311279296875, 488.63092041015625], [1057.8924560546875, 487.1928405761719], [1070.850341796875, 490.06903076171875], [1052.13330078125, 488.63092041015625], [1075.1697998046875, 507.32623291015625], [1033.416015625, 505.8881530761719], [1089.567626953125, 527.459716796875], [1017.5784301757812, 526.0216064453125], [1095.3267822265625, 549.03125], [1019.0182495117188, 550.4693603515625], [1056.45263671875, 549.03125], [1030.5364990234375, 550.4693603515625], [1079.4891357421875, 582.1076049804688], [1020.4580078125, 584.9837646484375], [1079.4891357421875, 622.3744506835938], [987.343017578125, 620.9363403320312], [1033.4160766601562, 621.6553955078125]]","[[1118.0068359375, 666.2025756835938], [1093.626708984375, 648.9581298828125], [1116.5726318359375, 661.8914794921875], [1093.626708984375, 654.706298828125], [1115.1385498046875, 664.7655639648438], [1079.285400390625, 673.3877563476562], [1116.5726318359375, 689.1951904296875], [1057.7735595703125, 693.5062866210938], [1112.2703857421875, 720.81005859375], [1037.69580078125, 712.1878051757812], [1082.1536865234375, 628.839599609375], [1074.9830322265625, 752.4248046875], [1103.66552734375, 752.4248046875], [1044.866455078125, 805.5952758789062], [1109.402099609375, 769.6693115234375], [1041.9981689453125, 848.7064208984375], [1126.611572265625, 818.528564453125], [1084.3048706054688, 833.6174926757812]]"
9,9,00:37:43,67908,22,top,clear,,,"[725, 345]","[[836.7027587890625, 473.95159912109375], [840.9507446289062, 471.0836486816406], [838.1187744140625, 471.0836486816406], [848.0308227539062, 475.38555908203125], [848.0308227539062, 475.38555908203125], [849.4468383789062, 491.15936279296875], [843.7827758789062, 491.15936279296875], [856.52685546875, 509.8011474609375], [840.9507446289062, 512.6691284179688], [857.94287109375, 544.2167358398438], [831.0386962890625, 525.574951171875], [866.4389038085938, 545.6506958007812], [863.6068725585938, 544.2167358398438], [850.86279296875, 594.4060668945312], [826.7906494140625, 547.0846557617188], [889.0950317382812, 607.3118896484375], [825.3746948242188, 587.2362060546875], [857.23486328125, 597.2740478515625]]","[[885.4276123046875, 632.7017822265625], [886.8533325195312, 628.3936157226562], [888.2791137695312, 629.8296508789062], [889.704833984375, 631.2656860351562], [913.9426879882812, 632.7017822265625], [882.5760498046875, 657.1148071289062], [931.0516967773438, 657.1148071289062], [878.298828125, 701.6327514648438], [955.28955078125, 700.1966552734375], [865.467041015625, 730.3539428710938], [958.1409912109375, 728.9179077148438], [908.2396850585938, 737.5343017578125], [939.606201171875, 737.5343017578125], [864.041259765625, 784.92431640625], [932.4774780273438, 769.127685546875], [871.1700439453125, 852.419189453125], [951.0122680664062, 832.3143920898438], [911.0911560058594, 842.3667907714844]]"
9,10,00:37:44,67941,21,bottom,smash,,,"[658, 497]","[[898.7470703125, 482.3348693847656], [901.62353515625, 478.0249938964844], [894.432373046875, 478.0249938964844], [907.37646484375, 480.89825439453125], [887.2413330078125, 480.89825439453125], [918.88232421875, 499.5744934082031], [882.9265747070312, 508.1943664550781], [941.8939208984375, 516.8141479492188], [875.7354736328125, 532.6171264648438], [946.2086181640625, 546.9835205078125], [875.7354736328125, 539.8003540039062], [928.9498901367188, 542.673583984375], [898.7470703125, 542.673583984375], [949.0850830078125, 569.9697265625], [871.4207153320312, 567.096435546875], [979.287841796875, 605.8855590820312], [854.162109375, 603.0122680664062], [916.7249755859375, 604.4489135742188]]","[[558.2626342773438, 650.3944091796875], [552.50341796875, 648.9583740234375], [555.3829956054688, 653.2666015625], [540.9849853515625, 671.9356689453125], [556.82275390625, 666.1913452148438], [552.50341796875, 696.34912109375], [581.2993774414062, 676.2439575195312], [614.4148559570312, 657.5748291015625], [614.4148559570312, 656.1387939453125], [640.3312377929688, 644.6500854492188], [640.3312377929688, 643.2140502929688], [584.1790161132812, 771.025390625], [602.8964233398438, 762.4088745117188], [548.1840209960938, 819.8522338867188], [680.645751953125, 765.281005859375], [492.0317687988281, 827.03271484375], [706.5621337890625, 834.2130737304688], [599.2969512939453, 830.6228942871094]]"
9,11,00:37:45,67956,22,top,defensive shot,,,"[765, 514]","[[806.2953491210938, 522.158935546875], [809.169677734375, 516.4495239257812], [804.8582153320312, 519.30419921875], [819.2294311523438, 516.4495239257812], [803.421142578125, 522.158935546875], [839.3490600585938, 526.4409790039062], [813.48095703125, 540.7144775390625], [862.3429565429688, 529.295654296875], [814.9180908203125, 556.4153442382812], [898.2708129882812, 532.150390625], [810.6067504882812, 577.8256225585938], [881.0254516601562, 550.7059326171875], [858.0315551757812, 559.27001953125], [908.3306884765625, 576.3982543945312], [833.6005859375, 572.1162109375], [951.4441528320312, 602.090576171875], [849.408935546875, 606.3726196289062], [900.4265441894531, 604.2315979003906]]","[[630.7933349609375, 697.58935546875], [627.918701171875, 690.40673828125], [629.3560180664062, 694.71630859375], [604.9218139648438, 696.1527709960938], [629.3560180664062, 700.4623413085938], [586.23681640625, 724.8832397460938], [633.6679077148438, 732.0658569335938], [573.3010864257812, 763.6693115234375], [640.8544921875, 778.0346069335938], [665.2886352539062, 801.0189819335938], [666.7259521484375, 802.4554443359375], [560.3653564453125, 803.8919677734375], [591.986083984375, 802.4554443359375], [541.6803588867188, 864.2259521484375], [640.8544921875, 849.8606567382812], [491.3746643066406, 887.2102661132812], [626.4814453125, 915.9406127929688], [558.9280548095703, 901.575439453125]]"
