rally,ball_round,time,frame_num,player,pos,type,lose_reason,getpoint_player,ball,top,bottom
2,1,00:07:04,12726,0,bottom,short service,,,"[977, 514]","[[1084.872314453125, 472.2686767578125], [1089.1708984375, 469.39581298828125], [1080.573486328125, 469.39581298828125], [1096.3353271484375, 470.8322448730469], [1076.27490234375, 472.2686767578125], [1109.2313232421875, 489.5055236816406], [1071.9761962890625, 495.2510986328125], [1122.1273193359375, 493.8147277832031], [1057.6473388671875, 521.1063842773438], [1132.157470703125, 495.2510986328125], [1047.6171875, 525.4156494140625], [1107.7984619140625, 554.1437377929688], [1082.0064697265625, 554.1437377929688], [1110.664306640625, 598.6722412109375], [1080.573486328125, 594.363037109375], [1104.9327392578125, 628.8367919921875], [1077.707763671875, 623.0911254882812], [1091.3202514648438, 625.9639587402344]]","[[924.4458618164062, 629.6880493164062], [930.146728515625, 623.9457397460938], [918.7449951171875, 623.9457397460938], [914.4693603515625, 628.2525024414062], [937.272705078125, 625.38134765625], [904.4928588867188, 658.3997802734375], [954.3753662109375, 654.093017578125], [888.8154907226562, 692.8538208007812], [972.903076171875, 687.1114501953125], [875.9885864257812, 718.6943359375], [981.454345703125, 712.9519653320312], [917.3197631835938, 733.0501098632812], [951.5248413085938, 731.6145629882812], [905.9180908203125, 794.7802734375], [961.5013427734375, 778.98876953125], [901.6423950195312, 860.8171997070312], [972.903076171875, 839.2833862304688], [937.2727355957031, 850.05029296875]]"
2,2,00:07:04,12735,21,top,net shot,,,"[1016, 544]","[[1063.94873046875, 502.0908203125], [1065.387451171875, 497.7753601074219], [1058.1934814453125, 499.2138366699219], [1074.0203857421875, 497.7753601074219], [1055.3157958984375, 503.5293273925781], [1089.847412109375, 512.1602172851562], [1058.1934814453125, 527.9835815429688], [1112.8685302734375, 515.0371704101562], [1059.6322021484375, 559.6302490234375], [1127.2567138671875, 506.40631103515625], [1055.3157958984375, 562.5072631835938], [1094.163818359375, 569.69970703125], [1072.58154296875, 574.01513671875], [1112.8685302734375, 618.6082153320312], [1088.4085693359375, 604.223388671875], [1095.6026611328125, 632.9931030273438], [1076.8980712890625, 657.4473266601562], [1086.2503662109375, 645.22021484375]]","[[920.6939086914062, 630.694580078125], [920.6939086914062, 626.377197265625], [922.1222534179688, 626.377197265625], [920.6939086914062, 626.377197265625], [943.5466918945312, 626.377197265625], [913.5524291992188, 656.5985717773438], [963.54296875, 655.1594848632812], [897.8411254882812, 686.8199462890625], [983.5391235351562, 686.8199462890625], [879.273193359375, 721.358642578125], [999.25048828125, 719.9194946289062], [934.9768676757812, 731.4324340820312], [967.8278198242188, 731.4324340820312], [920.6939086914062, 791.8751220703125], [967.8278198242188, 776.0448608398438], [922.1222534179688, 858.0742797851562], [979.2542724609375, 830.7311401367188], [950.6882629394531, 844.4027099609375]]"
2,3,00:07:05,12756,0,bottom,net shot,,,"[1052, 639]","[[1040.9219970703125, 481.683349609375], [1043.76611328125, 478.8045654296875], [1036.65576171875, 478.8045654296875], [1048.0323486328125, 478.8045654296875], [1029.54541015625, 478.8045654296875], [1048.0323486328125, 496.0772399902344], [1016.7467651367188, 497.5166015625], [1046.6102294921875, 513.3499145507812], [991.1495361328125, 524.864990234375], [1053.7205810546875, 523.4255981445312], [985.4612426757812, 553.6527099609375], [1019.5909423828125, 543.5770263671875], [999.6820068359375, 542.1376342773438], [1030.967529296875, 578.122314453125], [1005.3701782226562, 585.3192749023438], [1025.2791748046875, 614.1069946289062], [993.99365234375, 628.5009155273438], [1009.6364135742188, 621.303955078125]]","[[1012.8928833007812, 626.3076782226562], [1014.3226928710938, 621.984130859375], [1041.4898681640625, 627.7489013671875], [1015.7525634765625, 627.7489013671875], [1040.06005859375, 630.6312866210938], [1002.8839111328125, 653.6903076171875], [1045.7794189453125, 658.0138549804688], [982.865966796875, 685.396484375], [1047.209228515625, 685.396484375], [952.8390502929688, 704.1320190429688], [1051.4989013671875, 794.9270629882812], [1012.8928833007812, 730.0734252929688], [1040.06005859375, 725.7498779296875], [998.5942993164062, 792.0446166992188], [1042.9197998046875, 748.8089599609375], [1028.6212158203125, 820.8684692382812], [1051.4989013671875, 794.9270629882812], [1040.06005859375, 807.8977661132812]]"
2,4,00:07:05,12779,21,top,net shot,,,"[774, 534]","[[873.67236328125, 508.8085632324219], [880.82421875, 504.50848388671875], [872.241943359375, 504.50848388671875], [889.406494140625, 507.3752136230469], [869.3811645507812, 507.3752136230469], [902.2799072265625, 526.0087890625], [866.5203857421875, 528.8755493164062], [928.0266723632812, 528.8755493164062], [845.0648193359375, 530.308837890625], [827.9002075195312, 530.308837890625], [825.0394897460938, 530.308837890625], [900.8494873046875, 596.2430419921875], [872.241943359375, 594.8097534179688], [926.5962524414062, 634.943603515625], [849.3558959960938, 630.6435546875], [932.3178100585938, 667.9107055664062], [832.19140625, 669.3440551757812], [882.2546081542969, 668.6273803710938]]","[[922.3090209960938, 613.0684814453125], [923.7388305664062, 610.1937255859375], [925.1685791015625, 611.631103515625], [926.5982666015625, 613.0684814453125], [950.904296875, 611.631103515625], [928.0281372070312, 643.2530517578125], [969.4910888671875, 636.0662841796875], [920.8793334960938, 683.4992065429688], [989.5077514648438, 673.4376831054688], [896.5734252929688, 716.5584716796875], [978.0697021484375, 699.3101806640625], [960.91259765625, 717.9959106445312], [985.218505859375, 712.2464599609375], [936.6066284179688, 778.3651123046875], [962.3423461914062, 746.7431030273438], [969.4910888671875, 834.4221801757812], [960.91259765625, 799.925537109375], [965.2018432617188, 817.1738586425781]]"
2,5,00:07:06,12802,0,bottom,lob,,,"[791, 393]","[[871.3484497070312, 485.6815185546875], [875.622802734375, 482.811279296875], [868.4989013671875, 482.811279296875], [884.17138671875, 484.2463684082031], [864.2245483398438, 484.2463684082031], [891.2953491210938, 502.9031677246094], [851.4015502929688, 512.9491577148438], [896.9944458007812, 520.1248168945312], [835.72900390625, 541.6519165039062], [912.6670532226562, 538.7816162109375], [824.330810546875, 568.9194946289062], [887.02099609375, 560.3086547851562], [859.9502563476562, 561.7438354492188], [909.8174438476562, 597.6222534179688], [858.5254516601562, 603.36279296875], [902.6935424804688, 639.2412109375], [847.1272583007812, 650.7223510742188], [874.910400390625, 644.9817810058594]]","[[784.6438598632812, 648.17333984375], [786.0818481445312, 643.8744506835938], [786.0818481445312, 643.8744506835938], [790.39599609375, 648.17333984375], [809.0902709960938, 642.4414672851562], [811.96630859375, 675.3995361328125], [816.2803955078125, 658.2040405273438], [846.4789428710938, 679.6983642578125], [797.5861206054688, 673.966552734375], [865.1732177734375, 701.1928100585938], [776.0156860351562, 683.997314453125], [862.2972412109375, 718.3883056640625], [876.677490234375, 708.3576049804688], [873.8013916015625, 780.0055541992188], [827.7846069335938, 724.1201171875], [924.13232421875, 798.634033203125], [817.7184448242188, 771.4077758789062], [870.9253845214844, 785.0209045410156]]"
2,6,00:07:08,12856,21,top,smash,,,"[1119, 279]","[[1147.3746337890625, 411.4988098144531], [1147.3746337890625, 407.1902160644531], [1141.65234375, 404.31781005859375], [1147.3746337890625, 411.4988098144531], [1131.638427734375, 407.1902160644531], [1135.9300537109375, 431.6055603027344], [1113.041015625, 405.7539978027344], [1123.0550537109375, 450.2760925292969], [1103.027099609375, 384.2110595703125], [1157.3885498046875, 414.3712158203125], [1158.8192138671875, 414.3712158203125], [1114.4715576171875, 481.8724060058594], [1095.874267578125, 476.12762451171875], [1130.2078857421875, 529.2669067382812], [1078.70751953125, 522.0859375], [1155.9580078125, 559.427001953125], [1094.4437255859375, 559.427001953125], [1125.2008666992188, 559.427001953125]]","[[972.5751953125, 639.8883056640625], [972.5751953125, 635.5662841796875], [974.003173828125, 637.0070190429688], [974.003173828125, 638.4476318359375], [999.70703125, 638.4476318359375], [964.0072021484375, 665.8203735351562], [1015.4149169921875, 665.8203735351562], [946.8712768554688, 697.51513671875], [1038.2628173828125, 703.2777709960938], [934.0194091796875, 727.7691650390625], [1043.9747314453125, 730.6505126953125], [969.7191772460938, 740.7352294921875], [1006.846923828125, 740.7352294921875], [936.8753662109375, 788.27734375], [1032.55078125, 799.8026733398438], [912.5995483398438, 844.46337890625], [1046.8306884765625, 863.1921997070312], [979.7151184082031, 853.8277893066406]]"
2,7,00:07:09,12871,0,bottom,defensive shot,,,"[1093, 626]","[[1099.5819091796875, 442.00360107421875], [1102.4544677734375, 439.1380310058594], [1095.2730712890625, 439.1380310058594], [1108.1995849609375, 442.00360107421875], [1090.9642333984375, 442.00360107421875], [1112.5084228515625, 457.7642822265625], [1076.601318359375, 460.6299133300781], [1121.1260986328125, 474.95782470703125], [1055.0570068359375, 482.12176513671875], [1128.3076171875, 492.1513366699219], [1053.6207275390625, 510.7776184082031], [1101.0181884765625, 506.479248046875], [1078.03759765625, 506.479248046875], [1121.1260986328125, 545.1646728515625], [1078.03759765625, 549.4630126953125], [1119.68994140625, 573.8204956054688], [1079.473876953125, 586.715576171875], [1099.5819091796875, 580.2680358886719]]","[[1047.7587890625, 669.938720703125], [1043.44384765625, 664.1776733398438], [1046.3204345703125, 665.617919921875], [1017.5538940429688, 665.617919921875], [1042.005615234375, 669.938720703125], [997.4171752929688, 687.2219848632812], [1043.44384765625, 700.184326171875], [968.6505737304688, 718.9078369140625], [1067.8955078125, 730.429931640625], [942.7605590820312, 746.2728881835938], [1092.34716796875, 743.3923950195312], [980.1572265625, 763.5560913085938], [1017.5538940429688, 769.317138671875], [941.322265625, 808.204345703125], [1056.388916015625, 803.8836059570312], [901.0489501953125, 862.9345092773438], [1060.703857421875, 868.695556640625], [980.8764038085938, 865.8150329589844]]"
2,8,00:07:09,12899,21,top,net shot,,,"[740, 519]","[[867.86767578125, 513.2080078125], [872.1626586914062, 508.88421630859375], [867.86767578125, 508.88421630859375], [883.615966796875, 513.2080078125], [866.43603515625, 513.2080078125], [899.3643798828125, 531.9447021484375], [863.5726318359375, 542.03369140625], [917.9760131835938, 547.7987670898438], [839.2342529296875, 557.8877563476562], [915.1126708984375, 550.6813354492188], [813.4642944335938, 563.6528930664062], [902.2277221679688, 593.9197998046875], [875.0259399414062, 592.478515625], [922.2710571289062, 628.5105590820312], [853.5509033203125, 609.77392578125], [907.954345703125, 674.6315307617188], [849.2559814453125, 658.7774658203125], [878.6051635742188, 666.7044982910156]]","[[889.4406127929688, 630.6749267578125], [890.875732421875, 627.800537109375], [923.8827514648438, 624.9260864257812], [892.310791015625, 630.6749267578125], [919.5775146484375, 629.2377319335938], [889.4406127929688, 659.4190063476562], [935.363525390625, 653.6702270507812], [882.2651977539062, 699.6607666015625], [956.889892578125, 688.1631469726562], [867.9142456054688, 728.40478515625], [956.889892578125, 724.0932006835938], [921.0125732421875, 741.3397216796875], [948.279296875, 734.1536865234375], [900.92138671875, 803.139404296875], [933.928466796875, 770.0838012695312], [919.5775146484375, 866.37646484375], [938.2337036132812, 834.7579345703125], [928.9056091308594, 850.5671997070312]]"
2,9,00:07:10,12922,0,bottom,net shot,,,"[645, 671]","[[889.5810546875, 480.1849060058594], [893.8594970703125, 475.8656311035156], [886.7286987304688, 475.8656311035156], [900.990234375, 477.305419921875], [882.4502563476562, 477.305419921875], [913.8255615234375, 494.5823669433594], [871.0410766601562, 498.9016418457031], [926.6609497070312, 511.8594055175781], [856.779541015625, 530.576171875], [939.4962768554688, 530.576171875], [843.9442138671875, 563.6903686523438], [902.4163818359375, 544.9736328125], [875.3195190429688, 544.9736328125], [923.8086547851562, 578.087890625], [879.5979614257812, 588.1661376953125], [928.0870971679688, 624.1598510742188], [858.2057495117188, 637.1175537109375], [893.1464233398438, 630.6387023925781]]","[[729.3526000976562, 650.7333374023438], [730.791015625, 647.849853515625], [732.2293090820312, 650.7333374023438], [735.1060180664062, 652.175048828125], [756.6812744140625, 647.849853515625], [753.8045654296875, 679.5678100585938], [763.8729248046875, 666.5923461914062], [782.571533203125, 705.5189208984375], [784.0098876953125, 683.8930053710938], [789.7633056640625, 740.120361328125], [723.5992431640625, 682.4512939453125], [794.0783081054688, 741.5620727539062], [807.0234375, 731.469970703125], [822.8452758789062, 797.7894287109375], [749.489501953125, 741.5620727539062], [878.9408569335938, 813.6484375], [736.5443725585938, 794.9059448242188], [807.7426147460938, 804.2771911621094]]"
2,10,00:07:11,12952,21,top,net shot,,,"[669, 559]","[[759.0504150390625, 544.1726684570312], [761.9292602539062, 538.4615478515625], [757.6110229492188, 539.8893432617188], [770.56591796875, 538.4615478515625], [754.732177734375, 542.7449340820312], [789.2784423828125, 552.7394409179688], [757.6110229492188, 565.5894775390625], [807.9910278320312, 555.5950317382812], [741.7772827148438, 582.7229614257812], [792.1573486328125, 544.1726684570312], [720.1858520507812, 588.4341430664062], [799.3544921875, 611.2787475585938], [773.4447021484375, 615.5621337890625], [820.9459228515625, 641.2623291015625], [747.5350341796875, 629.8400268554688], [826.7036743164062, 644.117919921875], [744.6561279296875, 656.968017578125], [785.6799011230469, 650.54296875]]","[[752.8515014648438, 619.7601318359375], [752.8515014648438, 616.8845825195312], [754.2874755859375, 615.44677734375], [757.159423828125, 616.8845825195312], [781.5713500976562, 616.8845825195312], [760.0314331054688, 645.6397705078125], [801.6751708984375, 639.8887329101562], [754.2874755859375, 683.0215454101562], [821.779052734375, 675.832763671875], [729.8756103515625, 716.0900268554688], [821.779052734375, 706.0256958007812], [797.3671875, 717.52783203125], [820.3430786132812, 711.7767333984375], [797.3671875, 783.6648559570312], [787.3153076171875, 754.9095458984375], [831.8309936523438, 841.1752319335938], [808.8551025390625, 813.8577270507812], [820.3430480957031, 827.5164794921875]]"
