rally,ball_round,time,frame_num,player,pos,type,lose_reason,getpoint_player,ball,top,bottom
5,1,00:08:18,14949,25,bottom,short service,,,"[714, 403]","[[1003.0830688476562, 368.373046875], [1007.3435668945312, 362.609619140625], [1000.24267578125, 364.05047607421875], [1013.0242919921875, 365.4913330078125], [994.5619506835938, 366.93218994140625], [1027.22607421875, 384.2225036621094], [990.3014526367188, 387.104248046875], [1045.6883544921875, 402.95367431640625], [983.2005615234375, 405.8353576660156], [1054.20947265625, 428.8891296386719], [986.0409545898438, 415.92138671875], [1025.8057861328125, 438.97515869140625], [1003.0830688476562, 438.97515869140625], [1031.486572265625, 474.9966125488281], [997.40234375, 473.5557861328125], [1027.22607421875, 489.40521240234375], [1010.1838989257812, 500.9320983886719], [1018.7049865722656, 495.1686553955078]]","[[926.9443969726562, 584.291259765625], [926.9443969726562, 578.5289306640625], [949.7867431640625, 575.6477661132812], [928.3720092773438, 582.8507080078125], [949.7867431640625, 579.9695434570312], [922.6614990234375, 607.3406982421875], [965.4908447265625, 603.0189208984375], [898.3914794921875, 643.3553466796875], [988.3331909179688, 626.0682983398438], [894.1085205078125, 643.3553466796875], [996.8989868164062, 644.7959594726562], [935.51025390625, 682.251220703125], [964.063232421875, 677.929443359375], [931.2273559570312, 732.6718139648438], [959.7802124023438, 715.384765625], [934.0826416015625, 793.1764526367188], [958.3526000976562, 764.3646850585938], [946.2176208496094, 778.7705688476562]]"
5,2,00:08:18,14963,24,top,net shot,,,"[712, 401]","[[1008.7147216796875, 391.9656982421875], [1011.5551147460938, 386.2342834472656], [1004.4541625976562, 387.6671447753906], [1017.2359008789062, 389.1000061035156], [1000.1934814453125, 389.1000061035156], [1027.1773681640625, 404.8614196777344], [993.0924682617188, 404.8614196777344], [1042.799560546875, 417.75714111328125], [981.7308349609375, 409.1600036621094], [1049.900634765625, 432.0857238769531], [1049.900634765625, 432.0857238769531], [1022.916748046875, 453.5785827636719], [1001.6137084960938, 450.7128601074219], [1022.916748046875, 492.2657470703125], [987.4116821289062, 483.6686096191406], [1022.916748046875, 532.3857421875], [1008.7147216796875, 499.4300231933594], [1015.8157348632812, 515.9078826904297]]","[[993.0518798828125, 594.3662719726562], [971.5169067382812, 587.175537109375], [991.6162719726562, 590.0518188476562], [971.5169067382812, 590.0518188476562], [991.6162719726562, 592.9281005859375], [957.16015625, 613.0623168945312], [991.6162719726562, 617.3767700195312], [937.060791015625, 643.2635498046875], [1003.1016235351562, 657.6450805664062], [929.8824462890625, 684.9700317382812], [1008.84423828125, 695.037109375], [948.546142578125, 684.9700317382812], [972.9525146484375, 687.8463134765625], [968.6455078125, 715.1712646484375], [994.487548828125, 739.6198120117188], [955.7245483398438, 759.7540283203125], [987.3092651367188, 801.4605102539062], [971.5169067382812, 780.6072692871094]]"
5,3,00:08:19,14984,25,bottom,net shot,,,"[665, 542]","[[965.0780029296875, 382.7441101074219], [967.912841796875, 379.8609619140625], [962.2431640625, 379.8609619140625], [972.1649780273438, 382.7441101074219], [955.1561889648438, 381.3025207519531], [980.6694946289062, 401.4847412109375], [949.4865112304688, 397.15997314453125], [994.8434448242188, 428.8748474121094], [936.72998046875, 410.1342468261719], [999.095703125, 456.2649841308594], [928.2254638671875, 418.78375244140625], [983.5042114257812, 449.0570373535156], [965.0780029296875, 446.1738586425781], [974.9998168945312, 476.4471435546875], [949.4865112304688, 470.6808166503906], [977.8346557617188, 519.6947021484375], [959.408447265625, 498.07098388671875], [968.6215515136719, 508.8828430175781]]","[[949.8502807617188, 567.5322265625], [951.2754516601562, 564.653076171875], [952.7005004882812, 564.653076171875], [952.7005004882812, 566.0927124023438], [971.2268676757812, 567.5322265625], [945.5750122070312, 589.1257934570312], [972.6520385742188, 584.80712890625], [925.62353515625, 602.08203125], [964.1013793945312, 551.6969604492188], [898.5465087890625, 592.0049438476562], [969.8018188476562, 540.1803588867188], [951.2754516601562, 656.7857055664062], [968.3766479492188, 649.587890625], [938.449462890625, 711.489501953125], [947.0000610351562, 707.1707763671875], [976.9273071289062, 735.9622192382812], [966.9515991210938, 730.2039184570312], [971.939453125, 733.0830688476562]]"
5,4,00:08:20,15006,24,top,lob,,,"[1052, 88]","[[965.620849609375, 424.94207763671875], [969.894287109375, 420.6451416015625], [962.7717895507812, 420.6451416015625], [978.4413452148438, 423.5097351074219], [959.9227905273438, 422.07745361328125], [984.1392822265625, 443.5621032714844], [958.4983520507812, 439.26513671875], [985.5638427734375, 460.74981689453125], [939.9797973632812, 437.8328552246094], [984.1392822265625, 472.2083435058594], [920.036865234375, 426.3743591308594], [992.6863403320312, 493.6929626464844], [972.7432861328125, 492.26068115234375], [982.71484375, 525.203857421875], [962.7717895507812, 526.6361694335938], [981.290283203125, 563.876220703125], [992.6863403320312, 532.3654174804688], [986.9883117675781, 548.1208190917969]]","[[924.6271362304688, 572.6026611328125], [924.6271362304688, 568.30126953125], [943.1893310546875, 562.5661010742188], [926.0549926757812, 572.6026611328125], [944.6171875, 566.8674926757812], [933.1942749023438, 589.8082885742188], [963.1793212890625, 584.0730590820312], [931.7664184570312, 627.0870361328125], [977.4580078125, 614.182861328125], [927.4827880859375, 665.7996215820312], [927.4827880859375, 667.2333984375], [970.3187255859375, 650.02783203125], [988.880859375, 641.425048828125], [940.3335571289062, 700.2108154296875], [968.890869140625, 678.7037963867188], [953.1843872070312, 761.8641967773438], [987.4530639648438, 724.5853881835938], [970.3187255859375, 743.2247924804688]]"
5,5,00:08:21,15048,25,bottom,drop,,,"[1051, 440]","[[1005.4676513671875, 361.7510070800781], [1008.3410034179688, 357.4632263183594], [1001.1577758789062, 357.4632263183594], [1012.6509399414062, 361.7510070800781], [995.4112548828125, 360.3217468261719], [1018.3975219726562, 381.7607116699219], [981.0448608398438, 380.3314514160156], [1024.14404296875, 401.7703552246094], [963.80517578125, 394.62408447265625], [1031.3271484375, 423.2093200683594], [960.9319458007812, 411.77520751953125], [1001.1577758789062, 423.2093200683594], [975.2982788085938, 423.2093200683594], [1022.7073364257812, 450.36529541015625], [960.9319458007812, 454.653076171875], [1028.4539794921875, 476.092041015625], [939.3823852539062, 484.6676330566406], [983.9181823730469, 480.3798370361328]]","[[1178.65771484375, 740.8628540039062], [1175.7806396484375, 736.5377807617188], [1175.7806396484375, 737.9794921875], [1152.7635498046875, 737.9794921875], [1172.9034423828125, 742.3046264648438], [1135.5008544921875, 750.9547119140625], [1170.0263671875, 775.46337890625], [1108.1680908203125, 774.021728515625], [1188.7276611328125, 805.7388305664062], [1108.1680908203125, 768.2550048828125], [1213.1832275390625, 830.24755859375], [1121.115234375, 828.805908203125], [1139.8165283203125, 833.1309204101562], [1136.939453125, 850.4312133789062], [1200.236083984375, 863.4063720703125], [1093.7825927734375, 896.565185546875], [1204.5518798828125, 928.2823486328125], [1149.167236328125, 912.4237670898438]]"
5,6,00:08:22,15077,24,top,net shot,,,"[808, 365]","[[816.1420288085938, 431.80511474609375], [820.4430541992188, 427.50738525390625], [816.1420288085938, 427.50738525390625], [830.478759765625, 427.50738525390625], [831.9125366210938, 426.07476806640625], [834.7799072265625, 450.4287414550781], [844.815673828125, 434.6702880859375], [816.1420288085938, 469.0523376464844], [819.0093383789062, 466.1871337890625], [796.0704345703125, 483.378173828125], [796.0704345703125, 483.378173828125], [873.4893188476562, 476.2152404785156], [880.65771484375, 469.0523376464844], [841.9483032226562, 491.9736633300781], [870.6219482421875, 489.1085205078125], [839.0809326171875, 534.951171875], [906.4640502929688, 499.1365661621094], [872.7724914550781, 517.0438690185547]]","[[948.2675170898438, 631.4059448242188], [949.6997680664062, 627.0842895507812], [951.132080078125, 627.0842895507812], [951.132080078125, 631.4059448242188], [972.6163330078125, 629.9653930664062], [949.6997680664062, 654.4549560546875], [989.8037719726562, 654.4549560546875], [921.0540771484375, 690.4690551757812], [1008.4234619140625, 694.7907104492188], [892.4083862304688, 706.3152465820312], [1014.152587890625, 729.3642578125], [966.88720703125, 729.3642578125], [992.6683349609375, 727.9237060546875], [942.538330078125, 785.5462646484375], [972.6163330078125, 755.29443359375], [958.2935180664062, 847.490478515625], [965.4548950195312, 799.9518432617188], [961.8742065429688, 823.7211608886719]]"
5,7,00:08:23,15104,25,bottom,lob,,,"[808, 365]","[[836.6094360351562, 373.7915344238281], [839.4632568359375, 368.032958984375], [833.7555541992188, 369.47259521484375], [848.0250244140625, 369.47259521484375], [829.4747314453125, 370.9122619628906], [863.7212524414062, 388.1880187988281], [832.3286743164062, 389.6276550292969], [880.8446044921875, 414.1016540527344], [829.4747314453125, 408.34307861328125], [887.9793701171875, 442.8945617675781], [819.486083984375, 425.6188049316406], [876.5637817382812, 431.37738037109375], [863.7212524414062, 435.69635009765625], [866.5751953125, 468.8081970214844], [863.7212524414062, 471.6875], [883.6985473632812, 510.5579528808594], [882.2715454101562, 507.6786193847656], [882.9850463867188, 509.1182861328125]]","[[784.4970092773438, 601.7658081054688], [785.9326782226562, 598.8988647460938], [783.061279296875, 598.8988647460938], [795.982666015625, 598.8988647460938], [798.8540649414062, 597.4653930664062], [803.1611938476562, 620.4010620117188], [807.46826171875, 608.9332275390625], [831.8751831054688, 631.8689575195312], [811.775390625, 654.8046875], [853.4107666015625, 650.5042114257812], [771.57568359375, 616.1006469726562], [843.3609008789062, 666.2725219726562], [834.74658203125, 669.1394653320312], [853.4107666015625, 725.0452880859375], [854.8464965820312, 725.0452880859375], [886.431884765625, 727.9122314453125], [798.8540649414062, 696.3756103515625], [842.6429748535156, 712.1439208984375]]"
5,8,00:08:24,15143,24,top,clear,,,"[1149, 242]","[[1043.267822265625, 313.3825988769531], [1046.1483154296875, 310.5108947753906], [1038.9468994140625, 310.5108947753906], [1049.0289306640625, 313.3825988769531], [1033.185791015625, 314.8184509277344], [1046.1483154296875, 332.0486145019531], [1028.8648681640625, 334.9203186035156], [1063.431884765625, 350.714599609375], [1020.2230834960938, 355.02215576171875], [1082.15576171875, 366.5089416503906], [1031.7454833984375, 347.8429260253906], [1041.8275146484375, 380.867431640625], [1025.9842529296875, 385.1749267578125], [1059.111083984375, 405.27679443359375], [1049.0289306640625, 419.6352844238281], [1013.0216674804688, 439.7370910644531], [1013.0216674804688, 439.7370910644531], [1013.0216674804688, 439.7370910644531]]","[[995.5551147460938, 588.618408203125], [991.2520141601562, 582.8518676757812], [995.5551147460938, 585.735107421875], [975.4739379882812, 585.735107421875], [994.1207885742188, 588.618408203125], [958.2614135742188, 608.8013916015625], [998.4238891601562, 610.2430419921875], [935.3114013671875, 631.86767578125], [1011.3331909179688, 652.0506591796875], [922.4020385742188, 659.2589111328125], [1022.8082885742188, 686.6500244140625], [963.9988403320312, 675.116943359375], [992.6864013671875, 673.67529296875], [949.6551513671875, 722.6911010742188], [1018.505126953125, 719.807861328125], [931.0082397460938, 778.9151611328125], [1038.58642578125, 778.9151611328125], [984.7973327636719, 778.9151611328125]]"
5,9,00:08:25,15172,25,bottom,clear,,,"[1224, 124]","[[1019.538330078125, 335.5171203613281], [1022.3794555664062, 331.2102966308594], [1015.2767944335938, 331.2102966308594], [1026.6409912109375, 334.0815124511719], [1009.5947265625, 334.0815124511719], [1033.7435302734375, 355.61572265625], [998.2306518554688, 354.18011474609375], [1038.005126953125, 378.5855407714844], [981.1843872070312, 371.407470703125], [1045.1077880859375, 405.86224365234375], [989.70751953125, 410.1690979003906], [1015.2767944335938, 397.2485656738281], [993.9690551757812, 395.81292724609375], [1036.5845947265625, 424.5252685546875], [993.9690551757812, 428.8320617675781], [1035.1640625, 463.2868347167969], [982.6048583984375, 466.1580505371094], [1008.8844604492188, 464.7224426269531]]","[[1203.166015625, 622.2127075195312], [1201.7294921875, 620.7725830078125], [1200.2928466796875, 625.0929565429688], [1184.4903564453125, 635.1738891601562], [1204.6026611328125, 633.7337646484375], [1181.6171875, 651.015380859375], [1220.4051513671875, 651.015380859375], [1162.9415283203125, 627.9732055664062], [1247.700439453125, 636.614013671875], [1164.3780517578125, 593.4100341796875], [1262.0662841796875, 625.0929565429688], [1188.800048828125, 712.9410400390625], [1217.531982421875, 712.9410400390625], [1178.7440185546875, 743.183837890625], [1236.2076416015625, 759.0252685546875], [1160.068359375, 784.9476318359375], [1227.588134765625, 822.3909912109375], [1193.8282470703125, 803.6693115234375]]"
5,10,00:08:27,15226,24,top,smash,,,"[982, 326]","[[1125.7579345703125, 271.0986328125], [1125.7579345703125, 266.8042907714844], [1121.49951171875, 271.0986328125], [1128.5968017578125, 266.8042907714844], [1118.6605224609375, 276.82440185546875], [1144.2109375, 275.3929748535156], [1125.7579345703125, 301.1589660644531], [1172.600341796875, 275.3929748535156], [1141.3720703125, 324.0620422363281], [1193.892333984375, 258.21563720703125], [1147.0499267578125, 304.0218200683594], [1166.9224853515625, 326.9249267578125], [1166.9224853515625, 326.9249267578125], [1171.1807861328125, 369.86822509765625], [1185.37548828125, 367.0053405761719], [1161.24462890625, 411.3800964355469], [1176.8587646484375, 398.4971008300781], [1169.0516967773438, 404.9385986328125]]","[[1009.067626953125, 626.6078491210938], [1016.2420043945312, 622.2900390625], [1003.328125, 623.7293090820312], [1000.4584350585938, 623.7293090820312], [1020.5465087890625, 623.7293090820312], [988.9794921875, 645.318359375], [1032.0255126953125, 646.7576293945312], [974.630859375, 669.785888671875], [1047.80908203125, 685.6178588867188], [948.8032836914062, 691.375], [1054.9833984375, 718.7210693359375], [994.7189331054688, 723.0388793945312], [1026.2860107421875, 723.0388793945312], [963.1519165039062, 764.7777099609375], [1050.6787109375, 760.4598388671875], [935.889404296875, 812.2735595703125], [1070.766845703125, 815.1521606445312], [1003.328125, 813.7128601074219]]"
