rally,ball_round,time,frame_num,player,pos,type,lose_reason,getpoint_player,ball,top,bottom
11,1,00:39:27,71010,16,top,short service,,,"[1016, 382]","[[958.9168090820312, 328.7026062011719], [961.749267578125, 325.822509765625], [956.08447265625, 325.822509765625], [965.997802734375, 325.822509765625], [950.4197387695312, 325.822509765625], [970.2463989257812, 344.54315185546875], [941.9225463867188, 344.54315185546875], [995.7378540039062, 361.82373046875], [937.6739501953125, 363.2637634277344], [994.3216552734375, 360.3836669921875], [940.50634765625, 377.66424560546875], [961.749267578125, 393.5047912597656], [943.3386840820312, 394.94482421875], [958.9168090820312, 428.06591796875], [944.7548828125, 430.9460144042969], [953.2520751953125, 456.8669128417969], [941.9225463867188, 469.82733154296875], [947.5873107910156, 463.3471221923828]]","[[1105.4053955078125, 568.9364013671875], [1093.940673828125, 560.3175659179688], [1096.806884765625, 560.3175659179688], [1093.940673828125, 563.1904907226562], [1116.8701171875, 566.0634765625], [1075.3104248046875, 590.4834594726562], [1119.736328125, 596.2293701171875], [1055.2471923828125, 614.9035034179688], [1129.76806640625, 629.2682495117188], [1048.081787109375, 636.45068359375], [1135.5003662109375, 636.45068359375], [1075.3104248046875, 659.4342041015625], [1105.4053955078125, 660.8707275390625], [1073.87744140625, 712.583740234375], [1115.43701171875, 703.9649047851562], [1072.4442138671875, 771.4791870117188], [1118.30322265625, 754.2415161132812], [1095.3737182617188, 762.8603515625]]"
11,2,00:39:27,71030,15,bottom,net shot,,,"[1035, 536]","[[976.3080444335938, 338.39019775390625], [979.1484985351562, 334.0694580078125], [973.4676513671875, 334.0694580078125], [984.8292236328125, 335.50970458984375], [967.786865234375, 334.0694580078125], [987.669677734375, 349.91217041015625], [957.8453979492188, 352.7926330566406], [993.3505249023438, 372.9560852050781], [945.0636596679688, 378.717041015625], [994.7706298828125, 393.1194763183594], [946.4837646484375, 407.52191162109375], [976.3080444335938, 390.2389831542969], [956.4251708984375, 390.2389831542969], [987.669677734375, 420.484130859375], [953.5848388671875, 426.2451171875], [987.669677734375, 452.16949462890625], [943.6434326171875, 462.2511901855469], [965.6565551757812, 457.21034240722656]]","[[1062.736083984375, 567.9658813476562], [1061.303955078125, 565.0926513671875], [1061.303955078125, 565.0926513671875], [1041.2537841796875, 559.3462524414062], [1058.4395751953125, 566.529296875], [1021.2034912109375, 578.0220947265625], [1054.1431884765625, 592.3881225585938], [1011.1784057617188, 566.529296875], [1062.736083984375, 623.9932861328125], [1011.1784057617188, 562.219482421875], [1095.67578125, 629.7396850585938], [1006.8818359375, 644.105712890625], [1032.6607666015625, 648.41552734375], [1008.3140258789062, 667.09130859375], [1061.303955078125, 695.8233642578125], [1004.017578125, 704.4429321289062], [1079.9219970703125, 747.5408935546875], [1041.9697875976562, 725.9919128417969]]"
11,3,00:39:28,71057,16,top,lob,,,"[917, 420]","[[926.215087890625, 409.09649658203125], [929.0407104492188, 404.8036193847656], [923.389404296875, 404.8036193847656], [930.4535522460938, 407.66552734375], [914.9124145507812, 404.8036193847656], [930.4535522460938, 424.8370361328125], [907.8482055664062, 424.8370361328125], [936.1049194335938, 440.5776062011719], [899.3712158203125, 444.8704528808594], [923.389404296875, 460.6110534667969], [893.719970703125, 453.4562683105469], [917.7380981445312, 464.9039306640625], [902.1968994140625, 463.47296142578125], [920.563720703125, 482.075439453125], [896.5455322265625, 477.7825927734375], [931.8663940429688, 513.5565185546875], [900.7840576171875, 520.7113647460938], [916.3252258300781, 517.1339416503906]]","[[1026.1856689453125, 550.032470703125], [1024.7655029296875, 545.7283935546875], [1026.1856689453125, 547.1630859375], [1003.46337890625, 542.8590698242188], [1023.3453979492188, 548.5977783203125], [985.0015258789062, 562.944580078125], [1017.6648559570312, 575.8567504882812], [967.9597778320312, 594.507568359375], [1017.6648559570312, 611.7237548828125], [986.4216918945312, 616.02783203125], [1036.126708984375, 637.548095703125], [956.5985717773438, 624.6359252929688], [976.4805908203125, 628.93994140625], [975.0604858398438, 654.7642211914062], [1000.6231079101562, 679.15380859375], [966.5396118164062, 696.3700561523438], [989.261962890625, 737.975830078125], [977.9007873535156, 717.1729431152344]]"
11,4,00:39:30,71100,15,bottom,drop,,,"[651, 583]","[[896.0595703125, 334.3490905761719], [900.3557739257812, 330.0351257324219], [894.6275024414062, 330.0351257324219], [907.5162353515625, 330.0351257324219], [890.3311767578125, 328.5971374511719], [917.5408325195312, 344.4150390625], [887.4669799804688, 344.4150390625], [936.1580200195312, 357.35699462890625], [887.4669799804688, 367.4229431152344], [927.5654296875, 380.3648986816406], [883.1707763671875, 390.43084716796875], [923.2692260742188, 381.8028564453125], [903.219970703125, 383.2408752441406], [933.2938232421875, 419.1907043457031], [890.3311767578125, 416.314697265625], [951.910888671875, 447.9505615234375], [893.1953735351562, 450.8265380859375], [922.5531311035156, 449.3885498046875]]","[[750.8483276367188, 718.0892944335938], [753.72802734375, 713.7755737304688], [752.2882080078125, 713.7755737304688], [756.6076049804688, 718.0892944335938], [776.7650756835938, 715.2135009765625], [750.8483276367188, 743.97119140625], [788.2835693359375, 733.906005859375], [713.4131469726562, 741.0953979492188], [815.6400146484375, 739.6575317382812], [675.9779663085938, 731.0302124023438], [808.44091796875, 718.0892944335938], [772.445556640625, 810.1139526367188], [799.8021240234375, 804.3623657226562], [727.811279296875, 856.1262817382812], [805.5613403320312, 838.8716430664062], [719.1724243164062, 915.07958984375], [858.8345336914062, 857.5641479492188], [789.0034790039062, 886.3218688964844]]"
11,5,00:39:30,71123,16,top,net shot,,,"[791, 416]","[[842.7630004882812, 354.75445556640625], [844.2012329101562, 348.9937744140625], [839.8865966796875, 350.4339599609375], [854.2687377929688, 348.9937744140625], [839.8865966796875, 351.8741149902344], [868.65087890625, 356.19464111328125], [841.3248291015625, 370.5964050292969], [888.7859497070312, 359.0749816894531], [841.3248291015625, 392.1990051269531], [906.0446166992188, 366.27587890625], [839.8865966796875, 410.9212951660156], [875.842041015625, 396.5195617675781], [855.7069702148438, 400.840087890625], [898.853515625, 422.44268798828125], [847.07763671875, 428.20343017578125], [917.5503540039062, 445.4855041503906], [829.819091796875, 459.88726806640625], [873.6847229003906, 452.68638610839844]]","[[874.970458984375, 626.7139892578125], [883.5706787109375, 623.8409423828125], [895.0376586914062, 631.0234375], [867.8035888671875, 632.4599609375], [892.1709594726562, 635.3328857421875], [850.6031494140625, 661.1898193359375], [895.0376586914062, 664.0628051757812], [830.5358276367188, 694.2291870117188], [916.5382690429688, 697.1021118164062], [820.502197265625, 728.7050170898438], [928.0053100585938, 720.0860595703125], [846.302978515625, 733.0144653320312], [876.40380859375, 735.887451171875], [854.9031982421875, 766.0538330078125], [902.20458984375, 784.7282104492188], [844.86962890625, 814.8946533203125], [902.20458984375, 847.9339599609375], [873.537109375, 831.414306640625]]"
11,6,00:39:31,71153,15,bottom,lob,,,"[750, 476]","[[898.4904174804688, 350.61981201171875], [901.3153076171875, 347.7391662597656], [895.66552734375, 347.7391662597656], [906.9651489257812, 347.7391662597656], [891.4281616210938, 347.7391662597656], [912.6149291992188, 362.1423645019531], [881.5410766601562, 367.90362548828125], [919.6771240234375, 377.9858703613281], [871.6538696289062, 393.8293762207031], [923.9144897460938, 388.0680847167969], [873.06640625, 416.8744812011719], [899.90283203125, 406.792236328125], [882.9534912109375, 409.6728515625], [918.2647094726562, 438.4792785644531], [895.66552734375, 439.9195861816406], [909.7900390625, 465.8453063964844], [890.0157470703125, 478.8081970214844], [899.9028930664062, 472.3267517089844]]","[[851.3594360351562, 536.7119140625], [824.1922607421875, 532.404052734375], [848.499755859375, 532.404052734375], [824.1922607421875, 539.5838623046875], [847.06982421875, 539.5838623046875], [819.9027099609375, 563.9950561523438], [851.3594360351562, 563.9950561523438], [811.3236083984375, 549.635498046875], [877.0967407226562, 572.6107788085938], [805.6041870117188, 542.4557495117188], [909.9832763671875, 574.0467529296875], [827.0519409179688, 624.3051147460938], [852.7892456054688, 624.3051147460938], [819.9027099609375, 635.7927856445312], [875.6668090820312, 670.2556762695312], [819.9027099609375, 655.8961181640625], [869.947509765625, 706.154541015625], [844.9251098632812, 681.0253295898438]]"
11,7,00:39:33,71192,16,top,clear,,,"[817, 199]","[[858.6927490234375, 304.8322448730469], [861.5501708984375, 301.9614562988281], [855.83544921875, 300.5260314941406], [862.9788208007812, 303.3968505859375], [850.1206665039062, 303.3968505859375], [861.5501708984375, 320.6217041015625], [845.8345947265625, 314.8800964355469], [858.6927490234375, 332.1049499511719], [834.4051513671875, 314.8800964355469], [825.8330688476562, 312.00927734375], [822.9756469726562, 312.00927734375], [858.6927490234375, 357.9422302246094], [845.8345947265625, 356.5068359375], [854.40673828125, 399.5689697265625], [835.8338012695312, 386.65032958984375], [884.4091186523438, 428.277099609375], [837.262451171875, 411.0522155761719], [860.8357849121094, 419.66465759277344]]","[[906.5648803710938, 548.2149047851562], [896.526123046875, 541.0394287109375], [925.2083129882812, 541.0394287109375], [897.9602661132812, 545.3447265625], [922.340087890625, 545.3447265625], [885.0532836914062, 575.48193359375], [929.5106811523438, 571.1766357421875], [869.278076171875, 611.3595581054688], [951.0223388671875, 598.443603515625], [860.67333984375, 637.1915283203125], [961.0610961914062, 617.0999755859375], [897.9602661132812, 637.1915283203125], [928.0765380859375, 634.3212890625], [887.92138671875, 688.8552856445312], [940.9835205078125, 678.8095703125], [889.3555297851562, 740.5191040039062], [958.19287109375, 721.8627319335938], [923.7742004394531, 731.19091796875]]"
11,8,00:39:34,71232,15,bottom,smash,,,"[1226, 486]","[[991.3683471679688, 319.2496643066406], [995.6246337890625, 314.960693359375], [988.5308837890625, 314.960693359375], [999.8809204101562, 316.3903503417969], [982.8557739257812, 314.960693359375], [1002.718505859375, 332.1165466308594], [971.5057373046875, 333.54620361328125], [1006.9747924804688, 347.8427429199219], [958.7368774414062, 353.5613708496094], [1011.2310791015625, 359.2799987792969], [962.9931640625, 373.5765380859375], [991.3683471679688, 372.1468811035156], [972.9244384765625, 373.5765380859375], [1009.812255859375, 406.4585876464844], [970.0869750976562, 409.31787109375], [1011.2310791015625, 437.9110107421875], [964.411865234375, 445.0592956542969], [987.8214721679688, 441.4851531982422]]","[[1233.693603515625, 669.8782348632812], [1206.547119140625, 641.0823364257812], [1230.8360595703125, 665.558837890625], [1209.4046630859375, 654.04052734375], [1215.11962890625, 659.7996215820312], [1180.8292236328125, 651.160888671875], [1182.2579345703125, 649.7211303710938], [1187.97314453125, 625.2445678710938], [1187.97314453125, 623.8047485351562], [1162.25537109375, 662.6792602539062], [1196.5457763671875, 593.5690307617188], [1142.2525634765625, 715.9517211914062], [1166.5416259765625, 717.3915405273438], [1103.67578125, 750.5068969726562], [1193.688232421875, 760.58544921875], [1093.6744384765625, 799.4598999023438], [1227.9786376953125, 803.779296875], [1160.8265380859375, 801.6195983886719]]"
11,9,00:39:34,71246,16,top,defensive shot,,,"[1079, 433]","[[1042.374267578125, 340.8747863769531], [1043.796142578125, 338.0081481933594], [1039.530517578125, 336.5748291015625], [1043.796142578125, 336.5748291015625], [1029.577392578125, 336.5748291015625], [1039.530517578125, 352.3413391113281], [1025.3116455078125, 356.6412658691406], [1043.796142578125, 363.807861328125], [1012.5147705078125, 378.1410217285156], [1055.171142578125, 375.2744140625], [1008.2491455078125, 392.4742126464844], [1035.264892578125, 391.0409240722656], [1021.0460815429688, 392.4742126464844], [1055.171142578125, 418.27392578125], [996.8740234375, 424.0072021484375], [1060.858642578125, 451.2402648925781], [967.0146484375, 452.6735534667969], [1013.9366455078125, 451.9569091796875]]","[[1181.81689453125, 664.8091430664062], [1187.546142578125, 660.4962158203125], [1178.952392578125, 660.4962158203125], [1176.0877685546875, 664.8091430664062], [1199.0045166015625, 670.5597534179688], [1160.33251953125, 692.12451171875], [1204.733642578125, 700.7503662109375], [1125.9573974609375, 710.81396484375], [1213.327392578125, 736.691650390625], [1128.822021484375, 736.691650390625], [1207.5982666015625, 745.3175048828125], [1161.764892578125, 762.5693359375], [1196.139892578125, 762.5693359375], [1144.5772705078125, 788.447021484375], [1224.7857666015625, 817.2000122070312], [1146.0096435546875, 844.5153198242188], [1256.2962646484375, 870.3930053710938], [1201.1529541015625, 857.4541625976562]]"
11,10,00:39:35,71276,15,bottom,lob,,,"[677, 639]","[[968.177978515625, 327.9216613769531], [971.0425415039062, 322.1796875], [965.3133544921875, 322.1796875], [976.7717895507812, 323.61517333984375], [961.0164184570312, 322.1796875], [982.5009765625, 339.40557861328125], [950.9903564453125, 340.8410339355469], [989.6624755859375, 358.0669250488281], [939.5319213867188, 369.5508117675781], [993.9594116210938, 373.8573303222656], [938.099609375, 392.5186462402344], [971.0425415039062, 382.47021484375], [949.5579833984375, 382.47021484375], [978.2040405273438, 414.0509948730469], [942.3965454101562, 418.3574523925781], [976.7717895507812, 447.0672302246094], [929.505859375, 457.11566162109375], [953.1388244628906, 452.09144592285156]]","[[798.0223999023438, 604.98388671875], [802.3250122070312, 599.2382202148438], [798.0223999023438, 600.6746826171875], [798.0223999023438, 607.8567504882812], [822.4038696289062, 602.111083984375], [802.3250122070312, 636.5849609375], [835.3115844726562, 622.2208251953125], [773.64111328125, 645.2034301757812], [863.9955444335938, 627.9664916992188], [747.8255615234375, 645.2034301757812], [905.5872802734375, 627.9664916992188], [835.3115844726562, 689.732177734375], [863.9955444335938, 676.8045043945312], [802.3250122070312, 676.8045043945312], [896.9821166992188, 714.1512451171875], [795.1541137695312, 717.0239868164062], [941.442138671875, 735.6973876953125], [868.2981262207031, 726.3606872558594]]"
