rally,ball_round,time,frame_num,player,pos,type,lose_reason,getpoint_player,ball,top,bottom
42,1,01:23:15,149856,15,bottom,short service,,,"[1033, 380]","[[999.2586059570312, 302.36126708984375], [1000.692626953125, 298.0538330078125], [994.9564208984375, 298.0538330078125], [1003.560791015625, 299.4896545410156], [989.22021484375, 298.0538330078125], [1003.560791015625, 313.8477783203125], [976.3136596679688, 312.4119567871094], [1004.9948120117188, 332.51336669921875], [977.7476806640625, 332.51336669921875], [1002.1266479492188, 348.3073425292969], [989.22021484375, 349.7431335449219], [996.3904418945312, 356.9222106933594], [977.7476806640625, 355.48638916015625], [999.2586059570312, 388.5101318359375], [974.879638671875, 385.6385192871094], [1000.692626953125, 418.6622619628906], [976.3136596679688, 407.17572021484375], [988.5031433105469, 412.9189910888672]]","[[881.1768188476562, 547.114013671875], [884.004638671875, 545.6737060546875], [876.93505859375, 544.2334594726562], [871.2794799804688, 547.114013671875], [889.6602172851562, 548.5542602539062], [859.9682006835938, 568.7181396484375], [896.7297973632812, 570.158447265625], [850.07080078125, 586.00146484375], [909.4550170898438, 601.8445434570312], [854.3126220703125, 573.0390014648438], [905.2133178710938, 586.00146484375], [867.0377807617188, 623.44873046875], [889.6602172851562, 624.8889770507812], [859.9682006835938, 683.9404296875], [892.4880981445312, 666.6571044921875], [861.382080078125, 740.1112670898438], [891.0741577148438, 704.1043090820312], [876.2281188964844, 722.1077880859375]]"
42,2,01:23:16,149881,3,top,net shot,,,"[772, 457]","[[938.1919555664062, 316.8191833496094], [941.0697021484375, 312.51055908203125], [935.3141479492188, 313.9467468261719], [948.2640991210938, 312.51055908203125], [932.4364013671875, 313.9467468261719], [958.3363037109375, 326.8726501464844], [933.875244140625, 325.4364318847656], [972.7251586914062, 341.2347106933594], [930.99755859375, 335.4898986816406], [984.2362670898438, 365.6502685546875], [923.8031005859375, 345.5433654785156], [965.53076171875, 358.4692077636719], [951.1419067382812, 358.4692077636719], [965.53076171875, 390.0657958984375], [943.947509765625, 377.1399230957031], [972.7251586914062, 418.78997802734375], [951.1419067382812, 404.4278564453125], [961.9335327148438, 411.6089172363281]]","[[841.4354858398438, 514.1267700195312], [844.2976684570312, 512.68798828125], [838.5733642578125, 514.1267700195312], [837.1422119140625, 522.759765625], [851.453125, 521.3209838867188], [832.8489990234375, 538.5869140625], [860.0397338867188, 538.5869140625], [821.4002075195312, 525.637451171875], [881.5061645507812, 544.3422241210938], [811.382568359375, 511.2491455078125], [908.6968994140625, 529.9539184570312], [841.4354858398438, 587.507080078125], [861.4708251953125, 594.7012329101562], [834.280029296875, 599.0177001953125], [881.5061645507812, 632.1107788085938], [835.711181640625, 626.35546875], [885.7993774414062, 682.4697875976562], [860.7552795410156, 654.4126281738281]]"
42,3,01:23:16,149904,15,bottom,net shot,,,"[956, 390]","[[951.1212768554688, 380.61663818359375], [953.9664306640625, 376.3310852050781], [946.8534545898438, 377.75958251953125], [958.2342529296875, 377.75958251953125], [944.0082397460938, 380.61663818359375], [965.3472900390625, 392.0448303222656], [944.0082397460938, 393.4733581542969], [973.8829956054688, 404.90155029296875], [928.359619140625, 390.6163330078125], [969.6151733398438, 429.1864318847656], [915.55615234375, 387.75927734375], [979.5733642578125, 420.6153259277344], [962.5020751953125, 423.47235107421875], [973.8829956054688, 444.90020751953125], [973.8829956054688, 452.0428466796875], [966.7699584960938, 479.1847839355469], [966.7699584960938, 480.6133117675781], [966.7699584960938, 479.8990478515625]]","[[940.1392211914062, 514.6027221679688], [938.703857421875, 510.29443359375], [940.1392211914062, 510.29443359375], [922.915283203125, 510.29443359375], [940.1392211914062, 511.7305603027344], [904.2559814453125, 530.3997192382812], [932.9625244140625, 530.3997192382812], [871.243408203125, 546.1967163085938], [940.1392211914062, 557.6854858398438], [974.5870361328125, 557.6854858398438], [965.9751586914062, 561.9937744140625], [891.3380737304688, 584.9712524414062], [909.997314453125, 590.715576171875], [904.2559814453125, 612.2569580078125], [932.9625244140625, 635.2344360351562], [891.3380737304688, 656.7758178710938], [904.2559814453125, 675.4450073242188], [897.7970275878906, 666.1104125976562]]"
42,4,01:23:17,149929,3,top,push/rush,,,"[1001, 356]","[[933.2766723632812, 337.03277587890625], [936.112548828125, 332.7207336425781], [931.8588256835938, 334.1580810546875], [944.6199340820312, 331.28338623046875], [931.8588256835938, 335.5954284667969], [958.7990112304688, 347.0941467285156], [929.0230102539062, 349.96881103515625], [974.3959350585938, 364.3421936035156], [921.9334716796875, 364.3421936035156], [985.7391967773438, 381.59027099609375], [914.8439331054688, 375.8409423828125], [963.052734375, 380.1529846191406], [944.6199340820312, 383.0276184082031], [954.5452880859375, 410.3370666503906], [937.5303955078125, 406.0250549316406], [961.6348266601562, 443.3959045410156], [941.7841186523438, 426.1478271484375], [951.70947265625, 434.77186584472656]]","[[1035.687255859375, 512.9016723632812], [1016.9689331054688, 504.2865905761719], [1034.247314453125, 510.02996826171875], [1016.9689331054688, 508.5941162109375], [1031.3675537109375, 511.4658203125], [1011.2095336914062, 521.5167236328125], [1022.7284545898438, 528.6959838867188], [993.9310913085938, 548.7977905273438], [1012.6493530273438, 551.6694946289062], [1016.9689331054688, 563.15625], [1015.5291137695312, 568.899658203125], [989.6115112304688, 571.7713623046875], [1004.0101928710938, 583.2581176757812], [1002.5702514648438, 627.7693481445312], [1005.4500122070312, 627.7693481445312], [969.4534301757812, 653.6145629882812], [972.3330688476562, 652.1787109375], [970.8932495117188, 652.8966369628906]]"
42,5,01:23:18,149960,15,bottom,smash,,,"[796, 275]","[[837.71337890625, 282.3060302734375], [837.71337890625, 276.5520935058594], [836.291748046875, 280.8675537109375], [843.3998413085938, 272.2366638183594], [843.3998413085938, 272.2366638183594], [860.4593505859375, 275.1136474609375], [847.6647338867188, 292.3753967285156], [844.8214721679688, 254.9749298095703], [849.0863647460938, 309.63714599609375], [857.6160888671875, 329.7758483886719], [853.3511962890625, 329.7758483886719], [886.048583984375, 306.7601623535156], [868.9890747070312, 311.0755920410156], [898.84326171875, 324.0219421386719], [854.7728271484375, 334.0912780761719], [915.9027709960938, 347.03759765625], [836.291748046875, 326.8988952636719], [876.0972595214844, 336.96824645996094]]","[[948.0992431640625, 532.8009643554688], [949.5302124023438, 528.4921264648438], [943.8064575195312, 528.4921264648438], [936.6519165039062, 531.3646240234375], [953.822998046875, 531.3646240234375], [928.0663452148438, 554.3450317382812], [965.2703247070312, 550.0361938476562], [912.3261108398438, 588.8156127929688], [986.7343139648438, 570.14404296875], [900.8787841796875, 608.9234619140625], [999.6126098632812, 580.197998046875], [936.6519165039062, 608.9234619140625], [962.4085083007812, 608.9234619140625], [913.757080078125, 653.4479370117188], [979.57958984375, 649.1390991210938], [915.1880493164062, 702.28125], [995.31982421875, 697.972412109375], [955.2539367675781, 700.1268310546875]]"
42,6,01:23:19,149973,3,top,defensive shot,,,"[808, 439]","[[824.58154296875, 295.0721130371094], [826.0017700195312, 292.1914978027344], [820.3208618164062, 293.63177490234375], [830.2623291015625, 290.7511901855469], [818.900634765625, 296.51239013671875], [843.0443115234375, 299.3930358886719], [820.3208618164062, 308.03485107421875], [857.2465209960938, 310.91546630859375], [827.421875, 328.19915771484375], [840.203857421875, 323.87823486328125], [826.0017700195312, 326.75885009765625], [854.4060668945312, 320.99761962890625], [838.78369140625, 325.31854248046875], [864.34765625, 342.6022033691406], [830.2623291015625, 338.2812805175781], [884.2306518554688, 354.1246643066406], [826.0017700195312, 354.1246643066406], [855.1162109375, 354.1246643066406]]","[[874.2734375, 583.8077392578125], [874.2734375, 586.6864624023438], [874.2734375, 585.2470703125], [872.83642578125, 595.3226318359375], [894.391845703125, 595.3226318359375], [862.7771606445312, 618.3524780273438], [903.0139770507812, 611.1556396484375], [825.4144287109375, 625.5492553710938], [936.065673828125, 628.4280395507812], [798.11083984375, 609.71630859375], [967.6803588867188, 635.6248168945312], [881.4586181640625, 674.4876708984375], [907.3251342773438, 667.2908325195312], [846.9698486328125, 706.1536865234375], [944.6878662109375, 706.1536865234375], [831.16259765625, 756.5314331054688], [992.10986328125, 743.5772094726562], [911.63623046875, 750.0543212890625]]"
42,7,01:23:19,149996,15,bottom,net shot,,,"[908, 324]","[[897.6412963867188, 325.7940979003906], [900.4990844726562, 321.49237060546875], [896.2124633789062, 321.49237060546875], [906.2145385742188, 324.3601989746094], [891.9258422851562, 324.3601989746094], [907.6434326171875, 340.1330871582031], [887.6392211914062, 337.2652893066406], [910.5011596679688, 361.6415710449219], [879.0659790039062, 330.0957946777344], [914.787841796875, 383.15008544921875], [881.9236450195312, 331.5296936035156], [907.6434326171875, 373.1127624511719], [891.9258422851562, 374.54669189453125], [913.3589477539062, 396.05517578125], [883.3526000976562, 400.35687255859375], [910.5011596679688, 427.6009826660156], [880.4948120117188, 423.2992248535156], [895.4979858398438, 425.4501037597656]]","[[940.9911499023438, 567.93017578125], [945.2789306640625, 565.0545654296875], [936.7033081054688, 563.6167602539062], [932.4155883789062, 567.93017578125], [950.9959716796875, 567.93017578125], [916.693603515625, 590.9348754882812], [955.2838134765625, 592.3726806640625], [898.1132202148438, 621.1285400390625], [973.8642578125, 629.75537109375], [893.825439453125, 636.9443359375], [988.1569213867188, 654.1978759765625], [912.4058837890625, 648.4466552734375], [939.5618896484375, 654.1978759765625], [896.6838989257812, 681.5159912109375], [969.5764770507812, 697.3317260742188], [888.1083374023438, 728.9631958007812], [963.859375, 753.40576171875], [925.9838562011719, 741.1844787597656]]"
42,8,01:23:20,150018,3,top,net shot,,,"[769, 462]","[[895.4286499023438, 318.82110595703125], [896.84521484375, 314.4986877441406], [892.595458984375, 315.9394836425781], [905.3447875976562, 314.4986877441406], [889.76220703125, 315.9394836425781], [915.2609252929688, 328.9068603515625], [896.84521484375, 327.4660339355469], [929.4268798828125, 347.63751220703125], [892.595458984375, 338.9925842285156], [942.1762084960938, 363.48651123046875], [885.5125122070312, 350.5191345214844], [930.843505859375, 362.0456848144531], [918.0941772460938, 360.6048583984375], [920.9273071289062, 392.3028564453125], [918.0941772460938, 393.7436828613281], [939.3430786132812, 416.79681396484375], [935.09326171875, 412.4743347167969], [937.2181701660156, 414.6355743408203]]","[[847.2503051757812, 497.9822692871094], [850.1083374023438, 497.9822692871094], [842.9633178710938, 500.8518981933594], [841.5343017578125, 508.0260925292969], [857.2532958984375, 506.59124755859375], [835.818359375, 523.8092041015625], [867.25634765625, 525.2440795898438], [820.0993041992188, 509.46087646484375], [892.9783325195312, 526.6788330078125], [910.1262817382812, 522.3743896484375], [918.7002563476562, 518.0698852539062], [845.8212890625, 575.463134765625], [868.6853637695312, 576.89794921875], [884.404296875, 621.377685546875], [884.404296875, 621.377685546875], [887.2623291015625, 670.1619262695312], [887.2623291015625, 674.4663696289062], [887.2623291015625, 672.3141479492188]]"
42,9,01:23:21,150043,15,bottom,lob,,,"[785, 450]","[[837.5610961914062, 389.90948486328125], [838.9830322265625, 385.59991455078125], [836.1392211914062, 387.03643798828125], [847.51416015625, 382.7268371582031], [851.7797241210938, 382.7268371582031], [854.6234741210938, 398.5287170410156], [861.7327880859375, 392.7825622558594], [851.7797241210938, 422.9497985839844], [850.3578491210938, 422.9497985839844], [841.8267211914062, 443.0612487792969], [871.6859130859375, 440.18817138671875], [888.7482299804688, 427.2593688964844], [880.217041015625, 427.2593688964844], [871.6859130859375, 453.1169738769531], [865.9983520507812, 454.55352783203125], [902.9668579101562, 455.99005126953125], [883.060791015625, 480.4111328125], [893.0138244628906, 468.2005920410156]]","[[894.0933837890625, 482.94512939453125], [891.2412719726562, 480.0621643066406], [892.6673583984375, 481.503662109375], [874.1283569335938, 485.8280944824219], [891.2412719726562, 485.8280944824219], [866.998046875, 506.00872802734375], [894.0933837890625, 504.5672302246094], [862.7198486328125, 472.85479736328125], [905.5020141601562, 524.7478637695312], [859.8677368164062, 480.0621643066406], [931.1713256835938, 524.7478637695312], [858.4415893554688, 562.2262573242188], [881.2587890625, 566.5506591796875], [868.424072265625, 582.4068603515625], [906.9281005859375, 605.470458984375], [851.311279296875, 625.6510620117188], [881.2587890625, 648.7146606445312], [866.2850341796875, 637.182861328125]]"
42,10,01:23:23,150103,3,top,smash,,,"[1089, 493]","[[979.4890747070312, 310.25079345703125], [982.367431640625, 305.93017578125], [975.1715087890625, 307.3703918457031], [985.2457885742188, 307.3703918457031], [970.8539428710938, 310.25079345703125], [996.7592163085938, 318.89208984375], [963.6580200195312, 318.89208984375], [1009.7118530273438, 333.2942199707031], [949.2662353515625, 327.5333557128906], [1015.4686279296875, 350.5767822265625], [944.9486694335938, 340.49530029296875], [991.0025634765625, 343.3757019042969], [970.8539428710938, 343.3757019042969], [1005.3943481445312, 363.5387268066406], [959.3404541015625, 366.4191589355469], [1015.4686279296875, 389.4625549316406], [942.0703125, 395.2234191894531], [978.7694702148438, 392.3429870605469]]","[[1146.1136474609375, 662.5064697265625], [1150.396240234375, 663.9461669921875], [1147.541259765625, 661.0667724609375], [1153.2513427734375, 675.4639892578125], [1170.3817138671875, 681.222900390625], [1128.9833984375, 682.66259765625], [1154.6788330078125, 705.6982421875], [1103.2879638671875, 642.350341796875], [1103.2879638671875, 642.350341796875], [1087.5850830078125, 602.0380249023438], [1087.5850830078125, 602.0380249023438], [1107.570556640625, 758.968017578125], [1136.1209716796875, 769.0460815429688], [1081.875, 815.1173095703125], [1151.82373046875, 809.3583984375], [1084.72998046875, 877.0254516601562], [1170.3817138671875, 862.6282348632812], [1127.5558471679688, 869.8268432617188]]"
