rally,ball_round,time,frame_num,player,pos,type,lose_reason,getpoint_player,ball,top,bottom
19,2,00:13:10,23728,16,top,lob,,,"[814, 471]","[[799.9483032226562, 381.49090576171875], [804.23291015625, 377.19097900390625], [795.6637573242188, 375.7576904296875], [811.3739013671875, 378.624267578125], [788.5227661132812, 377.19097900390625], [814.230224609375, 402.9905090332031], [777.0972290039062, 398.6905822753906], [829.9404296875, 428.7900390625], [769.9561767578125, 413.023681640625], [839.937744140625, 431.65667724609375], [778.5253295898438, 433.0899963378906], [802.8046875, 466.0560607910156], [775.6689453125, 466.0560607910156], [809.9456787109375, 517.6551513671875], [771.3843994140625, 514.7885131835938], [791.379150390625, 534.8547973632812], [768.5280151367188, 567.8209228515625], [779.9535827636719, 551.3378601074219]]","[[941.2811279296875, 566.9913330078125], [939.8467407226562, 569.865966796875], [941.2811279296875, 568.4286499023438], [938.4122314453125, 578.4898071289062], [967.1011352539062, 584.2390747070312], [914.0267333984375, 605.7987060546875], [965.6666870117188, 617.2972412109375], [882.468994140625, 643.1688232421875], [971.4044189453125, 657.5419311523438], [862.3868408203125, 681.9761962890625], [984.3143920898438, 696.3493041992188], [883.9034423828125, 686.2881469726562], [919.7645263671875, 694.9119873046875], [903.985595703125, 736.5940551757812], [945.5844116210938, 753.8417358398438], [888.206787109375, 796.9610595703125], [944.1500244140625, 822.8327026367188], [916.1784057617188, 809.8968811035156]]"
19,3,00:13:12,23768,15,bottom,smash,,,"[1269, 466]","[[981.531005859375, 357.0130615234375], [985.8323974609375, 352.7006530761719], [977.2295532226562, 352.7006530761719], [994.4353637695312, 351.2631530761719], [971.4942016601562, 352.7006530761719], [998.7367553710938, 372.8251953125], [955.7222290039062, 375.7001647949219], [1001.6044311523438, 395.8247375488281], [935.6488037109375, 403.0120849609375], [1008.7735595703125, 418.8241882324219], [931.3473510742188, 438.9487609863281], [984.3986206054688, 427.44903564453125], [952.8546142578125, 427.44903564453125], [1004.4720458984375, 469.1356201171875], [938.5164184570312, 466.26068115234375], [1021.6778564453125, 520.8844604492188], [921.3106079101562, 507.947265625], [971.4942321777344, 514.4158630371094]]","[[1222.3331298828125, 728.3333129882812], [1200.73291015625, 686.634033203125], [1219.453125, 721.1437377929688], [1202.1729736328125, 690.94775390625], [1226.6531982421875, 721.1437377929688], [1174.8126220703125, 698.1372680664062], [1206.492919921875, 731.2091064453125], [1176.2525634765625, 672.2550048828125], [1176.2525634765625, 675.1307983398438], [1183.4527587890625, 639.18310546875], [1183.4527587890625, 640.6210327148438], [1128.7320556640625, 780.097900390625], [1166.1724853515625, 791.6011352539062], [1082.6514892578125, 817.4834594726562], [1200.73291015625, 854.8690185546875], [1052.4111328125, 872.1238403320312], [1246.8134765625, 903.7578125], [1149.6123046875, 887.9408264160156]]"
19,4,00:13:12,23786,16,top,defensive shot,,,"[1215, 395]","[[1117.0970458984375, 364.2945861816406], [1115.65966796875, 359.9969177246094], [1112.78466796875, 359.9969177246094], [1094.09814453125, 359.9969177246094], [1098.4105224609375, 359.9969177246094], [1078.2864990234375, 370.0247802734375], [1105.5975341796875, 385.7828369140625], [1052.4127197265625, 381.4851989746094], [1131.4713134765625, 413.0013122558594], [1158.782470703125, 431.62451171875], [1158.782470703125, 431.62451171875], [1038.0384521484375, 427.3268127441406], [1045.2255859375, 431.62451171875], [1071.099365234375, 468.8708190917969], [1059.599853515625, 483.19635009765625], [1056.7249755859375, 511.8473815917969], [1015.0396118164062, 510.4148254394531], [1035.8822937011719, 511.131103515625]]","[[1166.572021484375, 642.473876953125], [1163.71630859375, 645.3536987304688], [1195.1282958984375, 659.7525634765625], [1162.28857421875, 653.9930419921875], [1192.2725830078125, 662.63232421875], [1133.732177734375, 684.230712890625], [1189.4171142578125, 698.6295776367188], [1099.4644775390625, 717.34814453125], [1192.2725830078125, 746.14599609375], [1086.6141357421875, 759.10498046875], [1199.4117431640625, 785.02294921875], [1108.031494140625, 774.9437866210938], [1146.58251953125, 779.2633666992188], [1129.44873046875, 842.6185302734375], [1179.4222412109375, 839.73876953125], [1102.3201904296875, 895.89453125], [1180.85009765625, 913.1731567382812], [1141.5851440429688, 904.5338439941406]]"
19,5,00:13:13,23815,15,bottom,net shot,,,"[980, 470]","[[1036.02197265625, 355.3186950683594], [1038.896240234375, 351.0083923339844], [1031.710693359375, 351.0083923339844], [1046.0819091796875, 349.5716247558594], [1025.962158203125, 349.5716247558594], [1056.1417236328125, 372.55987548828125], [1017.3394165039062, 368.24957275390625], [1074.8243408203125, 399.8583984375], [1015.9022827148438, 402.73193359375], [1066.20166015625, 424.2834167480469], [1011.5908813476562, 434.34075927734375], [1054.70458984375, 431.4672546386719], [1033.147705078125, 431.4672546386719], [1053.267578125, 480.3172607421875], [1017.3394165039062, 477.4436950683594], [1076.261474609375, 521.9834594726562], [1034.5848388671875, 510.4892883300781], [1055.4231567382812, 516.2363739013672]]","[[1032.087646484375, 581.878173828125], [1001.9208374023438, 568.9415893554688], [1030.651123046875, 577.5659790039062], [1001.9208374023438, 577.5659790039062], [1029.214599609375, 581.878173828125], [984.6826782226562, 599.1268920898438], [1023.4685668945312, 613.5007934570312], [996.1748046875, 623.5625610351562], [1042.1431884765625, 637.9364624023438], [967.444580078125, 732.8045043945312], [1068.00048828125, 647.998291015625], [963.135009765625, 683.93310546875], [996.1748046875, 692.5574951171875], [964.571533203125, 701.1818237304688], [1016.2860107421875, 739.9915161132812], [968.881103515625, 734.2418823242188], [1013.4129638671875, 788.8628540039062], [991.1470336914062, 761.5523681640625]]"
19,6,00:13:14,23842,16,top,lob,,,"[906, 451]","[[919.720703125, 450.65777587890625], [922.5986328125, 446.3376159667969], [919.720703125, 447.7776794433594], [931.2323608398438, 443.4574890136719], [925.4765014648438, 447.7776794433594], [952.8168334960938, 457.85809326171875], [922.5986328125, 470.8186340332031], [958.5726318359375, 479.4590148925781], [922.5986328125, 496.7397155761719], [955.6947021484375, 460.73822021484375], [932.6713256835938, 502.4999694824219], [962.8895263671875, 521.2207641601562], [934.1102294921875, 525.5409545898438], [971.5233154296875, 544.26171875], [924.03759765625, 560.1024169921875], [974.4011840820312, 597.5440063476562], [925.4765014648438, 601.8641967773438], [949.9388427734375, 599.7041015625]]","[[1022.5404663085938, 535.328369140625], [1008.1856689453125, 531.0150146484375], [1013.9276123046875, 529.5772094726562], [1008.1856689453125, 533.8905639648438], [1036.895263671875, 535.328369140625], [988.0889282226562, 565.5219116210938], [1039.76611328125, 571.2730712890625], [965.1212768554688, 600.0288696289062], [1041.20166015625, 612.9689331054688], [952.2019653320312, 637.411376953125], [1062.73388671875, 648.9136962890625], [979.47607421875, 648.9136962890625], [1015.363037109375, 654.6648559570312], [989.5244750976562, 700.674072265625], [1031.1533203125, 709.30078125], [980.9115600585938, 766.8123779296875], [1029.7178955078125, 772.5635375976562], [1005.3147277832031, 769.6879577636719]]"
19,7,00:13:16,23901,15,bottom,clear,,,"[1112, 287]","[[993.0577392578125, 362.59893798828125], [997.3736572265625, 356.83734130859375], [988.7418823242188, 358.2777404785156], [1003.128173828125, 353.95654296875], [981.5487670898438, 355.3969421386719], [1010.3212280273438, 375.56256103515625], [968.6011962890625, 379.8837585449219], [1014.6371459960938, 401.48980712890625], [948.4603881835938, 407.2513732910156], [1020.3916625976562, 423.0957946777344], [947.0217895507812, 446.1422119140625], [995.93505859375, 430.29779052734375], [964.2852783203125, 430.29779052734375], [1014.6371459960938, 469.18865966796875], [945.5831909179688, 469.18865966796875], [1023.2688598632812, 516.7218627929688], [922.5652465820312, 521.0430908203125], [972.9170532226562, 518.8824768066406]]","[[1262.2947998046875, 688.6026611328125], [1265.1641845703125, 678.5225219726562], [1259.42529296875, 679.9625244140625], [1233.600341796875, 651.1621704101562], [1259.42529296875, 672.762451171875], [1210.6448974609375, 651.1621704101562], [1249.3822021484375, 700.122802734375], [1191.99365234375, 602.2015380859375], [1239.3392333984375, 731.8031616210938], [1183.38525390625, 561.8810424804688], [1266.598876953125, 913.2454223632812], [1177.646484375, 747.6433715820312], [1212.07958984375, 762.0435791015625], [1137.4742431640625, 839.8045043945312], [1235.0350341796875, 844.1245727539062], [1103.0411376953125, 907.4853515625], [1266.598876953125, 914.6854858398438], [1184.8200073242188, 911.0854187011719]]"
19,8,00:13:17,23928,16,top,drop,,,"[805, 184]","[[878.1294555664062, 273.7650451660156], [882.3807983398438, 270.8896179199219], [875.2952270507812, 270.8896179199219], [889.4664916992188, 278.07818603515625], [889.4664916992188, 278.07818603515625], [861.1239013671875, 293.8929748535156], [880.9637451171875, 296.7684020996094], [886.6322021484375, 324.0848388671875], [886.6322021484375, 322.64715576171875], [878.1294555664062, 302.51922607421875], [906.4720458984375, 321.2094421386719], [880.9637451171875, 361.4653015136719], [863.9581909179688, 361.4653015136719], [886.6322021484375, 413.2228088378906], [869.626708984375, 410.347412109375], [903.6376953125, 450.603271484375], [888.04931640625, 459.2294921875], [895.843505859375, 454.9163818359375]]","[[1003.4725341796875, 627.8833618164062], [1004.908447265625, 625.00537109375], [1003.4725341796875, 625.00537109375], [1006.3445434570312, 632.200439453125], [1035.065185546875, 636.5175170898438], [981.9320068359375, 665.2978515625], [1042.245361328125, 673.9320068359375], [954.6473999023438, 705.5903930664062], [1066.6578369140625, 717.1025390625], [934.54296875, 741.5658569335938], [1079.5821533203125, 748.760986328125], [977.6239013671875, 753.0780029296875], [1016.396728515625, 758.8341064453125], [969.0076904296875, 800.5656127929688], [1014.9607543945312, 806.3217163085938], [980.4960327148438, 862.4434204101562], [1025.012939453125, 868.199462890625], [1002.7544860839844, 865.3214416503906]]"
19,9,00:13:18,23955,15,bottom,net shot,,,"[596, 636]","[[849.8348388671875, 338.16851806640625], [854.1261596679688, 333.863037109375], [845.5436401367188, 333.863037109375], [861.2781982421875, 333.863037109375], [838.3915405273438, 335.2981872558594], [872.721435546875, 353.955322265625], [829.80908203125, 358.26080322265625], [891.3167724609375, 379.78826904296875], [819.7962036132812, 388.39923095703125], [892.7471923828125, 405.6211853027344], [816.9354248046875, 418.5376892089844], [868.4302368164062, 411.36187744140625], [838.3915405273438, 412.7970275878906], [877.0126953125, 455.8519287109375], [834.100341796875, 454.4167785644531], [877.0126953125, 501.77716064453125], [834.100341796875, 510.38812255859375], [855.5565185546875, 506.0826416015625]]","[[642.8397827148438, 638.06005859375], [642.8397827148438, 633.7498168945312], [642.8397827148438, 633.7498168945312], [648.5776977539062, 633.7498168945312], [670.094970703125, 625.1293334960938], [651.4466552734375, 658.1744384765625], [687.308837890625, 638.06005859375], [635.6672973632812, 692.6563110351562], [697.3502197265625, 640.9335327148438], [621.3224487304688, 704.1502685546875], [705.9571533203125, 629.4395751953125], [667.2260131835938, 695.5298461914062], [708.8261108398438, 688.3460693359375], [647.1431884765625, 698.4033203125], [724.6055297851562, 742.9423828125], [654.315673828125, 748.6893310546875], [750.42626953125, 786.0447387695312], [702.3709716796875, 767.3670349121094]]"
19,10,00:13:19,23984,16,top,lob,,,"[695, 438]","[[770.0928344726562, 439.87811279296875], [772.9213256835938, 434.1310729980469], [765.85009765625, 435.5678405761719], [782.821044921875, 434.1310729980469], [760.1931762695312, 439.87811279296875], [798.3775634765625, 455.6824645996094], [764.4359130859375, 465.73974609375], [808.2772827148438, 484.4176330566406], [764.4359130859375, 481.54412841796875], [795.549072265625, 481.54412841796875], [770.0928344726562, 461.42950439453125], [798.3775634765625, 528.9571533203125], [774.3356323242188, 527.5203857421875], [798.3775634765625, 569.1863403320312], [765.85009765625, 574.9334106445312], [799.7918701171875, 589.301025390625], [792.720703125, 596.4848022460938], [796.2562866210938, 592.8929138183594]]","[[802.3965454101562, 526.379150390625], [802.3965454101562, 527.8184204101562], [829.73583984375, 530.6968994140625], [802.3965454101562, 530.6968994140625], [829.73583984375, 532.1361083984375], [783.6905517578125, 556.6030883789062], [836.930419921875, 563.7992553710938], [757.7901000976562, 594.0231323242188], [849.8806762695312, 608.4154663085938], [747.7177734375, 632.8824462890625], [868.5865478515625, 641.517822265625], [773.6182250976562, 635.7609252929688], [806.7131958007812, 637.2001342773438], [799.5186767578125, 686.1340942382812], [821.1023559570312, 691.8909912109375], [806.7131958007812, 742.2642211914062], [816.7855834960938, 745.1427001953125], [811.7493896484375, 743.7034606933594]]"
19,11,00:13:21,24034,15,bottom,drop,,,"[630, 581]","[[864.4896850585938, 365.62091064453125], [868.7811889648438, 362.752685546875], [860.1982421875, 362.752685546875], [875.9336547851562, 362.752685546875], [853.0457763671875, 365.62091064453125], [890.2385864257812, 385.6986083984375], [845.893310546875, 388.56683349609375], [904.54345703125, 414.38104248046875], [840.1714477539062, 420.1175231933594], [901.6824340820312, 443.0634460449219], [833.0189208984375, 450.23406982421875], [887.3775634765625, 443.0634460449219], [858.7677612304688, 445.93170166015625], [898.821533203125, 491.82354736328125], [844.462890625, 486.08709716796875], [915.9874267578125, 550.62255859375], [838.7409057617188, 536.2813110351562], [877.3641662597656, 543.4519348144531]]","[[675.2025146484375, 750.1226196289062], [676.6346435546875, 747.244384765625], [676.6346435546875, 744.3662109375], [679.4988403320312, 754.43994140625], [708.1409301757812, 754.43994140625], [669.47412109375, 791.8564453125], [719.5977172851562, 773.1481323242188], [620.7825927734375, 793.2955322265625], [749.671875, 791.8564453125], [577.8194580078125, 786.1000366210938], [712.4371948242188, 764.5136108398438], [693.8198852539062, 879.6414184570312], [723.89404296875, 879.6414184570312], [636.5357055664062, 931.4488525390625], [705.2766723632812, 930.009765625], [646.5604248046875, 1007.7210083007812], [776.8818969726562, 960.2308349609375], [711.7211608886719, 983.9759216308594]]"
