rally,ball_round,time,frame_num,player,pos,type,lose_reason,getpoint_player,ball,top,bottom
7,1,00:47:58,86355,9,top,short service,,,"[1009, 529]","[[988.2742309570312, 464.8943786621094], [992.56298828125, 462.0207214355469], [983.9853515625, 462.0207214355469], [995.4222412109375, 463.45751953125], [976.8373413085938, 463.45751953125], [1001.140625, 486.4469299316406], [961.1117553710938, 483.5732421875], [1019.7255249023438, 516.6204833984375], [935.3788452148438, 503.68896484375], [1002.5702514648438, 533.8624877929688], [943.9564819335938, 525.241455078125], [985.4149780273438, 548.2308349609375], [962.5413818359375, 548.2308349609375], [992.56298828125, 587.025390625], [963.9708862304688, 594.2095336914062], [989.7037963867188, 618.6357421875], [968.2597045898438, 643.06201171875], [978.9817504882812, 630.848876953125]]","[[851.12939453125, 670.43408203125], [848.26220703125, 664.6739501953125], [851.12939453125, 666.114013671875], [828.1925048828125, 668.9940795898438], [848.26220703125, 668.9940795898438], [815.2905883789062, 687.714599609375], [852.5628662109375, 687.714599609375], [793.7872924804688, 704.9950561523438], [884.1010131835938, 707.8751220703125], [818.1576538085938, 687.714599609375], [868.3319091796875, 696.3547973632812], [805.2557983398438, 756.83642578125], [825.325439453125, 761.1565551757812], [819.5912475585938, 814.43798828125], [828.1925048828125, 817.3180541992188], [823.891845703125, 859.0791015625], [810.989990234375, 870.5994873046875], [817.44091796875, 864.8392944335938]]"
7,2,00:47:59,86373,26,bottom,lob,,,"[957, 459]","[[990.81640625, 476.74627685546875], [995.1325073242188, 472.4276428222656], [986.5004272460938, 470.9880676269531], [999.448486328125, 475.3067321777344], [982.1843872070312, 472.4276428222656], [1006.6419067382812, 491.1418762207031], [967.7976684570312, 488.2627868652344], [1026.783447265625, 515.6143798828125], [943.340087890625, 511.29571533203125], [1042.6087646484375, 538.6473388671875], [936.1466674804688, 540.0869140625], [983.623046875, 538.6473388671875], [954.8495483398438, 540.0869140625], [999.448486328125, 571.7572021484375], [953.4108276367188, 577.5154418945312], [1018.1513671875, 620.7021484375], [939.0240478515625, 625.0208129882812], [978.5877075195312, 622.8614807128906]]","[[841.0910034179688, 644.74951171875], [842.52880859375, 643.3121337890625], [865.5343017578125, 644.74951171875], [842.52880859375, 649.0615844726562], [862.6585693359375, 650.4989013671875], [835.3396606445312, 676.3712158203125], [869.8478393554688, 667.7470703125], [809.4584350585938, 700.80615234375], [869.8478393554688, 639.0001220703125], [797.955810546875, 676.3712158203125], [864.0964965820312, 616.0025024414062], [842.52880859375, 746.80126953125], [866.9721069335938, 745.3639526367188], [828.1504516601562, 797.1085205078125], [859.7828979492188, 784.17236328125], [825.2747192382812, 856.0398559570312], [869.8478393554688, 837.354248046875], [847.561279296875, 846.6970520019531]]"
7,3,00:48:00,86412,9,top,drop,,,"[1107, 293]","[[1109.313720703125, 394.7959899902344], [1115.015869140625, 396.2301025390625], [1109.313720703125, 393.36187744140625], [1116.4412841796875, 406.26885986328125], [1103.6116943359375, 397.6642150878906], [1110.7393798828125, 424.91229248046875], [1085.080078125, 403.400634765625], [1115.015869140625, 439.2533874511719], [1076.527099609375, 380.45489501953125], [1124.994384765625, 433.5169677734375], [1124.994384765625, 432.0828552246094], [1089.3565673828125, 475.10614013671875], [1062.27197265625, 472.2379150390625], [1110.7393798828125, 510.9588623046875], [1040.8892822265625, 518.1294555664062], [1130.6964111328125, 542.50927734375], [1033.76171875, 561.1527099609375], [1082.2290649414062, 551.8309936523438]]","[[983.6912231445312, 683.9675903320312], [987.9910278320312, 679.6617431640625], [993.7240600585938, 675.35595703125], [970.7918701171875, 675.35595703125], [993.7240600585938, 675.35595703125], [962.1922607421875, 699.7557373046875], [1008.0567016601562, 698.3204345703125], [936.3934936523438, 728.4613037109375], [1028.1224365234375, 729.8966064453125], [910.5946655273438, 749.9905395507812], [1043.888427734375, 762.9080810546875], [979.3914184570312, 771.5197143554688], [1010.9232788085938, 767.2139282226562], [962.1922607421875, 814.5781860351562], [1025.2559814453125, 807.4017944335938], [965.0587158203125, 867.68359375], [1045.3216552734375, 859.0718994140625], [1005.190185546875, 863.3777465820312]]"
7,4,00:48:01,86434,26,bottom,net shot,,,"[731, 736]","[[1049.578125, 439.7845764160156], [1053.8709716796875, 436.9070739746094], [1046.7161865234375, 436.9070739746094], [1061.025634765625, 436.9070739746094], [1042.4234619140625, 436.9070739746094], [1068.180419921875, 452.7332763671875], [1030.975830078125, 454.1720275878906], [1086.7825927734375, 478.6307067871094], [1003.7879638671875, 474.3144836425781], [1086.7825927734375, 500.2119445800781], [999.4950561523438, 505.9669189453125], [1046.7161865234375, 493.0182189941406], [1019.5282592773438, 491.5794677734375], [1063.8875732421875, 530.4255981445312], [1022.39013671875, 537.619384765625], [1045.2852783203125, 559.2006225585938], [1006.6498413085938, 554.8843383789062], [1025.9675598144531, 557.04248046875]]","[[790.666259765625, 743.3360595703125], [793.5250854492188, 740.47509765625], [790.666259765625, 740.47509765625], [797.8133544921875, 741.9055786132812], [810.6780395507812, 739.0447387695312], [812.1075439453125, 761.931884765625], [817.8251953125, 750.48828125], [807.8192138671875, 791.9714965820312], [797.8133544921875, 757.6405029296875], [782.0897827148438, 810.5672607421875], [769.22509765625, 759.0709838867188], [859.2781372070312, 807.7064208984375], [869.2840576171875, 790.541015625], [872.1428833007812, 859.2027587890625], [814.9663696289062, 822.010986328125], [926.4606323242188, 874.937744140625], [779.23095703125, 844.8982543945312], [852.8457946777344, 859.9179992675781]]"
7,5,00:48:02,86464,9,top,net shot,,,"[732, 598]","[[775.8023681640625, 541.5548095703125], [777.2373657226562, 537.2405395507812], [772.9321899414062, 538.6786499023438], [788.7177734375, 531.4881591796875], [772.9321899414062, 540.1167602539062], [808.80859375, 537.2405395507812], [781.54248046875, 555.935791015625], [837.5097045898438, 530.050048828125], [770.0620727539062, 586.1357421875], [860.4706420898438, 521.4215087890625], [752.8414306640625, 617.7738037109375], [831.7694091796875, 593.3262329101562], [805.9384155273438, 590.4500122070312], [840.3797607421875, 639.34521484375], [778.6724243164062, 606.26904296875], [864.7757568359375, 627.8404541015625], [774.3672485351562, 656.602294921875], [819.5715026855469, 642.2213745117188]]","[[806.16162109375, 684.4774169921875], [809.0319213867188, 683.0374755859375], [807.5968017578125, 683.0374755859375], [810.467041015625, 684.4774169921875], [831.994140625, 680.15771484375], [817.6427612304688, 708.9556884765625], [846.3455200195312, 695.99658203125], [827.688720703125, 743.5131225585938], [867.8726806640625, 726.234375], [806.16162109375, 769.4313354492188], [806.16162109375, 769.4313354492188], [867.8726806640625, 769.4313354492188], [883.6592407226562, 760.7919311523438], [849.2158813476562, 825.5872802734375], [872.1781005859375, 803.9888916015625], [867.8726806640625, 878.863525390625], [889.3997192382812, 845.745849609375], [878.6361999511719, 862.3046875]]"
7,6,00:48:03,86492,26,bottom,lob,,,"[1117, 601]","[[948.5184936523438, 474.7052001953125], [951.3640747070312, 470.40118408203125], [944.250244140625, 470.40118408203125], [954.2095336914062, 471.8358459472656], [934.2908935546875, 471.8358459472656], [944.250244140625, 489.05206298828125], [921.4860229492188, 499.0948486328125], [949.9412841796875, 500.5295104980469], [904.412841796875, 526.3538208007812], [967.0144653320312, 513.4417114257812], [900.14453125, 557.9169311523438], [927.177001953125, 539.2659912109375], [914.3721923828125, 543.5700073242188], [944.250244140625, 578.00244140625], [934.2908935546875, 589.4799194335938], [920.063232421875, 606.6961059570312], [937.1363525390625, 636.8245239257812], [928.5997924804688, 621.7603149414062]]","[[1027.902099609375, 642.2442016601562], [1007.91259765625, 652.321533203125], [1026.474365234375, 642.2442016601562], [1007.91259765625, 652.321533203125], [1027.902099609375, 649.4423217773438], [999.3456420898438, 673.9158935546875], [1036.468994140625, 663.8385009765625], [989.350830078125, 698.3895263671875], [1049.3194580078125, 649.4423217773438], [950.7996826171875, 691.19140625], [1060.7420654296875, 637.92529296875], [1003.6290893554688, 741.5781860351562], [1032.185546875, 737.2593383789062], [983.6395874023438, 776.1292724609375], [1050.7471923828125, 755.9744262695312], [966.5056762695312, 816.4386596679688], [1066.453369140625, 783.3273315429688], [1016.4795227050781, 799.8829956054688]]"
7,7,00:48:04,86525,9,top,smash,,,"[1114, 371]","[[1066.64697265625, 434.5404968261719], [1065.2181396484375, 430.2293701171875], [1062.3604736328125, 430.2293701171875], [1046.6431884765625, 440.28863525390625], [1060.9315185546875, 437.41455078125], [1039.4989013671875, 457.5330810546875], [1072.3624267578125, 453.22198486328125], [1023.7815551757812, 484.83685302734375], [1103.7969970703125, 434.5404968261719], [1020.9238891601562, 516.4517211914062], [1126.65869140625, 411.5478820800781], [1046.6431884765625, 515.0147094726562], [1066.64697265625, 512.140625], [1046.6431884765625, 550.940673828125], [1098.0816650390625, 533.6962280273438], [1010.9219360351562, 572.4962768554688], [1106.65478515625, 578.2444458007812], [1058.7883605957031, 575.370361328125]]","[[996.5402221679688, 663.8744506835938], [997.9681396484375, 659.561279296875], [1022.2413940429688, 660.9989624023438], [997.9681396484375, 662.4367065429688], [1020.8135986328125, 663.8744506835938], [989.4010620117188, 686.8780517578125], [1033.6641845703125, 685.4403686523438], [970.8391723632812, 711.3194580078125], [1049.3704833984375, 722.8212890625], [952.2772216796875, 740.073974609375], [1056.5096435546875, 751.5758056640625], [997.9681396484375, 755.8889770507812], [1032.236328125, 754.4512939453125], [980.8340454101562, 801.8963012695312], [1046.5147705078125, 793.2699584960938], [973.69482421875, 852.2167358398438], [1057.9373779296875, 843.59033203125], [1015.8161010742188, 847.9035339355469]]"
7,8,00:48:04,86542,26,bottom,defensive shot,,,"[939, 690]","[[1050.40576171875, 434.91241455078125], [1054.7108154296875, 430.5999755859375], [1047.5357666015625, 430.5999755859375], [1059.0159912109375, 433.47491455078125], [1041.795654296875, 432.0374450683594], [1056.1458740234375, 449.287109375], [1028.8804931640625, 455.0369567871094], [1067.6259765625, 453.59954833984375], [1007.3551635742188, 479.4739685058594], [997.3099975585938, 508.223388671875], [995.875, 508.223388671875], [1023.140380859375, 498.1611022949219], [1011.6602172851562, 498.1611022949219], [1030.3154296875, 542.7227172851562], [1037.4906005859375, 539.8477172851562], [1033.185546875, 581.5343627929688], [1031.7506103515625, 590.1592407226562], [1032.4680786132812, 585.8468017578125]]","[[968.482666015625, 715.3741455078125], [968.482666015625, 711.0594482421875], [969.9169921875, 712.4977416992188], [971.3512573242188, 713.9359741210938], [989.9968872070312, 711.0594482421875], [975.654052734375, 734.0711669921875], [1005.7739868164062, 726.8800048828125], [981.3912353515625, 759.9593505859375], [1018.6825561523438, 748.4534912109375], [964.1798706054688, 782.9710083007812], [988.5626220703125, 774.3416137695312], [1010.0768432617188, 795.9151000976562], [1035.8939208984375, 791.6004028320312], [968.482666015625, 836.185546875], [1031.5909423828125, 816.0503540039062], [939.7970581054688, 886.5236206054688], [1058.84228515625, 859.197265625], [999.3196716308594, 872.8604431152344]]"
7,9,00:48:05,86570,9,top,lob,,,"[1117, 506]","[[1094.052001953125, 512.486083984375], [1098.3441162109375, 509.6143493652344], [1089.760009765625, 508.1784973144531], [1099.7747802734375, 513.9219360351562], [1079.745361328125, 512.486083984375], [1072.591796875, 526.8446044921875], [1076.8839111328125, 525.4087524414062], [1039.686279296875, 534.02392578125], [1081.176025390625, 542.6389770507812], [1065.4384765625, 529.7163696289062], [1098.3441162109375, 551.254150390625], [1066.869140625, 579.9712524414062], [1051.1317138671875, 579.9712524414062], [1059.7158203125, 627.3544311523438], [1085.468017578125, 604.3807983398438], [1021.0874633789062, 624.4827880859375], [1094.052001953125, 656.071533203125], [1057.5697326660156, 640.2771606445312]]","[[980.7056274414062, 678.9087524414062], [980.7056274414062, 674.5830688476562], [980.7056274414062, 676.02490234375], [982.1376953125, 678.9087524414062], [1003.6190795898438, 676.02490234375], [980.7056274414062, 699.0952758789062], [1017.9398193359375, 697.6534423828125], [966.3847045898438, 730.8170166015625], [1039.421142578125, 733.7008056640625], [942.0392456054688, 756.7711791992188], [1052.3099365234375, 765.4225463867188], [1013.6436157226562, 769.7482299804688], [1037.9891357421875, 765.4225463867188], [985.0018920898438, 814.447021484375], [1022.2361450195312, 798.5862426757812], [987.8660888671875, 869.2391357421875], [1035.1248779296875, 847.6107177734375], [1011.4954833984375, 858.4249267578125]]"
7,10,00:48:06,86607,26,bottom,drop,,,"[740, 587]","[[953.0999145507812, 454.2072448730469], [957.4141845703125, 451.3273010253906], [948.7857055664062, 451.3273010253906], [963.1666870117188, 451.3273010253906], [944.4713745117188, 452.76727294921875], [974.6714477539062, 468.60687255859375], [934.4046020507812, 472.9267578125], [997.6810913085938, 477.2466735839844], [920.0235595703125, 501.7260437011719], [1010.6240234375, 495.9661865234375], [909.9569091796875, 529.0853271484375], [968.9190673828125, 517.565673828125], [938.7188720703125, 519.005615234375], [980.423828125, 559.3245849609375], [922.8998413085938, 562.2045288085938], [991.9287109375, 603.9635009765625], [911.39501953125, 608.2833251953125], [951.661865234375, 606.1234130859375]]","[[774.9263916015625, 803.5676879882812], [776.359375, 797.81591796875], [802.1536254882812, 793.5020751953125], [780.658447265625, 797.81591796875], [796.4215087890625, 781.9986572265625], [784.9574584960938, 807.8814697265625], [812.1846313476562, 776.2468872070312], [790.689453125, 918.6024169921875], [815.0506591796875, 731.6708984375], [767.7613525390625, 767.6193237304688], [794.9885864257812, 707.22607421875], [825.0817260742188, 858.2091674804688], [852.3089599609375, 842.3919677734375], [802.1536254882812, 897.033447265625], [885.2681884765625, 871.1505737304688], [896.7322998046875, 911.4127807617188], [896.7322998046875, 912.8507080078125], [896.7322998046875, 912.1317443847656]]"
