rally,ball_round,time,frame_num,player,pos,type,lose_reason,getpoint_player,ball,top,bottom
16,2,00:45:59,82796,31,top,lob,,,"[1037, 459]","[[1038.7650146484375, 469.89593505859375], [1043.08544921875, 467.0201416015625], [1034.4447021484375, 465.5822448730469], [1047.406005859375, 471.33380126953125], [1025.8037109375, 471.33380126953125], [1048.84619140625, 492.902099609375], [1015.72265625, 495.77783203125], [1058.9271240234375, 502.96728515625], [1009.9620361328125, 502.96728515625], [1084.849853515625, 511.5945739746094], [1027.243896484375, 504.4051818847656], [1044.525634765625, 550.41748046875], [1017.1627807617188, 553.2932739257812], [1067.568115234375, 582.0509643554688], [1012.8423461914062, 576.2994384765625], [1073.32861328125, 603.6192626953125], [1008.5219116210938, 629.501220703125], [1040.9252624511719, 616.5602416992188]]","[[899.9163208007812, 604.8616333007812], [901.3488159179688, 601.9894409179688], [931.4317016601562, 593.3729248046875], [904.2139282226562, 604.8616333007812], [929.9992065429688, 597.68115234375], [909.9439697265625, 639.327880859375], [950.054443359375, 620.65869140625], [892.7537231445312, 670.921875], [971.542236328125, 660.8692626953125], [874.1309814453125, 695.33544921875], [981.5698852539062, 701.079833984375], [954.35205078125, 716.8768920898438], [975.83984375, 706.82421875], [924.2691650390625, 771.4483642578125], [952.9194946289062, 751.3431396484375], [951.4869995117188, 828.8921508789062], [980.1373291015625, 808.7868041992188], [965.8121643066406, 818.8394775390625]]"
16,3,00:46:00,82828,30,bottom,clear,,,"[776, 373]","[[903.1593627929688, 422.9248046875], [908.8801879882812, 417.16156005859375], [898.8688354492188, 417.16156005859375], [918.8915405273438, 421.4839782714844], [896.0084228515625, 420.04315185546875], [931.7633666992188, 438.7738037109375], [888.857421875, 441.6553955078125], [958.93701171875, 454.6227722167969], [880.2762451171875, 467.5901184082031], [980.389892578125, 479.11663818359375], [871.6951293945312, 497.8472595214844], [936.0538940429688, 490.6431884765625], [903.1593627929688, 490.6431884765625], [954.646484375, 530.9860229492188], [883.1366577148438, 523.7819213867188], [974.669189453125, 569.8880615234375], [873.1253051757812, 572.7696533203125], [923.8972473144531, 571.328857421875]]","[[735.4111328125, 672.1786499023438], [728.2348022460938, 672.1786499023438], [729.6700439453125, 673.6187744140625], [729.6700439453125, 682.2593383789062], [732.5405883789062, 682.2593383789062], [758.375244140625, 682.2593383789062], [756.9400024414062, 682.2593383789062], [768.4220581054688, 636.17626953125], [766.98681640625, 637.6163330078125], [752.6342163085938, 598.7337646484375], [752.6342163085938, 598.7337646484375], [778.4689331054688, 768.6651000976562], [808.609375, 757.1443481445312], [745.4578857421875, 827.7089233398438], [863.1492309570312, 803.2273559570312], [705.2706909179688, 883.8726196289062], [883.2428588867188, 869.4717407226562], [794.2567749023438, 876.6721801757812]]"
16,4,00:46:02,82862,31,top,clear,,,"[1194, 242]","[[1142.73095703125, 348.17962646484375], [1148.4710693359375, 348.17962646484375], [1144.166015625, 345.30145263671875], [1152.7760009765625, 358.25323486328125], [1138.4259033203125, 348.17962646484375], [1138.4259033203125, 384.1567077636719], [1119.770751953125, 365.4486389160156], [1145.6009521484375, 394.23028564453125], [1114.0306396484375, 348.17962646484375], [1151.341064453125, 365.4486389160156], [1115.4656982421875, 335.2278747558594], [1115.4656982421875, 438.8418884277344], [1089.6353759765625, 434.524658203125], [1142.73095703125, 471.9407958984375], [1059.5001220703125, 469.0626525878906], [1174.30126953125, 483.4534606933594], [1046.5849609375, 510.7960510253906], [1110.443115234375, 497.124755859375]]","[[938.8899536132812, 625.6901245117188], [947.4659423828125, 621.3732299804688], [954.6126098632812, 625.6901245117188], [926.0260620117188, 630.0069580078125], [951.7539672851562, 630.0069580078125], [911.7327270507812, 663.102783203125], [966.0472412109375, 661.663818359375], [886.0048217773438, 700.5154418945312], [986.0579223632812, 710.588134765625], [888.8634643554688, 706.271240234375], [987.4871826171875, 722.0996704101562], [918.87939453125, 745.1228637695312], [956.0419921875, 745.1228637695312], [914.5913696289062, 789.7303466796875], [1000.3511962890625, 785.4134521484375], [920.3087768554688, 842.9714965820312], [1021.7911376953125, 854.4830932617188], [971.0499572753906, 848.727294921875]]"
16,5,00:46:02,82888,30,bottom,clear,,,"[1326, 363]","[[1119.5284423828125, 391.19927978515625], [1123.8480224609375, 388.3321533203125], [1115.208740234375, 386.8986511230469], [1131.04736328125, 391.19927978515625], [1108.00927734375, 391.19927978515625], [1139.686767578125, 412.7024841308594], [1095.0504150390625, 414.1360168457031], [1159.8450927734375, 424.1708679199219], [1074.8919677734375, 435.63922119140625], [1184.322998046875, 435.63922119140625], [1059.05322265625, 461.44305419921875], [1119.5284423828125, 470.0443420410156], [1090.730712890625, 470.0443420410156], [1125.287841796875, 505.88299560546875], [1082.0914306640625, 507.3165588378906], [1108.00927734375, 541.7216796875], [1079.2115478515625, 535.9874877929688], [1093.6104125976562, 538.8545837402344]]","[[1267.119873046875, 611.9777221679688], [1259.9422607421875, 606.22412109375], [1262.8133544921875, 611.9777221679688], [1236.9744873046875, 622.0464477539062], [1259.9422607421875, 626.361572265625], [1231.2325439453125, 642.1838989257812], [1271.4263916015625, 653.6909790039062], [1209.7000732421875, 633.5535278320312], [1315.9266357421875, 653.6909790039062], [1198.2161865234375, 616.2928466796875], [1353.2493896484375, 636.4302978515625], [1222.6195068359375, 724.1720581054688], [1249.8939208984375, 731.364013671875], [1222.6195068359375, 767.3237915039062], [1287.216796875, 783.1460571289062], [1188.1676025390625, 824.8593139648438], [1265.684326171875, 846.4351806640625], [1226.9259643554688, 835.6472473144531]]"
16,6,00:46:04,82933,31,top,drop,,,"[1117, 230]","[[1134.491943359375, 299.1324768066406], [1140.184814453125, 297.69903564453125], [1134.491943359375, 296.26556396484375], [1145.8775634765625, 310.6001892089844], [1128.79931640625, 301.9994201660156], [1144.454345703125, 336.40252685546875], [1115.9906005859375, 312.0336608886719], [1133.06884765625, 370.80560302734375], [1094.642822265625, 287.664794921875], [1113.1441650390625, 366.5052185058594], [1120.2601318359375, 367.9386901855469], [1130.222412109375, 385.1402587890625], [1107.4515380859375, 380.8398742675781], [1143.0311279296875, 429.57757568359375], [1107.4515380859375, 431.0110168457031], [1151.5701904296875, 475.4483642578125], [1108.8746337890625, 484.04913330078125], [1130.222412109375, 479.7487487792969]]","[[1045.957763671875, 631.96337890625], [1033.0574951171875, 630.524658203125], [1038.7908935546875, 626.2084350585938], [1034.4908447265625, 631.96337890625], [1061.724853515625, 631.96337890625], [1023.02392578125, 667.9317626953125], [1080.3585205078125, 666.4929809570312], [1012.9902954101562, 712.5325317382812], [1100.4256591796875, 712.5325317382812], [991.4898681640625, 738.4298095703125], [1096.1256103515625, 735.5523071289062], [1031.6240234375, 748.5009155273438], [1068.8916015625, 751.3782958984375], [988.6231079101562, 787.3467407226562], [1073.191650390625, 790.2241821289062], [998.6566772460938, 849.2122802734375], [1061.724853515625, 847.7735595703125], [1030.1907653808594, 848.492919921875]]"
16,7,00:46:05,82951,30,bottom,lob,,,"[1279, 678]","[[1075.36083984375, 380.2464904785156], [1079.6485595703125, 374.4814147949219], [1071.072998046875, 374.4814147949219], [1086.794921875, 377.36395263671875], [1063.9266357421875, 378.8052062988281], [1101.087646484375, 398.98284912109375], [1061.068115234375, 401.8653564453125], [1118.2388916015625, 422.0429992675781], [1049.6339111328125, 427.8080139160156], [1105.37548828125, 429.249267578125], [1039.6290283203125, 453.7507019042969], [1101.087646484375, 459.5157470703125], [1072.5023193359375, 460.95697021484375], [1116.8095703125, 499.8710021972656], [1058.20947265625, 496.98846435546875], [1115.38037109375, 525.8136596679688], [1055.35107421875, 531.5786743164062], [1085.36572265625, 528.6961669921875]]","[[1153.9957275390625, 679.8485107421875], [1151.1263427734375, 675.537353515625], [1152.56103515625, 676.9744262695312], [1123.8673095703125, 676.9744262695312], [1149.691650390625, 681.2855224609375], [1100.9122314453125, 694.2188720703125], [1149.691650390625, 712.9003295898438], [1056.43701171875, 721.5226440429688], [1176.9505615234375, 737.330078125], [1039.2208251953125, 743.0781860351562], [1197.0362548828125, 744.5151977539062], [1070.783935546875, 770.3819580078125], [1115.2591552734375, 774.6930541992188], [1034.9168701171875, 823.5524291992188], [1153.9957275390625, 780.4412231445312], [989.0068359375, 856.604248046875], [1166.9078369140625, 840.796875], [1077.9573364257812, 848.7005615234375]]"
16,8,00:46:06,82983,31,top,clear,,,"[1119, 197]","[[1174.2384033203125, 360.87591552734375], [1181.3865966796875, 362.3157653808594], [1178.52734375, 357.9962463378906], [1184.245849609375, 372.3946228027344], [1174.2384033203125, 357.9962463378906], [1175.6680908203125, 392.5522766113281], [1157.082763671875, 365.1954345703125], [1149.9346923828125, 347.91741943359375], [1145.645751953125, 340.71826171875], [1141.3568115234375, 327.7597351074219], [1138.49755859375, 326.3199157714844], [1149.9346923828125, 438.626953125], [1122.7716064453125, 434.3074951171875], [1169.949462890625, 481.822021484375], [1098.4677734375, 458.78466796875], [1198.542236328125, 499.1000061035156], [1082.7418212890625, 503.4195251464844], [1140.6420288085938, 501.259765625]]","[[1023.811279296875, 619.0604248046875], [1022.3746948242188, 614.74169921875], [1025.2479248046875, 613.3021850585938], [1022.3746948242188, 620.4999389648438], [1049.670166015625, 620.4999389648438], [1009.4451904296875, 647.8515625], [1062.599609375, 652.1702270507812], [986.4595947265625, 692.4778442382812], [1079.8389892578125, 698.236083984375], [977.8399047851562, 721.26904296875], [1081.2755126953125, 727.0272216796875], [1009.4451904296875, 728.466796875], [1048.2335205078125, 729.9063720703125], [973.5300903320312, 778.851318359375], [1081.2755126953125, 784.6094970703125], [953.4176025390625, 840.7522583007812], [1095.6416015625, 847.9500732421875], [1024.5296020507812, 844.3511657714844]]"
16,9,00:46:07,83013,30,bottom,drop,,,"[778, 463]","[[997.0184936523438, 390.9136962890625], [1001.3077392578125, 388.0429382324219], [992.7293090820312, 388.0429382324219], [1008.4564208984375, 390.9136962890625], [987.0103149414062, 390.9136962890625], [1025.61328125, 413.879638671875], [978.4319458007812, 413.879638671875], [1045.629638671875, 433.974853515625], [968.4237670898438, 446.89324951171875], [1059.9271240234375, 458.376220703125], [956.98583984375, 472.7299499511719], [1018.464599609375, 471.2945556640625], [988.4400634765625, 471.2945556640625], [1024.18359375, 508.6142883300781], [964.134521484375, 504.3081359863281], [1034.1917724609375, 548.8046875], [961.2750854492188, 545.9339599609375], [997.7334289550781, 547.3693237304688]]","[[791.864501953125, 638.6719970703125], [787.5738525390625, 637.2344360351562], [787.5738525390625, 640.1095581054688], [790.434326171875, 651.610107421875], [787.5738525390625, 651.610107421875], [781.8529052734375, 687.5493774414062], [813.3180541992188, 661.673095703125], [839.0621948242188, 621.4210815429688], [839.0621948242188, 621.4210815429688], [824.7598876953125, 581.1691284179688], [823.3296508789062, 579.7315673828125], [817.6087646484375, 743.6146240234375], [849.0739135742188, 736.4267578125], [794.7249755859375, 808.3052978515625], [880.5390625, 779.5538940429688], [771.8412475585938, 862.9329833984375], [880.5390625, 845.68212890625], [826.1901550292969, 854.3075561523438]]"
16,10,00:46:07,83035,31,top,defensive shot,,,"[855, 450]","[[878.6547241210938, 430.140869140625], [881.510986328125, 424.412353515625], [874.3703002929688, 425.8445129394531], [890.0799560546875, 424.412353515625], [870.0858154296875, 427.276611328125], [907.2177734375, 440.16583251953125], [870.0858154296875, 457.3513488769531], [928.64013671875, 443.03009033203125], [864.3731689453125, 484.56182861328125], [951.4906005859375, 444.4621887207031], [867.2294921875, 491.7225036621094], [915.7867431640625, 500.3153076171875], [885.7955322265625, 506.0437927246094], [934.3527221679688, 528.9578857421875], [874.3703002929688, 540.4149780273438], [947.2061767578125, 560.4647827148438], [847.2353515625, 580.5146484375], [897.2207641601562, 570.4897155761719]]","[[832.3703002929688, 651.898193359375], [819.546875, 644.721923828125], [820.9716796875, 644.721923828125], [820.9716796875, 649.0277099609375], [849.4683227539062, 644.721923828125], [813.8474731445312, 683.473876953125], [870.8408813476562, 676.297607421875], [796.7494506835938, 730.8373413085938], [896.4878540039062, 719.3552856445312], [801.0240478515625, 736.5784301757812], [890.7885131835938, 749.4957275390625], [838.0697021484375, 766.7188110351562], [873.6904907226562, 760.977783203125], [805.2985229492188, 816.9528198242188], [876.5401611328125, 815.517578125], [816.6971435546875, 881.5394897460938], [887.9388427734375, 870.0573120117188], [852.3179931640625, 875.7984008789062]]"
16,11,00:46:08,83062,30,bottom,net shot,,,"[1138, 673]","[[1015.2207641601562, 425.4582824707031], [1020.9666748046875, 422.5904541015625], [1012.3477783203125, 421.15655517578125], [1026.712646484375, 425.4582824707031], [1003.7288818359375, 422.5904541015625], [1025.276123046875, 448.40081787109375], [987.9275512695312, 445.5329895019531], [1026.712646484375, 475.64508056640625], [963.50732421875, 467.0416564941406], [1033.8951416015625, 500.0215759277344], [950.5789794921875, 491.4180908203125], [997.9829711914062, 497.15374755859375], [976.4356689453125, 494.2859191894531], [1016.6572875976562, 533.00146484375], [987.9275512695312, 528.6997680664062], [1008.038330078125, 568.8492431640625], [986.4910278320312, 586.05615234375], [997.2646789550781, 577.4526977539062]]","[[1096.640625, 642.5905151367188], [1098.0809326171875, 633.976318359375], [1121.1263427734375, 642.5905151367188], [1096.640625, 638.283447265625], [1121.1263427734375, 645.4619750976562], [1083.677490234375, 656.9476318359375], [1125.447509765625, 675.6117553710938], [1057.75146484375, 677.0474243164062], [1134.0894775390625, 701.4544677734375], [1024.6236572265625, 691.4044799804688], [1142.7315673828125, 715.8114624023438], [1070.7144775390625, 735.911376953125], [1103.84228515625, 740.2184448242188], [1047.6690673828125, 794.7752075195312], [1126.8878173828125, 733.0399169921875], [1051.9901123046875, 816.3108520507812], [1126.8878173828125, 786.1610107421875], [1089.43896484375, 801.2359313964844]]"
