rally,ball_round,time,frame_num,player,pos,type,lose_reason,getpoint_player,ball,top,bottom
8,1,00:09:20,16824,5,top,short service,,,"[992, 534]","[[955.4874267578125, 460.2327880859375], [959.7994384765625, 455.9319763183594], [951.17529296875, 455.9319763183594], [961.23681640625, 458.7991638183594], [942.5512084960938, 455.9319763183594], [966.9862060546875, 486.0378723144531], [926.7402954101562, 478.8697814941406], [982.797119140625, 504.6748352050781], [903.7426147460938, 500.37396240234375], [997.170654296875, 526.1790161132812], [922.42822265625, 521.878173828125], [951.17529296875, 543.3823852539062], [928.1776733398438, 541.9487915039062], [939.6764526367188, 590.6917114257812], [933.9270629882812, 590.6917114257812], [918.1161499023438, 627.9656372070312], [932.4896850585938, 648.0363159179688], [925.3029174804688, 638.0009765625]]","[[1076.2982177734375, 625.6044921875], [1076.2982177734375, 619.8458862304688], [1103.6116943359375, 618.4061889648438], [1077.7357177734375, 624.1648559570312], [1102.174072265625, 622.7252197265625], [1063.3602294921875, 651.518310546875], [1115.112060546875, 651.518310546875], [1037.4842529296875, 687.5097045898438], [1149.61328125, 673.1131591796875], [1048.9847412109375, 693.268310546875], [1158.2386474609375, 668.794189453125], [1071.9854736328125, 737.897705078125], [1100.736572265625, 737.897705078125], [1079.1732177734375, 791.1649780273438], [1102.174072265625, 795.4839477539062], [1080.61083984375, 845.8719482421875], [1092.1112060546875, 851.6305541992188], [1086.3610229492188, 848.7512512207031]]"
8,2,00:09:21,16846,11,bottom,net shot,,,"[1057, 585]","[[981.7451782226562, 471.9017639160156], [984.621826171875, 467.59619140625], [975.9918212890625, 467.59619140625], [988.9368286132812, 469.0313720703125], [967.3618774414062, 469.0313720703125], [988.9368286132812, 491.994384765625], [952.978515625, 493.4295349121094], [1010.5118408203125, 512.0869750976562], [935.718505859375, 526.4388427734375], [1030.6484375, 529.3092041015625], [935.718505859375, 558.012939453125], [968.8002319335938, 549.4017944335938], [945.7868041992188, 546.5314331054688], [983.1835327148438, 585.2814331054688], [938.59521484375, 586.7166748046875], [983.1835327148438, 629.772216796875], [925.650146484375, 642.6889038085938], [954.4168395996094, 636.2305603027344]]","[[1039.078125, 631.057861328125], [1041.9285888671875, 626.7392578125], [1041.9285888671875, 622.4207153320312], [1043.3538818359375, 632.497314453125], [1066.15771484375, 635.3764038085938], [1050.4801025390625, 658.4085693359375], [1060.456787109375, 658.4085693359375], [1016.2743530273438, 662.7271118164062], [1023.4005126953125, 668.4851684570312], [1002.0220336914062, 639.6948852539062], [1003.447265625, 645.4529418945312], [1054.7557373046875, 739.0213012695312], [1049.0548095703125, 737.5817260742188], [1050.4801025390625, 809.557373046875], [1033.377197265625, 773.5696411132812], [1094.662353515625, 825.3920288085938], [1043.3538818359375, 812.4364013671875], [1069.0081176757812, 818.9142150878906]]"
8,3,00:09:22,16867,5,top,push/rush,,,"[973, 611]","[[964.7881469726562, 522.327880859375], [967.640380859375, 518.0107421875], [960.509765625, 518.0107421875], [969.0665283203125, 519.4497680664062], [950.5269775390625, 515.1326904296875], [966.2142944335938, 533.8401489257812], [939.1180419921875, 532.401123046875], [983.3276977539062, 541.0353393554688], [919.15234375, 548.23046875], [1007.5717163085938, 548.23046875], [936.2658081054688, 585.6454467773438], [926.282958984375, 571.2550659179688], [914.8740234375, 569.8160400390625], [950.5269775390625, 614.4261474609375], [927.7090454101562, 612.9871215820312], [953.3792114257812, 674.8656616210938], [913.4478759765625, 663.3533935546875], [933.4135437011719, 669.1095275878906]]","[[934.2283325195312, 635.6271362304688], [934.2283325195312, 631.31298828125], [934.2283325195312, 631.31298828125], [937.1049194335938, 635.6271362304688], [960.1177978515625, 631.31298828125], [945.7347412109375, 662.95068359375], [984.5689086914062, 654.3222045898438], [955.8028564453125, 696.0264892578125], [1001.82861328125, 687.3980102539062], [958.679443359375, 736.2926635742188], [1007.581787109375, 729.102294921875], [978.8157348632812, 742.0449829101562], [1004.7052001953125, 734.8545532226562], [934.2283325195312, 786.6254272460938], [987.4456176757812, 769.3684692382812], [965.8709716796875, 831.2058715820312], [993.1987915039062, 828.3296508789062], [979.5348815917969, 829.7677612304688]]"
8,4,00:09:23,16902,11,bottom,drive,,,"[1132, 596]","[[1010.8781127929688, 480.3874816894531], [1013.7489013671875, 476.0840759277344], [1005.1365356445312, 476.0840759277344], [1016.6195678710938, 477.5185546875], [995.0888671875, 477.5185546875], [1022.3611450195312, 497.6012268066406], [979.2996215820312, 499.0356750488281], [1043.891845703125, 513.3804321289062], [960.6396484375, 530.5941162109375], [1068.2933349609375, 530.5941162109375], [954.8981323242188, 562.152587890625], [1002.2657470703125, 552.111328125], [973.55810546875, 550.6768188476562], [1025.23193359375, 587.9732055664062], [959.2042846679688, 590.8421020507812], [1012.3134155273438, 636.745361328125], [940.5443115234375, 643.917724609375], [976.4288635253906, 640.33154296875]]","[[1105.6165771484375, 740.3170166015625], [1101.296630859375, 737.4462890625], [1099.856689453125, 740.3170166015625], [1082.5770263671875, 756.1063842773438], [1092.6568603515625, 754.6709594726562], [1082.5770263671875, 784.814208984375], [1109.9365234375, 780.508056640625], [1073.9371337890625, 819.2637329101562], [1154.5755615234375, 773.3311157226562], [1134.4158935546875, 784.814208984375], [1193.454833984375, 740.3170166015625], [1082.5770263671875, 872.3733520507812], [1108.4964599609375, 875.2440795898438], [1099.856689453125, 899.6458129882812], [1167.535400390625, 913.9996948242188], [1042.2579345703125, 932.6598510742188], [1160.33544921875, 972.8508911132812], [1101.2966918945312, 952.75537109375]]"
8,5,00:09:24,16927,5,top,defensive shot,,,"[716, 534]","[[835.51953125, 507.0582580566406], [839.8382568359375, 502.73822021484375], [832.640380859375, 505.61822509765625], [852.79443359375, 504.1782531738281], [832.640380859375, 509.9382629394531], [871.5088500976562, 525.7783813476562], [831.2008056640625, 531.5384521484375], [903.1793212890625, 535.8584594726562], [788.0137329101562, 548.8185424804688], [926.2124633789062, 541.6185302734375], [739.0684204101562, 558.8986206054688], [870.0692749023438, 581.9388427734375], [842.7173461914062, 586.2588500976562], [907.498046875, 620.8191528320312], [821.1238403320312, 617.9391479492188], [937.7290649414062, 645.29931640625], [786.5741577148438, 655.37939453125], [862.151611328125, 650.33935546875]]","[[923.763671875, 670.7041625976562], [925.2022705078125, 667.82373046875], [958.2909545898438, 664.9432983398438], [928.0795288085938, 670.7041625976562], [955.4136962890625, 670.7041625976562], [923.763671875, 700.9491577148438], [976.9932250976562, 700.9491577148438], [902.18408203125, 731.1940307617188], [992.8182983398438, 742.7159423828125], [884.92041015625, 747.03662109375], [994.2568969726562, 778.7218017578125], [951.0977783203125, 783.0425415039062], [982.747802734375, 783.0425415039062], [923.763671875, 840.6519165039062], [958.2909545898438, 819.0484619140625], [952.536376953125, 885.2992553710938], [968.3614501953125, 888.1796875], [960.4489135742188, 886.7394714355469]]"
8,6,00:09:24,16948,11,bottom,net shot,,,"[677, 624]","[[853.534912109375, 487.2191162109375], [857.8208618164062, 482.92041015625], [849.2490234375, 482.92041015625], [864.9639892578125, 484.3533020019531], [844.9631958007812, 484.3533020019531], [876.39306640625, 501.5480041503906], [832.1054077148438, 508.71246337890625], [903.5370483398438, 511.5782470703125], [819.247802734375, 540.236083984375], [920.6806640625, 525.9071655273438], [807.8187255859375, 576.058349609375], [860.6781005859375, 553.132080078125], [832.1054077148438, 554.56494140625], [880.6788940429688, 588.954345703125], [839.2485961914062, 591.8201293945312], [877.8216552734375, 633.3739624023438], [829.2481689453125, 647.7029418945312], [853.534912109375, 640.5384521484375]]","[[741.08740234375, 677.7512817382812], [743.9506225585938, 673.4519653320312], [742.51904296875, 673.4519653320312], [751.108642578125, 679.1843872070312], [751.108642578125, 679.1843872070312], [778.3088989257812, 702.114013671875], [752.5402221679688, 703.547119140625], [811.2357177734375, 725.0436401367188], [725.3399047851562, 716.445068359375], [802.6461181640625, 755.1387939453125], [693.8447875976562, 727.9098510742188], [812.667236328125, 769.4698486328125], [789.76171875, 759.4381103515625], [822.6884155273438, 833.9593505859375], [758.2666015625, 766.6036376953125], [877.089111328125, 838.2587280273438], [749.677001953125, 816.7621459960938], [813.383056640625, 827.5104370117188]]"
8,7,00:09:25,16978,5,top,net shot,,,"[1191, 600]","[[1095.4520263671875, 562.5750122070312], [1095.4520263671875, 556.8273315429688], [1091.153076171875, 556.8273315429688], [1073.9566650390625, 553.9535522460938], [1082.5548095703125, 556.8273315429688], [1073.9566650390625, 578.3809814453125], [1071.0906982421875, 575.5071411132812], [1038.131103515625, 553.9535522460938], [1108.349365234375, 589.876220703125], [1022.3677978515625, 549.642822265625], [1139.8758544921875, 597.0607299804688], [1033.83203125, 615.7406005859375], [1019.501708984375, 611.4298706054688], [1003.7384643554688, 644.478759765625], [1068.224609375, 630.109619140625], [952.1495361328125, 651.6632690429688], [1095.4520263671875, 683.2752685546875], [1023.80078125, 667.4692687988281]]","[[915.6182861328125, 641.1243286132812], [914.1800537109375, 636.8189086914062], [915.6182861328125, 635.3837280273438], [891.1668701171875, 641.1243286132812], [914.1800537109375, 638.2540283203125], [886.8519287109375, 666.9569702148438], [935.7547607421875, 665.5218505859375], [868.15380859375, 702.835693359375], [958.7678833007812, 701.4005126953125], [856.647216796875, 738.7144165039062], [980.3427124023438, 737.279296875], [919.9332885742188, 748.7604370117188], [950.137939453125, 743.0198364257812], [898.3584594726562, 807.6015014648438], [955.8912353515625, 783.2040405273438], [917.056640625, 853.5262451171875], [977.4660034179688, 836.3045043945312], [947.2613220214844, 844.9153747558594]]"
8,8,00:09:26,17004,11,bottom,net shot,,,"[1282, 645]","[[1082.02734375, 489.90423583984375], [1084.9010009765625, 485.597900390625], [1077.7169189453125, 485.597900390625], [1086.3377685546875, 487.0333557128906], [1066.222412109375, 487.0333557128906], [1076.2801513671875, 505.6940002441406], [1053.291015625, 510.0003356933594], [1102.142822265625, 512.8711547851562], [1031.7386474609375, 543.015380859375], [1128.0054931640625, 524.3546752929688], [1021.6809692382812, 577.4658203125], [1038.9228515625, 564.5469360351562], [1028.8651123046875, 563.1114501953125], [1051.8541259765625, 606.1744995117188], [1050.4173583984375, 604.7390747070312], [1008.7496337890625, 642.0604248046875], [1037.4859619140625, 662.1565551757812], [1023.1177978515625, 652.1084899902344]]","[[1177.1075439453125, 650.8400268554688], [1177.1075439453125, 646.5152587890625], [1177.1075439453125, 646.5152587890625], [1157.0198974609375, 647.9568481445312], [1179.9771728515625, 647.9568481445312], [1146.9759521484375, 673.9056396484375], [1188.586181640625, 673.9056396484375], [1109.6702880859375, 683.9967651367188], [1205.80419921875, 666.6976318359375], [1075.2342529296875, 686.8799438476562], [1218.7177734375, 656.6064453125], [1142.6715087890625, 751.7518310546875], [1174.23779296875, 750.3102416992188], [1128.3231201171875, 777.7005615234375], [1204.369384765625, 754.6350708007812], [1106.800537109375, 828.156494140625], [1214.4132080078125, 797.8829345703125], [1160.6068725585938, 813.0197143554688]]"
8,9,00:09:27,17030,5,top,lob,,,"[1259, 526]","[[1200.0836181640625, 570.4603271484375], [1201.521728515625, 567.5834350585938], [1197.2073974609375, 566.1449584960938], [1182.8258056640625, 567.5834350585938], [1184.2640380859375, 566.1449584960938], [1169.882568359375, 577.652587890625], [1175.6351318359375, 584.8448486328125], [1138.2432861328125, 569.0218505859375], [1164.1300048828125, 596.3524780273438], [1136.80517578125, 570.4603271484375], [1197.2073974609375, 599.2293701171875], [1145.43408203125, 629.4368896484375], [1125.2999267578125, 629.4368896484375], [1161.253662109375, 648.1367797851562], [1161.253662109375, 648.1367797851562], [1185.7021484375, 702.7980346679688], [1182.8258056640625, 697.0442504882812], [1184.2639770507812, 699.921142578125]]","[[1069.99365234375, 624.550048828125], [1069.99365234375, 620.227783203125], [1095.91064453125, 620.227783203125], [1071.4334716796875, 624.550048828125], [1094.4708251953125, 623.1093139648438], [1071.4334716796875, 650.4837036132812], [1116.068359375, 650.4837036132812], [1054.1553955078125, 682.1803588867188], [1131.9066162109375, 689.3841552734375], [1032.557861328125, 712.436279296875], [1140.545654296875, 725.4030151367188], [1101.6700439453125, 726.8438110351562], [1126.147216796875, 726.8438110351562], [1059.914794921875, 772.947998046875], [1103.10986328125, 759.981201171875], [1081.5123291015625, 810.40771484375], [1091.5911865234375, 817.6115112304688], [1086.5517578125, 814.0096130371094]]"
8,10,00:09:29,17083,11,bottom,smash,,,"[1054, 547]","[[997.0240478515625, 462.67681884765625], [1001.2997436523438, 458.37493896484375], [992.748291015625, 458.37493896484375], [1007.0006713867188, 461.24285888671875], [985.6221313476562, 461.24285888671875], [1014.1268920898438, 481.31829833984375], [968.5192260742188, 481.31829833984375], [1031.229736328125, 504.2616882324219], [952.8416137695312, 511.43145751953125], [1042.6317138671875, 524.3370971679688], [945.7153930664062, 540.1107177734375], [997.0240478515625, 540.1107177734375], [968.5192260742188, 540.1107177734375], [1007.0006713867188, 583.1294555664062], [954.266845703125, 577.3936767578125], [991.3230590820312, 626.1483154296875], [942.8649291992188, 627.582275390625], [967.093994140625, 626.8652954101562]]","[[944.7532958984375, 715.8488159179688], [939.0120239257812, 707.2244873046875], [940.4473266601562, 710.0992431640625], [916.046875, 724.4732055664062], [940.4473266601562, 715.8488159179688], [918.91748046875, 763.282958984375], [956.23583984375, 741.7219848632812], [933.2706909179688, 799.2179565429688], [986.3776245117188, 724.4732055664062], [979.2010498046875, 792.0309448242188], [1013.6488037109375, 698.60009765625], [946.1885375976562, 836.5903930664062], [976.3303833007812, 826.528564453125], [1006.47216796875, 879.7123413085938], [940.4473266601562, 904.1480712890625], [969.15380859375, 935.7709350585938], [927.5293579101562, 953.0197143554688], [948.3415832519531, 944.3953247070312]]"
