rally,ball_round,time,frame_num,player,pos,type,lose_reason,getpoint_player,ball,top,bottom
22,1,00:16:11,29137,12,bottom,long service,,,"[990, 322]","[[1050.1033935546875, 328.5464172363281], [1054.3687744140625, 325.6711120605469], [1047.259765625, 324.2334899902344], [1058.63427734375, 325.6711120605469], [1040.1507568359375, 324.2334899902344], [1064.321533203125, 342.9228515625], [1030.1978759765625, 338.6098937988281], [1081.3834228515625, 360.174560546875], [1013.1361083984375, 360.174560546875], [1084.22705078125, 370.2380676269531], [1010.29248046875, 375.9886474609375], [1055.7906494140625, 393.2403564453125], [1035.8851318359375, 391.8027648925781], [1051.525146484375, 430.6191101074219], [1038.7288818359375, 426.3061828613281], [1050.1033935546875, 475.18609619140625], [1045.837890625, 452.1838073730469], [1047.9706420898438, 463.68495178222656]]","[[949.0363159179688, 559.330322265625], [923.4688720703125, 556.451171875], [949.0363159179688, 557.8907470703125], [924.8892822265625, 562.20947265625], [947.6159057617188, 562.20947265625], [916.3667602539062, 592.4404296875], [958.979248046875, 591.0008544921875], [907.84423828125, 585.2425537109375], [985.9671630859375, 603.9569702148438], [913.5259399414062, 553.572021484375], [993.0692749023438, 591.0008544921875], [927.7301025390625, 662.9793701171875], [954.718017578125, 662.9793701171875], [924.8892822265625, 719.1226196289062], [954.718017578125, 694.64990234375], [926.3096923828125, 776.7054443359375], [949.0363159179688, 727.7600708007812], [937.6730041503906, 752.2327575683594]]"
22,2,00:16:12,29172,5,top,clear,,,"[1060, 21]","[[1091.0201416015625, 283.2403869628906], [1093.8780517578125, 283.2403869628906], [1091.0201416015625, 281.80194091796875], [1096.7359619140625, 284.6788024902344], [1103.880859375, 288.9941101074219], [1078.1593017578125, 291.8709411621094], [1095.3070068359375, 301.9399719238281], [1085.30419921875, 278.9250793457031], [1085.30419921875, 277.4866638183594], [1102.4517822265625, 271.7329406738281], [1073.8724365234375, 265.9792175292969], [1072.4434814453125, 337.90069580078125], [1058.1536865234375, 327.8316955566406], [1088.162109375, 372.4230041503906], [1036.71923828125, 336.4622802734375], [1096.7359619140625, 404.0684814453125], [1029.5743408203125, 378.1767578125], [1063.1551513671875, 391.12261962890625]]","[[965.5948486328125, 589.671142578125], [971.3150634765625, 583.9337768554688], [958.4444580078125, 585.3681030273438], [955.5844116210938, 591.1054077148438], [979.8953857421875, 589.671142578125], [947.0040283203125, 621.2265625], [992.7659912109375, 616.9235229492188], [938.423583984375, 659.9537353515625], [1012.786865234375, 659.9537353515625], [931.2733154296875, 688.6405029296875], [1009.9267578125, 681.4688110351562], [958.4444580078125, 692.9435424804688], [991.3358764648438, 692.9435424804688], [934.1334838867188, 721.6303100585938], [1014.2169189453125, 723.0646362304688], [922.6929321289062, 773.2665405273438], [1034.23779296875, 776.13525390625], [978.4653625488281, 774.7008972167969]]"
22,3,00:16:14,29223,12,bottom,smash,,,"[840, 452]","[[958.7208862304688, 319.5441589355469], [961.5866088867188, 315.2395324707031], [955.8551025390625, 315.2395324707031], [967.318115234375, 315.2395324707031], [950.1235961914062, 316.6744079589844], [975.9153442382812, 328.1534118652344], [940.0935668945312, 329.5882873535156], [1000.2740478515625, 342.502197265625], [931.496337890625, 352.54632568359375], [1013.1698608398438, 364.02532958984375], [924.3319702148438, 376.9392395019531], [970.1837768554688, 365.460205078125], [945.8250732421875, 366.89508056640625], [990.2440185546875, 394.15771484375], [925.764892578125, 392.72283935546875], [1000.2740478515625, 435.7691345214844], [915.7347412109375, 430.0296325683594], [958.00439453125, 432.8993835449219]]","[[698.1460571289062, 682.8397216796875], [696.7111206054688, 681.4002685546875], [693.84130859375, 681.4002685546875], [672.317626953125, 701.552734375], [696.7111206054688, 691.4765014648438], [682.3619995117188, 738.9788208007812], [721.1046752929688, 705.87109375], [721.1046752929688, 738.9788208007812], [748.3680419921875, 697.2343139648438], [745.4982299804688, 707.310546875], [746.9331665039062, 705.87109375], [718.23486328125, 797.9967651367188], [749.8030395507812, 787.9205322265625], [696.7111206054688, 854.1358032226562], [789.9805908203125, 806.6334838867188], [673.7525024414062, 918.91162109375], [779.936279296875, 871.4093017578125], [726.8443908691406, 895.1604614257812]]"
22,4,00:16:14,29234,5,top,defensive shot,,,"[992, 375]","[[948.4010620117188, 331.3570251464844], [951.2720947265625, 327.0703125], [945.5299072265625, 328.49920654296875], [955.5787963867188, 328.49920654296875], [941.2232666015625, 328.49920654296875], [959.885498046875, 341.3594055175781], [931.1744384765625, 347.0750732421875], [952.7077026367188, 368.5087585449219], [913.9476928710938, 365.6509094238281], [967.063232421875, 382.7978820800781], [921.12548828125, 378.5111389160156], [952.7077026367188, 378.5111389160156], [929.73876953125, 381.3689270019531], [977.1121826171875, 397.08697509765625], [913.9476928710938, 412.80499267578125], [1001.5166015625, 435.6676025390625], [889.543212890625, 434.2386474609375], [945.5299072265625, 434.953125]]","[[771.782958984375, 656.9826049804688], [777.4990234375, 648.3428344726562], [784.6441650390625, 648.3428344726562], [758.9218139648438, 656.9826049804688], [784.6441650390625, 654.1026611328125], [746.060546875, 688.66162109375], [796.076416015625, 684.3417358398438], [734.6283569335938, 734.7401733398438], [820.3696899414062, 718.900634765625], [743.2025146484375, 727.5404052734375], [824.6567993164062, 741.9398803710938], [758.9218139648438, 763.5392456054688], [790.3602294921875, 760.6593627929688], [741.7734985351562, 819.697509765625], [814.6536254882812, 800.9780883789062], [740.344482421875, 874.4158325195312], [806.0795288085938, 860.0162353515625], [773.2120056152344, 867.2160339355469]]"
22,5,00:16:15,29260,12,bottom,lob,,,"[941, 372]","[[979.2682495117188, 334.37225341796875], [983.5761108398438, 331.501220703125], [974.96044921875, 330.0657043457031], [987.884033203125, 331.501220703125], [969.216552734375, 331.501220703125], [986.4480590820312, 347.29193115234375], [957.7289428710938, 351.5985107421875], [1003.6795654296875, 355.9050598144531], [943.3693237304688, 378.8733825683594], [1023.782958984375, 361.6471252441406], [941.933349609375, 406.1482238769531], [962.0367431640625, 394.6640625], [946.2412109375, 396.099609375], [974.96044921875, 424.8100280761719], [959.164794921875, 429.1165466308594], [946.2412109375, 447.7783508300781], [949.1131591796875, 470.7466125488281], [947.6771850585938, 459.2624816894531]]","[[941.6231079101562, 564.77685546875], [940.183349609375, 569.0886840820312], [963.218994140625, 576.2750244140625], [940.183349609375, 574.8377685546875], [960.339599609375, 579.1495971679688], [924.3463134765625, 596.3967895507812], [966.0985107421875, 605.0203857421875], [896.9915161132812, 619.3931274414062], [971.8573608398438, 607.8949584960938], [871.076416015625, 648.1384887695312], [970.4176025390625, 593.5222778320312], [921.4669189453125, 665.3857421875], [951.7012329101562, 666.822998046875], [905.6298828125, 705.6293334960938], [966.0985107421875, 658.1994018554688], [905.6298828125, 735.8119506835938], [954.5806884765625, 691.256591796875], [930.1052856445312, 713.5342712402344]]"
22,6,00:16:16,29297,5,top,drop,,,"[851, 296]","[[820.8771362304688, 300.0171203613281], [826.57177734375, 295.6981506347656], [820.8771362304688, 295.6981506347656], [833.6900024414062, 300.0171203613281], [819.4534912109375, 298.57745361328125], [839.3845825195312, 315.8533935546875], [820.8771362304688, 318.7326965332031], [852.1974487304688, 334.5689697265625], [802.3696899414062, 337.4482727050781], [857.8920288085938, 350.40521240234375], [782.4386596679688, 338.887939453125], [857.8920288085938, 363.3621520996094], [840.8082275390625, 361.9224853515625], [839.3845825195312, 392.15533447265625], [815.1826171875, 384.9570617675781], [865.01025390625, 422.3882141113281], [816.6062622070312, 409.4312744140625], [840.8082580566406, 415.9097442626953]]","[[852.76025390625, 582.3983764648438], [852.76025390625, 578.0753784179688], [852.76025390625, 578.0753784179688], [852.76025390625, 582.3983764648438], [877.1466674804688, 578.0753784179688], [844.1532592773438, 612.6595458984375], [895.7951049804688, 606.8955078125], [841.2842407226562, 651.5667114257812], [913.0090942382812, 650.125732421875], [834.1117553710938, 680.3868408203125], [897.2296142578125, 667.4177856445312], [862.8016967773438, 684.7098999023438], [898.6641845703125, 684.7098999023438], [831.2427368164062, 723.6170654296875], [918.7470703125, 714.9710693359375], [822.6357421875, 779.8163452148438], [943.1336059570312, 761.083251953125], [882.8846740722656, 770.4497985839844]]"
22,7,00:16:17,29321,12,bottom,net shot,,,"[1157, 454]","[[951.9838256835938, 331.691162109375], [951.9838256835938, 327.38385009765625], [947.699951171875, 327.38385009765625], [953.4119262695312, 328.81964111328125], [939.132080078125, 327.38385009765625], [950.555908203125, 341.7415466308594], [923.42431640625, 344.6130676269531], [966.263671875, 351.79193115234375], [907.7164916992188, 364.71380615234375], [983.3994140625, 361.84228515625], [907.7164916992188, 389.1218566894531], [917.7123413085938, 370.4568786621094], [900.5765991210938, 371.89263916015625], [933.420166015625, 399.1722412109375], [921.996337890625, 400.6080017089844], [920.568359375, 427.8876037597656], [916.2843627929688, 437.9379577636719], [918.4263610839844, 432.91278076171875]]","[[1078.43408203125, 561.7222900390625], [1078.43408203125, 558.8516845703125], [1077.0029296875, 558.8516845703125], [1058.3970947265625, 558.8516845703125], [1078.43408203125, 563.1575927734375], [1042.65380859375, 580.38134765625], [1081.2965087890625, 583.2520141601562], [1029.7728271484375, 607.6522827148438], [1104.196044921875, 583.2520141601562], [1011.1670532226562, 636.3585205078125], [1121.3704833984375, 563.1575927734375], [1031.2041015625, 646.4057006835938], [1062.6907958984375, 650.711669921875], [1008.3046264648438, 685.1591186523438], [1084.158935546875, 643.5350952148438], [996.85498046875, 723.9125366210938], [1084.158935546875, 675.1119384765625], [1040.5069580078125, 699.5122375488281]]"
22,8,00:16:18,29348,5,top,lob,,,"[1202, 420]","[[1137.269287109375, 437.3520812988281], [1138.708740234375, 433.0508728027344], [1134.39013671875, 433.0508728027344], [1121.434326171875, 431.61712646484375], [1124.3133544921875, 431.61712646484375], [1119.994873046875, 448.8220520019531], [1117.11572265625, 450.25579833984375], [1130.071533203125, 458.8582458496094], [1122.8739013671875, 455.9907531738281], [1079.6878662109375, 430.1833801269531], [1150.2249755859375, 463.15948486328125], [1089.7646484375, 478.9306335449219], [1072.490234375, 478.9306335449219], [1079.6878662109375, 504.7380676269531], [1104.159912109375, 488.96685791015625], [1122.8739013671875, 533.4129028320312], [1122.8739013671875, 533.4129028320312], [1122.8739013671875, 533.4129028320312]]","[[1016.4183959960938, 551.3018798828125], [1017.8411254882812, 548.4329223632812], [1019.2637329101562, 546.9984130859375], [1017.8411254882812, 551.3018798828125], [1037.75830078125, 551.3018798828125], [1012.1504516601562, 578.5570068359375], [1056.2529296875, 575.68798828125], [1005.037109375, 617.2879028320312], [1067.63427734375, 612.9844970703125], [997.923828125, 648.8464965820312], [1064.7889404296875, 643.1085815429688], [1026.3770751953125, 641.674072265625], [1053.4075927734375, 641.674072265625], [989.3878784179688, 683.2739868164062], [1042.0263671875, 664.6257934570312], [1000.7691040039062, 732.0463256835938], [1047.717041015625, 703.3567504882812], [1024.2430725097656, 717.7015380859375]]"
22,9,00:16:19,29396,12,bottom,smash,,,"[1162, 409]","[[1001.4823608398438, 340.45245361328125], [1004.3440551757812, 337.57757568359375], [997.1896362304688, 337.57757568359375], [1008.6367797851562, 339.0150146484375], [990.03515625, 339.0150146484375], [1012.929443359375, 350.5145568847656], [977.1571044921875, 353.3894958496094], [1025.8074951171875, 364.8890380859375], [962.8482055664062, 379.2634582519531], [1034.392822265625, 385.0133056640625], [958.5554809570312, 406.5749816894531], [1002.9132080078125, 393.637939453125], [977.1571044921875, 392.20050048828125], [1021.5148315429688, 416.6371154785156], [957.12451171875, 425.2617492675781], [1038.685546875, 452.5732421875], [932.7993774414062, 454.0106506347656], [985.7424621582031, 453.2919464111328]]","[[1107.7659912109375, 677.2385864257812], [1107.7659912109375, 671.4818725585938], [1132.139404296875, 657.0902099609375], [1112.0670166015625, 675.7993774414062], [1137.874267578125, 661.40771484375], [1124.970703125, 708.9002685546875], [1165.115234375, 681.5560302734375], [1104.8984375, 708.9002685546875], [1147.910400390625, 681.5560302734375], [1104.8984375, 706.0219116210938], [1135.0068359375, 688.7518920898438], [1156.5128173828125, 777.9802856445312], [1188.054931640625, 769.3453369140625], [1155.0791015625, 836.9862060546875], [1200.95849609375, 838.4254150390625], [1145.04296875, 903.18798828125], [1192.356201171875, 908.9447021484375], [1168.6995849609375, 906.0663452148438]]"
22,10,00:16:20,29407,5,top,defensive shot,out,5.0,"[1155, 367]","[[1052.09130859375, 355.0007019042969], [1053.5218505859375, 352.1174621582031], [1049.2298583984375, 352.1174621582031], [1037.78466796875, 352.1174621582031], [1039.21533203125, 352.1174621582031], [1026.3394775390625, 363.65032958984375], [1029.20068359375, 365.0919494628906], [1009.1715087890625, 360.7671203613281], [1062.1058349609375, 399.6905517578125], [1013.4635009765625, 346.35101318359375], [1086.4268798828125, 405.45703125], [1016.3248291015625, 416.9898376464844], [1002.0182495117188, 414.1066589355469], [1050.6605224609375, 412.6650390625], [973.4051513671875, 444.38043212890625], [1050.6605224609375, 451.5885009765625], [930.4855346679688, 458.7965393066406], [990.5730285644531, 455.19252014160156]]","[[1123.943603515625, 772.0979614257812], [1123.943603515625, 767.7760620117188], [1128.2374267578125, 772.0979614257812], [1125.3748779296875, 770.6573486328125], [1154.0001220703125, 764.894775390625], [1139.6875, 803.7921752929688], [1174.037841796875, 787.9451293945312], [1148.275146484375, 848.4521484375], [1188.3504638671875, 831.1644287109375], [1143.9813232421875, 895.9935302734375], [1139.6875, 862.858642578125], [1162.5877685546875, 874.3837890625], [1194.0755615234375, 874.3837890625], [1128.2374267578125, 904.637451171875], [1215.5445556640625, 939.2129516601562], [1136.8250732421875, 959.3818969726562], [1232.7197265625, 1005.4826049804688], [1184.7723999023438, 982.4322509765625]]"
