rally,ball_round,time,frame_num,player,pos,type,lose_reason,getpoint_player,ball,top,bottom
17,1,00:42:25,76352,1,top,short service,,,"[997, 427]","[[960.785400390625, 365.53143310546875], [965.0528564453125, 361.2168273925781], [956.5179443359375, 361.2168273925781], [967.8978881835938, 362.655029296875], [947.9830322265625, 362.655029296875], [972.1653442382812, 382.7899475097656], [935.1806030273438, 379.9135437011719], [999.192626953125, 407.239501953125], [922.3782348632812, 397.1720275878906], [999.192626953125, 418.74517822265625], [928.0681762695312, 414.4305419921875], [955.095458984375, 443.1947021484375], [935.1806030273438, 441.7564697265625], [952.25048828125, 480.5881042480469], [938.025634765625, 490.6556091308594], [939.4480590820312, 513.6669311523438], [935.1806030273438, 536.67822265625], [937.3143310546875, 525.1725769042969]]","[[1074.2186279296875, 588.5321044921875], [1072.780517578125, 585.6550903320312], [1075.656982421875, 584.2166137695312], [1074.2186279296875, 588.5321044921875], [1097.2301025390625, 587.0935668945312], [1061.2747802734375, 615.8633422851562], [1105.859375, 614.4248657226562], [1032.5106201171875, 647.5100708007812], [1125.994384765625, 640.317626953125], [1028.1959228515625, 653.2640380859375], [1137.5, 646.0715942382812], [1065.5894775390625, 687.7877197265625], [1095.7918701171875, 690.6647338867188], [1075.656982421875, 723.7499389648438], [1115.9268798828125, 746.7657470703125], [1067.027587890625, 776.9739379882812], [1095.7918701171875, 804.3052368164062], [1081.4097290039062, 790.6395874023438]]"
17,2,00:42:25,76376,0,bottom,push/rush,,,"[1050, 537]","[[1002.7006225585938, 386.2476501464844], [1006.9567260742188, 383.3648681640625], [998.4444580078125, 381.9234619140625], [1009.794189453125, 386.2476501464844], [991.3507690429688, 383.3648681640625], [1005.5380249023438, 400.66168212890625], [978.582275390625, 400.66168212890625], [994.188232421875, 423.72418212890625], [961.5575561523438, 429.48980712890625], [995.60693359375, 446.78662109375], [957.3013305664062, 462.6420593261719], [980.0009765625, 446.78662109375], [962.9762573242188, 449.6694030761719], [998.4444580078125, 471.2904968261719], [970.0699462890625, 488.5873107910156], [992.7694702148438, 508.7669677734375], [951.62646484375, 540.4778442382812], [972.1979675292969, 524.6224060058594]]","[[1025.5125732421875, 542.3543090820312], [1028.387451171875, 536.5872802734375], [1026.949951171875, 536.5872802734375], [1029.824951171875, 548.121337890625], [1052.8245849609375, 549.5630493164062], [1026.949951171875, 578.3981323242188], [1052.8245849609375, 574.0728759765625], [1015.4501342773438, 613.0001831054688], [1035.5748291015625, 561.0971069335938], [979.5132446289062, 631.7429809570312], [1022.6375122070312, 532.2620239257812], [1031.262451171875, 654.81103515625], [1048.51220703125, 650.4857788085938], [1044.1998291015625, 719.6898803710938], [1025.5125732421875, 698.0635986328125], [1084.4490966796875, 761.500732421875], [1018.3251342773438, 751.4085083007812], [1051.3871154785156, 756.4546203613281]]"
17,3,00:42:26,76399,1,top,defensive shot,,,"[1104, 270]","[[1061.3035888671875, 346.218994140625], [1062.7376708984375, 341.9252014160156], [1057.0009765625, 343.3564758300781], [1064.171875, 346.218994140625], [1046.9617919921875, 346.218994140625], [1067.040283203125, 361.96282958984375], [1044.093505859375, 363.39410400390625], [1075.645263671875, 383.43170166015625], [1049.830078125, 377.7066955566406], [1095.7237548828125, 396.3130798339844], [1077.0794677734375, 374.8441467285156], [1068.4744873046875, 417.78192138671875], [1045.527587890625, 419.21319580078125], [1088.5528564453125, 447.8384094238281], [1019.7125244140625, 459.2884521484375], [1108.63134765625, 485.0511169433594], [980.9898071289062, 485.0511169433594], [1044.8105773925781, 485.0511169433594]]","[[999.4816284179688, 574.0377807617188], [986.5812377929688, 566.85888671875], [990.8814086914062, 568.2946166992188], [986.5812377929688, 568.2946166992188], [1010.9487915039062, 568.2946166992188], [977.9808959960938, 598.4461059570312], [1026.7159423828125, 598.4461059570312], [955.0467529296875, 635.7764892578125], [1042.483154296875, 634.3407592773438], [942.1463623046875, 664.4921875], [1049.650146484375, 660.1848754882812], [992.314697265625, 673.10693359375], [1025.2825927734375, 667.3638305664062], [967.9472045898438, 733.4098510742188], [1041.0498046875, 714.74462890625], [959.3468627929688, 800.8917236328125], [1062.550537109375, 762.1256103515625], [1010.9486999511719, 781.5086669921875]]"
17,4,00:42:27,76435,0,bottom,drop,,,"[904, 511]","[[974.0918579101562, 358.5284729003906], [978.3719482421875, 355.649658203125], [971.2384643554688, 355.649658203125], [985.50537109375, 357.0890808105469], [966.9583740234375, 355.649658203125], [996.9188842773438, 375.80145263671875], [955.5448608398438, 371.48321533203125], [1008.3323974609375, 403.150390625], [941.2779541015625, 395.95330810546875], [1015.4658813476562, 431.93865966796875], [935.5711669921875, 426.1809997558594], [984.0787353515625, 421.8627624511719], [956.9715576171875, 420.42333984375], [1001.198974609375, 460.72698974609375], [938.424560546875, 453.5298767089844], [1012.6124877929688, 508.2276611328125], [929.8644409179688, 501.03057861328125], [971.2384643554688, 504.6291198730469]]","[[872.220947265625, 676.3619384765625], [870.7923583984375, 674.9243774414062], [866.506591796875, 679.237060546875], [855.0780639648438, 702.2380981445312], [866.506591796875, 696.4878540039062], [866.506591796875, 716.6138305664062], [890.7923583984375, 713.7387084960938], [912.2208862304688, 684.9873046875], [910.7922973632812, 686.4248657226562], [910.7922973632812, 651.9232788085938], [910.7922973632812, 650.4857177734375], [893.6494140625, 775.5540161132812], [929.36376953125, 769.8037719726562], [875.0780029296875, 834.4942626953125], [952.220947265625, 801.4302978515625], [856.5065307617188, 871.8709716796875], [949.36376953125, 856.0578002929688], [902.9351501464844, 863.9643859863281]]"
17,5,00:42:28,76457,1,top,net shot,,,"[1089, 474]","[[1031.7479248046875, 421.48565673828125], [1033.1812744140625, 415.721435546875], [1027.447998046875, 415.721435546875], [1034.6146240234375, 418.603515625], [1014.5479736328125, 415.721435546875], [1015.9813232421875, 430.13189697265625], [1010.2479858398438, 430.13189697265625], [1024.581298828125, 451.7476806640625], [1024.581298828125, 454.6297607421875], [1043.214599609375, 474.804443359375], [1044.64794921875, 474.804443359375], [983.0147094726562, 471.92236328125], [971.548095703125, 471.92236328125], [1008.814697265625, 519.4769897460938], [1003.0813598632812, 500.74334716796875], [993.048095703125, 555.503173828125], [995.9147338867188, 552.62109375], [994.4814147949219, 554.0621337890625]]","[[917.6343994140625, 650.7094116210938], [901.8427124023438, 643.4998779296875], [929.1190795898438, 644.9417724609375], [903.2783203125, 647.8256225585938], [929.1190795898438, 647.8256225585938], [884.6155395507812, 679.5474243164062], [939.1683959960938, 680.9893798828125], [863.08154296875, 715.5950927734375], [956.3955688476562, 717.0369262695312], [857.3390502929688, 741.54931640625], [970.7515258789062, 745.875], [888.9223022460938, 754.5264282226562], [924.8123779296875, 753.0845336914062], [886.0511474609375, 807.8768920898438], [940.6039428710938, 812.20263671875], [884.6155395507812, 864.1111450195312], [921.9411010742188, 868.4368286132812], [903.2783203125, 866.2739868164062]]"
17,6,00:42:29,76482,0,bottom,lob,,,"[998, 429]","[[994.2453002929688, 394.5244445800781], [998.5132446289062, 390.20758056640625], [989.9772338867188, 388.7686462402344], [1002.78125, 391.64654541015625], [984.2865600585938, 390.20758056640625], [1001.358642578125, 406.0360107421875], [972.9052124023438, 407.4750061035156], [997.090576171875, 426.1813659667969], [954.410400390625, 431.9371643066406], [992.8225708007812, 450.6435241699219], [945.8743896484375, 465.0330505371094], [970.059814453125, 450.6435241699219], [952.9877319335938, 450.6435241699219], [982.8638305664062, 476.54461669921875], [955.8331298828125, 492.3730773925781], [974.3278198242188, 516.8352661132812], [934.4930419921875, 526.9078979492188], [954.4104309082031, 521.87158203125]]","[[924.21875, 540.626708984375], [925.647705078125, 544.9307861328125], [928.5055541992188, 542.0614013671875], [924.21875, 565.0167236328125], [947.0819091796875, 566.451416015625], [921.3609008789062, 599.4496459960938], [947.0819091796875, 587.9719848632812], [912.7872314453125, 632.4479370117188], [938.5082397460938, 552.1043701171875], [875.6345825195312, 648.2296752929688], [934.2213745117188, 537.7572631835938], [922.7898559570312, 671.1849975585938], [947.0819091796875, 662.5767211914062], [905.6424560546875, 724.2691650390625], [914.2161865234375, 725.703857421875], [928.5055541992188, 764.44091796875], [928.5055541992188, 725.703857421875], [928.5055541992188, 745.0723876953125]]"
17,7,00:42:30,76522,1,top,drop,,,"[1170, 285]","[[1114.7200927734375, 339.9344177246094], [1114.7200927734375, 337.0627136230469], [1113.2845458984375, 335.6268310546875], [1114.7200927734375, 334.1909484863281], [1098.92822265625, 338.4985656738281], [1129.0762939453125, 349.9854736328125], [1090.314453125, 355.72894287109375], [1152.04638671875, 351.4213562011719], [1074.5224609375, 380.138671875], [1175.016357421875, 344.2420349121094], [1057.2950439453125, 403.1125183105469], [1123.3338623046875, 410.2918395996094], [1094.621337890625, 413.16357421875], [1143.4326171875, 420.3428955078125], [1077.393798828125, 444.75262451171875], [1147.739501953125, 464.854736328125], [1063.0374755859375, 470.5981750488281], [1105.3884887695312, 467.72645568847656]]","[[1044.868896484375, 578.712646484375], [1033.3829345703125, 571.5416870117188], [1059.226318359375, 572.9758911132812], [1033.3829345703125, 575.84423828125], [1057.7906494140625, 577.2784423828125], [1016.1538696289062, 601.6596069335938], [1060.662109375, 610.2647094726562], [993.1820068359375, 637.5142822265625], [1073.5838623046875, 653.2903442382812], [991.7462158203125, 664.7637939453125], [1085.06982421875, 677.6714477539062], [1003.2322387695312, 680.5398559570312], [1030.511474609375, 681.9739990234375], [1017.5896606445312, 716.3944702148438], [1067.8408203125, 730.7363891601562], [1003.2322387695312, 769.4594116210938], [1044.868896484375, 792.4063110351562], [1024.0505676269531, 780.932861328125]]"
17,8,00:42:31,76545,0,bottom,net shot,,,"[742, 519]","[[1025.823486328125, 342.135009765625], [1030.0772705078125, 337.83026123046875], [1021.569580078125, 337.83026123046875], [1037.1671142578125, 339.26519775390625], [1017.3157348632812, 337.83026123046875], [1047.0927734375, 357.9192199707031], [1007.3900756835938, 355.0493469238281], [1058.4364013671875, 380.8780212402344], [994.62841796875, 379.4430847167969], [1064.1082763671875, 405.2717590332031], [991.7925415039062, 406.7066345214844], [1038.5850830078125, 408.1415710449219], [1017.3157348632812, 408.1415710449219], [1035.7491455078125, 445.44964599609375], [1015.8978271484375, 451.1893615722656], [1049.9287109375, 469.8433837890625], [1030.0772705078125, 479.8878173828125], [1040.0029907226562, 474.8656005859375]]","[[895.660888671875, 551.5657958984375], [899.9666748046875, 551.5657958984375], [898.5314331054688, 547.2543334960938], [910.0134887695312, 560.1889038085938], [899.9666748046875, 554.440185546875], [927.2366943359375, 584.6209106445312], [892.790283203125, 571.6863403320312], [960.2479248046875, 597.5555419921875], [856.9086303710938, 560.1889038085938], [957.3773803710938, 606.1785278320312], [825.332763671875, 548.6914672851562], [965.9889526367188, 642.1079711914062], [944.4599609375, 642.1079711914062], [988.9531860351562, 692.4091796875], [925.8014526367188, 667.9771728515625], [1032.01123046875, 742.7103881835938], [914.3193969726562, 702.4694213867188], [973.1653137207031, 722.5899047851562]]"
17,9,00:42:32,76572,1,top,lob,,,"[757, 472]","[[808.3111572265625, 456.8577575683594], [812.6124267578125, 452.55914306640625], [804.0099487304688, 453.99200439453125], [821.2149047851562, 451.12628173828125], [802.5762329101562, 458.2906188964844], [835.5523071289062, 462.5892333984375], [801.1424560546875, 478.35076904296875], [855.6246948242188, 455.4248962402344], [791.1062622070312, 515.6053466796875], [877.130859375, 449.69342041015625], [792.5400390625, 517.0382080078125], [838.4197387695312, 512.7396240234375], [812.6124267578125, 514.1724853515625], [852.7572631835938, 545.6954956054688], [798.2750244140625, 521.3367919921875], [857.0584716796875, 548.561279296875], [791.1062622070312, 568.6213989257812], [824.0823669433594, 558.5913391113281]]","[[792.7434692382812, 568.6344604492188], [792.7434692382812, 562.8884887695312], [794.18212890625, 561.4519653320312], [795.620849609375, 564.3250122070312], [818.6405029296875, 561.4519653320312], [801.375732421875, 598.8009033203125], [837.3438720703125, 585.8724365234375], [799.9370727539062, 641.8958129882812], [854.6085205078125, 618.9118041992188], [782.67236328125, 673.4986572265625], [853.1697998046875, 643.332275390625], [825.8341064453125, 660.5701904296875], [850.2923583984375, 651.9512329101562], [799.9370727539062, 718.0300903320312], [828.7114868164062, 712.2840576171875], [820.0791625976562, 775.4899291992188], [838.7825927734375, 765.4344482421875], [829.4308776855469, 770.4621887207031]]"
17,10,00:42:33,76607,0,bottom,smash,,,"[833, 423]","[[904.343994140625, 385.3424072265625], [908.6179809570312, 382.46514892578125], [901.4947509765625, 382.46514892578125], [914.3165283203125, 383.9037780761719], [894.37158203125, 382.46514892578125], [924.2890014648438, 396.8514709472656], [882.974365234375, 398.29010009765625], [937.1107788085938, 414.1150817871094], [871.5773315429688, 421.3082580566406], [941.384765625, 441.4490966796875], [870.152587890625, 447.20367431640625], [922.8643798828125, 438.5718688964844], [894.37158203125, 438.5718688964844], [948.5079345703125, 471.6604309082031], [874.4265747070312, 471.6604309082031], [969.8775634765625, 516.258056640625], [868.7279663085938, 520.573974609375], [919.3027648925781, 518.416015625]]","[[712.2238159179688, 604.8510131835938], [707.9251708984375, 599.10498046875], [705.0593872070312, 604.8510131835938], [690.7304077148438, 623.5256958007812], [703.62646484375, 617.7796630859375], [696.4620361328125, 650.8195190429688], [733.71728515625, 629.271728515625], [716.5225219726562, 676.6766967773438], [753.7777709960938, 591.9224243164062], [673.5357055664062, 833.2567749023438], [765.2408447265625, 550.2634887695312], [719.3883056640625, 716.8991088867188], [756.6435546875, 716.8991088867188], [695.0291137695312, 774.3597412109375], [768.1066284179688, 774.3597412109375], [673.5357055664062, 834.6932373046875], [765.2408447265625, 831.8203125], [719.3882751464844, 833.2567749023438]]"
